,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,177,0.0,False,1,5233.940023113462,9.220000267028809,-18.270000457763672,107.36000061035156,1304.7000122070312,19155.50048828125,8769.299926757812,5820.5999755859375,973.4999847412109,-1082.699966430664,1.0,0.018659112151626543,-0.052666293969064026,-0.1263931044137862,bf81d8692db,games5425898691,20.0,18.049999237060547,-137.8699951171875,93.26000213623047,208.09999465942383,17522.60009765625,-275.10000228881836,-5302.1002197265625,-613.8000106811523,1326.6999816894531,128.0,154.0,,-1.352452130788752,1.6249892901461387,-0.0932538012510021,True,31.0,False,4,3,False,,76561198039309853,enpitsu,26.0,-2991.6201171875,-4100.27978515625,17.049999237060547,-13105.799560546875,1120.199966430664,4.099999964237213,-0.5000000074505806,0.3999999910593033,-3279.89990234375,255.0,0.0,False,-0.016769206040560286,0.363567926925677,-0.00011488833464555807,True,False,False,255.0,False,False,,hwillo,b8cf5e3ab3b,9,1153.8699951171875,1269.300048828125,17.010000228881836,14464.100341796875,-6000.7000732421875,2.0999999344348907,0.29999999329447746,0.29999999329447746,204.59999084472656,255.0,137.0,,-0.009543444465928946,-2.75492721911784,-2.682383618876512e-05,True,0.0,False,False,False,False,,SniperJAYBO,2533274861997975,9.0,-35.11000061035156,260.2699890136719,98.83999633789062,-4006.400146484375,-22529.89990234375,2190.800018310547,4507.799987792969,-3093.5000610351562,-599.3000030517578,254.0,128.0,-0.656637588633734,-1.5615193254426352,0.31106916549704705,True,31.0,False,4,False,3,,
1,914,26.0,False,0,3227.818506207927,2131.22998046875,4019.8701171875,263.2099914550781,-16015.699462890625,8289.000244140625,7045.0,5982.2998046875,-434.7999954223633,-148.59999656677246,0.0,0.4842631488161085,-1.5098283110179997,2.349882510183897,b8cf5e3ab3b,hwillo,9.0,2225.909912109375,3927.949951171875,130.61000061035156,-11159.3994140625,11020.2001953125,2515.0999450683594,78.4000015258789,88.4000015258789,228.99999618530273,255.0,133.0,,-0.012236618356856806,2.4512840265862446,-0.0010753354082750329,True,184.0,False,12,6,6,,2533274861997975,SniperJAYBO,10.0,1008.6400146484375,930.4400024414062,17.040000915527344,1344.1000366210938,9445.900268554688,0.7999999821186066,-0.09999999776482582,-0.09999999776482582,2457.100067138672,255.0,255.0,,0.016670690143020243,1.4663479473831995,7.124108092994353e-06,True,10,False,248.7244131360003,True,10,,enpitsu,76561198039309853,26,3835.139892578125,3348.909912109375,19.459999084472656,4835.299987792969,-8582.7001953125,-1457.2999572753906,-2196.199951171875,1202.699966430664,-2486.7999267578125,255.0,0.0,,0.03934965484863626,-1.3227241578424667,0.07489181501868875,True,151.0,False,6,6,False,,games5425898691,bf81d8692db,21.0,893.8599853515625,4943.9501953125,17.010000228881836,12530.2001953125,-3263.800048828125,2.3999999463558197,0.09999999776482582,0.0,-2299.2999267578125,255.0,0.0,0.00956890120568453,-0.32247170072146536,-9.564522817210767e-06,True,92.0,False,12,False,12,,
2,1380,43.0,False,1,4922.693596687823,-1146.43994140625,661.010009765625,141.5399932861328,9098.499755859375,27141.4990234375,-1958.0999755859375,3281.6000366210938,1999.1999816894531,2735.0,1.0,0.1814958582024907,2.572018137370334,-2.1599970806755326,76561198039309853,enpitsu,26.0,-1234.77001953125,540.1199951171875,94.25,6056.7999267578125,21428.701171875,-284.7999954223633,-2163.300018310547,5053.900146484375,166.20000839233398,128.0,0.0,,-0.8742934915164976,0.9269802384729147,1.9818207646877672,True,19.0,False,10,9,False,,bf81d8692db,games5425898691,20.0,-3410.8701171875,836.25,16.989999771118164,10292.5,20463.00048828125,2.199999988079071,-0.7000000029802322,-1.5000000596046448,-343.3000183105469,255.0,80.0,,-0.009590423579051936,2.053534517264495,8.27291502415293e-05,True,18,4,236.2354407002849,True,20,,hwillo,b8cf5e3ab3b,9,-1350.5400390625,-1911.719970703125,16.989999771118164,-4831.099853515625,13246.300048828125,4.399999976158142,-0.0,-0.29999999329447746,117.70000457763672,255.0,133.0,,-0.009580334720745215,1.2178973864053948,3.426314541357777e-05,True,95.0,False,16,6,10,,SniperJAYBO,2533274861997975,9.0,-816.3699951171875,736.8300170898438,73.51000213623047,-22454.599609375,4072.3001098632812,2853.2998657226562,21.30000114440918,-3117.0999145507812,632.2000122070312,255.0,193.0,-0.12036520645135794,0.29194163459197736,-0.006556735741471275,True,,False,16,False,15,,
3,1478,47.0,True,1,1621.8539737644774,-713.719970703125,4941.97998046875,218.99000549316406,3942.3001098632812,33868.30078125,-6433.699951171875,-5864.000244140625,-76.39999866485596,-1267.7999877929688,1.0,-0.7597088625850936,2.0267519539577696,-3.0743614559295755,76561198039309853,enpitsu,26.0,-705.2899780273438,4805.35009765625,165.77999877929688,1321.199951171875,18225.50048828125,19.500000476837158,-4423.2000732421875,1994.4000244140625,-2589.8001098632812,255.0,0.0,False,-0.7593284505264406,1.3430293634968076,0.1625752428463564,True,24.0,False,12,11,False,,bf81d8692db,games5425898691,20.0,1310.719970703125,4060.139892578125,16.989999771118164,-566.8000030517578,20028.699951171875,4.799999892711639,-0.19999999552965164,-0.5000000074505806,1978.2000732421875,255.0,255.0,,-0.009569023236539924,1.4689646117416426,5.983454884680631e-05,True,18,4,183.0,False,20,,hwillo,b8cf5e3ab3b,9,-710.760009765625,4791.4599609375,306.9599914550781,4058.900146484375,21682.2998046875,-3511.0000610351562,-1196.500015258789,-1503.0999755859375,-5153.499755859375,255.0,53.0,,-0.27439806509687564,2.694116637491728,-0.2435712234684829,True,0.0,False,18,6,12,,SniperJAYBO,2533274861997975,9.0,-579.239990234375,4673.669921875,239.88999938964844,20332.2998046875,1205.8000183105469,3907.60009765625,-172.80000686645508,-26.600000858306885,958.7999725341797,153.0,255.0,-0.004491325772537872,2.8908385793570757,-0.005909983906275078,True,216.0,False,18,4,16,,
4,1793,49.0,True,1,4788.998147440302,751.9099731445312,353.1700134277344,109.91999816894531,-6646.500244140625,23815.50048828125,8439.89990234375,4871.499938964844,2662.9000854492188,2275.2000427246094,1.0,-0.8551428037125218,-0.3907455388982376,-2.635347014919089,76561198039309853,enpitsu,27.0,817.8599853515625,102.11000061035156,17.049999237060547,2343.6000061035156,22849.49951171875,2.3000000417232513,-0.0,-0.0,1361.9999694824219,255.0,128.0,False,-0.016780625356901176,1.6521188899248633,0.00030232684709750277,True,0.0,False,False,False,False,,bf81d8692db,games5425898691,20.0,457.75,-556.530029296875,17.010000228881836,8867.80029296875,-4734.89990234375,2.0999999344348907,-0.3999999910593033,0.7000000029802322,-0.09999999776482582,255.0,128.0,,-0.009497949838370044,-2.651081167828395,6.409888107435326e-05,True,4,False,0.0,False,4,,hwillo,b8cf5e3ab3b,9,-1138.8900146484375,4787.2099609375,17.0,8722.39990234375,-896.6000366210938,3.400000035762787,-0.5000000074505806,-0.0,360.60001373291016,255.0,128.0,,-0.009521618112795997,-3.068652995097585,-0.00018005657858673944,True,212.0,False,False,False,False,,SniperJAYBO,2533274861997975,9.0,-1364.530029296875,-186.0500030517578,17.049999237060547,-10731.500244140625,1728.2000732421875,2.5999999046325684,2.5,-0.19999999552965164,-192.99999237060547,255.0,106.0,-0.016710723610185454,0.16762933055350274,0.00010657789294678286,True,31.0,False,4,False,4,,
5,2681,72.0,False,0,5118.181494617167,-2512.8701171875,283.9200134277344,100.29000091552734,11253.00048828125,19740.2001953125,6961.099853515625,5531.500244140625,1474.1000366210938,-1796.9000244140625,0.0,-1.0242358406383394,1.9300441075657913,1.8448715186771523,2533274861997975,SniperJAYBO,9.0,-2559.72998046875,111.23999786376953,17.030000686645508,8645.499877929688,17758.00048828125,0.7000000029802322,1.5999999642372131,2.5999999046325684,394.70001220703125,255.0,214.0,,0.01679652444437979,1.0954997893790899,0.0002804233944453089,True,165.07090769531905,True,4,4,False,,b8cf5e3ab3b,hwillo,9.0,-2436.02001953125,-522.75,17.0,11081.099853515625,6046.500244140625,3.400000035762787,-0.29999999329447746,0.0,-99.0999984741211,228.0,128.0,,0.009560814934957884,0.48795446530563386,7.285745569765222e-05,True,4,4,83.0,False,6,,enpitsu,76561198039309853,27,-84.18000030517578,4950.35986328125,17.049999237060547,-0.09999999776482582,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,128.0,128.0,False,0.016704951995710635,-1.5276259060445538,-5.665057468932201e-06,True,82.0,False,2,2,False,,games5425898691,bf81d8692db,20.0,-2162.60009765625,1694.4599609375,17.010000228881836,-2152.2000122070312,-22898.9990234375,-0.19999999552965164,0.0,0.0,-53.89999866485596,255.0,128.0,0.009596113764407475,-1.6699363276611023,3.573094668178374e-05,True,110.90713991913748,True,8,False,8,,
6,3103,88.0,False,0,2465.7276361619533,-1362.47998046875,2718.800048828125,168.83999633789062,11831.600341796875,26180.400390625,6124.1998291015625,4378.2000732421875,2040.8000183105469,-3558.900146484375,0.0,-0.11326712437274676,0.23104307176909372,-3.035862261102162,b8cf5e3ab3b,hwillo,9.0,-1413.8599853515625,2478.260009765625,115.72000122070312,6848.3001708984375,21764.7998046875,2788.800048828125,-3902.39990234375,-3743.599853515625,1003.0000305175781,128.0,255.0,,0.06290044561952286,1.0471353526751284,-0.11643929285848513,True,31.0,False,10,5,6,,2533274861997975,SniperJAYBO,9.0,-259.30999755859375,-1398.1400146484375,17.049999237060547,10968.499755859375,8807.100219726562,2.800000011920929,1.2999999523162842,1.0999999940395355,1006.6000366210938,209.0,242.0,,0.016762634355925534,0.6788281718941812,0.00018009589497230833,True,6,4,84.0,False,8,,enpitsu,76561198039309853,26,-1738.3699951171875,3440.919921875,77.95999908447266,19726.099853515625,-6373.599853515625,4112.799987792969,2.8999999165534973,-0.09999999776482582,-406.50001525878906,128.0,128.0,,0.01699122810148595,-0.4102322952679498,0.0012316144193302051,True,9.0,False,8,4,False,,games5425898691,bf81d8692db,20.0,-896.6900024414062,2682.409912109375,85.25,-16458.499755859375,14891.99951171875,3371.6000366210938,2171.199951171875,-3578.3999633789062,3342.2000122070312,255.0,247.0,0.025376754988198167,2.5116326315956736,-0.04838367188525808,True,94.0,False,10,False,9,,
7,4597,142.0,False,1,4753.430693425056,2597.0,701.3400268554688,152.75,-10896.500244140625,25483.9990234375,9263.300170898438,5128.2000732421875,-2397.2000122070312,1988.5000610351562,1.0,0.5296532260046867,-0.4091137742688017,2.445644456981209,76561198039309853,enpitsu,26.0,2624.590087890625,477.69000244140625,69.0199966430664,-3508.699951171875,21649.29931640625,2838.5000610351562,-3440.5999755859375,-3086.9000244140625,2733.599853515625,255.0,255.0,False,-0.12467285411693294,1.4617485884418893,-0.02730958878719779,True,133.0,False,24,19,2,,bf81d8692db,games5425898691,20.0,3825.820068359375,-867.8300170898438,17.030000686645508,-6601.6998291015625,-11646.8994140625,-238.4000015258789,252.99999237060547,849.1999816894531,-2166.6000366210938,255.0,0.0,,-0.025020874468507922,-0.9773530398818256,0.03425635344193435,True,20,False,255.0,False,24,,hwillo,b8cf5e3ab3b,9,1943.6500244140625,1737.9200439453125,17.010000228881836,-8446.699829101562,-8035.9002685546875,2.199999988079071,4.000000059604645,3.4999999403953552,-577.0000076293945,128.0,0.0,,-0.009591269571931281,-0.827944847349775,-0.0004116216509118718,True,89.0,False,20,16,6,,SniperJAYBO,2533274861997975,9.0,-1196.0699462890625,4287.72021484375,17.049999237060547,13062.39990234375,-59.29999828338623,2.5999999046325684,-0.7999999821186066,-0.0,18.200000524520874,254.0,128.0,-0.016729787558486853,-3.135059714702083,4.785646142974622e-05,True,116.0,False,False,False,False,,
8,5155,162.0,False,0,2571.6367482133355,352.1499938964844,2891.570068359375,99.38999938964844,-3365.4000854492188,28968.701171875,11058.800048828125,5310.2001953125,-2728.3999633789062,597.5,0.0,-0.06099049140121457,-2.295283622861242,0.0897921422214697,b8cf5e3ab3b,hwillo,9.0,352.2300109863281,2737.429931640625,15.970000267028809,642.3999786376953,19634.599609375,-1258.6000061035156,2757.9998779296875,656.5000152587891,1036.6000366210938,255.0,255.0,,-0.013516922145355475,1.6001000056134445,0.00493719158608583,True,146.19079562669165,True,24,20,6,,2533274861997975,SniperJAYBO,10.0,1434.1199951171875,1889.510009765625,17.049999237060547,-4747.60009765625,-11470.400390625,3.1999999284744263,0.0,0.0,-2350.8999633789062,255.0,0.0,,0.016725082385617193,-2.025123050612732,-5.480258930130951e-06,True,6,4,31.0,False,8,,enpitsu,76561198039309853,26,2146.18994140625,2951.280029296875,17.059999465942383,9635.700073242188,3335.4000854492188,2.800000011920929,-3.0000001192092896,0.7000000029802322,2407.4000549316406,255.0,255.0,False,0.01660555641934099,0.38491672655745884,0.00016348133579402902,True,0.0,False,30,24,2,,games5425898691,bf81d8692db,20.0,397.3299865722656,4920.52001953125,135.74000549316406,-2253.800048828125,-7374.0997314453125,2465.0,-1495.5000305175781,579.7999954223633,283.99999618530273,255.0,128.0,-0.5715990902290136,-1.8266671237923746,-0.019332129356519727,True,229.92284736325666,True,30,False,24,,
9,5752,184.0,True,0,2649.3992542108294,-2931.669921875,3444.31005859375,110.91999816894531,18610.899658203125,11488.900146484375,6142.1002197265625,-5958.900146484375,-677.0999908447266,-178.1999969482422,0.0,-1.283962888076794,-0.21349001464646836,-3.0519504340198114,b8cf5e3ab3b,hwillo,9.0,-3091.199951171875,3474.9599609375,16.200000762939453,13518.00048828125,11615.0,202.60000228881836,-1318.6000061035156,-559.5999908447266,1525.8000183105469,255.0,0.0,,0.029681163775255495,0.6636678307832914,-0.07488965792809943,True,174.0,False,28,20,8,,2533274861997975,SniperJAYBO,9.0,-3508.52001953125,2881.02001953125,103.58000183105469,-13347.099609375,15388.399658203125,-856.2000274658203,-3413.800048828125,-133.00000190734863,1508.3000183105469,255.0,128.0,,-0.5106538701453586,0.7430338522126643,0.8626481268248581,True,12,4,,False,14,,enpitsu,76561198039309853,27,-3349.22998046875,2377.5,120.63999938964844,-12579.100341796875,-445.09998321533203,-146.99999809265137,408.1999969482422,-5483.3001708984375,127.39999771118164,255.0,0.0,False,-0.6806431480777672,0.09310456413737388,-3.134107233119195,True,124.0,False,36,28,2,,games5425898691,bf81d8692db,20.0,-1654.8399658203125,5019.31005859375,33.439998626708984,10202.60009765625,-1332.2999572753906,-725.2999877929688,-1623.3999633789062,-402.2999954223633,1946.3999938964844,128.0,255.0,0.06576597237376289,-0.1308777938360195,0.45584445467723217,True,255.0,False,36,False,28,,
