,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,170,0,False,False,1,5175.788388778281,-14.800000190734863,44.97999954223633,92.87000274658203,-8758.099975585938,26553.5009765625,1143.0000305175781,-656.2000274658203,-496.19998931884766,-5943.3001708984375,1.0,-0.011819665272108665,0.13051256147883802,0.013668199460998372,76561198039883154,「Spiki」,8.0,60.2599983215332,-150.27999877929688,71.22000122070312,-13781.400146484375,18242.900390625,2449.4000244140625,-2623.599853515625,-1739.4999694824219,1498.699951171875,128.0,41.0,,-0.11146258836236744,0.519965763942856,0.018298561130034797,True,4,False,0.0,False,3,,76561198164491532,drana,2.0,-871.739990234375,-3362.530029296875,17.010000228881836,7316.199951171875,-10863.00048828125,2.3999999463558197,-0.7999999821186066,1.2999999523162842,2093.6000061035156,255.0,255.0,,-0.009557524117885213,-2.204036835585173,0.0001849966663846928,True,146.0,False,False,False,False,,enpitsu,76561198039309853,23,3188.929931640625,4082.4599609375,17.049999237060547,3779.2999267578125,6583.0999755859375,2.5,-0.9000000357627869,0.5000000074505806,0.0,255.0,128.0,,-0.016328198952305407,-1.049641034080655,-3.0361142340994944e-06,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,22.0,-120.9800033569336,289.57000732421875,81.6500015258789,758.8999938964844,-22838.5009765625,2434.600067138672,5483.3001708984375,-426.30001068115234,-26.80000066757202,255.0,150.0,,-0.6851148942432809,-1.4893113998314296,-0.005232937143182673,True,0.0,False,4,False,3,
1,221,1,False,False,0,8360.606663411154,-1682.4000244140625,-3183.5400390625,139.6999969482422,1858.0999755859375,21261.79931640625,14332.099609375,5364.69970703125,-2447.7999877929688,-1107.699966430664,0.0,-0.7278539375711993,2.134308398700719,-0.621659441707832,76561198039309853,enpitsu,24.0,-1705.43994140625,-3329.409912109375,62.56999969482422,5717.2998046875,16244.000244140625,1594.6000671386719,-2732.6998901367188,-3002.39990234375,3710.4000854492188,255.0,128.0,,0.10842143181388258,1.2665714604088318,-0.0894348521451446,True,2,False,163.0,False,1,,bf81d8692db,games5425898691,22.0,2107.840087890625,-155.64999389648438,17.010000228881836,10245.999755859375,-1581.9000244140625,2.5,0.0,0.0,-2380.500030517578,255.0,0.0,,0.009531074766997535,-0.20602221278987184,1.8065945802585272e-05,True,0.0,False,4,False,4,,drana,76561198164491532,2,-1645.97998046875,4122.41015625,17.010000228881836,-20677.099609375,-5841.300048828125,-0.29999999329447746,-0.5000000074505806,0.0,8.00000011920929,255.0,128.0,,0.009596234137554406,-2.8652028611575937,-3.247545137820351e-05,False,False,101.78097222184624,True,False,False,,「Spiki」,76561198039883154,8.0,1713.8800048828125,-248.1999969482422,17.010000228881836,10377.39990234375,3102.5,2.3999999463558197,-4.099999964237213,-1.0999999940395355,-1274.1999816894531,255.0,0.0,,0.00952881387223497,0.29784438696932714,-0.00013600627891736686,False,0.0,False,4,False,4,
2,333,5,False,False,1,10020.580879074481,973.6799926757812,-4880.27978515625,463.989990234375,-3954.1000366210938,17320.699462890625,-8547.899780273438,-4578.0999755859375,2609.1000366210938,-2134.7000122070312,1.0,0.21722946083762248,-1.9373515359315183,0.05737044960310083,76561198164491532,drana,2.0,997.8800048828125,-5051.3701171875,433.05999755859375,-11609.3994140625,10626.8994140625,-5437.5,-3693.9999389648438,-2381.0000610351562,-2056.1000061035156,255.0,0.0,,-0.5361901485491315,-0.011707179620145333,1.628438760772842,True,4,False,236.4286709472697,True,3,,76561198039883154,「Spiki」,9.0,-3894.64990234375,-3071.570068359375,26.110000610351562,212.39999771118164,-14002.39990234375,-40.39999961853027,-6.899999976158142,-35.19999980926514,-31.19999885559082,255.0,128.0,,-0.015054845876943114,-1.5748254099624144,-0.22629020814470113,True,255.0,False,6,False,6,,enpitsu,76561198039309853,23,-123.19000244140625,3803.35009765625,17.059999465942383,1628.8999938964844,14007.5,1.2999999523162842,-0.0,-0.29999999329447746,-0.09999999776482582,255.0,128.0,,-0.016784225935648794,1.6865992136308379,2.8221840191440384e-05,True,2,194.0,False,2,False,,games5425898691,bf81d8692db,22.0,-1281.4100341796875,3610.7099609375,17.010000228881836,12479.7998046875,-18816.199951171875,-0.29999999329447746,-0.29999999329447746,0.9000000357627869,-28.19999933242798,255.0,128.0,,-0.009586945672474284,-2.1529393370643777,6.06144552814896e-05,True,202.3715268847763,True,6,False,6,
3,397,8,False,True,0,3447.066847500383,-424.0799865722656,1725.3900146484375,107.05000305175781,1737.5,28010.400390625,-7345.2001953125,-5236.7999267578125,-575.2000045776367,-2871.400146484375,0.0,-0.46969787446083117,2.4276954608790247,-1.5877833668898291,bf81d8692db,games5425898691,22.0,-440.94000244140625,1523.6300048828125,143.52999877929688,-5187.8997802734375,22343.60107421875,1687.5,-5441.400146484375,-799.0000152587891,-39.50000047683716,255.0,153.0,,0.41754185029463037,1.5973991492869009,-0.04188220993020164,True,8,False,211.0,False,7,,76561198039309853,enpitsu,24.0,-574.0,-5501.97998046875,22.860000610351562,-126.99999809265137,-30.399999618530273,5.799999833106995,0.0,0.29999999329447746,-0.9000000357627869,128.0,128.0,False,0.055021210263880065,1.8205530641312708,0.00970855662521338,True,224.0,False,2,False,2,,drana,76561198164491532,2,898.0599975585938,3722.639892578125,17.0,-9904.500122070312,-546.8000030517578,3.1999999284744263,-4.1999998688697815,-0.5999999865889549,1005.6999969482422,255.0,255.0,,0.00948800429017379,-3.1051366209983486,0.00016757219387344817,True,4,169.0,False,4,False,,「Spiki」,76561198039883154,8.0,1700.6600341796875,4609.58984375,17.0,-13573.00048828125,3819.8001098632812,3.3000001311302185,0.0,0.19999999552965164,-0.29999999329447746,255.0,128.0,False,0.009611671308836632,2.8671851650932343,-3.7179229590692703e-06,True,255.0,False,6,False,6,
4,419,9,False,False,1,8771.98222146318,378.6000061035156,-3616.7099609375,266.7099914550781,25625.50048828125,-13988.499755859375,8865.399780273438,5083.2000732421875,-803.4999847412109,-3084.7000122070312,1.0,0.6440181097856672,2.7049932662827314,3.070880179799176,76561198164491532,drana,2.0,154.91000366210938,-3601.43994140625,143.14999389648438,17158.00048828125,-6259.0997314453125,3834.2001342773438,5350.4998779296875,-363.8999938964844,1220.4000091552734,255.0,3.0,,0.2963765111602821,-3.075075019345919,0.5054970466064699,True,6,False,118.87489010698052,True,5,,76561198039883154,「Spiki」,8.0,-543.77001953125,-4675.22021484375,17.0,17411.099853515625,3228.5000610351562,0.9000000357627869,0.7000000029802322,-0.0,52.69999980926514,255.0,128.0,False,-0.0096165560385823,2.9515205807328013,-8.588520353311329e-05,True,222.0,False,6,False,6,,enpitsu,76561198039309853,24,575.5700073242188,5502.31982421875,22.8700008392334,8.299999833106995,0.19999999552965164,5.5000001192092896,-0.0,-0.29999999329447746,-0.29999999329447746,128.0,128.0,False,-0.055021610590112235,-1.8204711571151797,0.009706300711291724,True,2,224.0,False,2,False,,games5425898691,bf81d8692db,22.0,805.25,-2897.530029296875,137.91000366210938,4730.199890136719,-17871.500244140625,-1263.6000061035156,3101.300048828125,-432.59998321533203,196.90000534057617,255.0,128.0,,1.0123344284535747,-1.190693744397105,0.23833130847471623,True,211.0,False,8,False,8,
5,530,13,False,False,1,6463.067133397436,3352.330078125,-838.0999755859375,305.3800048828125,-1236.6999816894531,25377.5,5162.5,-162.19999313354492,-3373.2000732421875,4.099999964237213,1.0,0.09225330780264464,2.424101961059714,-2.996064654191592,76561198164491532,drana,2.0,3337.610107421875,-963.8099975585938,182.5,588.3000183105469,21357.19970703125,2407.4000549316406,4371.099853515625,506.30001068115234,-2331.3999938964844,255.0,86.0,,0.5282310958537227,1.3405202213932401,-0.03952415601454519,True,8,False,54.40288188124216,True,7,,76561198039883154,「Spiki」,9.0,2368.889892578125,-1487.7099609375,17.010000228881836,-7722.2998046875,11911.099853515625,0.09999999776482582,-2.7000001072883606,4.4999998807907104,-1051.2999725341797,255.0,124.0,False,-0.009592785181335273,1.0527462201466795,4.7775883740962275e-05,True,212.5786322009179,True,8,False,6,,enpitsu,76561198039309853,24,3034.929931640625,3824.590087890625,17.049999237060547,53.20000171661377,320.99998474121094,2.5,-1.0999999940395355,0.29999999329447746,0.0,255.0,0.0,False,-0.016758559135203722,-1.406533865485948,1.3759045122620379e-05,True,2,255.0,False,2,False,,games5425898691,bf81d8692db,22.0,3400.719970703125,148.67999267578125,17.0,610.099983215332,21836.4990234375,3.4999999403953552,-0.5000000074505806,-0.0,-1991.0000610351562,255.0,0.0,,-0.009556870882973445,1.6771012420740032,-1.947666180486156e-05,True,255.0,False,8,False,8,
6,585,15,False,False,0,9384.117765403258,-3115.68994140625,-3977.820068359375,140.3699951171875,-1150.1000213623047,9376.699829101562,9247.7001953125,5703.599853515625,1130.0,-1480.0999450683594,0.0,0.08351827697011353,-2.4147430237538083,2.6454429286382095,76561198039309853,enpitsu,24.0,-3124.449951171875,-4166.009765625,81.0199966430664,-2790.8999633789062,3274.2001342773438,2880.7998657226562,-5369.5001220703125,6.200000047683716,1190.5999755859375,255.0,255.0,,0.20443918236384245,0.8941605934171862,-0.06942943434493935,True,4,False,255.0,False,3,,bf81d8692db,games5425898691,22.0,-2809.77001953125,-3850.1298828125,19.469999313354492,1317.8999328613281,-21691.99951171875,2960.1998901367188,0.0,-2.3999999463558197,-1378.3000183105469,255.0,54.0,,0.009599433796897174,-1.5525615182376968,-0.00013373845458115503,True,196.0,False,9,False,8,,drana,76561198164491532,2,-3254.22998046875,-3233.530029296875,17.010000228881836,201.00000381469727,-8401.599731445312,2.199999988079071,-0.29999999329447746,0.3999999910593033,735.0,39.0,186.0,,0.009979753940874385,-1.535470622984181,6.183049045394435e-05,True,8,15.0,False,8,False,,「Spiki」,76561198039883154,9.0,-2474.2099609375,-1356.9200439453125,17.010000228881836,-15514.200439453125,-2278.6000061035156,2.0000000298023224,0.19999999552965164,0.0,792.0999908447266,255.0,208.0,,0.009582248849972533,-3.0023397125571085,0.00024103451528531693,True,211.0,False,8,False,6,
7,667,18,False,False,0,6973.441069393804,-3431.300048828125,-1356.239990234375,156.35000610351562,11532.5,18463.199462890625,6953.800048828125,-181.39999389648438,-1046.9000244140625,-5905.10009765625,0.0,-0.7882407804746067,2.7020373164965514,-1.1231243304672582,76561198039309853,enpitsu,24.0,-3534.0,-1589.1300048828125,77.94000244140625,-2030.5000305175781,22358.1005859375,4111.9000244140625,0.7000000029802322,-6.000000238418579,-312.1999931335449,128.0,0.0,,0.016746940882489767,1.6680862589853982,-0.0002236058215525931,True,6,False,140.0,False,5,,bf81d8692db,games5425898691,22.0,-1811.9000244140625,-4469.56005859375,17.0,-372.40001678466797,15379.49951171875,0.7999999821186066,-3.6000001430511475,-7.099999785423279,753.7999725341797,255.0,109.0,,0.009446500034430944,1.6495960726357448,-3.992558015326522e-05,True,148.82578916959866,True,10,False,8,,drana,76561198164491532,2,-1210.1400146484375,-694.469970703125,15.949999809265137,6295.999755859375,18037.19970703125,150.79999923706055,60.50000190734863,29.30000066757202,-1.5999999642372131,255.0,128.0,,0.012337777077468063,1.2396885318460045,-0.0012492541282338103,False,10,27.867724644240514,True,10,False,,「Spiki」,76561198039883154,9.0,-3541.7099609375,2457.9599609375,154.2899932861328,2281.199951171875,19296.8994140625,-2508.2000732421875,-1920.7000732421875,244.69999313354492,-24.700000286102295,255.0,128.0,,0.6743021257929566,1.4332982273431978,-0.017202666866171258,True,241.0,False,10,False,8,25.0
8,758,21,False,False,1,9260.362807717562,110.63999938964844,-4087.0,207.27000427246094,13524.49951171875,-8452.2998046875,7338.4002685546875,4028.3999633789062,-984.5999908447266,-4336.099853515625,1.0,0.3113761978606683,-1.5495414512246064,-0.8445802913327884,76561198164491532,drana,2.0,-53.810001373291016,-4070.429931640625,95.98999786376953,5311.199951171875,9308.900146484375,200.30000686645508,-4535.899963378906,-3095.0,-309.0999984741211,255.0,33.0,,-0.053125628794142274,2.4304741330489312,-1.136030350247894,True,14,False,41.32598703651018,True,13,,76561198039883154,「Spiki」,8.0,837.5999755859375,-4769.4501953125,58.119998931884766,-22420.2001953125,3548.900146484375,3706.099853515625,25.999999046325684,95.20000457763672,-736.8000030517578,255.0,124.0,False,-0.0059924433478477975,0.22788181103290478,-0.0006368863233961994,True,101.0,False,11,False,8,,enpitsu,76561198039309853,24,949.4199829101562,-352.3800048828125,17.049999237060547,844.5999908447266,16070.10009765625,2.5999999046325684,-0.0,-0.29999999329447746,-32.40000009536743,255.0,128.0,False,-0.016792721970098467,1.6271168860522334,3.836614533659728e-05,True,6,170.0,False,6,False,,games5425898691,bf81d8692db,22.0,-428.9100036621094,-1130.6500244140625,17.010000228881836,-8546.199951171875,-13797.7001953125,2.3000000417232513,0.29999999329447746,0.19999999552965164,1944.2999267578125,128.0,255.0,,-0.009625803116530251,-1.0816832115139536,3.552012123065228e-05,True,179.0,False,12,False,10,
9,833,24,False,False,0,2438.166192601588,-3274.360107421875,4603.2900390625,231.22999572753906,1703.6000061035156,2476.199951171875,19610.400390625,-3518.800048828125,-4459.5001220703125,1931.3999938964844,0.0,0.02440283578780948,-0.7053962576524145,-0.2579788952194416,bf81d8692db,games5425898691,22.0,-3237.25,4417.7900390625,118.97000122070312,-14087.900390625,16229.000244140625,2178.800048828125,2994.1000366210938,991.8000030517578,-1746.0000610351562,255.0,255.0,,-0.5772108554242442,1.756016444951953,-0.03221950219582098,True,14,False,236.20864520790755,True,10,,76561198039309853,enpitsu,24.0,-3297.18994140625,-2540.159912109375,17.049999237060547,-10336.700439453125,4743.900146484375,4.399999976158142,0.0,0.29999999329447746,-3520.7998657226562,128.0,128.0,,0.016739143578933642,2.2436915895986904,-4.596754079081265e-05,True,170.0,False,6,False,6,,drana,76561198164491532,2,-2764.550048828125,4199.64013671875,17.010000228881836,-12388.800048828125,12599.7998046875,2.3000000417232513,-0.5000000074505806,0.19999999552965164,-1940.2999877929688,255.0,0.0,,0.009577749659135151,2.280952351573287,-4.5190477020566235e-05,True,14,,False,14,False,,「Spiki」,76561198039883154,8.0,3489.1298828125,2527.570068359375,17.010000228881836,-12722.099609375,-12136.500244140625,2.3999999463558197,0.29999999329447746,0.0,-1971.0000610351562,255.0,0.0,,0.009585786333907003,-2.4513626659260788,4.653624201084919e-05,True,255.0,False,12,False,8,
