,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,174,0,False,False,0,5105.142007847615,27.219999313354492,119.02999877929688,121.16000366210938,6988.900146484375,29561.8994140625,6904.7998046875,3350.4000854492188,-490.09998321533203,-579.0999984741211,0.0,-0.018676628181470086,-0.0254675717816502,0.13986238646051863,2535451264898954,StretchyChair80,12.0,-23.889999389648438,-75.48999786376953,43.58000183105469,9524.500122070312,17937.80029296875,171.29999160766602,1505.8999633789062,4588.500061035156,-2631.9000244140625,255.0,0.0,,0.14257921071772306,1.2400904455250679,0.19461518763647492,True,5.950511929809409,True,6,5,False,,7506299196127795709,juch29,13.0,46.04999923706055,-2056.75,17.010000228881836,-303.0999946594238,14228.699951171875,2.0999999344348907,-0.09999999776482582,0.09999999776482582,1.8000000715255737,128.0,128.0,,0.009629172506451936,1.5924309170119284,-2.554253099115902e-05,True,105.0,False,4,4,False,,enpitsu,76561198039309853,26,-1.5,531.1400146484375,128.3800048828125,4455.799865722656,-22411.99951171875,2585.8999633789062,4931.9000244140625,1916.1000061035156,1501.300048828125,255.0,255.0,,0.5304296522723448,-1.6081658873909888,-0.03207013777004207,True,2,1,False,31.0,False,,games5425898691,bf81d8692db,19.0,-2513.030029296875,3985.330078125,17.010000228881836,-17845.699462890625,10365.6005859375,2.0999999344348907,-2.0999999344348907,1.0999999940395355,1009.1999816894531,255.0,255.0,0.009585227120170809,2.6223102210442235,0.00017219697212708676,True,0.0,False,False,False,False,,
1,175,0,False,False,1,5429.063971118162,-75.80000305175781,-201.3800048828125,167.10000610351562,-12201.99951171875,8157.0001220703125,10610.699462890625,4749.100036621094,511.8000030517578,3630.8999633789062,1.0,0.0467047810871115,-0.15002912450375536,0.0029667912063051174,76561198039309853,enpitsu,26.0,-35.599998474121094,-344.17999267578125,147.2899932861328,-4452.9998779296875,22452.19970703125,2006.6999816894531,-3856.4999389648438,-3140.5999755859375,2347.899932861328,255.0,255.0,,-0.9643532624325927,1.7263346403175812,-0.5366171902077671,True,31.0,False,2,1,False,,bf81d8692db,games5425898691,19.0,2513.030029296875,-3985.330078125,17.010000228881836,17845.699462890625,-10365.6005859375,2.0999999344348907,2.0999999344348907,-1.0999999940395355,1009.1999816894531,255.0,255.0,,-0.009585227120170809,-2.6223102210442235,0.00017219697212708676,True,0.0,False,False,False,False,,StretchyChair80,2535451264898954,12,23.889999389648438,75.48999786376953,43.58000183105469,-9524.500122070312,-17937.80029296875,171.29999160766602,-1505.8999633789062,-4588.500061035156,-2631.9000244140625,255.0,0.0,,-0.14257921071772306,-1.2400904455250679,0.19461518763647492,True,6,5,False,2.824756873551238,True,,juch29,7506299196127795709,13.0,-46.04999923706055,2056.75,17.010000228881836,303.0999946594238,-14228.699951171875,2.0999999344348907,0.09999999776482582,-0.09999999776482582,1.8000000715255737,128.0,128.0,-0.009629172506451936,-1.5924309170119284,-2.554253099115902e-05,True,105.0,False,4,False,4,,
2,315,5,False,True,1,2835.4816834833964,-880.6099853515625,2930.110107421875,112.70999908447266,1975.8999633789062,19913.00048828125,4922.200012207031,1456.0000610351562,4317.9998779296875,-3903.0999755859375,1.0,-0.32615020783688536,-0.5655581977216753,0.9733101229840888,bf81d8692db,games5425898691,19.0,-818.97998046875,2743.7900390625,17.010000228881836,-20260.699462890625,10564.300537109375,2.3000000417232513,-0.7000000029802322,0.5000000074505806,-1718.5000610351562,255.0,0.0,,-0.009601524015424712,0.5296065968211179,-0.00014980345410624293,True,209.0,False,False,False,False,,76561198039309853,enpitsu,26.0,-959.4400024414062,1044.18994140625,17.040000915527344,14022.60009765625,-11544.300537109375,3.799999952316284,2.0000000298023224,-2.0000000298023224,-945.9999847412109,255.0,128.0,,-0.016788790426565725,-2.385160647199297,0.00021975321219488118,True,170.0,False,2,2,False,,StretchyChair80,2535451264898954,13,-3568.3701171875,3394.580078125,17.020000457763672,12176.600341796875,12269.7998046875,1.4000000059604645,9.900000095367432,15.0,-888.3999633789062,254.0,128.0,,-0.00947550806566999,2.4142621326397107,-0.0004631830044923401,True,8,8,False,,False,,juch29,7506299196127795709,12.0,-1022.7999877929688,3087.22998046875,17.010000228881836,10419.49951171875,-5160.0,2.0000000298023224,-0.5000000074505806,1.5999999642372131,-216.29999160766602,84.0,96.0,-0.00986631570414869,-2.6854879441966966,-3.5820546235251834e-05,True,163.0,False,4,False,4,,
3,316,5,False,False,0,8258.597663474335,862.260009765625,-2929.260009765625,135.0,-12259.300537109375,4911.700134277344,13514.599609375,5978.699951171875,264.59999084472656,429.59999084472656,0.0,0.23942366340271964,0.6188303986425521,1.120991343720181,7506299196127795709,juch29,12.0,947.6300048828125,-3050.449951171875,15.600000381469727,-7928.4002685546875,3079.5999145507812,-299.6999931335449,1408.0999755859375,-237.09999084472656,204.69999313354492,255.0,54.0,,-0.00048098951758935476,2.651142201009278,-0.0346110650119411,True,159.84316560786257,True,4,4,False,,2535451264898954,StretchyChair80,13.0,3462.659912109375,-3491.929931640625,17.020000457763672,-13000.400390625,-11308.399658203125,0.5999999865889549,-0.3999999910593033,-0.7000000029802322,-231.20000839233398,254.0,128.0,,0.009594385224380216,-2.4520387147018687,0.00011516466478867312,True,,False,8,8,False,,enpitsu,76561198039309853,26,847.8800048828125,-942.5700073242188,17.040000915527344,-12983.800048828125,12599.3994140625,3.799999952316284,0.7000000029802322,-0.7999999821186066,-291.3999938964844,255.0,128.0,,0.016772301524126874,2.3416968546090495,0.00020190122754596188,True,2,2,False,170.0,False,,games5425898691,bf81d8692db,19.0,818.97998046875,-2743.7900390625,17.010000228881836,20260.699462890625,-10564.300537109375,2.3000000417232513,0.7000000029802322,-0.5000000074505806,-1718.5000610351562,255.0,0.0,0.009601524015424712,-0.5296065968211179,-0.00014980345410624293,True,209.0,False,False,False,False,,
4,424,9,False,False,1,4890.41622555947,3691.239990234375,1127.1700439453125,285.0400085449219,-2414.7999572753906,31533.89892578125,-3402.7999877929688,2016.199951171875,2947.9998779296875,-3397.3001098632812,1.0,-0.4878744060898024,0.27796572421329285,-0.4901642574914027,76561198039309853,enpitsu,26.0,3745.409912109375,824.2100219726562,217.2100067138672,-339.59999084472656,21993.00048828125,2658.5000610351562,-4071.199951171875,-3582.6998901367188,-915.5999755859375,255.0,255.0,,0.4317826412053605,1.6635916492798535,-0.1477251042419718,True,136.0,False,4,3,False,,bf81d8692db,games5425898691,20.0,-2752.56005859375,413.4599914550781,39.04999923706055,8131.6998291015625,-21039.3994140625,-2510.2000427246094,1638.6000061035156,715.8999633789062,174.59999084472656,255.0,220.0,,0.26009391275109844,-1.9566031677292293,0.009430869084051354,True,182.0,False,6,4,False,,StretchyChair80,2535451264898954,13,-321.0199890136719,4949.58984375,17.020000457763672,-8212.60009765625,2840.1998901367188,1.0000000149011612,-0.0,-0.0,3490.4998779296875,254.0,255.0,True,-0.009544935729470606,-0.4969657836946943,4.522389476469472e-05,True,8,8,False,61.0,False,,juch29,7506299196127795709,12.0,3579.2099609375,3227.929931640625,16.989999771118164,-2016.0000610351562,-2676.400146484375,4.699999988079071,-0.29999999329447746,-0.0,-1727.1000671386719,227.0,0.0,-0.009539860881914412,-1.033680598984541,-6.950722499414439e-05,True,255.0,False,4,False,4,,
5,530,12,True,True,1,1137.9504912637583,299.010009765625,4171.22021484375,608.0999755859375,-11757.099609375,25494.69970703125,-484.59999084472656,-545.4000091552734,-3605.1998901367188,1234.4000244140625,1.0,-0.11755980792369934,2.745417336806588,-1.7739781350366879,bf81d8692db,games5425898691,19.0,331.7300109863281,3958.47998046875,539.7999877929688,3811.6000366210938,18413.900146484375,5547.9998779296875,-2952.0999145507812,-4353.999938964844,-1605.3999328613281,255.0,255.0,,0.5138132315344462,1.6362059425291788,-0.9811482140586906,True,82.47759982847404,True,8,5,False,,76561198039309853,enpitsu,26.0,-1146.989990234375,4765.169921875,17.030000686645508,-22696.201171875,-2564.89990234375,5.0,-0.09999999776482582,-0.0,0.09999999776482582,255.0,255.0,,-0.016778229454104985,-0.11257228559286442,-1.1024598178965848e-05,True,0.0,False,4,4,False,,StretchyChair80,2535451264898954,13,-553.22998046875,4525.7001953125,355.82000732421875,1344.2999267578125,-5869.1998291015625,-402.09999084472656,660.1999664306641,574.5000076293945,813.1999969482422,255.0,171.0,False,0.34235330672966136,-1.9496371116147326,0.7421362716523998,True,10,8,False,0.0,False,,juch29,7506299196127795709,12.0,-248.30999755859375,4625.81982421875,800.5999755859375,-18910.6005859375,-3759.2999267578125,-3654.2001342773438,-281.9000053405762,4677.699890136719,2878.9999389648438,0.0,233.0,-0.46092900533423775,-2.180422763172543,-2.766808163083583,True,118.0,False,6,False,4,,
6,800,13,False,False,0,5184.264243886428,8.050000190734863,35.16999816894531,92.6500015258789,6974.2999267578125,25708.89892578125,96.89999580383301,-1491.6000366210938,-27.5,-670.5000305175781,0.0,-0.0012743420261337223,-0.011148375031900349,-0.02245234276217955,7506299196127795709,juch29,11.0,-35.5,-157.5399932861328,58.470001220703125,740.8999633789062,21854.599609375,-1973.9999389648438,-1035.8000183105469,1179.800033569336,-643.8999938964844,236.0,69.0,,-0.27105804166956243,1.774771587850897,-0.5438317329913225,True,45.0,False,4,4,False,,2535451264898954,StretchyChair80,12.0,-3166.800048828125,-3933.570068359375,16.93000030517578,-1680.2000427246094,-489.7999954223633,22.5,-0.5000000074505806,-1.8000000715255737,3034.2001342773438,255.0,255.0,,0.009401843622905068,-0.7865308875777511,-0.00021514507248395075,True,255.0,False,4,4,False,,enpitsu,76561198039309853,26,0.0,2684.60009765625,17.049999237060547,0.0,-8801.199951171875,2.5999999046325684,-0.5000000074505806,0.0,0.0,255.0,,,0.016716197375927395,-1.570774604858802,1.8179331982364296e-07,True,False,False,False,116.0,False,,games5425898691,bf81d8692db,19.0,-21.510000228881836,405.5400085449219,83.23999786376953,-2191.0000610351562,-22722.2998046875,2159.1000366210938,5431.7999267578125,-862.5,-34.700000286102295,128.0,128.0,0.7053571316154215,-1.7336343963049665,-0.004462808663446798,True,31.0,False,4,False,3,,
7,802,13,False,False,1,5285.577964104052,-123.56999969482422,-46.310001373291016,108.05000305175781,-30862.2998046875,9308.200073242188,2077.100067138672,1052.0999908447266,1474.4000244140625,5720.0,1.0,0.0651954635326075,-0.13670056557100438,-0.20236635324818572,bf81d8692db,games5425898691,19.0,39.810001373291016,-216.13999938964844,95.0999984741211,2191.0000610351562,22722.2998046875,200.10000228881836,-5443.900146484375,762.6000213623047,178.09999465942383,128.0,171.0,,-1.3081214032547737,1.752540057165981,-0.03246981721330273,True,31.0,False,4,3,False,,76561198039309853,enpitsu,26.0,-0.0,-2592.949951171875,17.049999237060547,-0.0,9463.900146484375,2.5999999046325684,0.3999999910593033,-0.0,0.0,255.0,,,-0.016716197375927395,1.570774604858802,1.8179331982364296e-07,True,116.0,False,False,False,False,,StretchyChair80,2535451264898954,12,3173.31005859375,3939.0,17.010000228881836,-144.89999771118164,593.4000015258789,2.5999999046325684,-0.09999999776482582,-1.7000000178813934,1356.199951171875,255.0,255.0,,-0.009395241124356172,0.6238809478151041,0.00018430025843032017,True,4,4,False,255.0,False,,juch29,7506299196127795709,11.0,33.060001373291016,8.510000228881836,48.720001220703125,-302.60000228881836,-15515.10009765625,-44.49999809265137,967.0999908447266,-4166.300048828125,2035.0999450683594,236.0,38.0,0.6029581283474142,-1.739327403303071,-0.645176578056252,True,45.0,False,4,False,4,,
8,926,18,False,False,1,5331.713703445159,-3816.090087890625,2645.330078125,1436.0699462890625,3878.599853515625,22995.2001953125,890.5000305175781,-334.70001220703125,-5025.799865722656,3260.10009765625,1.0,-0.5196924924328705,-2.671669124908762,0.7363694973324666,76561198039309853,enpitsu,26.0,-3840.0400390625,2482.110107421875,1356.0899658203125,5052.200012207031,15257.099609375,-189.69999313354492,-56.99999809265137,2472.7000427246094,-2486.0000610351562,128.0,128.0,,-0.025243705137887713,1.5959122475674632,1.6159662838238178,True,227.0,False,2,False,False,,bf81d8692db,games5425898691,19.0,3065.10009765625,-4101.009765625,17.010000228881836,191.20000839233398,-16327.5,2.3000000417232513,0.09999999776482582,-0.09999999776482582,-2005.8999633789062,255.0,0.0,,-0.009585414244947042,-1.5143412458909087,-3.403902564648667e-05,True,255.0,False,6,6,False,,StretchyChair80,2535451264898954,13,126.16999816894531,5410.83984375,19.280000686645508,-1011.1000061035156,-277.09999084472656,-14.900000095367432,0.19999999552965164,0.5999999865889549,-1.2999999523162842,128.0,128.0,,-0.019674548868694953,-0.25571405137081654,-0.038144359492675146,True,4,4,False,222.0,False,,juch29,7506299196127795709,11.0,-3277.5,3098.6298828125,15.739999771118164,2490.2999877929688,20260.799560546875,99.70000267028809,81.40000343322754,33.90000104904175,310.79999923706055,235.0,128.0,-0.013078456674200817,1.651831810350333,0.007869283736373599,True,,False,8,False,8,,
9,990,20,False,False,0,10351.52903529363,1203.6099853515625,-4996.35986328125,278.8399963378906,-6964.5001220703125,10304.3994140625,-2015.8000183105469,-2941.4999389648438,4531.099853515625,2610.5999755859375,0.0,0.8949969387945264,-2.0677035564847794,-0.018391143625850634,7506299196127795709,juch29,11.0,1202.0,-5098.10986328125,171.60000610351562,-14301.099853515625,2833.699951171875,1628.3000183105469,-634.0000152587891,-1162.5,-60.900001525878906,95.0,0.0,,-0.14055368374865704,-3.1224555485241394,1.5728499203823647,True,,False,10,8,False,,2535451264898954,StretchyChair80,13.0,1032.9200439453125,-4938.169921875,186.6300048828125,8480.399780273438,6790.0,578.6000061035156,-4725.5999755859375,1857.8999328613281,-2113.3999633789062,255.0,224.0,,-0.12825601185371144,0.243677588663371,-0.5510619660870844,True,222.0,False,6,5,False,,enpitsu,76561198039309853,26,1922.219970703125,-4876.3798828125,14.84000015258789,-9973.400268554688,11034.200439453125,370.60001373291016,-391.5999984741211,12.999999523162842,522.2999954223633,255.0,128.0,False,-0.022342736483395038,2.288937186182095,-0.03117322903571148,True,2,False,False,117.05304080952882,True,,games5425898691,bf81d8692db,19.0,1055.719970703125,4425.68994140625,16.59000015258789,21399.19921875,-8430.0,76.5999984741211,4.799999892711639,-15.59999942779541,-1694.2999267578125,255.0,0.0,0.01032920434414375,-0.42355958092442136,-0.0007474910255222821,True,196.6405418380614,True,8,False,8,,
