,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,165,0,False,False,1,5212.84400935643,-12.3100004196167,6.900000095367432,95.08999633789062,-24266.99951171875,8437.5,4061.099853515625,2552.100067138672,3018.5000610351562,4513.800048828125,1.0,0.028560785749544716,-0.04391358958775748,-0.025252854542594388,76561198355729697,EgorTerl,3.0,213.8800048828125,-117.25,54.13999938964844,-12890.699462890625,18664.3994140625,-1925.0999450683594,-2149.7000122070312,-1464.4000244140625,1756.4999389648438,255.0,255.0,,0.06593810984104759,0.597119032986361,-0.4212204716875903,True,4,False,0.0,False,4,,f3e48c0d221e48c58decc959722f412a,simmigthebeast1,7.0,-2607.510009765625,-3910.56005859375,17.049999237060547,-18176.199951171875,-5894.69970703125,2.5,-0.19999999552965164,-0.0,0.0,255.0,128.0,,-0.016786981085467886,-0.31361666712122555,-1.6727930285018528e-05,True,0.0,False,False,False,False,,enpitsu,76561198039309853,26.0,256.0,3840.0,17.049999237060547,-0.0,-0.0,2.7000001072883606,-0.3999999910593033,-0.0,0.0,128.0,,,-0.016815442850063967,-1.5707755005357953,7.394987129267032e-06,True,False,74.0,False,False,False,,games5425898691,bf81d8692db,19.0,-174.8300018310547,610.5599975585938,46.099998474121094,2005.0,-18456.199951171875,3347.60009765625,415.40000915527344,8.899999856948853,-628.6999893188477,255.0,128.0,,-0.01826571681563418,-1.5964955335357107,0.0006619656146226387,True,0.0,False,False,False,4,
1,291,4,False,False,1,5055.310889764863,-3653.60009765625,2936.070068359375,1162.0699462890625,8061.400146484375,25001.8994140625,-3540.4998779296875,-3178.0999755859375,-1615.5000305175781,-4825.899963378906,1.0,-0.6010922101705517,-1.829112544244081,-0.3387199947850666,f3e48c0d221e48c58decc959722f412a,simmigthebeast1,9.0,-3727.580078125,2661.5,1177.239990234375,-4492.900085449219,21917.2998046875,-2141.4999389648438,1503.6000061035156,-5193.2000732421875,1009.3000030517578,,255.0,,-0.14035851479331846,1.2770795623232865,-0.188207033294991,True,3,False,114.72649489936009,True,4,,76561198355729697,EgorTerl,3.0,-2018.97998046875,-1074.9000244140625,17.010000228881836,-1057.699966430664,15442.2998046875,2.3000000417232513,-0.09999999776482582,-0.3999999910593033,1993.8999938964844,255.0,255.0,,-0.00956905734304479,1.4417846016074103,4.4718976636297355e-05,True,24.71220668156942,True,False,4,4,,enpitsu,76561198039309853,26.0,-2580.2099609375,4230.08984375,17.049999237060547,6672.9998779296875,5682.19970703125,3.1999999284744263,-0.29999999329447746,-0.0,2476.699981689453,255.0,255.0,,-0.01666058911009368,2.4044656183927224,3.2479794638870816e-05,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,19.0,3757.89990234375,1000.2999877929688,16.780000686645508,-5457.9998779296875,22021.39892578125,36.500000953674316,8.399999737739563,-83.4000015258789,-86.80000305175781,255.0,91.0,,-0.008745578910208185,1.319999830614961,0.0057163847934839,True,223.68104960328793,True,6,False,6,
2,333,6,False,False,0,10448.791846225255,1836.3599853515625,-4945.2099609375,138.3000030517578,-23543.60107421875,1978.5000610351562,-4342.300109863281,-2202.2000122070312,-4700.5999755859375,3008.900146484375,0.0,0.7596657348606544,1.7388973963232006,0.058417896227288095,76561198039309853,enpitsu,26.0,1997.7099609375,-4987.75,75.0999984741211,-13604.200439453125,-4798.399963378906,2505.0999450683594,-780.5000305175781,-4875.7000732421875,1115.1000213623047,255.0,128.0,False,0.1655389494522379,-3.0773108704025796,0.3121195748857058,True,1,False,238.0,False,2,,bf81d8692db,games5425898691,19.0,-2927.820068359375,-4302.0498046875,16.989999771118164,15053.499755859375,-16244.300537109375,4.799999892711639,-0.19999999552965164,0.7999999821186066,1909.9000549316406,255.0,255.0,,0.009565927180841843,-0.7550795522483018,7.746709629172889e-05,True,255.0,False,False,6,6,,simmigthebeast1,f3e48c0d221e48c58decc959722f412a,9.0,3320.820068359375,-4354.06982421875,11.630000114440918,-16618.1005859375,3959.2001342773438,-520.099983215332,1215.199966430664,2234.4000244140625,45.999999046325684,255.0,122.0,,-0.008999221570320974,2.8986504933617177,-0.009831072119751406,True,4,82.08942807618008,True,4,False,,EgorTerl,76561198355729697,3.0,3719.699951171875,-407.6000061035156,17.010000228881836,197.29999542236328,-14462.60009765625,0.09999999776482582,0.29999999329447746,0.29999999329447746,-2213.699951171875,255.0,0.0,False,0.009566438276173138,-1.6331663895413842,6.79647183874936e-05,True,239.3368600773555,True,4,False,4,
3,363,7,False,False,0,9875.753237188315,-414.3299865722656,-4724.0,113.41999816894531,18539.100341796875,17156.500244140625,15622.19970703125,-733.7999725341797,-5200.5999755859375,2900.7998657226562,0.0,0.9588838198259907,1.5494079776803669,-0.5433554871959055,bf81d8692db,games5425898691,19.0,-587.7899780273438,-4805.02978515625,21.93000030517578,22800.10009765625,-79.0999984741211,2982.39990234375,-2.5,0.19999999552965164,1240.8000183105469,255.0,185.0,,0.009564911872758512,0.0404054986983693,0.00010153396368399226,True,6,False,196.0,False,7,,76561198039309853,enpitsu,26.0,635.4299926757812,-4970.68017578125,52.119998931884766,-12243.900146484375,929.0000152587891,-3021.7999267578125,461.8000030517578,-785.1000213623047,647.3999786376953,255.0,128.0,False,-0.13470391588525432,3.0067195164589924,0.7979373896047889,True,238.0,False,False,2,2,,simmigthebeast1,f3e48c0d221e48c58decc959722f412a,9.0,1025.510009765625,-3994.56005859375,45.369998931884766,-21384.09912109375,7801.500244140625,3294.2001342773438,-169.69999313354492,-379.3000030517578,-569.5000076293945,255.0,128.0,,0.025448572794002894,2.7225285463813917,0.0005947727228002509,True,4,23.54941067131617,True,6,False,,EgorTerl,76561198355729697,3.0,2225.2099609375,-946.8800048828125,17.010000228881836,-11722.60009765625,11712.2998046875,2.3000000417232513,-0.3999999910593033,0.19999999552965164,-2003.800048828125,255.0,0.0,False,0.009578716883759828,2.286860550511772,-4.100724969570466e-05,True,197.0,False,4,False,4,
4,475,11,False,False,0,6239.451334467702,3447.14990234375,660.2899780273438,92.41999816894531,-9694.199829101562,4829.5001220703125,0.0,-2490.0999450683594,-5361.400146484375,-1026.500015258789,0.0,0.27197125599875593,1.7787243357808236,0.24609942186824757,bf81d8692db,games5425898691,19.0,3648.800048828125,652.989990234375,181.02999877929688,6683.4002685546875,21957.5,1481.7999267578125,-4520.10009765625,-3001.9000244140625,-898.0000305175781,255.0,255.0,,0.1554421786018849,1.09698627972785,-0.6399024979911571,True,7,False,123.0,False,10,,76561198039309853,enpitsu,26.0,-1069.550048828125,-4458.740234375,17.049999237060547,10395.699462890625,-6848.3001708984375,3.1999999284744263,-1.1999999731779099,0.9000000357627869,1924.6000671386719,255.0,255.0,False,0.016720075235725496,-0.5653454237579078,0.0002951895467931826,True,238.0,False,False,2,2,,simmigthebeast1,f3e48c0d221e48c58decc959722f412a,7.0,-3512.989990234375,2804.800048828125,17.040000915527344,7106.400146484375,21874.599609375,0.0,-0.29999999329447746,-0.5999999865889549,-73.00000190734863,255.0,128.0,,0.016768313324579554,1.2492005083986533,7.044936911297803e-05,True,8,15.355036609916278,True,8,False,,EgorTerl,76561198355729697,3.0,3235.97998046875,1778.4100341796875,242.07000732421875,180.20000457763672,324.0999984741211,3375.5999755859375,-1136.1000061035156,19.40000057220459,-1909.2999267578125,255.0,0.0,False,-0.4260145804923288,-2.4561902332176277,0.08781010438028508,True,155.0,False,4,4,6,
5,544,13,False,False,1,7138.318197843363,-1719.6099853515625,-1501.8499755859375,97.11000061035156,4843.2000732421875,8388.200073242188,3335.8999633789062,2186.4999389648438,1516.0000610351562,5377.7001953125,1.0,-0.047869364445379405,-0.4656596241352201,-2.2865073407586722,76561198355729697,EgorTerl,3.0,-1769.1300048828125,-1678.3699951171875,17.010000228881836,11010.799560546875,4975.5999755859375,0.19999999552965164,-2.0999999344348907,-0.7999999821186066,2242.899932861328,255.0,255.0,False,-0.009558234613238487,2.676167167959578,0.00016408939894947179,True,4,4,44.0,False,6,,f3e48c0d221e48c58decc959722f412a,simmigthebeast1,7.0,-585.469970703125,-3188.260009765625,17.040000915527344,-9545.800170898438,16641.99951171875,4.300000071525574,-0.29999999329447746,0.5999999865889549,-1950.7000732421875,128.0,0.0,,-0.016847443396176262,1.1159873955120523,-7.958030019025471e-05,True,222.0,False,False,8,8,,enpitsu,76561198039309853,26.0,58.16999816894531,2476.02001953125,17.049999237060547,2716.4999389648438,-9914.099731445312,3.1999999284744263,0.9000000357627869,-1.2999999523162842,-2132.5999450683594,0.0,128.0,False,-0.016819358382758377,-1.806024473508912,-0.00014844942945567554,True,2,255.0,False,2,False,,games5425898691,bf81d8692db,19.0,-2322.969970703125,-4029.97998046875,17.010000228881836,19462.900390625,11863.299560546875,0.0,-1.1999999731779099,-0.5999999865889549,1494.1000366210938,255.0,210.0,,-0.009582102279595616,2.5506593502013297,0.0001815596893109104,True,217.4021674997063,True,8,False,10,
6,574,14,False,False,1,6051.23327578396,-1240.9200439453125,-521.3599853515625,147.24000549316406,2532.899932861328,11216.8994140625,108.50000381469727,907.5,939.1999816894531,5134.2999267578125,1.0,-0.025813642071599818,-0.7316933695881049,-2.3742628895000886,76561198355729697,EgorTerl,4.0,-1196.969970703125,-596.4400024414062,16.90999984741211,2650.7998657226562,11800.30029296875,-3.100000023841858,-22.799999713897705,-50.0,159.7000026702881,255.0,128.0,,-0.016128546100524385,1.776419840935733,-0.00849060582820376,False,4,4,36.0,False,6,,f3e48c0d221e48c58decc959722f412a,simmigthebeast1,6.0,-95.8499984741211,-1489.18994140625,17.040000915527344,3569.1000366210938,16024.89990234375,4.000000059604645,-0.5000000074505806,-3.4999999403953552,1529.4999694824219,255.0,155.0,,-0.016792265610733593,1.7236575508699818,-4.6294549135472196e-05,True,222.0,False,False,8,8,,enpitsu,76561198039309853,26.0,48.68000030517578,2726.489990234375,17.049999237060547,-781.9999694824219,8656.400146484375,2.5,-0.7999999821186066,-0.0,0.0,0.0,,,-0.0169623163828809,-1.6609216751769407,1.102437063846607e-06,True,2,255.0,False,2,False,,games5425898691,bf81d8692db,19.0,-1070.800048828125,-1962.0,17.010000228881836,6749.69970703125,21987.099609375,0.9000000357627869,-0.0,0.3999999910593033,0.19999999552965164,255.0,128.0,,-0.009593108145790372,1.8686085330296298,-2.7317392548916522e-05,True,132.0,False,8,False,10,
7,584,15,False,False,1,5634.18472775898,-1176.8499755859375,-99.0199966430664,146.58999633789062,761.3999938964844,12119.100341796875,87.5,-660.8000183105469,324.0999984741211,4845.4998779296875,1.0,-0.054950859165086526,-2.5322587168896726,-2.546897981429364,76561198355729697,EgorTerl,4.0,-1120.72998046875,-171.7100067138672,16.969999313354492,1548.9999389648438,12716.700439453125,6.299999952316284,29.800000190734863,58.60000133514404,1185.5000305175781,128.0,255.0,,-0.010785105376999527,1.696568316919927,-0.0030566103464833923,False,4,4,36.0,False,6,,f3e48c0d221e48c58decc959722f412a,simmigthebeast1,6.0,-4.25,-940.72998046875,17.040000915527344,4741.7999267578125,15418.00048828125,4.300000071525574,0.5000000074505806,1.8000000715255737,-1829.9000549316406,255.0,48.0,,-0.01678048062786403,1.9156803357578436,-0.00014241072271706974,True,252.0,False,False,8,8,,enpitsu,76561198039309853,26.0,20.15999984741211,3042.070068359375,17.049999237060547,-958.0999755859375,10604.89990234375,2.5,-0.7999999821186066,-0.0,0.0,0.0,,,-0.016931830854850217,-1.6609222465964943,-2.6901804395777044e-07,True,2,255.0,False,2,False,,games5425898691,bf81d8692db,19.0,-847.77001953125,-1209.030029296875,17.010000228881836,5235.2001953125,22333.1005859375,2.0999999344348907,-0.29999999329447746,-1.2999999523162842,1254.3000030517578,255.0,201.0,,-0.009597844110641051,1.767804504300871,0.0001478264231755943,True,132.0,False,8,False,10,
8,591,15,False,False,1,5338.018894579429,-1173.5,219.47000122070312,146.30999755859375,-464.00001525878906,12568.299560546875,19.700000286102295,-1059.4000244140625,-217.00000762939453,4758.299865722656,1.0,-0.09628163475143289,2.5325528641868997,-2.7950381566006035,76561198355729697,EgorTerl,4.0,-1108.3399658203125,169.75999450683594,16.899999618530273,-45.900001525878906,12633.900146484375,11.299999952316284,28.900001049041748,41.10000133514404,34.60000038146973,255.0,128.0,,-0.012505802105873737,1.563576403171542,-0.006615500723219987,False,4,4,66.0,False,6,,f3e48c0d221e48c58decc959722f412a,simmigthebeast1,6.0,178.07000732421875,-540.010009765625,17.040000915527344,7455.0,14159.3994140625,3.799999952316284,-0.5000000074505806,-1.0000000149011612,-75.3000020980835,255.0,121.0,,-0.016781517382992293,2.0598554454414435,6.679494786662884e-05,True,252.0,False,False,8,8,,enpitsu,76561198039309853,26.0,-6.010000228881836,3331.949951171875,17.049999237060547,-1061.500015258789,11748.800048828125,2.5,-0.7999999821186066,-0.0,0.0,0.0,,,-0.0169165863468699,-1.6609222803690133,-9.564577853598913e-07,True,2,255.0,False,2,False,,games5425898691,bf81d8692db,19.0,-760.530029296875,-621.0499877929688,17.010000228881836,1973.0999755859375,22915.2001953125,-0.09999999776482582,0.09999999776482582,2.3000000417232513,1077.6000213623047,255.0,236.0,,-0.00960076426630291,1.639360015896077,0.00014404285549565925,True,110.06222816949251,True,8,False,10,
9,610,16,False,False,1,4605.199377564092,-1381.949951171875,1137.6500244140625,149.07000732421875,-4342.699890136719,14980.400390625,422.40001678466797,-1066.2999725341797,2012.4000549316406,4677.9998779296875,1.0,0.08702269452787803,-0.8418662346017837,-2.474231525905583,76561198355729697,EgorTerl,4.0,-1347.0999755859375,1001.4400024414062,17.0,-5882.8997802734375,12887.900390625,3.400000035762787,3.6000001430511475,2.3999999463558197,9.900000095367432,255.0,128.0,,-0.009858213247130591,1.1410238247268898,-5.0531924715399706e-05,False,4,4,57.0,False,6,,f3e48c0d221e48c58decc959722f412a,simmigthebeast1,6.0,870.469970703125,173.0,17.040000915527344,14020.799560546875,6283.900146484375,4.300000071525574,0.5999999865889549,0.3999999910593033,-1992.2000122070312,255.0,20.0,,-0.01676597732738466,2.7754260140644975,-8.335750426178009e-05,False,252.0,False,False,8,8,,enpitsu,76561198039309853,26.0,-81.45999908447266,4306.25,17.049999237060547,974.5999908447266,11937.5,2.5999999046325684,-1.0000000149011612,-1.0999999940395355,-1709.4000244140625,128.0,128.0,False,-0.016742734509625646,-1.0133879830802723,0.00010536552924710613,True,2,255.0,False,2,False,,games5425898691,bf81d8692db,19.0,-1135.1600341796875,982.0,17.010000228881836,-14972.5,17459.100341796875,0.0,-0.0,-0.19999999552965164,1833.3000183105469,255.0,253.0,,-0.009598335320018565,0.7934388033616142,5.577457544003266e-05,True,50.556748538888904,True,8,False,10,
