,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,169,0,False,False,1,5198.304058456865,-9.960000038146973,21.25,93.02999877929688,-11770.699462890625,28506.79931640625,2611.400146484375,981.1000061035156,508.3000183105469,-3703.2998657226562,1.0,0.004360462464242659,0.030836800909559058,-0.00810689351604479,577503409224688201,Cityzens57,8.0,113.4800033569336,-226.25999450683594,72.95999908447266,-15261.300048828125,17058.00048828125,2258.5000610351562,-2506.4999389648438,-2181.199951171875,-401.50001525878906,255.0,208.0,True,-0.1483724764636174,1.1793661054957476,0.13543623482098502,True,0.0,False,4,3,False,,4042344931153294245,Seaqzy,7.0,-0.0,-2445.10009765625,16.149999618530273,0.29999999329447746,14100.799560546875,107.89999961853027,53.499999046325684,0.19999999552965164,0.0,255.0,,,-0.013954275287732082,1.5708393509757743,-1.5559633425244945e-05,True,146.0,False,4,4,False,,enpitsu,76561198039309853,24.0,-0.0,2844.330078125,17.049999237060547,-0.0,-8657.999877929688,3.1999999284744263,0.5999999865889549,-0.0,0.0,255.0,,,-0.016807813433283737,-1.5708173549416609,1.171382473761168e-07,True,146.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-18.709999084472656,521.6699829101562,21.979999542236328,-1644.2999267578125,-18904.3994140625,2999.7000122070312,-0.0,-1.5000000596046448,-1584.9000549316406,255.0,51.0,,-0.009615847163963135,-1.4146136516824444,5.109434408945431e-05,True,22.0,False,3,False,False,
1,171,0,False,False,0,5394.309458935654,102.19000244140625,-161.14999389648438,122.30000305175781,22554.29931640625,21048.00048828125,13251.300048828125,3427.9998779296875,-240.30000686645508,-4918.399963378906,0.0,-0.023880860139802503,-0.3582193086998029,0.014154667698078034,bf81d8692db,games5425898691,20.0,48.060001373291016,-305.1499938964844,55.41999816894531,3399.7000122070312,16277.60009765625,1409.6000671386719,4656.199951171875,591.3000106811523,-1519.7999572753906,255.0,113.0,,0.01677182137360349,1.251678339197592,0.016628595397696535,True,22.0,False,4,3,False,,76561198039309853,enpitsu,24.0,0.0,-2774.179931640625,17.049999237060547,0.0,8220.0,3.1999999284744263,-0.5999999865889549,0.0,0.0,255.0,,,0.016807813433283737,1.5708173549416609,1.171382473761168e-07,True,146.0,False,False,False,False,,Cityzens57,577503409224688201,8.0,7.420000076293945,96.91000366210938,89.12999725341797,13896.300048828125,-14337.900390625,1684.1000366210938,2710.1998901367188,4778.999938964844,254.20000076293945,255.0,230.0,True,0.5806999766255585,-1.3438305376030302,-0.25906170830779623,True,0.0,False,4,False,3,,Seaqzy,4042344931153294245,7.0,0.0,2351.10009765625,16.729999542236328,-0.3999999910593033,-14101.500244140625,59.40000057220459,-28.69999885559082,-0.09999999776482582,0.0,255.0,,,0.011154232054784505,-1.5708567772166218,-7.966686176038542e-06,True,146.0,False,4,4,False,
2,173,0,False,False,1,5196.681539747867,-219.66000366210938,64.48999786376953,188.66000366210938,-35867.5,-100.69999694824219,15052.099609375,3508.5000610351562,1477.7999877929688,4637.39990234375,1.0,0.06609324865491217,0.40912806378009114,0.06718970025928671,577503409224688201,Cityzens57,8.0,-122.66000366210938,20.65999984741211,98.9000015258789,-13635.400390625,12185.899658203125,561.1000061035156,1882.5999450683594,-3024.7000122070312,4190.0,255.0,243.0,True,-0.8831630936226557,1.6606532093734356,-0.935573875258256,True,0.0,False,4,3,False,,4042344931153294245,Seaqzy,7.0,-0.30000001192092896,-2233.610107421875,16.969999313354492,-183.1999969482422,14090.50048828125,13.500000238418579,6.9999998807907104,2.7000001072883606,448.3000183105469,255.0,185.0,,-0.009933411386643809,1.5631752056551445,4.548195460463762e-05,True,146.0,False,4,4,False,,enpitsu,76561198039309853,24.0,-0.0,2705.2099609375,17.049999237060547,-0.0,-8525.10009765625,3.1999999284744263,-1.0000000149011612,-0.0,0.0,255.0,0.0,,-0.016731516635958257,-1.5708178953741705,1.212741970599619e-07,True,146.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-48.060001373291016,305.1499938964844,55.41999816894531,-3399.7000122070312,-16277.60009765625,1409.6000671386719,-4656.199951171875,-591.3000106811523,-1519.7999572753906,255.0,113.0,,-0.01677182137360349,-1.251678339197592,0.016628595397696535,True,22.0,False,4,3,False,
3,283,4,False,False,1,4851.316299085181,1843.949951171875,382.20001220703125,118.83999633789062,10332.099609375,15768.199462890625,-1881.6000366210938,4245.10009765625,-2755.8999633789062,521.3000106811523,1.0,0.6294100095599664,1.030760124366995,1.178766180819439,4042344931153294245,Seaqzy,5.0,1779.8399658203125,181.22000122070312,17.010000228881836,12241.199951171875,12411.199951171875,2.3999999463558197,-1.4000000059604645,-1.7000000178813934,560.099983215332,255.0,114.0,,-0.009569163384479096,2.300605039364857,-0.0001354916053830887,False,91.0,False,4,4,False,,577503409224688201,Cityzens57,6.0,-1787.989990234375,248.1699981689453,17.010000228881836,12713.800048828125,3774.1000366210938,2.8999999165534973,-0.29999999329447746,-0.0,2255.800018310547,255.0,243.0,,-0.009575941030976786,2.787662035455582,5.196060131308781e-05,True,255.0,False,4,4,False,,enpitsu,76561198039309853,24.0,1178.4200439453125,4817.56005859375,17.049999237060547,12286.8994140625,6919.7998046875,3.1999999284744263,-0.5999999865889549,-0.0,0.0,255.0,,,-0.016757878260467124,2.628702015120181,4.9556760238667474e-05,True,207.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-2916.449951171875,3022.949951171875,29.43000030517578,787.0999908447266,18246.400146484375,-2863.699951171875,-2252.100067138672,84.30000305175781,1013.6000061035156,255.0,248.0,,0.09661799999366899,1.62158945370736,-0.009241993170312806,True,,False,6,6,False,
4,323,5,False,False,1,3207.398600984583,3051.5400390625,2764.909912109375,92.88999938964844,-846.5000152587891,31201.79931640625,1566.9999694824219,-3260.10009765625,1664.9000549316406,-4753.800048828125,1.0,0.9091478520561337,0.8194951688553352,1.8447311589055997,4042344931153294245,Seaqzy,5.0,3101.3798828125,2558.070068359375,72.54000091552734,-6308.900146484375,22026.0009765625,2012.4000549316406,-512.9999923706055,-5413.599853515625,823.7999725341797,255.0,254.0,,-0.20765117948344652,1.306742836574124,-0.4291305991972821,False,18.867226062282448,True,6,5,False,,577503409224688201,Cityzens57,6.0,-609.97998046875,1754.47998046875,17.010000228881836,11442.099609375,7743.0999755859375,2.8999999165534973,-0.0,-0.0,-2194.4000244140625,255.0,0.0,,-0.009565339900511676,2.6120986955597094,-5.8794648694225235e-06,True,255.0,False,4,4,False,,enpitsu,76561198039309853,24.0,2366.469970703125,4357.81982421875,17.06999969482422,-3877.0999145507812,-5030.5999755859375,1.5999999642372131,0.7000000029802322,-1.1999999731779099,-1752.7999877929688,0.0,128.0,False,-0.01719333894063209,-0.8736125077505381,6.696098184746699e-05,True,207.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-2289.169921875,5003.0498046875,26.780000686645508,14919.100341796875,2365.399932861328,798.0999755859375,1947.4000549316406,371.1000061035156,-256.00000381469727,255.0,128.0,,0.046348488256806146,2.9809668249002526,0.2869735979055521,True,255.0,False,6,6,False,
5,441,9,False,False,0,9786.052984729109,789.6099853515625,-4499.7900390625,1036.469970703125,8771.500244140625,4937.39990234375,13010.699462890625,3529.5999145507812,-756.2000274658203,-4701.600036621094,0.0,-0.5608068937252298,-2.0476242913336393,2.794675844432688,bf81d8692db,games5425898691,20.0,762.8099975585938,-4537.240234375,842.1599731445312,107.70000457763672,5345.10009765625,6911.199951171875,-1426.9000244140625,-1360.0,1624.6000671386719,255.0,21.0,,-0.8694757951313603,0.9821928797596517,2.239383534522337,True,129.71604283137987,True,8,6,False,,76561198039309853,enpitsu,24.0,2308.909912109375,-4576.72998046875,16.5,501.6999816894531,2848.0999755859375,80.50000190734863,7.400000095367432,-0.7000000029802322,-59.40000057220459,255.0,,,0.01720568068079531,1.3902818288932397,-2.05221781639056e-06,True,85.0,False,False,False,False,,Cityzens57,577503409224688201,6.0,1839.199951171875,-2623.5,17.010000228881836,4456.7999267578125,-1357.7000427246094,3.100000023841858,-1.0999999940395355,-2.0999999344348907,-1602.4000549316406,128.0,0.0,,0.009806998402510527,-0.27648825286589523,-1.9107854661784254e-05,True,255.0,False,4,False,4,,Seaqzy,4042344931153294245,5.0,843.9600219726562,-5102.990234375,1108.5699462890625,14288.399658203125,2.5,-992.0999908447266,-0.29999999329447746,-45.39999961853027,0.0,255.0,128.0,,0.044878617697759346,-0.009571240761232457,-1.5712020589872862,True,0.0,False,6,6,False,
6,518,12,False,False,1,4076.9330170293633,-2721.5,3259.820068359375,146.5399932861328,9422.000122070312,2138.800048828125,2758.9999389648438,1365.5999755859375,-5672.2998046875,-1399.7999572753906,1.0,0.18389850389369247,-0.29940124613663865,1.3578078521316106,577503409224688201,Cityzens57,6.0,-2861.469970703125,3217.030029296875,17.010000228881836,9769.7998046875,3592.0999145507812,3.100000023841858,-0.19999999552965164,-0.0,-2378.800048828125,255.0,0.0,,-0.009529335562793274,2.8421326855663653,1.360696714468213e-05,True,255.0,False,4,4,False,,4042344931153294245,Seaqzy,5.0,-3310.719970703125,3019.659912109375,93.1500015258789,-1738.0999755859375,-18668.299560546875,-150.600004196167,5282.60009765625,1475.2000427246094,408.69998931884766,255.0,128.0,,0.41829564918983086,0.9613663325683898,2.929813597047893,True,0.0,False,8,7,False,,enpitsu,76561198039309853,24.0,-2231.300048828125,4948.72998046875,18.1299991607666,13449.69970703125,976.1000061035156,51.70000076293945,164.40000534057617,13.700000047683716,0.19999999552965164,255.0,128.0,,-0.01399397873457185,3.0655883765068705,0.03227326901494305,True,85.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-1185.27001953125,2598.080078125,15.0,-3172.9000854492188,-1680.5999755859375,470.9000015258789,-521.1000061035156,-408.6000061035156,233.79999160766602,255.0,128.0,,0.005804537366063069,-0.12214332045345114,-0.019721063441378223,True,118.0,False,8,6,False,
7,541,13,False,False,1,3307.7439841020478,-1941.7099609375,3440.419921875,150.11000061035156,7443.800048828125,5165.3997802734375,1477.2999572753906,3227.60009765625,-681.9999694824219,-1445.2000427246094,1.0,1.2604867331918956,-1.5645678752777827,0.24542138597145813,577503409224688201,Cityzens57,6.0,-1991.8499755859375,3356.35009765625,17.010000228881836,7337.80029296875,6091.500244140625,2.5999999046325684,1.1999999731779099,1.0999999940395355,196.70000076293945,128.0,139.0,,-0.009637007020933886,2.4277391966587807,-0.00016615410256280442,True,247.0,False,4,4,False,,4042344931153294245,Seaqzy,5.0,-3444.81005859375,1493.219970703125,16.8700008392334,-2145.800018310547,-18612.7001953125,35.999999046325684,-15.099999904632568,-26.19999885559082,-61.19999885559082,255.0,128.0,,-0.010187891646943226,-1.4491605480541805,-0.0015223240917235587,True,0.0,False,8,8,False,,enpitsu,76561198039309853,24.0,-1127.3599853515625,4965.14013671875,17.110000610351562,7838.599853515625,-1827.7999877929688,-260.49999237060547,-714.5999908447266,164.3000030517578,-362.2999954223633,128.0,128.0,,-0.017986945386374718,-2.8383556527295215,0.01659924817894219,True,85.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-1624.219970703125,2948.419921875,17.020000457763672,-2324.2999267578125,12311.700439453125,-0.5000000074505806,-0.09999999776482582,-0.0,-2352.2000122070312,255.0,0.0,,-0.0095629427236419,1.4465296565813315,-1.3021051812751502e-06,True,77.27721294023655,True,8,6,False,
8,552,13,False,True,1,2949.2613258946685,-1647.5,3647.10009765625,177.83999633789062,9659.500122070312,7403.3001708984375,9276.900024414062,5670.8001708984375,-1749.4999694824219,-883.3999633789062,1.0,-0.10077436596696468,-1.003020700117433,0.10803240643161509,577503409224688201,Cityzens57,6.0,-1675.3199462890625,3637.320068359375,30.989999771118164,10820.30029296875,15080.699462890625,2198.5000610351562,1219.000015258789,470.99998474121094,2917.5,255.0,242.0,,-0.008442361502262638,2.4935594953441425,-0.0139361759496144,True,237.6119140245581,True,4,4,False,,4042344931153294245,Seaqzy,5.0,-3594.010009765625,715.52001953125,17.010000228881836,-5946.400146484375,-17606.199951171875,2.5,-0.0,0.29999999329447746,-197.29999542236328,255.0,,,-0.009566053641215,-1.2256300576392543,9.821237764801758e-05,True,,False,8,8,False,,enpitsu,76561198039309853,24.0,-920.8300170898438,4899.919921875,17.049999237060547,3929.5001220703125,-1326.7999267578125,3.1999999284744263,0.3999999910593033,0.19999999552965164,-0.09999999776482582,,,,-0.016818648767721035,-2.815865930846856,-2.4549158684397174e-05,True,85.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-1616.800048828125,3518.64990234375,17.0,1045.2999877929688,12208.499755859375,1.7000000178813934,-52.10000038146973,-33.499999046325684,807.5,255.0,157.0,,-0.004565408538789361,1.5501358823095257,0.006379925930044498,True,108.61191402455812,True,8,6,False,
9,628,16,False,False,0,9815.162190797037,-681.5800170898438,-4672.81982421875,168.3699951171875,-1686.7999267578125,19040.699462890625,2546.3999938964844,4618.900146484375,-1488.699951171875,3528.2000732421875,0.0,-1.1236268400276979,-1.127702426206594,1.691599423498007,76561198039309853,enpitsu,25.0,-700.1599731445312,-4843.97021484375,63.33000183105469,-956.3999938964844,16590.400390625,2830.7000732421875,-2860.7998657226562,269.4000053405762,-2039.4000244140625,255.0,128.0,False,0.08782943458370003,1.4233008789012622,-0.0044639579506182804,True,67.0,False,2,1,False,,bf81d8692db,games5425898691,20.0,-841.22998046875,-5475.97021484375,445.55999755859375,-948.7000274658203,183.60000610351562,435.40000915527344,413.3000183105469,-2219.4000244140625,4497.0001220703125,255.0,0.0,,-0.07939761302425713,0.2150017374137351,2.192231637901285,True,0.0,False,10,8,False,,Cityzens57,577503409224688201,6.0,194.86000061035156,-4514.68017578125,16.989999771118164,-17988.1005859375,-1071.6999816894531,2.7000001072883606,-0.7000000029802322,-0.09999999776482582,25.499999523162842,255.0,128.0,,0.00958277217651909,-3.078629735117573,-7.064811273139393e-05,True,138.75365150359374,True,4,False,6,,Seaqzy,4042344931153294245,5.0,-180.5,1179.9300537109375,17.010000228881836,-19909.599609375,-6395.10009765625,3.3000001311302185,-0.7999999821186066,-0.7000000029802322,20.59999942779541,255.0,128.0,False,0.009518921523348652,-2.8283441762128474,-6.429411899706477e-05,True,233.0,False,10,10,False,
10,675,18,False,False,1,3331.548520667956,907.0999755859375,1808.469970703125,157.0800018310547,-8918.699951171875,8965.30029296875,7098.800048828125,2271.199951171875,-1472.5,3674.4000244140625,1.0,0.5710489587669084,-3.1007272362411693,-0.5253552102337121,4042344931153294245,Seaqzy,5.0,936.5700073242188,1643.9599609375,80.9800033569336,-2055.399932861328,2879.1000366210938,1600.8000183105469,2978.699951171875,3174.5999145507812,3361.199951171875,239.0,18.0,False,0.5653337241657892,1.3876276379612298,0.35126112553993666,True,160.85489014399948,True,12,11,False,,577503409224688201,Cityzens57,6.0,3485.39990234375,3743.679931640625,16.989999771118164,15860.10009765625,-14733.00048828125,5.299999713897705,0.5000000074505806,-0.09999999776482582,-1998.0999755859375,255.0,0.0,,-0.009565852175331168,-2.314223157963317,-4.5861209477550676e-05,True,255.0,False,4,6,False,,enpitsu,76561198039309853,24.0,989.0399780273438,1965.6700439453125,98.05999755859375,802.2000122070312,-22935.6005859375,337.00000762939453,4080.7998657226562,-3603.0999755859375,-783.3999633789062,255.0,0.0,False,-0.8067625572753474,-2.057489070318896,1.0847693331522492,True,60.0,False,4,False,3,,games5425898691,bf81d8692db,20.0,954.8400268554688,4573.2998046875,22.59000015258789,604.7000122070312,-5547.0001220703125,-2371.9000244140625,3909.5001220703125,3583.800048828125,-1456.6000366210938,255.0,127.0,,0.035661770751837255,-0.5813848802665468,0.2648620632632042,True,0.0,False,10,8,False,
