,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,176,0,False,False,1,5155.06702378186,57.459999084472656,53.59000015258789,99.16999816894531,19902.39990234375,-10306.199951171875,4108.699951171875,-688.3000183105469,4881.9000244140625,3419.5001220703125,1.0,0.039265415331535575,-0.30521716744004806,0.10470346373859223,b682192fbcb,worryinglywashed,7.0,-50.779998779296875,-162.97000122070312,64.19000244140625,4753.0999755859375,22386.69921875,2288.8999938964844,-2343.3999633789062,1617.4000549316406,-848.0999755859375,255.0,31.0,,-0.08680003011079396,1.6167801917390179,0.012691914946781164,True,6,5,0.0,False,False,,b4e6564961b,LastOfKhyira,4.0,-0.0,-4658.6298828125,17.010000228881836,-0.0,2522.899932861328,2.7000001072883606,-0.7000000029802322,-0.0,0.0,255.0,,,-0.009391819022345399,1.5707878295104034,3.9981008938747724e-08,True,False,False,116.0,False,False,,enpitsu,76561198039309853,27,-0.0,4341.83984375,17.049999237060547,-0.0,-6442.1002197265625,3.1999999284744263,0.9000000357627869,-0.0,0.0,255.0,255.0,,-0.016571293825268375,-1.57081932216696,7.760086418143671e-06,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,16.0,-21.1299991607666,201.6699981689453,94.62000274658203,-812.5,-22817.39990234375,71.99999809265137,5469.89990234375,562.7999877929688,-113.90000343322754,128.0,153.0,,-1.273020947404485,-0.7993597080231823,-0.8558402664743756,True,3,False,4,31.0,False,
1,351,6,False,False,1,2417.854114549058,2873.35009765625,3748.56005859375,494.7900085449219,7294.6002197265625,14781.99951171875,5279.6002197265625,3096.300048828125,-931.2000274658203,-5054.200134277344,1.0,0.5148314533679811,-2.8319256716580323,-1.0914723869569691,b4e6564961b,LastOfKhyira,4.0,2781.6298828125,3567.550048828125,412.6400146484375,-5318.3001708984375,22316.39892578125,-1639.7000122070312,-3384.89990234375,4198.599853515625,-1078.499984741211,255.0,3.0,True,-0.11362988795013694,0.42551028683220843,0.5714415555542114,True,4,False,119.0,False,4,,b682192fbcb,worryinglywashed,8.0,1665.699951171875,-2275.18994140625,16.989999771118164,-6784.0997314453125,8386.699829101562,5.400000214576721,-0.0,-0.0,-2242.7000427246094,128.0,0.0,,-0.009639090126731562,0.9488574682682576,4.650953054246131e-06,True,8,False,248.0,False,8,,enpitsu,76561198039309853,27,2436.219970703125,3213.27001953125,17.049999237060547,-11696.099853515625,-958.3000183105469,3.799999952316284,0.19999999552965164,-0.0,-2439.7000122070312,255.0,0.0,False,-0.016730604622610508,-0.019254676961997886,-3.854376434453164e-05,True,223.0,False,False,False,False,,games5425898691,bf81d8692db,16.0,-1146.5400390625,4728.56982421875,17.010000228881836,21096.0009765625,826.9000244140625,2.5999999046325684,-0.5999999865889549,-0.0,-1.899999976158142,255.0,128.0,,-0.009587399823577945,3.1026982528991134,5.1576050487839484e-05,True,6,False,6,255.0,False,
2,400,8,False,False,0,9484.014705145868,-2199.860107421875,-4253.9599609375,307.04998779296875,-16696.99951171875,15799.300537109375,9320.10009765625,104.49999809265137,3066.7999267578125,-5155.9002685546875,0.0,0.49408966593932147,-1.3722408626128755,-1.455005385362996,bf81d8692db,games5425898691,17.0,-2064.919921875,-4339.02978515625,148.8699951171875,-20767.80029296875,8082.60009765625,1844.1999816894531,309.4000053405762,640.8999633789062,-101.30000114440918,255.0,113.0,,-0.7061937502479319,2.566301120635318,0.03912883434072732,True,8,6,186.0,False,False,,76561198039309853,enpitsu,27.0,-1979.8599853515625,-4275.7099609375,17.049999237060547,1909.2999267578125,-1842.1000671386719,3.1999999284744263,0.5999999865889549,-0.19999999552965164,-2.8999999165534973,255.0,128.0,False,0.01671744787273035,2.3728023000021703,5.217032024857011e-05,True,False,False,223.0,False,False,,LastOfKhyira,b4e6564961b,4,-2671.320068359375,-5095.9599609375,238.6999969482422,-6835.4998779296875,570.9000015258789,-2104.600067138672,-19.199999570846558,-2492.5,-723.1999969482422,255.0,0.0,False,0.2603694816167583,3.0309957098771254,1.5624974381241459,True,119.0,False,4,4,False,,worryinglywashed,b682192fbcb,8.0,-2241.219970703125,-10.260000228881836,16.989999771118164,-935.8999633789062,-9803.300170898438,5.0,-2.5,0.0,0.0,149.0,128.0,,0.009822472574248698,-1.66600210473313,-2.008454973113813e-06,True,8,False,8,203.0,False,
3,522,12,False,False,1,5208.54443712897,1349.8900146484375,-48.72999954223633,234.91000366210938,-17153.699951171875,15392.5,7280.8001708984375,5742.0001220703125,572.9000091552734,1643.2000732421875,1.0,1.2086172405375255,-1.5095150991515498,2.5943192166455753,b682192fbcb,worryinglywashed,7.0,1429.6500244140625,-161.41000366210938,148.97999572753906,-12427.099609375,15534.300537109375,947.3000335693359,-4987.9998779296875,-2073.800048828125,-1033.7000274658203,128.0,24.0,False,-0.64381459570621,0.3641726606111749,0.43695514375730604,True,10,9,69.75782374156417,True,False,,b4e6564961b,LastOfKhyira,4.0,1374.52001953125,-1046.1800537109375,17.010000228881836,-2970.2999877929688,9676.400146484375,2.5999999046325684,0.09999999776482582,-0.9000000357627869,-15.0,255.0,128.0,False,-0.009536632205257167,1.275493833249045,8.400955639694634e-05,True,6,4,100.0,False,4,,enpitsu,76561198039309853,27,1719.2099609375,-1898.1099853515625,17.020000457763672,-12609.599609375,6489.1998291015625,3.4999999403953552,-0.5000000074505806,-0.0,-2743.2998657226562,255.0,0.0,False,-0.01673549602506076,0.5908567293248764,-2.3577706064801015e-05,True,26.245944023132317,True,2,False,2,,games5425898691,bf81d8692db,17.0,-548.1900024414062,-31.31999969482422,16.770000457763672,-5080.7000732421875,334.0999984741211,58.499999046325684,-13.899999856948853,-0.19999999552965164,-4657.200012207031,255.0,0.0,,-0.008512949413317046,1.9410883421443983,-1.0935199228076027e-05,True,6,False,10,7.736094685011013,True,
4,633,16,False,False,1,4228.104537159926,-3083.77001953125,3712.31005859375,266.6099853515625,1490.8999633789062,-2164.7999572753906,8601.900024414062,4295.899963378906,-314.89999771118164,30.59999942779541,1.0,-0.1978156257901259,-2.681191232879998,-2.0341775903695107,b682192fbcb,worryinglywashed,8.0,-3066.530029296875,3673.639892578125,91.33999633789062,3561.300048828125,1660.8000183105469,1644.7000122070312,4629.2999267578125,2882.9000854492188,-712.2000122070312,128.0,82.0,,0.4937629767847473,2.16277403878749,0.4850167156318355,True,14,13,51.14812021614404,True,False,,b4e6564961b,LastOfKhyira,4.0,-268.0799865722656,5184.1201171875,17.0,-12226.99951171875,-3126.9000244140625,4.300000071525574,-0.29999999329447746,-0.0,2472.100067138672,255.0,255.0,False,-0.009580294719633549,-0.3458109661867812,-7.380381556629427e-05,True,6,4,0.0,False,4,,enpitsu,76561198039309853,26,-1452.47998046875,4369.83984375,17.059999465942383,-17807.39990234375,-10179.89990234375,-2.5999999046325684,1.2999999523162842,0.7999999821186066,1600.3999328613281,255.0,128.0,False,-0.016771415757552095,-0.5510394879127651,0.0003068618708206983,True,7.69893319888781,True,4,False,4,,games5425898691,bf81d8692db,17.0,84.3499984741211,4314.72998046875,17.010000228881836,-77.8000020980835,254.50000762939453,2.7000001072883606,2.5999999046325684,1.0999999940395355,0.0,255.0,128.0,,-0.009692704691692904,1.2729041507491257,-1.907269407542546e-05,True,8,False,12,31.0,False,
5,741,20,False,False,0,8713.802397986332,2592.800048828125,-2844.89990234375,331.8800048828125,2763.2000732421875,9559.500122070312,9519.500122070312,969.4000244140625,-5790.10009765625,1238.6000061035156,0.0,-0.03972421656426015,-1.9421306521305919,0.8301450042884603,76561198039309853,enpitsu,27.0,2565.860107421875,-2913.419921875,179.14999389648438,10437.39990234375,9169.500122070312,2261.1000061035156,1874.2999267578125,4967.900085449219,-1433.800048828125,128.0,128.0,False,0.23278633093533732,1.1784202320911639,0.708837424284037,True,6,5,202.0,False,False,,bf81d8692db,games5425898691,16.0,3160.969970703125,-3244.820068359375,17.010000228881836,-5658.900146484375,12200.30029296875,2.5999999046325684,-1.1999999731779099,2.5,-1057.3999786376953,255.0,79.0,,0.009566496687522864,1.9932014581387665,-0.0002195620143750663,True,12,False,31.0,False,8,,LastOfKhyira,b4e6564961b,4,3804.739990234375,699.4600219726562,17.229999542236328,-2428.699951171875,17987.39990234375,-15.800000429153442,20.799999237060547,30.299999713897705,3264.5999145507812,255.0,255.0,True,0.015353713417360693,1.963717366853321,-0.009251046402748559,True,255.0,False,8,4,6,,worryinglywashed,b682192fbcb,7.0,3218.89990234375,-1022.0399780273438,109.9800033569336,5170.4998779296875,17300.699462890625,-150.50000190734863,-5143.800048828125,-1858.6000061035156,579.5999908447266,205.0,128.0,,-0.59781809215429,-0.6026238878037103,2.669317018213293,True,15,False,16,0.0,False,
6,823,23,False,False,0,6795.824401401825,3335.929931640625,-177.3300018310547,303.239990234375,-12537.80029296875,-28297.5,17365.999755859375,1249.800033569336,532.5,-2742.5,0.0,-0.2808386882640575,-1.61889454346293,-0.5991381006919678,76561198039309853,enpitsu,26.0,3395.02001953125,-132.47999572753906,168.00999450683594,-7902.9998779296875,13856.99951171875,503.3000183105469,8.100000023841858,-4873.699951171875,2548.800048828125,255.0,255.0,False,0.5214204340277568,2.182776980932942,-0.19382285650975392,True,8,7,165.0,False,False,,bf81d8692db,games5425898691,17.0,2417.340087890625,-3755.340087890625,17.010000228881836,11919.7998046875,-7080.4998779296875,2.5999999046325684,-2.199999988079071,1.0999999940395355,-792.9000091552734,255.0,45.0,,0.009594638777592293,-0.5424960925547754,-3.090125813670478e-05,True,12,False,31.0,False,8,,LastOfKhyira,b4e6564961b,4,3333.64990234375,-8.079999923706055,257.4100036621094,4170.5999755859375,-13669.7998046875,3099.8001098632812,-1971.6999816894531,-1572.7999877929688,-4557.0001220703125,255.0,188.0,False,0.05692596218116965,-1.399044247462545,0.051583025490357426,True,170.39798692990374,True,12,4,7,,worryinglywashed,b682192fbcb,8.0,2489.590087890625,4519.39013671875,16.989999771118164,-16674.7998046875,-1116.3999938964844,5.600000023841858,0.7000000029802322,0.0,2514.7999572753906,255.0,255.0,False,0.00959266868287888,-2.9313072127574533,-6.719829058019317e-05,True,18,False,18,255.0,False,
7,908,26,False,False,0,8767.670912276977,359.1099853515625,-3537.3701171875,174.02000427246094,-10412.19970703125,20926.10107421875,6267.5,5813.900146484375,1408.2000732421875,-463.69998931884766,0.0,-0.39369639345526586,-1.3273908225620163,2.203699232942107,bf81d8692db,games5425898691,17.0,453.7699890136719,-3718.030029296875,93.25,-8580.900268554688,17861.300048828125,-162.00000762939453,-5177.39990234375,-1854.7999572753906,-61.500000953674316,255.0,140.0,,1.2782999051961526,-1.7101947593207125,2.676127148160189,True,14,9,0.0,False,False,,76561198039309853,enpitsu,26.0,1600.760009765625,-969.8200073242188,17.059999465942383,-8134.7998046875,-21311.8994140625,2.199999988079071,0.0,-0.19999999552965164,-1707.5999450683594,255.0,128.0,,0.016774060914036226,-1.9828104920016218,-0.00014590693462240685,True,8,False,48.0,False,8,,LastOfKhyira,b4e6564961b,4,2423.68994140625,-2239.800048828125,17.020000457763672,-7273.900146484375,11700.899658203125,1.2999999523162842,0.19999999552965164,-0.9000000357627869,-7.900000214576721,255.0,128.0,False,0.00956919004767706,2.1257261932060247,7.585138597871309e-05,True,160.0,False,12,4,8,,worryinglywashed,b682192fbcb,8.0,-752.6900024414062,-966.219970703125,17.0,-5834.1998291015625,-12147.7001953125,4.1999998688697815,0.7000000029802322,0.7000000029802322,1690.5999755859375,0.0,255.0,,0.009910058956985393,-1.9714062031150834,0.00011331365951632795,True,20,False,20,217.0,False,
8,1030,31,False,False,1,9536.91639939946,3509.10009765625,-4031.93994140625,93.66000366210938,32015.90087890625,1293.2000732421875,-3206.0000610351562,1117.3999786376953,2915.0,-5123.800048828125,1.0,1.3107794123949679,1.84955132820816,2.6456367956729863,b4e6564961b,LastOfKhyira,4.0,3265.60009765625,-4098.0,118.11000061035156,21171.99951171875,8732.19970703125,2119.7999572753906,-4823.399963378906,2610.10009765625,-414.59999084472656,255.0,239.0,False,-0.4083124016850452,2.8027132935604104,-0.4659267301851522,True,16,11,236.23217205847465,True,4,,b682192fbcb,worryinglywashed,7.0,865.780029296875,-2943.39990234375,17.010000228881836,-4471.600036621094,-16740.799560546875,5.400000214576721,1.5000000596046448,15.199999809265137,11.100000143051147,148.0,130.0,False,-0.009727256761436091,-1.3100202014565028,0.0007712519694200071,True,24,4,170.0,False,22,,enpitsu,76561198039309853,26,2371.52001953125,847.5700073242188,67.5,-11280.899658203125,-19698.1005859375,-1697.7000427246094,2432.7000427246094,-1626.7999267578125,537.0999908447266,0.0,255.0,,0.6248115930308631,-0.8486899245184191,-0.06003279215550858,True,255.0,False,10,False,10,,games5425898691,bf81d8692db,17.0,3745.010009765625,-3739.860107421875,109.12000274658203,-3816.199951171875,-22559.09912109375,2151.699981689453,-166.39999389648438,160.9000015258789,-1143.6000061035156,255.0,36.0,,0.1907464406472251,-1.233908816204594,-0.09237860602893583,True,10,False,16,191.0,False,
9,1031,31,False,False,0,2955.3822473754503,-3646.919921875,4059.85009765625,95.19000244140625,-2862.2000122070312,20360.899658203125,5653.3001708984375,-5615.2001953125,159.89999771118164,2107.7999877929688,0.0,-1.3726045163074885,-2.835695599953122,-2.6251656523379636,bf81d8692db,games5425898691,17.0,-3717.0,3937.6201171875,129.47999572753906,-505.8000183105469,16780.999755859375,3620.2999877929688,3024.5999145507812,-4436.099853515625,-1192.699966430664,255.0,55.0,,-0.31384289001708976,1.114880358187362,-0.18571121271621507,True,16,10,191.0,False,False,,76561198039309853,enpitsu,26.0,-2371.52001953125,-847.5700073242188,67.5,11280.899658203125,19698.1005859375,-1697.7000427246094,-2432.7000427246094,1626.7999267578125,537.0999908447266,0.0,255.0,,-0.6248115930308631,0.8486899245184191,-0.06003279215550858,True,10,False,255.0,False,10,,LastOfKhyira,b4e6564961b,4,-3412.8798828125,4041.06005859375,131.6199951171875,-19486.8994140625,-7300.3997802734375,398.1999969482422,4176.7999267578125,-3018.599853515625,-1921.300048828125,255.0,255.0,False,0.6389416165683162,3.0201511867940822,-0.8525248743872588,True,235.0,False,16,4,11,,worryinglywashed,b682192fbcb,7.0,-865.780029296875,2943.39990234375,17.010000228881836,4471.600036621094,16740.799560546875,5.400000214576721,-1.5000000596046448,-15.199999809265137,11.100000143051147,148.0,130.0,False,0.009727256761436091,1.3100202014565028,0.0007712519694200071,True,22,4,24,170.0,False,
