,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,169,0,False,False,0,5205.909721197476,10.489999771118164,13.619999885559082,95.69999694824219,13069.69970703125,21974.29931640625,3870.4998779296875,4750.7000732421875,-3664.5999145507812,26.80000066757202,0.0,-0.047796234276138334,-0.0011215594739014403,0.062035440832524505,2535444074137743,VincyChris9847,14.0,-81.38999938964844,-158.0399932861328,82.2300033569336,13988.900146484375,18108.399658203125,2213.3999633789062,-4359.89990234375,3352.6998901367188,1.0999999940395355,254.0,128.0,,0.6449481884097569,0.9154209974966205,0.00013036780890163404,True,4,0.0,False,3,False,,2004924535638888352,Trapanator7701,14.0,2830.22998046875,-4158.169921875,17.010000228881836,16205.899658203125,-4520.199890136719,3.400000035762787,-0.5000000074505806,0.0,3258.800048828125,231.0,255.0,False,0.009588849696719231,0.07668605696365469,0.00012490144460636975,True,False,False,False,0.0,False,,enpitsu,76561198039309853,24,63.56999969482422,190.7100067138672,126.23999786376953,-10490.400390625,-20376.199951171875,1828.699951171875,5077.5,491.1000061035156,2056.1000061035156,255.0,255.0,,0.8171730619958306,-2.282712539155022,-0.42442177296795797,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,22.0,-2784.4599609375,4054.0400390625,17.010000228881836,-17720.999755859375,1010.8999633789062,2.800000011920929,0.3999999910593033,-0.09999999776482582,1934.9000549316406,255.0,255.0,0.009575678581703842,-3.1325883708075555,4.850658889770161e-05,True,0.0,False,False,False,False,,
1,171,0,False,False,1,5238.883809349162,-39.95000076293945,-14.600000381469727,105.81999969482422,-8715.499877929688,-4556.400146484375,-699.8000335693359,-1290.5999755859375,1891.1000061035156,440.2000045776367,1.0,0.2711423558274399,-0.5007017274040253,0.10548426204402735,76561198039309853,enpitsu,24.0,-18.469999313354492,-128.5,155.7100067138672,3145.1998901367188,1480.0999450683594,1626.6999816894531,-4998.299865722656,654.0000152587891,2199.7000122070312,255.0,255.0,,-1.1551414597643999,-2.491954293662335,-2.393077344254709,True,2,0.0,False,1,False,,bf81d8692db,games5425898691,22.0,2930.9599609375,-4049.639892578125,17.010000228881836,17394.7998046875,1786.3999938964844,2.800000011920929,-0.29999999329447746,-0.0,1953.0000305175781,255.0,255.0,,-0.00958611705904849,2.970349437123953,3.766604353421278e-05,True,False,False,False,255.0,False,310.0,VincyChris9847,2535444074137743,14,5.900000095367432,108.4800033569336,92.52999877929688,-7292.5,567.400016784668,122.89999961853027,5015.7000732421875,-2247.7000427246094,-199.40000534057617,255.0,128.0,,-1.4318000014791252,0.1540359533424791,-1.266132695314761,True,0.0,False,4,False,3,,Trapanator7701,2004924535638888352,14.0,-2830.22998046875,4158.169921875,17.010000228881836,-16205.899658203125,4520.199890136719,3.400000035762787,0.5000000074505806,-0.0,3258.800048828125,231.0,255.0,-0.009588849696719231,-0.07668605696365469,0.00012490144460636975,True,255.0,False,False,False,False,,False
2,243,2,False,False,0,5155.310569375964,1593.77001953125,625.77001953125,108.98999786376953,-2238.2000732421875,28599.29931640625,8983.499755859375,2245.2999877929688,5435.3997802734375,-1189.1000366210938,0.0,0.3410089525826209,0.32738172279469124,-0.057423637650658305,2004924535638888352,Trapanator7701,14.0,1615.8699951171875,467.29998779296875,15.34000015258789,-6924.6002197265625,18920.400390625,-327.2999954223633,477.79998779296875,1801.3999938964844,-3083.699951171875,203.0,128.0,False,-0.01629528161736581,1.8402756303537222,0.0403876443733815,True,False,49.0,False,False,False,,2535444074137743,VincyChris9847,12.0,1159.949951171875,173.8000030517578,17.010000228881836,1938.0000305175781,1678.699951171875,2.7000001072883606,0.5000000074505806,-0.19999999552965164,0.0,255.0,128.0,,0.009502150296307873,0.7138654661294119,-2.0621499138778247e-05,True,4,4,False,31.0,False,,enpitsu,76561198039309853,23,-33.65999984741211,861.6400146484375,19.530000686645508,-591.1000061035156,11625.799560546875,2958.3999633789062,0.19999999552965164,0.7999999821186066,0.09999999776482582,255.0,128.0,,0.016700193692072925,1.6216317491768015,-5.630095997869185e-05,True,0.0,False,4,False,3,,games5425898691,bf81d8692db,23.0,-2124.97998046875,3793.550048828125,17.010000228881836,4013.2998657226562,13515.50048828125,2.7000001072883606,0.0,0.5999999865889549,4.300000071525574,255.0,128.0,0.009579990223466561,1.282836471583151,-7.06660886546193e-05,True,255.0,False,False,False,False,,
3,309,5,False,False,0,2403.320044313049,1078.0799560546875,3769.25,372.1700134277344,-19607.900390625,-99.70000267028809,1785.2000427246094,3486.7999267578125,291.70000076293945,4874.100036621094,0.0,0.9142794177541579,2.0125274438710683,2.1896225172622445,2004924535638888352,Trapanator7701,13.0,1211.3900146484375,3741.760009765625,264.1700134277344,-532.9000091552734,11975.899658203125,611.8000030517578,3298.800048828125,-35.299999713897705,4400.7000732421875,250.0,128.0,,-1.284531535951113,2.9921175022068915,-1.0623404565517307,True,4,1.0,False,False,4,,2535444074137743,VincyChris9847,12.0,3602.489990234375,-113.23999786376953,17.010000228881836,9945.900268554688,-8076.300048828125,3.3000001311302185,0.5999999865889549,-0.7000000029802322,-3099.89990234375,254.0,0.0,False,0.009575028525668217,-0.8833640479820662,-8.164519771874036e-05,True,4,4,False,255.0,False,,enpitsu,76561198039309853,24,124.16000366210938,4048.030029296875,17.059999465942383,22.5,43.89999866485596,1.899999976158142,3.0000001192092896,-6.299999952316284,-42.10000038146973,255.0,128.0,,0.01713870727081109,0.6402237018699961,9.474924369639314e-05,True,61.0,False,4,False,4,,games5425898691,bf81d8692db,23.0,351.989990234375,4014.780029296875,127.2699966430664,9957.999877929688,-14048.399658203125,2068.000030517578,-835.6999969482422,146.99999809265137,1828.3999633789062,255.0,230.0,-0.38098327478225286,-0.7029608716014909,-0.07835802998115667,True,177.10736330606602,True,False,4,False,,
4,427,9,False,False,1,9239.77772542888,3986.360107421875,-3567.64990234375,557.5900268554688,-6628.699951171875,12951.199951171875,2629.4000244140625,-1096.2000274658203,2616.0000610351562,5287.1002197265625,1.0,0.005158482816349885,-2.6013292438757905,1.5731809281292592,76561198039309853,enpitsu,24.0,4069.510009765625,-3724.530029296875,483.0,2076.300048828125,11862.60009765625,2757.9998779296875,-2320.800018310547,112.10000038146973,1337.2999572753906,255.0,128.0,False,0.194603733512015,1.7171343224493567,-1.5790563198223162,True,4,31.0,False,4,False,,bf81d8692db,games5425898691,23.0,-1996.550048828125,-4750.1201171875,17.0,15498.800048828125,-6642.5,4.000000059604645,0.3999999910593033,-0.19999999552965164,1579.4000244140625,255.0,255.0,,-0.009592978743622072,-2.7644231370095853,0.00016282105734309778,True,4,4,False,255.0,False,,VincyChris9847,2535444074137743,12,3981.75,300.3299865722656,61.15999984741211,11092.5,15140.50048828125,7482.7001953125,461.6999816894531,-5118.900146484375,1957.7000427246094,255.0,255.0,False,0.4104092183069693,2.180377638353431,-0.4644163226375247,True,255.0,False,6,False,6,,Trapanator7701,2004924535638888352,12.0,798.8699951171875,-3259.489990234375,90.13999938964844,9993.699951171875,11309.300537109375,-841.9999694824219,-3046.400146484375,2313.3999633789062,347.5,232.0,128.0,0.8954165421483201,2.776245448711326,0.5225613056664187,True,31.0,False,4,6,6,,
5,467,10,False,False,0,4029.038405824339,-3075.89990234375,1751.6099853515625,262.3399963378906,-13704.89990234375,8315.399780273438,497.7000045776367,751.1000061035156,-792.5,1783.6000061035156,0.0,0.8840329069797059,-1.2425950144092524,1.8455557620251501,2004924535638888352,Trapanator7701,12.0,-2984.610107421875,1618.3199462890625,189.30999755859375,-12434.000244140625,-5577.0001220703125,864.7000122070312,-3404.8001098632812,4165.7000732421875,-1141.6999816894531,255.0,155.0,,-0.4001966955528167,2.3992749313164845,1.3528111587996619,True,8,43.0,False,7,4,,2535444074137743,VincyChris9847,12.0,-3233.6201171875,-2122.090087890625,17.010000228881836,14027.60009765625,-527.9999923706055,3.100000023841858,-0.9000000357627869,0.7000000029802322,2096.699981689453,254.0,255.0,False,0.009543060590876071,0.018780178299197092,8.421841208439563e-05,True,6,6,False,255.0,False,,enpitsu,76561198039309853,24,-3324.35009765625,2099.840087890625,17.020000457763672,10781.800537109375,-14464.7998046875,5.899999737739563,-0.09999999776482582,2.3999999463558197,-181.5999984741211,255.0,128.0,False,0.01670600432831654,-0.9486734692696327,0.00020988515240196273,True,17.0,False,6,False,4,,games5425898691,bf81d8692db,22.0,-130.60000610351562,4873.35009765625,17.020000457763672,-12703.00048828125,-1257.9000091552734,1.1999999731779099,-0.5000000074505806,0.3999999910593033,0.0,255.0,128.0,0.009611510804101492,-3.0428643063587506,-4.908582602336532e-05,True,255.0,False,False,4,4,,
6,530,13,False,False,1,8707.533594502502,3225.85009765625,-3250.050048828125,455.54998779296875,6806.099853515625,13428.399658203125,-1874.1000366210938,-222.60000228881836,915.0,5925.5999755859375,1.0,-1.2850237572067489,-2.136723014698593,0.4892826779888855,bf81d8692db,games5425898691,22.0,3167.5,-3360.0400390625,397.2799987792969,14021.099853515625,1511.6999816894531,-311.200008392334,5172.39990234375,177.90000915527344,1861.199951171875,255.0,0.0,,0.7881773442208359,2.6842102335310245,1.1797174236647525,True,6,180.60706242181922,True,5,False,,76561198039309853,enpitsu,24.0,2384.85009765625,1300.300048828125,17.059999465942383,14622.60009765625,-599.0999984741211,2.3000000417232513,-0.19999999552965164,-0.0,-2115.500030517578,255.0,0.0,False,-0.01677532880126493,-3.035828384611914,1.4260078350885667e-05,True,6,6,False,0.0,False,,VincyChris9847,2535444074137743,12,2540.580078125,1389.06005859375,17.010000228881836,982.6999664306641,-4774.599914550781,2.5,-0.0,-0.7000000029802322,130.600004196167,255.0,128.0,False,-0.009490533552774624,-1.782801890218926,-0.0001410666967258129,True,255.0,False,6,False,6,,Trapanator7701,2004924535638888352,12.0,3394.070068359375,-1393.4100341796875,17.020000457763672,-2461.0000610351562,9248.900146484375,1.7000000178813934,-0.09999999776482582,0.19999999552965164,-2448.800048828125,255.0,46.0,-0.009522049396499954,1.3669866504414665,3.040326821105781e-05,True,0.0,False,4,8,8,,False
7,596,15,False,False,0,5061.16329333785,-3797.409912109375,993.0499877929688,177.05999755859375,6026.400146484375,25380.0,8585.30029296875,4010.1998901367188,-3567.3001098632812,2681.7999267578125,0.0,-0.5912275687839081,2.7336939753907936,-1.1939802938309185,2535444074137743,VincyChris9847,12.0,-3807.5,817.0700073242188,89.63999938964844,8193.599853515625,14430.10009765625,736.5000152587891,-144.20000076293945,5497.8997802734375,-39.700000286102295,254.0,0.0,,0.224083174117756,1.511349231025009,1.0217119701902087,True,8,195.54088605347496,True,7,False,,2004924535638888352,Trapanator7701,12.0,-2659.669921875,-1831.02001953125,18.079999923706055,5205.4998779296875,-16058.399658203125,-900.1000213623047,-1024.3000030517578,3581.199951171875,-484.00001525878906,247.0,127.0,,0.019371043061124315,-1.3328565781012,0.08489696771188722,True,10,10,4,,False,,enpitsu,76561198039309853,24,-3926.429931640625,1155.7900390625,96.08999633789062,-13424.89990234375,5215.30029296875,2154.7000122070312,3853.5000610351562,-3906.7001342773438,370.6999969482422,128.0,255.0,,0.03367289914218535,2.3792666129615965,-0.7232378704228891,True,,False,8,False,7,,games5425898691,bf81d8692db,22.0,-3076.360107421875,4049.260009765625,16.989999771118164,17495.400390625,8075.4998779296875,3.100000023841858,-0.5999999865889549,3.6000001430511475,1961.7999267578125,255.0,255.0,0.009393380481517536,0.5010517550183146,3.6947165898098633e-06,True,245.63464967153405,True,False,6,6,,
8,666,18,False,False,0,1181.6991344574885,-1596.010009765625,4187.9501953125,275.7200012207031,12950.699462890625,-6568.699951171875,15016.8994140625,5344.4000244140625,1635.0999450683594,2182.5,0.0,1.320144180332519,1.1870178725972915,1.440278888011172,2535444074137743,VincyChris9847,12.0,-1653.300048828125,4200.7001953125,96.5,6114.1998291015625,10318.499755859375,5126.9000244140625,0.7999999821186066,-0.29999999329447746,13.999999761581421,255.0,128.0,,0.009328509375704492,1.0411599770907884,3.14430032647182e-05,True,10,185.0,False,8,4,,2004924535638888352,Trapanator7701,12.0,-3770.7099609375,-2908.43994140625,56.189998626708984,8097.19970703125,19543.00048828125,1877.5,-5113.2000732421875,1697.7000427246094,-1105.4000091552734,228.0,128.0,False,0.08362534241201468,1.049656056854805,-0.085562527962806,True,12,11,4,207.0,False,,enpitsu,76561198039309853,24,-3609.22998046875,2338.860107421875,17.049999237060547,3619.5001220703125,11258.1005859375,3.1999999284744263,0.0,0.5999999865889549,0.0,255.0,128.0,,0.01669574817066271,1.2597272899851955,-5.3972304859590796e-05,True,31.0,False,8,False,8,,games5425898691,bf81d8692db,22.0,-1374.7900390625,4323.93994140625,65.88999938964844,-9952.80029296875,-13851.500244140625,3211.400146484375,2212.7000427246094,-1841.3999938964844,-589.5999908447266,255.0,128.0,0.08101643107617439,-2.27856772285028,-0.0002600364919811871,True,201.0,False,False,8,7,,
9,824,23,False,False,1,7013.420838042654,-2909.639892578125,-751.1099853515625,426.0299987792969,3691.6000366210938,21037.900390625,10254.69970703125,1543.2000732421875,5690.999755859375,-1109.000015258789,1.0,0.6188677517651416,2.884516125521359,0.635764640744281,bf81d8692db,games5425898691,23.0,-2894.35009765625,-868.6500244140625,257.8699951171875,-3050.8999633789062,17115.400390625,3955.8999633789062,-1335.8000183105469,-3010.4000854492188,-2583.2000732421875,255.0,234.0,,0.9837469438624422,1.5124696216331799,-0.3627710162953205,True,10,94.54969459451655,True,9,False,,76561198039309853,enpitsu,24.0,-2600.3701171875,-4816.68017578125,17.059999465942383,10474.300537109375,-6577.2998046875,2.7000001072883606,-0.0,-0.0,2496.199951171875,255.0,255.0,False,-0.016739651345357705,-2.6639717864461563,-4.9856969465606695e-05,True,10,10,False,31.0,False,,VincyChris9847,2535444074137743,12,-4078.989990234375,-3122.72998046875,440.8900146484375,7.599999904632568,17580.0,-2523.000030517578,-1911.9000244140625,7.300000190734863,4.300000071525574,254.0,0.0,False,-0.1891567867928683,1.5613456388161804,1.5722090184109891,True,255.0,False,10,4,8,,Trapanator7701,2004924535638888352,12.0,-2962.550048828125,-116.45999908447266,17.010000228881836,13192.2998046875,-3339.5001220703125,2.8999999165534973,-0.29999999329447746,-0.0,2210.7000732421875,226.0,255.0,-0.009577042266751884,-2.959192867846388,5.0509086403896543e-05,True,208.0,False,4,14,14,,False
