,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect
0,170,0,False,False,0,5181.306896458595,37.0099983215332,43.38999938964844,92.12999725341797,19961.300048828125,-469.90001678466797,-4205.7000732421875,5386.5997314453125,-1008.4999847412109,-2442.5,0.0,0.09078831960718045,0.171320746037009,0.3608455327663521,76561198039309853,enpitsu,28.0,26.0,-99.12999725341797,108.22000122070312,-2647.9000854492188,11908.199462890625,1069.7000122070312,-3812.5,179.59999084472656,-3960.0,255.0,0.0,,0.9106610243745406,2.2059505489574796,0.9088060499823754,True,2,False,0.0,False,1,,bf81d8692db,games5425898691,20.0,-3411.64990234375,-2303.89990234375,17.010000228881836,-1364.6000671386719,-14800.50048828125,2.5999999046325684,0.0,0.0,749.7000122070312,255.0,159.0,,0.009588911652801155,-1.6143112400711386,-0.00016287715194716705,,False,0.0,False,False,False,,Myxow,b989b169aab,8,-81.02999877929688,96.41000366210938,107.58000183105469,7523.800048828125,-6641.5997314453125,2382.7999877929688,192.19999313354492,-726.9999694824219,5448.3001708984375,128.0,224.0,,1.376803428550996,2.907047266562756,-2.9135853131802474,True,3,0.0,False,False,4,,Sayrox-尺ㄖㄩᎶ乇,b46d711507b,45.0,442.760009765625,1888.719970703125,17.010000228881836,-7200.4998779296875,-10514.3994140625,2.5,1.8000000715255737,2.8999999165534973,960.4000091552734,255.0,128.0,,0.009534354428967492,-2.1075649885865633,-0.00014546125557278366,True,116.0,False,False,False,False,
1,278,3,False,False,1,10430.557035415457,-3694.989990234375,-4225.85986328125,661.6599731445312,2548.9999389648438,7036.9000244140625,5938.499755859375,-4335.400085449219,-3789.1000366210938,-1687.1000671386719,1.0,1.1391759092933376,-1.4424140804568386,0.02122525114474641,b46d711507b,Sayrox-尺ㄖㄩᎶ乇,44.0,-3679.8701171875,-4360.18017578125,577.3599853515625,2082.899932861328,-2037.8999328613281,12590.400390625,1987.4000549316406,1967.7000427246094,-38.09999942779541,255.0,255.0,,1.216562356872367,-2.3321682170068283,-1.5464209567771727,True,False,False,255.0,False,False,,b989b169aab,Myxow,8.0,-2811.43994140625,94.93000030517578,61.150001525878906,-17927.80029296875,539.5000076293945,-1987.5999450683594,-404.50000762939453,-2268.000030517578,-100.9000015258789,243.0,196.0,,0.3642347098212005,-0.038918877376557866,-0.3074706406991731,False,6,9.0,False,False,6,,enpitsu,76561198039309853,28,-2781.719970703125,-1974.010009765625,17.049999237060547,-8228.900146484375,10787.19970703125,3.100000023841858,0.5999999865889549,-0.7999999821186066,-33.59999895095825,255.0,0.0,,-0.01674126871427327,0.9233697467780763,8.835248735457679e-05,,2,31.0,False,False,2,,games5425898691,bf81d8692db,20.0,-2427.60009765625,4320.580078125,17.010000228881836,-22210.0,-5242.80029296875,2.7000001072883606,-0.5999999865889549,-0.0,497.40001678466797,255.0,171.0,,-0.009623539564180605,-0.25982980772866765,-7.564101102560143e-05,True,155.0,False,False,False,False,
2,348,6,False,False,1,8617.056627971388,-3055.25,-2517.760009765625,102.44999694824219,17156.700439453125,3381.6000366210938,8207.899780273438,-5002.099914550781,3078.699951171875,1224.5999908447266,1.0,-0.7158819406872469,0.8984431975070627,2.1069924070327657,b989b169aab,Myxow,8.0,-3226.050048828125,-2503.699951171875,15.949999809265137,7833.699951171875,-8163.599853515625,-259.6999931335449,-219.20000076293945,307.1999931335449,-1593.800048828125,209.0,90.0,False,-0.014312581143486176,-2.318524992365746,-0.01089124868500705,False,6,False,205.0,False,6,,b46d711507b,Sayrox-尺ㄖㄩᎶ乇,44.0,-3166.679931640625,-3309.0,16.989999771118164,-1321.6999816894531,10554.69970703125,5.199999809265137,-0.0,0.9000000357627869,-1917.1000671386719,128.0,0.0,,-0.009631240336459332,1.4602313228584645,-0.00020056495171457284,True,False,193.0,False,False,False,,enpitsu,76561198039309853,28,-3330.260009765625,1531.18994140625,17.049999237060547,-501.50001525878906,14079.200439453125,3.400000035762787,-0.09999999776482582,5.199999809265137,288.29999923706055,255.0,255.0,,-0.016771269160146898,1.5410560108622138,1.287080759008744e-05,,2,31.0,False,False,2,,games5425898691,bf81d8692db,20.0,-1949.050048828125,1072.1199951171875,17.010000228881836,13704.599609375,7776.400146484375,2.800000011920929,-0.29999999329447746,-0.0,2034.4000244140625,255.0,255.0,,-0.00957238542002125,2.5566236610204847,3.722438835578644e-05,True,255.0,False,False,False,False,
3,414,8,False,False,1,6864.581548410275,968.3800048828125,-1724.199951171875,146.0,20819.69970703125,10122.5,459.39998626708984,2785.10009765625,-1927.5,819.5999908447266,1.0,0.170312071890312,-0.45472802883782126,-2.3239485306314482,b989b169aab,Myxow,8.0,908.0399780273438,-1785.22998046875,16.3700008392334,19641.099853515625,7148.800048828125,-746.6000366210938,-2658.800048828125,1780.7000732421875,301.1000061035156,161.0,183.0,False,-0.0312449218397918,2.782063233282784,-0.015418180145176116,True,6,False,114.0,False,6,,b46d711507b,Sayrox-尺ㄖㄩᎶ乇,44.0,-775.0399780273438,-3280.360107421875,16.989999771118164,15303.900146484375,1996.9999694824219,4.799999892711639,0.5999999865889549,-0.0,0.09999999776482582,255.0,128.0,,-0.009556307404838793,3.011792722153581,-5.46989626325333e-05,True,False,206.0,False,False,False,,enpitsu,76561198039309853,28,-2255.739990234375,4076.050048828125,17.049999237060547,1329.4000244140625,13888.299560546875,3.700000047683716,-0.0,-1.1999999731779099,2049.1000366210938,255.0,255.0,True,-0.01674877104675345,1.6221515817366818,0.00015750441430300143,True,2,61.0,False,False,2,,games5425898691,bf81d8692db,20.0,497.9599914550781,3920.02001953125,17.010000228881836,11776.99951171875,8330.30029296875,2.7000001072883606,2.3000000417232513,1.5000000596046448,-1297.4000549316406,255.0,86.0,,-0.009596034056687188,2.5618619805004883,-0.00010466689932036962,True,225.0,False,False,False,False,
4,433,9,False,False,1,6309.414354457232,2459.830078125,-972.5399780273438,95.41000366210938,21151.8994140625,10907.5,718.7999725341797,151.5999984741211,3455.10009765625,487.7000045776367,1.0,-0.6269069173774274,-0.01523480048817759,2.4884356983745692,b989b169aab,Myxow,8.0,2268.3798828125,-1068.2900390625,16.950000762939453,19821.199951171875,11043.199462890625,13.200000524520874,17.59999990463257,-27.899999618530273,-33.09999942779541,128.0,118.0,False,-0.011512925290132139,2.628835692053334,-0.00015529685453962987,True,6,False,122.0,False,6,,b46d711507b,Sayrox-尺ㄖㄩᎶ乇,44.0,287.70001220703125,-3222.89990234375,16.989999771118164,16476.8994140625,-1865.5999755859375,5.0,2.3999999463558197,-0.3999999910593033,933.7000274658203,255.0,255.0,,-0.009564892884666033,-3.0167452296165633,0.00021835595063995734,True,False,194.0,False,False,False,,enpitsu,76561198039309853,28,-2600.7099609375,4830.89990234375,17.049999237060547,-5528.699951171875,658.6000061035156,5.099999904632568,-0.0,-0.0,2861.9000244140625,255.0,255.0,True,-0.01666310527248006,-0.5710239346561269,-5.100466198464806e-05,True,2,61.0,False,False,2,,games5425898691,bf81d8692db,20.0,1474.0999755859375,4296.02978515625,17.010000228881836,14065.899658203125,569.5000076293945,2.7000001072883606,2.199999988079071,0.29999999329447746,-1125.8000183105469,255.0,89.0,,-0.009554240930044556,3.1398609931530284,-1.8701885262366772e-05,True,225.0,False,False,False,False,
5,446,10,False,False,1,6159.826620603565,3412.050048828125,-482.5400085449219,93.63999938964844,20163.399658203125,10327.900390625,74.49999809265137,-1020.8000183105469,5362.0001220703125,487.7000045776367,1.0,1.2444843299990447,-0.30645293931709433,2.2921001172791975,b989b169aab,Myxow,8.0,3171.9599609375,-602.72998046875,17.010000228881836,18574.89990234375,7802.80029296875,2.7000001072883606,1.7000000178813934,0.3999999910593033,-369.90001678466797,128.0,128.0,False,-0.00965201627998036,2.767618050641493,3.073626812289185e-05,True,6,False,122.0,False,6,,b46d711507b,Sayrox-尺ㄖㄩᎶ乇,44.0,1036.3900146484375,-3017.080078125,16.989999771118164,11803.900146484375,9997.5,4.900000095367432,-0.7999999821186066,-0.5999999865889549,624.3000030517578,255.0,128.0,,-0.009561708956123375,2.3853643082498563,-0.00017815343671482442,True,False,194.0,False,False,False,,enpitsu,76561198039309853,28,-2710.949951171875,4665.75,17.049999237060547,-162.19999313354492,-6047.9998779296875,3.799999952316284,0.09999999776482582,0.09999999776482582,2659.7000122070312,255.0,255.0,False,-0.016669095670099096,-1.6758692579281793,2.8440557825665795e-05,True,2,61.0,False,False,2,,games5425898691,bf81d8692db,20.0,2038.8399658203125,4205.830078125,17.010000228881836,13580.400390625,-3781.6000366210938,2.7000001072883606,-0.5999999865889549,-0.0,-32.89999961853027,255.0,128.0,,-0.009602176548764586,-2.8652902312361315,7.564229176346363e-05,True,255.0,False,False,False,False,
6,453,10,False,False,1,6155.459800439274,3902.909912109375,-231.0500030517578,105.22000122070312,16813.800048828125,8939.400024414062,5384.0997314453125,-2348.300018310547,5520.3997802734375,-101.40000343322754,1.0,0.37912738287280695,2.9002031218749984,-0.7236342001543913,b989b169aab,Myxow,8.0,3625.219970703125,-426.07000732421875,17.010000228881836,17573.599853515625,6745.7000732421875,2.7000001072883606,-0.29999999329447746,-0.09999999776482582,5.600000023841858,128.0,128.0,False,-0.009646159142484843,2.774654613446958,2.8603163446120872e-05,True,6,False,122.0,False,6,,b46d711507b,Sayrox-尺ㄖㄩᎶ乇,44.0,1313.4200439453125,-2748.669921875,16.989999771118164,10830.799560546875,10987.2998046875,4.900000095367432,0.3999999910593033,0.5999999865889549,15.0,255.0,128.0,,-0.009558566459960761,2.3470659430012475,-6.725165452610142e-05,True,False,194.0,False,False,False,,enpitsu,76561198039309853,28,-2650.800048828125,4516.10986328125,17.049999237060547,4862.60009765625,-5387.7001953125,3.8999998569488525,-0.0,-0.0,2543.000030517578,255.0,128.0,False,-0.016656960594719154,-2.334555976858053,-1.9659479889294633e-05,True,2,61.0,False,False,2,,games5425898691,bf81d8692db,20.0,2378.030029296875,4110.06982421875,17.010000228881836,13612.2998046875,-3641.0000610351562,2.7000001072883606,2.0000000298023224,-0.5000000074505806,563.1999969482422,255.0,215.0,,-0.00960017312977298,-2.8765390659951553,0.00011895285030029362,True,255.0,False,False,False,False,
7,470,10,False,False,1,5881.953928638333,3988.469970703125,136.60000610351562,689.75,-3849.2999267578125,12080.0,11719.599609375,-629.7999954223633,1336.0000610351562,1296.6000366210938,1.0,0.12470515214551826,-0.1818846842233037,3.13744072913033,b989b169aab,Myxow,8.0,4079.159912109375,20.469999313354492,586.6699829101562,-115.39999961853027,9681.599731445312,11942.5,-1428.800048828125,-829.0000152587891,634.3999862670898,208.0,163.0,False,0.8555200781771741,1.5448909838571216,-1.5938672721805696,True,6,False,93.0,False,6,,b46d711507b,Sayrox-尺ㄖㄩᎶ乇,44.0,1892.199951171875,-2158.419921875,16.989999771118164,8910.0,9262.19970703125,5.099999904632568,2.7000001072883606,2.0000000298023224,308.1999969482422,255.0,255.0,,-0.009590053715309787,2.343635983073421,-1.420789501791488e-05,True,False,225.0,False,False,False,,enpitsu,76561198039309853,28,-2169.1298828125,4299.990234375,17.049999237060547,10255.400390625,-3250.8999633789062,3.700000047683716,6.899999976158142,-2.0000000298023224,815.8999633789062,255.0,255.0,False,-0.01667635824995474,-2.8172450244075136,0.0001196649157297966,True,2,61.0,False,False,2,,games5425898691,bf81d8692db,20.0,3097.919921875,4281.990234375,17.010000228881836,6867.8997802734375,8623.900146484375,2.8999999165534973,-0.0,-0.0,2243.0999755859375,128.0,255.0,,-0.009634778537999695,2.183919254378245,-8.327285486467177e-07,True,255.0,False,False,False,False,
8,579,14,False,False,1,1701.1294872114172,2538.39990234375,4696.8701171875,96.83000183105469,-2072.5,7785.0,8490.10009765625,-5736.500244140625,-1527.1000671386719,871.8000030517578,1.0,1.197628280097309,-1.9163252312296515,2.3601393372739885,b989b169aab,Myxow,8.0,2721.550048828125,4730.4501953125,26.790000915527344,-1544.4999694824219,12194.100341796875,-2208.300018310547,-5087.60009765625,-1776.9000244140625,-1099.3000030517578,171.0,220.0,,0.1770148248662665,0.18058610967969146,-0.2860120306657533,True,8,4,0.0,False,6,,b46d711507b,Sayrox-尺ㄖㄩᎶ乇,44.0,4061.550048828125,614.5800170898438,173.42999267578125,-1461.9000244140625,11432.2998046875,-4704.700012207031,-439.7999954223633,2344.4000244140625,540.9000015258789,255.0,128.0,,-0.42441437878456556,1.3908663218411006,-1.2018414873426302,True,False,252.0,False,False,False,,enpitsu,76561198039309853,28,807.6799926757812,5002.3701171875,17.049999237060547,-0.29999999329447746,0.19999999552965164,3.100000023841858,-0.7000000029802322,-0.5999999865889549,0.0,,,,-0.01686482663001386,-2.8060538216615147,3.827164229075988e-05,True,2,92.0,False,False,2,,games5425898691,bf81d8692db,20.0,2328.64990234375,4960.0400390625,126.30999755859375,3016.6000366210938,-1052.6000213623047,135.20000457763672,281.299991607666,5348.4002685546875,1250.8000183105469,255.0,102.0,,1.3060957271516922,-0.9860400880927584,-1.0636735335725587,True,255.0,False,False,3,4,
9,713,19,False,False,0,8927.552243874914,-1900.77001953125,-3730.830078125,133.02000427246094,-5489.7998046875,9535.599975585938,4233.2000732421875,2732.9000854492188,5043.2000732421875,-1759.7000122070312,0.0,0.8413031404596002,-0.5964614920901569,0.08600591104311611,bf81d8692db,games5425898691,20.0,-1825.8499755859375,-3826.010009765625,16.489999771118164,-5423.900146484375,7527.5,-564.3999862670898,-400.29998779296875,-747.3999786376953,1775.2000427246094,128.0,247.0,,0.0161238461602201,2.1975860421177553,-0.0029553206425465264,True,4,False,241.0,False,4,,76561198039309853,enpitsu,28.0,-3554.639892578125,-2807.610107421875,17.059999465942383,6944.69970703125,7128.3001708984375,1.8000000715255737,-1.4000000059604645,-1.1999999731779099,-169.89999771118164,255.0,0.0,False,0.016673767471834768,0.7775996962467386,0.00021342946678106625,True,4,17.0,False,False,2,,Myxow,b989b169aab,8,-3783.2099609375,-1920.6800537109375,17.010000228881836,-5790.7000732421875,14585.899658203125,2.800000011920929,-0.09999999776482582,0.19999999552965164,-1532.4000549316406,177.0,27.0,,0.009586561911287563,1.932480482912627,-0.0002559770982178643,True,6,191.0,False,4,8,,Sayrox-尺ㄖㄩᎶ乇,b46d711507b,44.0,-2383.719970703125,-1515.3199462890625,17.0,-110.20000457763672,-995.8000183105469,3.700000047683716,-0.7000000029802322,1.0000000149011612,-644.0000152587891,255.0,0.0,False,0.009520856093263063,-1.4514287717540235,-8.838531166788021e-05,True,255.0,False,False,False,False,
