,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,167,0,False,False,0,5195.323199310679,-8.859999656677246,20.979999542236328,92.54000091552734,-10516.500244140625,26875.10009765625,1362.5999450683594,-1506.0000610351562,-534.7000122070312,-5783.2000732421875,0.0,-0.006195561417084589,-0.061706538138186266,-0.015887871586534062,815583620644839525,NSK-Giorgioss,18.0,29.25,-140.88999938964844,70.13999938964844,-14941.99951171875,13645.2001953125,2689.2999267578125,3745.0,-3198.699951171875,-2447.7999877929688,255.0,255.0,True,-0.0005445533319433824,1.842646528262425,-0.21519299072599501,True,5,6,False,0.0,False,,5013215957347831402,DonBon130,22.0,-102.44999694824219,-2341.659912109375,17.010000228881836,404.3000030517578,12743.299560546875,2.5,0.0,0.09999999776482582,0.9000000357627869,243.0,128.0,,0.009529889506275025,1.5392360539527958,-2.8309851738521726e-05,,116.0,False,False,False,False,,enpitsu,76561198039309853,28.0,-9.100000381469727,3783.570068359375,17.049999237060547,543.6000061035156,-9405.800170898438,3.1999999284744263,0.19999999552965164,-0.7000000029802322,0.29999999329447746,255.0,128.0,False,0.016663638458721087,-1.5129756944564923,-5.24034402691039e-05,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,17.0,-17.450000762939453,662.2000122070312,19.479999542236328,3125.0,-18259.000244140625,2959.7000122070312,0.09999999776482582,0.0,-1989.9000549316406,255.0,0.0,,0.00959311780202358,-1.4748606047489372,9.86046862778183e-06,True,31.0,False,3,False,False,
1,170,0,False,False,1,5426.671072296958,215.5399932861328,-243.83999633789062,113.95999908447266,33946.10107421875,7716.199951171875,3778.3999633789062,1336.6999816894531,-77.69999980926514,-5848.599853515625,1.0,0.13977963803709267,0.8881984032278004,-0.18482735244089324,bf81d8692db,games5425898691,17.0,-3.740000009536743,-415.3800048828125,62.619998931884766,3950.4000854492188,21357.7001953125,3144.2999267578125,-1992.7999877929688,1603.0999755859375,-2686.7999267578125,255.0,35.0,,-0.059709451437693975,1.7763122022894096,0.007345939843713691,True,3,4,False,31.0,False,,76561198039309853,enpitsu,28.0,4.420000076293945,-3702.830078125,17.049999237060547,-573.3000183105469,9910.599975585938,3.1999999284744263,-0.19999999552965164,0.5999999865889549,0.0,255.0,128.0,False,-0.016663638458721087,1.5129756944564923,-5.24034402691039e-05,True,116.0,False,False,False,False,,NSK-Giorgioss,815583620644839525,18.0,95.22000122070312,27.31999969482422,90.08999633789062,14953.199462890625,-13699.000244140625,2148.300018310547,-16.100000143051147,5425.2001953125,-903.7000274658203,255.0,255.0,True,-0.01731186976098969,-1.7186559157357608,-0.8267051608576268,True,0.0,False,6,False,5,,DonBon130,5013215957347831402,22.0,99.05000305175781,2234.489990234375,17.010000228881836,-409.0999984741211,-12953.199462890625,2.5,-0.0,-0.09999999776482582,0.0,243.0,128.0,,-0.009529889506275025,-1.5392360539527958,-2.8309851738521726e-05,,116.0,False,False,False,False,
2,302,4,False,False,0,7323.707615038857,-2370.110107421875,-2033.8199462890625,125.4000015258789,14942.60009765625,-9286.500244140625,-3328.2000732421875,-2081.7999267578125,-3247.9000854492188,-1434.9000549316406,0.0,1.1406660509627031,-1.5224184142359751,-2.8928518972531356,815583620644839525,NSK-Giorgioss,16.0,-2503.89990234375,-1941.81005859375,17.010000228881836,6862.8997802734375,-8287.60009765625,0.29999999329447746,0.7999999821186066,-1.4000000059604645,1359.7000122070312,255.0,255.0,,0.009514492996743389,-0.9053442934730052,0.00035777470419164683,True,6,6,False,242.55101074454603,True,,5013215957347831402,DonBon130,19.0,-1751.530029296875,-4737.93994140625,17.010000228881836,12743.699951171875,2480.800018310547,2.5,-0.3999999910593033,0.29999999329447746,-0.09999999776482582,237.0,128.0,,0.009508594104753808,0.1922295166185662,3.330855467725662e-05,True,,False,False,False,False,,enpitsu,76561198039309853,28.0,-1828.6199951171875,1832.5799560546875,17.420000076293945,8442.999877929688,-14293.499755859375,-1008.7999725341797,2413.5000610351562,1470.8000183105469,159.7000026702881,255.0,,,-0.019738172890288324,-1.0317092759050546,-0.00041089340697875946,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,17.0,-2802.010009765625,-3534.389892578125,16.989999771118164,1879.9000549316406,12543.499755859375,5.199999809265137,-0.09999999776482582,-2.3000000417232513,-702.3999786376953,255.0,22.0,,0.009562132109490676,1.4470465923628744,-0.0002560757694470389,True,217.0,False,6,False,6,
3,345,6,False,False,0,8788.150515315396,324.8299865722656,-3562.93994140625,93.1500015258789,15158.499755859375,-8575.0,0.0,2817.9998779296875,5167.7001953125,-1163.1999969482422,0.0,-0.6455000736660854,-1.1083301548822195,-0.26167509863565025,5013215957347831402,DonBon130,19.0,225.0800018310547,-3731.360107421875,86.08999633789062,15889.300537109375,10763.299560546875,2053.8999938964844,-2554.7999572753906,4869.599914550781,-94.39999580383301,243.0,112.0,True,0.7279840422329439,0.4861174991214999,-0.004953466828044756,True,3,4,False,,False,,815583620644839525,NSK-Giorgioss,17.0,-200.97000122070312,-3376.010009765625,16.989999771118164,20531.0009765625,-7764.1998291015625,5.0,-0.19999999552965164,0.0,1529.7999572753906,255.0,241.0,,0.009563073510073001,-0.3200117094163901,0.00010151021022479212,True,175.0,False,6,False,6,,enpitsu,76561198039309853,28.0,387.32000732421875,847.2000122070312,17.059999465942383,12105.999755859375,13233.00048828125,1.8000000715255737,-0.29999999329447746,-0.29999999329447746,656.9999694824219,255.0,255.0,,0.016778539271389857,0.8848523321457756,-0.000247530266282857,True,218.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,-475.1199951171875,-3333.300048828125,16.989999771118164,20464.200439453125,-10498.299560546875,2.7000001072883606,-0.29999999329447746,0.0,-15.59999942779541,255.0,128.0,,0.009615735593480394,-0.4756545197840074,2.820473364742892e-05,True,98.0263913805766,True,6,False,6,
4,420,9,False,False,0,8593.39809973255,3990.409912109375,-1928.9100341796875,982.6699829101562,-4832.5,13515.400390625,8315.499877929688,212.60000228881836,4538.599853515625,339.00001525878906,0.0,-0.6720095817210733,2.7936475198778754,-2.5340966292926974,815583620644839525,NSK-Giorgioss,17.0,4074.02001953125,-2111.89990234375,845.9400024414062,-2999.89990234375,9790.30029296875,8948.900146484375,-1589.9000549316406,4.1999998688697815,3.400000035762787,255.0,255.0,,-0.7320445743415607,1.5579766330031204,-1.5621616342039668,True,6,7,False,187.0,False,,5013215957347831402,DonBon130,18.0,3878.18994140625,-1056.4300537109375,22.1299991607666,-5028.299865722656,15777.80029296875,-904.4999694824219,-708.1999969482422,1712.4000549316406,671.9000244140625,234.0,128.0,False,0.0653229422915084,1.9414798230761505,-0.17927192639393033,False,0.0,False,4,False,4,,enpitsu,76561198039309853,27.0,872.77001953125,4101.5,17.059999465942383,54.89999771118164,5598.699951171875,1.8000000715255737,-0.09999999776482582,0.5000000074505806,0.0,128.0,128.0,,0.01684594592802705,1.5609875354688243,-4.4532816269488274e-05,True,249.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,4078.97998046875,-2243.090087890625,756.3099975585938,-3.799999952316284,5957.5,12845.0,-2067.2999572753906,4.1999998688697815,-3.100000023841858,255.0,255.0,,-1.084179847445059,1.5509348754767185,-1.5531358743673405,True,0.0,False,6,False,6,
5,515,12,False,True,0,4175.261013546087,2349.739990234375,2513.60009765625,107.97000122070312,-22459.19921875,19498.199462890625,-5269.7998046875,-3460.5999755859375,3931.199951171875,960.5999755859375,0.0,0.4287840895752985,0.18325565477302733,0.1163759266385072,815583620644839525,NSK-Giorgioss,16.0,2537.030029296875,2443.010009765625,175.77000427246094,-6797.2998046875,16624.200439453125,-11159.100341796875,1552.7000427246094,5117.799987792969,874.1000366210938,255.0,0.0,False,0.5074192656973976,2.6767674715688825,-0.3766107413076759,True,6,8,False,84.17371188696995,True,,5013215957347831402,DonBon130,18.0,1113.4599609375,-841.4600219726562,17.010000228881836,-3500.1998901367188,11796.400146484375,2.3999999463558197,0.29999999329447746,-1.1999999731779099,-88.99999618530273,237.0,128.0,False,0.009526639220894417,1.8479888800019737,0.00012716413983723316,True,255.0,False,4,False,4,,enpitsu,76561198039309853,28.0,2051.340087890625,3100.10009765625,201.92999267578125,9970.800170898438,-19162.2998046875,1806.3999938964844,2291.300048828125,2030.3999328613281,1430.0999450683594,255.0,255.0,False,0.13019863928964048,-1.3056126797352465,-0.006737554663885097,True,196.0,False,4,False,3,,games5425898691,bf81d8692db,18.0,3125.719970703125,3291.510009765625,16.799999237060547,-4106.600036621094,21602.099609375,48.00000190734863,2.5999999046325684,25.0,29.100000858306885,255.0,128.0,,0.010011560285551311,1.7615370460808466,-0.0013032550971421133,True,0.0,False,8,False,8,
6,645,17,False,False,1,8505.825797163001,3904.590087890625,-2815.969970703125,1658.4000244140625,-12654.599609375,11843.699951171875,2830.7998657226562,736.3999938964844,-5421.099853515625,2463.5000610351562,1.0,1.2353010443108432,-0.3251463021414929,-2.652581647372123,bf81d8692db,games5425898691,18.0,4039.969970703125,-2891.3701171875,1577.5400390625,-3972.9998779296875,11303.299560546875,10854.300537109375,-2466.999969482422,3.100000023841858,6.1000001430511475,255.0,255.0,,0.5949040495552188,1.5821341809069243,-1.5641571042468612,True,8,9,False,186.0,False,,76561198039309853,enpitsu,28.0,-2728.6201171875,-2882.090087890625,98.61000061035156,17366.500244140625,-7952.1002197265625,-153.69999885559082,2162.5,5001.499938964844,746.6000366210938,128.0,128.0,False,0.2336263830077156,0.3755241744309245,3.0015963680534656,True,227.0,False,6,False,5,,NSK-Giorgioss,815583620644839525,16.0,4014.550048828125,-2717.8701171875,1457.050048828125,-4295.199890136719,-788.7000274658203,10014.89990234375,1289.1999816894531,209.59999084472656,-2844.5999145507812,255.0,255.0,True,1.251993530255722,-1.4112885820368748,1.577284026425838,True,255.0,False,12,False,8,,DonBon130,5013215957347831402,18.0,1058.1400146484375,1116.1099853515625,17.010000228881836,-36.80000066757202,61.500000953674316,2.3999999463558197,-0.7000000029802322,-0.29999999329447746,0.0,248.0,128.0,False,-0.009341999863650247,-2.1135918015385764,9.929705589731681e-06,False,242.0,False,4,False,4,
7,707,19,False,True,0,4888.530600575158,-1157.3399658203125,258.4599914550781,666.4600219726562,3608.2998657226562,22437.39990234375,-2702.5,-4322.0001220703125,3678.699951171875,-1945.8000183105469,0.0,-0.37864181929674695,0.4501328619991135,-2.3856500442101614,5013215957347831402,DonBon130,18.0,-1133.27001953125,114.33000183105469,583.77001953125,7168.499755859375,10289.300537109375,2488.9999389648438,2252.2000122070312,3558.800048828125,3537.0999145507812,243.0,118.0,True,-0.5678546308794317,1.4420419006289535,0.8335627889083722,False,5,6,False,128.57624090102414,True,,815583620644839525,NSK-Giorgioss,16.0,-3190.5400390625,3007.1201171875,1182.0799560546875,3397.3001098632812,2279.7999572753906,-10623.800048828125,-248.29999923706055,-398.1999969482422,-437.20001220703125,255.0,128.0,False,-0.9136167226949833,0.31345034619278767,0.18318641847574677,True,255.0,False,12,4,8,,enpitsu,76561198039309853,28.0,-355.32000732421875,2423.56005859375,17.040000915527344,-5847.1002197265625,-259.4000053405762,4.900000095367432,-0.19999999552965164,0.3999999910593033,-2213.5000610351562,255.0,0.0,False,0.016668856838476024,-3.0651436425159377,-6.977544234444542e-05,True,207.0,False,6,False,6,,games5425898691,bf81d8692db,18.0,-3025.239990234375,987.1199951171875,1452.969970703125,4475.899963378906,-7749.2999267578125,-8681.199951171875,-47.800002098083496,799.4000244140625,-903.7000274658203,255.0,75.0,,0.7207174805050569,-1.4476583087520876,2.0064962690118318,True,186.0,False,10,False,8,
8,738,20,False,False,1,7781.920852410267,764.52001953125,-2640.81005859375,170.89999389648438,1239.8999786376953,4784.100036621094,11640.6005859375,5622.60009765625,-225.49999237060547,-2081.999969482422,1.0,-0.01354324779113068,-0.611075481185761,-2.9945488983203763,76561198039309853,enpitsu,28.0,741.4000244140625,-2768.699951171875,86.8499984741211,-4229.800109863281,4044.8001098632812,2777.9000854492188,-3790.0,-3985.5999755859375,8.199999928474426,0.0,128.0,False,0.5200783049161974,-2.382216017679968,-0.000674783840072549,True,7,8,False,199.0,False,,bf81d8692db,games5425898691,18.0,2541.2900390625,-114.2699966430664,58.79999923706055,-4239.700012207031,7749.1998291015625,-16397.39990234375,-984.4999694824219,498.69998931884766,-1068.0000305175781,255.0,128.0,,-0.43307184553248557,-1.5653305417331127,-0.3816499722212358,True,186.0,False,10,False,8,,NSK-Giorgioss,815583620644839525,16.0,2656.1298828125,-3286.360107421875,16.959999084472656,-9758.200073242188,-1342.4000549316406,12.599999904632568,0.29999999329447746,-11.299999952316284,-2274.2999267578125,255.0,0.0,False,-0.008910124241938914,-0.11707553259339848,-0.00016414275526071084,True,217.4041463098218,True,12,4,8,,DonBon130,5013215957347831402,18.0,391.67999267578125,-1383.5,486.4800109863281,-6744.69970703125,-11721.199951171875,-3647.9000854492188,684.4999694824219,-151.70000076293945,660.8999633789062,169.0,128.0,False,0.9617138560794848,-0.4260369578232059,0.9865943012405258,True,118.0,False,6,False,6,
9,820,23,False,False,1,6424.146808576943,1112.4300537109375,-1280.5,676.27001953125,-14640.6005859375,-3548.3999633789062,6948.499755859375,-2500.0999450683594,5235.30029296875,-1529.7000122070312,1.0,0.6700115961800306,-0.7462067851496915,-2.336752880488743,bf81d8692db,games5425898691,18.0,1221.9200439453125,-1247.449951171875,534.27001953125,-11724.300537109375,-6704.1998291015625,5135.9002685546875,3244.89990234375,-4362.099914550781,831.9000244140625,255.0,195.0,,0.21397889886086668,-0.42350645203767795,-0.13644258970086853,True,9,12,False,114.56384516787786,True,,76561198039309853,enpitsu,28.0,1076.3299560546875,-1446.7099609375,454.7200012207031,5649.4000244140625,16140.2001953125,3291.099853515625,-4501.400146484375,-426.50001525878906,-3131.300048828125,255.0,255.0,False,0.43929148749453933,2.2096294278808686,-0.5074861101103476,True,107.0,False,10,False,9,,NSK-Giorgioss,815583620644839525,17.0,1104.4300537109375,603.8200073242188,15.989999771118164,-5293.0999755859375,18108.199462890625,18.300000429153442,63.09999942779541,368.6000061035156,272.00000762939453,255.0,128.0,False,-0.012626241378360652,1.2454773751076096,0.0032937033993922786,True,168.0,False,14,4,10,,DonBon130,5013215957347831402,18.0,820.9299926757812,-1744.739990234375,17.010000228881836,-581.8000030517578,17093.299560546875,2.3000000417232513,-0.0,0.19999999552965164,238.99999618530273,231.0,141.0,False,-0.009562364897040968,1.528836248377177,-2.8285258967594664e-05,False,75.0,False,6,False,6,
