,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,170,0,False,False,0,5204.59779038081,-6.190000057220459,12.029999732971191,93.7699966430664,-7476.7999267578125,23633.798828125,2640.7000732421875,-2227.100067138672,-1021.6000366210938,-1465.2000427246094,0.0,-0.008620350262082263,-0.012129473774097689,-0.018501287167897965,76561198846586373,Himich_h,7.0,46.11000061035156,-179.72000122070312,52.15999984741211,-9827.899780273438,17044.200439453125,3604.1000366210938,-543.4999847412109,-303.8999938964844,-81.00000381469727,255.0,128.0,,0.02777242925808494,2.078536472338268,4.889591059044335e-05,True,4,False,False,0.0,False,,76561198308935706,Awaide ✞,9.0,7.929999828338623,-1361.5,17.010000228881836,1090.5000305175781,14058.399658203125,2.7000001072883606,0.0,0.0,0.0,255.0,128.0,,0.009590436002481698,1.49334929849449,1.7831420173254133e-05,,False,False,52.0,False,False,,enpitsu,76561198039309853,27,240.89999389648438,3974.919921875,17.049999237060547,-2241.0000610351562,5107.699890136719,3.700000047683716,-0.09999999776482582,0.19999999552965164,2129.7999572753906,0.0,255.0,,0.016919887523923677,-0.9186854180829543,5.112585509600363e-05,True,False,False,False,85.0,False,,games5425898691,bf81d8692db,17.0,-59.439998626708984,439.42999267578125,68.52999877929688,-2697.2000122070312,-22533.1005859375,3156.300048828125,4215.899963378906,-1939.1999816894531,-2098.000030517578,255.0,105.0,0.11848672912666287,-1.8507472259462299,0.005931643341576282,True,3,False,4,31.0,False,,
1,171,0,False,False,1,5303.734104938057,36.09000015258789,-93.55999755859375,123.80000305175781,-4283.2000732421875,21884.3994140625,9697.2998046875,5111.099853515625,801.6999816894531,3038.699951171875,1.0,0.09744939422454015,-0.043796042544222834,-0.3121789309970875,bf81d8692db,games5425898691,17.0,84.72000122070312,-262.3699951171875,90.31999969482422,3930.7000732421875,17126.8994140625,1814.9000549316406,-4974.4000244140625,1983.3999633789062,-1253.3000183105469,255.0,128.0,,-0.7494911638049863,1.9413142834072807,0.1016556594784504,True,4,3,False,31.0,False,,76561198039309853,enpitsu,27.0,-222.0800018310547,-4009.5400390625,17.049999237060547,3288.0999755859375,-5222.80029296875,3.700000047683716,0.09999999776482582,-0.0,2198.2000732421875,0.0,255.0,True,-0.016918044743772048,0.7740549637102615,4.2954435626531886e-05,True,False,False,85.0,False,False,,Awaide ✞,76561198308935706,9,-16.459999084472656,1244.300048828125,17.010000228881836,-797.7999877929688,-14058.199462890625,2.800000011920929,-0.19999999552965164,-4.000000059604645,740.5999755859375,255.0,216.0,,-0.009590060341997397,-1.50771606789684,8.672282533762194e-05,,False,False,False,52.0,False,,Himich_h,76561198846586373,7.0,28.56999969482422,49.2599983215332,79.23999786376953,9904.400024414062,-19895.999755859375,2990.1998901367188,-225.30000686645508,-1419.7999572753906,-3510.7000732421875,255.0,128.0,0.17714529103868548,-1.768703303037584,0.09105384522894312,True,3,False,4,0.0,False,,
2,173,0,False,False,0,5085.1702422866265,-27.93000030517578,129.47000122070312,216.39999389648438,4632.300109863281,8751.599731445312,13142.099609375,4872.0001220703125,2523.3999633789062,-2427.899932861328,0.0,-0.0643732973094448,0.20415361295235898,-0.5487798176171906,76561198846586373,Himich_h,7.0,-28.56999969482422,-49.2599983215332,79.23999786376953,-9904.400024414062,19895.999755859375,2990.1998901367188,225.30000686645508,1419.7999572753906,-3510.7000732421875,255.0,128.0,,-0.17714529103868548,1.768703303037584,0.09105384522894312,True,4,3,False,0.0,False,,76561198308935706,Awaide ✞,9.0,16.459999084472656,-1244.300048828125,17.010000228881836,797.7999877929688,14058.199462890625,2.800000011920929,0.19999999552965164,4.000000059604645,740.5999755859375,255.0,216.0,,0.009590060341997397,1.50771606789684,8.672282533762194e-05,,False,False,52.0,False,False,,enpitsu,76561198039309853,27,195.0,4042.3798828125,17.049999237060547,-4633.699951171875,4684.100036621094,3.1999999284744263,-2.199999988079071,1.899999976158142,828.3000183105469,0.0,255.0,True,0.016928538933003192,-0.6778567326974356,-0.00025329182309196844,True,False,False,False,85.0,False,,games5425898691,bf81d8692db,17.0,-84.72000122070312,262.3699951171875,90.31999969482422,-3930.7000732421875,-17126.8994140625,1814.9000549316406,4974.4000244140625,-1983.3999633789062,-1253.3000183105469,255.0,128.0,0.7494911638049863,-1.9413142834072807,0.1016556594784504,True,3,False,4,31.0,False,,
3,280,4,False,False,1,8842.534476447967,-1676.1800537109375,-3320.159912109375,307.1000061035156,-16614.7998046875,19870.0,6269.5001220703125,5132.80029296875,-1812.7000427246094,2420.399932861328,1.0,-0.25878651010543513,-1.035605734114346,-2.169502668007356,76561198039309853,enpitsu,27.0,-1620.6300048828125,-3416.510009765625,219.94000244140625,-8775.0,15048.499755859375,910.2999877929688,-4733.699951171875,-2800.2999877929688,0.7000000029802322,255.0,,,-0.764325802965399,1.0364335067498005,0.00012897975510950827,True,2,1,False,68.0,False,,bf81d8692db,games5425898691,18.0,3734.179931640625,-2137.169921875,16.959999084472656,-5624.0997314453125,-22234.3994140625,14.800000190734863,-5.5000001192092896,-40.10000228881836,-131.899995803833,255.0,128.0,,-0.00930931610956618,-1.3092709108984486,-0.002178507287561411,True,False,4,163.0,False,4,,Awaide ✞,76561198308935706,9,-3977.1201171875,1421.6600341796875,61.75,6105.0,17239.100341796875,-4912.699890136719,-744.1999816894531,-3596.0000610351562,-1653.2000732421875,220.0,0.0,,-0.28074413167832024,1.9914514046237062,0.5892412387352226,True,False,False,False,255.0,False,,Himich_h,76561198846586373,8.0,2316.14990234375,1420.47998046875,79.93000030517578,8305.599975585938,15301.8994140625,-1561.1000061035156,-2571.9000244140625,1395.2999877929688,0.0,,,0.6425194527565954,2.0678966468049174,-0.00010355093615898244,True,6,False,6,31.0,False,,
4,337,6,False,False,0,6972.403535781707,3413.2900390625,-341.2799987792969,313.2200012207031,2442.100067138672,7151.9000244140625,16657.2998046875,5111.199951171875,-2677.2000122070312,1645.3999328613281,0.0,0.22704398662884562,1.6008234185697374,-0.48629020767529996,76561198308935706,Awaide ✞,9.0,3372.3701171875,-417.04998779296875,146.44000244140625,7204.4000244140625,16874.100341796875,3414.4000244140625,2581.7999267578125,-1140.199966430664,282.99999237060547,255.0,128.0,,-0.3229912494335755,1.188153801953952,-0.0066196719595649454,True,4,False,False,191.0,False,,76561198846586373,Himich_h,8.0,-2137.3798828125,-4683.6298828125,16.989999771118164,17329.000244140625,1258.3000183105469,5.299999713897705,-0.19999999552965164,0.0,1968.3000183105469,255.0,255.0,,0.00959796248649379,0.14327575669990344,3.43051350234786e-05,True,False,6,255.0,False,6,,enpitsu,76561198039309853,27,3219.75,100.77999877929688,93.22000122070312,-820.6999969482422,-22763.20068359375,3079.2001342773438,2876.400146484375,-3242.5,-2011.0000610351562,255.0,0.0,,0.19475514840826536,-1.2813650655753597,0.04099585426069895,True,3,False,4,0.0,False,,games5425898691,bf81d8692db,18.0,-836.8400268554688,4910.669921875,17.010000228881836,21156.201171875,686.1000061035156,2.5999999046325684,-0.5999999865889549,0.0,-0.09999999776482582,255.0,128.0,0.009586992316464076,0.03239796356458891,5.279852698977822e-05,True,4,False,4,255.0,False,,
5,476,11,False,False,0,5115.145156031209,3238.840087890625,2128.719970703125,682.239990234375,-6865.10009765625,24383.798828125,2970.4000854492188,2536.300048828125,-1095.8999633789062,1069.7000122070312,0.0,-0.3206333306422195,2.153117118347127,-0.8894629726938997,76561198846586373,Himich_h,8.0,3317.6201171875,1945.4300537109375,593.3400268554688,-1081.8000030517578,22840.400390625,2478.699951171875,4801.099853515625,-1329.6000671386719,-2330.399932861328,0.0,0.0,,-0.6730706461524313,-3.1337232202209795,-2.7670457612154205,True,10,8,4,146.00150558512695,True,,76561198308935706,Awaide ✞,9.0,2901.2099609375,329.3299865722656,17.020000457763672,-6991.5997314453125,11821.800537109375,1.4000000059604645,-0.19999999552965164,0.7999999821186066,6.700000166893005,255.0,128.0,,0.00958561056839421,2.1059745076727636,-7.751883016993278e-05,True,False,False,175.0,False,4,,enpitsu,76561198039309853,27,3658.199951171875,-675.52001953125,17.059999465942383,-1150.2999877929688,22848.89892578125,1.899999976158142,0.0,-0.5999999865889549,357.20001220703125,255.0,128.0,False,0.016787016716438365,1.6498004642752515,-0.00010777456346894743,True,4,False,4,149.0,False,,games5425898691,bf81d8692db,18.0,-548.9199829101562,4671.919921875,17.010000228881836,3011.199951171875,6771.099853515625,2.7000001072883606,-1.0999999940395355,-2.800000011920929,-908.0999755859375,255.0,47.0,0.009517716304557965,1.1444094715765647,0.00011749180081800638,True,4,False,4,246.0,False,,
6,533,13,False,False,1,9488.353686898321,-2083.860107421875,-3868.2900390625,169.64999389648438,-14969.69970703125,15530.2001953125,9096.500244140625,351.1000061035156,5950.7000732421875,-681.6999816894531,1.0,-0.37737796719268046,1.1528942777479725,-3.0044755076723977,bf81d8692db,games5425898691,18.0,-1843.6199951171875,-4008.22998046875,56.400001525878906,-17660.999755859375,14519.000244140625,2488.9999389648438,-2800.7000732421875,-4698.699951171875,571.8999862670898,255.0,151.0,,-0.13140876641800603,0.7174913572414351,-0.017811582216181836,True,6,5,False,211.0,False,,76561198039309853,enpitsu,27.0,-3093.35009765625,-4136.97021484375,17.059999465942383,8987.60009765625,-20481.79931640625,2.3000000417232513,-0.19999999552965164,0.7000000029802322,1958.8999938964844,255.0,255.0,False,-0.016769026194067924,-2.0534943865587754,8.897838616865757e-05,True,False,4,255.0,False,4,,Awaide ✞,76561198308935706,9,-2140.219970703125,-1027.760009765625,17.020000457763672,1361.9999694824219,-1501.9000244140625,1.2999999523162842,-0.0,-0.09999999776482582,1236.9999694824219,255.0,255.0,,-0.0095030238835999,-2.128627456283382,0.00012637177147704372,True,False,False,4,206.0,False,,Himich_h,76561198846586373,8.0,-2429.6298828125,-4806.9501953125,16.829999923706055,4517.099914550781,10123.499755859375,58.20000171661377,-168.89999389648438,-118.69999885559082,2330.2000427246094,255.0,255.0,-0.0042351113035798684,1.9376865872402282,0.009526820147566359,True,8,4,10,127.0,False,,
7,603,15,False,False,1,6947.18415933287,-2971.110107421875,-631.3800048828125,183.8800048828125,8182.39990234375,5281.099853515625,9211.799926757812,-2174.199981689453,-4219.5001220703125,3669.8001098632812,1.0,0.3231302517558088,0.33102364117269384,-1.5029851419921145,bf81d8692db,games5425898691,18.0,-2911.330078125,-609.6099853515625,50.77000045776367,6864.1998291015625,2756.6000366210938,1592.7000427246094,1827.2999572753906,-5125.3997802734375,-800.1000213623047,255.0,128.0,,0.17995895093949874,2.968141199278065,0.038671957203121964,True,8,7,False,208.0,False,,76561198039309853,enpitsu,27.0,-1212.5,-2736.409912109375,17.059999465942383,-13647.2998046875,-472.00000762939453,2.800000011920929,0.7000000029802322,0.19999999552965164,2644.5001220703125,255.0,0.0,False,-0.016773328400021447,-0.1550509293804376,-5.521913350307487e-05,True,False,4,255.0,False,4,,Awaide ✞,76561198308935706,9,-2319.429931640625,460.9599914550781,17.020000457763672,-505.09998321533203,10152.7001953125,1.7000000178813934,-0.0,-1.0999999940395355,-1801.6999816894531,255.0,2.0,,-0.009537588920435443,1.521033425438067,-0.00022055103696125573,True,False,False,4,206.0,False,,Himich_h,76561198846586373,8.0,-587.8599853515625,-575.1900024414062,17.010000228881836,7626.9000244140625,20041.199951171875,3.0000001192092896,0.09999999776482582,-1.4000000059604645,1853.800048828125,255.0,255.0,-0.009638109740092752,1.8749866602532959,0.00013585472350361323,False,10,4,12,101.0,False,,
8,671,18,False,False,1,4896.388021484581,-1017.3099975585938,632.9099731445312,428.7699890136719,1584.1000366210938,11035.799560546875,1585.5999755859375,3370.2999877929688,-2818.900146484375,4085.7998657226562,1.0,-0.5189183891195643,-1.7507678350941243,-0.018779824653355,bf81d8692db,games5425898691,18.0,-947.6199951171875,603.1699829101562,316.67999267578125,9187.19970703125,12607.7001953125,-811.6000366210938,-2236.1000061035156,-1823.6000061035156,-4682.200012207031,255.0,231.0,,0.368439508516205,-2.9402180270766656,-1.9031511260982659,True,10,9,False,110.38164312096052,True,,76561198039309853,enpitsu,27.0,-1049.1700439453125,-56.63999938964844,210.9499969482422,9679.7998046875,20593.40087890625,2894.5001220703125,670.1000213623047,-432.09999084472656,691.1000061035156,255.0,128.0,False,0.5327964566922605,1.6065694526945073,-0.12951054626440622,True,False,4,139.0,False,6,,Awaide ✞,76561198308935706,9,-1057.8399658203125,2421.419921875,17.020000457763672,5618.699951171875,9066.799926757812,1.4000000059604645,0.5000000074505806,0.5000000074505806,-336.3999938964844,128.0,128.0,,-0.009657423124820918,2.158070406803938,0.00014848363341021605,True,False,False,4,236.0,False,,Himich_h,76561198846586373,8.0,190.91000366210938,3866.389892578125,17.010000228881836,7237.2998046875,15635.50048828125,2.5999999046325684,0.19999999552965164,0.5000000074505806,-344.39998626708984,255.0,128.0,-0.00959720766984369,2.036985604966777,0.00012886382432239336,True,10,4,12,162.0,False,,
9,742,20,False,False,0,8206.2694044569,761.47998046875,-2897.139892578125,113.87999725341797,1098.8999938964844,16030.799560546875,11285.799560546875,5939.2999267578125,216.00000381469727,823.3000183105469,0.0,0.7923529105266512,-3.0142582017743016,-0.42816083371202507,76561198308935706,Awaide ✞,9.0,745.1500244140625,-3017.110107421875,15.15999984741211,-239.40000534057617,12437.900390625,-82.20000267028809,83.19999694824219,239.50000762939453,-2005.7000732421875,255.0,128.0,False,0.006711016566298708,1.508350599746971,0.0313014921589467,True,4,False,False,186.79331606434238,True,,76561198846586373,Himich_h,8.0,493.54998779296875,-3664.25,17.010000228881836,776.8000030517578,9584.099731445312,3.0000001192092896,-0.09999999776482582,-3.400000035762787,-1248.1999969482422,255.0,0.0,False,0.009525834826150737,1.5147408670620781,-0.00025179451688598053,True,4,10,115.0,False,12,,enpitsu,76561198039309853,27,260.510009765625,-4037.800048828125,17.030000686645508,12453.299560546875,7209.7998046875,2.199999988079071,-0.29999999329447746,0.09999999776482582,2223.9999389648438,255.0,255.0,False,0.01674492137645433,0.5910707855988753,-5.597948816616083e-06,True,6,False,6,88.92547958127916,True,,games5425898691,bf81d8692db,18.0,-1856.2099609375,-2050.179931640625,17.010000228881836,-5989.5001220703125,18343.399658203125,0.0,0.0,0.09999999776482582,-462.90000915527344,255.0,128.0,0.009594577153805246,1.8427380313844792,0.0002269139901066766,True,10,False,10,73.19427087486433,True,,
