,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,168,0,False,False,1,5087.154483231726,71.95999908447266,120.02999877929688,187.10000610351562,6594.5001220703125,4775.7000732421875,16164.69970703125,4406.300048828125,-2326.1000061035156,-3342.60009765625,1.0,0.3856478567093918,0.6485762683447812,0.7427664951901024,b01147202bb,SynixRL,8.0,-36.63999938964844,47.41999816894531,76.0,-2705.7000732421875,9278.200073242188,2498.9999389648438,2518.000030517578,-4125.299987792969,-2625.0,128.0,255.0,False,0.6295923548963394,2.4220446351229055,-0.47529159173822655,True,11.0,False,False,5,6,,5364590267745823719,LunaticStyles,20.0,2037.1400146484375,-3580.7099609375,17.010000228881836,13727.7001953125,-5720.999755859375,2.3000000417232513,0.09999999776482582,-0.0,-2023.6000061035156,255.0,0.0,,-0.009588919949901072,-2.6854439813452027,-3.810991460043784e-05,True,False,False,False,0.0,False,,enpitsu,76561198039309853,26,209.55999755859375,300.7200012207031,94.2300033569336,-14428.00048828125,-17780.699462890625,2070.500030517578,4271.000061035156,-3465.2999877929688,0.0,255.0,128.0,,-0.7164056102431176,-0.8891598943736144,-2.6588167154785924e-05,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,17.0,2636.820068359375,4003.85009765625,17.010000228881836,16592.80029296875,-264.89999771118164,2.3000000417232513,0.5000000074505806,-0.0,-1893.8999938964844,128.0,0.0,-0.009634064899790705,-3.065468320979221,-6.994107678262269e-05,True,0.0,False,False,False,False,,
1,169,0,False,False,0,5292.758716586937,-63.709999084472656,-86.91000366210938,266.75,4274.89990234375,10324.7998046875,16433.800048828125,4892.9998779296875,-3423.5000610351562,580.8000183105469,0.0,-0.36382014977416866,-0.7505082066421271,1.0222967682506103,76561198039309853,enpitsu,26.0,-115.37999725341797,-188.52000427246094,104.33000183105469,4169.700012207031,4676.000061035156,232.29999542236328,-1777.1000671386719,-1875.8999633789062,1784.6000671386719,255.0,128.0,,1.123477302148527,0.8299009196410916,-0.3233959082213751,True,0.0,False,False,1,2,,bf81d8692db,games5425898691,17.0,-2809.820068359375,-3982.320068359375,17.010000228881836,-15329.100341796875,3436.7001342773438,2.3000000417232513,-0.29999999329447746,0.0,-1967.7999877929688,128.0,0.0,,0.009626778155079393,2.8554058477504025,-2.9827886898157848e-05,True,False,False,False,0.0,False,,SynixRL,b01147202bb,8,36.63999938964844,-47.41999816894531,76.0,2705.7000732421875,-9278.200073242188,2498.9999389648438,-2518.000030517578,4125.299987792969,-2625.0,128.0,255.0,False,-0.6295923548963394,-2.4220446351229055,-0.47529159173822655,True,11.0,False,6,False,5,,LunaticStyles,5364590267745823719,20.0,-2176.550048828125,3657.60009765625,17.010000228881836,-12217.60009765625,8040.10009765625,2.0999999344348907,-3.0000001192092896,2.0999999344348907,-993.3000183105469,255.0,128.0,0.00959494899741576,2.4924004012605834,0.00014670990630673883,True,0.0,False,False,False,False,,
2,262,3,False,True,0,3064.5598684335537,1256.050048828125,2958.2099609375,168.66000366210938,-12597.39990234375,15468.00048828125,-1105.8000183105469,5914.000244140625,138.50000381469727,1002.5,0.0,-0.0807129975179394,-0.7177087501028212,2.5674352223413486,76561198039309853,enpitsu,26.0,1350.6099853515625,2849.199951171875,64.41999816894531,-1933.6000061035156,17596.8994140625,2968.0999755859375,-2383.3999633789062,-1264.800033569336,2439.7000122070312,255.0,255.0,,0.0832806080233629,1.5392702003435634,-0.005246720134968425,True,0.0,False,False,3,4,,bf81d8692db,games5425898691,18.0,1039.5799560546875,-118.88999938964844,17.010000228881836,22056.79931640625,6518.4002685546875,0.3999999910593033,0.5999999865889549,0.0,4.799999892711639,255.0,128.0,,0.009604002215208442,0.2879743915626374,-3.028081147401113e-05,True,False,4,4,179.0,False,18.0,SynixRL,b01147202bb,8,3243.43994140625,-275.8299865722656,16.90999984741211,16145.30029296875,12191.500244140625,23.599998950958252,3.700000047683716,-2.3999999463558197,1205.5999755859375,247.0,255.0,False,0.00978429511091419,0.6642634211630739,0.00017323252278595027,True,0.0,False,8,False,8,,LunaticStyles,5364590267745823719,14.0,-770.5999755859375,4145.5498046875,17.010000228881836,9645.2001953125,6750.3997802734375,2.3000000417232513,-0.9000000357627869,1.1999999731779099,-1335.0,0.0,0.0,0.00983378244225174,0.6126225153672077,-0.0002678618881235645,True,242.0,False,False,False,False,,False
3,287,4,False,False,1,9417.2589479527,-248.69000244140625,-4207.43017578125,135.6199951171875,-13585.799560546875,5946.6998291015625,9570.700073242188,1050.6999969482422,5623.4002685546875,-1808.9999389648438,1.0,1.0379278841690518,-1.671321009461955,-2.669144397812743,5364590267745823719,LunaticStyles,14.0,-19.739999771118164,-4300.4501953125,17.010000228881836,-13504.599609375,-404.0999984741211,-0.19999999552965164,-2.8999999165534973,-0.09999999776482582,1452.8999328613281,255.0,255.0,,-0.00953984765193734,-0.019127069256821446,0.00042033953298696044,True,234.52478277811443,True,False,False,False,,b01147202bb,SynixRL,8.0,-3225.090087890625,-1125.77001953125,17.010000228881836,10958.900146484375,-16677.80029296875,-0.09999999776482582,1.0999999940395355,-1.7000000178813934,-1698.0999755859375,255.0,53.0,,-0.009556485478992502,-2.1082583438177993,-0.00016166485895109176,True,False,8,8,214.2860385935794,True,,enpitsu,76561198039309853,26,-1250.449951171875,-4357.83984375,79.94000244140625,1004.1999816894531,-15953.900146484375,-1987.1000671386719,1382.1000671386719,1109.3000030517578,702.7999877929688,255.0,0.0,,0.190120450962777,-1.5206085545667272,0.5793828345410088,True,,False,4,False,4,,games5425898691,bf81d8692db,18.0,-2387.7099609375,-984.0900268554688,17.010000228881836,-2562.6998901367188,-20560.80078125,2.3000000417232513,-0.0,-0.0,2013.0000305175781,255.0,255.0,-0.009585108625442033,-1.5255799911074626,4.571512852625965e-06,True,179.0,False,4,False,4,,
4,409,8,False,False,1,8048.750198895171,-2692.110107421875,-2064.7099609375,147.92999267578125,1688.2000732421875,24912.80029296875,6954.4000244140625,3368.9999389648438,4528.500061035156,-2035.0,1.0,1.38554569880198,-0.91316803414723,-1.0251569056388397,5364590267745823719,LunaticStyles,13.0,-2649.800048828125,-2210.320068359375,73.81999969482422,-4669.800109863281,16858.299560546875,1441.6999816894531,-3612.7999877929688,1908.8999938964844,3681.400146484375,128.0,4.0,,-0.23666670071125578,0.828323683618162,0.7458010355844042,True,112.57948390642801,True,False,3,4,,b01147202bb,SynixRL,8.0,-2835.6298828125,-2309.300048828125,17.0,12374.49951171875,13742.5,1.5999999642372131,2.8999999165534973,3.3000001311302185,811.3999938964844,231.0,255.0,False,-0.009556732096486536,2.299292120428222,3.070181446332184e-05,True,False,8,8,181.0,False,,enpitsu,76561198039309853,26,-3374.7900390625,-2313.300048828125,17.049999237060547,3750.10009765625,11177.7001953125,-0.7999999821186066,-0.19999999552965164,-0.0,2377.899932861328,255.0,128.0,,-0.01670832992837086,1.8411698387178888,-1.1248041754545698e-06,True,2.891251622989618,True,6,False,6,,games5425898691,bf81d8692db,18.0,-2753.929931640625,4366.419921875,17.010000228881836,-3796.0000610351562,-5947.2998046875,2.5,-0.29999999329447746,-0.7000000029802322,-2408.2000732421875,255.0,0.0,-0.009513222559022611,-1.0018284163873727,-8.713014218064259e-05,False,85.0,False,False,False,False,,
5,461,10,False,False,0,8283.731167886277,2392.739990234375,-2462.919921875,281.94000244140625,9420.599975585938,16822.2998046875,-3722.9998779296875,-4405.4998779296875,-1196.6999816894531,-3893.3999633789062,0.0,-0.4261895688681625,-0.23450798756477576,0.6222442910515238,bf81d8692db,games5425898691,18.0,2329.510009765625,-2658.280029296875,251.24000549316406,2026.4999389648438,15115.0,2328.9999389648438,-2022.5999450683594,4176.099853515625,2952.6998901367188,255.0,38.0,,0.028604231207950106,1.1300448550480555,0.7578589943565067,True,195.4181161875366,True,False,3,4,,76561198039309853,enpitsu,26.0,2882.949951171875,-761.969970703125,52.52000045776367,-3247.5,-16833.199462890625,15.399999618530273,-2200.2000427246094,-3303.699951171875,3561.300048828125,255.0,128.0,,0.6793367250234141,-1.0423420212005354,0.06683996255904205,True,False,8,8,0.0,False,,SynixRL,b01147202bb,8,2064.489990234375,-560.4500122070312,17.0,1473.2000732421875,-16604.49951171875,3.1999999284744263,0.09999999776482582,-2.5999999046325684,-1507.2999572753906,128.0,128.0,False,0.009588662994006708,-1.6365686092142402,2.806202967400896e-05,True,157.0,False,8,False,8,,LunaticStyles,5364590267745823719,13.0,2846.64990234375,-226.82000732421875,17.010000228881836,-10744.49951171875,-3360.5999755859375,2.5,-0.09999999776482582,0.7000000029802322,-2379.2999267578125,255.0,4.0,0.009613653303732145,-2.897782622250484,9.23489200118671e-06,True,110.0,False,4,False,4,,
6,513,12,False,False,0,6800.975954280032,3761.9599609375,184.52999877929688,131.88999938964844,4809.800109863281,21727.2998046875,1859.7999572753906,-717.2000122070312,865.4000091552734,5837.39990234375,0.0,1.070847830682436,-0.32365789898402675,1.9980625419623375,76561198039309853,enpitsu,26.0,3810.280029296875,74.79000091552734,79.69999694824219,12171.800537109375,17952.7001953125,807.3000335693359,-792.3000335693359,-271.5999984741211,4892.60009765625,255.0,128.0,,0.9797345299854315,2.7997345037013592,0.5600287300230126,True,0.0,False,False,9,8,,bf81d8692db,games5425898691,18.0,2347.7099609375,-181.25,17.010000228881836,-8538.900146484375,9857.000122070312,2.5,-0.09999999776482582,0.09999999776482582,2290.0999450683594,255.0,255.0,,0.009556714041996777,2.352257990782959,-2.413138857888382e-05,True,False,4,4,183.0,False,,SynixRL,b01147202bb,8,3651.449951171875,-412.1600036621094,16.989999771118164,6938.800048828125,14109.49951171875,4.799999892711639,0.0,-0.09999999776482582,2040.2999877929688,247.0,255.0,False,0.009565520675776365,1.1783369562920427,2.7610905004128876e-05,True,95.0,False,8,False,8,,LunaticStyles,5364590267745823719,13.0,3478.6201171875,560.6799926757812,48.77000045776367,16680.400390625,-8631.099853515625,3280.0,1271.3999938964844,-88.59999656677246,-249.79999542236328,128.0,54.0,0.022654138992023978,-0.494833196830427,0.029341851672407906,True,41.01453749082422,True,6,False,4,,
7,516,12,False,False,1,7306.2776928170915,-3838.510009765625,-424.7200012207031,159.66000366210938,-32289.69970703125,-8930.999755859375,11619.89990234375,3127.2000122070312,1901.9999694824219,4754.200134277344,1.0,-1.114205169372547,-0.0742546766259613,1.5974869699969527,5364590267745823719,LunaticStyles,13.0,-3683.27001953125,-449.4100036621094,79.36000061035156,-17383.499755859375,10116.599731445312,1226.2000274658203,572.2999954223633,-3542.9000854492188,4167.699890136719,128.0,128.0,,-0.2929884227950793,0.40590873447687686,0.24718286617535729,True,31.68333741926378,True,False,5,6,,b01147202bb,SynixRL,8.0,-3690.159912109375,315.6499938964844,16.989999771118164,-4908.599853515625,-14719.300537109375,4.799999892711639,-0.0,0.19999999552965164,2059.7000122070312,247.0,255.0,False,-0.009550371338883657,-1.3151364272571746,3.400173569272568e-05,True,False,8,8,95.0,False,,enpitsu,76561198039309853,26,-3917.25,-250.88999938964844,86.70999908447266,-3491.4999389648438,-15989.89990234375,1383.699951171875,1144.4999694824219,843.0999755859375,5313.0999755859375,255.0,128.0,,-1.0334498063930337,2.8052269591222743,0.7902424402269628,True,0.0,False,8,False,9,,games5425898691,bf81d8692db,18.0,-2268.64990234375,107.31999969482422,17.010000228881836,10208.499755859375,-8018.900146484375,2.5,0.19999999552965164,-0.0,2296.1000061035156,255.0,255.0,-0.00957038426406207,-2.543392720998367,-3.2326905272858786e-05,True,183.0,False,4,False,4,,
8,517,12,False,False,0,6709.219246245149,3926.570068359375,475.6199951171875,200.52999877929688,17537.900390625,28627.19970703125,12898.299560546875,1743.9999389648438,4233.500061035156,-3877.60009765625,0.0,1.2207556295620314,0.0668835897206119,1.6381213577396543,76561198039309853,enpitsu,26.0,3917.25,250.88999938964844,86.70999908447266,3491.4999389648438,15989.89990234375,1383.699951171875,-1144.4999694824219,-843.0999755859375,5313.0999755859375,255.0,128.0,,1.0334498063930337,-2.8052269591222743,0.7902424402269628,True,0.0,False,False,9,8,,bf81d8692db,games5425898691,18.0,2268.64990234375,-107.31999969482422,17.010000228881836,-10208.499755859375,8018.900146484375,2.5,-0.19999999552965164,0.0,2296.1000061035156,255.0,255.0,,0.00957038426406207,2.543392720998367,-3.2326905272858786e-05,True,False,4,4,183.0,False,,SynixRL,b01147202bb,8,3715.530029296875,-216.13999938964844,16.989999771118164,3084.7000122070312,15042.2998046875,4.399999976158142,-0.7000000029802322,-3.799999952316284,1419.4999694824219,247.0,128.0,False,0.009553806069493603,1.4407649943310856,-4.8605829968719477e-05,True,95.0,False,8,False,8,,LunaticStyles,5364590267745823719,13.0,3683.27001953125,449.4100036621094,79.36000061035156,17383.499755859375,-10116.599731445312,1226.2000274658203,-572.2999954223633,3542.9000854492188,4167.699890136719,128.0,128.0,0.2929884227950793,-0.40590873447687686,0.24718286617535729,True,28.54277829970083,True,6,False,5,,
9,611,16,False,False,0,2524.4016392107274,1085.9599609375,3576.530029296875,379.0899963378906,-6266.099853515625,12598.900146484375,9851.500244140625,4698.2000732421875,-3676.0000610351562,-642.5,0.0,1.0695240705514535,1.656396152613832,-1.4055307875444056,bf81d8692db,games5425898691,18.0,1027.010009765625,3413.6298828125,208.55999755859375,12660.2001953125,14508.499755859375,1955.0,1217.0999908447266,-2996.400146484375,-1169.4999694824219,128.0,181.0,,-1.0773306341351625,0.1376151906016827,0.2583913854830354,True,159.0,False,False,4,6,,76561198039309853,enpitsu,26.0,1999.449951171875,2236.389892578125,17.049999237060547,-13318.1005859375,4095.4998779296875,2.5999999046325684,-0.5999999865889549,0.0,0.3999999910593033,255.0,128.0,,0.01673464106054267,2.843325477281635,-5.3975080346834164e-05,True,False,8,10,,False,,SynixRL,b01147202bb,8,1467.5,3713.419921875,17.010000228881836,-19626.199951171875,-2454.9000549316406,-0.09999999776482582,-1.8000000715255737,0.0,-1716.3999938964844,255.0,2.0,False,0.00956023268159812,-3.056830829534891,-0.0001939502453103571,True,19.80904953454129,True,10,False,10,,LunaticStyles,5364590267745823719,13.0,3395.260009765625,2452.6298828125,17.0,-7007.2998046875,12230.699462890625,3.400000035762787,-0.09999999776482582,0.3999999910593033,52.199997901916504,255.0,128.0,0.00959739002353151,2.098192377523041,-7.202177205541837e-05,True,0.0,False,6,False,6,,
