,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,172,0.0,False,False,0,5162.295331203724,-8.020000457763672,54.650001525878906,141.44000244140625,-3738.3999633789062,1364.9000549316406,6216.199951171875,-1489.9000549316406,-536.5000152587891,2826.6000366210938,0.0,0.0455300493238573,0.026776157482621257,-0.4192049262715259,764997303082394243,chickenlegpeice_,13.0,5.429999828338623,-94.48999786376953,100.75,2859.2999267578125,2498.6000061035156,3769.5001220703125,-5405.0,-208.99999618530273,995.9999847412109,255.0,128.0,,0.7841704649511079,1.5378364794302295,-0.08133237220239298,True,0.0,False,3,4,False,,9008577481387032148,max_stetsun,10.0,-34.97999954223633,-3874.070068359375,17.010000228881836,-484.3000030517578,8752.60009765625,2.0999999344348907,-0.09999999776482582,-0.19999999552965164,-0.29999999329447746,255.0,128.0,,0.009501330620336024,1.6260194551456246,3.344286000360049e-05,True,116.0,False,False,False,False,,enpitsu,76561198039309853,26.0,23.709999084472656,4078.8798828125,17.049999237060547,-1151.6999816894531,-6315.0,2.7000001072883606,0.19999999552965164,-0.19999999552965164,3.700000047683716,255.0,128.0,False,0.016597899304968494,-1.7506969227353821,-2.6159825657029998e-05,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,11.75,189.22000122070312,94.81999969482422,-3443.599853515625,-651.9999694824219,101.19999885559082,5380.4998779296875,-963.4999847412109,-608.8999938964844,128.0,115.0,1.3999463454878767,0.1539937381326339,1.8887122347467298,True,0.0,False,4,3,False,,
1,173,0.0,False,False,1,5257.637764094942,21.440000534057617,-44.38999938964844,158.27000427246094,4237.60009765625,5591.099853515625,4658.500061035156,5908.499755859375,-271.299991607666,1007.6000213623047,1.0,-0.05758698355636404,-0.06832919876511855,-0.5840569099464463,bf81d8692db,games5425898691,20.0,-11.75,-189.22000122070312,94.81999969482422,3443.599853515625,651.9999694824219,101.19999885559082,-5380.4998779296875,963.4999847412109,-608.8999938964844,128.0,115.0,,-1.3999463454878767,-0.1539937381326339,1.8887122347467298,True,0.0,False,3,4,False,,76561198039309853,enpitsu,26.0,-23.709999084472656,-4078.8798828125,17.049999237060547,1151.6999816894531,6315.0,2.7000001072883606,-0.19999999552965164,0.19999999552965164,3.700000047683716,255.0,128.0,False,-0.016597899304968494,1.7506969227353821,-2.6159825657029998e-05,True,116.0,False,False,False,False,,max_stetsun,9008577481387032148,10.0,34.97999954223633,3874.070068359375,17.010000228881836,484.3000030517578,-8752.60009765625,2.0999999344348907,0.09999999776482582,0.19999999552965164,-0.29999999329447746,255.0,128.0,,-0.009501330620336024,-1.6260194551456246,3.344286000360049e-05,True,116.0,False,False,False,False,,chickenlegpeice_,764997303082394243,13.0,-24.110000610351562,79.01000213623047,117.30000305175781,-2782.7999877929688,-2264.1000366210938,511.5999984741211,5489.6002197265625,328.6000061035156,-79.00000095367432,255.0,128.0,-1.262736321043262,-1.4883420205914917,-0.16799748980982468,True,0.0,False,4,3,False,,
2,174,0.0,False,False,0,5161.398308598165,-37.5,50.5,170.1999969482422,-5859.1998291015625,5549.1998291015625,3334.7000122070312,2972.0999145507812,18.899999856948853,5212.1002197265625,0.0,0.05325961701770881,0.20932774558402453,-0.558905967439979,764997303082394243,chickenlegpeice_,13.0,24.110000610351562,-79.01000213623047,117.30000305175781,2782.7999877929688,2264.1000366210938,511.5999984741211,-5489.6002197265625,-328.6000061035156,-79.00000095367432,255.0,128.0,,1.262736321043262,1.4883420205914917,-0.16799748980982468,True,0.0,False,3,4,False,,9008577481387032148,max_stetsun,10.0,-39.15999984741211,-3798.5400390625,17.010000228881836,-514.5999908447266,9311.400146484375,2.0999999344348907,-0.19999999552965164,-0.19999999552965164,0.0,255.0,128.0,,0.009501330620336024,1.6260194551456246,3.344286000360049e-05,True,116.0,False,False,False,False,,enpitsu,76561198039309853,26.0,13.5,4022.81005859375,17.049999237060547,-1283.0999755859375,-7056.5997314453125,2.7000001072883606,0.29999999329447746,-0.29999999329447746,0.5999999865889549,255.0,128.0,False,0.01659790133690211,-1.7505564384548986,-2.4993695866718112e-05,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-11.239999771118164,187.77000427246094,95.12000274658203,-3453.0999755859375,-177.80000686645508,-91.19999885559082,5396.099853515625,-934.4000244140625,-508.1999969482422,128.0,115.0,1.0386635083458473,1.0348241536575826,2.856605275459771,True,0.0,False,4,3,False,,
3,248,2.0,False,False,1,6269.940958018776,1324.22998046875,-1115.300048828125,101.7699966430664,11231.400146484375,29290.400390625,3016.199951171875,2615.2999877929688,3829.2001342773438,1432.7000427246094,1.0,-1.1648326941715794,-2.504396445006915,-1.3808586461137777,76561198039309853,enpitsu,26.0,1253.9200439453125,-1326.2900390625,102.37000274658203,4120.899963378906,22302.900390625,2307.100067138672,-4098.999938964844,-3490.10009765625,1125.5000305175781,128.0,128.0,False,-0.620915992980019,1.7595229580636067,-0.5142806292369824,True,0.0,False,1,2,False,,bf81d8692db,games5425898691,20.0,1876.030029296875,-1307.8900146484375,88.47000122070312,12955.30029296875,-11451.800537109375,-156.30000114440918,3401.199951171875,4322.099914550781,22.100000381469727,255.0,128.0,,0.06731041083457051,0.6664521312903097,3.1375445431769795,True,0.0,False,False,5,6,,max_stetsun,9008577481387032148,9.0,2898.919921875,4013.72998046875,17.010000228881836,17882.099609375,3444.4000244140625,2.800000011920929,0.5000000074505806,-0.0,-3271.0000610351562,246.0,9.0,False,-0.009600953775544971,-3.058136068295167,-0.00011469057945182401,True,255.0,False,False,False,False,40.0,chickenlegpeice_,764997303082394243,13.0,835.6099853515625,-888.9400024414062,17.010000228881836,12016.800537109375,-3932.2000122070312,2.199999988079071,-5.600000023841858,1.5999999642372131,1363.800048828125,255.0,131.0,-0.009571381997950415,-2.8696471970914255,0.00011163821202122144,True,0.0,False,4,4,False,,
4,286,4.0,False,False,0,8051.792316778909,-2821.669921875,-2678.1298828125,131.08999633789062,-6385.3997802734375,17557.60009765625,6250.7000732421875,1647.5,-4930.199890136719,2996.300048828125,0.0,0.805690689422522,2.4659402178972325,3.0634380367032774,9008577481387032148,max_stetsun,9.0,-2797.35009765625,-2856.090087890625,74.66999816894531,5003.999938964844,6910.999755859375,2901.7001342773438,3380.7000732421875,-2342.4000549316406,3651.4999389648438,255.0,255.0,,-0.14179838993384244,1.5688703898568466,-0.06993150670679936,True,150.2173074291598,True,False,4,False,,764997303082394243,chickenlegpeice_,14.0,-2523.590087890625,380.32000732421875,17.010000228881836,-13528.00048828125,-3972.2000122070312,2.0999999344348907,0.5999999865889549,0.0,-11.499999761581421,255.0,128.0,,0.009576451097218745,-2.857760087707555,6.579767042161467e-05,True,,False,False,4,4,,enpitsu,76561198039309853,26.0,-1993.719970703125,-1214.1500244140625,17.049999237060547,-14413.199462890625,-10578.499755859375,3.3000001311302185,1.4000000059604645,0.5000000074505806,-2016.6000366210938,255.0,0.0,,0.016746655619704228,-2.578917549185194,9.462168199084248e-05,,,False,2,False,2,,games5425898691,bf81d8692db,20.0,-3173.27001953125,3093.06005859375,17.010000228881836,-2568.2000732421875,16416.099853515625,2.0999999344348907,0.09999999776482582,-0.7000000029802322,-14.600000381469727,255.0,128.0,0.009604088852767338,1.7238688814127927,8.609563602128349e-05,True,,False,6,6,False,,
5,366,7.0,False,False,0,4331.577545468593,-3614.719970703125,1767.8900146484375,201.55999755859375,5078.599853515625,17477.39990234375,282.99999237060547,45.19999980926514,-2311.199951171875,4995.7000732421875,0.0,0.19108971986988935,2.4247508695219135,-2.021396665081036,764997303082394243,chickenlegpeice_,11.0,-3609.360107421875,1692.6500244140625,121.61000061035156,9136.199951171875,12304.599609375,-3524.2001342773438,2335.2000427246094,-4116.700134277344,2801.6000366210938,199.0,128.0,False,0.3483181865834845,1.7352976197061427,-2.8137748179181474,True,155.0,False,6,6,False,,9008577481387032148,max_stetsun,9.0,-1727.5400390625,-40.27000045776367,17.010000228881836,4773.500061035156,13437.7001953125,2.0999999344348907,0.5000000074505806,1.8000000715255737,254.0999984741211,217.0,155.0,,0.009587623038661463,1.2286119566237277,-3.064506805607042e-05,True,121.0,False,False,False,4,,enpitsu,76561198039309853,26.0,-3852.610107421875,2332.6298828125,64.05000305175781,-5422.5,17416.600341796875,-3227.6998901367188,-4123.0999755859375,-1302.4000549316406,168.1999969482422,255.0,0.0,,0.7082658692914039,1.783027082924507,0.5464209632500813,True,,False,4,False,4,,games5425898691,bf81d8692db,20.0,-3191.860107421875,2664.8701171875,17.010000228881836,-10780.699462890625,-18862.7001953125,-0.29999999329447746,-0.5999999865889549,-0.9000000357627869,192.09999084472656,255.0,128.0,0.009602973926690074,-2.069750738156936,-0.00016347901529422561,True,151.59356558194716,True,6,6,False,,
6,450,10.0,False,False,0,1523.5947487467245,-2415.25,5025.02001953125,438.69000244140625,10325.6005859375,-1889.1999816894531,3632.2000122070312,-4684.4000244140625,800.1999664306641,2383.8999938964844,0.0,0.6073039852107746,-0.0906057408652657,2.895648720197821,764997303082394243,chickenlegpeice_,11.0,-2562.340087890625,5074.2001953125,306.6099853515625,6602.39990234375,-3210.7000732421875,5136.199951171875,-520.4999923706055,1646.9999694824219,-547.0000076293945,221.0,128.0,False,-0.5910678435543149,0.031080104413865838,1.5378000014264106,True,92.0,False,6,8,False,,9008577481387032148,max_stetsun,9.0,-775.6599731445312,2644.780029296875,17.010000228881836,915.0,5023.699951171875,2.199999988079071,0.09999999776482582,0.5999999865889549,-1190.0,255.0,68.0,,0.00950044572571069,1.4321807058646625,-0.00019299776607685517,True,121.0,False,False,False,4,,enpitsu,76561198039309853,26.0,-1401.93994140625,4347.08984375,17.059999465942383,13241.400146484375,4848.599853515625,1.1999999731779099,-0.5999999865889549,0.0,0.0,128.0,255.0,,0.01674081340876134,0.3510239741251497,4.843674841772921e-05,True,31.0,False,4,False,4,,games5425898691,bf81d8692db,20.0,-3526.6298828125,4513.6201171875,583.280029296875,15778.00048828125,15698.199462890625,-5798.0999755859375,12.000000476837158,-30.199999809265137,38.09999942779541,255.0,128.0,0.2405317165829908,0.7932352155323124,1.5737916489027328,True,0.0,False,6,6,False,,
7,489,11.0,False,False,0,358.9461232941253,-1001.0499877929688,4796.77001953125,294.67999267578125,-4066.9000244140625,21681.10107421875,-4947.39990234375,-23.900001049041748,1061.500015258789,5905.2001953125,0.0,0.6005174367924283,-0.14957458204965832,1.5770227219356274,9008577481387032148,max_stetsun,9.0,-941.27001953125,4545.89013671875,241.89999389648438,3297.0999145507812,22528.00048828125,2031.1000061035156,-2324.4000244140625,3212.6998901367188,3811.199951171875,128.0,0.0,,-0.7633834443490357,2.0547298295111767,0.42070299607596007,True,38.0,False,3,6,False,,764997303082394243,chickenlegpeice_,12.0,-961.47998046875,4614.490234375,508.7699890136719,15656.400146484375,-3283.0999755859375,-971.5000152587891,-3150.1998901367188,1382.7000427246094,320.0,191.0,128.0,False,-0.15276582326906304,-1.2772579814049176,2.6777367567034083,True,55.0,False,False,8,8,,enpitsu,76561198039309853,26.0,-754.4000244140625,4940.75,222.49000549316406,490.49999237060547,8913.599853515625,858.3000183105469,-5223.4002685546875,-1697.5999450683594,289.3000030517578,0.0,255.0,,0.4739155812036732,0.9401618500581188,-0.567496419562393,True,0.0,False,6,False,5,,games5425898691,bf81d8692db,21.0,-990.22998046875,4921.9501953125,45.810001373291016,10353.1005859375,-4975.4998779296875,3306.0000610351562,-1513.5000610351562,-16.100000143051147,-485.09998321533203,255.0,128.0,-0.038416212716382826,-0.5627215787856491,-0.13562533794129936,True,0.0,False,8,6,False,,
8,566,14.0,False,False,1,7659.901737659761,1232.4300537109375,-2512.510009765625,97.04000091552734,18500.400390625,10959.7998046875,5596.300048828125,-5093.800048828125,-2852.0999145507812,1385.0999450683594,1.0,0.6517207670141035,0.2142242096172708,-1.4511918656401215,bf81d8692db,games5425898691,21.0,1085.02001953125,-2569.64990234375,16.579999923706055,14282.80029296875,2166.699981689453,-517.2999954223633,-2578.800048828125,-2208.8999938964844,3335.0,255.0,128.0,,0.005284988642614152,2.972430049030292,-0.024070740289695424,True,0.0,True,8,8,False,,76561198039309853,enpitsu,26.0,754.9500122070312,-5859.47998046875,61.04999923706055,5507.19970703125,4617.300109863281,-2426.999969482422,2145.0999450683594,1117.699966430664,2126.0000610351562,255.0,255.0,False,-0.3179668049102328,2.411698449090623,-0.37159010535540865,True,,False,False,6,6,,max_stetsun,9008577481387032148,9.0,588.2999877929688,-5240.31982421875,12.600000381469727,488.8999938964844,11528.599853515625,-722.6999664306641,-103.29999923706055,-2422.2999572753906,266.299991607666,222.0,128.0,,-0.017100955025005193,1.5720235341465938,0.02747251817134763,True,,False,8,False,6,,chickenlegpeice_,764997303082394243,12.0,-432.4100036621094,-2320.0,99.5999984741211,16440.400390625,9862.999877929688,-157.5,1225.5999755859375,5323.499755859375,-638.1999969482422,246.0,128.0,-0.08228972589121131,1.0511362703783185,-3.059272131242005,True,,False,10,9,False,,
9,658,17.0,False,False,1,4879.0367664592,2316.7099609375,472.3900146484375,99.3499984741211,-20976.39892578125,11926.99951171875,6676.9000244140625,-2152.100067138672,3678.599853515625,-2865.1998901367188,1.0,-1.409888738763574,2.000671682137636,-2.8597094927082085,bf81d8692db,games5425898691,20.0,2456.919921875,408.9800109863281,16.700000762939453,-17857.2998046875,4813.999938964844,-131.00000381469727,374.59999084472656,3104.4000244140625,-2275.7000732421875,255.0,128.0,,0.01600423963724874,0.3257587961391549,0.005380181757303671,True,214.0,False,10,10,False,,76561198039309853,enpitsu,26.0,-94.30999755859375,-1700.9300537109375,17.049999237060547,-1047.0999908447266,17692.7001953125,2.5,-0.0,-0.5000000074505806,0.0,255.0,128.0,False,-0.016775582653455107,1.5116854139422877,4.561845862350795e-05,True,0.0,False,False,6,6,,max_stetsun,9008577481387032148,9.0,405.2799987792969,1164.81005859375,17.010000228881836,-1355.2999877929688,22222.39990234375,2.0999999344348907,0.09999999776482582,2.3000000417232513,-566.1000061035156,255.0,128.0,,-0.009620288499395455,1.5522277580870152,8.932059686043407e-05,True,1.0,False,12,False,10,,chickenlegpeice_,764997303082394243,17.0,3411.6298828125,2118.659912109375,17.010000228881836,-6385.10009765625,16344.49951171875,2.0999999344348907,-0.5000000074505806,1.5999999642372131,1064.7000122070312,255.0,247.0,-0.00958772082994625,1.2114053460323675,0.00032262587515360767,False,,False,12,12,False,,False
