,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect,team_mate_handbrake
0,164,0,False,False,0,5204.751172901811,-8.350000381469727,11.5,93.20999908447266,-15248.399658203125,25027.7001953125,2745.1998901367188,-1341.9000244140625,-998.0999755859375,362.79998779296875,0.0,-0.008296358202125369,0.0030729560204079604,-0.011185622768470408,998199732707499505,Paul_lechtape,15.0,133.75999450683594,-189.77999877929688,56.52000045776367,-14045.0,17621.199951171875,-2323.300018310547,-1460.5000305175781,-592.9000091552734,209.50000762939453,213.0,128.0,,0.030244863655839824,2.508633958150749,-0.2678308235494343,True,0.0,False,False,4,4,,3840399533858939784,ksadm5,110.0,-188.33999633789062,-3421.409912109375,17.049999237060547,1712.2000122070312,4297.699890136719,3.100000023841858,0.0,0.0,0.0,255.0,128.0,0.016610495523882742,1.1916217904437678,5.509302969128233e-06,True,85.0,False,False,False,False,,enpitsu,76561198039309853,26.0,-328.3299865722656,520.739990234375,72.69999694824219,9560.800170898438,-14449.200439453125,2928.0999755859375,1.4000000059604645,0.0,-123.59999656677246,128.0,128.0,,0.017104229896669557,-1.0195613269702428,0.0003576110221082627,True,False,0.0,False,2,2,,games5425898691,bf81d8692db,24.0,2286.139892578125,4019.1201171875,17.010000228881836,13937.19970703125,4411.600036621094,2.7000001072883606,-0.5999999865889549,0.0,-0.29999999329447746,255.0,128.0,,0.009593207950612765,0.30648929397810837,5.6981515004159377e-05,True,0.0,False,False,False,False,,
1,168,0,False,False,1,5382.276198995427,88.19000244140625,-181.30999755859375,166.5500030517578,-16676.700439453125,13549.89990234375,12500.899658203125,1863.699951171875,1660.5999755859375,3001.400146484375,1.0,0.02792233785132387,-0.04158657337433877,0.010746571914085222,76561198039309853,enpitsu,26.0,200.4600067138672,-329.57000732421875,137.64999389648438,-6127.19970703125,8815.999755859375,4763.299865722656,-622.7000045776367,-431.89998626708984,477.90000915527344,128.0,128.0,,-0.050178192853482774,1.0106895760513117,-0.0015745383728287873,True,0.0,False,2,False,2,,bf81d8692db,games5425898691,24.0,-2402.239990234375,-4055.919921875,17.010000228881836,-13937.19970703125,-4410.7000732421875,2.7000001072883606,0.5999999865889549,-0.0,0.0,255.0,128.0,-0.009593207950612765,-0.30648929397810837,5.6981515004159377e-05,True,0.0,False,False,False,False,,Paul_lechtape,998199732707499505,15.0,76.27999877929688,-60.709999084472656,20.18000030517578,10564.200439453125,-10806.099853515625,-1742.5999450683594,-221.39999389648438,-2705.7000732421875,-2148.0999755859375,213.0,131.0,,0.2823310422417202,-2.3292012544781957,-0.11095162348053994,True,4,0.0,False,4,False,,ksadm5,3840399533858939784,110.0,154.0500030517578,3335.340087890625,17.049999237060547,-2351.7999267578125,-5902.60009765625,3.100000023841858,0.09999999776482582,-0.0,0.0,255.0,128.0,,-0.016610495523882742,-1.1916217904437678,5.509302969128233e-06,True,85.0,False,False,False,False,,
2,277,4,False,False,0,10266.136243605646,2745.5400390625,-4458.580078125,130.07000732421875,-4907.900085449219,3261.7999267578125,9078.800048828125,5565.8001708984375,-2239.7999572753906,62.5,0.0,0.6265019402236355,0.16914359537803852,0.6084806301917122,3840399533858939784,ksadm5,19.0,2726.97998046875,-4569.7900390625,17.030000686645508,-6277.60009765625,2503.9999389648438,-18.99999976158142,1938.2000732421875,-384.90001678466797,-2398.2000732421875,255.0,0.0,,0.012767224150490652,2.6970013192291105,-0.016022126874032244,True,255.0,False,False,False,False,,998199732707499505,Paul_lechtape,9.0,-3469.919921875,-2693.169921875,83.54000091552734,3512.2000122070312,-22666.0009765625,-155.2999973297119,4784.800109863281,-2706.0000610351562,179.0999984741211,210.0,,-0.008516680048986088,-0.07081060421716727,3.0836660257406656,,242.0,False,7,False,8,,enpitsu,76561198039309853,26.0,2911.719970703125,-598.8800048828125,17.059999465942383,14804.49951171875,7455.3997802734375,1.8000000715255737,0.29999999329447746,0.3999999910593033,0.09999999776482582,255.0,255.0,True,0.016760585016067305,0.4665444452351383,-3.788425981219614e-05,True,False,,False,2,2,,games5425898691,bf81d8692db,24.0,3498.239990234375,-3025.300048828125,17.010000228881836,-2454.499969482422,-19682.900390625,2.800000011920929,0.0,-0.7000000029802322,-1898.9999389648438,,0.0,,0.009634868674413488,-1.7608041916657504,-6.741251406120234e-05,True,255.0,False,False,False,False,,
3,339,6,False,False,1,2934.6188018775806,-1694.6199951171875,3761.35009765625,503.8900146484375,-1510.0999450683594,995.2999877929688,-1614.4000244140625,-4366.000061035156,-738.6000061035156,4048.699951171875,1.0,-0.12844344048713024,-0.5008525684148495,1.293506657563143,bf81d8692db,games5425898691,24.0,-1608.0999755859375,3740.199951171875,418.6600036621094,4951.499938964844,583.1000137329102,-508.4000015258789,-488.4000015258789,-3521.7999267578125,4196.099853515625,255.0,230.0,,-1.3153288167883732,1.7099140990799666,1.6910198424521552,True,164.18365569524866,True,False,3,4,,76561198039309853,enpitsu,26.0,-2132.320068359375,529.6699829101562,17.059999465942383,2653.0999755859375,13670.50048828125,1.899999976158142,-0.0,0.7000000029802322,73.00000190734863,128.0,128.0,-0.016748384302742683,1.7541369379530287,-8.387316578395819e-05,True,,False,False,2,2,,Paul_lechtape,998199732707499505,9.0,672.9500122070312,4085.4599609375,93.54000091552734,-20404.300537109375,-180.0,-154.7000026702881,-3817.9000854492188,-3943.699951171875,347.2999954223633,128.0,0.0,,0.5868325510822509,-0.7224415678988771,-1.3338351194108726,True,10,223.0,False,10,False,,ksadm5,3840399533858939784,9.0,-1552.219970703125,3857.429931640625,17.049999237060547,-1540.2999877929688,-2136.300048828125,3.1999999284744263,-0.3999999910593033,-0.0,-1419.2999267578125,255.0,0.0,,-0.016661511234323686,-1.1003524594876748,-0.00014092013748471743,True,255.0,False,False,False,False,,False
4,373,7,False,False,0,9463.334860889328,1969.530029296875,-3879.06005859375,223.00999450683594,21698.89892578125,7782.19970703125,7284.4000244140625,1825.0,2072.4000549316406,3953.2998657226562,0.0,0.12060954571146588,1.4464156689282535,1.5487652794138165,998199732707499505,Paul_lechtape,9.0,1699.72998046875,-3962.6298828125,111.86000061035156,18929.000244140625,1561.6000366210938,3130.0,-18.799999952316284,-918.0000305175781,-1133.7000274658203,128.0,128.0,,-0.18081845475604943,-0.25395808365336714,0.02160109681748293,True,254.0,False,False,10,12,,3840399533858939784,ksadm5,9.0,1796.969970703125,-3684.199951171875,17.049999237060547,-880.4000091552734,-650.9999847412109,3.1999999284744263,0.7000000029802322,0.0,9.49999988079071,128.0,128.0,0.016725614604208378,0.6412785386961214,-5.612053820336405e-05,True,255.0,False,False,False,False,,enpitsu,76561198039309853,26.0,2032.5,-1459.5799560546875,17.059999465942383,4296.400146484375,-5526.500244140625,2.3999999463558197,0.0,0.0,2392.899932861328,255.0,255.0,False,0.01665478705090352,-0.912141197440731,3.210052305451099e-05,True,False,,False,2,2,,games5425898691,bf81d8692db,24.0,991.9600219726562,-3863.110107421875,141.44000244140625,-5320.9002685546875,-1399.4000244140625,-5930.9002685546875,-40.50000190734863,142.89999961853027,-563.8999938964844,255.0,128.0,,0.07484492459641306,-2.065890896295696,-1.7266988022129481,True,159.0,False,4,False,4,,
5,439,9,False,False,0,8272.369051136498,2208.02001953125,-2527.929931640625,116.77999877929688,-18109.89990234375,1905.2999877929688,-2625.5999755859375,2114.199981689453,-737.0999908447266,-4883.599853515625,0.0,0.48833759754422795,-1.2783054230888522,0.8764162607142312,3840399533858939784,ksadm5,8.0,2368.969970703125,-2505.840087890625,17.049999237060547,-11985.2001953125,4912.0001220703125,0.0,-0.29999999329447746,0.0,2345.7000732421875,255.0,255.0,,0.016721038494556494,2.813460105792414,-3.956494456071456e-05,True,180.39206034650084,True,False,False,False,,998199732707499505,Paul_lechtape,8.0,3811.070068359375,-2412.830078125,14.720000267028809,-11179.7998046875,7388.800048828125,-170.9000015258789,-276.299991607666,1104.1000366210938,2149.199981689453,213.0,255.0,-0.0030225313140897544,2.634003994478492,0.001045954307418112,True,254.0,False,10,False,12,,enpitsu,76561198039309853,26.0,2293.81005859375,-1381.43994140625,17.059999465942383,-9428.400268554688,1607.4000549316406,1.5000000596046448,4.699999988079071,-1.4000000059604645,311.00000381469727,0.0,0.0,False,0.01692552762979984,-0.15297288107018708,8.262165847519793e-05,True,False,,False,2,2,,games5425898691,bf81d8692db,24.0,1336.06005859375,-3450.39990234375,17.020000457763672,-9179.600219726562,7489.1998291015625,1.2999999523162842,-0.29999999329447746,0.0,435.29998779296875,255.0,128.0,,0.009543728302565743,2.5014878030461545,-0.0002362825337683506,True,159.0,False,4,False,4,,
6,467,11,False,False,1,3146.5680863221355,-603.75,2373.840087890625,102.4000015258789,-3514.1000366210938,-4647.799987792969,5384.7998046875,-838.8999938964844,4597.60009765625,-3762.6998901367188,1.0,-0.127967806766536,1.545744094094041,0.468567172154837,bf81d8692db,games5425898691,24.0,-485.95001220703125,2420.340087890625,17.020000457763672,2415.399932861328,-9566.300048828125,1.7000000178813934,-1.5000000596046448,-0.3999999910593033,-2093.2000732421875,128.0,0.0,,-0.009740286276031759,-1.7779280633870536,-6.149014674829335e-05,True,158.0,False,False,4,4,,76561198039309853,enpitsu,26.0,-1208.550048828125,1641.510009765625,17.059999465942383,12035.400390625,-2587.0999145507812,2.3999999463558197,-0.3999999910593033,0.09999999776482582,-2005.7000732421875,0.0,255.0,-0.016838268147371566,0.3771138738118935,-3.315619017787037e-05,True,,False,False,2,2,,Paul_lechtape,998199732707499505,8.0,-2038.6400146484375,2483.219970703125,102.69999694824219,20396.500244140625,6772.0001220703125,-146.70000076293945,-4742.799987792969,2672.2000122070312,784.1000366210938,128.0,251.0,,-0.8935868767936243,-2.351103705058528,-2.0233739699170363,True,11,219.0,False,14,False,,ksadm5,3840399533858939784,8.0,-943.0499877929688,2812.840087890625,17.049999237060547,17304.7998046875,-3702.60009765625,1.8000000715255737,0.29999999329447746,-0.0,-2008.9999389648438,255.0,21.0,,-0.016771305361830597,-2.8625267121244,-1.8347663575188327e-05,True,123.0,False,False,False,False,,False
7,498,12,False,False,1,3755.293813329707,-1001.0499877929688,1899.0999755859375,321.8299865722656,-5457.80029296875,5357.0001220703125,5929.1998291015625,2665.7998657226562,4559.4000244140625,-2846.9000244140625,1.0,-0.07677566168834521,1.754470378961252,0.8447616523014471,bf81d8692db,games5425898691,24.0,-976.97998046875,1803.81005859375,171.97999572753906,-8564.400024414062,687.9000091552734,1741.4999389648438,-4273.999938964844,-586.3999938964844,1720.5000305175781,255.0,26.0,,-0.18965804047912602,-0.08951403478176315,1.388219842771793,True,158.0,False,False,5,6,,76561198039309853,enpitsu,26.0,-633.6099853515625,485.7799987792969,17.059999465942383,-119.79999542236328,-13488.699951171875,2.0999999344348907,-0.0,-1.899999976158142,1872.4000549316406,0.0,0.0,-0.016809435313350128,1.4414232884172176,0.00016376403183066668,True,,False,False,2,2,,Paul_lechtape,998199732707499505,8.0,54.81999969482422,3382.320068359375,16.850000381469727,11583.00048828125,15922.5,25.399999618530273,31.90000057220459,55.999999046325684,2435.0,210.0,255.0,True,-0.009219173379418863,2.093611259698717,-0.0030903388517451746,True,12,219.0,False,14,False,,ksadm5,3840399533858939784,8.0,-244.24000549316406,1375.8800048828125,17.049999237060547,-9077.39990234375,-11037.80029296875,3.6000001430511475,-0.0,-0.0,-2153.8999938964844,255.0,0.0,,-0.016771708313589682,-0.8179608591424904,7.65327428277637e-06,True,123.0,False,False,False,False,,False
8,561,14,False,False,0,8714.790383083664,2191.75,-3009.43994140625,157.7899932861328,20045.10009765625,21761.0009765625,3627.2000122070312,3502.39990234375,2311.300048828125,4288.399963378906,0.0,0.23527173974669127,-2.27657896936683,0.4115797971046144,998199732707499505,Paul_lechtape,8.0,1989.3299560546875,-3255.7900390625,119.7699966430664,16681.199951171875,15357.19970703125,3230.10009765625,407.7000045776367,2463.300018310547,-272.7000045776367,128.0,0.0,,0.018015805210566845,1.1758853854028184,0.020003490142990136,True,197.4029676760397,True,False,13,16,,3840399533858939784,ksadm5,7.0,1678.050048828125,-3041.429931640625,17.049999237060547,-1640.5999755859375,-8129.4000244140625,3.100000023841858,0.0,0.7999999821186066,0.0,,,0.016860291186041633,-1.769983111319937,7.116702261753037e-05,True,130.0,False,False,False,False,,enpitsu,76561198039309853,26.0,102.66000366210938,2577.2099609375,17.059999465942383,-1966.6000366210938,13963.199462890625,1.8000000715255737,0.0,-0.7999999821186066,-0.5000000074505806,0.0,,,0.016777999757797923,-1.43073664628926,-7.74265870587021e-05,True,False,31.0,False,2,2,,games5425898691,bf81d8692db,24.0,2549.97998046875,-3011.8701171875,17.0,-8860.700073242188,-10113.699951171875,4.099999964237213,0.0,0.0,-2251.300048828125,255.0,0.0,,0.009552625139245053,-2.3584255388983006,4.633394288925119e-06,True,108.0,False,6,False,6,,
9,649,17,True,True,0,4204.887415509023,1740.81005859375,1864.5899658203125,205.8300018310547,-10760.699462890625,21582.39990234375,4931.9000244140625,100.20000457763672,1195.2999877929688,-5878.800048828125,0.0,-0.46352608478661195,2.2816142546197677,-3.1228917281138546,998199732707499505,Paul_lechtape,8.0,1781.1400146484375,1729.02001953125,94.80000305175781,-9262.5,20848.9990234375,2918.9999389648438,-3189.5001220703125,3435.10009765625,2876.9000244140625,128.0,0.0,,-0.16929215131773054,2.748632567972968,0.1704533049951797,False,185.80787081359534,True,False,15,18,,3840399533858939784,ksadm5,7.0,1549.31005859375,-3679.449951171875,17.049999237060547,0.0,0.09999999776482582,3.100000023841858,-0.5000000074505806,0.19999999552965164,0.0,,,0.01682385523364882,-1.7699837938870253,1.3460462274923439e-05,True,130.0,False,False,False,False,,enpitsu,76561198039309853,26.0,-174.08999633789062,5526.5498046875,23.8700008392334,-2.0000000298023224,2.0000000298023224,-0.19999999552965164,0.29999999329447746,0.0,0.0,128.0,128.0,,0.055918024845795375,-1.4303771308381104,0.005524917608458741,True,False,92.0,False,2,2,,games5425898691,bf81d8692db,24.0,642.77001953125,1716.530029296875,16.989999771118164,-7887.60009765625,21441.79931640625,5.199999809265137,0.9000000357627869,-2.199999988079071,543.4000015258789,255.0,128.0,,0.009598401894220015,1.9638003491632812,-7.291567792385073e-05,True,64.0,False,8,False,8,,
