,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,463,10,True,0,3400.3100884588175,2248.2900390625,3845.570068359375,140.52000427246094,-8829.199829101562,6839.89990234375,7903.800048828125,3766.4999389648438,64.29999828338623,4670.0,0.0,0.6017265654453747,-2.050620603915924,1.6468938512051992,bf81d8692db,games5425898691,20.0,2347.929931640625,3751.840087890625,45.900001525878906,3858.900146484375,18749.89990234375,3228.0999755859375,406.3999938964844,-85.50000190734863,-29.600000381469727,255.0,128.0,,0.0009476049308496503,1.3626309638691703,3.908937018638625e-05,True,4,False,False,108.0,False,,76561198039309853,enpitsu,28.0,2870.77001953125,-4529.97998046875,17.059999465942383,13375.30029296875,14752.80029296875,2.5,-0.9000000357627869,-0.5000000074505806,1898.8999938964844,255.0,128.0,,0.01676067631423911,0.8927910098908011,0.00013309464646452587,True,31.0,False,False,False,False,,swap commends,76561198286130437,20,259.0,3154.760009765625,17.030000686645508,2755.1998901367188,10065.499877929688,5.5000001192092896,0.19999999552965164,1.5000000596046448,92.5,255.0,128.0,False,0.01668790528437271,1.3146941639766845,-0.000156316523806404,True,False,153.0,False,8,6,,can’t see,76561198124196001,21.0,-2903.31005859375,3939.3701171875,17.010000228881836,-2661.7999267578125,-9411.599731445312,3.0000001192092896,0.19999999552965164,0.9000000357627869,2758.5000610351562,255.0,255.0,False,0.009550133787700118,-1.7377706471458028,0.0001272169609744989,True,False,False,False,85.0,False,
1,2226,65,True,0,1332.8305353663268,-1937.989990234375,4308.919921875,237.66000366210938,14901.700439453125,6852.1002197265625,5390.999755859375,5011.600036621094,-2616.300048828125,2009.6000671386719,0.0,-1.0167206404208475,-0.6560608157318885,0.10071725777051917,76561198039309853,enpitsu,28.0,-2136.239990234375,4185.18017578125,128.25,16011.600341796875,5528.3001708984375,3654.7000122070312,-2149.2999267578125,-145.20000457763672,1320.0999450683594,128.0,255.0,False,0.017595198551072007,0.07961218507669023,-0.02029749306957694,True,22,21,False,41.0,False,,bf81d8692db,games5425898691,20.0,1030.1700439453125,3395.81005859375,17.010000228881836,406.1000061035156,11324.89990234375,2.7000001072883606,0.0,-0.3999999910593033,1403.6000061035156,128.0,211.0,,0.009636253313076742,1.5627334206304793,5.270609874244605e-05,True,251.0,False,20,4,14,,swap commends,76561198286130437,20,-1705.1099853515625,-4441.0498046875,17.059999465942383,20462.5,8632.7001953125,-2.3000000417232513,-0.5000000074505806,0.0,2061.3999938964844,255.0,255.0,False,0.016776127851678983,0.47754303710426277,3.587399797002592e-05,True,False,226.75251636453854,True,22,14,,can’t see,76561198124196001,21.0,-628.4099731445312,4377.169921875,17.020000457763672,1276.2999725341797,11715.2001953125,1.7000000178813934,0.0,-2.3999999463558197,2106.6000366210938,128.0,255.0,True,0.009611672464050904,1.4878596473511827,0.0003189768216573177,True,22,4,28,144.0,False,
2,3192,91,False,0,3990.1485284480846,-817.6900024414062,1150.6199951171875,97.44999694824219,5135.4998779296875,21517.39990234375,125.50000190734863,-899.4000244140625,-276.5999984741211,-71.90000057220459,0.0,0.9928267505699615,-2.5853239323253834,2.8388624295915035,bf81d8692db,games5425898691,21.0,-747.0900268554688,970.0499877929688,16.950000762939453,5384.0997314453125,19731.800537109375,-54.80000019073486,182.60000228881836,1030.4000091552734,-445.0,255.0,128.0,,0.010387633096678284,1.3520778390599932,0.019805859873649606,True,10,10,False,10.0,False,,76561198039309853,enpitsu,28.0,6.420000076293945,-2795.02001953125,17.049999237060547,101.40000343322754,2197.100067138672,3.1999999284744263,-0.5000000074505806,0.0,0.0,128.0,,,0.017285404954824984,1.5245250984536216,-3.200502005769789e-06,True,255.0,False,4,False,4,,swap commends,76561198286130437,20,-634.9199829101562,2164.10009765625,67.8499984741211,529.1999816894531,-10613.499755859375,3915.2999877929688,-1.4000000059604645,-24.800000190734863,685.1999664306641,128.0,255.0,,0.016636642641796012,-1.5272006371515834,0.002781886068165821,True,False,188.19905366692493,True,12,8,,can’t see,76561198124196001,21.0,,,,,,,,,,,,,,,,True,,,,,,
3,3196,91,False,0,3688.684160429392,-745.1900024414062,1454.4000244140625,93.33999633789062,5004.200134277344,21004.89990234375,443.49998474121094,-2047.2999572753906,22.300000190734863,-71.90000057220459,0.0,0.9392801266153132,-2.4043823480057696,3.070416184636248,bf81d8692db,games5425898691,21.0,-699.719970703125,1168.7900390625,22.0,4224.4000244140625,19993.1005859375,2995.4998779296875,-32.30000019073486,-237.99999237060547,1012.0999908447266,255.0,251.0,,0.009447464466962962,1.3718658633420335,0.009078489228582709,True,11,10,False,10.0,False,,76561198039309853,enpitsu,28.0,7.03000020980835,-2781.60009765625,17.049999237060547,17.300000190734863,375.99998474121094,3.1999999284744263,1.4000000059604645,0.0,0.0,128.0,,,0.01693453399436471,1.524522302294364,4.8954117578468745e-06,True,255.0,False,4,False,4,,swap commends,76561198286130437,20,-626.510009765625,1936.6600341796875,140.72000122070312,-3728.0999755859375,-17074.69970703125,3242.7999877929688,1776.6000366210938,-1233.3000183105469,64.00000095367432,255.0,0.0,,0.03121886196485973,-1.3846118655267257,0.01946835644983188,True,False,175.6668643387415,True,12,9,,can’t see,76561198124196001,21.0,2304.0,4608.0,33.52000045776367,0.0,0.0,-540.9999847412109,0.0,0.0,0.0,,,,7.629394270180965e-06,-1.5707962925809056,0.0,True,False,False,False,85.0,False,
4,3370,98,False,0,2659.115250052494,-2334.139892578125,2903.340087890625,109.19000244140625,7697.1002197265625,25741.298828125,-2074.2999267578125,6.3999998569488525,-2011.199951171875,-617.0999908447266,0.0,-0.1210551727204553,1.4359080847425274,-0.7707457104706078,76561198039309853,enpitsu,28.0,-2340.93994140625,2691.679931640625,91.33999633789062,7779.89990234375,21116.10107421875,-80.0,-5153.4002685546875,1626.9000244140625,1021.9999694824219,255.0,128.0,,1.0859379800238225,-1.513277451239681,-2.913269198852609,True,6,5,False,184.0,False,,bf81d8692db,games5425898691,20.0,-3126.31005859375,1332.969970703125,17.030000686645508,13686.600341796875,2961.7001342773438,0.3999999910593033,0.0,-0.09999999776482582,2171.199951171875,255.0,255.0,,0.009591757830592221,0.2802468697027754,1.808337495278438e-05,True,245.0,False,14,False,14,,swap commends,76561198286130437,20,-1930.43994140625,3337.139892578125,22.010000228881836,-12131.800537109375,-9417.80029296875,2990.4998779296875,0.0,0.19999999552965164,-314.89999771118164,255.0,128.0,False,0.01677928371865229,-2.510829818294632,0.0003162610218028875,True,False,88.9284986757463,True,13,10,,can’t see,76561198124196001,21.0,-481.0199890136719,4884.0498046875,17.010000228881836,-617.7999877929688,-980.8999633789062,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,255.0,128.0,False,0.009502055093168527,-2.132918106353746,-1.1565995154014255e-05,True,False,False,False,116.0,False,
5,3431,100,False,0,1962.9843727835428,-1498.050048828125,3271.6201171875,350.9599914550781,12685.699462890625,14905.0,7019.5001220703125,4693.0999755859375,3029.1000366210938,-2190.500030517578,0.0,-0.40863926798878,-2.3185650809602665,-1.3786559887760725,bf81d8692db,games5425898691,20.0,-1516.5999755859375,3191.72998046875,233.66000366210938,3705.2999877929688,15845.30029296875,-153.4000015258789,-3850.10009765625,2802.39990234375,2751.7999267578125,255.0,128.0,,-0.15787528479396293,3.136040608040144,2.4926032917836736,True,16,15,False,209.0,False,,76561198039309853,enpitsu,28.0,-160.58999633789062,4378.85986328125,17.059999465942383,2708.800048828125,-14324.3994140625,1.8000000715255737,0.0,0.29999999329447746,-500.99998474121094,255.0,128.0,False,0.016770676608187138,-1.4297477852151814,0.0002515935928635656,True,199.30181510986822,True,6,False,6,,swap commends,76561198286130437,20,-3803.199951171875,2962.139892578125,16.610000610351562,6012.0001220703125,5864.5001220703125,-87.5,-312.2999954223633,-594.1999816894531,0.3999999910593033,255.0,128.0,False,0.01680109080282865,0.7592930751600464,0.011217064269623152,True,False,69.0,False,14,12,,can’t see,76561198124196001,21.0,-1454.8900146484375,3432.300048828125,262.17999267578125,-11240.400390625,-10940.50048828125,3107.3001098632812,-995.4000091552734,-4691.199951171875,2692.6998901367188,255.0,0.0,False,-0.13966498814832176,-2.4467716448220154,0.7097651105343888,True,3,False,4,56.449660183281,True,
6,3660,108,False,1,1776.3149992536516,-865.4099731445312,4910.3701171875,140.75,14496.300048828125,18284.100341796875,-7.699999809265137,1128.0000305175781,-2623.2000732421875,2235.0,1.0,-0.9167320053251876,-2.4895117617079703,-1.206180738172929,76561198286130437,swap commends,20.0,-1020.0999755859375,4779.77001953125,138.88999938964844,14959.89990234375,7102.5,-157.39999771118164,-4713.999938964844,2665.7998657226562,959.4999694824219,255.0,255.0,,-0.5333411524760133,-1.9052438110801593,-2.81599252284032,True,22,17,False,0.0,False,,76561198124196001,can’t see,21.0,1290.1800537109375,-1744.1500244140625,17.010000228881836,-5804.6002197265625,19641.500244140625,2.7000001072883606,0.19999999552965164,-0.9000000357627869,-20.09999990463257,255.0,128.0,False,-0.009586563290152275,1.2861242304507399,6.35519096960526e-05,True,208.0,False,8,False,8,,enpitsu,76561198039309853,28,-2362.090087890625,4915.1201171875,16.959999084472656,4585.899963378906,-1539.6000671386719,-34.40000057220459,-102.5,-31.19999885559082,15.800000429153442,255.0,128.0,False,-0.015525427087201244,-2.815311297098105,-0.0026376041871943898,True,False,248.7015313615081,True,8,8,,games5425898691,bf81d8692db,21.0,-677.1300048828125,4873.64013671875,110.9000015258789,-9465.900268554688,806.9999694824219,2824.4000244140625,4419.5001220703125,-3245.8999633789062,425.6999969482422,255.0,221.0,,-0.194060396654315,0.47027989104366463,-0.8887602996406262,True,19,False,20,188.0,False,
7,4626,143,True,0,1257.0126498428178,-165.75,4116.85986328125,441.5299987792969,-13083.900146484375,25770.90087890625,-2079.199981689453,-3429.7000122070312,-4780.4998779296875,1176.1000061035156,0.0,-0.003921184114623704,0.476573907575989,2.9435637601203064,76561198039309853,enpitsu,29.0,-139.5399932861328,3973.47998046875,311.739990234375,-5621.300048828125,15542.2998046875,-862.3000335693359,-215.10000228881836,-3533.9999389648438,-4208.800048828125,128.0,128.0,,-0.8549321313182398,1.85269359314898,2.995796754570837,True,16,15,False,168.0,False,,bf81d8692db,games5425898691,21.0,-605.3200073242188,2093.159912109375,16.989999771118164,-16447.19970703125,8210.30029296875,10.499999523162842,-4.000000059604645,5.299999713897705,-1521.4999389648438,255.0,0.0,,0.009756394711965722,2.6492203491758395,-0.0005102990517230156,True,65.0,False,34,False,32,,swap commends,76561198286130437,20,3186.06005859375,2620.010009765625,17.059999465942383,-310.0,18349.000244140625,2.3000000417232513,0.0,-1.2999999523162842,1850.0,255.0,255.0,,0.016781624949542228,1.63854999348329,0.00015644122119465165,True,False,0.0,False,6,6,,can’t see,76561198124196001,21.0,8.920000076293945,3991.510009765625,423.0400085449219,-7333.599853515625,9136.099853515625,2559.2999267578125,3554.4000244140625,-665.1000213623047,-2619.1000366210938,128.0,255.0,True,-0.5202033182252367,-2.954992941778998,2.8834166378299178,True,18,4,22,7.060653750614461,True,
8,5481,165,True,1,806.7914483595716,1510.06005859375,4616.7001953125,224.0500030517578,-17467.19970703125,8085.999755859375,1308.3999633789062,1344.6000671386719,924.4999694824219,5773.800048828125,1.0,1.3001253345131931,-2.1146032276606417,0.9706037363608648,76561198124196001,can’t see,21.0,1668.8699951171875,4526.47021484375,185.5,2865.1998901367188,13302.80029296875,-353.8999938964844,2708.699951171875,-4703.399963378906,889.1000366210938,255.0,255.0,True,0.3328673838817092,0.9817492983730982,-1.8927206053617394,True,18,15,4,0.0,False,,76561198286130437,swap commends,20.0,407.9200134277344,1521.31005859375,17.059999465942383,1436.300048828125,9265.700073242188,1.8000000715255737,-0.0,0.7999999821186066,0.0,128.0,128.0,,-0.016867142618381147,1.7245526971391585,-7.48839242009306e-05,True,240.0,False,8,False,8,,enpitsu,76561198039309853,28,1909.3599853515625,4421.759765625,17.040000915527344,-22791.4990234375,3089.8001098632812,0.19999999552965164,-0.3999999910593033,-0.0,9.100000262260437,255.0,128.0,,-0.01676452587964119,0.13379372357357874,-3.637335265396387e-05,True,False,217.0,False,4,2,,games5425898691,bf81d8692db,21.0,-3009.7099609375,4526.89990234375,17.010000228881836,7940.0,18382.19970703125,2.800000011920929,-0.09999999776482582,-0.0,-2012.8999328613281,255.0,0.0,,-0.009577761452877698,2.0562702928011642,-1.368761326400603e-05,True,12,False,14,255.0,False,
9,6395,189,True,0,4125.622212178227,2531.239990234375,2843.31005859375,122.0,-15576.199951171875,10805.10009765625,506.50001525878906,-4048.800048828125,1778.699951171875,-3688.599853515625,0.0,0.6226379163661474,-0.3663466608938194,1.7279598230318682,bf81d8692db,games5425898691,20.0,2712.239990234375,2790.18994140625,17.010000228881836,-13079.200439453125,8412.899780273438,2.8999999165534973,1.0999999940395355,-0.7000000029802322,2426.0000610351562,128.0,255.0,True,0.00957734026110955,2.7151577790335675,0.00020610977148627648,True,8,6,False,224.0,False,,76561198039309853,enpitsu,28.0,506.3299865722656,1009.739990234375,17.059999465942383,-8818.699951171875,19781.700439453125,1.0000000149011612,0.0,0.5000000074505806,0.0,255.0,128.0,False,0.016794381646764528,1.9901629191768277,-3.758240725626528e-05,True,57.0,False,4,False,4,,swap commends,76561198286130437,21,1394.6199951171875,-1055.6600341796875,57.779998779296875,-5312.5,22090.0,3559.2001342773438,-807.3000335693359,-194.20000076293945,3.8999998569488525,255.0,128.0,False,0.04793519416613403,1.8076479320350103,-2.1090250021677095e-05,True,False,104.0,False,8,4,,can’t see,76561198124196001,18.0,3909.64990234375,1861.510009765625,29.100000381469727,-7645.999755859375,8095.999755859375,-2297.2999572753906,-51.79999828338623,3449.4000244140625,-987.6000213623047,255.0,128.0,False,0.19542330357819915,2.332603266964601,-0.23839139694896502,True,10,4,12,185.12303640252802,True,
