,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_ball_cam,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_ball_cam,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,team_mate_handbrake
0,178,0.0,False,False,1,5152.452071906136,39.650001525878906,59.209999084472656,93.19000244140625,9026.199951171875,12115.699462890625,1910.0,-189.20000076293945,-3346.099853515625,-3300.1998901367188,1.0,-0.1414103733577545,-0.044834277346938387,0.04067257050499067,76561198039309853,enpitsu,25.0,2.119999885559082,-112.9000015258789,136.5800018310547,-1290.5999755859375,4290.0,4868.299865722656,-4282.0001220703125,-2052.7000427246094,-2774.89990234375,255.0,255.0,,-0.7253404889589422,1.8645302314003738,-0.45126098931675995,True,2,False,22.0,False,1,,bf81d8692db,games5425898691,22.0,2883.580078125,-4099.419921875,17.010000228881836,19698.399658203125,-369.00001525878906,2.3000000417232513,-0.09999999776482582,0.7000000029802322,1981.199951171875,128.0,255.0,-0.009579143514935886,3.085354301755888,1.5772084208911173e-05,True,False,False,False,255.0,False,310.0,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,
1,1116,24.0,False,False,1,8115.384535453543,-2408.0400390625,-2272.340087890625,129.16000366210938,-564.900016784668,15576.99951171875,970.5999755859375,3301.7001342773438,111.80000305175781,-615.4999923706055,1.0,-1.1536811810113319,0.05235598497816847,-2.4743996916006474,76561198039309853,enpitsu,25.0,-2391.22998046875,-2359.6298828125,14.819999694824219,-709.7000122070312,11619.100341796875,118.29999923706055,515.6000137329102,33.19999933242798,-2048.3999633789062,255.0,128.0,,-0.08217577305434683,1.5056978106488332,-0.000745458258623559,True,6,False,35.0,False,4,,bf81d8692db,games5425898691,22.0,-1272.010009765625,-4483.8701171875,17.0,-3839.5999145507812,8078.3001708984375,3.799999952316284,-0.09999999776482582,-0.0,2489.9000549316406,255.0,255.0,-0.009512934719983815,1.0865824798126873,-1.6216493028005427e-05,True,False,10,10,99.0,False,,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,
2,1131,25.0,False,False,1,7365.547118043318,-2438.590087890625,-1427.47998046875,95.70999908447266,-503.6000061035156,13967.80029296875,1261.3999938964844,-392.09999084472656,-19.90000009536743,-615.4999923706055,1.0,0.22256383151952058,1.3614783935359271,2.4647314967929326,76561198039309853,enpitsu,25.0,-2347.840087890625,-1740.449951171875,17.049999237060547,-302.1999931335449,13002.80029296875,3.100000023841858,0.09999999776482582,-1.7000000178813934,1979.4000244140625,255.0,128.0,,-0.016753205001702996,1.5214924037571147,0.00025282073882760945,True,6,False,35.0,False,4,,bf81d8692db,games5425898691,22.0,-1782.6400146484375,-4252.02001953125,17.0,-12477.5,-361.5999984741211,1.0000000149011612,0.7999999821186066,-0.29999999329447746,515.2000045776367,255.0,128.0,-0.009530368115481969,-0.06024220075346187,-0.0001392329727033428,False,False,10,10,83.33668799297784,True,,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,
3,1143,25.0,False,False,1,6838.457720060237,-2460.489990234375,-818.0599975585938,95.81999969482422,-465.8000183105469,13011.400146484375,585.099983215332,-2495.500030517578,-94.30000305175781,-615.4999923706055,1.0,-0.03760470628137809,1.6345120005272744,2.4610137217917862,76561198039309853,enpitsu,25.0,-2448.3798828125,-1117.97998046875,73.87000274658203,-2451.199951171875,15049.000244140625,3672.2000122070312,-1337.8999328613281,-122.60000228881836,-1647.7999877929688,255.0,128.0,,-0.09465950012197423,1.595560063163175,-0.008971956940630028,True,8,False,22.0,False,5,,bf81d8692db,games5425898691,22.0,-2394.8798828125,-4218.89013671875,17.0,-14979.200439453125,2794.8001098632812,3.1999999284744263,1.0000000149011612,0.09999999776482582,-66.10000133514404,255.0,128.0,-0.009618766745823164,0.1933455674807015,9.162372141890623e-05,True,False,10,10,64.0,False,,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,
4,1618,34.0,False,False,1,5208.766439803424,-9.079999923706055,10.470000267028809,92.73999786376953,-16210.6005859375,23773.30078125,-2313.5000610351562,-4242.9998779296875,-155.39999961853027,0.0,1.0,-0.0012998474649485747,-2.838254606174647e-05,0.03536492900755504,bf81d8692db,games5425898691,22.0,-124.83000183105469,-199.82000732421875,78.05999755859375,11882.7001953125,19539.49951171875,2322.899932861328,-4984.599914550781,2322.100067138672,103.50000381469727,255.0,151.0,,-0.6247890205351829,2.03501203855871,-0.015028172367032676,True,4,False,0.0,False,3,,76561198039309853,enpitsu,25.0,127.08999633789062,-210.0500030517578,91.29000091552734,-14067.7001953125,18127.19970703125,-166.00000381469727,-4345.10009765625,-3371.9000244140625,0.0,255.0,128.0,-1.212244446226808,-2.2307555646023394,-3.141589265728194,True,False,1,2,0.0,False,,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,
5,1619,34.0,False,False,1,5143.220415218884,-60.47999954223633,86.5,97.0199966430664,-15369.100341796875,22727.2998046875,1224.1000366210938,-5675.10009765625,-1947.4000549316406,0.0,1.0,-0.06963080019229737,-0.00717533263543538,0.2362796798563227,76561198039309853,enpitsu,25.0,24.100000381469727,-68.12999725341797,94.63999938964844,-6810.7000732421875,16377.099609375,2013.3000183105469,-261.1000061035156,-4082.39990234375,-3676.199951171875,255.0,128.0,,-0.7693481242472441,-2.1511551233405553,-2.8678147998340577,True,2,False,0.0,False,1,,bf81d8692db,games5425898691,22.0,-124.83000183105469,-199.82000732421875,78.05999755859375,11882.7001953125,19539.49951171875,2322.899932861328,-4984.599914550781,2322.100067138672,103.50000381469727,255.0,151.0,-0.6247890205351829,2.03501203855871,-0.015028172367032676,True,False,3,4,0.0,False,,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,
6,1620,34.0,False,False,1,5167.031879194955,-134.7899932861328,76.83000183105469,108.27999877929688,-38704.19921875,20636.4990234375,4940.400085449219,3185.0,-1994.9000549316406,4677.099914550781,1.0,-0.1592135670560773,0.06357830671976779,0.21296837190756793,bf81d8692db,games5425898691,22.0,-69.86000061035156,-49.97999954223633,83.70999908447266,-39.80000019073486,13695.999755859375,-784.8999786376953,-2311.4999389648438,-85.29999732971191,4989.89990234375,255.0,168.0,,-1.3325351529055227,1.1792297593678203,0.48627212749182774,True,4,False,0.0,False,3,,76561198039309853,enpitsu,25.0,24.100000381469727,-68.12999725341797,94.63999938964844,-6810.7000732421875,16377.099609375,2013.3000183105469,-261.1000061035156,-4082.39990234375,-3676.199951171875,255.0,128.0,-0.7693481242472441,-2.1511551233405553,-2.8678147998340577,True,False,1,2,0.0,False,,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,
7,1973,47.0,False,False,1,10304.501709252352,-2711.909912109375,-4512.240234375,271.0799865722656,-16808.599853515625,1898.5000610351562,721.9000244140625,523.8999938964844,-1760.8000183105469,5711.7999267578125,1.0,0.7471972600751059,-2.987665986673763,-2.7029671260149226,76561198039309853,enpitsu,25.0,-2618.889892578125,-4624.0,207.22999572753906,-33.90000104904175,-3883.2998657226562,-202.00000762939453,-2624.5999145507812,1493.0000305175781,4596.9000244140625,0.0,128.0,False,1.2028276218392242,-1.2548496251546237,-0.026416610609272743,True,6,False,,False,5,,bf81d8692db,games5425898691,22.0,-2350.52001953125,-4726.9501953125,154.27999877929688,-22641.59912109375,3160.8999633789062,2522.5999450683594,-571.5999984741211,-1042.5,-481.1000061035156,255.0,128.0,0.49372642240314507,0.2815133346878548,0.05910304368295189,True,False,7,8,121.83900206319747,True,,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,
8,2143,53.0,False,False,1,9899.270869783835,3511.639892578125,-4407.4599609375,679.260009765625,-2150.7000732421875,10492.19970703125,13218.1005859375,-539.5999908447266,-1311.4999389648438,-491.3999938964844,1.0,0.12640042578175806,2.3555485407419154,0.042872075461853516,bf81d8692db,games5425898691,22.0,3532.070068359375,-4514.47998046875,356.6600036621094,2022.2999572753906,2989.5999145507812,14875.0,-940.5999755859375,1521.6999816894531,117.39999771118164,255.0,255.0,,1.3121377551062245,2.28519727029907,-1.6609851350470557,True,8,False,255.0,False,8,,76561198039309853,enpitsu,25.0,-90.79000091552734,-2856.39990234375,17.059999465942383,13103.299560546875,3685.0,1.5000000596046448,-5.799999833106995,-1.2999999523162842,-403.6000061035156,255.0,128.0,-0.016738851750759582,2.8740385798525576,8.077555071985302e-05,True,2,6,8,61.0,False,,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,False
9,2241,56.0,False,False,1,6377.616889326028,2848.179931640625,-931.489990234375,896.719970703125,8617.7001953125,16982.7001953125,5456.9000244140625,138.59999656677246,-1829.4999694824219,103.59999656677246,1.0,0.24408502453019598,-0.2633258275501809,0.09429629498548553,bf81d8692db,games5425898691,22.0,2750.2099609375,-1091.6400146484375,719.280029296875,-1868.6000061035156,16386.600341796875,5386.9000244140625,-1519.2999267578125,1996.199951171875,332.99999237060547,255.0,0.0,,0.25790933499078394,2.525906807118544,1.1993583288869745,True,10,False,142.23300669782904,True,8,,76561198039309853,enpitsu,25.0,2469.8701171875,-1043.43994140625,17.059999465942383,3150.7998657226562,10150.10009765625,1.1999999731779099,0.7999999821186066,-0.09999999776482582,0.0,255.0,128.0,-0.016766733258280094,1.8718050102087094,-1.1551202694804026e-05,True,2,6,8,61.0,False,,blry.,76561198017152282,,,,,,,,,,,,,,,,,,,,,,,,TrimThoseToes,b12e1fb671b,,,,,,,,,,,,,,,,,,,,,,,,False
