,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect,opp_2_handbrake
0,172,0,False,True,0,5201.605173954017,3.9600000381469727,16.84000015258789,94.66000366210938,2877.9998779296875,29379.3994140625,3500.5999755859375,-4743.800048828125,1024.8999786376953,789.4000244140625,0.0,0.00867925318973415,0.006416953582587436,-0.039503143955183416,2535449130861869,TTV MixMaxTax,16.0,-13.399999618530273,-183.91000366210938,52.689998626708984,4131.300048828125,22356.0009765625,3483.9999389648438,572.2999954223633,30.499999523162842,-1689.4999694824219,255.0,128.0,True,-0.019744913787491162,1.2098866867879248,0.005572248887234842,True,False,4,20.346804439380602,True,6,,2535427712759491,White obama4616,11.0,-3051.2099609375,-3869.1298828125,17.010000228881836,-9668.800048828125,-14836.500244140625,2.3000000417232513,0.09999999776482582,0.5000000074505806,1899.6000671386719,254.0,255.0,,0.009596014051035226,-2.0870981591469757,6.234967075995513e-05,True,False,False,0.0,False,False,,enpitsu,76561198039309853,27.0,2767.85009765625,4061.659912109375,17.049999237060547,13303.00048828125,6418.800048828125,3.0000001192092896,0.0,-0.09999999776482582,-1474.1000366210938,255.0,0.0,False,0.016778672082632423,0.4407958915721336,-0.0002934168159930692,True,0.0,False,False,False,False,,games5425898691,bf81d8692db,21.0,10.1899995803833,531.8699951171875,84.9800033569336,-990.2999877929688,-22798.1005859375,2115.5999755859375,5488.3001708984375,-355.9000015258789,-34.000000953674316,128.0,146.0,0.8112985513210526,-1.7728930117152906,-0.09887570709513825,True,31.0,False,3,False,4,,
1,174,0,False,True,1,5423.641163632358,-23.610000610351562,-205.11000061035156,122.0,-2720.4998779296875,21668.89892578125,7546.9000244140625,5947.39990234375,-757.6999664306641,231.70000076293945,1.0,-0.10124478995392741,-0.03954096730875627,-0.4458555065717964,bf81d8692db,games5425898691,21.0,-1.4199999570846558,-328.3299865722656,93.18000030517578,580.6999969482422,16560.799560546875,-620.099983215332,-1237.6000213623047,-589.7000122070312,5326.300048828125,128.0,148.0,,-1.4170726401966622,2.2718192558208763,-0.8352745798204204,True,False,3,31.0,False,4,,76561198039309853,enpitsu,27.0,-2892.719970703125,-4112.1298828125,17.049999237060547,-13888.499755859375,-4603.900146484375,3.100000023841858,-1.5000000596046448,-0.5000000074505806,-1938.0999755859375,255.0,0.0,False,-0.016764575590175343,-0.2778766788969831,-0.00017778166849556875,True,False,False,255.0,False,False,300.0,TTV MixMaxTax,2535449130861869,16.0,-20.15999984741211,-0.8899999856948853,79.11000061035156,-3723.0999755859375,-20371.199951171875,2702.9000854492188,-4676.9000244140625,2518.8999938964844,1425.0,255.0,226.0,True,0.4626642357689162,-1.3812960142941353,-0.038683824720044196,True,14.061737873220954,True,6,False,4,,White obama4616,2535427712759491,11.0,3126.25,4011.330078125,17.010000228881836,6900.2001953125,16011.199951171875,2.3000000417232513,-0.29999999329447746,-0.3999999910593033,1943.3000183105469,254.0,255.0,-0.00957669977554336,1.9104177274028113,5.3187675216803156e-05,True,255.0,False,False,False,False,40.0,
2,176,0,False,False,0,5059.086459004465,123.0999984741211,184.6199951171875,202.1699981689453,30460.0,7822.80029296875,12457.2998046875,-3814.2001342773438,1186.6999816894531,4476.9000244140625,0.0,0.1540696375654689,0.17749658544068647,-0.6311621667319864,2535449130861869,TTV MixMaxTax,16.0,41.619998931884766,84.06999969482422,91.8499984741211,3403.0999755859375,10007.7001953125,1841.6999816894531,5195.8001708984375,-46.90000057220459,-1482.8999328613281,255.0,255.0,False,-1.0679354181568814,1.4315217242270066,-0.04383067482461538,True,False,4,16.0,False,6,,2535427712759491,White obama4616,11.0,-3164.14990234375,-4120.2900390625,17.010000228881836,-4727.0001220703125,-16560.799560546875,2.3000000417232513,0.19999999552965164,0.29999999329447746,1962.2999572753906,254.0,255.0,,0.009577020686467866,-1.7801377259038045,2.9530090365021506e-05,True,False,False,255.0,False,False,,enpitsu,76561198039309853,27.0,2892.719970703125,4112.1298828125,17.049999237060547,13888.499755859375,4603.900146484375,3.100000023841858,1.5000000596046448,0.5000000074505806,-1938.0999755859375,255.0,0.0,False,0.016764575590175343,0.2778766788969831,-0.00017778166849556875,True,255.0,False,False,False,False,,games5425898691,bf81d8692db,21.0,-6.389999866485596,254.97999572753906,90.91999816894531,-880.9999847412109,-8696.199951171875,13.700000047683716,1258.7999725341797,2636.6000366210938,4412.9998779296875,128.0,173.0,1.3143238071578518,-1.9514992230745034,-0.9364799489197654,True,31.0,False,3,False,4,,
3,277,3,False,False,1,7355.037505785533,18.8799991607666,-2162.550048828125,151.07000732421875,10862.2998046875,-13367.19970703125,4082.0001220703125,-2722.2000122070312,4648.599853515625,-2641.9000244140625,1.0,-1.145656868466742,2.3699055672954326,2.7305961399301277,bf81d8692db,games5425898691,21.0,7.989999771118164,-2107.25,14.90999984741211,5620.9002685546875,-10169.500122070312,-113.10000419616699,-57.89999961853027,-231.29999160766602,3217.9998779296875,255.0,255.0,,-0.051731621708367544,-2.102534755330487,0.01686655415857199,,False,6,31.0,False,6,,76561198039309853,enpitsu,27.0,237.2899932861328,-1902.3800048828125,357.5400085449219,19482.19970703125,12223.599853515625,-154.7000026702881,-4525.199890136719,1550.3999328613281,-2714.4000244140625,,,,0.9206453985744522,-1.9711216104046556,2.8493777713311643,True,2,False,176.0,False,2,,TTV MixMaxTax,2535449130861869,15.0,256.7799987792969,-2186.409912109375,53.959999084472656,14109.3994140625,-8710.0,1284.4000244140625,-315.10000228881836,150.9000015258789,5488.800048828125,254.0,255.0,,-0.017006475512270892,2.247702651951213,-0.05663407306274047,True,16.0,False,6,False,4,,White obama4616,2535427712759491,11.0,1015.969970703125,3913.070068359375,16.989999771118164,2618.2000732421875,-15187.7001953125,2.199999988079071,0.09999999776482582,-0.7999999821186066,4.4999998807907104,255.0,,-0.009593388911357916,-1.7422173433721564,-7.165834560337132e-05,True,245.596826038053,True,False,False,False,,
4,327,5,False,False,1,9645.671121926704,1907.300048828125,-4452.509765625,156.25999450683594,8889.7998046875,-16239.200439453125,-9.49999988079071,-1436.9000244140625,4512.699890136719,-2978.5000610351562,1.0,1.036731953593699,-2.4098459075977523,2.4562850954129782,bf81d8692db,games5425898691,21.0,1856.280029296875,-4214.22021484375,58.650001525878906,11600.0,-14481.400146484375,-1885.5999755859375,2215.0,633.1000137329102,-858.0000305175781,255.0,0.0,,0.47528110748841385,-2.1613339372447413,-0.12850438029286848,True,False,8,61.0,False,8,,76561198039309853,enpitsu,27.0,3771.6201171875,-1009.75,17.020000457763672,12509.599609375,-19300.400390625,2.5999999046325684,-0.0,-0.0,-2043.3999633789062,255.0,0.0,,-0.016772379337180947,-2.066947237833266,-1.7650486476052546e-06,True,2,False,116.52900646322516,True,2,,TTV MixMaxTax,2535449130861869,15.0,1310.949951171875,-3187.080078125,18.790000915527344,8254.299926757812,-5542.5,2.800000011920929,-0.5000000074505806,-0.0,262.5,255.0,128.0,,0.004760968373275365,-2.5812947818330843,9.550558751203087e-05,True,9.71066689491272,True,6,False,4,,White obama4616,2535427712759491,11.0,2927.969970703125,502.9200134277344,16.989999771118164,12535.6005859375,-18910.999755859375,4.699999988079071,-0.09999999776482582,0.09999999776482582,1496.199951171875,242.0,255.0,-0.009589270522218427,-2.1858529516585086,0.00020382702289109878,True,167.0,False,False,False,False,,
5,338,6,False,False,1,10232.781739449827,2248.469970703125,-5003.009765625,157.58999633789062,7619.0997314453125,2801.099853515625,9412.80029296875,3530.10009765625,3731.199951171875,-3100.8999633789062,1.0,-0.15906292169630074,-2.0981350655297417,0.7207902814890293,bf81d8692db,games5425898691,21.0,2341.31005859375,-4844.3798828125,16.969999313354492,12556.99951171875,-12012.19970703125,13.40000033378601,-11.100000143051147,-2.7000001072883606,1753.699951171875,255.0,255.0,,-0.010152972467980926,-2.4212979214934256,0.00030994165358758764,True,False,8,61.0,False,8,,76561198039309853,enpitsu,27.0,3920.31005859375,-1765.5799560546875,33.880001068115234,-2836.099853515625,-22796.0009765625,-1138.1999969482422,819.3000030517578,922.6000213623047,-1729.1999816894531,255.0,128.0,,-0.0894491308855706,-1.3876823317000195,0.37270510463906026,True,2,False,82.10516135410595,True,2,,TTV MixMaxTax,2535449130861869,15.0,1699.68994140625,-3364.10009765625,18.790000915527344,11686.099853515625,-4313.699951171875,1.7000000178813934,0.09999999776482582,-0.0,-950.1000213623047,254.0,44.0,,0.004787763433971883,-2.793812450128341,9.06345007883488e-05,True,0.0,False,6,False,4,,White obama4616,2535427712759491,11.0,3450.8798828125,-57.279998779296875,16.989999771118164,16461.199951171875,-15231.199951171875,4.600000083446503,0.5000000074505806,-0.29999999329447746,27.100000381469727,223.0,128.0,-0.009589177082236468,-2.398430632674569,-7.169912495450516e-05,True,255.0,False,False,False,False,,
6,379,7,False,False,1,10025.266971818437,3340.0400390625,-4582.7900390625,818.9500122070312,2761.7001342773438,5521.099853515625,895.8000183105469,776.9999694824219,963.3999633789062,-5870.9002685546875,1.0,-0.22999018124118648,0.6351154137185516,-1.2092977313507705,bf81d8692db,games5425898691,21.0,3453.280029296875,-4586.6298828125,1040.06005859375,-4635.400085449219,-4635.899963378906,7744.5001220703125,1671.6000366210938,-1671.4999389648438,0.0,255.0,0.0,,0.8354187010505619,-0.7996186337840343,1.5602436710311787,True,False,8,61.0,False,8,,76561198039309853,enpitsu,27.0,2938.5,-4652.81005859375,71.08000183105469,-2888.599853515625,-14417.80029296875,-377.20001220703125,-415.40000915527344,-2862.2000122070312,-4678.0999755859375,255.0,128.0,,-0.4934590026635273,1.2062233660328754,-0.35044473374652935,True,2,False,241.0,False,2,,TTV MixMaxTax,2535449130861869,15.0,,,,,,,,,,,,,,,,True,,,,,,,White obama4616,2535427712759491,12.0,3751.97998046875,-1697.4599609375,17.0,-1520.3999328613281,-4878.599853515625,3.6000001430511475,-0.7999999821186066,-1.1999999731779099,-2040.3999328613281,255.0,10.0,-0.009540024462533526,-1.3245314979160847,-0.00018895640978371239,True,255.0,False,False,False,False,,
7,478,11,False,False,1,8609.388976033915,3901.010009765625,-2927.929931640625,121.08000183105469,-2869.1000366210938,18312.5,2910.1998901367188,3045.1998901367188,-5157.39990234375,356.19998931884766,1.0,0.17882492432648056,2.4276599041079803,-1.242259890986313,76561198039309853,enpitsu,27.0,3905.570068359375,-3112.610107421875,28.219999313354492,-242.5,13533.299560546875,-245.10000228881836,540.6000137329102,644.8000335693359,-655.8000183105469,255.0,128.0,False,-0.01262906048314048,1.5723069670542038,-0.26048659322754275,True,False,2,179.7652643880536,True,2,,bf81d8692db,games5425898691,21.0,1850.469970703125,-3684.93994140625,17.010000228881836,594.5000076293945,12764.300537109375,2.0999999344348907,-0.0,0.7999999821186066,107.60000228881836,255.0,128.0,,-0.009559094139858181,1.6042787018284907,-0.00011426367979829673,True,8,False,92.0,False,8,,TTV MixMaxTax,2535449130861869,15.0,-2881.169921875,4140.14990234375,18.780000686645508,-8060.8001708984375,-4275.5999755859375,2.800000011920929,1.7000000178813934,1.0000000149011612,-1217.300033569336,254.0,129.0,,0.004762526376196588,-0.41593945229366236,-8.421989336724184e-05,True,255.0,False,False,False,False,,White obama4616,2535427712759491,12.0,3239.219970703125,-2976.1298828125,16.989999771118164,-5460.999755859375,14462.80029296875,2.3000000417232513,0.3999999910593033,-0.9000000357627869,-1133.499984741211,255.0,22.0,-0.009592702835966756,1.1931050092747726,-0.00036482395289912534,True,166.63175047341207,True,False,False,False,,False
8,506,12,False,False,1,6844.172449755214,3704.580078125,-1101.3599853515625,138.94000244140625,19609.3994140625,21339.69970703125,10386.700439453125,-4774.5001220703125,-3613.800048828125,-378.80001068115234,1.0,-0.2088781169458136,2.6583043152868906,-1.326032034627511,76561198039309853,enpitsu,27.0,3635.530029296875,-1251.699951171875,16.579999923706055,-1880.7000732421875,21755.400390625,64.29999828338623,26.80000066757202,-399.59999084472656,-2234.7000122070312,255.0,128.0,False,-0.012029355106518466,1.5363152426175464,0.04199616686254676,True,False,2,92.04929029044284,True,2,,bf81d8692db,games5425898691,21.0,1763.3399658203125,-2282.669921875,17.010000228881836,-192.19999313354492,14090.400390625,2.0999999344348907,-0.0,1.899999976158142,-609.3000030517578,255.0,120.0,,-0.009597759735825627,1.5727107631848298,-6.25932468572502e-05,True,8,False,122.0,False,8,,TTV MixMaxTax,2535449130861869,15.0,-2951.590087890625,3333.4599609375,18.780000686645508,10964.7998046875,-5486.199951171875,3.799999952316284,-0.09999999776482582,-0.19999999552965164,2357.7000427246094,255.0,255.0,False,0.004758917708871924,-2.7476717360441807,-2.07064613753675e-06,True,239.26015498817605,True,False,False,False,,White obama4616,2535427712759491,12.0,3525.739990234375,-1133.739990234375,15.84000015258789,14668.00048828125,16073.800048828125,-128.1999969482422,-1637.1000671386719,-743.3999633789062,3876.400146484375,255.0,255.0,-0.03199575843477005,2.3298598573224396,-0.0431672511096784,True,95.77089029742827,True,False,False,False,,False
9,575,14,False,False,0,7852.356113046823,-1637.3699951171875,-2677.280029296875,344.0199890136719,-4822.200012207031,-6519.1998291015625,16814.300537109375,-4363.900146484375,-811.2999725341797,-4037.0001220703125,0.0,0.44820345594272953,1.7836856152765848,-2.66631182293963,2535449130861869,TTV MixMaxTax,15.0,-1625.4599609375,-2736.56005859375,162.0800018310547,-16275.10009765625,2587.9000854492188,904.1000366210938,4469.2999267578125,1332.5,-197.09999084472656,255.0,0.0,True,-0.7289493942386028,-3.0736577380793326,-0.7252062482085927,True,False,False,88.0,False,4,,2535427712759491,White obama4616,12.0,,,,,,,,,,,,,,,,True,,,,,,,enpitsu,76561198039309853,27.0,-1899.489990234375,-2042.4300537109375,17.059999465942383,7301.9000244140625,-327.79998779296875,1.1999999731779099,0.29999999329447746,-0.3999999910593033,0.0,255.0,0.0,,0.016894683245548145,-0.0448959750550581,-3.9354401170747585e-05,True,65.0,False,2,False,2,,games5425898691,bf81d8692db,21.0,-1632.1600341796875,-2540.669921875,198.5800018310547,1878.3999633789062,-13579.7998046875,1182.7999877929688,-3856.7001342773438,-695.5000305175781,-134.399995803833,255.0,144.0,-0.5261980351421011,-1.3642233393170955,-0.01016093427422541,True,39.0,False,9,False,10,,
