,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,169,0.0,False,False,0,5137.093514887618,-45.7400016784668,73.76000213623047,108.2300033569336,-13903.900146484375,22748.20068359375,4709.4000244140625,-2.5999999046325684,-112.29999542236328,515.2000045776367,0.0,-0.0037485521356643006,0.01718287980608832,-0.00011313136809440492,be8a1d248fb,Trejwik,11.0,45.0099983215332,-90.20999908447266,50.290000915527344,-10618.199462890625,13260.899658203125,3014.1000366210938,3536.6000366210938,2660.7998657226562,-1887.1000671386719,255.0,255.0,,-0.14506561890965525,2.087936197688868,0.014547786081009241,True,0.0,False,4,False,False,,76561198147845115,woonder,11.0,-3001.360107421875,-3952.469970703125,45.560001373291016,-18412.099609375,-3627.5,-2271.4999389648438,2204.1000366210938,-2351.699981689453,945.2999877929688,255.0,255.0,True,-0.32108743315869076,-2.6958187025295035,-0.23450755573752294,True,255.0,False,4,4,False,40.0,enpitsu,76561198039309853,23,-30.56999969482422,3955.739990234375,17.049999237060547,-279.3000030517578,-8773.699951171875,2.7000001072883606,0.0,-0.09999999776482582,29.90000009536743,255.0,128.0,False,0.01666415256514545,-1.5992739814458874,-3.127864565566399e-05,True,False,109.733367612285,True,False,False,,games5425898691,bf81d8692db,19.0,-76.05999755859375,511.70001220703125,66.79000091552734,-753.6000061035156,-20606.201171875,2912.2000122070312,4624.200134277344,-706.8000030517578,-933.6000061035156,255.0,128.0,,0.12038300830921954,-1.7445125966221275,-0.0019561747294414822,True,31.0,False,4,False,3,
1,171,0.0,False,False,1,5404.474526272299,136.55999755859375,-210.85000610351562,142.33999633789062,15881.300048828125,5230.7000732421875,11893.800048828125,5457.1002197265625,1363.0000305175781,-2088.300018310547,1.0,0.060042580746901074,0.02515827691120219,-0.20872780671312216,bf81d8692db,games5425898691,19.0,83.30999755859375,-324.9200134277344,89.69000244140625,1175.0,18080.400390625,1742.5,-3967.9000854492188,2058.6000061035156,-3204.2001342773438,255.0,128.0,,-0.8322696454108475,1.840507516554087,0.02585501570128988,True,31.0,False,4,3,False,,76561198039309853,enpitsu,23.0,33.02000045776367,-3872.199951171875,17.049999237060547,263.0999946594238,9386.599731445312,2.7000001072883606,-0.0,0.09999999776482582,6.1000001430511475,255.0,128.0,False,-0.016664169140641172,1.5980095902762523,-2.0743260445303922e-05,True,103.47539776627734,True,False,False,False,,woonder,76561198147845115,11,3031.969970703125,3958.739990234375,41.560001373291016,18347.5,3805.10009765625,-2457.2000122070312,-2329.7999572753906,2363.699951171875,473.10001373291016,255.0,255.0,True,0.26875561035738943,2.6809185560163873,-0.25381785910277666,True,4,255.0,False,4,False,,Trejwik,be8a1d248fb,11.0,13.779999732971191,23.239999771118164,64.43000030517578,17415.10009765625,-13997.80029296875,2696.4999389648438,-2535.0,-344.59999084472656,-1863.6000061035156,255.0,255.0,,0.33472632725586493,-1.998708073528037,0.03571605773316277,True,0.0,False,4,False,3,
2,311,5.0,False,False,0,10254.29505712393,-2941.10009765625,-4908.2900390625,1007.1900024414062,-8024.89990234375,6635.2001953125,7510.0,5277.8997802734375,677.6999664306641,325.40000915527344,0.0,0.379738059479942,-0.34523615642760935,2.3896715329980385,76561198147845115,woonder,10.0,-2851.010009765625,-4952.25,867.0900268554688,-2239.4000244140625,5387.0001220703125,4653.299865722656,1738.8999938964844,2217.5999450683594,-1733.3000183105469,128.0,128.0,,-0.7233078485342674,2.9099056424477205,1.490031903742425,True,255.0,False,6,4,False,,be8a1d248fb,Trejwik,11.0,-1102.97998046875,-3113.449951171875,17.010000228881836,14569.300537109375,-12233.00048828125,2.0999999344348907,3.6000001430511475,-3.0000001192092896,723.3999633789062,255.0,255.0,,0.009599448097547874,-0.7006388673309029,3.629737289659706e-05,True,,False,6,6,False,,enpitsu,76561198039309853,23,-2474.949951171875,-2298.949951171875,17.049999237060547,-2496.6000366210938,-15203.00048828125,2.5999999046325684,2.5,-3.400000035762787,-486.89998626708984,0.0,128.0,,0.017137313277708236,-1.7643001256191475,5.3836084450014125e-05,True,False,194.0,False,False,False,,games5425898691,bf81d8692db,19.0,-3336.260009765625,-493.0400085449219,81.2300033569336,2394.4000244140625,22277.7001953125,-923.7999725341797,-3704.4000244140625,61.30000114440918,194.79999542236328,255.0,128.0,,-0.9216672896103483,1.2746522580479174,0.2559361267864566,,31.0,False,6,False,6,
3,399,8.0,False,False,1,3806.9652390483775,3986.8701171875,2917.5,450.010009765625,-5415.3997802734375,8763.300170898438,3775.4998779296875,2853.2998657226562,2163.3999633789062,-4814.2999267578125,1.0,1.0412256182219508,-1.0478858422627824,0.5526007775154542,76561198039309853,enpitsu,23.0,3949.840087890625,2871.31005859375,250.07000732421875,5992.39990234375,13271.300048828125,-105.50000190734863,-4561.300048828125,3032.60009765625,496.30001068115234,255.0,255.0,False,-0.7505540809964182,2.07204495273925,0.12731443392695357,True,120.0,False,2,1,False,,bf81d8692db,games5425898691,19.0,1126.9200439453125,-3778.919921875,17.0,-5481.099853515625,21875.6005859375,1.2999999523162842,-0.09999999776482582,-0.0,-1994.1999816894531,255.0,0.0,,-0.009585571202635536,1.4037369326652989,-1.3452693047831551e-06,True,192.3658664764897,True,6,6,False,,woonder,76561198147845115,10,3930.239990234375,2873.1298828125,37.310001373291016,-3550.0,-9361.300048828125,-1459.1999816894531,1066.6000366210938,1204.800033569336,-1661.3999938964844,255.0,0.0,,-0.15153950969115162,-1.1884299737714639,0.3847575374353597,True,4,204.0,False,6,False,,Trejwik,be8a1d248fb,10.0,36.400001525878906,4362.0498046875,17.010000228881836,4602.099914550781,1291.6999816894531,2.0999999344348907,-4.600000083446503,-1.7000000178813934,1081.9999694824219,255.0,128.0,False,-0.009524344096785186,2.866837069965841,-7.203586595627236e-05,True,61.0,False,6,False,6,
4,448,10.0,False,False,1,2258.403463265728,3044.39990234375,4443.75,103.02999877929688,-3090.7998657226562,5175.30029296875,4479.599914550781,-4163.800048828125,-2486.699981689453,-3532.5,1.0,0.9773381291690363,0.04747973062365757,-2.9125458019226222,76561198039309853,enpitsu,23.0,3209.030029296875,4679.6298828125,81.48999786376953,-13899.69970703125,3935.4000854492188,-4122.200012207031,-3420.8999633789062,354.50000762939453,1491.6999816894531,128.0,255.0,False,-0.48305616090014997,0.18699380534539148,-0.552661544208207,True,58.55763438183774,True,4,3,False,,bf81d8692db,games5425898691,19.0,3400.909912109375,-720.72998046875,17.0,13316.700439453125,17093.499755859375,3.3000001311302185,2.0000000298023224,2.3999999463558197,613.1000137329102,255.0,231.0,,-0.009604753015937136,2.2218232994650453,-4.777517799603509e-06,True,209.0,False,6,6,False,,woonder,76561198147845115,11,1668.550048828125,3015.919921875,82.69999694824219,-16764.100341796875,4018.800048828125,-750.1000213623047,-790.8999633789062,-4033.5000610351562,5.400000214576721,128.0,128.0,,1.0674283236417543,0.19629569450898568,0.0029221399889318433,True,6,235.0,False,8,False,,Trejwik,be8a1d248fb,10.0,2318.8701171875,4684.0400390625,52.150001525878906,18020.50048828125,-1682.1000671386719,3603.699951171875,-0.19999999552965164,-0.0,-1.5000000596046448,255.0,128.0,False,-0.009588785239517013,-3.048070988731958,5.35607929375606e-05,True,0.0,False,7,False,6,
5,456,10.0,False,False,0,9936.393523540151,-3008.389892578125,-4569.259765625,216.07000732421875,-26073.798828125,2453.3999633789062,11515.699462890625,4623.399963378906,3567.39990234375,-1377.1000671386719,0.0,0.26710220124533895,-1.3342709181399388,-2.519958074793985,be8a1d248fb,Trejwik,10.0,-2839.389892578125,-4576.0498046875,152.6699981689453,-18387.80029296875,6965.30029296875,2210.0999450683594,-633.4999847412109,-3700.4998779296875,4019.2001342773438,255.0,0.0,False,0.4410917918791016,-3.1119579265847266,0.3827659429176873,True,0.0,False,8,7,False,,76561198147845115,woonder,11.0,-1207.6500244140625,-3125.68994140625,36.63999938964844,16696.99951171875,-3551.0000610351562,-2593.800048828125,-384.00001525878906,2273.3999633789062,1179.7000122070312,128.0,255.0,,-0.2637038558631405,0.14365059795244653,-0.16385037030432603,True,235.0,False,8,6,False,,enpitsu,76561198039309853,23,-2940.199951171875,-4645.64990234375,19.290000915527344,11304.200439453125,6380.8001708984375,2053.000030517578,3656.7001342773438,17.40000009536743,2716.199951171875,128.0,255.0,False,-0.009726080060825308,0.6234376904801792,-0.02049541017465442,True,4,51.0,False,6,False,,games5425898691,bf81d8692db,19.0,-3717.31005859375,219.22999572753906,17.0,-10135.399780273438,-19004.3994140625,3.400000035762787,-1.2999999523162842,-2.5999999046325684,797.2000122070312,255.0,225.0,,0.009599816676327434,-2.049736803921408,4.3628069750098014e-05,True,209.0,False,6,False,6,
6,533,13.0,False,False,1,5725.299043055896,3928.840087890625,283.9800109863281,150.74000549316406,1360.5000305175781,5052.9998779296875,-4485.7000732421875,-3477.0999145507812,-798.7000274658203,4823.999938964844,1.0,-0.927132321487384,-3.0223408407761982,-1.5859449131993748,bf81d8692db,games5425898691,19.0,3880.93994140625,140.64999389648438,106.91000366210938,14287.2998046875,-3320.1998901367188,2587.7999877929688,1526.7999267578125,-195.79999923706055,2209.2999267578125,128.0,0.0,,0.154376864035746,2.7951716537969586,-0.01854342494088307,True,255.0,False,8,6,False,,76561198039309853,enpitsu,24.0,3211.330078125,3699.469970703125,142.9499969482422,11446.500244140625,-8586.300048828125,-162.90000915527344,5249.000244140625,-1557.5999450683594,-521.1000061035156,255.0,0.0,False,-0.8263685657523263,-2.8877707348866974,1.6849859264903417,True,0.0,False,8,5,False,,woonder,76561198147845115,11,905.9600219726562,4698.6201171875,17.010000228881836,12621.300048828125,1853.0999755859375,2.7000001072883606,1.1999999731779099,-0.0,-2827.60009765625,128.0,0.0,False,-0.009629149299539716,-3.12842311699015,-0.00012275186079488027,True,6,255.0,False,8,False,,Trejwik,be8a1d248fb,11.0,2887.719970703125,3611.530029296875,51.95000076293945,-2989.4000244140625,-12916.600341796875,483.1999969482422,-1847.4000549316406,172.29999542236328,1711.7999267578125,255.0,128.0,False,0.5056330520731283,-1.4176822793141317,0.4171886667227647,True,211.2813591572546,True,8,False,8,
7,580,14.0,False,False,0,6547.578236353315,-3530.340087890625,-854.25,123.0199966430664,58.20000171661377,24900.80078125,9460.599975585938,5266.9000244140625,2788.699951171875,694.7000122070312,0.0,-0.023632525260380215,-2.7566195995795333,1.4985610956146083,be8a1d248fb,Trejwik,11.0,-3522.6201171875,-1123.280029296875,16.989999771118164,-5916.7999267578125,21046.8994140625,2.199999988079071,-0.09999999776482582,0.9000000357627869,-436.89998626708984,255.0,128.0,,0.009601503561286119,1.8064761816038875,0.00014563887585968867,True,114.01718682114793,True,8,8,False,,76561198147845115,woonder,11.0,-2388.449951171875,-3291.27001953125,17.010000228881836,-3420.4998779296875,13577.900390625,2.3000000417232513,-0.09999999776482582,0.5999999865889549,-2002.7000427246094,255.0,0.0,,0.009569427412355162,1.7737699445332948,-0.00013747066743298583,True,255.0,False,8,6,False,,enpitsu,76561198039309853,24,-4062.590087890625,-2716.300048828125,179.9199981689453,556.1000061035156,-1837.2999572753906,-1888.6000061035156,-277.39999771118164,-1010.5000305175781,-228.99999618530273,255.0,255.0,,0.2774731859093372,-1.4408213449759038,-1.2613593860613037,True,6,,False,8,False,,games5425898691,bf81d8692db,19.0,-4078.989990234375,807.5499877929688,589.9000244140625,0.7999999821186066,14325.50048828125,2807.7999877929688,-447.5,-2.5999999046325684,-0.19999999552965164,255.0,23.0,,-0.22385777740359392,1.5806172360229302,1.5685202286876287,True,201.74889438895767,True,8,False,6,
8,674,18.0,False,False,1,9726.931468512528,1864.050048828125,-4538.64013671875,303.75,-8505.999755859375,6801.300048828125,6041.199951171875,1831.9999694824219,-1761.7999267578125,-1595.5999755859375,1.0,1.2581525269561493,-0.8866773254427138,-1.1825810172162399,bf81d8692db,games5425898691,19.0,1845.5699462890625,-4658.990234375,154.8000030517578,-14149.100341796875,6445.2001953125,4013.9999389648438,910.9999847412109,1627.4000549316406,-837.5,255.0,0.0,,1.0500342889345469,1.038225282069566,-0.12078266536850703,True,126.4657118192283,True,10,6,4,,76561198039309853,enpitsu,23.0,2035.489990234375,-940.52001953125,16.420000076293945,-7907.39990234375,-18863.00048828125,111.30000114440918,-58.00000190734863,23.399999141693115,1805.5999755859375,255.0,255.0,False,-0.020533419959571628,-1.2206541767682804,9.472205037046684e-05,True,31.0,False,10,8,False,20.0,woonder,76561198147845115,10,1409.1700439453125,-1269.56005859375,17.010000228881836,-9142.39990234375,-4518.800048828125,2.3999999463558197,-0.0,-0.0,-2363.3999633789062,255.0,0.0,,-0.009539343014056373,-0.4098356021413293,-6.5363919553166035e-06,True,6,221.0,False,8,False,,Trejwik,be8a1d248fb,11.0,1807.5899658203125,-3358.580078125,17.010000228881836,-9716.900024414062,-4683.999938964844,2.0999999344348907,0.5999999865889549,0.09999999776482582,-1.4000000059604645,255.0,128.0,,-0.009532510282273,-0.44889661075307175,5.6848140675473815e-05,True,110.0,False,8,False,8,
9,721,20.0,False,False,0,1767.997289847309,-438.989990234375,3432.090087890625,386.82000732421875,9256.699829101562,18023.499755859375,8613.800048828125,4320.10009765625,1888.0000305175781,-3710.8999633789062,0.0,-0.8164594187638963,-2.174982927394397,2.395190319955778,76561198147845115,woonder,11.0,-448.25,3339.030029296875,232.41000366210938,5563.4002685546875,17106.99951171875,1041.6999816894531,4359.2999267578125,-2117.2000122070312,2313.800048828125,128.0,128.0,,-0.7928642467604511,1.211309679064957,0.06938387603264663,True,138.87682565566033,True,10,6,False,,be8a1d248fb,Trejwik,10.0,-611.9500122070312,3207.10009765625,17.010000228881836,6586.300048828125,-4937.300109863281,1.899999976158142,-0.3999999910593033,-0.19999999552965164,0.0,255.0,128.0,,0.009553547557099697,-0.6432759727699384,1.813537136591478e-05,True,131.0,False,8,8,False,,enpitsu,76561198039309853,23,-3118.340087890625,3961.969970703125,17.059999465942383,7087.8997802734375,18578.299560546875,1.8000000715255737,0.0,0.19999999552965164,-2023.2000732421875,255.0,0.0,False,0.01677744117407937,1.134533749794755,-3.8149663978340676e-05,True,8,245.58123878253403,True,10,False,,games5425898691,bf81d8692db,19.0,362.7200012207031,3558.550048828125,243.25,12846.700439453125,-6241.300048828125,-5025.7000732421875,-68.89999866485596,-446.5999984741211,-754.4999694824219,255.0,114.0,,0.3565694155902919,0.5183843204845617,-0.15637638708541315,True,103.0,False,10,4,6,
