,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,177,0,False,True,0,5196.114429003563,0.9700000286102295,21.889999389648438,92.72000122070312,1258.499984741211,31695.2001953125,1886.0000610351562,551.5000152587891,29.40000057220459,4091.199951171875,0.0,0.0001750563096264671,0.034102824791741745,0.004605419736587637,76561198039309853,enpitsu,26.0,-3.2100000381469727,-179.72000122070312,74.54000091552734,5438.2000732421875,22196.0009765625,2581.9000244140625,-3988.800048828125,2778.599853515625,-910.5000305175781,255.0,0.0,,0.14998010338284093,1.6000110811648454,0.034188366150522564,True,19.0,False,2,False,1,,bf81d8692db,games5425898691,18.0,2834.530029296875,-4125.75,17.010000228881836,18991.400146484375,-3662.0999145507812,2.3000000417232513,-0.3999999910593033,0.0,1920.8999633789062,128.0,255.0,,0.009650978877072737,-0.1221564577187587,5.2984177712426846e-05,True,0.0,False,False,False,False,,xGoodKnightx,b6a565a1f7b,4,-211.74000549316406,812.239990234375,63.369998931884766,11389.3994140625,-14464.000244140625,2831.9000244140625,2115.500030517578,-450.6999969482422,-650.6999969482422,255.0,0.0,,0.023716440766575194,-0.38684881279945293,0.015239822621518382,True,0.0,True,6,5,False,,Tamoshikutozi,76561198349143306,6.0,0.0,5120.60009765625,17.049999237060547,0.0,-722.6999664306641,2.5999999046325684,1.0000000149011612,0.0,0.0,128.0,,,0.016807872707948066,-1.5708021813635311,-4.888585046681049e-08,True,116.0,False,False,False,False,
1,181,0,False,False,1,5658.940161533916,-51.81999969482422,-439.0,132.92999267578125,-14169.3994140625,15673.199462890625,6784.6002197265625,5692.9998779296875,1736.1000061035156,758.4999847412109,1.0,-0.06739306745164436,-0.6417322755668151,-0.17479807273787848,b6a565a1f7b,xGoodKnightx,4.0,20.420000076293945,-583.6300048828125,96.12000274658203,-10375.10009765625,9687.19970703125,102.79999732971191,-5361.9000244140625,624.3999862670898,1053.0999755859375,255.0,0.0,,-0.19256913849819474,0.24958194433056746,1.2917503852270409,True,0.0,False,6,False,5,,76561198349143306,Tamoshikutozi,6.0,-0.0,-5116.419921875,17.049999237060547,-0.0,-50.70000171661377,2.5999999046325684,-2.7000001072883606,-0.0,0.0,128.0,,,-0.01683839138027999,1.5708017636835683,-4.6135529799041194e-08,True,116.0,False,False,False,False,,enpitsu,76561198039309853,26,-84.06999969482422,-138.8699951171875,105.44999694824219,-5214.89990234375,-19068.299560546875,177.39999771118164,3807.9998779296875,-3948.0999755859375,-401.1000061035156,255.0,0.0,,-0.7571916318534303,-2.0471830097462407,1.1887411547908215,True,19.0,False,2,1,False,,games5425898691,bf81d8692db,18.0,-3143.139892578125,4133.68994140625,17.010000228881836,-17911.500244140625,-2346.699981689453,2.3000000417232513,0.09999999776482582,0.3999999910593033,1961.6000366210938,255.0,255.0,,-0.0096318384499074,-0.20202040679431327,3.815170999396501e-05,True,255.0,False,False,False,False,
2,183,0,False,False,0,4862.47522001034,120.26000213623047,384.9100036621094,172.83999633789062,11987.7001953125,21190.2001953125,14409.7998046875,5756.9000244140625,685.4000091552734,-1545.2999877929688,0.0,0.07902645395069235,0.6230106021714481,-0.27925553882008153,76561198039309853,enpitsu,26.0,128.57000732421875,287.3999938964844,102.66000366210938,5640.4998779296875,15329.599609375,-461.50001525878906,-3672.0001220703125,3991.0000610351562,-914.8000335693359,255.0,0.0,,0.7621143675605171,2.585961571824614,2.04731685904894,True,19.0,False,2,False,1,,bf81d8692db,games5425898691,18.0,3288.60009765625,-4101.10009765625,17.010000228881836,17012.5,5161.5997314453125,2.3000000417232513,-0.29999999329447746,-0.3999999910593033,1970.0,255.0,255.0,,0.009608452402381047,0.3660162318444911,5.009494313455107e-05,True,255.0,False,False,False,False,,xGoodKnightx,b6a565a1f7b,4,-20.420000076293945,583.6300048828125,96.12000274658203,10375.10009765625,-9687.19970703125,102.79999732971191,5361.9000244140625,-624.3999862670898,1053.0999755859375,255.0,0.0,,0.19256913849819474,-0.24958194433056746,1.2917503852270409,True,0.0,False,6,5,False,,Tamoshikutozi,76561198349143306,6.0,0.0,5116.419921875,17.049999237060547,0.0,50.70000171661377,2.5999999046325684,2.7000001072883606,0.0,0.0,128.0,,,0.01683839138027999,-1.5708017636835683,-4.6135529799041194e-08,True,116.0,False,False,False,False,
3,335,5,False,False,1,8613.141075703912,-3469.14990234375,-2285.070068359375,820.5900268554688,-9973.599853515625,12145.0,3043.900146484375,-2581.099853515625,1000.1000213623047,2639.2001342773438,1.0,0.6024927951829246,-0.36842277598139545,1.5079308977850616,76561198349143306,Tamoshikutozi,6.0,-3382.60009765625,-2333.969970703125,667.0999755859375,-4827.5,11852.900390625,2841.300048828125,995.0,-3041.099853515625,-4473.399963378906,128.0,128.0,,0.9578855040856625,0.7049393022945073,-0.17063343201971948,True,0.0,False,4,4,False,,b6a565a1f7b,xGoodKnightx,4.0,,,,,,,,,,,,,,,,True,,,,,,,enpitsu,76561198039309853,26,-2489.070068359375,-3088.340087890625,101.51000213623047,-6218.0999755859375,18157.7001953125,-75.39999961853027,-5305.10009765625,-1450.8999633789062,-15.099999904632568,255.0,128.0,,-1.531850565151208,1.374556775329565,-0.07072103388246986,True,,False,6,5,False,,games5425898691,bf81d8692db,18.0,-3309.1298828125,-1665.75,102.2300033569336,-344.50000762939453,3309.8001098632812,-289.59999084472656,-5220.5999755859375,-536.5999984741211,-99.49999809265137,255.0,255.0,,-1.4429418026934793,-1.8215606475019435,0.22427206765276042,True,255.0,False,6,6,False,
4,388,7,False,False,0,6274.855477133751,3204.60009765625,390.3800048828125,193.2899932861328,-16138.299560546875,2255.0999450683594,-3357.3001098632812,-578.3000183105469,-2519.9000549316406,5414.2999267578125,0.0,-1.075782528574518,0.04400255764705945,-0.607818966524168,76561198039309853,enpitsu,26.0,3315.080078125,308.3599853515625,118.75,-332.2999954223633,1974.9000549316406,2229.1000366210938,-5420.30029296875,-932.6999664306641,0.09999999776482582,0.0,128.0,,-0.8234129162566587,-1.4003164615210186,-0.00010920995693111673,True,,False,8,False,7,,bf81d8692db,games5425898691,18.0,2735.47998046875,599.02001953125,19.479999542236328,-193.89999389648438,-15896.700439453125,2958.699951171875,0.0,-0.5000000074505806,79.40000057220459,255.0,128.0,,0.009590077828388282,-1.573015705085161,-0.000102196036584608,True,179.0,False,8,6,False,,xGoodKnightx,b6a565a1f7b,4,2484.409912109375,3617.93994140625,17.010000228881836,-4067.7999877929688,-11021.400146484375,2.0999999344348907,0.0,0.09999999776482582,0.0,255.0,128.0,,0.009543309962081886,-1.9243658610795489,1.5638142774702453e-05,True,85.0,False,False,False,False,,Tamoshikutozi,76561198349143306,6.0,3966.93994140625,169.5800018310547,56.86000061035156,-4045.8999633789062,-10874.89990234375,-2614.5999145507812,1356.9000244140625,1982.8999328613281,-1666.0000610351562,255.0,0.0,,0.24870891616582128,-1.9702853866847152,0.5403430862869815,True,0.0,False,4,False,4,
5,438,9,False,False,1,6082.966822372759,-963.2899780273438,-651.8499755859375,134.3699951171875,-7453.699951171875,15581.600341796875,8441.300048828125,3244.4000244140625,3423.900146484375,3707.9998779296875,1.0,-0.8470961049699689,0.7172358483946655,-0.17944372865735575,b6a565a1f7b,xGoodKnightx,4.0,-844.510009765625,-894.760009765625,17.010000228881836,3061.0000610351562,19655.6005859375,2.3000000417232513,-3.1999999284744263,-0.0,1896.199951171875,0.0,255.0,,-0.009688662960175195,1.6467577821426824,-1.6828187584128386e-06,True,33.0,False,False,False,False,,76561198349143306,Tamoshikutozi,6.0,-3041.909912109375,-1150.760009765625,17.059999465942383,-1513.0000305175781,-13720.6005859375,1.1999999731779099,-0.0,0.7999999821186066,0.0,255.0,128.0,,-0.016745495293080278,-1.4609392800537624,7.254222884181676e-05,True,0.0,False,4,False,4,,enpitsu,76561198039309853,26,-3489.4599609375,-158.41000366210938,17.049999237060547,-4366.600036621094,6476.7999267578125,2.5999999046325684,-0.3999999910593033,0.3999999910593033,2.5,255.0,128.0,,-0.01664386563311244,0.9771747583426056,-5.558417718654166e-05,True,,False,8,8,False,,games5425898691,bf81d8692db,18.0,-2707.090087890625,3371.6201171875,17.010000228881836,322.79998779296875,22995.80078125,2.0999999344348907,0.5999999865889549,-0.19999999552965164,-36.09999895095825,255.0,115.0,,-0.009651412422300786,1.5846868896937836,-5.995929875903489e-06,True,160.0,False,8,8,False,
6,501,11,False,False,1,4208.353025439429,-2606.949951171875,2807.7099609375,325.3800048828125,2165.800018310547,13623.299560546875,-3967.9998779296875,4730.899963378906,1563.2000732421875,-3342.7999877929688,1.0,0.022266661596795634,0.17468891306944806,-0.5762623320248983,b6a565a1f7b,xGoodKnightx,4.0,-2716.22998046875,2763.679931640625,247.44000244140625,-1791.6000366210938,19784.599609375,98.19999694824219,-246.10000610351562,2221.199951171875,5025.400085449219,255.0,6.0,,1.1364309517886857,0.6905983666605003,-0.5338337377577308,False,0.0,False,4,False,3,,76561198349143306,Tamoshikutozi,6.0,-56.45000076293945,-2551.6298828125,16.020000457763672,17809.7998046875,-5169.4000244140625,-552.0999908447266,600.4000091552734,1720.2000427246094,176.10000610351562,255.0,128.0,,-0.010804977154671831,-2.856688840728107,-0.002448963738723965,False,0.0,False,6,4,4,,enpitsu,76561198039309853,26,-3158.10009765625,3060.31005859375,16.889999389648438,3904.1000366210938,16613.499755859375,38.80000114440918,17.999999523162842,-4.000000059604645,1.5000000596046448,255.0,255.0,,-0.01774823536838154,1.801439270893221,-1.2798962857693158e-05,True,,False,10,10,False,,games5425898691,bf81d8692db,18.0,-1273.6300048828125,3798.090087890625,17.010000228881836,11029.3994140625,-545.4999923706055,2.5,0.29999999329447746,-0.0,2383.300018310547,255.0,255.0,,-0.009532857654903831,3.132793746454501,-2.8193874170739392e-05,True,191.0,False,8,8,False,
7,543,13,False,False,0,10076.781855002238,2294.199951171875,-4418.4599609375,148.77000427246094,-15792.39990234375,-422.09999084472656,32.89999961853027,3313.3999633789062,-3371.400146484375,3695.10009765625,0.0,-1.4445422146531923,0.40496785358353005,2.9131930345524806,76561198039309853,enpitsu,26.0,2487.199951171875,-4492.06982421875,118.37000274658203,-7308.499755859375,1907.2000122070312,3401.6000366210938,-536.1000061035156,-1739.7000122070312,-110.20000457763672,128.0,128.0,False,0.179018136487205,2.8323732648214137,-0.0007467405002438926,True,241.0,False,12,False,10,,bf81d8692db,games5425898691,18.0,1673.4599609375,-4766.56005859375,19.469999313354492,16858.699951171875,2383.300018310547,2955.7998657226562,-5.099999904632568,-0.7999999821186066,800.4000091552734,255.0,128.0,,0.00960050634690897,0.17878167772479678,3.1774963730806676e-05,True,128.3732042568986,True,9,8,False,,xGoodKnightx,b6a565a1f7b,4,2593.010009765625,-5099.5400390625,150.60000610351562,-10280.799560546875,73.20000171661377,-3603.599853515625,758.1999969482422,-2108.6000061035156,-1231.8000030517578,255.0,0.0,False,0.3618001880711435,3.1248635717070665,1.475070910133394,True,0.0,False,4,4,False,,Tamoshikutozi,76561198349143306,6.0,-2528.7900390625,3645.25,17.049999237060547,-15062.19970703125,10423.699951171875,2.5999999046325684,0.19999999552965164,0.0,-2.800000011920929,255.0,128.0,,0.016786430565548544,2.535876636500349,1.6839144757134826e-05,False,0.0,False,6,4,4,
8,592,15,False,False,0,9711.475742286792,-134.19000244140625,-4541.5498046875,93.13999938964844,-11002.900390625,-764.8000335693359,0.0,580.9999847412109,-5897.0001220703125,941.9000244140625,0.0,-0.24016254584517033,-0.9239783488292181,2.525859883560098,76561198039309853,enpitsu,26.0,32.630001068115234,-4814.4501953125,46.56999969482422,-21604.89990234375,-6327.8997802734375,-225.40000915527344,3197.9000854492188,328.49998474121094,3285.4998779296875,0.0,0.0,,0.5775245216885397,-2.634108842199199,0.047856466276201125,True,126.0,False,12,False,10,,bf81d8692db,games5425898691,18.0,4063.830078125,-3624.93994140625,183.57000732421875,-643.8999938964844,-3865.2999877929688,-1320.2000427246094,1599.7000122070312,281.1000061035156,-1058.6000061035156,255.0,0.0,,0.1841597848118586,-1.6679774348969914,1.264018251899203,True,119.0,False,10,10,False,,xGoodKnightx,b6a565a1f7b,4,650.9000244140625,-4049.35009765625,111.22000122070312,-15365.699462890625,6613.699951171875,-382.20001220703125,-2059.1000366210938,-4413.699951171875,100.39999961853027,255.0,128.0,,-1.3564687726616724,2.6099693278369767,0.0972684477395856,True,,False,6,6,False,,Tamoshikutozi,76561198349143306,6.0,-1900.4300537109375,4549.7998046875,17.059999465942383,4203.900146484375,-13145.999755859375,-2.5,0.5000000074505806,-0.7000000029802322,-2282.100067138672,255.0,0.0,False,0.01674513726241117,-1.325910773001123,-2.2557259063282915e-05,True,245.69393546350543,True,7,4,4,
9,685,18,False,False,1,1712.202194195721,2553.60009765625,4711.0498046875,99.37999725341797,-6436.300048828125,-2555.8999633789062,4185.199890136719,-2321.0000610351562,3663.9999389648438,-4145.7000732421875,1.0,0.5449046043225537,1.591888414258378,-2.2362242653841737,b6a565a1f7b,xGoodKnightx,4.0,2702.52001953125,4756.4501953125,16.309999465942383,-1887.2000122070312,-6782.0001220703125,-227.39999771118164,349.39998626708984,441.19998931884766,-937.3000335693359,255.0,0.0,False,-0.019289531677860683,-1.2340209214697693,-0.013773735194750447,True,31.0,False,6,False,6,,76561198349143306,Tamoshikutozi,6.0,1952.5899658203125,840.7000122070312,17.049999237060547,6424.1998291015625,12892.5,3.100000023841858,-0.3999999910593033,-0.9000000357627869,1961.7999267578125,128.0,255.0,False,-0.016857444954841545,1.9844964978863744,0.0001264649776663429,True,249.0,False,8,4,6,,enpitsu,76561198039309853,26,992.4199829101562,4863.39990234375,26.360000610351562,844.8999786376953,-710.0,-1421.4999389648438,3802.6998901367188,3732.9000854492188,-1361.3999938964844,255.0,0.0,False,-0.08514989707542826,2.421938335645252,-0.20407506085508006,True,126.0,False,12,10,False,,games5425898691,bf81d8692db,18.0,399.2300109863281,4017.0400390625,17.010000228881836,10904.300537109375,-10275.799560546875,2.3000000417232513,0.3999999910593033,-0.09999999776482582,-1995.7000732421875,128.0,0.0,,-0.009629597525049202,-2.3195462514062686,-3.637579866806699e-05,True,181.0,False,12,12,False,
