,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,171,0.0,False,True,1,5117.44520137318,4.139999866485596,100.87000274658203,116.29000091552734,835.5000305175781,30286.0009765625,6827.0001220703125,93.19999694824219,-1.1999999731779099,-25.399999618530273,1.0,-4.722269481146913e-05,0.0008578469423834034,-0.003102029755007866,76561198010193526,ivy,16.0,-4.0,-85.83999633789062,42.0099983215332,-7563.4002685546875,20326.8994140625,1765.2000427246094,3697.0001220703125,-3708.0999755859375,1682.5,255.0,201.0,,0.1535668570782017,1.606204133992508,-0.20088752835483356,True,22.0,False,6,False,5,,4531782503231600821,MyTHYQUE,11.0,108.0999984741211,-3762.3798828125,17.010000228881836,1494.1000366210938,9656.799926757812,2.0999999344348907,-0.7999999821186066,-0.0,0.0,255.0,128.0,,-0.00945777957820773,1.7243237132764357,-5.079768666550785e-07,True,False,116.0,False,False,False,,enpitsu,76561198039309853,27,2709.14990234375,4069.840087890625,17.049999237060547,14345.2001953125,2995.4000854492188,3.1999999284744263,1.1999999731779099,0.09999999776482582,-2279.4000244140625,255.0,0.0,False,-0.01676068024269595,3.0281580034465017,-0.00026416306355052263,True,False,False,0.0,False,False,,games5425898691,bf81d8692db,24.0,25.219999313354492,661.510009765625,45.900001525878906,576.8999862670898,-18262.19970703125,3226.7001342773438,417.00000762939453,-17.799999713897705,-862.9000091552734,128.0,128.0,,-0.018410484493405786,-1.5227611736041278,0.00011479806010145698,True,31.0,False,4,False,False,
1,174,0.0,False,False,0,5600.426431965101,-12.069999694824219,-390.2300109863281,184.7899932861328,1836.7999267578125,-3769.2001342773438,16125.6005859375,5996.400146484375,-146.49999618530273,-145.0,0.0,-0.005173995521188116,-0.011573097956283855,0.298117637166824,bf81d8692db,games5425898691,24.0,-28.31999969482422,-532.1500244140625,65.69000244140625,-130.20000457763672,22822.39990234375,2740.7000732421875,-4662.39990234375,393.10001373291016,-761.6999816894531,128.0,128.0,,0.12042966156196062,1.4690651870949243,-0.0016613347848024214,True,31.0,False,4,False,3,,76561198039309853,enpitsu,27.0,-2828.239990234375,-4087.239990234375,17.049999237060547,-14186.800537109375,-1161.6999816894531,3.700000047683716,-0.7999999821186066,0.0,-2800.5999755859375,255.0,0.0,False,0.016763222011892537,3.040126892752467,-0.0001867586615881599,True,False,255.0,False,False,False,,ivy,76561198010193526,16,66.16000366210938,-83.70999908447266,54.459999084472656,7418.699951171875,-20364.69970703125,1260.199966430664,-533.1999969482422,5315.0,-1309.7000122070312,255.0,0.0,,-0.2671862524918162,-1.5145612962891766,-0.7808335428417756,True,6,5,22.0,False,False,,MyTHYQUE,4531782503231600821,11.0,-120.88999938964844,3679.7099609375,17.010000228881836,-1566.9999694824219,-10127.899780273438,2.0999999344348907,0.9000000357627869,0.0,0.0,255.0,128.0,,0.00945777957820773,-1.7243237132764357,-5.079768666550785e-07,True,116.0,False,False,False,False,
2,271,3.0,False,False,0,6552.326273908333,537.2100219726562,-1253.6600341796875,556.9600219726562,14044.3994140625,21440.2001953125,4488.0999755859375,5080.899963378906,-3115.5999755859375,-690.5000305175781,0.0,-0.9776771571286084,3.1331560935186693,1.1634096930512903,76561198039309853,enpitsu,27.0,421.07000732421875,-1455.2099609375,404.94000244140625,9974.89990234375,17026.099853515625,3547.3001098632812,-1846.6000366210938,-2231.9000244140625,-4675.199890136719,128.0,255.0,False,-1.0552020610868291,0.9489228187143469,-0.8449467941685451,True,127.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,-4060.93994140625,3430.949951171875,159.58999633789062,-3946.300048828125,-19846.199951171875,8647.19970703125,1980.3999328613281,4914.700012207031,118.59999656677246,255.0,255.0,,-0.3939861625381818,-1.7322446425549685,-1.1409535552016001,True,4,207.90547096601102,True,False,4,,ivy,76561198010193526,15,3775.409912109375,257.7200012207031,36.369998931884766,9472.2998046875,20611.59912109375,-2925.2999877929688,-1976.9999694824219,-11.299999952316284,-16.49999976158142,255.0,255.0,False,-0.026538262886891595,1.9818842127514835,-0.9358577345995609,True,8,8,255.0,False,False,,MyTHYQUE,4531782503231600821,11.0,585.4199829101562,-870.5499877929688,167.02000427246094,2578.2000732421875,-20531.39892578125,3368.3999633789062,-2413.5000610351562,-2993.599853515625,1683.9999389648438,128.0,0.0,,-0.7509460664160929,-1.4903024734164625,0.22728355454683044,True,6.68261502635095,True,4,False,False,
3,374,7.0,False,True,0,3660.4994452520386,2653.909912109375,4247.02978515625,232.72000122070312,-8900.399780273438,3709.1000366210938,6562.2998046875,2948.599853515625,128.90000343322754,-5114.700012207031,0.0,1.2289889494802912,2.9464600710557916,-0.42540669338809706,76561198039309853,enpitsu,27.0,2647.489990234375,4251.759765625,105.80999755859375,-10871.600341796875,8849.69970703125,2922.3001098632812,7.799999713897705,-5.299999713897705,-554.900016784668,128.0,0.0,,0.016778721662501366,2.4559040057376254,-0.00041544481659906994,True,246.0,False,4,False,2,,bf81d8692db,games5425898691,24.0,538.25,644.780029296875,17.010000228881836,7512.8997802734375,18960.10009765625,2.0999999344348907,0.29999999329447746,0.7000000029802322,332.90000915527344,255.0,156.0,,0.009599346364595604,1.202652862567167,-2.277832142206487e-06,True,4,227.0,False,False,4,,ivy,76561198010193526,15,1558.3399658203125,4656.77978515625,17.020000457763672,-7525.5999755859375,2601.400146484375,1.0000000149011612,0.7999999821186066,1.2999999523162842,-1628.3999633789062,0.0,106.0,False,0.009719464148381117,1.107115692604656,-0.00030347941271337227,True,8,8,220.0,False,False,,MyTHYQUE,4531782503231600821,9.0,2249.3798828125,-4642.35986328125,17.0,11435.30029296875,6501.400146484375,3.400000035762787,-0.3999999910593033,0.09999999776482582,0.0,255.0,128.0,,0.00953261890359764,0.516961546614135,1.4874163008399673e-05,False,,False,4,False,False,
4,413,8.0,False,False,1,10170.792792754557,-1433.18994140625,-4760.5,498.7099914550781,-193.89999389648438,-4287.099914550781,-1148.7999725341797,-2294.2999267578125,148.4000015258789,-3110.7998657226562,1.0,-0.3585850689664747,-0.7917731452726313,-0.730599117587384,76561198010193526,ivy,16.0,-1312.3900146484375,-4693.18994140625,420.239990234375,3511.0000610351562,-4929.700012207031,1525.7000732421875,1004.4000244140625,-365.09998321533203,-5395.10009765625,255.0,244.0,False,1.162355900829552,-0.715001655292095,-1.1643189826285862,True,132.2729891089983,True,10,False,9,,4531782503231600821,MyTHYQUE,9.0,-3231.409912109375,2702.489990234375,98.7300033569336,-538.3000183105469,-21998.40087890625,-167.19999313354492,5375.8001708984375,1145.199966430664,195.79999923706055,255.0,128.0,,-1.0756249019170063,0.9309993988188835,-2.774981118875179,False,3,225.0,False,False,6,,enpitsu,76561198039309853,27,-1502.43994140625,-4933.85986328125,17.100000381469727,1866.6000366210938,5497.1002197265625,-405.40000915527344,1477.2000122070312,394.1999816894531,44.40000057220459,255.0,128.0,,-0.008016549690825072,-1.2549649703573462,0.01681698428584089,True,4,2,246.0,False,False,,games5425898691,bf81d8692db,24.0,-1035.8499755859375,-3600.800048828125,17.010000228881836,-3464.8001098632812,-15989.200439453125,2.0999999344348907,0.5999999865889549,-0.19999999552965164,19.800000190734863,0.0,128.0,,-0.009894091689875532,-1.359762508785639,-2.7497493690984453e-05,True,224.0,False,4,False,4,
5,498,11.0,False,False,0,2882.7574874603642,1833.050048828125,4211.25,102.27999877929688,-9797.39990234375,-4788.999938964844,4152.200012207031,194.20000076293945,4309.100036621094,-3815.7000732421875,0.0,-0.9335585965315163,0.39699096367119435,-1.98043330626489,76561198039309853,enpitsu,27.0,1994.3900146484375,4251.2900390625,17.06999969482422,-6470.8001708984375,-9251.500244140625,0.3999999910593033,-1.8000000715255737,-3.100000023841858,-1593.699951171875,255.0,128.0,False,0.016685461525418426,-2.154769466990447,-0.0006255851448641173,True,217.0,False,4,False,2,,bf81d8692db,games5425898691,24.0,2190.169921875,4160.2001953125,17.010000228881836,-1237.3999786376953,-7235.999755859375,2.3000000417232513,0.09999999776482582,-0.19999999552965164,-2467.5999450683594,255.0,0.0,,0.009496907911739585,-1.753067320773066,-3.283703517813839e-05,True,4,211.0,False,False,4,,ivy,76561198010193526,16,928.9099731445312,4633.85009765625,293.57000732421875,-231.49999618530273,-4805.199890136719,-6288.499755859375,2925.2999877929688,-4643.699951171875,357.7000045776367,128.0,194.0,False,0.6202696451491485,1.40658328257847,0.8240639117473205,True,12,10,121.0,False,False,,MyTHYQUE,4531782503231600821,9.0,2250.419921875,3913.489990234375,17.010000228881836,-17027.39990234375,13585.899658203125,2.0000000298023224,-0.7000000029802322,0.3999999910593033,129.7000026702881,255.0,128.0,,0.009587045738279785,2.4835810425039067,-0.00012073977530780924,True,225.0,False,8,False,6,
6,566,14.0,False,False,0,2267.6206151741308,-2043.550048828125,3184.179931640625,390.5799865722656,-19194.69970703125,-7997.9998779296875,-4840.5999755859375,3303.900146484375,4274.100036621094,-2610.5999755859375,0.0,0.7793591227783399,-1.1735658884199673,-2.4129199888749073,76561198039309853,enpitsu,27.0,-1940.280029296875,3262.18994140625,331.2300109863281,-16820.400390625,-5246.6998291015625,712.9000091552734,-4341.300048828125,3274.2001342773438,-825.5999755859375,128.0,255.0,False,-0.2732213715282867,3.022440014910698,1.6889935137887424,True,235.0,False,6,False,2,,bf81d8692db,games5425898691,24.0,-1338.8199462890625,3525.7900390625,16.989999771118164,-17941.400146484375,-14391.099853515625,2.199999988079071,0.0,0.19999999552965164,66.90000057220459,255.0,128.0,,0.009613449860785031,-2.4597724564729515,-6.894280865295852e-06,True,4,136.78389673591943,True,False,4,,ivy,76561198010193526,16,118.54000091552734,4777.72021484375,17.010000228881836,-10220.0,5760.30029296875,2.3000000417232513,0.5999999865889549,-0.29999999329447746,1993.0999755859375,255.0,255.0,,0.009553310474221673,2.6480003244548427,0.00022469935258276807,True,12,10,121.0,False,False,,MyTHYQUE,4531782503231600821,9.0,-1483.97998046875,3178.330078125,17.0,-16274.7998046875,-3171.0000610351562,3.3000001311302185,-3.4999999403953552,-0.3999999910593033,-957.3999786376953,255.0,128.0,,0.009600964003058527,-3.010040320705472,9.718331692901455e-05,False,162.0,False,8,False,6,
7,665,17.0,False,True,0,4232.1665198989185,-2393.300048828125,1181.550048828125,123.11000061035156,12624.49951171875,17902.60009765625,3825.8999633789062,1148.7000274658203,1989.9000549316406,5542.60009765625,0.0,-0.6086987506339144,0.4947770669451104,-1.6188259149422435,76561198039309853,enpitsu,27.0,-2452.110107421875,1014.25,89.87000274658203,19411.400146484375,10265.2001953125,2855.4998779296875,91.5999984741211,3864.7000122070312,-2932.9000854492188,255.0,255.0,False,0.19190797477807778,0.3727768694645799,0.014829137153576121,True,121.0,False,8,False,3,,bf81d8692db,games5425898691,24.0,-3388.43994140625,-3044.81005859375,17.010000228881836,11964.3994140625,-17569.100341796875,2.3000000417232513,0.0,0.0,1987.5999450683594,255.0,255.0,,0.009576733117591956,-0.8965607516179126,9.643311765208622e-06,True,6,255.0,False,False,6,,ivy,76561198010193526,16,-2249.889892578125,1734.5999755859375,49.08000183105469,6613.499755859375,-21750.6005859375,3488.599853515625,-44.60000038146973,1529.1999816894531,-1107.6000213623047,255.0,0.0,,0.019959911970144475,-1.3329564884458192,-0.038535578388225654,True,13,10,18.596344073613487,True,False,,MyTHYQUE,4531782503231600821,9.0,-2686.25,4576.56982421875,16.43000030517578,175.30000686645508,-2882.5,80.79999923706055,7.5,0.7000000029802322,11.000000238418579,255.0,,,0.008922545585031243,-1.5087044513542889,1.7572685682680787e-05,True,85.0,False,False,False,False,
8,668,18.0,False,False,1,6639.447393977935,2272.27001953125,-1355.239990234375,167.0800018310547,10495.50048828125,10602.19970703125,11137.60009765625,3122.39990234375,-1040.1000213623047,-5016.7999267578125,1.0,0.44614137254917186,-0.7909091819094607,-1.4056550717647802,76561198010193526,ivy,16.0,2156.929931640625,-1431.3900146484375,94.6500015258789,-782.9000091552734,21376.69921875,2103.3999633789062,2023.0999755859375,-1665.2999877929688,-81.99999809265137,255.0,0.0,,0.0028192683803184323,1.5348249400149518,-0.2563176025796216,True,9.271346410115562,True,14,False,11,,4531782503231600821,MyTHYQUE,9.0,2681.909912109375,-4506.41015625,17.010000228881836,-310.9000015258789,4972.39990234375,4.699999988079071,-0.5999999865889549,-0.0,0.0,255.0,,,-0.009434659475409437,1.5082626502291976,-2.6049319358444937e-06,True,False,85.0,False,False,False,,enpitsu,76561198039309853,27,2273.909912109375,-1108.43994140625,112.94999694824219,-19461.700439453125,-10281.600341796875,2231.9000244140625,1358.3999633789062,-5324.7998046875,224.79999542236328,255.0,255.0,False,-0.82671757247669,-0.31543478116088164,0.06988907613140424,True,8,3,121.0,False,False,,games5425898691,bf81d8692db,24.0,3264.820068359375,3192.669921875,17.010000228881836,-14678.00048828125,14853.299560546875,2.3000000417232513,-0.19999999552965164,-0.0,2005.0,255.0,255.0,,-0.009579262923533309,0.7133821812097102,-1.733259875117471e-05,True,255.0,False,6,False,6,
9,753,21.0,False,False,0,7071.57400118362,-3208.22998046875,-1542.8699951171875,418.5400085449219,-9824.000244140625,9101.799926757812,4568.0999755859375,3724.8001098632812,4447.200012207031,-1531.9000244140625,0.0,-0.8536446393937059,1.051077545933669,-1.586508942596062,bf81d8692db,games5425898691,24.0,-3098.830078125,-1655.530029296875,316.8999938964844,-14866.099853515625,9750.499877929688,2013.800048828125,-970.0,-5296.300048828125,1121.3999938964844,255.0,195.0,,0.26107333311808106,2.3376788548299863,0.032062188450632884,True,182.91140624271927,True,8,False,7,,76561198039309853,enpitsu,27.0,40.84000015258789,-120.08999633789062,17.049999237060547,368.49998474121094,-14273.399658203125,2.5,0.0,-0.7999999821186066,0.09999999776482582,255.0,128.0,False,0.01677958079861424,-1.5449401895425319,-7.300707625665698e-05,True,4,119.0,False,False,8,,ivy,76561198010193526,16,1448.0999755859375,-1102.3199462890625,91.13999938964844,21201.39892578125,8897.999877929688,-568.3000183105469,2675.1998901367188,4804.5001220703125,100.0,255.0,0.0,,-0.2721058600164055,0.9298362130506987,-0.595985263388533,False,16,14,0.0,False,False,,MyTHYQUE,4531782503231600821,9.0,-2787.449951171875,3725.530029296875,17.010000228881836,2697.0001220703125,-10756.400146484375,2.0999999344348907,0.0,0.3999999910593033,-387.59998321533203,255.0,128.0,False,0.00953765435664294,-1.358720054859772,0.00020955016244964767,True,255.0,False,False,False,False,
