,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_ball_cam,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,170,0.0,False,1,5181.756488801591,6.960000038146973,35.08000183105469,97.95999908447266,3328.9999389648438,24144.29931640625,3594.5999145507812,-485.0,-260.5999946594238,2626.400146484375,1.0,-0.0041644848624539455,-0.04379995533093411,0.008190788696178132,be79cdc75db,JuicyDingo105,27.0,-5.110000133514404,-145.97999572753906,48.189998626708984,8770.700073242188,13966.700439453125,2948.699951171875,4138.399963378906,-1580.8000183105469,2974.5001220703125,128.0,128.0,,0.06567352501209005,2.0441784308163893,0.01056995331063883,4,False,0.0,False,False,True,,76561198296790995,Fahad,26.0,-0.0,-1358.8299560546875,16.989999771118164,-1.4000000059604645,19664.599609375,18.99999976158142,7.300000190734863,-0.0,0.0,255.0,,,-0.017151089617023132,1.570701976300183,-6.819639951612557e-06,True,4,False,70.0,False,4,,games5425898691,bf81d8692db,19.0,47.56999969482422,253.36000061035156,87.54000091552734,-7632.0001220703125,-21524.19921875,186.10000610351562,5142.7001953125,-1949.6000671386719,28.399999141693115,128.0,128.0,,-1.2887241692851505,-1.2263848477209682,0.0188439428691769,True,0.0,False,4.0,3.0,False,,enpitsu,76561198039309853,27.0,-0.0,2698.89990234375,17.049999237060547,-0.0,-11074.000244140625,2.5999999046325684,0.5999999865889549,-0.0,0.0,255.0,,,-0.016807813432039555,-1.570775372233716,-2.356888201565208e-07,True,146.0,False,False,False,False,
1,522,12.0,False,1,1594.2041939919322,2190.6298828125,4209.72021484375,185.17999267578125,-24055.70068359375,11299.49951171875,6221.500244140625,1388.3000183105469,-1154.4999694824219,3227.60009765625,1.0,0.85011416703613,2.584792447874588,-2.966352421627871,be79cdc75db,JuicyDingo105,27.0,2426.47998046875,4061.1298828125,181.1199951171875,-18080.699462890625,10519.100341796875,1985.7000732421875,1513.5000610351562,-5200.4998779296875,-955.8000183105469,243.0,235.0,True,-0.4176317487130122,0.668049905258372,-0.7092700300778368,10,False,157.42151420603514,True,7,True,,76561198296790995,Fahad,27.0,2090.81005859375,1087.0899658203125,17.049999237060547,-386.6999816894531,1993.0999755859375,2.800000011920929,-1.0000000149011612,2.5999999046325684,-811.1000061035156,128.0,39.0,False,-0.01682904659656953,1.256567372930104,-0.00017660752418420538,True,10,False,122.0,False,10,,games5425898691,bf81d8692db,19.0,2044.8499755859375,4269.31005859375,76.23999786376953,15915.999755859375,-11645.10009765625,-647.3999786376953,-2343.699951171875,4848.800048828125,1116.1000061035156,255.0,214.0,,-0.4149881875685762,-2.548066517597892,-0.4813865210867023,True,45.0,False,10.0,9.0,False,,enpitsu,76561198039309853,27.0,2101.669921875,4360.0,129.35000610351562,768.1999969482422,-178.09999465942383,3735.4998779296875,5137.39990234375,-1428.5000610351562,-1347.4000549316406,128.0,255.0,,-0.2396603090079301,1.152033366729487,-2.665940984333031,True,236.0,False,4,False,3,
2,638,17.0,True,1,3098.12974583426,-1537.7099609375,3222.85009765625,126.2300033569336,10863.199462890625,16508.00048828125,5695.3997802734375,-935.4000091552734,-4804.700012207031,702.7999877929688,1.0,-0.4731215818173392,1.4962764143957397,-0.6498033294199136,76561198296790995,Fahad,27.0,-1704.97998046875,3065.659912109375,19.5,7592.5,15514.000244140625,2955.4000854492188,-0.0,0.09999999776482582,-2032.7999877929688,255.0,0.0,,-0.016777962126419334,2.0929469287146,-1.2806617835818795e-05,11,False,8.705789335312385,True,10,True,,be79cdc75db,JuicyDingo105,27.0,-2346.929931640625,2972.3701171875,17.010000228881836,-895.4000091552734,-14027.80029296875,2.0999999344348907,-0.09999999776482582,-1.4000000059604645,1046.1000061035156,255.0,191.0,,-0.009592888358446974,-1.5278948317039074,2.3129290314284553e-05,True,10,False,148.0,False,8,,games5425898691,bf81d8692db,19.0,1827.5,4238.81005859375,17.010000228881836,-14035.10009765625,1177.3999786376953,2.0999999344348907,0.7999999821186066,-0.29999999329447746,309.50000762939453,255.0,128.0,,-0.009565630356998379,0.056206428356348384,-0.00011238509391533517,True,75.0,False,10.0,10.0,False,2.0,enpitsu,76561198039309853,27.0,-836.4099731445312,4622.81982421875,17.049999237060547,-8989.89990234375,-9047.2998046875,-1.7000000178813934,-0.29999999329447746,-0.7000000029802322,3.6000001430511475,128.0,255.0,False,-0.01673526074261542,-0.7890850699430115,-3.860577525327409e-05,True,124.0,False,4,False,4,
3,983,20.0,False,0,5623.39163027253,-316.8599853515625,-453.489990234375,100.51000213623047,1745.8999633789062,29488.5009765625,3407.9000854492188,-2287.5,-665.4000091552734,-1890.0,0.0,1.0424310974412385,1.418756579180147,0.037451204044997445,76561198039309853,enpitsu,27.0,-342.6700134277344,-630.6699829101562,74.55999755859375,152.5,22586.298828125,2951.7001342773438,-1191.9999694824219,599.5999908447266,-1306.3999938964844,255.0,128.0,,0.05790122911795192,1.3445403208666036,0.002138550878328171,4,False,20.0,False,3,True,,bf81d8692db,games5425898691,19.0,1352.9599609375,409.07000732421875,17.0,9648.200073242188,-3361.4999389648438,3.3000001311302185,-0.7000000029802322,0.19999999552965164,-384.39998626708984,255.0,128.0,,0.00954321831456943,-0.3745880641871307,0.00026146437932376027,True,4,False,31.0,False,4,,JuicyDingo105,be79cdc75db,27.0,2559.72998046875,2817.89990234375,17.010000228881836,-14800.699462890625,2013.6000061035156,1.899999976158142,0.7000000029802322,0.09999999776482582,-20.799999237060547,228.0,128.0,False,0.009614001932157699,3.0032605062818862,6.402117685789137e-05,True,239.0,False,4.0,4.0,False,,Fahad,76561198296790995,27.0,-516.989990234375,-351.7200012207031,22.020000457763672,4163.900146484375,-7374.000244140625,3000.5999755859375,-0.9000000357627869,0.0,2439.7000122070312,255.0,255.0,,0.01667312938250332,-1.0356188903674173,6.97977070621986e-05,True,31.0,False,5,False,4,
4,1512,39.0,False,0,578.0394271492967,-728.239990234375,4586.83984375,133.75,9877.60009765625,18136.8994140625,9265.10009765625,3835.8999633789062,-1923.699951171875,4193.299865722656,0.0,0.25633489159826806,-0.26968252096787926,0.8303399760780825,76561198039309853,enpitsu,27.0,-837.0399780273438,4398.7998046875,111.16000366210938,19786.500244140625,11692.39990234375,66.70000076293945,356.19998931884766,5391.7999267578125,-1025.1000213623047,255.0,128.0,False,0.903108451069817,1.3184433553886452,1.2954849711832896,10,False,32.0,False,9,True,,bf81d8692db,games5425898691,19.0,696.6500244140625,1166.550048828125,17.010000228881836,21683.798828125,4450.7000732421875,2.3000000417232513,-1.1999999731779099,0.0,1779.7999572753906,255.0,255.0,,0.00957966748550886,0.2554137121285848,0.00015858006214453603,True,8,False,222.0,False,6,,JuicyDingo105,be79cdc75db,27.0,-587.4000244140625,4661.47998046875,59.130001068115234,-4766.600036621094,-929.0000152587891,2398.800048828125,-2032.5,-1247.300033569336,-1750.5000305175781,199.0,228.0,True,0.04831491154090415,2.739796973321965,0.14332305968559794,True,198.0,False,8.0,5.0,False,,Fahad,76561198296790995,27.0,-1534.030029296875,4648.91015625,17.040000915527344,10778.699951171875,9092.39990234375,3.700000047683716,-0.5999999865889549,0.0,0.0,255.0,128.0,False,0.016738038669071694,0.7007141411812859,4.5445944269532475e-05,True,0.0,False,12,4,10,
5,2386,71.0,True,1,2324.846506744787,137.0,2942.5400390625,161.14999389648438,2473.699951171875,27287.5,3973.5000610351562,732.3000335693359,5514.4000244140625,-2248.0999755859375,1.0,-0.4040135952427662,-1.447253888838514,3.132176595170385,76561198296790995,Fahad,27.0,196.52999877929688,2756.679931640625,82.98999786376953,490.2000045776367,22812.900390625,2874.1000366210938,-2106.699981689453,-1468.2000732421875,3185.1998901367188,255.0,222.0,False,-0.09719720901959775,1.428197427962489,0.0008132709898552676,30,6,52.0,False,23,True,,be79cdc75db,JuicyDingo105,27.0,558.3900146484375,3071.860107421875,17.010000228881836,12117.19970703125,15463.199462890625,2.0999999344348907,-0.09999999776482582,-0.09999999776482582,306.3999938964844,195.0,128.0,,-0.009590954328391096,2.205136799866162,-0.000137021029284628,False,8,False,134.0,False,6,,games5425898691,bf81d8692db,19.0,-853.510009765625,3195.3798828125,47.470001220703125,15447.39990234375,16878.599853515625,-2342.7999877929688,-1311.9000244140625,897.9000091552734,404.1999816894531,255.0,128.0,,0.22632356306597756,2.3369901348405047,0.2813620217040686,True,48.7062192988652,True,22.0,18.0,4,,enpitsu,76561198039309853,27.0,3227.85009765625,3303.719970703125,17.030000686645508,-10417.80029296875,19807.39990234375,5.299999713897705,3.0000001192092896,-5.199999809265137,1527.5999450683594,255.0,128.0,,-0.016779423090293247,1.0111051624277374,-2.0172286543469436e-05,True,222.70621929886522,True,16,False,16,
6,2794,76.0,True,0,2440.015546547173,-1106.3699951171875,2709.070068359375,258.9700012207031,4657.799987792969,17701.199951171875,5854.2999267578125,2979.7000122070312,-2975.0,2437.2999572753906,0.0,-1.0382151148007503,-1.6026536798956335,-2.7495554697814337,bf81d8692db,games5425898691,19.0,-1160.9200439453125,2600.330078125,113.22000122070312,3049.2999267578125,21348.89892578125,3541.4999389648438,-1022.3000335693359,310.10000228881836,-2335.399932861328,255.0,6.0,,0.13204909046616506,0.986943663533682,-0.02030571627524801,4,False,14.0,False,False,True,,76561198039309853,enpitsu,27.0,-2134.469970703125,-110.02999877929688,17.059999465942383,-18957.2998046875,-2974.4000244140625,-1.7000000178813934,-0.3999999910593033,0.19999999552965164,4.099999964237213,255.0,128.0,,0.016814783217179677,-2.9854700502431184,-2.1344679268573817e-05,True,2,False,7.0,False,2,,JuicyDingo105,be79cdc75db,27.0,,,,,,,,,,,,,,,,,,,,,,,Fahad,76561198296790995,27.0,-1344.699951171875,3254.18994140625,71.04000091552734,12869.200439453125,-2594.5001220703125,3862.2000122070312,-56.10000133514404,-153.00000190734863,-2581.400146484375,255.0,0.0,False,0.0012310255356595726,-0.46561830702071516,0.0010997509795532083,True,150.0,False,6,False,4,
7,3826,104.0,True,0,2428.8811497129823,-117.0,2839.429931640625,124.47000122070312,-904.8999786376953,24272.39990234375,3926.099853515625,-942.3999786376953,4439.89990234375,-3923.9999389648438,0.0,0.1445062813767877,3.0850727437134897,-2.5419612392897,bf81d8692db,games5425898691,19.0,-77.8499984741211,2680.0,15.819999694824219,-5955.0,13669.599609375,39.50000047683716,43.400001525878906,-49.29999828338623,-2486.999969482422,128.0,0.0,,0.009004842093841094,1.922460871533033,0.01635400449029237,10,False,174.0,False,10,True,,76561198039309853,enpitsu,27.0,-822.5499877929688,2719.139892578125,17.049999237060547,-1739.9000549316406,8924.89990234375,3.3000001311302185,0.19999999552965164,-0.3999999910593033,2441.999969482422,255.0,128.0,,0.016688120042540996,1.7963341820786474,3.9400985027552244e-05,True,6,False,75.0,False,6,,JuicyDingo105,be79cdc75db,27.0,-947.2100219726562,-639.9199829101562,17.010000228881836,5539.7998046875,5324.69970703125,2.0999999344348907,0.3999999910593033,0.3999999910593033,0.7000000029802322,128.0,128.0,False,0.009646412134582522,0.7658162761606947,-5.196647328158462e-05,True,228.0,False,8.0,6.0,4,,Fahad,76561198296790995,27.0,115.29000091552734,401.75,109.68000030517578,859.1999816894531,22203.798828125,-190.0,-5083.500061035156,1540.0,-701.9000244140625,255.0,128.0,False,-1.090094746283507,2.6903461646489184,-1.4053125428374766,True,59.0,False,16,6,12,
8,7884,234.0,True,0,2426.4432892740538,-1387.9000244140625,2763.93994140625,195.72000122070312,6181.7999267578125,15990.400390625,6245.30029296875,5095.5999755859375,571.5000152587891,1513.8999938964844,0.0,-0.45310777628095833,-1.495705424770528,1.920271130723132,76561198039309853,enpitsu,27.0,-1358.260009765625,2673.659912109375,82.5199966430664,9712.39990234375,15687.19970703125,1833.5000610351562,-5130.0,-1701.3999938964844,1018.4999847412109,255.0,255.0,False,0.6171766140005883,0.9819309996941579,-0.5589180346028354,26,False,154.0,False,23,True,,bf81d8692db,games5425898691,19.0,-191.17999267578125,4097.27978515625,16.989999771118164,-15171.500244140625,-10336.300048828125,2.3999999463558197,0.5000000074505806,0.0,-1971.300048828125,255.0,0.0,,0.009561665786427281,-2.613361556412377,4.2975078093231495e-05,True,6,4,31.309316001912595,True,4,,JuicyDingo105,be79cdc75db,27.0,-1196.4599609375,4828.52978515625,17.010000228881836,9758.200073242188,2564.2001342773438,2.0999999344348907,-0.5999999865889549,2.8999999165534973,-1.1999999731779099,38.0,128.0,False,0.009720751973271451,0.25675108204291025,-1.7350559080920524e-06,True,31.0,False,12.0,6.0,False,,Fahad,76561198296790995,27.0,-402.5899963378906,4461.35986328125,17.049999237060547,315.40000915527344,-2657.39990234375,2.8999999165534973,0.5000000074505806,0.5999999865889549,-1268.7999725341797,255.0,0.0,False,0.01658600034361802,-1.3079171204007671,-0.00018532801161208983,True,84.0,False,8,6,4,
9,8819,258.0,True,0,1421.7876945532632,45.31999969482422,4074.449951171875,467.1300048828125,-7668.699951171875,31446.99951171875,715.1999664306641,1237.3999786376953,3765.1998901367188,2018.3000183105469,0.0,0.3565847925427255,-0.6828473550356472,-1.138333188019623,bf81d8692db,games5425898691,19.0,65.70999908447266,3815.10009765625,380.010009765625,-7624.1998291015625,21501.99951171875,2921.400146484375,-4562.5,-2964.5001220703125,-803.0000305175781,255.0,230.0,,0.054620318594361554,1.329291559408581,-0.3156473168056181,16,False,58.698193716746516,True,15,True,,76561198039309853,enpitsu,27.0,4043.580078125,1401.68994140625,136.41000366210938,-1287.5,-13212.900390625,-2096.4999389648438,1460.2999877929688,1225.8999633789062,-989.0000152587891,255.0,128.0,False,0.17213359282179833,-1.6590803571575126,1.0363013344391383,True,2,False,210.0,False,2,,JuicyDingo105,be79cdc75db,27.0,-237.50999450683594,4412.47021484375,104.51000213623047,-1548.9999389648438,380.2000045776367,483.10001373291016,-3794.1000366210938,-2425.2999877929688,2298.3999633789062,255.0,159.0,False,-1.2413963950284237,2.1745123038121603,-2.937083240791383,True,15.345669067034164,True,12.0,9.0,False,,Fahad,76561198296790995,27.0,2728.43994140625,1995.6300048828125,103.72000122070312,1282.4000549316406,16156.500244140625,-142.7999973297119,-5468.900146484375,-271.5999984741211,516.8999862670898,255.0,128.0,False,-0.6240000683947683,-1.105664276285203,2.812455226461387,True,9.0,False,16,4,13,
