,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost_collect
0,169,0,False,False,1,5230.085946538527,37.349998474121094,-19.1200008392334,93.7699966430664,20636.8994140625,-14884.599609375,2951.400146484375,-1258.6000061035156,5131.400146484375,2843.2998657226562,1.0,-0.12807400129770935,0.25747968204059196,0.2016618654791673,4331004931399464621,ALUOKN,27.0,-13.350000381469727,-177.38999938964844,86.70999908447266,-15419.3994140625,16848.1005859375,2436.6000366210938,-2717.5,-4741.499938964844,618.1999969482422,244.0,254.0,,-0.5945871474098586,1.071173051441852,-0.2217414899382631,False,0.0,False,4,False,3,,1662475212074431326,DI7-K,81.0,-3067.10009765625,-4465.7900390625,16.34000015258789,-1650.5000305175781,-10240.50048828125,-1181.8000030517578,-1065.8000183105469,-2342.5999450683594,3196.4999389648438,255.0,255.0,,-0.0315047331663256,-2.102627460192701,0.002349715411517403,True,255.0,False,4,False,4,,enpitsu,76561198039309853,25.0,-37.54999923706055,103.5199966430664,117.13999938964844,13103.599853515625,-16416.700439453125,134.399995803833,3719.2999267578125,2390.0999450683594,-3271.6000366210938,255.0,128.0,,-1.474787342408732,-2.235608728994295,0.07316650762837919,True,2,1,0.0,False,False,,games5425898691,bf81d8692db,20.0,90.08000183105469,213.5800018310547,79.26000213623047,-4447.0001220703125,-22480.0,1922.5,5258.499755859375,1545.7000732421875,456.89998626708984,255.0,216.0,,-0.5885867622268208,-1.1574687369857333,-0.40169483150819824,True,0.0,False,3,4,False,
1,320,5,False,False,1,10007.257796812106,3213.31005859375,-4595.259765625,118.20999908447266,22460.50048828125,7948.3001708984375,11365.899658203125,6.899999976158142,-5776.300048828125,1622.8999328613281,1.0,0.040683350244896596,-0.3174897374579134,-0.2333167379299434,1662475212074431326,DI7-K,29.0,3074.340087890625,-4622.0,16.43000030517578,16972.80029296875,4051.7999267578125,-1331.300048828125,2826.7001342773438,-133.100004196167,-2309.1000366210938,255.0,128.0,,0.01694947978677962,2.908186267681576,0.005068964874713162,True,165.06694206371102,True,4,False,4,,4331004931399464621,ALUOKN,28.0,-1622.8499755859375,-4603.1298828125,18.34000015258789,11968.1005859375,-8134.6002197265625,1.8000000715255737,-1.4000000059604645,1.0000000149011612,720.2999877929688,128.0,128.0,,-0.017137373773170535,-2.601690152487009,-0.00019117613269938115,True,225.0,False,6,False,6,,enpitsu,76561198039309853,25.0,3065.5400390625,131.3300018310547,17.059999465942383,-767.2000122070312,5388.699951171875,1.5999999642372131,-0.0,-1.7000000178813934,-1958.9999389648438,0.0,128.0,,-0.01692476923656586,-1.4989859545761894,-0.00023392782075449934,True,4,4,255.0,False,False,,games5425898691,bf81d8692db,20.0,3185.39990234375,3086.449951171875,17.010000228881836,-902.6000213623047,19130.999755859375,2.0999999344348907,0.3999999910593033,0.3999999910593033,0.7000000029802322,255.0,128.0,,-0.009631954903686984,1.52352158026117,-3.938806177662496e-05,True,,False,6,6,False,
2,360,6,False,False,1,8362.091379018217,3986.97998046875,-2629.840087890625,1014.4199829101562,-3753.0999755859375,20182.39990234375,3451.0000610351562,3452.60009765625,-23.299999237060547,-470.2000045776367,1.0,0.199251034516281,1.530540923631819,-0.6057346911101592,1662475212074431326,DI7-K,29.0,4078.989990234375,-2823.7900390625,915.989990234375,-1.7000000178813934,19884.49951171875,1863.0999755859375,-1534.1000366210938,-0.9000000357627869,-0.19999999552965164,255.0,198.0,,0.07157198923635961,1.5803950268912323,-1.5699637180540615,True,105.0,False,4,False,4,,4331004931399464621,ALUOKN,28.0,120.76000213623047,-4594.64013671875,18.34000015258789,10289.000244140625,9405.399780273438,1.7000000178813934,0.9000000357627869,0.7999999821186066,40.300002098083496,227.0,141.0,,-0.017042033336109062,2.4004381278882962,-5.197188571490961e-05,True,225.0,False,6,False,6,,enpitsu,76561198039309853,25.0,3223.169921875,1239.31005859375,17.059999465942383,459.39998626708984,8160.3997802734375,1.2999999523162842,-0.5000000074505806,-0.0,0.0,0.0,128.0,,-0.01674561244573665,-1.5145194311805315,-5.7970960747533756e-06,True,4,4,255.0,False,False,,games5425898691,bf81d8692db,20.0,1952.6300048828125,4530.77978515625,17.010000228881836,-10337.5,-3809.8001098632812,2.0000000298023224,-0.7999999821186066,0.19999999552965164,20.299999713897705,255.0,128.0,,-0.009641299364130551,-0.3565501600677603,-5.526814602107093e-05,True,255.0,False,6,6,False,
3,414,8,False,False,0,6758.660668239097,-3288.530029296875,-1181.02001953125,442.45001220703125,-12946.99951171875,10590.50048828125,-8709.400024414062,-3795.4000854492188,-1249.4000244140625,4475.799865722656,0.0,-0.7921802109800358,-1.521929567195845,-0.5759362685316164,76561198039309853,enpitsu,25.0,-3193.5,-1364.1800537109375,378.45001220703125,-2164.600067138672,10962.2998046875,4097.900085449219,-1950.0,-1065.999984741211,-1165.8000183105469,255.0,255.0,,-1.2813952407394809,1.3567051916033994,0.02056820036059136,True,180.0,False,6,False,5,,bf81d8692db,games5425898691,20.0,-1147.280029296875,-4432.080078125,17.010000228881836,-890.8999633789062,-3811.0000610351562,2.0000000298023224,2.0000000298023224,-0.3999999910593033,0.0,255.0,128.0,,0.009393465125951949,1.3411274028949471,7.100248618022983e-06,True,255.0,False,6,False,6,,ALUOKN,4331004931399464621,28.0,-1588.3399658203125,2344.89990234375,18.34000015258789,-5328.4002685546875,-12500.50048828125,1.8000000715255737,2.800000011920929,5.0,765.2999877929688,128.0,128.0,,0.01708984921981282,-1.9407628281989435,3.112111972944218e-05,True,6,6,255.0,False,False,,DI7-K,1662475212074431326,28.0,-3493.330078125,-1177.97998046875,47.86000061035156,4050.4998779296875,-19992.900390625,-10624.100341796875,612.7000045776367,-1337.4000549316406,-1018.0999755859375,167.0,34.0,,-0.9427105933276716,-1.3930182809514526,0.17925149142225014,True,92.0,False,4,6,False,
4,475,11,False,False,1,6004.086301811518,3225.7099609375,-393.6700134277344,266.42999267578125,15012.5,23909.599609375,10797.60009765625,5801.9000244140625,-1184.5999908447266,-966.2000274658203,1.0,0.1458264976394307,-0.18524059732004705,-1.388266711474723,4331004931399464621,ALUOKN,28.0,3118.5400390625,-634.3300170898438,182.1199951171875,8654.400024414062,18130.400390625,3356.099853515625,-3978.9999389648438,1578.8999938964844,285.6999969482422,235.0,128.0,,0.19401775998008478,1.9616486824343398,-0.0168223550853824,True,198.52411166314153,True,8,False,7,,1662475212074431326,DI7-K,28.0,1618.5899658203125,1507.800048828125,74.18000030517578,3597.9998779296875,-22645.90087890625,1756.4999389648438,4372.5,3314.8001098632812,377.40001678466797,254.0,175.0,,-0.6958315615779805,-1.7759376929194552,-0.277760092813939,True,69.0,False,8,False,5,,enpitsu,76561198039309853,25.0,3120.75,-387.4800109863281,132.8300018310547,-627.2000122070312,-10019.299926757812,2821.4999389648438,1268.499984741211,540.8000183105469,634.0999984741211,255.0,255.0,,-0.1804470890859502,-1.534648544380109,0.008199210839636872,True,8,7,150.0,False,False,,games5425898691,bf81d8692db,20.0,200.0500030517578,3358.22998046875,17.010000228881836,-8820.599975585938,8576.599731445312,2.3999999463558197,-0.29999999329447746,0.09999999776482582,-2345.5999755859375,255.0,0.0,,-0.009563338007829887,0.8371724364317366,-4.4543434697705556e-05,True,255.0,False,6,6,False,
5,541,13,False,False,0,9159.17370867173,-2418.780029296875,-3891.699951171875,526.760009765625,-4459.2999267578125,21487.60009765625,5341.400146484375,1734.1000366210938,2181.699981689453,-5313.4002685546875,0.0,0.18900850726982185,0.5023778997526164,2.3398300055659766,bf81d8692db,games5425898691,20.0,-2359.56005859375,-4075.25,453.2200012207031,-19465.0,10413.1005859375,4080.10009765625,-3150.4998779296875,-4289.5001220703125,1386.9000244140625,255.0,64.0,,0.037318729453895895,2.560985498448149,0.2697441278007361,True,176.6731011226612,True,8,False,7,,76561198039309853,enpitsu,25.0,-3931.030029296875,1475.6199951171875,37.779998779296875,3303.3999633789062,-15806.400146484375,-1368.0000305175781,239.50000762939453,-1175.8999633789062,-166.49999618530273,255.0,128.0,False,0.09803906787146267,-1.3652460212397979,-0.3938896355135135,True,84.1906065581947,True,8,False,8,,ALUOKN,4331004931399464621,28.0,-3200.8701171875,-3697.699951171875,18.299999237060547,11977.80029296875,-19634.89990234375,2.5999999046325684,0.29999999329447746,0.0,204.50000762939453,255.0,148.0,,0.017059282118971883,-1.0191808361174173,1.5129650477700402e-05,True,8,8,48.66172922042104,True,False,,DI7-K,1662475212074431326,28.0,-3591.75,791.5599975585938,17.0,-921.2000274658203,-14931.600341796875,3.4999999403953552,0.0,0.0,2052.899932861328,160.0,255.0,False,0.00959019035865001,-1.5650595004195025,1.2250264063584036e-05,True,100.0,False,6,8,False,
6,758,21,False,False,1,10176.77502572083,2233.8798828125,-4948.4501953125,97.44000244140625,-23553.30078125,-11003.299560546875,5748.800048828125,-4809.4000244140625,3284.5999145507812,1129.4999694824219,1.0,0.19669450625156118,0.13441703232989638,-0.6869891543332622,4331004931399464621,ALUOKN,30.0,2380.159912109375,-4895.18994140625,17.579999923706055,-16955.0,-12672.39990234375,-531.3999938964844,-2748.2998657226562,-1529.4000244140625,-4511.9000244140625,255.0,0.0,False,-0.014557484214455248,-0.6008452634918023,0.029931968415132626,True,76.7922668764668,True,10,False,10,,1662475212074431326,DI7-K,28.0,2050.199951171875,-4168.5,17.010000228881836,-8630.2001953125,-6186.5997314453125,2.3999999463558197,0.19999999552965164,-0.0,2382.100067138672,255.0,255.0,,-0.00952368018030182,-0.6767736290462518,2.8779791881752652e-05,True,85.0,False,False,False,False,,enpitsu,76561198039309853,25.0,-69.75,-3078.8798828125,17.049999237060547,-3061.400146484375,-6467.8997802734375,2.5999999046325684,-0.7000000029802322,-0.9000000357627869,-581.1000061035156,255.0,128.0,False,-0.01666183274132514,-1.092845705020714,0.00025177104220041815,True,8,8,255.0,False,False,,games5425898691,bf81d8692db,20.0,3105.929931640625,-2477.550048828125,17.010000228881836,-14892.099609375,1363.800048828125,2.0999999344348907,3.8999998569488525,-0.29999999329447746,701.9000244140625,255.0,128.0,,-0.009579749091759153,0.0558604472431373,7.608957826031869e-06,True,31.0,False,8,8,False,
7,806,23,False,False,0,2038.9328898363221,1083.0,4649.27978515625,544.7000122070312,89.0999984741211,8600.399780273438,8395.499877929688,1120.199966430664,5311.199951171875,2556.3999938964844,0.0,-0.19810562649616142,-2.676806272718455,-0.2089324236206627,76561198039309853,enpitsu,25.0,1161.219970703125,4605.93017578125,406.55999755859375,4469.5001220703125,7569.0997314453125,517.7999877929688,4555.7000732421875,-17.5,-3081.300048828125,128.0,255.0,False,-0.8351874779758007,2.652989532173405,-2.042782952086231,True,162.0,False,10,False,9,,bf81d8692db,games5425898691,20.0,-77.37999725341797,2581.39990234375,17.010000228881836,17576.400146484375,4.900000095367432,2.0999999344348907,-0.5000000074505806,0.29999999329447746,-22.5,255.0,128.0,,0.009565114331125888,-0.0027996091558550725,6.753354787360748e-05,True,0.0,False,8,False,8,,ALUOKN,4331004931399464621,29.0,732.4500122070312,5093.419921875,144.4499969482422,17628.199462890625,-956.1000061035156,3858.3999633789062,-1108.8999938964844,-2918.900146484375,-1198.7000274658203,247.0,123.0,False,-0.4463638855069598,-0.5512803902223244,0.060632136672083156,False,12,10,24.865169935328993,True,False,,DI7-K,1662475212074431326,28.0,-131.5500030517578,4896.330078125,17.010000228881836,7702.0001220703125,10153.200073242188,2.3999999463558197,-0.09999999776482582,0.0,2278.9999389648438,150.0,230.0,,0.009580347123484278,0.9886167075565605,-3.0609233757553365e-06,True,85.0,False,False,False,False,
8,926,27,False,False,1,8990.499440981392,-1543.9000244140625,-3513.090087890625,186.82000732421875,-9106.400146484375,16928.399658203125,924.5999908447266,4279.800109863281,4045.7998657226562,-1146.3999938964844,1.0,0.14997211046286912,0.8607397947325796,-2.9310561209655437,4331004931399464621,ALUOKN,28.0,-1461.8800048828125,-3657.1298828125,118.13999938964844,-10700.899658203125,14745.899658203125,3005.7000732421875,-3148.900146484375,-3129.2001342773438,1297.5999450683594,233.0,91.0,False,-0.35906186398289136,0.5336181107729744,0.05156517140526468,True,0.0,False,14,False,11,,1662475212074431326,DI7-K,28.0,-2488.590087890625,-2253.070068359375,134.02000427246094,-6684.000244140625,9985.999755859375,-7550.7000732421875,-462.7000045776367,480.6999969482422,689.4000244140625,225.0,128.0,,0.5439875837392018,0.7254148336315686,0.29486997091731365,True,42.0,False,4,4,False,,enpitsu,76561198039309853,25.0,-1573.2900390625,-3106.22998046875,119.18000030517578,1532.5,-575.2999877929688,3843.0999755859375,-44.29999828338623,-109.30000305175781,-97.60000228881836,128.0,0.0,False,0.0176695810978984,-2.7580995774899515,-0.0006859874353724053,True,12,11,93.0,False,False,,games5425898691,bf81d8692db,20.0,-2663.06005859375,-4446.25,17.010000228881836,-6219.6002197265625,4999.100036621094,2.0999999344348907,-0.5000000074505806,-0.19999999552965164,0.0,255.0,128.0,,-0.009469206248422278,0.6770594461150075,-2.2401826032083965e-05,True,0.0,False,10,10,False,
9,931,27,False,False,0,3218.2220777898524,1728.5799560546875,3277.60009765625,195.1199951171875,18589.3994140625,2825.1998901367188,468.80001068115234,-87.89999961853027,-1723.3999633789062,-5746.400146484375,0.0,-0.9944330632066993,-1.493378050562272,-2.626422801650587,76561198039309853,enpitsu,25.0,1561.43994140625,3163.2900390625,178.35000610351562,-146.5999984741211,5855.0,2674.7000122070312,-4893.699951171875,2506.1000061035156,-142.39999771118164,128.0,0.0,False,-0.017265279569688728,2.63979185917513,0.6019301639399895,True,93.0,False,12,False,11,,bf81d8692db,games5425898691,20.0,2783.639892578125,4355.31982421875,17.010000228881836,7626.099853515625,-5105.4998779296875,2.0999999344348907,-1.7000000178813934,1.2999999523162842,1135.8999633789062,255.0,162.0,,0.00952292615442723,-0.5845286146789741,0.00013751215364675467,True,0.0,False,10,False,10,,ALUOKN,4331004931399464621,28.0,1637.6300048828125,3415.60009765625,147.5500030517578,10069.69970703125,-13825.30029296875,139.89999771118164,4033.900146484375,3738.0999755859375,-60.0,206.0,78.0,False,1.2629913929461432,0.9831122567211334,1.8328710760926534,True,14,11,0.0,False,False,,DI7-K,1662475212074431326,28.0,2596.989990234375,2099.080078125,23.950000762939453,7587.2998046875,-8401.699829101562,-2449.1000366210938,425.60001373291016,5105.400085449219,-2000.8000183105469,225.0,128.0,,-0.3547354105819228,-0.6980086001868944,0.12585737568232044,True,42.0,False,False,4,4,
