,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,170,0,False,False,0,5135.852957598975,80.88999938964844,97.91000366210938,120.2300033569336,13845.699462890625,18565.6005859375,8465.999755859375,5620.999755859375,-1657.5999450683594,1286.9000244140625,0.0,0.08084530792472082,0.23613703019632734,-0.3004736658937268,731525858441281225,Sergichuelo,12.0,69.25,-72.61000061035156,116.12999725341797,14524.100341796875,8150.8001708984375,783.3999633789062,29.500000476837158,460.2000045776367,5480.5999755859375,255.0,43.0,,0.6190248542934481,1.9073659669183012,1.1248582347011442,True,0.0,False,4,3,False,,b5af45d235b,Ziltrix-YT,5.0,134.9499969482422,-4500.0400390625,17.010000228881836,2806.4999389648438,-5843.0999755859375,2.0999999344348907,0.09999999776482582,-0.7000000029802322,0.09999999776482582,128.0,128.0,,0.009531253918734016,2.0183274162079017,6.430107880743933e-05,True,116.0,False,False,False,False,,enpitsu,76561198039309853,27,60.029998779296875,3539.550048828125,17.049999237060547,-117.10000038146973,-10535.400390625,2.5999999046325684,0.7999999821186066,0.0,0.0,255.0,128.0,False,0.01662501288556407,-1.5819424085225733,-1.097719255960393e-06,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,18.0,77.91000366210938,240.1999969482422,87.86000061035156,-2249.499969482422,-16606.700439453125,1568.3000183105469,5294.69970703125,-359.3000030517578,-1444.4000244140625,128.0,154.0,0.794010929090452,-1.8735001675447966,-0.2656685471636591,True,3,False,4,0.0,False,,
1,171,0,False,False,1,5330.334413395571,-114.05999755859375,-93.76000213623047,141.52000427246094,-13401.99951171875,-5630.8001708984375,9026.300048828125,-5203.3001708984375,648.1999969482422,-2916.199951171875,1.0,-0.20198287959408795,-0.331905806559327,-0.4258519584869143,bf81d8692db,games5425898691,18.0,-77.91000366210938,-240.1999969482422,87.86000061035156,2249.499969482422,16606.700439453125,1568.3000183105469,-5294.69970703125,359.3000030517578,-1444.4000244140625,128.0,154.0,,-0.794010929090452,1.8735001675447966,-0.2656685471636591,True,0.0,False,4,3,False,,76561198039309853,enpitsu,27.0,-58.93000030517578,-3440.669921875,17.049999237060547,122.20000267028809,10988.599853515625,2.5999999046325684,-0.7999999821186066,-0.0,0.0,255.0,128.0,False,-0.01662501288556407,1.5819424085225733,-1.097719255960393e-06,True,116.0,False,False,False,False,,Ziltrix-YT,b5af45d235b,5,-134.9499969482422,4500.0400390625,17.010000228881836,-2806.4999389648438,5843.0999755859375,2.0999999344348907,-0.09999999776482582,0.7000000029802322,0.09999999776482582,128.0,128.0,,-0.009531253918734016,-2.0183274162079017,6.430107880743933e-05,True,116.0,False,False,False,False,,Sergichuelo,731525858441281225,12.0,-69.25,72.61000061035156,116.12999725341797,-14524.100341796875,-8150.8001708984375,783.3999633789062,-29.500000476837158,-460.2000045776367,5480.5999755859375,255.0,43.0,-0.6190248542934481,-1.9073659669183012,1.1248582347011442,True,3,False,4,0.0,False,,
2,290,4,False,False,0,7387.620954802494,1472.47998046875,-1857.6600341796875,375.5400085449219,-27200.90087890625,-2057.5999450683594,2911.099853515625,1225.2999877929688,-2270.399932861328,240.49999237060547,0.0,-0.3911006645755757,0.4989677923950482,2.409318550476999,731525858441281225,Sergichuelo,10.0,1630.0,-1886.4100341796875,286.69000244140625,-18930.999755859375,-3505.2999877929688,3519.5001220703125,2134.600067138672,-4048.2000732421875,1123.499984741211,,67.0,,-0.9645944936904863,-2.9222020189975453,0.4629733781404583,True,159.0,False,6,5,False,,b5af45d235b,Ziltrix-YT,6.0,2767.360107421875,-4504.43994140625,17.010000228881836,-11561.600341796875,-190.30000686645508,2.0999999344348907,-0.9000000357627869,-0.5000000074505806,0.0,255.0,128.0,,0.009522551977817288,-3.125068147393633,-4.5405847555756545e-05,True,255.0,False,False,False,False,,enpitsu,76561198039309853,27,1351.219970703125,3971.0400390625,17.049999237060547,-9362.7001953125,-10780.50048828125,2.5999999046325684,0.19999999552965164,0.09999999776482582,-12.200000286102295,255.0,128.0,,0.016768136511328167,-2.2874792481010213,2.5985110507266277e-05,True,255.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-3790.81005859375,661.1599731445312,17.0,3031.7001342773438,16780.699462890625,3.4999999403953552,0.0,0.0,-1981.9999694824219,255.0,0.0,0.009589942189468865,1.321920754404222,1.5293719515135136e-05,True,6,False,6,231.0,False,,
3,408,8,False,False,1,2799.020126481627,1963.93994140625,2552.719970703125,779.3800048828125,3343.5000610351562,12635.30029296875,3510.4000854492188,5379.69970703125,-880.6999969482422,-2506.4999389648438,1.0,0.7824742943500274,2.7523005526827204,-1.1193663564764502,bf81d8692db,games5425898691,19.0,1899.1099853515625,2412.2900390625,647.280029296875,-118.19999694824219,13775.999755859375,798.3999633789062,-1623.5000610351562,4363.2000732421875,2928.3999633789062,255.0,0.0,,0.263666860181111,1.3166754828135099,1.4198246182320824,True,55.509557170252634,True,8,7,False,,76561198039309853,enpitsu,27.0,1277.6300048828125,1305.93994140625,364.5799865722656,6368.599853515625,21373.30078125,4648.699951171875,704.3000030517578,46.19999885559082,-440.29998779296875,128.0,128.0,,1.0106527364686917,-3.1118315485337553,0.943773770236506,True,169.16175502602766,True,2,False,False,,Ziltrix-YT,b5af45d235b,5,1560.530029296875,2934.139892578125,661.8099975585938,8349.099731445312,-11056.300048828125,6302.9998779296875,3103.800048828125,2503.5000610351562,-970.9999847412109,255.0,128.0,,0.6079223192482667,-2.4198887663479716,-0.31416457090741756,True,132.74841279111877,True,4,False,False,,Sergichuelo,731525858441281225,10.0,1706.6500244140625,4479.490234375,17.040000915527344,-5737.1002197265625,9089.69970703125,4.4999998807907104,-0.19999999552965164,-0.0,-2350.0,153.0,0.0,-0.01673979782252064,1.0607199824593976,-3.697578345041034e-06,True,6,False,6,255.0,False,,False
4,442,9,False,False,1,1809.8685730423451,2372.830078125,4093.77001953125,710.719970703125,9842.80029296875,18588.699951171875,-2061.6000366210938,-1015.2999877929688,4157.0001220703125,-635.6000137329102,1.0,0.575408393429512,-2.121457208253166,0.15988314656262523,76561198039309853,enpitsu,27.0,2253.5400390625,3989.530029296875,673.9299926757812,9304.400024414062,20373.00048828125,-273.6000061035156,-455.8000183105469,2722.60009765625,2025.5999755859375,255.0,0.0,,0.4299807313221234,-2.9644183173024365,1.158538268159637,True,147.0,False,2,False,False,,bf81d8692db,games5425898691,19.0,1611.1800537109375,4242.77001953125,451.1400146484375,-2421.199951171875,15129.7998046875,-4792.799987792969,-26.600000858306885,1207.0999908447266,-1370.8999633789062,255.0,0.0,,0.47606817880413876,2.343687599489849,0.35426752426413427,True,44.0,False,8,False,8,,Ziltrix-YT,b5af45d235b,5,2714.090087890625,1419.010009765625,949.9299926757812,9771.400146484375,-12767.80029296875,-1356.9999694824219,-416.8000030517578,2876.9000244140625,-595.099983215332,255.0,255.0,,0.9424931035506413,2.711902927685298,-1.3798645852094242,True,116.0,False,4,False,False,,Sergichuelo,731525858441281225,10.0,1645.1500244140625,5102.93017578125,350.2799987792969,5906.199951171875,-3.3000001311302185,4534.5001220703125,-6.000000238418579,2291.3999938964844,6.299999952316284,255.0,8.0,0.6770186210438373,3.1207979839434623,1.5577734564274,True,6,False,6,255.0,False,,False
5,456,10,False,False,1,1954.447019561162,2843.27001953125,4972.66015625,532.1500244140625,-2683.900146484375,-12185.899658203125,-3090.7998657226562,4412.0001220703125,2126.699981689453,1924.1000366210938,1.0,-0.34499859093994273,-2.078815166515818,-1.795177802492,76561198039309853,enpitsu,27.0,2560.219970703125,4862.6201171875,566.760009765625,6081.099853515625,17056.8994140625,-3667.39990234375,-1174.5999908447266,46.90000057220459,4619.200134277344,255.0,0.0,,0.34704177211263015,2.858295914230084,2.2488795269124835,True,147.0,False,2,False,False,,bf81d8692db,games5425898691,19.0,1495.3499755859375,5015.490234375,124.73999786376953,-2120.0,15221.500244140625,-8027.5,43.29999923706055,1945.8999633789062,-3595.5999755859375,255.0,0.0,,-0.1583277210592078,-2.82521611292941,0.5502451498064944,True,44.0,False,8,False,8,,Ziltrix-YT,b5af45d235b,5,3200.919921875,793.8400268554688,806.3099975585938,10038.200073242188,-12655.6005859375,-4512.39990234375,-745.9999847412109,2005.3999328613281,292.00000762939453,255.0,143.0,,-0.5918208030740171,2.693206935246439,-1.3055395481219003,True,116.0,False,4,False,False,,Sergichuelo,731525858441281225,10.0,2051.77001953125,5102.93017578125,370.92999267578125,9400.2001953125,-1.8000000715255737,-4193.399963378906,3.700000047683716,1344.7999572753906,-1.5000000596046448,255.0,106.0,-0.4418218557345003,3.1231226674808394,1.5788747768870401,True,6,False,6,255.0,False,,False
6,505,12,False,False,0,8326.147673467349,-2508.7099609375,-3028.469970703125,244.57000732421875,366.3999938964844,24069.89990234375,-2624.2999267578125,1987.1000671386719,1661.1000061035156,-724.7000122070312,0.0,-0.8638871266028962,-0.7870654167601446,0.6111112194286665,731525858441281225,Sergichuelo,10.0,-2515.14990234375,-3178.840087890625,286.9200134277344,-1048.8999938964844,21842.5,-178.99999618530273,-5479.6002197265625,-248.89999389648438,-401.6999816894531,241.0,128.0,False,1.3943348855717825,1.6358182420076994,0.03961848187889817,True,190.0,False,8,7,False,,b5af45d235b,Ziltrix-YT,6.0,-3429.31005859375,1184.8699951171875,17.010000228881836,6393.4002685546875,3899.5001220703125,2.0999999344348907,1.1999999731779099,2.800000011920929,-740.8999633789062,0.0,128.0,,0.009838783662973001,0.48348676224270437,0.00018668004370508235,True,116.0,False,4,False,False,,enpitsu,76561198039309853,27,-3715.389892578125,-4181.18994140625,59.439998626708984,-3092.0001220703125,17109.49951171875,-7574.0997314453125,3729.5999145507812,-4035.5999755859375,230.30000686645508,255.0,128.0,,0.3899077990042661,1.714456715552111,0.4676826789490532,True,0.0,False,2,False,False,,games5425898691,bf81d8692db,19.0,-1810.6700439453125,-3171.0400390625,98.66999816894531,-2842.0999145507812,17901.300048828125,-150.0,-4863.0999755859375,-2497.5999450683594,601.3999938964844,255.0,128.0,-0.04850059420764598,-0.681165562653429,3.0007168061010394,True,9,False,10,31.0,False,,
7,516,12,False,False,0,7371.848219653456,-2493.75,-2056.6201171875,96.79000091552734,491.3999938964844,20888.00048828125,3017.60009765625,-5817.5,1283.5000610351562,-712.9000091552734,0.0,0.06912437184947057,-1.0935335730128068,0.4878062795343691,731525858441281225,Sergichuelo,10.0,-2557.780029296875,-2287.6298828125,280.30999755859375,-1047.300033569336,21812.5,-262.00000762939453,-5238.800048828125,-73.69999885559082,5.299999713897705,129.0,128.0,False,-1.1746565145506676,-1.5542056130795587,3.13885212334748,True,190.0,False,8,8,False,,b5af45d235b,Ziltrix-YT,6.0,-3354.7900390625,1224.800048828125,17.010000228881836,1544.6000671386719,587.5,2.0999999344348907,-1.0999999940395355,-1.0999999940395355,-370.40000915527344,255.0,40.0,,0.009504598923958085,0.4375371291227298,-6.985679051231411e-05,True,116.0,False,4,False,False,,enpitsu,76561198039309853,27,-3675.02001953125,-3331.320068359375,17.049999237060547,1693.8999938964844,20520.10009765625,3.8999998569488525,-10.90000033378601,14.900000095367432,1110.999984741211,255.0,128.0,,0.016273479550363287,1.49415116918022,-0.00031861122377662413,True,0.0,False,2,False,False,,games5425898691,bf81d8692db,19.0,-1923.3199462890625,-2440.909912109375,80.36000061035156,-2715.8999633789062,17936.99951171875,-1340.8000183105469,-2617.60009765625,-1170.8000183105469,636.8000030517578,255.0,128.0,-0.5863777844703499,1.480146420751023,0.48167421940011523,True,10,False,10,27.72237423158461,True,,
8,542,13,True,False,0,5468.842656357924,-2448.0,-104.0,94.37000274658203,549.3999862670898,18564.7998046875,1774.1000366210938,-5956.199951171875,600.099983215332,-402.79998779296875,0.0,0.4468385415507787,-0.9085923239721829,0.8908523661369393,731525858441281225,Sergichuelo,10.0,-2631.239990234375,-254.75,14.899999618530273,3406.4999389648438,21087.80029296875,303.799991607666,50.79999923706055,-27.999999523162842,-1830.8999633789062,236.0,0.0,False,0.018958758520298533,1.3450095531300983,0.0010908549797254484,True,190.0,False,8,8,False,,b5af45d235b,Ziltrix-YT,6.0,-3088.159912109375,1176.5799560546875,17.010000228881836,4835.400085449219,-1903.3999633789062,2.0999999344348907,-2.8999999165534973,1.0999999940395355,565.0,255.0,128.0,,0.009500535462085223,-0.38446603361805953,0.00010194937183621883,True,116.0,False,4,False,False,,enpitsu,76561198039309853,27,-3727.449951171875,-1192.27001953125,17.049999237060547,1397.2999572753906,22955.70068359375,2.5,0.0,-0.5000000074505806,-12.5,255.0,128.0,,0.01677934521161861,1.508663569978242,5.098769700294598e-05,True,0.0,False,2,False,False,,games5425898691,bf81d8692db,19.0,-2178.8701171875,-426.2799987792969,16.989999771118164,-1620.7000732421875,22942.80029296875,2.199999988079071,0.0,1.2999999523162842,-202.00000762939453,255.0,128.0,0.00960110374919599,1.6265982260762264,1.608021762656545e-05,True,10,False,10,9.674442780915129,True,,
9,865,16,False,False,0,5220.847493906383,42.130001068115234,4.130000114440918,133.4499969482422,18646.99951171875,-638.1999969482422,11741.8994140625,5280.999755859375,-1483.699951171875,-2430.800018310547,0.0,-0.12342192843235167,0.26267591378171146,0.165840421101154,b5af45d235b,Ziltrix-YT,5.0,-59.66999816894531,-79.41000366210938,90.51000213623047,7675.7000732421875,7353.900146484375,2246.999969482422,-2230.2999877929688,3012.6998901367188,-4024.7000122070312,255.0,128.0,,0.9165116295324267,0.777303080400562,0.07430025205098362,True,0.0,False,4,3,False,,731525858441281225,Sergichuelo,10.0,2859.570068359375,-4088.969970703125,17.049999237060547,17702.099609375,-3138.3999633789062,3.400000035762787,-0.7999999821186066,0.0,2710.7998657226562,255.0,255.0,False,0.01677556880415565,-0.019609340885778856,0.00021857439262647506,True,255.0,False,False,False,False,,enpitsu,76561198039309853,27,11.210000038146973,124.69999694824219,88.41999816894531,-7652.2998046875,-6176.9000244140625,126.80000305175781,1569.6000671386719,785.1999664306641,5122.19970703125,255.0,255.0,,1.377950468488105,-1.8075162297085614,-0.3598481435524274,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,-2730.81005859375,4046.469970703125,17.010000228881836,-16954.49951171875,6404.5001220703125,2.199999988079071,-0.09999999776482582,0.0,1500.0999450683594,255.0,255.0,0.009585603037948823,2.8038518440827738,0.00021000021795277059,True,False,False,False,0.0,False,,
