,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,team_mate_handbrake
0,169,0,False,False,0,5204.539400097201,8.5,14.65999984741211,91.08000183105469,10394.100341796875,24864.7998046875,-1624.1999816894531,-5368.599853515625,-807.0999908447266,-985.4000091552734,0.0,-0.0068983111142985575,-0.008053386848698206,-0.044705008766110055,76561198039309853,enpitsu,23.0,-20.200000762939453,-113.5199966430664,107.11000061035156,13543.699951171875,15015.999755859375,899.4999694824219,918.0999755859375,2181.3999938964844,4964.599914550781,255.0,128.0,,1.2046810976726972,-2.3042016231570157,3.001971965316217,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,21.0,2830.780029296875,-4080.06005859375,17.010000228881836,17711.99951171875,-3625.4998779296875,2.3000000417232513,-1.0999999940395355,0.09999999776482582,1845.5000305175781,255.0,255.0,0.009599850691879784,-0.1478729147645572,0.00011659391567098226,True,0.0,False,False,False,False,,Makel RL,b422365786b,6,165.4199981689453,229.10000610351562,77.13999938964844,-15015.699462890625,-15547.900390625,3542.0001220703125,1977.7000427246094,-337.90000915527344,-1143.0999755859375,255.0,179.0,True,0.09715244338609254,-2.5637336619105717,-0.0704100812960017,True,6,4,False,4.1479485804034795,True,,U GonnaCry U,ba8d602681b,10.0,-144.9600067138672,3819.72998046875,17.010000228881836,315.2000045776367,-8473.400268554688,2.3000000417232513,0.0,-2.7000001072883606,1305.2999877929688,255.0,236.0,,0.009512777241126069,-1.5504436706205673,0.0001578484792446295,True,False,False,False,116.0,False,,
1,170,0,False,False,1,5223.5244155146,25.799999237060547,-10.529999732971191,85.41000366210938,12898.499755859375,-16066.700439453125,-1577.5999450683594,-103.90000343322754,897.9000091552734,5931.500244140625,1.0,0.14708923663796927,-0.0292980500448632,0.03141201152629832,b422365786b,Makel RL,6.0,-80.06999969482422,-145.1999969482422,99.80000305175781,6927.0001220703125,5614.7998046875,2805.7000732421875,4535.199890136719,-1737.8999328613281,2580.7998657226562,255.0,185.0,True,-0.06283069908578086,2.5808584858048276,-0.0694194897832134,True,1.013041006621492,True,6,False,5,,ba8d602681b,U GonnaCry U,10.0,144.9600067138672,-3819.72998046875,17.010000228881836,-315.2000045776367,8473.400268554688,2.3000000417232513,-0.0,2.7000001072883606,1305.2999877929688,255.0,236.0,-0.009512777241126069,1.5504436706205673,0.0001578484792446295,True,116.0,False,False,False,False,,enpitsu,76561198039309853,23,20.200000762939453,113.5199966430664,107.11000061035156,-13543.699951171875,-15015.999755859375,899.4999694824219,-918.0999755859375,-2181.3999938964844,4964.599914550781,255.0,128.0,,-1.2046810976726972,2.3042016231570157,3.001971965316217,True,2,1,False,0.0,False,,games5425898691,bf81d8692db,21.0,-2830.780029296875,4080.06005859375,17.010000228881836,-17711.99951171875,3625.4998779296875,2.3000000417232513,1.0999999940395355,-0.09999999776482582,1845.5000305175781,255.0,255.0,,-0.009599850691879784,0.1478729147645572,0.00011659391567098226,True,False,False,False,0.0,False,,
2,171,0,False,False,0,5172.656637048107,-140.66000366210938,22.790000915527344,92.95999908447266,-26596.298828125,6522.8997802734375,238.50000381469727,943.0999755859375,-2276.1000061035156,-3255.10009765625,0.0,-0.25420798527739163,-0.24730723582468409,0.12320465180477232,76561198039309853,enpitsu,24.0,-20.200000762939453,-113.5199966430664,107.11000061035156,13543.699951171875,15015.999755859375,899.4999694824219,918.0999755859375,2181.3999938964844,4964.599914550781,255.0,128.0,,1.2046810976726972,-2.3042016231570157,3.001971965316217,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,21.0,2830.780029296875,-4080.06005859375,17.010000228881836,17711.99951171875,-3625.4998779296875,2.3000000417232513,-1.0999999940395355,0.09999999776482582,1845.5000305175781,255.0,255.0,0.009599850691879784,-0.1478729147645572,0.00011659391567098226,True,255.0,False,False,False,False,,Makel RL,b422365786b,6,80.06999969482422,145.1999969482422,99.80000305175781,-6927.0001220703125,-5614.7998046875,2805.7000732421875,-4535.199890136719,1737.8999328613281,2580.7998657226562,255.0,185.0,True,0.06283069908578086,-2.5808584858048276,-0.0694194897832134,True,6,5,False,0.0,True,,U GonnaCry U,ba8d602681b,10.0,-135.83999633789062,3732.070068359375,17.010000228881836,1293.6000061035156,-9022.899780273438,2.0999999344348907,-0.7000000029802322,5.400000214576721,1039.4999694824219,255.0,128.0,,0.00953295755372339,-1.395161421092206,2.747129257805926e-05,True,False,False,False,116.0,False,,
3,284,4,False,False,1,7403.701803135244,3946.929931640625,-1605.8599853515625,1133.199951171875,-3856.199951171875,29663.798828125,658.3000183105469,1772.8999328613281,4606.000061035156,-3411.7999267578125,1.0,-0.08697838500906674,0.5825484272839988,-1.4032155618981554,ba8d602681b,U GonnaCry U,10.0,3992.6201171875,-1881.02001953125,1082.1400146484375,-9126.500244140625,20520.50048828125,4534.100036621094,-613.6999893188477,10.800000429153442,-2632.5,128.0,225.0,,0.34153518182313825,1.6634791850953665,-1.3121367596910596,True,244.0,False,4,False,3,,b422365786b,Makel RL,6.0,3476.090087890625,-1205.52001953125,17.010000228881836,-10002.000122070312,-8515.700073242188,2.3000000417232513,-0.0,-0.19999999552965164,-2270.0999450683594,255.0,0.0,-0.009556956628329838,-0.6396831633529775,-1.1419862637800729e-05,True,255.0,False,False,8,8,,enpitsu,76561198039309853,23,-3987.72998046875,653.030029296875,72.44999694824219,3713.0999755859375,12579.7998046875,-2990.2999877929688,-1093.1999969482422,-2042.7000427246094,-1706.9999694824219,255.0,128.0,,-0.26606684622020815,1.8983758301451086,0.6528417021337558,,4,2,False,255.0,False,,games5425898691,bf81d8692db,22.0,98.01000213623047,5085.39013671875,17.010000228881836,12840.2001953125,-5822.8997802734375,2.5,0.09999999776482582,-0.0,-2058.8999938964844,,3.0,,-0.0096340004416147,-2.6503798392537767,-1.7823584690798502e-05,True,4,False,4,255.0,False,,
4,335,6,False,False,0,9168.50684394048,-3310.35009765625,-3704.909912109375,215.77999877929688,-16610.0,-12926.600341796875,11133.1005859375,5202.39990234375,2988.699951171875,42.5,0.0,0.8870750726900257,1.6169676275320406,0.039259022424844116,bf81d8692db,games5425898691,22.0,-3179.14990234375,-3692.9599609375,56.900001525878906,-21719.19921875,6700.4998779296875,3517.7999877929688,312.90000915527344,768.6000061035156,-992.3999786376953,255.0,128.0,,-0.021530036158655827,2.7179223458767816,0.0006516520291399436,True,159.49588807167547,True,5,False,4,,76561198039309853,enpitsu,23.0,2519.320068359375,-3226.199951171875,17.049999237060547,-9444.69970703125,-12684.69970703125,2.5999999046325684,-2.199999988079071,-2.3999999463558197,-567.2999954223633,255.0,128.0,0.016797931274831077,-2.2461933812253583,7.717681207639579e-05,True,255.0,False,False,4,4,,Makel RL,b422365786b,6,-1372.93994140625,395.3500061035156,17.010000228881836,6615.30029296875,-11269.100341796875,2.7000001072883606,0.09999999776482582,-0.5999999865889549,-3073.800048828125,255.0,0.0,False,0.009581985747908422,-1.2277543148440455,-6.687852646275085e-05,True,8,8,False,255.0,False,,U GonnaCry U,ba8d602681b,10.0,-2339.659912109375,-1338.9200439453125,658.3699951171875,9139.7998046875,-17954.7998046875,-7808.0999755859375,135.9000015258789,-12.999999523162842,-29.90000009536743,255.0,128.0,,0.2380206631587806,-1.3603677836814767,0.003953288479719494,True,4,False,4,244.0,False,,
5,395,8,False,False,1,2735.866490152018,2135.0400390625,2700.7900390625,648.510009765625,1563.699951171875,27446.79931640625,2586.6000366210938,2261.7999267578125,6.800000071525574,-5557.2998046875,1.0,-0.6233003472477894,-1.3448107317536544,1.0451809356495336,b422365786b,Makel RL,6.0,2070.919921875,2435.800048828125,578.260009765625,1696.7999267578125,18425.50048828125,5491.9000244140625,2351.199951171875,4448.900146484375,2220.0,255.0,0.0,True,0.2493075672601205,2.449342739828764,-2.6232832186969883,True,186.0,False,10,4,8,,ba8d602681b,U GonnaCry U,10.0,222.07000732421875,1398.8199462890625,127.7300033569336,-9323.099975585938,-18835.899658203125,-158.100004196167,5293.699951171875,-1486.9999694824219,120.60000419616699,255.0,128.0,-0.05000120706300281,1.7860608172599637,3.122540578610146,True,209.0,False,False,5,6,,enpitsu,76561198039309853,24,109.25,5100.830078125,17.049999237060547,9102.899780273438,1821.7999267578125,2.800000011920929,0.29999999329447746,-0.0,-2364.7999572753906,128.0,128.0,False,-0.016831487557207644,-2.605923712821322,7.460139298835132e-05,True,4,4,False,255.0,False,,games5425898691,bf81d8692db,22.0,3167.800048828125,4041.5,16.989999771118164,-16437.19970703125,8644.000244140625,2.0999999344348907,0.19999999552965164,-1.0999999940395355,-86.89999580383301,255.0,128.0,,-0.009553096339773004,0.49422722166492566,8.820545799486072e-05,True,4,False,6,248.70730339839895,True,,
6,429,9,False,False,1,1515.4243239655427,2259.10009765625,4477.830078125,487.5799865722656,14799.300537109375,-12545.50048828125,-10184.099731445312,-1605.8000183105469,652.0999908447266,-5744.1998291015625,1.0,-0.8960952203658542,-2.6897597527829213,1.9333070883715568,b422365786b,Makel RL,6.0,2105.090087890625,4493.60009765625,567.719970703125,2609.4000244140625,16686.400146484375,-3068.0999755859375,-4086.199951171875,1486.0000610351562,-2004.4999694824219,255.0,166.0,True,0.23084386442431593,-2.8070919529501,1.6215968931142155,True,139.69579374149285,True,10,4,8,,ba8d602681b,U GonnaCry U,10.0,-392.0799865722656,-718.02001953125,17.010000228881836,7595.999755859375,-4999.100036621094,3.3000001311302185,-0.29999999329447746,-0.19999999552965164,3518.699951171875,255.0,255.0,-0.00955466132010108,3.1224027629862388,-3.684571858730862e-08,True,240.0,False,False,6,6,,enpitsu,76561198039309853,24,633.6300048828125,4729.72998046875,17.049999237060547,6758.2000732421875,-7855.2001953125,-2.0000000298023224,-0.9000000357627869,1.2999999523162842,-81.5999984741211,255.0,128.0,False,-0.016688116267033204,-2.272149313614688,8.456348901694492e-05,True,4,4,False,220.57646445048755,True,,games5425898691,bf81d8692db,22.0,1905.0899658203125,5103.68994140625,262.4599914550781,3128.2000732421875,-137.29999542236328,7298.0999755859375,-109.20000076293945,2430.800018310547,45.300002098083496,255.0,0.0,,1.1601243924752764,3.135190590836565,1.564812110746618,True,4,False,6,232.0,False,,False
7,496,11,False,False,0,8066.994134996406,-3476.169921875,-2503.239990234375,356.3500061035156,-3723.900146484375,23846.79931640625,7248.699951171875,5010.899963378906,2956.300048828125,1466.300048828125,0.0,0.44806004636448643,-0.6731138124418035,1.4984064336911493,bf81d8692db,games5425898691,22.0,-3406.409912109375,-2642.590087890625,200.8800048828125,-851.8000030517578,21159.599609375,383.80001068115234,-4462.5,-1105.4000091552734,3018.800048828125,255.0,0.0,,-0.0426264250975676,2.1204353106498752,0.21575930571859267,True,133.0,False,8,False,5,,76561198039309853,enpitsu,24.0,-2617.820068359375,-3013.280029296875,17.049999237060547,8926.300048828125,9170.900268554688,2.7000001072883606,4.799999892711639,4.399999976158142,-1525.8999633789062,255.0,128.0,0.016729119586185438,0.7229090928022108,0.00015918970941666504,True,204.0,False,False,4,4,,Makel RL,b422365786b,6,-3595.949951171875,-2077.139892578125,17.0,-5081.199951171875,22431.59912109375,1.0000000149011612,0.19999999552965164,-1.2999999523162842,-1293.800048828125,255.0,0.0,False,0.00959251077330844,1.7754392804722152,-0.00020382029415675,False,10,8,4,63.12541069522981,True,,U GonnaCry U,ba8d602681b,10.0,-1563.8199462890625,1164.1199951171875,17.010000228881836,6160.10009765625,10309.89990234375,2.0000000298023224,2.3000000417232513,2.3000000417232513,-1978.3999633789062,231.0,128.0,False,0.009581563104567894,0.8084490115108395,0.00013811587215774117,True,6,False,6,226.0,False,,False
8,565,14,False,False,0,3660.423622058176,-3885.35009765625,3027.5400390625,158.22000122070312,-28475.50048828125,23378.5009765625,3097.60009765625,1145.8000183105469,-575.4999923706055,5861.300048828125,0.0,0.43768703487273153,1.3823982203458611,-2.4121897794977554,bf81d8692db,games5425898691,22.0,-3787.77001953125,2803.929931640625,144.61000061035156,-2169.1000366210938,22063.798828125,1680.8999633789062,-5319.000244140625,1398.9999389648438,-31.30000114440918,255.0,72.0,,0.389958143317081,1.898378455805858,0.32513531967205067,True,159.0,False,10,False,7,,76561198039309853,enpitsu,24.0,-2023.5400390625,182.5800018310547,17.049999237060547,2296.1000061035156,13913.499755859375,2.5999999046325684,0.0,-0.3999999910593033,-0.5000000074505806,255.0,,0.016768029009476507,1.4071566380117395,4.116573554257736e-05,True,235.0,False,False,4,4,,Makel RL,b422365786b,7,-3298.0400390625,3394.97998046875,17.010000228881836,7632.1002197265625,17348.399658203125,1.899999976158142,1.2999999523162842,0.19999999552965164,23.09999942779541,128.0,128.0,,0.00971497926482699,1.1571152652311363,-6.632312344351281e-05,,12,10,4,53.0,False,,U GonnaCry U,ba8d602681b,10.0,-3718.239990234375,3138.050048828125,113.18000030517578,-13856.300048828125,-6040.8001708984375,2099.9000549316406,-2095.0,2966.300048828125,-245.30000686645508,126.0,255.0,,-0.25667273325636947,-2.8562604752250396,-0.1495384564689722,True,7,False,8,169.54307944031171,True,,
9,648,17,False,False,1,10041.368619074741,1132.6300048828125,-4898.580078125,1142.5999755859375,-2514.7000122070312,7465.9002685546875,2574.5999145507812,3608.3999633789062,-3327.9998779296875,3450.10009765625,1.0,0.3162152570126743,-1.084479949689092,-1.757116820310781,b422365786b,Makel RL,7.0,1126.6500244140625,-4971.5400390625,1015.9199829101562,-2822.39990234375,3539.5001220703125,1569.4000244140625,-1373.5000610351562,-536.1000061035156,-4512.900085449219,255.0,104.0,True,0.0991894053888078,0.3805299310029725,1.665069572804309,True,223.65594833897006,True,14,4,11,,ba8d602681b,U GonnaCry U,10.0,2526.89990234375,-3410.22998046875,17.010000228881836,-13732.7001953125,-3125.7998657226562,0.7999999821186066,2.3000000417232513,-0.0,-748.7000274658203,255.0,44.0,-0.009540710256061182,-0.225405019857988,-0.00010917129633867615,True,133.5384429500949,True,False,8,8,,enpitsu,76561198039309853,23,152.5,-3220.2099609375,17.049999237060547,-2487.2999572753906,-13907.60009765625,2.5,0.3999999910593033,-0.09999999776482582,0.09999999776482582,128.0,128.0,,-0.016803724279100617,-1.3938503564027307,-1.229442845826888e-05,True,4,4,False,215.0,False,,games5425898691,bf81d8692db,22.0,1828.3199462890625,-4046.35009765625,17.010000228881836,-14736.199951171875,4087.0999145507812,0.0,-0.0,0.19999999552965164,-35.19999980926514,255.0,128.0,,-0.009622361084262778,0.27327473691955717,2.5626999886819135e-07,True,8,False,10,158.40395677474237,True,,
