,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,177,0,False,True,1,5186.595519995038,-0.49000000953674316,31.469999313354492,95.25,-532.400016784668,25166.79931640625,1988.2000732421875,5999.89990234375,27.5,-0.5999999865889549,1.0,0.0005227282493411326,-2.494405363651858e-05,-0.11598342095778662,76561198039309853,enpitsu,25.0,4.829999923706055,-101.77999877929688,106.70999908447266,-95.79999923706055,20826.99951171875,48.400001525878906,-5486.7999267578125,-124.49999809265137,359.3000030517578,255.0,128.0,,-1.4328992462764145,1.567145417640847,-0.015526715080216535,True,31.0,False,2,False,1,,bf81d8692db,games5425898691,18.0,-0.0,-5482.759765625,22.09000015258789,-0.0,1435.2000427246094,-55.50000190734863,0.09999999776482582,-0.0,0.0,255.0,,,-0.04891716429984799,1.5707382916034538,1.4200097637135184e-06,True,116.0,False,False,False,False,,SkyZololo,b454705bf8b,7,-0.38999998569488525,301.0899963378906,21.979999542236328,-147.29999542236328,-21329.7998046875,2999.1000366210938,-0.0,-5.5000001192092896,743.7000274658203,216.0,197.0,,-0.009592643868490713,-1.5551042780855038,0.0002757007425409492,True,9.0,False,False,False,3,,lilianbig1,4616243458857636632,9.0,2971.8701171875,4100.08984375,17.010000228881836,15531.300048828125,13330.10009765625,2.5,-0.0,-0.0,2536.4999389648438,255.0,255.0,True,-0.009600425624700419,2.3157541506908728,0.00014790932625568056,True,255.0,False,False,False,False,40.0
1,181,0,False,False,0,5284.194550542339,38.310001373291016,-60.939998626708984,181.67999267578125,5320.10009765625,4470.7000732421875,4792.300109863281,5124.6002197265625,753.6000061035156,-22.59999990463257,0.0,-0.023954212932285054,0.10144352238699172,-0.21848011610847526,b454705bf8b,SkyZololo,7.0,3.7699999809265137,-176.47999572753906,41.279998779296875,826.1000061035156,4646.300048828125,59.29999828338623,2939.2999267578125,289.4000053405762,-1328.0999755859375,208.0,119.0,,-0.8352522631448777,1.476578255953148,0.04747954318192039,True,9.0,False,4,False,3,,4616243458857636632,lilianbig1,9.0,-3069.929931640625,-4192.97021484375,17.010000228881836,-14131.99951171875,-14296.8994140625,2.5,0.0,0.29999999329447746,2954.1000366210938,255.0,255.0,True,0.009602818857317839,-2.1296991329618766,0.00013356236533860832,True,255.0,False,False,False,False,,enpitsu,76561198039309853,25,-7.809999942779541,73.95999908447266,117.94999694824219,-376.89998626708984,-816.1000061035156,1781.199951171875,4895.899963378906,1105.5999755859375,2248.699951171875,255.0,128.0,,1.3563421735855594,1.815902717347479,-3.0977411095386747,True,31.0,False,1,False,2,,games5425898691,bf81d8692db,18.0,0.0,5465.2998046875,21.40999984741211,0.0,-2618.800048828125,-103.69999885559082,0.0,0.0,0.0,255.0,,,0.04891716429984799,-1.5707382916034538,1.4200097637135184e-06,True,116.0,False,False,False,False,
2,182,0,False,False,1,5164.079508972928,-47.70000076293945,62.880001068115234,185.75,-6364.5001220703125,3146.099853515625,2180.8999633789062,2473.2000732421875,538.1000137329102,3857.7999877929688,1.0,0.027328241627166273,-0.16682469365581018,-0.2605365135767023,76561198039309853,enpitsu,25.0,11.0600004196167,-76.27999877929688,133.94000244140625,334.59999084472656,-674.4000244140625,1915.7000732421875,-5172.9998779296875,-1601.4999389648438,961.2999725341797,255.0,128.0,,-0.8477505582955157,-1.9321800433658045,-3.1332125745540855,True,31.0,False,2,False,1,,bf81d8692db,games5425898691,18.0,-0.0,-5438.4501953125,20.350000381469727,-0.0,3705.10009765625,-146.8000030517578,-0.0,-0.0,0.0,255.0,,,-0.04891716429984799,1.5707382916034538,1.4200097637135184e-06,True,116.0,False,False,False,False,,SkyZololo,b454705bf8b,7,-11.600000381469727,147.25999450683594,38.34000015258789,-995.8000183105469,-3364.2001342773438,-523.4000015258789,5280.2001953125,-1534.6000671386719,-117.79999732971191,211.0,108.0,,0.6245867792874749,-1.284471281331042,0.15495283836687263,True,9.0,False,3,False,4,,lilianbig1,4616243458857636632,9.0,3182.10009765625,4314.419921875,17.010000228881836,12714.69970703125,14806.400146484375,2.5,-0.09999999776482582,-0.19999999552965164,3217.60009765625,255.0,255.0,False,-0.009589863110569233,1.8716652980859725,8.968721753340956e-05,True,255.0,False,False,False,False,
3,183,0,False,False,0,5298.026500134589,101.52999877929688,-63.27000045776367,208.9600067138672,9138.499755859375,1630.0,4213.599853515625,-632.9999923706055,-79.49999809265137,3125.2999877929688,0.0,-0.022055067065690423,0.3893607076304115,-0.3340375602550292,b454705bf8b,SkyZololo,7.0,11.600000381469727,-147.25999450683594,38.34000015258789,995.8000183105469,3364.2001342773438,-523.4000015258789,-5280.2001953125,1534.6000671386719,-117.79999732971191,211.0,108.0,,-0.6245867792874749,1.284471281331042,0.15495283836687263,True,9.0,False,4,False,3,,4616243458857636632,lilianbig1,9.0,-3182.10009765625,-4314.419921875,17.010000228881836,-12714.69970703125,-14806.400146484375,2.5,0.09999999776482582,0.19999999552965164,3217.60009765625,255.0,255.0,False,0.009589863110569233,-1.8716652980859725,8.968721753340956e-05,True,255.0,False,False,False,False,,enpitsu,76561198039309853,25,-11.0600004196167,76.27999877929688,133.94000244140625,-334.59999084472656,674.4000244140625,1915.7000732421875,5172.9998779296875,1601.4999389648438,961.2999725341797,255.0,128.0,,0.8477505582955157,1.9321800433658045,-3.1332125745540855,True,31.0,False,1,False,2,,games5425898691,bf81d8692db,18.0,0.0,5438.4501953125,20.350000381469727,0.0,-3705.10009765625,-146.8000030517578,0.0,0.0,0.0,255.0,,,0.04891716429984799,-1.5707382916034538,1.4200097637135184e-06,True,116.0,False,False,False,False,
4,285,3,False,False,1,6646.286727028912,-2750.260009765625,-416.7900085449219,102.83000183105469,-9903.400268554688,3691.9000244140625,1224.800033569336,2523.8999938964844,-2238.2000732421875,-795.1999664306641,1.0,-0.12585206694213774,1.0292848890173705,-0.5998610793693098,76561198039309853,enpitsu,25.0,-2618.260009765625,-549.3200073242188,16.739999771118164,-6500.999755859375,2169.7999572753906,-38.499999046325684,78.49999904632568,67.5,560.2000045776367,0.0,128.0,,-0.007229435823644589,0.29379886328380317,0.0023823997616082317,True,,False,2,False,2,,bf81d8692db,games5425898691,19.0,-3078.77001953125,-1147.3900146484375,17.010000228881836,7650.30029296875,21690.30029296875,-0.19999999552965164,-0.09999999776482582,-0.7000000029802322,0.0,255.0,,,-0.009597958113698004,1.9099021232687108,4.427385635359877e-05,True,197.53625791303568,True,False,False,False,,SkyZololo,b454705bf8b,7,1083.68994140625,8.3100004196167,97.75,13573.299560546875,3740.0,-153.90000343322754,-2318.3999633789062,4987.099914550781,52.5,206.0,123.0,,0.23791689514738068,-0.8146922492404184,3.0404258219142744,,31.0,False,5,False,6,,lilianbig1,4616243458857636632,9.0,-1756.75,2932.419921875,17.0,3770.1998901367188,12851.099853515625,3.3000001311302185,0.29999999329447746,1.2999999523162842,-718.7000274658203,255.0,128.0,,-0.009565208074977924,1.918980739193511,0.0002543736560107354,True,255.0,False,4,False,4,
5,299,4,False,False,1,6779.554891277862,-3229.739990234375,-239.64999389648438,96.44999694824219,-9012.000122070312,3061.6000366210938,713.4999847412109,955.6999969482422,-4277.300109863281,-795.1999664306641,1.0,0.4467236183013629,1.0676446238046498,-2.2352187135713617,bf81d8692db,games5425898691,19.0,-2983.5400390625,-7.340000152587891,17.010000228881836,-7768.0999755859375,21611.10107421875,0.7000000029802322,-0.3999999910593033,-0.0,1970.8000183105469,255.0,255.0,,-0.009560613976841343,1.1478375031909307,-7.499264482454318e-06,True,131.0,False,False,False,False,,76561198039309853,enpitsu,25.0,-2666.10009765625,-534.02001953125,17.049999237060547,-808.7000274658203,219.59999084472656,2.5999999046325684,0.5999999865889549,1.1999999731779099,0.0,255.0,255.0,,-0.016631192109674325,0.2652995509017231,2.8669591954189516e-05,True,,False,2,2,False,,SkyZololo,b454705bf8b,7,1772.52001953125,197.47000122070312,56.45000076293945,13552.7001953125,3715.4000854492188,-2210.2999877929688,-607.0999908447266,2003.0999755859375,164.79999542236328,128.0,91.0,,0.34014621673473655,3.089297422144355,0.2350292574526685,,31.0,False,6,False,6,,lilianbig1,4616243458857636632,9.0,-1508.1199951171875,3564.419921875,17.0,5340.2001953125,13041.700439453125,3.3000001311302185,-0.19999999552965164,-0.7000000029802322,-0.09999999776482582,255.0,128.0,,-0.00959232835895051,1.9594766267475687,6.372282025704119e-05,True,255.0,False,4,False,4,
6,336,5,False,False,1,7082.828568371085,-3981.080078125,3.799999952316284,306.79998779296875,7258.900146484375,-10940.799560546875,-621.5000152587891,-1440.2000427246094,-4840.4998779296875,1912.8999328613281,1.0,-0.31633936687133035,1.3350941402421719,3.0635892383419114,bf81d8692db,games5425898691,19.0,-4078.989990234375,182.2100067138672,386.260009765625,3.8999998569488525,-9422.000122070312,-204.40000534057617,2489.7000122070312,-6.9999998807907104,-5.899999737739563,255.0,255.0,,-0.1003367232404759,-1.5615518292595778,-1.572047910436131,True,131.0,False,False,False,False,,76561198039309853,enpitsu,25.0,-3387.590087890625,-700.6099853515625,17.049999237060547,-3514.8001098632812,2658.2998657226562,2.5999999046325684,0.3999999910593033,-0.3999999910593033,-522.2000122070312,128.0,128.0,False,-0.016849163720161885,0.7599397795504869,0.00022443190242924318,True,,False,2,2,False,,SkyZololo,b454705bf8b,7,3868.909912109375,180.1199951171875,20.829999923706055,13171.99951171875,8401.099853515625,1395.2000427246094,77.39999771118164,-4100.5999755859375,2124.7999572753906,208.0,255.0,,0.10490689970458404,2.519018234089373,-0.07102310760916959,True,255.0,False,6,False,6,,lilianbig1,4616243458857636632,9.0,-2338.340087890625,3991.080078125,17.0,-6612.1002197265625,-14020.999755859375,0.9000000357627869,-0.0,-0.0,483.69998931884766,255.0,128.0,False,-0.00960149131291594,-1.1763119072363528,-0.00023044884610797734,True,217.39441729361013,True,4,False,4,
7,352,6,False,False,1,7290.378853661231,-3564.409912109375,-626.6599731445312,163.19000244140625,-1322.1000671386719,-14065.6005859375,4774.89990234375,4827.0001220703125,1000.8000183105469,3420.10009765625,1.0,-0.30096813852306803,2.32908100187827,-0.35040767435707476,76561198039309853,enpitsu,25.0,-3522.10009765625,-569.5399780273438,22.020000457763672,-1014.8000335693359,1028.1999969482422,2999.2999267578125,-6.899999976158142,-6.600000262260437,0.0,0.0,128.0,False,-0.01713782871578301,0.7920214450565921,-2.2272309315533807e-06,True,,False,4,False,3,,bf81d8692db,games5425898691,19.0,-3982.219970703125,-274.6600036621094,65.44999694824219,5346.6998291015625,-10054.199829101562,-4200.199890136719,-904.0000152587891,-3005.10009765625,-1121.9999694824219,255.0,8.0,,-0.3304290564714606,-2.0626668233177923,-0.5585242055323163,True,131.0,False,False,False,False,,SkyZololo,b454705bf8b,7,4067.2900390625,900.3300170898438,190.64999389648438,-839.4000244140625,13494.300537109375,-2948.2998657226562,-1839.2999267578125,1444.6000671386719,830.6999969482422,208.0,255.0,,-0.2630244809608116,1.5075672283217887,-1.3150942856244432,True,255.0,False,6,False,6,,lilianbig1,4616243458857636632,9.0,-2625.77001953125,2930.419921875,17.0,-1674.4000244140625,-21104.89990234375,1.0999999940395355,0.09999999776482582,4.600000083446503,1254.5999908447266,255.0,131.0,False,-0.009600815299558755,-1.5395526558340864,0.00011706882134026675,True,167.14288178310605,True,4,False,4,
8,447,9,False,False,0,4521.526603662629,3552.280029296875,4329.43994140625,320.20001220703125,-18024.69970703125,6586.099853515625,4999.599914550781,-90.79999923706055,2559.499969482422,5209.69970703125,0.0,-0.4268548554503362,-2.0616571257366396,2.3501725790181855,4616243458857636632,lilianbig1,10.0,3795.1298828125,4235.22021484375,198.9499969482422,-12440.699462890625,13042.39990234375,1278.0999755859375,473.1999969482422,-363.10001373291016,885.4000091552734,255.0,128.0,False,-0.0764671755985364,2.338640567205047,-1.3361156831638428,True,178.72546213673007,True,6,False,6,,b454705bf8b,SkyZololo,7.0,-870.489990234375,1006.280029296875,17.030000686645508,1482.5999450683594,16365.799560546875,-4.000000059604645,-0.19999999552965164,-1.8000000715255737,385.29998779296875,255.0,128.0,,0.009588742197502522,1.5120999711303076,-0.00018990186574044022,True,226.70068820317584,True,6,6,False,,enpitsu,76561198039309853,25,3542.280029296875,2015.6800537109375,17.049999237060547,-2324.499969482422,12403.800048828125,2.5999999046325684,-0.19999999552965164,1.0000000149011612,92.79999732971191,255.0,128.0,False,0.0167166469593176,1.7669980709068267,-0.0001181226087765436,True,,False,4,False,5,,games5425898691,bf81d8692db,19.0,190.08999633789062,4097.06005859375,17.010000228881836,-6100.999755859375,9151.699829101562,2.5,0.09999999776482582,0.5999999865889549,-2215.7000732421875,128.0,0.0,,0.00966983687038021,2.1043474412912073,-4.646248812784575e-05,True,118.0,False,4,False,4,
9,486,11,False,False,1,10266.202833364803,-1228.0,-4904.080078125,387.2200012207031,-18667.7001953125,5805.999755859375,-438.6000061035156,-639.7999954223633,-1430.2999877929688,-3082.60009765625,1.0,0.9283965723252859,3.0358410854670397,1.5344043768386328,bf81d8692db,games5425898691,19.0,-1020.3900146484375,-4942.16015625,287.7300109863281,-12761.800537109375,1526.3999938964844,4505.4998779296875,-1134.7000122070312,-2077.5999450683594,2058.3999633789062,255.0,57.0,,1.2554395428295935,0.7827721747947661,0.747427283328771,True,100.99970751167628,True,6,False,5,,76561198039309853,enpitsu,25.0,-3055.409912109375,-4406.240234375,42.650001525878906,3698.0999755859375,-18112.099609375,-2844.1000366210938,3486.4999389648438,870.1000213623047,741.1000061035156,255.0,255.0,False,0.04020508502271523,-1.8071956246205034,-0.004490730678728441,True,,False,6,6,False,,SkyZololo,b454705bf8b,7,-156.02000427246094,-3509.97998046875,17.030000686645508,-11456.400146484375,-9571.799926757812,0.0,-0.7999999821186066,-0.7999999821186066,-1643.3999633789062,3.0,0.0,,-0.009949499352885503,-0.6464955223162491,-9.769985750302054e-05,True,154.0,False,6,False,6,,lilianbig1,4616243458857636632,9.0,-1426.780029296875,-4753.990234375,184.8800048828125,21365.0,3332.9998779296875,1729.7999572753906,736.3999938964844,-956.8000030517578,-697.3999786376953,128.0,128.0,False,0.901511771411616,-2.3072705721976265,1.2067845324929505,True,130.0,False,6,False,8,
