,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_1_handbrake
0,170,0,False,False,1,5168.386949193708,18.149999618530273,46.709999084472656,109.75,17015.899658203125,-8816.199951171875,4561.000061035156,-1642.7000427246094,-1729.2999267578125,5505.4998779296875,1.0,0.024115517525450384,-0.2222017808585932,-0.08804971939707533,76561198138118100,purp,7.0,3.069999933242798,-122.7300033569336,88.51000213623047,-9731.099853515625,17285.50048828125,2031.6999816894531,-5267.9998779296875,-440.49999237060547,-1517.7999877929688,197.0,27.0,,-0.5674350956305446,0.9959038760360704,0.24339638627853763,True,4,False,0.0,False,3,,76561198118731872,Clay,5.0,-2954.389892578125,-4426.3798828125,16.059999465942383,-5265.10009765625,-11188.599853515625,140.39999961853027,-28.69999885559082,31.500000953674316,35.299999713897705,128.0,128.0,,-0.0070972914946662155,2.025973684936859,0.0029846047077536995,True,85.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,-81.26000213623047,187.74000549316406,89.29000091552734,8160.7000732421875,-21301.4990234375,91.09999656677246,4236.199951171875,3505.7000732421875,118.80000114440918,128.0,231.0,-0.9788104824501094,-0.9877138814174046,-1.2129584212670774,True,False,3,0.0,False,4,,enpitsu,76561198039309853,25.0,3322.2099609375,4363.43017578125,27.850000381469727,7841.5997314453125,10855.699462890625,-2896.9000244140625,-3321.300048828125,2382.5,7.699999809265137,255.0,0.0,,-0.17913989267431907,-0.9449060620320949,0.00012094502242182079,True,255.0,False,2,False,2,,
1,253,3,False,False,0,6620.818605288856,-2484.030029296875,-1287.550048828125,116.87999725341797,7518.900146484375,17684.300537109375,4881.9000244140625,5316.300048828125,1125.0,-2543.699951171875,0.0,0.5578599437323641,2.274282644938275,-2.2619676779670015,76561198039309853,enpitsu,25.0,-2487.1298828125,-1457.1300048828125,17.030000686645508,8263.800048828125,14031.099853515625,2.7000001072883606,-1.0000000149011612,-1.7000000178813934,1763.5000610351562,255.0,128.0,,0.016781023058418186,1.0713583832370976,0.0002553883496935291,True,2,False,121.0,False,2,,bf81d8692db,games5425898691,19.0,-2109.409912109375,-1338.9599609375,26.299999237060547,-8169.6002197265625,-11834.000244140625,-1992.5,3831.400146484375,1708.800048828125,674.1000366210938,255.0,255.0,,-0.051964208650991627,-2.113681812600551,0.3098429002149395,True,61.0,False,6,False,6,,purp,76561198138118100,7.0,-49.29999923706055,576.3099975585938,17.010000228881836,-7957.80029296875,8249.69970703125,2.3999999463558197,-0.5999999865889549,-0.29999999329447746,2276.1000061035156,128.0,255.0,0.00959709166019352,2.4021581573911037,-3.3705489646585596e-05,True,False,4,0.0,False,4,,Clay,76561198118731872,6.0,1240.219970703125,4271.509765625,17.0,-13648.900146484375,1492.1000671386719,3.3000001311302185,-2.199999988079071,0.0,452.00000762939453,255.0,192.0,,0.009560163448265917,3.0303307200528753,3.494324560465882e-05,True,255.0,False,4,False,4,,
2,288,4,False,False,1,6087.081175979315,1565.780029296875,-910.1199951171875,214.24000549316406,20899.29931640625,1916.300048828125,7321.9000244140625,1467.4000549316406,-4353.800048828125,-3858.699951171875,1.0,0.5753144180243084,-1.5198380091173476,-2.36388434840102,76561198138118100,purp,7.0,1371.8499755859375,-973.8800048828125,134.8300018310547,14765.400390625,2671.0000610351562,3585.4000854492188,-3410.0,2580.8999633789062,1027.6000213623047,128.0,255.0,,-0.04837905328934902,-2.892832332599283,-0.0489891244490577,True,6,False,,False,5,,76561198118731872,Clay,6.0,56.15999984741211,-3993.52001953125,17.0,5982.1002197265625,-2503.699951171875,3.3000001311302185,-0.5999999865889549,0.29999999329447746,-11.100000143051147,129.0,128.0,,-0.009640756282148827,-2.742815332949727,7.177451112832744e-05,True,255.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,2912.02001953125,2946.31005859375,17.010000228881836,5992.2998046875,14491.99951171875,2.199999988079071,0.19999999552965164,0.3999999910593033,1534.1999816894531,255.0,255.0,-0.009590820868534546,1.945056254103232,0.0002106852725933419,,False,6,48.0,False,6,,enpitsu,76561198039309853,25.0,1674.449951171875,-374.2799987792969,71.12000274658203,-6175.5999755859375,-19964.89990234375,3958.0999755859375,1194.7000122070312,-352.59998321533203,448.6000061035156,255.0,128.0,,-0.0842387361525465,-1.3142907952827672,0.0018727265567179418,True,53.704051589453094,True,4,False,3,,
3,350,6,False,False,1,5879.27365385523,2740.360107421875,-442.489990234375,96.4800033569336,-8803.400268554688,1222.5,4937.5,-798.4999847412109,-5749.69970703125,-1517.4000549316406,1.0,0.3290568657796944,2.6686760669512672,2.943804219082484,76561198138118100,purp,7.0,2923.8701171875,-454.760009765625,17.010000228881836,-1157.5,1913.9999389648438,2.3999999463558197,1.7000000178813934,2.3999999463558197,983.8999938964844,255.0,255.0,,-0.009699600259900638,1.155646249033245,0.0001092151967987591,True,6,False,31.0,False,6,,76561198118731872,Clay,6.0,1669.3499755859375,-1680.739990234375,17.0,2672.0999145507812,15328.900146484375,3.4999999403953552,-0.19999999552965164,-1.0000000149011612,1894.1000366210938,128.0,255.0,,-0.009636445533109822,1.689889173629131,0.00010573004989745628,True,183.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,1199.3499755859375,3730.4599609375,17.010000228881836,-10148.300170898438,-9758.900146484375,2.199999988079071,-2.3000000417232513,-1.8000000715255737,878.0999755859375,255.0,243.0,-0.009614045967524314,-0.7634680396015339,0.00013302073401060555,True,False,6,79.0,False,6,,enpitsu,76561198039309853,25.0,2057.8798828125,-3774.31005859375,17.020000457763672,18507.2998046875,-4674.2999267578125,2.5,-0.19999999552965164,-0.0,-1487.7999877929688,255.0,128.0,,-0.01678833253711042,-2.8712499690249635,-0.00021975499862993247,True,15.0,False,4,False,4,,
4,379,7,False,False,1,5497.4071563421385,1838.9100341796875,-275.94000244140625,278.67999267578125,-3855.7998657226562,15217.099609375,8965.999755859375,3326.4999389648438,-4961.499938964844,-563.4000015258789,1.0,0.5081923687359146,2.6971909457442895,3.059657798806006,76561198118731872,Clay,6.0,1824.0,-417.3399963378906,133.3000030517578,6634.7998046875,14567.39990234375,2641.4999389648438,-4020.1998901367188,3176.7001342773438,-1364.9000549316406,128.0,128.0,,-0.1815003284546722,2.2880106802768707,-0.012066096019836067,True,6,False,183.0,False,5,,76561198138118100,purp,7.0,2161.860107421875,-322.1400146484375,17.010000228881836,-11034.7998046875,-113.80000114440918,2.0999999344348907,-0.5999999865889549,-0.29999999329447746,0.0,255.0,128.0,,-0.009511465833282289,-0.010363314175319703,-5.321770487686718e-05,True,31.0,False,6,False,6,,games5425898691,bf81d8692db,19.0,98.81999969482422,2947.10009765625,17.010000228881836,-13074.49951171875,3154.7000122070312,2.0999999344348907,-3.700000047683716,1.0000000149011612,-1684.9000549316406,255.0,118.0,-0.009579471246797193,0.3116211474631873,4.067542886861588e-05,True,False,6,110.0,False,6,,enpitsu,76561198039309853,25.0,3841.340087890625,-3462.2099609375,18.190000534057617,8428.599853515625,19859.89990234375,413.6000061035156,-252.09999084472656,-1236.9000244140625,2079.7000122070312,255.0,255.0,False,0.006013776603411544,1.900166679053574,-0.03874101157157372,True,204.0,False,4,False,4,,
5,454,10,False,False,0,8812.212052940795,-851.5800170898438,-3672.10009765625,266.0199890136719,-20388.699951171875,18199.200439453125,-8017.2998046875,-4917.799987792969,330.6999969482422,-3421.300048828125,0.0,1.1572291770363217,0.3779519872447517,-0.44812462157017263,bf81d8692db,games5425898691,19.0,-653.4099731445312,-3845.360107421875,272.67999267578125,-19038.800048828125,7347.60009765625,2261.999969482422,509.70001220703125,-5300.3997802734375,-1376.4999389648438,255.0,255.0,,-0.07202885278191044,2.189969141868685,-0.4667126746666874,True,8,False,71.69113111495973,True,7,,76561198039309853,enpitsu,25.0,-2922.199951171875,-817.989990234375,16.959999084472656,1638.0000305175781,-3178.800048828125,22.799999713897705,-24.100000858306885,-17.100000381469727,23.599998950958252,255.0,128.0,False,0.018112313592565685,-1.0940789205605645,-0.0002864542664264899,True,204.0,False,6,False,6,,purp,76561198138118100,7.0,-872.27001953125,-3106.330078125,229.27999877929688,2379.199981689453,-19786.8994140625,-586.8999862670898,5405.8001708984375,834.8999786376953,-574.0000152587891,128.0,128.0,1.0397487194585036,1.903734711465063,-2.9313116219500066,True,False,7,0.0,False,8,,Clay,76561198118731872,6.0,,,,,,,,,,,,,,,,True,,,,,,,
6,549,13,False,False,0,5476.44164896152,-3898.72998046875,560.1500244140625,771.3599853515625,12171.800537109375,18214.000244140625,2828.3999633789062,-2628.5000610351562,1781.6999816894531,-5090.7000732421875,0.0,-0.2547559591569334,-0.6090741506193136,-2.52044561670638,bf81d8692db,games5425898691,19.0,-4007.510009765625,504.9200134277344,742.1300048828125,7202.80029296875,21060.30029296875,5726.300048828125,-1822.2000122070312,852.6999664306641,5118.800048828125,255.0,45.0,,-0.162332364521581,1.7357505681168472,1.5532462944871543,True,10,False,0.0,False,9,,76561198039309853,enpitsu,25.0,-1990.550048828125,-1103.280029296875,17.049999237060547,6978.900146484375,17132.60009765625,-2.0999999344348907,0.0,-0.09999999776482582,-294.0999984741211,255.0,128.0,False,0.016791865135879172,1.159546028717129,0.000207460131119886,True,175.69378916678892,True,6,False,6,13.0,purp,76561198138118100,7.0,-255.50999450683594,-4257.509765625,94.25,596.6999816894531,16246.99951171875,-147.5,-5460.9002685546875,654.4000244140625,-7.900000214576721,255.0,109.0,-0.6447991381169557,-1.7875057466049082,-3.076451013360564,True,False,9,0.0,False,10,,Clay,76561198118731872,6.0,1842.56005859375,4281.43994140625,17.010000228881836,-9450.0,821.3999938964844,2.0999999344348907,-4.399999976158142,0.5000000074505806,-1716.0000610351562,255.0,128.0,,0.009532908417201641,2.9934708165334682,8.790905789042474e-05,True,116.0,False,False,False,False,33.0,
7,607,15,False,False,1,9349.953569918602,1465.719970703125,-4192.580078125,184.9499969482422,-1530.2000427246094,16401.500244140625,13277.60009765625,4504.4000244140625,-3392.5,2049.7000122070312,1.0,-0.18583108543679602,0.13841731115913455,-3.077963403144477,76561198118731872,Clay,6.0,1471.219970703125,-4319.669921875,111.91999816894531,13985.799560546875,11941.400146484375,1583.6000061035156,-4326.300048828125,-3188.2000732421875,1169.4000244140625,255.0,255.0,,-0.06818352641991694,2.3724600341119033,-0.6959509657331681,True,4,False,32.0,False,3,,76561198138118100,purp,7.0,99.75,460.239990234375,88.91000366210938,784.4000244140625,-20671.69921875,-1504.4999694824219,2316.999969482422,1128.0999755859375,647.6999664306641,255.0,128.0,,0.45012544346514116,-1.5035144971587249,0.48387212317163436,True,61.0,False,12,False,12,,games5425898691,bf81d8692db,19.0,2528.489990234375,-4910.7998046875,130.19000244140625,-6814.000244140625,-19980.400390625,-9129.600219726562,3518.5000610351562,-1756.6000366210938,-3845.0,255.0,0.0,-0.4596059706153952,1.5294439486935267,-0.5016205696215041,True,False,10,,False,10,,enpitsu,76561198039309853,25.0,1140.06005859375,-748.6199951171875,17.049999237060547,532.599983215332,-807.2000122070312,2.3000000417232513,1.0999999940395355,0.29999999329447746,733.0999755859375,255.0,255.0,,-0.0165566554348213,-1.887935507008644,0.00015192119738118004,True,152.0,False,6,False,6,,
8,719,20,False,False,1,3040.209533556405,878.6300048828125,2099.840087890625,111.30000305175781,-1836.7999267578125,9155.399780273438,7765.30029296875,-5768.3001708984375,-1157.2000122070312,1177.699966430664,1.0,-0.009383309348067557,0.33546612012938215,-2.288147068685834,76561198118731872,Clay,5.0,719.1699829101562,2389.75,17.010000228881836,-12891.600341796875,12814.599609375,2.0999999344348907,-0.0,0.3999999910593033,128.90000343322754,255.0,128.0,,-0.009621993750558428,0.7683417318004733,-7.833751743523067e-05,True,4,False,0.0,False,4,,76561198138118100,purp,7.0,1088.77001953125,-2842.080078125,17.010000228881836,-8230.2001953125,11445.999755859375,2.0000000298023224,-0.19999999552965164,0.5999999865889549,-8.299999833106995,255.0,123.0,,-0.009609346330752522,0.9462870164161109,-6.471227257859255e-05,True,92.0,False,12,False,12,,games5425898691,bf81d8692db,19.0,2440.639892578125,424.1000061035156,87.37000274658203,-8341.500244140625,21170.10009765625,-626.6999816894531,-3953.900146484375,-1727.2999572753906,7.400000095367432,255.0,128.0,1.125345415702123,1.162698842456916,0.004204889080639388,True,False,14,208.0,False,14,,enpitsu,76561198039309853,25.0,,,,,,,,,,,,,,,,True,,,,,,,
9,783,22,False,False,0,9284.695996643566,-439.3599853515625,-4133.4599609375,149.41000366210938,26146.79931640625,-3308.3999633789062,-2221.7999267578125,4583.999938964844,-3822.2000122070312,614.0000152587891,0.0,0.27606319038563565,0.20754566233071972,-1.076959971743062,bf81d8692db,games5425898691,19.0,-568.030029296875,-4182.91015625,143.2100067138672,20589.599609375,-5001.300048828125,-312.99999237060547,-1210.999984741211,5339.7998046875,519.3999862670898,255.0,202.0,,1.0069047404115363,0.01366379552313181,-0.20213832285880368,True,16,False,195.49511391116727,True,15,,76561198039309853,enpitsu,25.0,-2304.0,-4607.75,34.18000030517578,-0.19999999552965164,55.0,-540.9999847412109,0.0,0.0,759.0000152587891,255.0,,,-1.3266681147901744e-07,1.605575890045943,7.6282408526469625e-06,True,85.0,False,False,False,False,,purp,76561198138118100,7.0,-247.07000732421875,-208.63999938964844,17.010000228881836,3208.900146484375,-13719.200439453125,2.0999999344348907,-0.09999999776482582,0.7999999821186066,265.2000045776367,255.0,128.0,0.009592953389153612,-1.3182878399950753,-8.209086985323219e-05,True,False,12,92.0,False,12,,Clay,76561198118731872,5.0,2435.0,-4063.239990234375,17.010000228881836,13993.699951171875,1707.5999450683594,2.0999999344348907,0.5999999865889549,0.0,6.1000001430511475,150.0,128.0,,0.009607908314644416,0.12242669443920966,-5.432044708295827e-05,True,61.0,False,4,False,4,,
