,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_ball_cam,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect,opp_2_handbrake
0,166,0.0,False,False,0,5186.044957190718,11.479999542236328,33.970001220703125,104.25,6904.4000244140625,24401.201171875,7155.8001708984375,2366.0000610351562,-2900.8999633789062,4688.900146484375,0.0,-0.07129249182070714,0.1087470760227332,0.051977050930984287,1722548193899721132,Rocco_1004,27.0,-18.09000015258789,-134.66000366210938,14.699999809265137,15791.500244140625,12972.60009765625,-221.5999984741211,458.49998474121094,-372.09999084472656,-458.8999938964844,255.0,0.0,,-0.0064690835963724614,0.69958979093726,0.0038018881483965062,True,12.956533601207122,True,4,4,False,,76561198041307778,bizzzard-du-67,4.0,-2454.530029296875,-4194.02001953125,18.329999923706055,-21672.60009765625,-1639.6000671386719,0.09999999776482582,3.0000001192092896,0.5000000074505806,-1145.5000305175781,255.0,0.0,,0.01707137449998102,-3.076838191080193,-0.0002837319263221498,False,1.0,False,False,False,True,,enpitsu,76561198039309853,24,0.0,2592.419921875,16.079999923706055,0.0,-12499.200439453125,127.89999961853027,-50.70000171661377,0.0,0.0,255.0,,,0.021316931891405884,-1.5707725730857574,-7.37622660070928e-06,True,146.0,False,2,False,2,,games5425898691,bf81d8692db,21.0,22.670000076293945,769.530029296875,46.209999084472656,-3389.2999267578125,-17618.699951171875,3469.2999267578125,443.69998931884766,198.89999389648438,816.8000030517578,128.0,154.0,0.0185173604405466,-1.6703314639800932,-0.005513561998401447,True,31.0,False,False,False,4,,
1,171,0.0,False,False,1,5678.732946936781,-200.99000549316406,-431.7699890136719,243.47999572753906,-20817.900390625,-14424.89990234375,9644.000244140625,2396.699981689453,694.7000122070312,5456.400146484375,1.0,0.4408057589779643,-1.1538799361634735,0.037214380779091484,bf81d8692db,games5425898691,21.0,22.639999389648438,-309.0400085449219,102.8499984741211,1767.7000427246094,21470.0,759.3000030517578,-4361.700134277344,-2761.400146484375,1897.1000671386719,128.0,195.0,,-1.0045466174455666,1.899685714410985,-0.7253949196079396,True,31.0,False,4,3,False,,76561198039309853,enpitsu,24.0,-0.0,-2391.570068359375,17.030000686645508,-0.29999999329447746,11776.300048828125,10.0,6.600000262260437,-0.0,0.0,255.0,255.0,,-0.01712820046460972,1.5707322311795475,5.494395117474808e-07,2,146.0,False,2,False,True,,bizzzard-du-67,76561198041307778,4,2813.449951171875,4184.3798828125,18.329999923706055,21153.89892578125,-3145.5999755859375,3.4999999403953552,1.0999999940395355,-0.0,-1920.8999633789062,255.0,0.0,,-0.01706316833536063,-2.9260701228359256,-0.0001257532187307534,True,1.0,False,False,False,False,,Rocco_1004,1722548193899721132,7.0,-239.1300048828125,-50.400001525878906,16.799999237060547,-18678.199462890625,-11107.19970703125,48.80000114440918,24.30000066757202,-26.19999885559082,-1813.699951171875,255.0,0.0,-0.007536411823861588,-0.48221766879139955,0.0002809376300188506,True,0.0,True,False,4,4,,
2,266,3.0,False,False,1,9929.604422083223,-2332.7099609375,-4250.02001953125,247.4199981689453,-8753.099975585938,6757.1002197265625,7332.19970703125,535.6999969482422,2217.2000122070312,-5549.5001220703125,1.0,0.07414907855965046,-2.4762006356184942,2.253307982904367,76561198039309853,enpitsu,24.0,-2241.47998046875,-4381.3701171875,192.05999755859375,-12823.399658203125,-7914.0997314453125,1921.6000366210938,2318.699951171875,1621.3999938964844,408.80001068115234,128.0,0.0,False,0.01125528550018703,-0.3858090854651689,-0.12783492343199485,True,180.0,False,4,2,False,,bf81d8692db,games5425898691,22.0,3387.4599609375,-385.55999755859375,17.0,-5012.200012207031,-21094.09912109375,1.0000000149011612,0.19999999552965164,0.9000000357627869,-77.1999979019165,255.0,128.0,,-0.009590589337079642,-1.3280792594293802,0.00011390729588985977,4,242.4644644798771,True,4,False,True,,bizzzard-du-67,76561198041307778,5,-1101.989990234375,2493.030029296875,18.329999923706055,-18404.89990234375,-4339.5001220703125,3.1999999284744263,-0.29999999329447746,-0.0,-1216.9999694824219,255.0,26.0,False,-0.017065452132905185,-0.2074905786163693,-0.00017038973760647282,True,255.0,False,4,False,4,,Rocco_1004,1722548193899721132,7.0,-2612.340087890625,-2165.419921875,17.010000228881836,1629.1000366210938,-4698.399963378906,2.0999999344348907,-0.5999999865889549,-0.0,0.0,255.0,128.0,-0.009537456918895742,-1.9045707072081166,1.2818655205068906e-05,True,207.0,False,False,4,4,,False
3,336,6.0,False,False,0,5185.687545484492,3730.780029296875,2798.14990234375,131.60000610351562,2416.3999938964844,9136.599731445312,9079.500122070312,3396.9000244140625,-4667.699890136719,1634.7999572753906,0.0,-0.17907919389268334,-0.3062742717513689,-1.7249993309555542,1722548193899721132,Rocco_1004,6.0,3625.77001953125,2664.580078125,17.010000228881836,7745.5999755859375,3384.1000366210938,0.3999999910593033,-1.0000000149011612,-0.29999999329447746,2410.500030517578,255.0,255.0,,0.009521640589417478,0.42708770159858483,0.000105097557308355,True,227.55072697260044,True,4,4,False,,76561198041307778,bizzzard-du-67,5.0,3380.2099609375,547.030029296875,18.329999923706055,-2368.0999755859375,11395.10009765625,3.6000001430511475,0.3999999910593033,0.5000000074505806,1717.2999572753906,255.0,255.0,,0.017035910838150856,1.787087605075952,0.00022256528573655376,4,191.0,False,4,False,True,,enpitsu,76561198039309853,24,3399.489990234375,3301.280029296875,81.41000366210938,7584.6002197265625,-16741.199951171875,4180.0,1.1999999731779099,-2.0999999344348907,308.799991607666,255.0,255.0,False,0.016819396516019845,-1.1029533189590854,-0.0003451369002782667,True,191.0,False,6,False,3,,games5425898691,bf81d8692db,22.0,-878.0900268554688,4915.990234375,17.0,14547.900390625,3384.4000244140625,3.3000001311302185,-1.0999999940395355,0.9000000357627869,-70.99999904632568,0.0,128.0,0.009883791752112512,0.21787186095842812,8.784140079479706e-05,True,203.0,False,False,4,4,,
4,401,8.0,False,False,1,10499.23258433668,-3534.570068359375,-4378.60986328125,293.3699951171875,-17757.60009765625,23088.89892578125,14831.800537109375,-841.6999816894531,1316.6000366210938,-812.6000213623047,1.0,0.111247497937554,-0.174165561362548,-1.6301766805782825,bf81d8692db,games5425898691,22.0,-3365.719970703125,-4441.580078125,244.77999877929688,-18984.49951171875,-31.700000762939453,1042.6000213623047,1963.9999389648438,-4090.10009765625,-2681.9000244140625,255.0,216.0,,0.05905848337605639,0.017811830008524192,-0.20731777802606552,True,94.49378060781825,True,6,5,False,,76561198039309853,enpitsu,24.0,-3153.8701171875,-2234.179931640625,17.030000686645508,8170.3997802734375,-15047.39990234375,0.7999999821186066,-0.3999999910593033,0.9000000357627869,-28.499999046325684,255.0,128.0,False,-0.016775837364658097,-2.0649631571272273,9.2630327343407e-05,6,128.49378060781822,True,4,False,True,,bizzzard-du-67,76561198041307778,4,-1337.4300537109375,-1935.510009765625,18.329999923706055,7586.7999267578125,-5240.0,3.700000047683716,-2.800000011920929,0.9000000357627869,2027.5,255.0,255.0,,-0.017019001732341447,-2.5283342442582524,0.00036654870423867417,True,191.0,False,4,False,4,,Rocco_1004,1722548193899721132,6.0,-3591.820068359375,-4205.009765625,28.6200008392334,6135.5999755859375,-5643.0999755859375,-76.90000057220459,148.50000381469727,-199.20000076293945,-27.100000381469727,128.0,128.0,-0.022112928317189706,-2.385909726295,-0.28274198730611994,False,213.0,False,False,4,4,,
5,504,12.0,False,False,0,9343.36524366286,3168.219970703125,-3273.1201171875,116.75,15691.300048828125,-13017.7001953125,781.2000274658203,-383.4000015258789,-2185.500030517578,5574.6002197265625,0.0,0.1465663550303917,1.9347161978269527,-0.9713667518163607,76561198041307778,bizzzard-du-67,5.0,3054.1201171875,-3268.840087890625,18.329999923706055,10698.299560546875,-18266.700439453125,2.3999999463558197,-0.19999999552965164,1.4000000059604645,-130.50000190734863,128.0,104.0,,0.01709536156443501,-1.0488712467682677,6.415110123764735e-05,True,158.0,False,6,6,False,,1722548193899721132,Rocco_1004,6.0,1419.010009765625,-1237.530029296875,83.7699966430664,-12109.3994140625,-18951.600341796875,-1914.7000122070312,1378.5000610351562,-1701.6999816894531,-450.9000015258789,249.0,128.0,,-0.3321196177840595,-2.1460425695336385,-0.30147832817219605,8,171.0,False,8,False,True,,enpitsu,76561198039309853,24,1004.510009765625,-137.80999755859375,15.970000267028809,908.8999938964844,-19243.900146484375,-508.4000015258789,1610.3999328613281,77.30000019073486,-5.899999737739563,0.0,128.0,False,0.014666414084037198,-1.5238781404003463,6.175684470759693e-05,True,157.0,False,8,False,6,,games5425898691,bf81d8692db,22.0,3776.64990234375,-1379.699951171875,17.010000228881836,5538.800048828125,-21413.00048828125,2.0999999344348907,0.09999999776482582,-0.3999999910593033,189.69999313354492,255.0,128.0,0.009588308605522728,-1.297028053359376,-0.00011172610088790718,True,9.0,False,False,8,8,,
6,541,13.0,False,False,1,4736.1248146058815,-3741.590087890625,4178.93994140625,748.3599853515625,21231.69921875,11959.599609375,3292.5,-1943.3999633789062,-4752.60009765625,-3103.9999389648438,1.0,-0.5894515345997047,1.3748168828625866,-0.09233719851337531,bf81d8692db,games5425898691,22.0,-3926.0400390625,4082.72998046875,748.3400268554688,10144.299926757812,16950.2001953125,729.1999816894531,-1840.5000305175781,809.1999816894531,-2426.6000366210938,255.0,0.0,,-0.02134114385110317,2.1669008546450943,1.5673991865152377,True,0.0,False,10,8,False,,76561198039309853,enpitsu,24.0,-913.8099975585938,1405.1800537109375,17.049999237060547,1951.6000366210938,13306.8994140625,-1.2999999523162842,-0.3999999910593033,-1.5000000596046448,1771.300048828125,255.0,128.0,False,-0.016731940236089857,1.703509104844784,0.00037154872808796674,8,121.0,False,6,False,True,,bizzzard-du-67,76561198041307778,5,-3351.93994140625,4686.08984375,697.9000244140625,-5380.10009765625,-5382.5,8653.200073242188,1648.0000305175781,-1650.3999328613281,-2.0999999344348907,255.0,255.0,,0.8059047190189507,-0.7610464844264235,-1.5531759881698186,True,247.0,False,6,False,6,,Rocco_1004,1722548193899721132,6.0,188.0800018310547,3721.909912109375,17.010000228881836,8490.700073242188,20303.499755859375,2.3999999463558197,-0.19999999552965164,-0.5999999865889549,2363.3999633789062,255.0,255.0,-0.00958888433782209,1.8710479181850384,0.00023940010914577973,True,171.0,False,False,8,8,,True
7,591,15.0,False,False,0,9535.979904412978,684.0900268554688,-4264.16015625,376.07000732421875,361.30001068115234,23367.80029296875,10526.99951171875,408.3000183105469,-3627.2000122070312,4762.0001220703125,0.0,-0.8516023376624001,0.22905507165538141,0.4440004017218597,1722548193899721132,Rocco_1004,6.0,581.1199951171875,-4379.22998046875,194.32000732421875,12071.400146484375,9149.000244140625,3214.2001342773438,-2531.7999267578125,-828.1999969482422,-4811.7999267578125,255.0,255.0,,-0.8166201026730525,-0.36707879102662655,0.6937483126262652,True,139.0,False,10,9,False,,76561198041307778,bizzzard-du-67,5.0,3074.919921875,-4151.66015625,18.329999923706055,-12425.899658203125,-5700.30029296875,2.8999999165534973,-0.29999999329447746,-0.5999999865889549,29.700000286102295,255.0,128.0,,0.0170005136933855,-2.7075700925914243,-5.8007377255383605e-05,6,247.0,False,6,False,True,,enpitsu,76561198039309853,24,637.3300170898438,-3900.389892578125,184.7100067138672,3535.4000854492188,-16224.599609375,3325.4000854492188,-56.19999885559082,2412.5999450683594,-460.29998779296875,128.0,255.0,,-0.4779185331003193,-1.9751168758381243,-0.0008000971972337961,True,88.0,False,10,False,7,,games5425898691,bf81d8692db,22.0,1465.72998046875,-3502.280029296875,92.58999633789062,-15708.299560546875,14527.39990234375,-139.49999809265137,-4158.399963378906,-3599.5001220703125,-27.999999523162842,255.0,128.0,-1.476653351802976,-0.9113791589579135,-3.087300933095157,True,,False,False,9,12,,
8,686,18.0,False,False,1,8691.419219703559,-828.8400268554688,-3378.550048828125,95.05999755859375,-19238.599853515625,-15757.80029296875,3155.8999633789062,3895.0,-2348.9999389648438,3912.7999877929688,1.0,0.86797524386829,-3.1300125147000544,-1.1141304496508881,bf81d8692db,games5425898691,22.0,-636.4299926757812,-3348.139892578125,73.9800033569336,-16522.19970703125,-15871.199951171875,1998.3000183105469,247.90000915527344,-5466.099853515625,-556.1000061035156,255.0,39.0,,-0.48300151078450865,-0.8139741791981716,0.38931245033732226,True,31.0,False,16,13,False,,76561198039309853,enpitsu,24.0,68.38999938964844,3474.889892578125,17.030000686645508,720.0,-21151.39892578125,0.7999999821186066,-0.0,0.7000000029802322,-63.00000190734863,255.0,128.0,,-0.016777809146304064,-1.5982348130819102,7.753223501115446e-05,10,0.0,False,8,False,True,,bizzzard-du-67,76561198041307778,5,-3617.5400390625,-148.0500030517578,18.329999923706055,-3751.199951171875,-21468.701171875,3.0000001192092896,0.29999999329447746,-0.9000000357627869,173.89999389648438,128.0,128.0,False,-0.017116376596568172,-1.4164728978417254,-0.00012201404339557831,True,255.0,False,8,False,8,,Rocco_1004,1722548193899721132,6.0,-2047.6600341796875,-47.95000076293945,17.010000228881836,5304.1998291015625,-19575.50048828125,2.5999999046325684,0.5000000074505806,-0.7000000029802322,-11.399999856948853,255.0,128.0,-0.009580128401001852,-1.8339020704563613,-4.838834160731492e-05,True,90.0,False,False,12,12,,
9,742,20.0,False,False,1,10603.204072117687,-3310.89990234375,-4592.93017578125,956.6900024414062,-6466.500244140625,11176.400146484375,7629.000244140625,1825.8999633789062,-876.9999694824219,-763.4999847412109,1.0,1.0249333066864914,-3.1325457513328736,-1.5820705652963265,bf81d8692db,games5425898691,22.0,-3244.75,-4795.919921875,819.7999877929688,-7231.9000244140625,7320.8001708984375,9064.600219726562,-1411.1000061035156,-1447.5,8.399999737739563,255.0,0.0,,0.6934006230221837,0.7769738856873647,1.561102117377245,True,0.0,False,16,14,False,,76561198039309853,enpitsu,24.0,7.380000114440918,-922.1300048828125,38.20000076293945,-783.7000274658203,-22855.0,-2456.3999938964844,3329.89990234375,-158.69999885559082,-1.4000000059604645,255.0,128.0,,0.1695404846852638,-1.523123732965441,-0.0009649885551370076,12,61.0,False,10,False,True,,bizzzard-du-67,76561198041307778,5,-4077.659912109375,-3125.110107421875,941.25,2.3999999463558197,-10277.5,7128.3001708984375,-162.90000915527344,0.5000000074505806,-0.19999999552965164,255.0,128.0,False,0.6438919723981307,-1.5495099145482971,-1.5579197123032908,True,255.0,False,8,False,8,,Rocco_1004,1722548193899721132,6.0,-3836.239990234375,-2172.75,18.15999984741211,-16053.900146484375,-1974.1999816894531,611.1999893188477,-121.09999656677246,2106.999969482422,-1741.9999694824219,180.0,5.0,0.0308642205739523,-0.086760610223424,-0.005665664666630965,True,90.0,False,False,12,12,,
