,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,176,0.0,False,False,1,5093.09308534083,82.0999984741211,112.36000061035156,98.25,17173.800048828125,22293.20068359375,1156.9000244140625,-1262.6000213623047,554.0000152587891,5839.4000244140625,1.0,0.036578785665334,-0.29191943194973907,0.05840288400426194,b5b4ca8d29b,matserbæsj,11.0,-97.27999877929688,-128.22999572753906,64.9800033569336,10551.500244140625,19822.60009765625,2700.7998657226562,703.3000183105469,2068.3999633789062,-2631.7001342773438,255.0,0.0,,-0.010224489307309835,1.9236879316010536,0.021395991224628114,True,0.0,False,6,False,5,,b84c84cf60b,empm4ts,12.0,2985.360107421875,-4092.159912109375,17.010000228881836,17498.399658203125,6511.6998291015625,3.1999999284744263,-0.3999999910593033,-0.19999999552965164,3294.2999267578125,255.0,255.0,False,-0.009566706286052155,2.5300211856460635,0.00010660087584273233,True,False,255.0,False,False,False,310.0,enpitsu,76561198039309853,28,-0.0,2640.760009765625,17.059999465942383,0.19999999552965164,-12738.599853515625,2.0000000298023224,-0.0,-0.0,0.0,255.0,255.0,,-0.016731516636862658,-1.5708484134584826,3.7658236847758324e-07,True,116.0,False,2,False,False,,games5425898691,bf81d8692db,16.0,40.0099983215332,388.67999267578125,83.06999969482422,2761.099853515625,-22647.2998046875,2314.499969482422,5024.700012207031,2229.1000366210938,-179.69999313354492,128.0,155.0,,-0.5801442474854248,-1.4604416055748135,-0.3382728277674794,True,4,3,False,31.0,False,
1,177,0.0,False,False,0,5210.676993745548,-206.4499969482422,-24.850000381469727,136.63999938964844,-27026.39892578125,22349.49951171875,7302.9998779296875,3345.5999755859375,-579.0999984741211,4946.7999267578125,0.0,-0.21089313055491374,0.6827949901738589,0.2840632165573225,bf81d8692db,games5425898691,16.0,-61.7599983215332,-207.9499969482422,95.56999969482422,-2586.4999389648438,19160.899658203125,46.10000133514404,-5262.19970703125,-1528.3999633789062,-471.50001525878906,128.0,154.0,,1.1065012297085253,0.8454142676928867,-1.0723188289499175,True,31.0,False,4,False,3,,76561198039309853,enpitsu,28.0,0.0,-2576.64990234375,17.059999465942383,-0.19999999552965164,12880.2001953125,2.0000000298023224,0.0,0.0,0.0,255.0,255.0,,0.016731516636862658,1.5708484134584826,3.7658236847758324e-07,True,False,116.0,False,False,2,,empm4ts,b84c84cf60b,12,-2985.360107421875,4092.159912109375,17.010000228881836,-17498.399658203125,-6511.6998291015625,3.1999999284744263,0.3999999910593033,0.19999999552965164,3294.2999267578125,255.0,255.0,False,0.009566706286052155,-2.5300211856460635,0.00010660087584273233,True,255.0,False,False,False,False,,matserbæsj,b5b4ca8d29b,11.0,36.349998474121094,11.489999771118164,81.08000183105469,-9241.300048828125,-17740.699462890625,2226.7999267578125,-3026.400146484375,-4579.800109863281,-339.70001220703125,255.0,0.0,,-0.11438045700431677,-2.140890561897537,0.41904614375968935,True,6,5,False,0.0,False,
2,309,4.0,False,False,1,8842.512551795053,394.1499938964844,-3688.260009765625,133.1300048828125,-8452.60009765625,-5576.199951171875,4215.799865722656,-3067.0001220703125,739.7000122070312,5103.399963378906,1.0,-0.7632910458844377,-1.852260089026615,2.4571463611036903,b5b4ca8d29b,matserbæsj,10.0,454.5400085449219,-3564.3798828125,17.010000228881836,-13024.7998046875,-5695.4998779296875,2.800000011920929,-0.0,-0.0,-2076.300048828125,226.0,4.0,,-0.00958669497724187,-0.34657816202975633,1.8616841042767144e-05,True,,False,8,False,8,,b84c84cf60b,empm4ts,12.0,382.6199951171875,-4141.41015625,113.33000183105469,-19246.099853515625,-8937.19970703125,-149.89999771118164,-5114.800109863281,-1956.7999267578125,-508.8999938964844,166.0,128.0,,-0.14696646304247057,-0.3540498680356531,1.8874077596422976,True,3,88.0,False,False,4,,enpitsu,76561198039309853,28,431.82000732421875,-2522.969970703125,81.23999786376953,-4234.2999267578125,-15793.599853515625,-428.3000183105469,4467.0001220703125,-1256.2999725341797,61.70000076293945,0.0,128.0,,-1.2692924170201494,1.9006677482940582,-0.06589765102514185,True,14.0,False,4,False,2,,games5425898691,bf81d8692db,17.0,951.4000244140625,-2480.02001953125,17.0,-20628.9990234375,-10097.5,3.8999998569488525,-1.7000000178813934,-0.7999999821186066,1020.5999755859375,255.0,242.0,,-0.00959460022188194,-0.46683373079574964,0.00015731260133277253,True,4,4,False,138.0,False,
3,338,5.0,False,False,1,9492.710611149663,-494.010009765625,-4250.39013671875,229.60000610351562,-6765.8001708984375,4014.1000366210938,5864.1998291015625,-466.5999984741211,-1919.7999572753906,5665.30029296875,1.0,-0.7371922916321236,-2.088619562022174,2.54745991383374,b5b4ca8d29b,matserbæsj,10.0,-465.70001220703125,-4317.93994140625,75.27999877929688,1278.3999633789062,-2226.4999389648438,2225.2000427246094,-4544.599914550781,3091.199951171875,200.30000686645508,128.0,179.0,,0.5651213038275898,-1.603296622964652,-0.3953767823211543,True,,False,10,False,9,,b84c84cf60b,empm4ts,12.0,-1417.969970703125,-5031.85009765625,47.06999969482422,-6095.10009765625,-4182.60009765625,1348.3999633789062,-4250.299987792969,756.2999725341797,3407.6998901367188,255.0,255.0,,0.43242601906158173,-2.1062749067425863,-0.4115701300736479,True,4,119.0,False,False,4,,enpitsu,76561198039309853,28,-352.1600036621094,-4236.77978515625,17.059999465942383,-4988.900146484375,-14873.599853515625,1.1999999731779099,0.5999999865889549,4.4999998807907104,1298.9999389648438,255.0,0.0,,-0.016688724580725373,1.8238412520376959,0.00011529403598680392,True,14.0,False,4,False,2,,games5425898691,bf81d8692db,17.0,-265.260009765625,-4240.66015625,114.47000122070312,-6172.19970703125,-18057.7001953125,3348.3999633789062,836.6999816894531,-144.89999771118164,-1237.699966430664,255.0,0.0,,-0.1557950906601058,-1.1883813143065372,-0.006935840923551921,True,6,4,False,138.0,False,
4,397,8.0,False,False,1,8962.98841186299,-1897.4200439453125,-3376.570068359375,158.8699951171875,-9662.5,20640.90087890625,7013.599853515625,5747.19970703125,1526.9000244140625,798.1999969482422,1.0,-0.6619811055601622,-2.263274135887297,2.906071694277084,b84c84cf60b,empm4ts,12.0,-1801.9200439453125,-3665.2900390625,70.0999984741211,-12166.400146484375,19326.099853515625,2626.300048828125,-4354.800109863281,-2182.7000427246094,-1084.000015258789,128.0,128.0,False,-0.14308239728584707,1.1379952165493605,-0.005910313534644463,True,30.0,False,6,False,5,,b5b4ca8d29b,matserbæsj,11.0,-1448.8800048828125,-4374.35986328125,17.010000228881836,-10498.499755859375,4253.299865722656,2.7000001072883606,0.5999999865889549,-0.19999999552965164,-27.999999523162842,255.0,128.0,,-0.009543093483547522,0.3891720632811416,7.124883880528633e-05,True,10,,False,False,10,,enpitsu,76561198039309853,28,-849.469970703125,-3853.85009765625,104.45999908447266,-4905.400085449219,12685.699462890625,-167.70000457763672,-5091.700134277344,-2078.8999938964844,-42.199997901916504,128.0,128.0,False,-0.8726466002823681,-1.967593554885784,-3.086346622528674,True,0.0,False,6,False,3,,games5425898691,bf81d8692db,17.0,-123.27999877929688,-5819.33984375,173.67999267578125,5901.7999267578125,1487.1000671386719,-4056.400146484375,252.90000915527344,206.90000534057617,498.4000015258789,255.0,236.0,,-0.6708582557877338,-3.083250963760932,-0.589987705714934,True,6,4,False,138.0,False,
5,458,10.0,False,False,1,6339.2924328972995,-3926.75,1025.6700439453125,142.3800048828125,2358.300018310547,13171.300048828125,6342.1002197265625,-3532.5,-775.2999877929688,4787.39990234375,1.0,-0.9957147725582227,-2.731691234009108,-3.1173024051248297,b84c84cf60b,empm4ts,12.0,-3953.02001953125,720.4000244140625,84.0,-1935.7000732421875,22681.298828125,3257.0001220703125,-2597.5,1437.1000671386719,-2140.2000427246094,205.0,51.0,False,-0.02769885712301438,1.5088205857363388,0.1126224879277453,True,255.0,False,8,False,7,,b5b4ca8d29b,matserbæsj,11.0,-2919.60009765625,-2993.929931640625,17.010000228881836,12490.999755859375,3514.2001342773438,2.8999999165534973,-0.0,-0.0,-2287.5999450683594,229.0,0.0,,-0.009565504552165443,2.9348220240817575,-3.26228847065274e-05,True,10,255.0,False,False,10,,enpitsu,76561198039309853,28,-2388.179931640625,-120.55999755859375,25.260000228881836,-8291.699829101562,20386.500244140625,-2633.599853515625,-3058.699951171875,-1333.699951171875,-160.10000228881836,255.0,0.0,False,0.13030980331161768,1.2122388337088998,0.005668208872223624,True,16.36616761710054,True,8,False,6,,games5425898691,bf81d8692db,17.0,189.74000549316406,-2601.989990234375,248.8699951171875,-480.6999969482422,22994.599609375,-126.80000305175781,-5499.2999267578125,-85.0,13.899999856948853,255.0,128.0,,-0.5758541792596731,1.5536669379803456,0.003075841095723891,True,8,5,False,21.0,False,
6,526,12.0,False,False,0,10141.281630714224,3413.6201171875,-4040.02001953125,219.1199951171875,7350.10009765625,-2148.800048828125,7925.9002685546875,5593.800048828125,-2165.7000732421875,136.09999656677246,0.0,-0.3318767530792222,2.9021883422355383,0.9136646034466652,76561198039309853,enpitsu,28.0,3281.330078125,-4095.14990234375,81.66000366210938,7889.000244140625,-1644.7999572753906,4217.900085449219,-105.0,-592.0000076293945,3127.7999877929688,128.0,255.0,False,-0.04993362966204285,0.11523969388824351,-0.007264771029664226,True,230.0,False,10,False,7,,bf81d8692db,games5425898691,17.0,-32.689998626708984,-2962.1298828125,17.010000228881836,-1850.8999633789062,-22200.2001953125,2.5999999046325684,0.0,0.19999999552965164,-216.20000839233398,255.0,128.0,,0.009601824761013846,-1.6765490628591015,0.00011066561091868594,True,6,83.0,False,False,8,,empm4ts,b84c84cf60b,12,3826.81005859375,-3767.7099609375,18.969999313354492,-244.20000076293945,-64.80000019073486,-7.200000286102295,10.0,5.699999928474426,-272.60000228881836,255.0,128.0,False,0.02314685691965714,-2.0783127384842945,0.07052117219399152,True,255.0,False,8,False,8,,matserbæsj,b5b4ca8d29b,11.0,3243.169921875,3117.8798828125,71.58999633789062,1802.5999450683594,-16654.100341796875,2156.199951171875,4143.699951171875,3615.10009765625,-100.29999732971191,149.0,251.0,,0.18261709966566816,-2.1459927621793327,-0.5650755779779432,True,12,11,False,255.0,False,
7,611,15.0,False,False,0,9412.274411017692,3446.239990234375,-3210.800048828125,287.8399963378906,7098.2000732421875,26325.0,8673.099975585938,2936.400146484375,-3517.7999877929688,-221.5999984741211,0.0,1.0576097922687568,2.9508498384065205,0.429523631050826,bf81d8692db,games5425898691,17.0,3396.389892578125,-3347.429931640625,194.42999267578125,7465.4998779296875,16744.300537109375,2223.0999755859375,-735.9999847412109,-3409.8001098632812,-3084.1000366210938,255.0,255.0,,-0.1360145897000867,1.0296823253092138,-0.6045697954452413,True,91.0791142294484,True,10,False,7,,76561198039309853,enpitsu,28.0,2329.330078125,-3150.360107421875,17.049999237060547,-15243.900146484375,-2589.7000122070312,3.8999998569488525,-1.1999999731779099,-0.29999999329447746,-2254.199981689453,255.0,0.0,False,0.016745847445078683,-3.0363275681359534,-0.0002793184527590195,True,8,194.0,False,False,10,,empm4ts,b84c84cf60b,13,3380.52001953125,-3177.429931640625,62.619998931884766,4583.599853515625,-1875.2999877929688,3145.4998779296875,3469.7000122070312,4222.900085449219,-614.7999954223633,0.0,255.0,,0.010133468952145555,-2.2542127746630634,-0.1842011982571247,True,182.0,False,10,False,9,,matserbæsj,b5b4ca8d29b,11.0,3215.7099609375,-376.57000732421875,17.010000228881836,1793.6000061035156,-8807.19970703125,2.5999999046325684,-0.19999999552965164,0.7999999821186066,557.9000091552734,232.0,128.0,,0.009549061026705542,-1.3236033637512203,-0.0002513945321820731,True,12,12,False,255.0,False,
8,725,20.0,False,False,1,10772.086013024536,-2802.580078125,-4977.22998046875,235.14999389648438,-21854.3994140625,-18922.2998046875,6959.5001220703125,-1247.7999877929688,2415.8999633789062,-5348.4002685546875,1.0,-0.6296277170089598,-0.8283624585023248,-2.410405719120319,b5b4ca8d29b,matserbæsj,11.0,-2689.5,-4904.85009765625,168.8800048828125,-5667.5,-18606.99951171875,786.2999725341797,-408.8999938964844,4593.0999755859375,-2619.4000244140625,128.0,173.0,,0.24437281234252997,-1.0937269151757771,-0.704280194957164,True,100.8013074218586,True,16,False,14,,b84c84cf60b,empm4ts,13.0,-3647.050048828125,-1642.77001953125,17.010000228881836,-596.1000061035156,-22785.50048828125,2.5,-0.0,-0.5000000074505806,-0.09999999776482582,144.0,128.0,,-0.009567575956213416,-1.5446219634736504,-4.1289245942618183e-05,True,12,83.0,False,False,12,,enpitsu,76561198039309853,28,-2176.52001953125,-4483.1201171875,45.70000076293945,-14933.199462890625,-17208.199462890625,3142.0999145507812,-2.800000011920929,-2.5,-341.50001525878906,128.0,128.0,False,-0.016760575529292325,-0.8088260501909312,0.0006422837295807304,True,83.0,False,12,False,8,,games5425898691,bf81d8692db,17.0,-2950.3701171875,-4159.580078125,17.010000228881836,10533.1005859375,-14338.499755859375,2.5999999046325684,-0.29999999329447746,-2.0999999344348907,342.5,128.0,178.0,,-0.009749544892337982,-2.207468800996478,7.7267347847698e-06,True,12,10,False,255.0,False,
9,815,23.0,False,False,1,7208.618709143261,-3413.43994140625,-638.6599731445312,93.1500015258789,4770.0,9154.000244140625,0.0,-4995.7000732421875,2724.1000366210938,1903.0000305175781,1.0,-0.2859787255459351,-1.5781768698605243,-1.455237721941951,b84c84cf60b,empm4ts,13.0,-3672.5,-734.1900024414062,100.08999633789062,-2854.8001098632812,21412.39990234375,-165.20000457763672,-5491.300048828125,-39.700000286102295,-306.200008392334,255.0,128.0,False,-0.5704189108013878,-1.4820227005971853,3.1371699739431875,True,0.0,False,14,False,13,,b5b4ca8d29b,matserbæsj,11.0,,,,,,,,,,,,,,,,True,,,,,,,enpitsu,76561198039309853,28,-2959.219970703125,-691.1500244140625,95.73999786376953,1462.2000122070312,22094.3994140625,-262.90000915527344,-4079.5999145507812,2990.1998901367188,-945.1999664306641,128.0,128.0,False,0.5486946385886121,0.7831489128721787,-1.3520221249614874,True,0.0,False,14,False,10,,games5425898691,bf81d8692db,17.0,-852.7899780273438,-1601.530029296875,93.05999755859375,1251.9999694824219,22869.69970703125,-163.4000015258789,-5459.0997314453125,666.2999725341797,-55.999999046325684,255.0,128.0,,-0.4228865076044558,-1.3978600918475048,3.129827106728317,True,14,11,False,171.0,False,
