,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake,team_mate_handbrake
0,169,0.0,False,False,0,5185.627378216561,-33.52000045776367,26.600000381469727,93.98999786376953,-22790.2001953125,19512.60009765625,2126.0000610351562,-3138.9999389648438,-1205.6999969482422,-1123.0000305175781,0.0,-0.020566732061268054,-0.018175282541309287,-0.05212669793663516,1908425442052235441,Atlas_Premium,34.0,91.48999786376953,-107.2300033569336,95.08000183105469,-16170.10009765625,11407.60009765625,2953.2998657226562,3575.4998779296875,-2925.7000732421875,-2984.1000366210938,238.0,255.0,,0.3489242592113178,2.3200699863907266,-0.38765005767198835,True,0.0,False,4,3,False,,16975918336907748554,MattMatt13,21.0,0.0,-2635.35009765625,17.010000228881836,0.0,13819.69970703125,2.0999999344348907,-0.7999999821186066,0.0,0.0,255.0,128.0,0.009498631517434493,1.5707883339511282,-3.803362393823418e-08,True,False,False,False,146.0,False,,enpitsu,76561198039309853,26,0.0,5096.97021484375,17.049999237060547,0.0,9429.199829101562,2.5999999046325684,-0.5999999865889549,0.0,0.0,255.0,,,0.016746716734262104,-1.5707748601881355,1.800075752349675e-07,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,18.0,-46.22999954223633,489.3900146484375,57.77000045776367,410.0,-22825.2001953125,2779.2999267578125,4307.39990234375,-746.9999694824219,-1170.1000213623047,255.0,113.0,0.09144188124883348,-1.6515416184051837,0.005193197637744295,True,4,3,0.0,False,False,,,
1,289,4.0,False,False,1,10303.421391309688,2799.31005859375,-4986.10009765625,818.5499877929688,-11764.3994140625,3256.9000244140625,2578.5000610351562,-3662.0001220703125,4057.0999145507812,2475.7000732421875,1.0,-0.8521702145652493,3.069667263265567,1.537277009282388,76561198039309853,enpitsu,26.0,2920.6201171875,-5032.9501953125,665.260009765625,-10686.600341796875,-4406.7999267578125,3613.699951171875,-81.09999656677246,15.700000524520874,-1320.3999328613281,255.0,,,0.3195826597906858,-0.41405092621951023,1.5608330489552962,True,245.0,False,False,False,False,,bf81d8692db,games5425898691,19.0,-3782.85009765625,1259.3599853515625,26.780000686645508,3038.2998657226562,-22591.10107421875,3066.9000244140625,-28.900001049041748,68.09999942779541,-1.0000000149011612,255.0,,-0.008506711934151732,-1.7056686126854261,0.006516141309170375,True,False,4,5,172.0,False,,MattMatt13,16975918336907748554,21,1866.6800537109375,-1630.9000244140625,17.010000228881836,-10537.5,-12066.800537109375,2.0999999344348907,-0.5000000074505806,-0.5999999865889549,283.4000015258789,255.0,152.0,,-0.009591265574828525,-0.8573528859643618,6.897831442443634e-09,True,False,213.0,False,False,False,,Atlas_Premium,1908425442052235441,17.0,,,,,,,,,,,,,,,True,,,,,,,,
2,333,5.0,True,True,0,648.0593352500362,-957.02001953125,4494.81982421875,399.1099853515625,8712.80029296875,30699.7998046875,-746.8000030517578,3329.1000366210938,-3862.0999145507812,3162.39990234375,0.0,-0.2899782924707779,1.8966172985883911,-2.443295382132344,16975918336907748554,MattMatt13,21.0,-998.780029296875,4235.990234375,314.25,7817.19970703125,21355.80078125,3437.7999877929688,-2553.0999755859375,1749.4000244140625,4546.499938964844,255.0,31.0,,-0.9592489506326204,1.6826860160119543,0.4734316273945756,True,127.0,False,4,3,False,,1908425442052235441,Atlas_Premium,17.0,-2304.110107421875,-4607.72021484375,26.110000610351562,-23.599998950958252,84.79999542236328,-1234.1000366210938,0.0,0.0,563.3000183105469,145.0,,-3.146977711522621e-07,1.6533158246032715,7.622901111478952e-06,True,False,False,False,85.0,False,,enpitsu,76561198039309853,26,-856.1500244140625,5049.72998046875,33.47999954223633,6810.4998779296875,-2216.7999267578125,2367.2999572753906,-1641.9999694824219,21.90000057220459,-175.10000228881836,128.0,128.0,,0.053611334500311164,-0.13954648180265167,0.4274274160723595,True,False,201.2795873841932,True,1,False,,games5425898691,bf81d8692db,19.0,3437.530029296875,2496.39990234375,17.0,1551.1000061035156,22937.80029296875,3.400000035762787,0.5000000074505806,-0.19999999552965164,-4.799999892711639,255.0,128.0,0.009642325292872797,1.5026457221457692,2.2465340928577418e-05,True,6,6,229.0,False,False,,,
3,593,6.0,False,False,0,5203.323138192859,11.130000114440918,16.360000610351562,101.81999969482422,3675.8999633789062,1659.4000244140625,960.8000183105469,1323.800048828125,1540.8000183105469,-1144.000015258789,0.0,0.07610219392661084,-0.08417649785484559,0.06471251298931237,16975918336907748554,MattMatt13,18.0,34.70000076293945,-154.74000549316406,88.16000366210938,-2936.6000366210938,2003.5000610351562,1716.6999816894531,-4194.599914550781,1495.5999755859375,-3227.6998901367188,255.0,76.0,,0.6091961290212652,1.927997841007507,0.39549522073590776,True,0.0,False,4,3,False,,1908425442052235441,Atlas_Premium,16.0,-20.549999237060547,-2583.06005859375,17.010000228881836,-1545.2999877929688,11199.69970703125,2.0999999344348907,0.5000000074505806,-0.29999999329447746,0.0,233.0,128.0,0.009610513748343591,1.7078939580826116,3.273837053484056e-05,True,False,False,False,74.0,False,,enpitsu,76561198039309853,26,-79.69000244140625,133.69000244140625,129.60000610351562,2234.2999267578125,-4751.099853515625,3571.400146484375,5058.2000732421875,1933.3999633789062,961.9999694824219,255.0,0.0,,1.0223893937274953,-0.5591977627815022,0.6322173865840084,True,1,0.0,False,2,False,,games5425898691,bf81d8692db,19.0,-2789.969970703125,4062.280029296875,17.010000228881836,-17065.10009765625,-613.4999847412109,2.3000000417232513,0.3999999910593033,-0.29999999329447746,1925.2999877929688,128.0,255.0,0.009618459417527488,-3.037732029841194,5.1565192108496874e-05,True,False,False,255.0,False,False,,,
4,646,8.0,False,False,0,5640.235173653548,1073.6300048828125,-145.14999389648438,93.1500015258789,4879.800109863281,-679.0000152587891,0.0,744.1000366210938,5347.7001953125,2414.499969482422,0.0,-0.19673660058047127,2.871560203964116,1.4047620315244327,1908425442052235441,Atlas_Premium,16.0,924.6400146484375,-173.42999267578125,17.010000228881836,14379.599609375,4541.199951171875,-0.09999999776482582,0.19999999552965164,0.0,-406.89998626708984,255.0,128.0,,0.009590791143296687,0.2662742871651021,0.0002013362826116125,True,61.68861926499234,True,False,False,False,,16975918336907748554,MattMatt13,19.0,-951.760009765625,-28.6299991607666,17.010000228881836,-10570.30029296875,-1144.5999908447266,2.0999999344348907,-3.1999999284744263,-0.5999999865889549,-689.1000366210938,255.0,128.0,0.009517097272787657,-3.0646480241462357,2.620058190058428e-05,True,False,4,4,31.0,False,17.0,enpitsu,76561198039309853,26,701.8499755859375,65.9000015258789,115.9800033569336,10150.30029296875,5474.0997314453125,-161.5999984741211,-2769.2001342773438,4751.9000244140625,11.000000238418579,255.0,128.0,,1.2205125097731395,-2.619522674915006,3.1356319981690857,True,3,0.0,False,4,False,,games5425898691,bf81d8692db,19.0,-2319.35009765625,3017.75,17.010000228881836,9275.700073242188,10549.200439453125,2.0000000298023224,0.7999999821186066,1.0000000149011612,196.20000839233398,255.0,128.0,0.009583830493599083,0.8736586950669841,-0.0001870928706886018,True,False,False,237.0,False,False,,,
5,805,13.0,False,False,1,7194.192176466605,-3391.9599609375,-636.6599731445312,364.1400146484375,-22504.599609375,19414.599609375,7715.0,3812.39990234375,3192.6998901367188,864.7000122070312,1.0,1.1918327342681254,-2.528968848579932,-2.401261783725881,bf81d8692db,games5425898691,19.0,-3154.02001953125,-840.760009765625,243.60000610351562,-16404.000244140625,15961.8994140625,2263.800048828125,-1343.0999755859375,-2901.300048828125,174.59999084472656,255.0,86.0,,0.46320133333642777,0.22340198193753785,-0.20845982049143025,True,122.27068398844813,True,4,3,False,,76561198039309853,enpitsu,26.0,-1825.6800537109375,-2637.6201171875,17.049999237060547,1296.6000366210938,14125.799560546875,2.5999999046325684,-0.0,0.7000000029802322,5.400000214576721,255.0,128.0,-0.01677667931542171,1.6616105476834997,-5.966919529106185e-05,True,False,6,6,217.0,False,,MattMatt13,16975918336907748554,21,1857.0400390625,2106.06005859375,17.020000457763672,-9689.7998046875,18085.0,0.7000000029802322,-0.19999999552965164,0.7999999821186066,0.0,255.0,128.0,,-0.009607388771691795,1.0789155573135643,-7.403004332395087e-05,True,4,130.0,False,4,False,,Atlas_Premium,1908425442052235441,17.0,-3994.31005859375,490.44000244140625,75.88999938964844,2181.300048828125,9590.0,-1831.300048828125,1735.5000305175781,-1371.9999694824219,1866.1000061035156,245.0,255.0,-0.16629563846203724,1.7520817648051787,0.6965690384694158,True,False,False,221.0,False,False,,,False
6,864,16.0,False,False,0,7937.339902958157,1575.219970703125,-2402.840087890625,112.38999938964844,-25701.59912109375,-7256.6998291015625,5863.4002685546875,3886.199951171875,213.79999160766602,4550.7000732421875,0.0,-0.35002031800820516,1.1968489484793938,-2.4094325625750006,1908425442052235441,Atlas_Premium,16.0,1747.969970703125,-2425.9599609375,59.900001525878906,-20484.3994140625,-10137.7001953125,2558.8999938964844,2491.199951171875,2157.2000122070312,-2247.2000122070312,242.0,216.0,,-0.0033594438877913037,-3.0352873958947986,-0.03262185194823969,True,172.0,False,4,3,False,,16975918336907748554,MattMatt13,19.0,1264.8399658203125,-2696.18994140625,114.48999786376953,16257.7001953125,16025.2001953125,2785.0,-3528.2998657226562,3568.3999633789062,4.300000071525574,255.0,128.0,0.16547254510418305,0.7798334847986995,1.561498455629421e-05,True,False,5,6,91.0,False,,enpitsu,76561198039309853,26,1207.02001953125,-1706.97998046875,17.049999237060547,-9414.099731445312,-20334.300537109375,3.3000001311302185,-0.19999999552965164,-0.29999999329447746,-2712.2000122070312,255.0,0.0,False,0.01678513810460924,-2.1645171476767557,-0.0001878590805218957,True,6,78.0,False,6,False,,games5425898691,bf81d8692db,19.0,4078.989990234375,296.5400085449219,396.07000732421875,-2.5999999046325684,9735.399780273438,-648.7999725341797,35.899999141693115,0.0,-0.19999999552965164,255.0,128.0,0.03158028874400392,1.5612748070712599,-1.5711182038659501,True,4,4,108.0,False,False,,,
7,866,16.0,False,False,0,7843.635303369706,1376.27001953125,-2367.2900390625,188.86000061035156,-8008.4002685546875,27415.80078125,12041.8994140625,2722.39990234375,-1900.8999633789062,4997.39990234375,0.0,-0.7500855453786139,1.8701002672259648,-2.490765199233923,16975918336907748554,MattMatt13,19.0,1392.050048828125,-2575.0,132.7899932861328,13826.300048828125,12476.099853515625,1574.4999694824219,-4639.89990234375,2735.4998779296875,1112.5,255.0,128.0,,0.7851058370554759,0.8371512030342305,-0.12629664528249357,True,91.0,False,6,5,False,,1908425442052235441,Atlas_Premium,16.0,1542.8199462890625,-2527.360107421875,81.95999908447266,-20541.4990234375,-10138.099975585938,1903.6000061035156,4452.300109863281,-3139.8001098632812,-753.7000274658203,238.0,239.0,0.26122011807767265,3.040320628412305,-0.6515457202564745,True,False,3,4,172.0,False,,enpitsu,76561198039309853,26,1097.56005859375,-1895.93994140625,17.049999237060547,-12426.400146484375,-17213.1005859375,4.000000059604645,-0.29999999329447746,-0.29999999329447746,-3297.9000854492188,255.0,0.0,False,0.016784483090561353,-2.4688516001537524,-0.0001606428929956827,True,6,78.0,False,6,False,,games5425898691,bf81d8692db,19.0,4078.989990234375,379.9800109863281,390.7099914550781,-2.5999999046325684,10230.10009765625,-636.3000106811523,37.69999980926514,0.0,-0.09999999776482582,255.0,128.0,0.028476102170542354,1.5612728632187138,-1.5710635197258207,True,4,4,108.0,False,False,,,
8,968,19.0,False,False,1,8844.73820037708,1142.949951171875,-3701.2900390625,218.19000244140625,15332.19970703125,15090.10009765625,6007.19970703125,-5115.799865722656,-3129.2999267578125,188.60000610351562,1.0,-0.669281093329472,-0.5045474001294816,-3.031071787974617,76561198039309853,enpitsu,26.0,1003.8599853515625,-3739.2900390625,74.37000274658203,12774.49951171875,2546.6000366210938,3148.5000610351562,-2097.899932861328,480.09998321533203,1643.5000610351562,255.0,128.0,False,-0.016849142851795753,-2.9298549483356733,-0.018658269119956848,True,4.0,False,8,7,False,,bf81d8692db,games5425898691,19.0,783.8200073242188,-3678.4599609375,19.479999542236328,17310.2001953125,5854.1998291015625,2958.900146484375,-0.29999999329447746,-0.0,-50.19999980926514,255.0,128.0,-0.009579905522524707,2.8218861532849466,6.368244450636931e-05,True,False,6,7,54.0,False,,MattMatt13,16975918336907748554,20,-3067.739990234375,4469.10009765625,17.0,7321.199951171875,17827.099609375,3.4999999403953552,0.19999999552965164,0.5000000074505806,-1957.4000549316406,255.0,0.0,,-0.009589197595614548,2.0295765785020077,-6.888133792318304e-05,False,6,255.0,False,6,False,,Atlas_Premium,1908425442052235441,17.0,680.77001953125,1965.260009765625,17.010000228881836,13513.1005859375,-1841.1000061035156,2.0999999344348907,-0.5999999865889549,-0.0,-22.59999990463257,249.0,128.0,-0.009570962646735933,-3.002752182425663,6.45713698053266e-05,True,4,4,172.0,False,False,,,
9,1064,23.0,False,True,1,4751.561767654771,2778.300048828125,777.1699829101562,201.66000366210938,-11980.2001953125,20292.5,1004.1000366210938,-2083.0999755859375,2731.6000366210938,-4919.200134277344,1.0,-1.0430419659595689,-0.11248074771329732,-0.7060913020260338,bf81d8692db,games5425898691,19.0,2851.780029296875,673.7000122070312,100.22000122070312,-17256.600341796875,10047.999877929688,2739.5001220703125,-5467.7001953125,87.5,-588.6000061035156,255.0,0.0,,-0.17895349342614914,0.1720620085875615,0.7061947120821821,True,85.0,False,10,9,False,,76561198039309853,enpitsu,26.0,1912.030029296875,-4542.77978515625,17.049999237060547,-14946.600341796875,9215.900268554688,-1.5000000596046448,-1.0000000149011612,0.5999999865889549,-1928.8999938964844,255.0,0.0,-0.01678369207930491,0.6095501401857197,-5.9725251636007375e-05,True,False,8,8,175.0,False,,MattMatt13,16975918336907748554,20,1238.010009765625,2215.090087890625,17.020000457763672,-3627.0999145507812,-8712.39990234375,1.1999999731779099,-0.0,-0.0,-2458.699951171875,255.0,0.0,,-0.00952319781367476,-1.1300547830176355,1.1710469981371163e-06,True,6,217.0,False,6,False,,Atlas_Premium,1908425442052235441,16.0,3657.919921875,109.87999725341797,17.010000228881836,4074.4000244140625,-16933.900146484375,1.899999976158142,-0.9000000357627869,3.100000023841858,-944.4999694824219,243.0,0.0,-0.009597027703623055,-1.814909930161391,-0.00022173032197993981,True,4,4,254.0,False,False,160.0,,False
