,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,524,12,False,0,6145.287711634494,-1159.8699951171875,-999.6199951171875,119.94999694824219,2779.5999145507812,24316.79931640625,6786.099853515625,2661.9000244140625,-5105.5999755859375,-1687.2000122070312,0.0,-0.6672354480125299,-2.1139918100086126,-2.2880793683290968,76561199018245089,AZ.,27.0,-1193.1300048828125,-1188.9200439453125,61.0099983215332,-3742.39990234375,19975.50048828125,2896.4999389648438,-2363.3999633789062,3516.300048828125,-965.5000305175781,255.0,0.0,False,0.011276748580998903,2.1474436489364988,0.052904218986012094,True,10,9,False,73.0,False,,511711046658433160,zi9k__,18.0,-3140.64990234375,542.0800170898438,16.989999771118164,-17163.1005859375,-11654.49951171875,4.600000083446503,-0.19999999552965164,0.0,0.0,255.0,128.0,,0.009610058624420898,-2.5450637654261326,-3.120805234435391e-05,True,8,8,False,0.0,False,,enpitsu,76561198039309853,26,-491.760009765625,5101.2900390625,16.139999389648438,-5770.999755859375,-3001.7999267578125,140.6999969482422,-2.3999999463558197,-48.20000171661377,1291.4999389648438,0.0,128.0,False,0.015340606875926924,-2.1747674223283595,-0.0027011055365593816,True,72.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,122.19000244140625,1249.719970703125,17.0,-19032.80029296875,12243.299560546875,3.3000001311302185,-0.3999999910593033,0.19999999552965164,1073.499984741211,255.0,212.0,0.009592353149915796,2.5914105224030064,0.00012340904298958089,True,4,4,35.0,False,False,,
1,924,27,True,0,1361.7506328904437,386.8299865722656,4683.14990234375,597.1099853515625,-1727.5,19201.099853515625,-2910.7998657226562,-1448.9999389648438,1035.8999633789062,5729.5001220703125,0.0,1.0837303851122968,1.7432983637318364,-3.0912495762584604,511711046658433160,zi9k__,18.0,372.30999755859375,4489.56005859375,533.72998046875,7764.4000244140625,10165.700073242188,-258.0999946594238,-568.4999847412109,-29.30000066757202,-127.79999732971191,255.0,128.0,,-0.25950696601534856,1.6837775208567116,-0.6247529009373817,True,12,8,4,97.13161310329232,True,,76561199018245089,AZ.,27.0,1452.81005859375,3758.22998046875,17.0,-7337.1002197265625,-11674.599609375,3.3000001311302185,2.800000011920929,5.400000214576721,479.50000762939453,255.0,19.0,False,0.009583347023123348,-2.059986279627394,-0.00022947611770519834,True,14,12,4,70.0,False,,enpitsu,76561198039309853,26,434.7900085449219,4993.85009765625,363.32000732421875,889.3000030517578,-1976.3999938964844,664.1000366210938,2526.999969482422,281.1000061035156,-3752.6998901367188,255.0,0.0,False,0.28272396686450557,-1.9027825571328567,-0.07836758080702774,True,0.0,False,8,2,6,,games5425898691,bf81d8692db,19.0,-802.4099731445312,4517.56005859375,15.84000015258789,6870.4998779296875,-2242.7000427246094,-863.0999755859375,4866.499938964844,2554.2999267578125,204.79999542236328,255.0,128.0,0.01093169530167386,0.5201188604534492,-0.2327364246719722,True,10,10,66.0,False,False,,
2,1260,30,True,1,3717.9748587165486,368.67999267578125,1459.6099853515625,364.1199951171875,-1241.8000030517578,31916.59912109375,-4370.7000732421875,-2945.2999877929688,-2135.5999755859375,-3620.10009765625,1.0,0.4341330165846,1.3025949889540247,2.043282543590113,76561198039309853,enpitsu,26.0,384.2900085449219,1259.0899658203125,354.3699951171875,-3039.89990234375,22745.80078125,1544.4000244140625,-3594.5001220703125,-3833.599853515625,-1622.5,255.0,255.0,,0.03963383894188023,1.6103432933082071,-0.48792173637340397,True,4,3,False,66.0,False,,bf81d8692db,games5425898691,19.0,294.2099914550781,1100.1300048828125,17.010000228881836,3254.2999267578125,7268.800048828125,2.0999999344348907,0.29999999329447746,1.1999999731779099,-375.6999969482422,255.0,123.0,,-0.009497169232746017,1.994783189010879,-3.8388907678660965e-05,True,4,4,False,0.0,False,,AZ.,76561199018245089,26,590.3099975585938,2429.75,17.020000457763672,-9981.599731445312,-8448.200073242188,1.1999999731779099,-1.0000000149011612,-0.5999999865889549,-2867.7999877929688,255.0,0.0,True,-0.009575077823886497,-0.5355325260361129,-0.00017571184946810217,True,188.0,False,4,False,4,,zi9k__,511711046658433160,18.0,-3289.570068359375,48.9900016784668,16.989999771118164,-15003.900146484375,-1411.6999816894531,4.600000083446503,-0.5999999865889549,-0.29999999329447746,7.200000286102295,255.0,128.0,-0.00956777862634032,-0.09494746241611043,-5.852645222808596e-05,True,6,6,0.0,False,False,,
3,3473,102,True,1,4826.820587678894,-1399.56005859375,893.989990234375,120.30000305175781,4082.39990234375,25281.10107421875,7821.9000244140625,371.3999938964844,4319.200134277344,-4147.9998779296875,1.0,1.1316432494408677,-1.7560589470488472,-1.8818332229314285,bf81d8692db,games5425898691,19.0,-1318.489990234375,704.9600219726562,21.959999084472656,-19928.199462890625,11026.199951171875,2991.300048828125,-0.5999999865889549,0.29999999329447746,-1806.9999694824219,255.0,0.0,,-0.009587792818646267,0.5633915144317233,-0.00015186980912028494,True,35,30,False,45.0,False,,76561198039309853,enpitsu,26.0,-2641.7900390625,2780.68994140625,17.049999237060547,8877.5,15847.2998046875,3.700000047683716,-0.7999999821186066,-0.7999999821186066,-1316.199951171875,255.0,0.0,,-0.016748313645899845,2.093372735454759,-0.0002453847953584521,True,22,18,False,72.0,False,,AZ.,76561199018245089,27,-964.3099975585938,1738.280029296875,16.989999771118164,-12957.099609375,-3498.699951171875,4.799999892711639,-3.100000023841858,-0.9000000357627869,-1829.6000671386719,255.0,0.0,False,-0.009578063466335314,-0.25772825135331173,-0.0004071532065861608,True,144.0,False,32,8,26,,zi9k__,511711046658433160,18.0,-1174.72998046875,1915.02001953125,16.989999771118164,5075.5999755859375,-7696.099853515625,2.5999999046325684,-0.0,0.29999999329447746,-2462.4000549316406,255.0,4.0,-0.00951451949448598,-2.106347818345861,3.9256123556426956e-05,True,8,6,93.22843010451204,True,False,,False
4,4466,128,True,0,2056.4249872488995,51.380001068115234,3314.800048828125,176.52999877929688,6869.69970703125,21164.7998046875,-1890.5000305175781,-321.5999984741211,1552.4000549316406,5786.6998291015625,0.0,0.09515064275438669,2.6217304318249464,0.8250639618510098,511711046658433160,zi9k__,19.0,-117.02999877929688,3159.260009765625,136.00999450683594,4813.900146484375,8272.60009765625,2968.900146484375,-1782.1000671386719,813.3999633789062,-98.99999618530273,255.0,158.0,,-0.1903929351963872,0.8899333066816792,-0.0027175687667583023,True,18,15,4,149.0,False,,76561199018245089,AZ.,28.0,229.82000732421875,3252.1201171875,16.639999389648438,-15538.499755859375,3520.7998657226562,65.0,-51.99999809265137,9.399999976158142,1560.0999450683594,0.0,255.0,,0.009882080854067605,2.9567925827260466,-0.003218359160197556,True,18,18,False,119.0,False,,enpitsu,76561198039309853,26,429.6000061035156,3608.77001953125,46.15999984741211,-974.4000244140625,-9275.999755859375,3455.10009765625,-4.000000059604645,14.09999966621399,-2668.9999389648438,128.0,0.0,,0.01638096745010966,-1.8091638886679666,-0.0005246885431319812,True,234.0,False,10,False,9,,games5425898691,bf81d8692db,19.0,-58.560001373291016,4823.4599609375,37.70000076293945,-1375.0999450683594,2104.9000549316406,3267.5,44.80000019073486,-239.20000076293945,187.99999237060547,0.0,40.0,0.009085683302263827,-0.9590379155995858,0.0018850804933954288,True,11,10,255.0,False,False,,
5,4903,135,False,1,4461.79987308625,-2765.570068359375,2590.3798828125,182.77999877929688,20285.400390625,22901.99951171875,-1295.2000427246094,-542.0000076293945,825.8999633789062,1773.3999633789062,1.0,-0.48905215414916503,0.7857956281976781,2.539622484872519,76561198039309853,enpitsu,26.0,-2889.39990234375,2496.949951171875,147.7899932861328,14613.199462890625,17624.100341796875,739.0000152587891,-2986.9000244140625,4612.5,-229.69999313354492,255.0,128.0,,-1.4154831447608685,2.8372096299411287,-0.2724196643096953,True,2,1,False,199.0,False,,bf81d8692db,games5425898691,19.0,3416.510009765625,3041.81005859375,17.010000228881836,-4395.5999755859375,22278.701171875,2.0000000298023224,-0.09999999776482582,-1.0000000149011612,-113.80000114440918,255.0,128.0,,-0.009565974374516764,1.3890869906568069,0.0001130722310476295,True,6,6,False,189.0,False,,AZ.,76561199018245089,26,-1513.43994140625,4377.10986328125,17.010000228881836,1183.0000305175781,5033.399963378906,2.5,-0.0,-3.0000001192092896,-1165.4000091552734,179.0,0.0,False,-0.009599303202421505,1.7502719753436573,-0.00015899858538912672,True,204.0,False,6,False,4,,zi9k__,511711046658433160,18.0,4078.97998046875,1820.699951171875,767.3499755859375,-2.0999999344348907,11862.19970703125,-5282.80029296875,-2253.0999755859375,-0.3999999910593033,0.0,255.0,255.0,-0.45443836190317277,1.5814392284467744,-1.5754398271008099,True,8,8,,False,False,,
6,5464,155,False,0,4428.079345085525,-3274.159912109375,1404.72998046875,242.07000732421875,15696.099853515625,20474.100341796875,2301.6000366210938,81.99999809265137,1187.300033569336,5537.7001953125,0.0,0.5045531166812008,1.936830178184189,2.448991520841332,76561199018245089,AZ.,27.0,-3381.570068359375,1299.699951171875,143.8300018310547,9561.400146484375,11665.6005859375,3337.7999877929688,-1052.3999786376953,5099.2999267578125,-1167.2000122070312,255.0,128.0,,0.08477083497958189,0.867435161329619,0.06523668727255875,True,16,8,8,0.0,False,,511711046658433160,zi9k__,18.0,-3207.5400390625,-64.3499984741211,17.010000228881836,5793.599853515625,12844.3994140625,3.100000023841858,-4.399999976158142,-1.4000000059604645,-332.90000915527344,255.0,128.0,,0.009383100692731149,1.112652610008295,0.00032693183044574405,True,14,12,False,156.0,False,,enpitsu,76561198039309853,26,-2118.840087890625,4594.56982421875,17.049999237060547,2711.199951171875,-6573.800048828125,2.5,1.0999999940395355,1.5000000596046448,-249.89999771118164,128.0,128.0,False,0.016663439191926643,-1.2222202470612176,0.00017613354668670258,True,255.0,False,6,False,6,,games5425898691,bf81d8692db,19.0,-231.33999633789062,5246.02978515625,17.010000228881836,2675.4000854492188,199.69999313354492,2.5999999046325684,-0.5999999865889549,0.3999999910593033,3.6000001430511475,0.0,128.0,0.009778706985936183,-3.067120968649053,-5.140276022052644e-05,True,16,16,221.0,False,False,,
7,5964,174,False,1,5031.659517608523,-2873.780029296875,1807.3800048828125,310.0199890136719,18964.200439453125,22410.0,4078.2998657226562,3664.1000366210938,4273.599853515625,-2075.8999633789062,1.0,-1.1498447637317495,0.9023176244638587,-1.7767168144320176,76561198039309853,enpitsu,26.0,-2974.919921875,1634.02001953125,244.11000061035156,11889.3994140625,17587.2998046875,2126.7999267578125,-2018.9999389648438,2890.10009765625,1413.2000732421875,255.0,128.0,,0.5174302920129786,1.6803388756439543,-0.033498776948913164,True,10,9,False,205.0,False,,bf81d8692db,games5425898691,19.0,-4026.14990234375,2879.580078125,231.24000549316406,-22.000000476837158,6753.499755859375,-4374.599914550781,-2960.8999633789062,375.09998321533203,-2460.8999633789062,255.0,128.0,,0.1433969140368726,1.5775679219512926,0.9502424510456945,True,22,22,False,3.0,False,,AZ.,76561199018245089,26,-1989.0799560546875,5031.509765625,41.11000061035156,7117.2998046875,2564.1000366210938,1450.2999877929688,2059.4000244140625,351.5999984741211,-510.29998779296875,228.0,128.0,,0.2572167535516999,2.769138745649823,0.425365598794737,True,235.0,False,20,10,10,,zi9k__,511711046658433160,18.0,-1735.2099609375,2709.639892578125,17.010000228881836,-9427.80029296875,-11719.000244140625,1.2999999523162842,-0.0,-0.0,116.19999885559082,255.0,162.0,-0.009604218813230545,-0.8848205320918838,0.00010247562128326225,True,20,14,21.0,False,False,,
8,6193,182,True,0,3165.1822552960853,963.010009765625,2578.27001953125,907.2899780273438,-2412.2000122070312,17791.500244140625,1980.5999755859375,4679.700012207031,-2758.2998657226562,1843.3999633789062,0.0,-0.3978489537562307,2.7024622379269387,1.7025671883675497,511711046658433160,zi9k__,18.0,1023.77001953125,2448.14990234375,777.1699829101562,1453.0999755859375,19079.89990234375,4409.5001220703125,-610.0,-3064.1000366210938,2567.6998901367188,255.0,39.0,False,-0.8881820819652874,1.3987826888439703,2.072350727255364,True,22,14,4,74.7115872239554,True,,76561199018245089,AZ.,27.0,93.52999877929688,1112.2900390625,17.010000228881836,15783.900146484375,2384.1000366210938,1.8000000715255737,-0.19999999552965164,0.0,31.30000114440918,255.0,135.0,,0.009587853533358509,0.14959397064649554,5.3060256209965594e-05,True,24,12,12,184.0,False,,enpitsu,76561198039309853,26,-751.9199829101562,3122.320068359375,17.059999465942383,2697.7999877929688,11818.1005859375,1.1999999731779099,0.09999999776482582,0.19999999552965164,-529.5000076293945,255.0,128.0,,0.01673225765909661,1.3030561737488686,0.00025624646722596924,True,162.0,False,12,False,12,,games5425898691,bf81d8692db,19.0,-474.760009765625,4948.06982421875,17.010000228881836,12832.39990234375,2945.10009765625,2.0999999344348907,0.19999999552965164,0.0,-241.90000534057617,255.0,128.0,0.00956943537244238,0.20244372513038034,0.00012061487400983923,True,26,26,253.0,False,False,,
9,6757,193,False,0,5678.770420916408,1800.5400390625,142.2899932861328,670.8400268554688,-9784.400024414062,25080.50048828125,6159.4000244140625,2735.8999633789062,-582.0999908447266,5307.9998779296875,0.0,0.2012126788857303,-2.428228166039602,1.2986336182196838,76561199018245089,AZ.,27.0,1844.3599853515625,22.860000610351562,550.5599975585938,6152.5,18154.49951171875,2019.2999267578125,2309.2999267578125,-2003.0999755859375,4572.0001220703125,128.0,13.0,False,-1.1128816411276319,1.3338388002957928,-2.455957748586457,True,10,8,4,157.08224507557446,True,,511711046658433160,zi9k__,18.0,1341.6600341796875,3251.02001953125,17.010000228881836,-2065.0999450683594,12707.19970703125,2.5,0.0,-0.09999999776482582,-2379.7999572753906,255.0,1.0,False,0.009557554655276178,1.6493021740052975,4.703686167979317e-05,True,8,8,False,170.0,False,,enpitsu,76561198039309853,26,436.25,5199.6298828125,17.049999237060547,636.3999938964844,-2659.1000366210938,3.3000001311302185,0.0,0.29999999329447746,1450.8999633789062,255.0,255.0,False,0.016633516121460412,-1.4844263630676537,0.00015365945233484496,True,31.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,1139.6400146484375,-1010.77001953125,72.7699966430664,-7784.5001220703125,21485.6005859375,2544.1000366210938,-5340.0,-1305.5000305175781,-172.70000457763672,255.0,114.0,0.34216947117671176,1.9121601348198807,0.028063891223791528,True,6,5,104.0,False,False,,
