,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,487,11.0,False,1,2597.8721375173413,485.2200012207031,2574.81005859375,111.19999694824219,-2910.4998779296875,14581.700439453125,7205.7000732421875,4638.999938964844,-3579.5001220703125,1290.7000732421875,1.0,-1.0626182352124542,2.2116374630322704,1.0668315009571947,76561198039309853,enpitsu,27.0,493.1300048828125,2415.840087890625,15.770000457763672,5809.5001220703125,8925.599975585938,-394.50000762939453,-1278.6000061035156,-732.5,3476.300048828125,255.0,128.0,False,-0.03899888060212873,2.030451939932432,-0.04516905519540776,True,105.0,False,4,False,4,,bf81d8692db,games5425898691,21.0,1604.6099853515625,1997.3699951171875,16.989999771118164,-1627.2999572753906,-15441.700439453125,5.0,-0.0,-0.29999999329447746,-1646.300048828125,255.0,0.0,,-0.009596648675628573,-1.4403767542407813,-0.00021381868557348652,True,137.0,False,6,4,False,,FIREBLASE24,b51cd43d06b,35,392.75,4913.08984375,17.059999465942383,1646.6999816894531,4829.800109863281,1.5999999642372131,-0.0,0.7000000029802322,-2.5999999046325684,0.0,128.0,False,-0.016979151743879234,-1.2416170612556992,6.468189818334255e-05,True,110.0,False,6,False,4,,Vargares_27,6544257468321893357,8.0,3610.830078125,1665.1099853515625,17.020000457763672,-10862.19970703125,-2000.0,14.40000057220459,-12.000000476837158,-22.999999523162842,-2373.000030517578,255.0,0.0,False,-0.01565266647117597,-0.13008666955436354,-0.001018650067796446,True,6,196.0,False,4,8,
1,530,13.0,True,1,920.1674155392079,32.22999954223633,4822.81005859375,430.4200134277344,-7643.4002685546875,26391.201171875,658.7999725341797,4832.699890136719,-3322.9000854492188,1266.1000061035156,1.0,0.9316435184745737,-0.23931151595659578,-1.3042120531941617,76561198039309853,enpitsu,27.0,95.12000274658203,4633.9599609375,351.6199951171875,-4396.300048828125,22467.19970703125,2212.100067138672,-5190.4998779296875,332.90000915527344,1788.0000305175781,255.0,0.0,False,0.3058688903230373,0.8447711141046678,0.23259178994274385,True,34.0,False,6,False,5,,bf81d8692db,games5425898691,21.0,-164.1300048828125,1070.800048828125,16.989999771118164,-13135.30029296875,4440.4998779296875,5.099999904632568,-1.4000000059604645,0.5000000074505806,-2013.9999389648438,255.0,35.0,,-0.009581390577194513,0.3920432531675829,-2.7040414596005116e-05,True,168.0,False,6,4,False,,FIREBLASE24,b51cd43d06b,35,303.5299987792969,4939.39013671875,257.0,-7556.099853515625,2240.0999450683594,1788.0000305175781,-2755.8999633789062,-4338.2000732421875,1418.3000183105469,255.0,57.0,False,0.10402850956611369,0.15484555332549588,0.7063645801055127,True,67.0,False,8,False,5,,Vargares_27,6544257468321893357,8.0,1470.1700439453125,3069.239990234375,17.059999465942383,-14642.80029296875,16961.600341796875,1.5999999642372131,-0.09999999776482582,0.19999999552965164,-328.8999938964844,255.0,128.0,False,-0.01678584077610613,0.886752366348394,0.00012072598900933303,True,6,102.0,False,4,8,
2,906,17.0,False,0,3870.8723432048478,1869.6300048828125,2431.68994140625,114.81999969482422,-6788.3001708984375,15557.900390625,5678.699951171875,577.7999877929688,5275.7000732421875,2798.599853515625,0.0,-0.14657886872471618,1.7459467808807496,2.832451504967083,6544257468321893357,Vargares_27,8.0,1991.449951171875,2308.31005859375,17.049999237060547,-2850.4998779296875,16774.300537109375,3.3000001311302185,0.09999999776482582,0.09999999776482582,1995.5000305175781,170.0,255.0,,0.016835358670851324,1.8086215321220007,-1.7763344721974431e-06,True,135.84755263790007,True,False,False,False,,b51cd43d06b,FIREBLASE24,29.0,3449.800048828125,-526.8800048828125,17.059999465942383,-6524.6002197265625,-12235.50048828125,2.3999999463558197,-0.7000000029802322,-0.9000000357627869,-2693.9999389648438,255.0,0.0,False,0.016778813763805186,-2.1920578380999696,-0.00022597240967384426,True,255.0,False,6,6,False,,enpitsu,76561198039309853,27,2075.199951171875,-490.7300109863281,17.049999237060547,-5627.2998046875,5281.400146484375,3.400000035762787,0.0,0.0,-2453.8999938964844,255.0,0.0,,0.01665911566629493,2.3744661505457105,8.150705455302512e-06,True,8.0,False,2,False,2,,games5425898691,bf81d8692db,21.0,1753.5,1838.2099609375,91.36000061035156,-242.60000228881836,18229.3994140625,-143.00000190734863,-5480.2001953125,-464.70001220703125,19.09999966621399,255.0,,,-0.9998983641439425,-1.4807363793377835,3.135084952545316,True,3,,False,False,4,
3,935,18.0,True,0,2305.896604380511,1149.4200439453125,4075.3798828125,346.9599914550781,-9267.5,14328.00048828125,3261.099853515625,700.9999847412109,2656.300048828125,2147.899932861328,0.0,-0.18456813742435707,1.796879682947098,2.931135706531453,6544257468321893357,Vargares_27,8.0,1281.0699462890625,3971.919921875,171.1199951171875,-9380.900268554688,16854.3994140625,1893.3999633789062,1304.1000366210938,962.3000335693359,1678.8999938964844,128.0,128.0,,-0.6868189769023473,-3.0573325830353495,-0.37092740335837354,True,102.0,False,4,False,False,,b51cd43d06b,FIREBLASE24,29.0,2327.199951171875,-332.57000732421875,17.059999465942383,-11980.50048828125,8763.699951171875,-3.1999999284744263,0.0,0.0,-14.40000057220459,255.0,128.0,False,0.016780485596612434,2.508369150831805,1.4553198776969568e-05,True,224.4700301436968,True,6,6,False,,enpitsu,76561198039309853,27,2042.6800537109375,477.82000732421875,17.049999237060547,-2857.0001220703125,11515.10009765625,2.800000011920929,0.0,1.4000000059604645,303.799991607666,255.0,0.0,,0.016730758456277934,1.8453126691696833,-0.00023843767315953157,True,8.0,False,2,False,2,,games5425898691,bf81d8692db,21.0,1410.1099853515625,3951.989990234375,17.010000228881836,-10181.300048828125,18860.10009765625,2.3999999463558197,0.0,0.19999999552965164,133.80000114440918,255.0,128.0,,0.009597339637719924,2.0796740686017436,-7.389884842519241e-05,True,4,0.0,False,False,4,
4,1360,24.0,False,1,5146.739834445508,-3545.169921875,2539.050048828125,117.41999816894531,17368.699951171875,13040.6005859375,1287.7000427246094,1992.5,-1230.6999969482422,-3583.2998657226562,1.0,-1.3002943077391484,-1.949934123192179,1.1868672569720387,bf81d8692db,games5425898691,20.0,-3728.610107421875,2353.139892578125,17.0,5437.80029296875,18422.19970703125,1.7000000178813934,1.1999999731779099,6.1000001430511475,-1823.3000183105469,255.0,0.0,,-0.009585136975048394,1.908767086891616,-0.0003428223720885796,True,216.74956548598504,True,4,False,4,,76561198039309853,enpitsu,27.0,-2985.199951171875,5002.6298828125,723.8499755859375,11850.400390625,6111.300048828125,-1238.0000305175781,-1265.1000213623047,1854.9000549316406,-1651.3999938964844,255.0,0.0,,-0.12090472603024925,2.6458519675368395,1.578636016976734,False,141.74956548598504,True,2,2,False,,FIREBLASE24,b51cd43d06b,18,-881.6900024414062,4997.580078125,17.559999465942383,6652.0001220703125,9342.60009765625,350.60001373291016,1609.4999694824219,-862.9000091552734,3164.5001220703125,128.0,128.0,False,-0.0010109921974104552,1.1046367750454928,-0.021567507664779124,True,255.0,False,4,False,4,,Vargares_27,6544257468321893357,8.0,1510.199951171875,2955.4599609375,77.11000061035156,-12120.400390625,18384.49951171875,-1522.2000122070312,-2496.7999267578125,-1385.8999633789062,-54.80000019073486,164.0,92.0,,0.6115313233894851,1.050291517442052,-0.003864357154359842,True,8,237.0,False,False,8,
5,1375,25.0,False,1,3974.3615339404455,-2599.610107421875,3248.89990234375,94.31999969482422,16116.600341796875,12049.100341796875,1248.0000305175781,-127.5,1405.0,-3583.2998657226562,1.0,-0.8201825576065767,-3.078554319915902,-1.7882292193992575,bf81d8692db,games5425898691,20.0,-2830.1201171875,3109.679931640625,16.989999771118164,20320.699462890625,8881.300048828125,2.5999999046325684,-1.899999976158142,-0.7000000029802322,1443.0999755859375,255.0,239.0,,-0.00960204140293399,2.69582665635424,0.0002236191384029422,True,169.88035258426464,True,4,False,4,,76561198039309853,enpitsu,27.0,-2344.8798828125,5101.0,160.4600067138672,10383.900146484375,-1215.1000213623047,-15868.199462890625,-4118.800048828125,-3.100000023841858,1028.7999725341797,255.0,255.0,,-1.001044098994637,-3.070943187836113,1.4487443070329793,False,94.8803525842646,True,2,2,False,,FIREBLASE24,b51cd43d06b,18,-610.010009765625,5108.68994140625,17.010000228881836,2183.2000732421875,-3805.0,12.100000381469727,10.299999713897705,7.300000190734863,1640.8000183105469,0.0,0.0,False,-0.017599658748899644,0.8647961733002039,0.0002967150826654278,True,255.0,False,4,False,4,,Vargares_27,6544257468321893357,8.0,962.2100219726562,4048.6201171875,17.049999237060547,-5075.799865722656,14379.89990234375,3.400000035762787,5.600000023841858,1.4000000059604645,1409.7999572753906,168.0,255.0,,-0.01721927895819258,1.225900151178843,0.0003351706282464414,True,8,237.0,False,False,8,
6,1387,25.0,False,1,3124.273895972624,-1906.8699951171875,3759.780029296875,95.8499984741211,20135.799560546875,12720.899658203125,1163.7000274658203,-1519.4000244140625,1155.4000091552734,-815.9999847412109,1.0,-0.957020190146783,-0.9645625369096876,-2.585906312772262,bf81d8692db,games5425898691,20.0,-2150.52001953125,3627.909912109375,16.989999771118164,17380.0,15064.300537109375,2.5999999046325684,1.5999999642372131,1.4000000059604645,-1648.2000732421875,255.0,0.0,,-0.009599820525611556,2.466478629661946,-0.0002611514564525064,True,132.35067511117592,True,4,False,4,,76561198039309853,enpitsu,27.0,-1908.8699951171875,4704.56005859375,16.940000534057617,12754.300537109375,-10089.89990234375,20.899999141693115,61.39999866485596,17.5,1767.8999328613281,255.0,255.0,,-0.014373875144500465,-2.508078003688796,-0.0018219681295812027,False,57.35067511117583,True,2,2,False,,FIREBLASE24,b51cd43d06b,18,-409.0799865722656,4964.39990234375,17.049999237060547,6453.499755859375,-1291.199951171875,3.1999999284744263,6.000000238418579,5.699999928474426,1491.9999694824219,255.0,128.0,False,-0.016783197783687802,0.0026827204045121885,-0.00016817762003034858,True,255.0,False,4,False,4,,Vargares_27,6544257468321893357,8.0,714.6199951171875,4476.39013671875,17.049999237060547,-5862.8997802734375,7994.69970703125,2.800000011920929,0.3999999910593033,2.3000000417232513,83.19999694824219,255.0,153.0,,-0.016784972833111037,0.9379802336811178,-1.970713663708008e-05,True,8,237.0,False,False,8,
7,1405,26.0,False,1,1593.3925498422182,-598.3900146484375,4587.10009765625,94.33999633789062,18726.8994140625,11867.60009765625,180.20000457763672,-3158.3999633789062,3917.7999877929688,-815.9999847412109,1.0,0.9120482332509114,-0.33246966961103785,-2.2656038867821144,76561198039309853,enpitsu,27.0,-721.4099731445312,4708.509765625,17.010000228881836,17783.299560546875,11281.600341796875,3.6000001430511475,0.7999999821186066,0.5999999865889549,384.50000762939453,255.0,128.0,,-0.016772396845113703,2.540726180061654,-0.00023130212831604604,False,0.9787353520751867,True,2,False,2,,bf81d8692db,games5425898691,20.0,-694.9500122070312,3761.3798828125,17.0,19483.800048828125,-11520.10009765625,3.4999999403953552,1.4000000059604645,-0.7000000029802322,-711.5000152587891,255.0,128.0,,-0.009596337467469592,-2.547367033640464,0.00018187286428466654,True,91.0,False,4,4,False,,FIREBLASE24,b51cd43d06b,18,-354.05999755859375,4957.10986328125,49.20000076293945,2000.5999755859375,462.79998779296875,3537.5,1208.499984741211,250.79999923706055,-50.50000190734863,0.0,255.0,False,-0.017487383634047653,-0.20834628340781014,-0.02742657317225715,True,255.0,False,5,False,4,,Vargares_27,6544257468321893357,8.0,93.58999633789062,4861.0,35.02000045776367,-12110.30029296875,2143.699951171875,3200.4998779296875,8.299999833106995,0.19999999552965164,461.8000030517578,255.0,134.0,,-0.01667202450754049,0.13053266552091153,-0.0005977037242981333,True,8,237.0,False,False,9,
8,2449,64.0,False,0,2396.4072566896216,489.0899963378906,3184.419921875,309.79998779296875,-2737.0001220703125,19805.799560546875,-204.40000534057617,1101.9999694824219,-5127.1002197265625,2915.1998901367188,0.0,-0.19148263054950598,0.4907045546109175,-0.6446189216607978,b51cd43d06b,FIREBLASE24,18.0,463.05999755859375,3015.510009765625,255.52999877929688,2267.5999450683594,7738.800048828125,1624.9000549316406,-1250.8000183105469,2480.500030517578,4746.7999267578125,255.0,128.0,,-0.28568190606299515,0.9726112862063337,0.6148673745714337,True,152.0,False,26,False,23,,6544257468321893357,Vargares_27,8.0,1404.6400146484375,5070.64990234375,78.33999633789062,-5011.7999267578125,-1362.5999450683594,-1828.2000732421875,-1593.3000183105469,-489.50000762939453,733.3999633789062,255.0,151.0,,0.3123085834911531,-2.919447319514376,-0.8990332888877525,True,127.0,False,8,8,False,,enpitsu,76561198039309853,27,627.22998046875,3577.6201171875,116.80000305175781,-11277.60009765625,-7517.7001953125,4054.2001342773438,-1096.9999694824219,1335.2999877929688,4130.199890136719,128.0,255.0,,-0.2264436043851139,-1.8613690891268344,-0.06464271221053534,True,96.56296771572482,True,14,False,9,,games5425898691,bf81d8692db,21.0,3567.780029296875,3367.320068359375,16.209999084472656,2177.7999877929688,-843.7999725341797,151.19999885559082,-27.000000476837158,148.69999885559082,516.5000152587891,255.0,243.0,,0.007916762900504054,1.6013899960904938,-0.00724982019765898,True,10,133.0,False,4,16,
9,3762,112.0,True,0,302.34793836408807,-625.7100219726562,5004.509765625,133.1699981689453,-9438.800048828125,27828.9990234375,1524.1999816894531,118.99999618530273,-3692.3001098632812,4727.699890136719,0.0,-1.1164846835312239,-2.325513260118364,-0.42365811797132774,6544257468321893357,Vargares_27,8.0,-630.3300170898438,4824.0400390625,127.80999755859375,-7029.0997314453125,18384.100341796875,305.6999969482422,2830.7998657226562,4715.400085449219,-26.80000066757202,255.0,30.0,False,0.2448700763481731,1.5639935422318236,1.220755957541912,True,97.31929433217611,True,34,4,29,,b51cd43d06b,FIREBLASE24,18.0,2499.800048828125,2962.010009765625,115.30999755859375,-3772.3001098632812,-21832.60009765625,-7.099999785423279,4080.4000854492188,-3588.2998657226562,-850.6999969482422,255.0,118.0,False,1.0869725657776221,-0.8883506757117876,1.392521955624684,True,179.0,False,42,35,4,,enpitsu,76561198039309853,27,-15.199999809265137,4975.5498046875,17.040000915527344,-11117.39990234375,-3556.7999267578125,4.900000095367432,0.0,0.0,-2380.0999450683594,255.0,0.0,False,0.01671078622937215,-2.8897198174056276,3.4049641752431195e-07,True,93.0,False,22,False,16,,games5425898691,bf81d8692db,21.0,1275.300048828125,5090.89990234375,107.66999816894531,-8418.300170898438,-715.2999877929688,-2952.3001098632812,-1598.5000610351562,-156.09999656677246,-818.8999938964844,255.0,128.0,,0.32604083630525366,-3.0413594647829885,-1.2579862823827548,True,20,10.0,False,4,38,
