,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,170,0,False,False,1,5127.873853600719,-26.68000030517578,95.81999969482422,101.33000183105469,-7777.7001953125,30116.298828125,2751.199951171875,3882.9000854492188,1166.1000061035156,2754.8001098632812,1.0,0.03276232810992037,-0.09413127267216868,-0.13107044292183737,bc87200b99b,Natsu-du-42,7.0,39.029998779296875,-130.1999969482422,81.93000030517578,-4924.599914550781,19145.10009765625,1982.2000122070312,-4167.60009765625,3222.39990234375,-1579.9000549316406,255.0,0.0,,-0.3035322601531161,0.9564758227924308,0.6901237242669992,False,3,False,4,0.0,False,,b9a3c5b308b,yacine42152,7.0,-92.73999786376953,-2082.330078125,17.010000228881836,904.1999816894531,14695.10009765625,2.199999988079071,0.09999999776482582,-0.19999999552965164,-1632.7999877929688,255.0,15.0,False,-0.009605420459521844,1.6536329715901747,-0.00019953444108798156,True,4,False,4,100.0,False,,enpitsu,76561198039309853,26,-0.0,4912.56982421875,17.049999237060547,-0.0,9144.000244140625,2.5999999046325684,-0.5999999865889549,-0.0,0.0,255.0,,,-0.01674677600886567,-1.5707748601881248,-2.392834531677249e-07,True,False,False,False,116.0,False,,games5425898691,bf81d8692db,19.0,-438.7099914550781,1293.47998046875,17.010000228881836,14236.99951171875,-13444.300537109375,2.3000000417232513,0.7999999821186066,-0.7000000029802322,-1744.1999816894531,255.0,0.0,,-0.00958658508898474,-2.3406599436846767,-0.00017434085380415443,True,0.0,False,False,False,False,
1,177,0,False,False,0,6080.787454924629,218.72000122070312,-837.739990234375,152.22000122070312,12296.500244140625,-10135.499877929688,11801.8994140625,5667.19970703125,1740.0999450683594,-924.1999816894531,0.0,0.03527432607696458,0.7591271741866478,-0.9237155875690823,bf81d8692db,games5425898691,19.0,173.10000610351562,-902.1799926757812,21.43000030517578,-6602.60009765625,15479.200439453125,2334.7999572753906,239.50000762939453,2915.10009765625,-3987.6998901367188,128.0,128.0,,0.0003560188675190622,1.8613596811972837,0.02265241169258859,True,False,False,3,0.0,False,,76561198039309853,enpitsu,26.0,0.0,-5092.58984375,17.049999237060547,0.0,-3615.7000732421875,2.5999999046325684,1.1999999731779099,0.0,0.0,255.0,0.0,,0.016319514887268575,1.5707713280558804,-2.6355196588056045e-07,True,False,False,False,116.0,False,,yacine42152,b9a3c5b308b,7,24.75,1698.0899658203125,17.010000228881836,-3327.0999145507812,-14243.199462890625,2.0999999344348907,0.0,0.5999999865889549,-36.19999885559082,255.0,128.0,False,0.009604745366806165,-1.805444458283239,8.172706662423202e-05,True,4,4,False,100.0,False,,Natsu-du-42,bc87200b99b,7.0,77.02999877929688,-317.75,89.30999755859375,5028.2000732421875,-19238.399658203125,-160.40000915527344,4108.699951171875,-3575.4998779296875,-763.7999725341797,255.0,19.0,True,0.3365943471116554,-0.46290501622375035,2.598130112915247,True,0.0,False,3,False,4,
2,283,4,False,False,0,9995.204898659513,3380.159912109375,-3894.300048828125,122.3499984741211,-7505.10009765625,-214.20000076293945,5198.699951171875,164.79999542236328,-5768.3001708984375,1642.7999877929688,0.0,1.1384519525807555,-2.763454216656584,-3.0239130185069767,76561198039309853,enpitsu,27.0,3224.830078125,-3920.93994140625,17.049999237060547,4867.60009765625,4853.800048828125,3.3000001311302185,-1.0999999940395355,3.799999952316284,-2111.699981689453,0.0,128.0,,0.016859446787364094,0.7558538617834553,3.565533540184555e-05,True,False,False,False,223.0,False,,bf81d8692db,games5425898691,19.0,-3329.22998046875,223.6999969482422,15.729999542236328,-16493.599853515625,-4915.0,107.10000038146973,14.800000190734863,32.89999961853027,1352.7000427246094,255.0,255.0,,0.012865446879176692,-2.842836945344218,-0.0030884068828095786,True,6,False,6,,False,,yacine42152,b9a3c5b308b,7,3898.840087890625,-1858.43994140625,25.690000534057617,-5573.499755859375,-18413.399658203125,-1643.0000305175781,-436.5999984741211,2598.5000610351562,-1231.9000244140625,255.0,31.0,,0.07761741764379683,-1.89131418837891,0.2500401083910494,True,6,6,False,67.0,False,,Natsu-du-42,bc87200b99b,8.0,3901.93994140625,-341.510009765625,25.860000610351562,8197.39990234375,3768.9999389648438,1830.8000183105469,-1060.6999969482422,-3755.7998657226562,3492.9998779296875,255.0,255.0,False,0.00834627133190006,1.564699455064936,-0.22574313768940668,True,,False,6,False,6,
3,312,5,False,False,1,3680.7639429818496,-2579.639892578125,3928.409912109375,306.6300048828125,25721.10107421875,8359.69970703125,429.0999984741211,3459.2001342773438,-71.79999828338623,-4901.9000244140625,1.0,-1.0350597469567733,2.816485221049834,-2.922740173033827,b9a3c5b308b,yacine42152,7.0,-2820.02001953125,3798.800048828125,237.3000030517578,15511.600341796875,16981.300048828125,-147.70000457763672,2340.500030517578,3891.0000610351562,3103.5000610351562,255.0,0.0,True,0.4383120554136299,1.9377989156977389,2.283542802236567,True,7,False,8,60.0,False,,bc87200b99b,Natsu-du-42,8.0,-3795.169921875,-44.619998931884766,16.530000686645508,5947.2998046875,-5120.3997802734375,-113.29999923706055,316.49999618530273,-672.5,2022.1000671386719,252.0,255.0,False,-0.0074144776925699485,-2.4263795425812744,-0.0008873507631746965,True,6,False,6,255.0,False,,enpitsu,76561198039309853,27,-2961.030029296875,4098.93994140625,17.049999237060547,5475.2001953125,6339.7998046875,1.8000000715255737,4.300000071525574,4.600000083446503,-578.4999847412109,0.0,255.0,,-0.01687549821907141,-0.8262580217694029,-0.00015993911947879136,True,False,False,False,223.0,False,,games5425898691,bf81d8692db,19.0,3884.5,1578.43994140625,23.350000381469727,-3364.8001098632812,22745.0,-582.2999954223633,-223.09999465942383,1354.7000122070312,-111.49999618530273,255.0,128.0,,-0.040599046365797746,1.4233763849534142,-0.19119469412204507,True,176.68733766002043,True,6,False,6,
4,430,9,False,False,0,9036.331330928311,-4010.090087890625,-3342.7900390625,251.4499969482422,-14174.89990234375,3673.0999755859375,24637.900390625,3081.9000244140625,-3227.0001220703125,4010.8999633789062,0.0,0.7341837085423596,-2.5539433857565252,-0.5696372524773289,bf81d8692db,games5425898691,19.0,-3797.830078125,-3343.5400390625,148.22999572753906,-22639.3994140625,3970.1998901367188,831.6999816894531,351.3999938964844,-5471.7999267578125,-430.6999969482422,255.0,141.0,,0.2750687431002127,-3.09961271689937,-0.09687973526349845,True,7,False,8,166.0,False,,76561198039309853,enpitsu,27.0,149.8699951171875,-4249.93994140625,17.049999237060547,-12709.49951171875,2539.9000549316406,3.1999999284744263,1.1999999731779099,-0.19999999552965164,2085.7000732421875,128.0,255.0,False,0.016853461437418473,2.9906115679308223,0.00014820501229091709,True,False,False,False,254.0,False,,yacine42152,b9a3c5b308b,7,-1071.4100341796875,-690.8200073242188,88.80000305175781,-7033.2000732421875,21897.60009765625,-157.10000038146973,-2851.400146484375,4690.899963378906,337.09999084472656,255.0,0.0,True,0.08404896141562343,2.614812537744704,2.8661013980425087,False,14,13,False,19.0,False,,Natsu-du-42,bc87200b99b,7.0,-3044.860107421875,-1.059999942779541,17.010000228881836,-21072.39990234375,1034.3000030517578,1.899999976158142,-1.899999976158142,0.0,1197.6000213623047,244.0,255.0,False,0.009581024889523032,3.1048253918343454,0.00019615292544574237,True,200.0,False,6,False,6,
5,503,12,False,False,0,7741.264243055963,-2584.300048828125,-2414.919921875,106.37000274658203,-12211.800537109375,17282.80029296875,9989.199829101562,-4897.900085449219,-3460.7998657226562,-179.0999984741211,0.0,-0.8569059232345938,1.0636169544916052,1.4048984585948971,76561198039309853,enpitsu,27.0,-2461.669921875,-2599.25,230.05999755859375,-14277.2998046875,14652.7001953125,333.8999938964844,-4132.900085449219,-3615.1998901367188,-313.8999938964844,255.0,128.0,False,1.0359950596495398,2.3067335590944626,0.027046686295298168,True,1,False,2,169.0,False,,bf81d8692db,games5425898691,19.0,-3452.02001953125,-3333.68994140625,17.010000228881836,5102.099914550781,-10896.300048828125,2.0999999344348907,0.19999999552965164,0.0,-210.49999237060547,255.0,128.0,,0.009550112595242497,-1.1516681465482026,9.676382621893034e-05,True,8,False,8,166.0,False,,yacine42152,b9a3c5b308b,7,-2749.080078125,3882.030029296875,17.010000228881836,10769.7998046875,-2739.4000244140625,2.5999999046325684,0.0,0.0,-2478.0999755859375,255.0,0.0,False,0.009556330237234973,-0.325959123538117,3.0484853536170478e-05,True,16,16,False,0.0,False,,Natsu-du-42,bc87200b99b,8.0,-3430.260009765625,-882.0599975585938,530.4500122070312,4560.899963378906,-3160.4000854492188,-5697.60009765625,-405.9000015258789,811.9999694824219,333.8999938964844,204.0,128.0,False,-0.4165724314623679,0.3181647758525386,-0.2116173032632782,True,200.0,False,6,False,8,
6,589,15,False,False,0,3769.641092673733,-2679.56005859375,1818.989990234375,112.27999877929688,4465.400085449219,8519.600219726562,5700.7000732421875,-4708.500061035156,2468.000030517578,2781.7999267578125,0.0,-0.31730286170530053,0.5351004930562729,0.8794853163669794,76561198039309853,enpitsu,27.0,-2727.669921875,1612.760009765625,261.94000244140625,12587.900390625,10910.2001953125,-147.39999771118164,4449.700012207031,2144.9000549316406,2418.5000610351562,128.0,128.0,,-0.4633098816226423,0.40689602788306795,-1.7693978702848436,True,4,False,4,208.0,False,,bf81d8692db,games5425898691,19.0,-1094.0799560546875,-934.1799926757812,16.31999969482422,4179.200134277344,20159.200439453125,117.5,45.39999961853027,13.200000524520874,161.29999160766602,255.0,128.0,,0.012125471390007582,1.3776723872459486,-0.0015117972573227168,True,10,False,10,138.0,False,,yacine42152,b9a3c5b308b,7,-1871.780029296875,4411.41015625,17.010000228881836,12963.399658203125,1533.699951171875,2.3000000417232513,0.29999999329447746,0.0,-1805.5999755859375,255.0,0.0,False,0.009578854394523906,0.10140661057346866,-0.0002431431064467984,True,16,16,False,255.0,False,,Natsu-du-42,bc87200b99b,7.0,-2697.909912109375,1499.47998046875,17.010000228881836,8084.000244140625,16784.7998046875,2.0999999344348907,-0.19999999552965164,-0.7000000029802322,-2.800000011920929,255.0,128.0,,0.009598333642957712,1.1215202143801208,8.421620330446503e-05,True,125.0,False,6,False,8,
7,652,17,False,False,1,8823.266686978412,1728.760009765625,-3643.8798828125,192.9499969482422,4801.300048828125,-164.40000534057617,5925.999755859375,5737.8997802734375,-1223.6000061035156,-1256.500015258789,1.0,-0.7247298269692793,-0.7261437324035442,0.0837923102056507,bc87200b99b,Natsu-du-42,7.0,1633.97998046875,-3700.85009765625,82.22000122070312,296.3999938964844,3796.9000244140625,3008.800048828125,-5409.7998046875,156.19999885559082,979.0000152587891,148.0,139.0,False,0.2120017960329799,-1.7415576560435413,-0.032966491756277735,True,7,False,10,125.0,False,,b9a3c5b308b,yacine42152,7.0,825.25,-4466.330078125,19.829999923706055,-3898.3999633789062,-5390.5999755859375,-1018.1999969482422,661.5000152587891,2511.999969482422,-4175.199890136719,255.0,255.0,False,0.030606101825954964,-1.9324451274566161,0.04853741047771943,True,16,False,16,255.0,False,,enpitsu,76561198039309853,27,1824.4100341796875,-3362.929931640625,17.059999465942383,7514.6002197265625,-1795.7000732421875,2.0999999344348907,0.3999999910593033,-0.9000000357627869,-2485.500030517578,255.0,0.0,False,-0.01672371123566836,-2.871893280603401,-0.00012935604713009487,True,4,4,False,220.0,False,,games5425898691,bf81d8692db,19.0,650.8400268554688,-1850.4300537109375,17.010000228881836,12540.0,4897.200012207031,2.3000000417232513,-0.29999999329447746,-0.0,2249.9000549316406,255.0,255.0,,-0.00955953668033589,2.701047948174706,4.517089573856738e-05,True,138.0,False,10,False,10,
8,708,19,False,False,1,8991.770415348305,2662.110107421875,-3676.6201171875,116.88999938964844,11308.900146484375,15305.699462890625,9845.0,5809.89990234375,-1188.3999633789062,-911.9000244140625,1.0,-0.06909249845622563,-0.976829484244339,0.25227884427134883,b9a3c5b308b,yacine42152,7.0,2600.830078125,-3809.030029296875,16.610000610351562,9142.000122070312,12881.8994140625,-481.50001525878906,477.99999237060547,-2520.800018310547,2405.500030517578,255.0,128.0,False,0.005581358412423983,2.163119588319334,-0.015127953386660897,False,16,False,16,180.39206871935116,True,,bc87200b99b,Natsu-du-42,7.0,1771.780029296875,-3756.409912109375,17.010000228881836,1240.8999633789062,-8828.800048828125,2.0999999344348907,-0.0,0.9000000357627869,-9.800000190734863,255.0,128.0,False,-0.009523092620713455,-1.7087675811245773,8.443055908425547e-05,True,8,False,10,125.0,False,,enpitsu,76561198039309853,27,2830.340087890625,-3456.139892578125,167.5500030517578,617.5,7158.800048828125,-154.49999809265137,11.699999570846558,-5488.699951171875,-352.09999084472656,128.0,255.0,False,0.025443707219929283,1.5635152985887815,-3.0102309648848746,True,6,5,False,201.0,False,,games5425898691,bf81d8692db,19.0,3057.760009765625,-794.1500244140625,17.010000228881836,12456.500244140625,-6341.6998291015625,2.3000000417232513,0.7000000029802322,-0.29999999329447746,-2094.600067138672,255.0,0.0,,-0.009576211308613036,-2.6171828927604786,-9.562140909656372e-05,True,138.0,False,10,False,10,
9,712,19,False,False,0,2549.557602811463,-2817.590087890625,3464.3701171875,248.08999633789062,-3300.4998779296875,-1733.6000061035156,10646.99951171875,2196.6000366210938,-5299.7998046875,1756.7999267578125,0.0,0.6899355399732486,0.6621504135286891,-0.2153107517269464,76561198039309853,enpitsu,27.0,-2840.760009765625,3342.030029296875,165.25999450683594,-1491.0000610351562,-7978.3001708984375,56.99999809265137,1513.800048828125,3928.599853515625,3413.599853515625,128.0,128.0,False,-0.03037476761035576,-1.5714777451749586,2.1246660074984742,True,6,False,6,201.0,False,,bf81d8692db,games5425898691,19.0,-3233.1201171875,925.0,17.010000228881836,-9591.699829101562,9896.799926757812,2.3000000417232513,0.0,0.09999999776482582,-2202.4000549316406,255.0,0.0,,0.009590424732028258,2.2743703499226413,-2.3222005831572884e-05,True,10,False,10,138.0,False,,yacine42152,b9a3c5b308b,7,-2681.7099609375,3683.830078125,16.81999969482422,-8511.300048828125,-14310.899658203125,20.999999046325684,86.99999809265137,-323.10001373291016,422.7000045776367,255.0,128.0,False,-0.0019479385433526025,-2.068473618062902,-0.01231261968222926,False,16,16,False,167.87399575787205,True,,Natsu-du-42,bc87200b99b,7.0,-1793.1400146484375,3904.56005859375,17.010000228881836,-1602.1000671386719,9775.2001953125,2.0999999344348907,-0.09999999776482582,0.7000000029802322,557.599983215332,255.0,178.0,False,0.009533702027257633,1.7269657549799502,0.000118429464309962,True,125.0,False,8,False,10,
