,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect
0,170,0.0,False,False,0,5138.70966512617,116.37000274658203,102.0,154.9499969482422,23246.8994140625,17878.800048828125,13354.200439453125,4438.0999755859375,-2452.5999450683594,-3207.39990234375,0.0,-0.29425954907659846,0.2068308668045997,0.16098413322393554,2535458975830397,Mcoatz,11.0,66.30000305175781,-4.360000133514404,94.66000366210938,11505.699462890625,11921.99951171875,111.00000381469727,4718.900146484375,-1036.6999816894531,2627.9000854492188,255.0,128.0,,1.3384105532761563,0.9352612904205508,-0.17869895914143533,True,0.0,False,4,False,3,,76561198050924541,Noslen,10.0,0.0,-2097.830078125,17.010000228881836,0.0,14100.0,1.899999976158142,-0.7000000029802322,0.0,0.0,144.0,,,0.009521520296360534,1.5707884791262157,7.591773697999232e-06,True,False,False,False,97.0,False,,enpitsu,76561198039309853,25,0.0,2046.3800048828125,17.049999237060547,0.0,-15751.99951171875,2.5,0.19999999552965164,0.0,0.0,255.0,255.0,,0.016761975404491546,-1.5707749880211321,1.7875852309999413e-07,True,87.0,False,False,False,False,,games5425898691,bf81d8692db,17.0,83.0999984741211,241.75,73.76000213623047,1109.1999816894531,-17596.300048828125,1535.0999450683594,5326.400146484375,228.99999618530273,-1351.4999389648438,128.0,150.0,,0.6100202762817688,-1.5735131891724927,-0.03879504918124599,True,0.0,False,False,3,4,
1,171,0.0,False,False,1,5408.445123536346,-194.52999877929688,-157.36000061035156,200.6699981689453,-33442.60009765625,-6028.499755859375,18255.0,3538.9999389648438,105.79999923706055,4843.900146484375,1.0,0.3673076887025194,-0.16541151072962545,0.22253738845761215,bf81d8692db,games5425898691,17.0,-83.0999984741211,-241.75,73.76000213623047,-1109.1999816894531,17596.300048828125,1535.0999450683594,-5326.400146484375,-228.99999618530273,-1351.4999389648438,128.0,150.0,,-0.6100202762817688,1.5735131891724927,-0.03879504918124599,True,0.0,False,4,False,3,,76561198039309853,enpitsu,25.0,-0.0,-2046.3800048828125,17.049999237060547,-0.0,15751.99951171875,2.5,-0.19999999552965164,-0.0,0.0,255.0,255.0,,-0.016761975404491546,1.5707749880211321,1.7875852309999413e-07,True,False,False,False,87.0,False,,Noslen,76561198050924541,10,-0.0,2097.830078125,17.010000228881836,-0.0,-14100.0,1.899999976158142,0.7000000029802322,-0.0,0.0,144.0,,,-0.009521520296360534,-1.5707884791262157,7.591773697999232e-06,True,97.0,False,False,False,False,,Mcoatz,2535458975830397,11.0,-66.30000305175781,4.360000133514404,94.66000366210938,-11505.699462890625,-11921.99951171875,111.00000381469727,-4718.900146484375,1036.6999816894531,2627.9000854492188,255.0,128.0,,-1.3384105532761563,-0.9352612904205508,-0.17869895914143533,True,0.0,False,False,3,4,
2,324,5.0,False,True,0,3878.852214625781,576.2000122070312,1551.3900146484375,866.02001953125,-1516.4999389648438,19223.800048828125,596.3999938964844,-2788.800048828125,-4325.299987792969,-2311.999969482422,0.0,-1.0112848272136397,1.0123518977614068,-1.7314268067932979,76561198050924541,Noslen,11.0,536.27001953125,1416.68994140625,763.0499877929688,-5388.800048828125,8653.400268554688,2021.0000610351562,-1410.8000183105469,1806.6000366210938,-681.9999694824219,255.0,128.0,,-0.3479655522907517,1.6238032603453878,0.6623510167889807,True,0.0,False,4,4,False,,2535458975830397,Mcoatz,11.0,1637.4599609375,-3257.56005859375,17.010000228881836,-14007.80029296875,-6726.9000244140625,2.5,-0.29999999329447746,-0.09999999776482582,-1973.0000305175781,128.0,0.0,,0.009651117637288376,-2.7593243701874144,-3.927003902124314e-05,True,8,8,False,239.0,False,,enpitsu,76561198039309853,25,319.8900146484375,3294.14990234375,17.049999237060547,-2254.9000549316406,6893.2000732421875,3.1999999284744263,-2.0999999344348907,6.299999952316284,-1775.5000305175781,128.0,128.0,,0.01685246653132841,1.875125171332357,-0.00011727522072702618,True,117.0,False,False,False,False,,games5425898691,bf81d8692db,18.0,2917.68994140625,4594.759765625,17.010000228881836,-7961.7999267578125,12075.699462890625,2.3000000417232513,0.0,0.0,2104.7000122070312,255.0,255.0,,0.009590293241578814,2.2205828203489064,-6.050640173661088e-06,True,255.0,False,False,6,6,
3,361,7.0,False,False,1,9349.914711623669,-390.239990234375,-4121.02001953125,338.2900085449219,-11309.7998046875,-6025.30029296875,-6631.7999267578125,-4999.100036621094,-2902.9000854492188,1606.4999389648438,1.0,0.5414641076231704,-1.6539530502349695,2.952234795709603,76561198039309853,enpitsu,25.0,-248.5,-4170.6201171875,322.8299865722656,-4561.199951171875,-5549.5001220703125,495.2000045776367,-3517.5,-2539.600067138672,3380.2999877929688,128.0,0.0,,0.6484342477188384,-0.5777333552708774,1.9332264364633163,True,56.0,False,2,False,1,,bf81d8692db,games5425898691,18.0,-598.6300048828125,-4470.43017578125,167.25999450683594,21091.10107421875,7667.0001220703125,1944.6000671386719,-1198.7999725341797,-214.3000030517578,1205.0,255.0,197.0,,0.592466891123575,2.1242285950681574,-0.2873379425601084,True,8,6,False,169.48019783983955,True,,Noslen,76561198050924541,11,204.58999633789062,-2631.72998046875,430.010009765625,5388.699951171875,-8839.500122070312,-6857.7001953125,-694.1000366210938,300.2000045776367,-123.19999694824219,128.0,128.0,False,-0.31128758209727947,-1.3437407014314577,0.34583253921193247,True,0.0,False,4,4,False,,Mcoatz,2535458975830397,11.0,-110.55999755859375,2447.2900390625,17.010000228881836,5916.400146484375,-12688.800048828125,2.0999999344348907,0.7000000029802322,-2.0000000298023224,-1473.800048828125,255.0,118.0,,-0.009583876691582408,-1.9522565497096245,2.4399060692471737e-05,True,255.0,False,False,8,8,
4,480,11.0,False,False,0,4214.719622489411,3273.139892578125,4521.830078125,129.82000732421875,-12240.6005859375,17526.199951171875,11035.0,5025.199890136719,3165.1998901367188,853.3000183105469,0.0,-0.5125592656838185,2.986754724558088,0.3684695456239674,2535458975830397,Mcoatz,11.0,3392.93994140625,4293.64013671875,17.579999923706055,-5038.500061035156,16421.700439453125,187.19999313354492,849.1000366210938,-359.70001220703125,1972.2000122070312,255.0,255.0,,-0.010584055127631761,1.926832015802905,-0.019075291050702995,True,214.27648185401833,True,10,False,10,,76561198050924541,Noslen,10.0,-2787.25,4239.75,17.0,-1175.199966430664,-8480.599975585938,3.700000047683716,0.29999999329447746,1.2999999523162842,2137.2000122070312,255.0,254.0,False,0.009517146701132665,-1.7111113000994658,0.00025664218247153854,True,6,4,4,255.0,False,,enpitsu,76561198039309853,25,1696.9200439453125,5102.93994140625,390.32000732421875,8707.899780273438,-2.0000000298023224,2041.9999694824219,-1.0000000149011612,-10.499999523162842,0.0,128.0,128.0,False,-0.2621681160796584,0.017253472527969205,1.5664178631556025,True,0.0,False,3,False,2,,games5425898691,bf81d8692db,17.0,-1238.1099853515625,5069.81005859375,70.11000061035156,22353.89892578125,1100.8999633789062,809.4000244140625,1210.8000183105469,820.4000091552734,370.9000015258789,255.0,128.0,,-0.005804690747748898,0.06813522179426242,0.9021776112283028,True,95.0,False,False,8,8,
5,589,15.0,True,True,0,848.4686897879657,-1383.6099853515625,4445.64013671875,153.0500030517578,6342.2998046875,6331.5997314453125,418.1999969482422,59.40000057220459,-1443.9999389648438,-4891.099853515625,0.0,0.7393707118876107,2.1990801855016606,-2.5910449732289025,76561198050924541,Noslen,10.0,-1503.6199951171875,4317.419921875,94.55999755859375,204.50000762939453,6968.599853515625,3333.900146484375,-1779.6000671386719,3769.5001220703125,-3587.9000854492188,128.0,0.0,,0.010756770459264726,1.9683074583090943,0.050906919345835314,True,255.0,False,8,4,5,,2535458975830397,Mcoatz,11.0,-2595.0400390625,4951.240234375,66.22000122070312,-17224.89990234375,2304.600067138672,-7904.7998046875,-777.6999664306641,729.4999694824219,-1347.8999328613281,1.0,168.0,False,0.348973155546657,-2.686754569472649,-0.6907524699614612,True,12,10,4,150.0,False,,enpitsu,76561198039309853,25,2806.199951171875,3824.340087890625,63.4900016784668,-11388.800048828125,4336.7999267578125,2843.699951171875,-414.39998626708984,-1062.5,-40.300002098083496,255.0,128.0,,0.07362647512392231,2.7674645647279292,-1.4033950255097353e-05,True,,False,6,False,3,,games5425898691,bf81d8692db,18.0,2407.06005859375,3456.39990234375,17.0,6383.0999755859375,4203.2000732421875,8.899999856948853,-14.700000286102295,-7.799999713897705,2475.500030517578,255.0,255.0,,0.00949734250178524,0.6045751180010492,0.0008764640741544295,True,29.0,False,False,10,10,
6,882,16.0,False,False,0,5204.312788136664,-11.039999961853027,11.479999542236328,143.02999877929688,-282.7000045776367,11288.299560546875,8670.399780273438,2870.4000854492188,648.8999938964844,-5228.699951171875,0.0,0.10593809513478575,-0.4696384173715946,0.046928910122269345,2535458975830397,Mcoatz,11.0,-8.670000076293945,-111.66000366210938,98.41000366210938,-11097.900390625,8550.30029296875,177.80000686645508,-3169.4000244140625,-463.6000061035156,-4470.899963378906,254.0,128.0,,1.3817202166184517,2.406174975390303,0.5191194881582344,True,0.0,False,4,False,3,,76561198050924541,Noslen,10.0,-309.2099914550781,-1188.300048828125,17.010000228881836,10857.900390625,8180.10009765625,2.0999999344348907,-1.7000000178813934,-0.7999999821186066,-987.2000122070312,128.0,25.0,,0.009625345277910168,0.6453114210329886,-0.00015506374830380183,True,False,False,False,89.0,False,,enpitsu,76561198039309853,25,3245.949951171875,4335.0,45.959999084472656,7492.60009765625,11655.400390625,-2678.800048828125,-2357.5999450683594,1501.199951171875,2.0000000298023224,255.0,128.0,,0.6124058607415834,-2.141795409982681,-0.0009429208091809569,False,255.0,False,2,False,2,,games5425898691,bf81d8692db,17.0,-27.15999984741211,155.08999633789062,90.33000183105469,9634.7998046875,-20669.49951171875,440.9000015258789,5105.899963378906,2042.1000671386719,-94.49999809265137,128.0,128.0,,1.205548627487892,-1.4646526441644563,-0.26223243281497277,True,0.0,False,False,3,4,
7,883,16.0,False,False,1,5233.558485236018,10.949999809265137,-18.18000030517578,170.02999877929688,752.9000091552734,5654.0997314453125,8606.500244140625,4626.700134277344,-482.5,-3789.4000244140625,1.0,-0.10916644487376123,0.6448479695049971,0.029160442147666485,bf81d8692db,games5425898691,17.0,27.15999984741211,-155.08999633789062,90.33000183105469,-9634.7998046875,20669.49951171875,440.9000015258789,-5105.899963378906,-2042.1000671386719,-94.49999809265137,128.0,128.0,,-1.205548627487892,1.4646526441644563,-0.26223243281497277,True,0.0,False,4,False,3,,76561198039309853,enpitsu,25.0,-3304.60009765625,-4426.330078125,24.610000610351562,-6511.9000244140625,-10217.7001953125,-2142.2000122070312,3929.4000244140625,-1887.4000549316406,-152.7999973297119,255.0,128.0,,-0.1757009806836386,2.142337821327381,0.004481835970632358,False,2,2,False,255.0,False,,Noslen,76561198050924541,10,309.2099914550781,1188.300048828125,17.010000228881836,-10857.900390625,-8180.10009765625,2.0999999344348907,1.7000000178813934,0.7999999821186066,-987.2000122070312,128.0,25.0,,-0.009625345277910168,-0.6453114210329886,-0.00015506374830380183,True,89.0,False,False,False,False,,Mcoatz,2535458975830397,11.0,8.670000076293945,111.66000366210938,98.41000366210938,11097.900390625,-8550.30029296875,177.80000686645508,3169.4000244140625,463.6000061035156,-4470.899963378906,254.0,128.0,,-1.3817202166184517,-2.406174975390303,0.5191194881582344,True,0.0,False,False,3,4,
8,956,19.0,False,False,0,6583.66321057152,-214.5399932861328,-1408.300048828125,131.80999755859375,-9518.699951171875,10793.199462890625,2545.500030517578,5540.7000732421875,1852.1000671386719,1367.2999572753906,0.0,-0.9600776201498055,1.1960489861787038,1.8717076321796533,76561198050924541,Noslen,10.0,-139.8300018310547,-1520.050048828125,15.630000114440918,-8263.699951171875,5480.2001953125,-443.6000061035156,-1812.4000549316406,511.5999984741211,-1643.800048828125,255.0,128.0,False,0.03682107419650704,2.4387628304003557,0.0422214245572586,True,120.0,False,False,False,False,,2535458975830397,Mcoatz,11.0,-3058.260009765625,19.940000534057617,16.989999771118164,-14080.899658203125,6.700000166893005,4.699999988079071,-1.7000000178813934,-0.19999999552965164,969.8000335693359,255.0,185.0,,0.009564919130004262,-3.1404427741544185,0.00016195020230727326,True,4,4,False,0.0,False,,enpitsu,76561198039309853,25,1937.8800048828125,2511.840087890625,110.88999938964844,-10820.10009765625,-15252.2998046875,-165.9000015258789,4485.5999755859375,-3182.5,0.0,255.0,128.0,,0.6449123386532126,0.9537313976016109,-3.141574256919818,True,255.0,False,4,False,3,,games5425898691,bf81d8692db,18.0,2235.909912109375,-144.47999572753906,116.38999938964844,13996.700439453125,-1192.2000122070312,-895.6999969482422,1838.0000305175781,2945.8999633789062,-1014.4999694824219,255.0,128.0,,-0.6629714868699057,0.3535176283423862,-0.8635394393195073,False,31.0,False,False,6,6,
9,1006,21.0,False,False,0,4875.318173211267,-1773.489990234375,344.29998779296875,105.13999938964844,-3623.0999755859375,13160.999755859375,1634.9000549316406,1090.1000213623047,-707.0999908447266,-3903.2998657226562,0.0,0.1608115414853881,3.057193187501243,0.37936429137381533,76561198050924541,Noslen,10.0,-1875.0400390625,262.7099914550781,16.600000381469727,-8263.599853515625,14404.3994140625,-88.00000190734863,126.09999656677246,100.20000457763672,-1057.6000213623047,255.0,0.0,,0.0002162402556456971,2.052324358258529,-0.002256569359702772,True,66.2464774167666,True,False,False,False,,2535458975830397,Mcoatz,11.0,-3194.340087890625,-366.9200134277344,17.020000457763672,6856.099853515625,8291.099853515625,1.0999999940395355,1.2999999523162842,1.8000000715255737,-2187.100067138672,254.0,3.0,,0.009540316207012022,0.8529764012234565,-0.00022189029792106163,True,4,4,False,255.0,False,,enpitsu,76561198039309853,25,-971.8900146484375,1284.6300048828125,17.030000686645508,-22958.798828125,-1375.8999633789062,1.2999999523162842,0.5999999865889549,0.0,2009.7000122070312,255.0,255.0,,0.01677462110455123,-3.0065010200540656,5.8752372864045204e-05,True,194.0,False,4,False,4,,games5425898691,bf81d8692db,18.0,3503.4599609375,1417.8299560546875,17.020000457763672,-6451.199951171875,19974.100341796875,-2.0999999344348907,0.0,0.5000000074505806,5.899999737739563,255.0,128.0,,0.009605306129199782,1.8839941702649936,-2.8189377896756182e-05,True,191.8836815639209,True,False,6,6,
