,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,174,0,False,False,0,5181.190880409143,-22.15999984741211,33.029998779296875,102.54000091552734,-9300.599975585938,14584.100341796875,3957.39990234375,-716.6000366210938,1160.199966430664,-4703.2000732421875,0.0,0.027895162600917154,-0.11786231145340711,-0.019573626017746294,2294448790294580385,yorkluke,7.0,135.7899932861328,-179.64999389648438,17.25,-8122.8997802734375,11031.600341796875,3169.2999267578125,-294.59999084472656,299.3000030517578,2967.7999877929688,253.0,255.0,,0.007800670487739156,2.6265584292703275,-0.01480214804760797,True,0.0,False,5,False,4,,2535416034309210,NotSoJack,5.0,-3088.72998046875,-3881.68994140625,17.010000228881836,-7933.2000732421875,10671.99951171875,2.5999999046325684,0.0,0.0,-2597.5,230.0,0.0,False,0.00957197660279337,2.0829515530854255,6.92331224942614e-05,True,255.0,False,False,False,False,,enpitsu,76561198039309853,26,2500.449951171875,4054.02001953125,17.049999237060547,16220.6005859375,3690.7000732421875,2.800000011920929,-5.600000023841858,-1.1999999731779099,-499.0999984741211,255.0,0.0,False,0.01677605694031171,0.22972157117039094,-0.00010106394931344315,True,False,40.0,False,False,False,,games5425898691,bf81d8692db,18.0,20.959999084472656,391.760009765625,47.02000045776367,-1638.800048828125,-20425.899658203125,2807.0001220703125,515.6999969482422,-63.20000171661377,-362.2999954223633,255.0,128.0,0.02260964476216008,-1.6962057985160903,0.00019342210798066535,True,22.0,False,4,False,False,,
1,176,0,False,False,1,5286.900582839087,96.95999908447266,-86.16999816894531,142.57000732421875,20038.699951171875,14391.500244140625,12547.900390625,4685.299987792969,-245.49999237060547,-3740.0,1.0,-0.007822424396196003,0.5090047729189927,-0.23784910596623898,bf81d8692db,games5425898691,18.0,-14.779999732971191,-319.7200012207031,55.459999084472656,2061.0000610351562,22790.30029296875,2311.6000366210938,-4343.599853515625,572.7000045776367,-339.0999984741211,255.0,128.0,,-0.0918458827210541,1.7078138694115663,-0.00012097548082856961,True,22.0,False,4,False,3,,76561198039309853,enpitsu,26.0,-2636.2900390625,-4079.81005859375,17.049999237060547,-16373.800048828125,-2483.8999938964844,2.8999999165534973,-0.7999999821186066,-0.0,-1603.800048828125,255.0,0.0,False,-0.016778900529888143,-0.12674133820515984,-0.0002488778427471109,True,40.0,False,False,False,False,,NotSoJack,2535416034309210,5,3141.14990234375,3786.14990234375,17.010000228881836,5007.60009765625,-11986.800537109375,2.5,-0.0,0.19999999552965164,-2406.1000061035156,230.0,0.0,False,-0.009571462698404498,-1.8766202747307184,5.471907110155448e-05,True,False,255.0,False,False,False,,yorkluke,2294448790294580385,7.0,-62.70000076293945,113.5,43.349998474121094,8562.39990234375,-6747.9998779296875,3153.3999633789062,-1151.6000366210938,-851.8000030517578,2413.3999633789062,254.0,128.0,0.050165773077582805,-2.85657991529827,-0.035082218261156824,True,0.0,False,6,4,False,,
2,281,3,False,False,0,9783.64912105039,-2003.7900390625,-4580.72998046875,131.89999389648438,15991.300048828125,10440.30029296875,1409.4999694824219,4789.89990234375,-2595.4000854492188,-2513.8999938964844,0.0,-0.4068601688005971,1.362823852919559,0.4829378400972397,2535416034309210,NotSoJack,6.0,-2131.830078125,-4726.580078125,17.010000228881836,14280.0,5155.999755859375,-0.09999999776482582,-3.700000047683716,-1.4000000059604645,1541.300048828125,255.0,128.0,,0.009586558593327656,0.41480691187573865,-5.006869453140269e-05,True,178.35409895835386,True,False,False,False,,2294448790294580385,yorkluke,6.0,-4077.2099609375,-909.9400024414062,245.7100067138672,75.9000015258789,-11950.2001953125,-631.5000152587891,2594.7000122070312,-170.0,89.60000038146973,255.0,255.0,True,0.0998062278676153,-1.574920720456119,-1.5118890684061312,True,,False,8,6,False,,enpitsu,76561198039309853,26,-132.80999755859375,454.8500061035156,17.049999237060547,662.3999786376953,-17540.0,2.5999999046325684,-0.09999999776482582,1.5999999642372131,627.599983215332,255.0,,,0.016785109716443713,-1.485587420427789,-0.00018554803662137423,True,2,255.0,False,2,False,,games5425898691,bf81d8692db,18.0,-1960.1199951171875,-2781.81005859375,17.020000457763672,4593.2000732421875,-9756.199951171875,0.7999999821186066,-1.8000000715255737,2.800000011920929,1061.500015258789,255.0,128.0,0.009566328212500556,-1.0668902175017023,-0.00019234425839102803,True,83.0,False,6,6,False,,
3,306,4,False,False,0,8815.308039572878,-616.0,-3670.860107421875,112.33999633789062,13890.6005859375,22561.39892578125,1960.2999877929688,1203.6000061035156,1108.8999938964844,-5772.39990234375,0.0,0.19176711153874132,2.419907090433688,1.8875417370104097,2535416034309210,NotSoJack,6.0,-631.780029296875,-3845.489990234375,67.87000274658203,11391.199951171875,18370.699462890625,2557.4000549316406,-175.59999465942383,867.6000213623047,2801.300048828125,218.0,202.0,,0.05712756199084467,1.107098458373215,0.010475322755572265,True,109.0,False,4,False,3,,2294448790294580385,yorkluke,6.0,-3592.27001953125,-1221.4000244140625,17.010000228881836,6849.89990234375,7833.800048828125,6.3999998569488525,-8.00000011920929,7.300000190734863,2391.300048828125,255.0,255.0,False,0.008930047915824815,0.9035694893353833,2.1937789137248982e-05,True,,False,8,6,False,,enpitsu,76561198039309853,26,264.3999938964844,-1154.5999755859375,17.049999237060547,6578.0999755859375,-19267.5,2.8999999165534973,0.7000000029802322,-0.5999999865889549,-1559.7000122070312,0.0,128.0,,0.016818178507992054,-1.271344946694538,-0.0002405953940443023,True,2,225.0,False,2,False,,games5425898691,bf81d8692db,18.0,-825.8200073242188,-3361.840087890625,17.020000457763672,18313.199462890625,-2320.0999450683594,-2.0000000298023224,0.7000000029802322,0.0,31.80000066757202,255.0,128.0,0.00960329344236976,-0.1218973599974573,-1.852440582142543e-05,True,56.47116551604321,True,6,6,False,,
4,325,5,False,False,1,3121.445805463762,-256.92999267578125,2239.280029296875,108.80000305175781,12248.599853515625,14324.000244140625,3402.9000854492188,3846.099853515625,-4322.300109863281,1588.8999938964844,1.0,-0.19685334157021414,1.4150667484799984,2.202180577302802,76561198039309853,enpitsu,26.0,-382.5899963378906,2064.2099609375,70.13999938964844,2887.39990234375,6868.499755859375,1392.4000549316406,328.4000015258789,5150.7000732421875,-1900.5000305175781,128.0,0.0,,-0.0536802319833636,1.7631536082909183,0.6154881859604304,True,217.0,False,4,False,3,,bf81d8692db,games5425898691,18.0,-488.6300048828125,3012.889892578125,18.450000762939453,-20473.900146484375,-9910.700073242188,-825.1000213623047,-2696.0000610351562,-1358.3000183105469,123.69999885559082,255.0,128.0,,-0.010752331767077758,-0.5092890262968595,-0.04256606655809326,False,5.0,False,6,6,False,,NotSoJack,2535416034309210,6,-268.5299987792969,3103.360107421875,170.6699981689453,-14369.89990234375,-7554.0997314453125,609.0000152587891,4740.299987792969,-317.90000915527344,-1449.1000366210938,210.0,24.0,,0.8530606740584256,-0.2805357252569605,1.1694634362261827,True,4,109.0,False,4,False,,yorkluke,2294448790294580385,6.0,3662.510009765625,455.6000061035156,17.010000228881836,3687.9998779296875,-11409.69970703125,2.199999988079071,0.5999999865889549,-1.8000000715255737,-2236.3999938964844,255.0,0.0,-0.00951671474601617,-1.8423164283089177,-0.00016306744912760024,True,,False,8,6,False,,False
5,432,9,False,False,1,2125.2628527142742,3007.610107421875,4899.490234375,317.9800109863281,-16568.199462890625,11560.799560546875,3141.6000366210938,-3670.7000732421875,2203.9999389648438,-249.0999984741211,1.0,0.3527252528360143,1.2474105369656054,1.3855327108153273,76561198039309853,enpitsu,26.0,3107.3798828125,4815.9501953125,240.08999633789062,-13088.00048828125,1734.4000244140625,2977.5,3215.7998657226562,1118.0000305175781,1235.2999877929688,128.0,255.0,False,0.38758806206582397,0.8154511786003791,-1.2234591367013246,True,102.0,False,6,False,5,,bf81d8692db,games5425898691,18.0,-1036.510009765625,-199.1999969482422,17.0,6467.8997802734375,18618.599853515625,3.3000001311302185,-0.0,0.3999999910593033,135.79999923706055,255.0,128.0,,-0.0095908007445735,1.8899253870248525,-9.068670344224e-05,True,205.0,False,6,6,False,,NotSoJack,2535416034309210,6,-1558.3599853515625,4976.18017578125,20.530000686645508,14020.400390625,1173.7000274658203,200.0,756.6000366210938,34.60000038146973,416.1000061035156,254.0,148.0,False,0.00522738058847477,3.029795458436616,0.11968356185565016,True,4,255.0,False,4,False,,yorkluke,2294448790294580385,6.0,329.54998779296875,4181.02978515625,17.0,-6455.8001708984375,19272.900390625,3.4999999403953552,-0.0,0.09999999776482582,-3028.2000732421875,255.0,0.0,-0.009559481535813194,1.4803925946190393,-0.00011748016192873995,True,255.0,False,12,8,False,,True
6,467,10,False,False,0,10174.953811896712,-963.489990234375,-5034.72998046875,206.89999389648438,-5562.0001220703125,-21580.80078125,7234.1998291015625,1469.2999267578125,4435.5999755859375,3763.800048828125,0.0,0.2553621763625703,-2.3101636642245604,1.6455837019289445,2294448790294580385,yorkluke,6.0,-830.3200073242188,-4885.43017578125,110.66000366210938,-16370.799560546875,-2343.699951171875,3092.9998779296875,-1321.7999267578125,-4607.9998779296875,1429.2999267578125,255.0,153.0,False,-0.04310320833196864,-2.5035100418208036,0.04750087409476635,True,217.4671913603301,True,14,False,9,,2535416034309210,NotSoJack,6.0,-93.44999694824219,-5120.77978515625,17.0,-12385.6005859375,-1270.8000183105469,3.1999999284744263,-0.29999999329447746,-0.5999999865889549,1.4000000059604645,215.0,128.0,False,0.009525382322720695,-3.0390830046812294,-3.533582365513479e-05,True,242.0,False,4,4,False,,enpitsu,76561198039309853,26,-1323.8900146484375,-5104.77001953125,250.38999938964844,16235.30029296875,123.69999885559082,1156.6000366210938,-186.8000030517578,1215.4000091552734,46.19999885559082,255.0,255.0,False,-0.15081443473880587,-0.019050749243853065,-1.5591660522051984,True,6,61.0,False,6,False,,games5425898691,bf81d8692db,18.0,1190.9200439453125,-1773.6700439453125,17.0,7699.000244140625,-12764.3994140625,3.6000001430511475,0.7000000029802322,-1.0999999940395355,-1960.8000183105469,255.0,0.0,0.009588867331719923,-1.079972373123775,-0.00013092548550268395,True,235.0,False,6,6,False,,
7,561,14,False,False,0,9314.615954920071,-3941.239990234375,-3662.760009765625,632.22998046875,1829.6000671386719,7180.7000732421875,-11948.800048828125,3312.9000854492188,4759.800109863281,-1538.9999389648438,0.0,0.6815196708339972,2.910855822259578,-1.553878853699735,2294448790294580385,yorkluke,6.0,-4068.320068359375,-3732.77001953125,634.7999877929688,-732.9000091552734,5926.9000244140625,-7468.699951171875,-2101.9000244140625,-132.5,-582.2999954223633,115.0,0.0,,0.9189180739775472,1.7545974428118232,1.5401021544936224,True,188.0,False,14,False,10,,2535416034309210,NotSoJack,6.0,-1636.050048828125,-4581.27001953125,17.0,-5912.5,6334.4000244140625,3.3000001311302185,0.29999999329447746,-0.7999999821186066,-4.300000071525574,211.0,128.0,,0.009522517132241825,2.3209472174851693,7.57934053891085e-05,True,242.0,False,4,4,False,,enpitsu,76561198039309853,26,2.0299999713897705,-3822.909912109375,17.049999237060547,16.299999952316284,15537.2998046875,-2.0999999344348907,-0.09999999776482582,-0.09999999776482582,-292.8000068664551,255.0,128.0,,0.016773821104089613,1.545514094998846,0.000222810435972581,True,6,45.388103046724865,True,6,False,,games5425898691,bf81d8692db,18.0,-3677.9599609375,-3714.110107421875,356.07000732421875,-19629.49951171875,-9998.200073242188,1641.0000610351562,-1969.9000549316406,-1134.3000030517578,-777.2000122070312,255.0,0.0,-0.6710105945371095,2.36848668619729,1.07101463595352,True,170.0,False,8,6,False,,
8,573,14,False,False,0,9010.318405084901,-3862.469970703125,-3367.989990234375,100.41000366210938,5284.7998046875,4163.0999755859375,7685.9002685546875,-4327.900085449219,4144.2999267578125,-304.50000762939453,0.0,-1.3359052034418926,0.37251108365234564,0.13849058056189628,2294448790294580385,yorkluke,6.0,-4039.760009765625,-3586.93994140625,123.05000305175781,6525.8001708984375,3553.599853515625,-11365.50048828125,1086.1000061035156,-5295.3997802734375,1014.0000152587891,242.0,171.0,,0.9291423824521492,0.46319838013971354,0.3716270657537729,True,174.0,False,14,False,10,,2535416034309210,NotSoJack,6.0,-1883.3399658203125,-4260.77001953125,17.0,-5795.3997802734375,8515.599975585938,3.400000035762787,0.19999999552965164,-0.5000000074505806,-11.299999952316284,205.0,128.0,,0.009555986241298099,2.1665322182143463,6.857460728963168e-05,True,255.0,False,4,4,False,,enpitsu,76561198039309853,26,29.15999984741211,-3088.6201171875,17.049999237060547,853.6000061035156,19640.2001953125,-2.0999999344348907,0.0,-0.7000000029802322,-0.5000000074505806,255.0,128.0,,0.016789747730461567,1.5272830586781627,3.9053717790459374e-05,True,6,13.0,False,6,False,,games5425898691,bf81d8692db,18.0,-4027.72998046875,-3892.6201171875,361.0299987792969,-559.3999862670898,1685.8999633789062,-852.0999908447266,-1114.8999786376953,-388.10001373291016,-177.99999237060547,255.0,0.0,0.012426070578207968,1.9118911687523055,1.5941462570619545,True,170.0,False,8,6,False,,
9,616,16,False,False,0,8156.184677009345,-3049.68994140625,-2726.699951171875,491.4800109863281,9391.799926757812,8820.30029296875,7347.8997802734375,1504.1999816894531,1850.0,-416.5999984741211,0.0,1.3090314809532653,-1.5835035301079243,-2.673050680290914,2294448790294580385,yorkluke,6.0,-3092.7099609375,-2746.800048828125,324.6099853515625,5787.9998779296875,7940.5999755859375,3804.2999267578125,3028.800048828125,1553.2000732421875,2962.3001098632812,128.0,211.0,,-1.1039375443717248,-0.641321169018529,-2.6816964014626223,True,127.04924730331668,True,16,False,10,,2535416034309210,NotSoJack,6.0,-1592.7900390625,-3037.5,17.0,11765.30029296875,1367.8999328613281,3.3000001311302185,-0.5999999865889549,0.0,-15.099999904632568,223.0,128.0,,0.009555307030954899,0.11329405408337209,6.094981306128696e-05,True,255.0,False,4,4,False,,enpitsu,76561198039309853,26,-70.33999633789062,68.18000030517578,17.049999237060547,1528.9999389648438,20815.80078125,2.5999999046325684,0.0,0.0,-1.0000000149011612,255.0,128.0,,0.01678104623548574,1.497321962006026,1.5799453324709256e-06,True,6,43.0,False,6,False,,games5425898691,bf81d8692db,18.0,-3228.550048828125,-2765.320068359375,272.42999267578125,9351.900024414062,10046.099853515625,4407.200012207031,1054.1000366210938,628.6000061035156,-476.1000061035156,255.0,39.0,-1.2242202887598583,0.7996451996948568,-0.16564305650982947,True,132.4268816363427,True,10,6,False,,
