,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,170,0,False,1,5161.5462190363205,9.569999694824219,55.13999938964844,102.4800033569336,3989.2999267578125,23981.201171875,3665.0,4710.0,-1703.8999938964844,3303.3999633789062,1.0,-0.06262327414808017,-0.10195015634905329,-0.1486588862541982,76561198393981356,Annabelle,20.0,-53.099998474121094,-221.64999389648438,83.33000183105469,9443.699951171875,20852.7001953125,2146.1000061035156,-5442.39990234375,-602.0000076293945,517.0000076293945,255.0,152.0,,-0.5799899259357015,2.0451904618049133,-0.3012263311027046,,3,False,4,0.0,False,,76561198262848101,khaledali0907,18.0,-23.959999084472656,-1941.4100341796875,17.010000228881836,-487.09999084472656,13633.1005859375,2.0999999344348907,-0.0,-0.0,4.900000095367432,255.0,128.0,,-0.009576673502252534,1.5343147054311295,-8.43135755148552e-06,True,False,False,False,116.0,False,,enpitsu,76561198039309853,27,71.20999908447266,3770.219970703125,17.049999237060547,-1432.5999450683594,-9357.100219726562,2.5999999046325684,-0.0,0.7000000029802322,-126.80000305175781,255.0,128.0,False,-0.01668309928555342,-1.4057420312030255,0.00011288953358096978,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,24.0,62.290000915527344,388.8299865722656,77.06999969482422,327.20001220703125,-22481.8994140625,2170.2000427246094,5100.899963378906,2056.300048828125,46.19999885559082,128.0,180.0,-0.6280776854178792,-1.4235059354583675,-0.32856586589359776,True,3,False,4,31.0,False,,
1,2496,84,False,1,3512.652649659429,-2551.840087890625,4468.33984375,144.2100067138672,6796.099853515625,3786.7999267578125,3998.2000732421875,-286.299991607666,-2492.2999572753906,4461.300048828125,1.0,0.20565162741990303,1.2042270034317812,2.1058183842393086,76561198262848101,khaledali0907,19.0,-2603.260009765625,4448.31982421875,17.010000228881836,7195.8001708984375,6917.0001220703125,2.0999999344348907,1.5000000596046448,-0.0,297.8000068664551,234.0,155.0,,-0.009622228071580852,2.3779160277943756,-2.2106390460482153e-06,,22,False,30,255.0,False,,76561198393981356,Annabelle,15.0,-592.02001953125,2900.070068359375,17.010000228881836,1780.0999450683594,8237.80029296875,2.0999999344348907,-0.09999999776482582,-0.7999999821186066,-8.600000143051147,255.0,128.0,,-0.00952290693442686,1.785117220343642,7.289948875114888e-05,True,22,4,24,75.0,False,,enpitsu,76561198039309853,27,-1074.8699951171875,4817.33984375,58.20000076293945,-8130.9002685546875,486.6999816894531,3713.900146484375,4.4999998807907104,3.799999952316284,244.3000030517578,128.0,128.0,,-0.016321519446200066,0.019705336966663486,-0.0009647097947153165,True,206.67543234620047,True,24,False,20,,games5425898691,bf81d8692db,24.0,-224.85000610351562,4493.2001953125,17.0,-4164.89990234375,2562.6998901367188,3.700000047683716,0.19999999552965164,1.1999999731779099,1987.1000671386719,255.0,255.0,-0.009589398687397294,0.5949035100764742,4.534264552722106e-05,True,24,False,28,112.0,False,,
2,3674,127,False,1,3394.231703524577,3084.8798828125,2545.85009765625,117.47000122070312,-18016.500244140625,13915.699462890625,-1547.7999877929688,1812.7999877929688,-2073.3999633789062,-4643.299865722656,1.0,0.5008532631159694,0.6209805989787233,2.0841116411002614,76561198262848101,khaledali0907,19.0,3228.139892578125,2494.8701171875,15.34000015258789,-10424.000244140625,14585.6005859375,-232.09999084472656,413.80001068115234,-2467.100067138672,1941.4999389648438,255.0,255.0,,-0.04976265771522965,0.8892418346774774,-0.05078440023467056,False,34,False,44,62.84478290363027,True,,76561198393981356,Annabelle,16.0,583.2999877929688,-186.02999877929688,17.010000228881836,-658.3999633789062,14084.599609375,2.0000000298023224,-0.0,0.7999999821186066,0.0,225.0,128.0,False,-0.009602147926585917,1.5240435715285983,-7.312501698571351e-05,True,34,4,36,255.0,False,,enpitsu,76561198039309853,28,-1009.260009765625,3769.27001953125,17.030000686645508,3422.9000854492188,19874.100341796875,5.099999904632568,0.09999999776482582,0.9000000357627869,-475.9000015258789,255.0,0.0,,-0.016776915395559113,1.7798204363471155,0.0001427541724286922,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,24.0,-1577.760009765625,3126.889892578125,17.030000686645508,5420.8001708984375,18890.799560546875,-0.09999999776482582,0.3999999910593033,1.899999976158142,-1571.0000610351562,255.0,32.0,-0.009591186096577177,1.8913501105808348,-0.0001903346286394069,True,36,False,44,202.0,False,,
3,3690,128,False,1,2154.811905815123,2061.139892578125,3327.360107421875,95.25,-16155.799560546875,12192.2998046875,680.1000213623047,-1735.7000732421875,-4670.0,-3343.2000732421875,1.0,0.5624487952905525,2.446317315187769,-0.2850339377689847,76561198262848101,khaledali0907,19.0,2287.25,3223.93994140625,16.989999771118164,-20103.00048828125,11174.3994140625,2.3000000417232513,0.5999999865889549,-0.09999999776482582,1662.7999877929688,255.0,255.0,,-0.009611718074580144,0.463339516422368,0.00016587828362450368,False,34,False,44,15.0,False,,76561198393981356,Annabelle,16.0,543.7000122070312,659.25,17.010000228881836,-658.3999633789062,14084.599609375,2.0000000298023224,-0.0,0.7999999821186066,0.0,160.0,128.0,False,-0.009602147926585917,1.5240435715285983,-7.312501698571351e-05,True,34,4,36,255.0,False,,enpitsu,76561198039309853,28,-515.3699951171875,4643.43994140625,17.030000686645508,15221.700439453125,9663.599853515625,5.5000001192092896,-0.0,-0.0,-2009.1000366210938,255.0,0.0,,-0.01682538544383106,2.6480760787418323,1.557104327826842e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,24.0,-934.5900268554688,4047.35009765625,17.030000686645508,16975.6005859375,12370.799560546875,-4.000000059604645,-5.400000214576721,-3.799999952316284,-1029.4000244140625,255.0,0.0,-0.009594890516065244,2.5284150061975903,-4.652794208756794e-05,True,36,False,44,183.21768620706376,True,,
4,3709,128,False,1,1017.3415608464098,996.25,4127.60986328125,93.12999725341797,-14832.80029296875,11085.799560546875,0.0,-2811.7001342773438,-4891.600036621094,-2040.8999633789062,1.0,-0.15892968579710798,1.7487036601939003,1.6076452909196643,76561198262848101,khaledali0907,19.0,881.1400146484375,3968.5400390625,93.80000305175781,-19323.900146484375,12472.39990234375,-154.3000030517578,-5425.2001953125,-899.1999816894531,-91.99999809265137,255.0,128.0,,0.09842303269931371,-0.608939385920811,-2.899505707810005,True,35,False,46,15.0,False,,76561198393981356,Annabelle,16.0,605.5599975585938,1552.8499755859375,17.010000228881836,5676.099853515625,9122.7001953125,2.3999999463558197,0.09999999776482582,0.29999999329447746,-2230.5999755859375,128.0,0.0,False,-0.00963515693645527,2.182825141466847,-1.968553110430514e-05,True,34,4,36,255.0,False,,enpitsu,76561198039309853,27,595.2100219726562,4576.009765625,49.08000183105469,15840.0,-7811.400146484375,3522.9998779296875,246.29999160766602,455.2000045776367,-2006.9000244140625,255.0,0.0,,-0.02963165621052929,-2.5571481160385425,-0.001674868223836748,True,237.0,False,4,False,3,,games5425898691,bf81d8692db,24.0,519.719970703125,4418.47021484375,21.979999542236328,21998.30078125,-5882.9998779296875,2993.699951171875,2.7000001072883606,-0.19999999552965164,-1381.0000610351562,255.0,66.0,-0.00958480276511121,-2.8104498477671,0.00011035947110600422,True,36,False,45,132.0,False,,
5,3899,135,True,0,1022.7314724390077,-944.3099975585938,4118.41015625,280.3699951171875,11145.400390625,22248.9990234375,5178.900146484375,5064.4000244140625,2449.7999572753906,-2085.5999755859375,0.0,-1.4858546975520524,-1.0622530854236114,-0.12982148839999585,bf81d8692db,games5425898691,24.0,-979.3499755859375,3912.39990234375,152.89999389648438,-3242.9998779296875,16827.39990234375,1380.0,-2467.5999450683594,3907.7999877929688,39.80000019073486,255.0,2.0,,-0.5093641022270888,1.547778258197538,0.2982987117550098,True,39,False,48,144.0,False,,76561198039309853,enpitsu,27.0,939.47998046875,4941.31005859375,86.47000122070312,5892.8997802734375,-11016.8994140625,2190.8999633789062,2080.0,-2285.2999877929688,1680.0999450683594,255.0,128.0,False,-0.3639869017384521,-1.1753302754617558,1.3046671537857777,True,6,False,6,133.0,False,,khaledali0907,76561198262848101,19,353.010009765625,4952.93994140625,16.989999771118164,-19799.599609375,1235.8000183105469,4.600000083446503,-0.09999999776482582,0.5999999865889549,309.6999931335449,245.0,121.0,,0.00962839956825015,3.113251554956826,-0.00016342689870422954,True,255.0,False,48,False,38,,Annabelle,76561198393981356,16.0,,,,,,,,,,,,,,,True,,,,,,,
6,4198,137,False,1,5787.90460314519,-243.3800048828125,-534.6500244140625,124.23999786376953,-2461.9000244140625,25096.10107421875,9848.099975585938,5792.0001220703125,-869.3000030517578,1302.2999572753906,1.0,-0.30462210981734766,-3.1334307550443454,1.5703236834529144,76561198393981356,Annabelle,15.0,-242.52999877929688,-708.4600219726562,15.449999809265137,-1379.2999267578125,17127.900390625,29.30000066757202,-142.29999542236328,-43.29999923706055,-1785.8999633789062,255.0,128.0,,0.013829692482934667,1.576268344263414,0.029412994249622886,True,False,False,False,88.9427524305159,True,,76561198262848101,khaledali0907,19.0,676.8200073242188,-280.30999755859375,16.3700008392334,3793.699951171875,2278.300018310547,41.90000057220459,129.89999771118164,31.600000858306885,-2459.1000366210938,255.0,0.0,,-0.014569605383881787,2.468024078851188,-0.00535344757780923,True,4,False,4,0.0,False,,enpitsu,76561198039309853,27,15.59000015258789,190.92999267578125,16.18000030517578,-809.0000152587891,-914.8000335693359,83.00000190734863,-42.10000038146973,-34.30000066757202,401.1000061035156,255.0,0.0,,-0.014644107087104967,-1.3902749465797666,-0.0026584485727841416,True,0.0,False,4,False,2,,games5425898691,bf81d8692db,24.0,-2678.85009765625,5097.39013671875,222.47999572753906,14435.6005859375,1623.0999755859375,-1530.2999877929688,-111.99999809265137,2060.399932861328,-1468.3999633789062,255.0,0.0,-0.13838782278255998,3.023570247168655,1.578895798809631,True,False,False,False,255.0,False,,
7,4593,151,True,1,2510.1989480675034,-715.3699951171875,3215.27001953125,159.30999755859375,13031.099853515625,20192.2998046875,2158.5000610351562,415.6999969482422,3021.400146484375,5167.0001220703125,1.0,-0.6229435721235429,-2.5766569255581793,2.6607372244383822,76561198393981356,Annabelle,16.0,-772.0,3024.47998046875,150.8800048828125,20066.700439453125,11234.300537109375,338.69998931884766,1133.6000061035156,5271.7999267578125,1082.7999877929688,255.0,28.0,,-0.053437128743112745,2.2523964011168647,0.5670039423709282,True,5,4,8,167.0,False,,76561198262848101,khaledali0907,19.0,-1778.989990234375,3677.39990234375,16.989999771118164,8515.599975585938,-14426.8994140625,4.600000083446503,-0.3999999910593033,0.5999999865889549,-34.700000286102295,255.0,128.0,False,-0.009601766774170007,-2.0992009832098653,9.206714124324152e-05,True,8,False,12,7.0,False,,enpitsu,76561198039309853,27,-1205.47998046875,4949.22998046875,27.399999618530273,21385.80078125,-1242.9000091552734,2901.6000366210938,-502.20001220703125,140.10000228881836,37.40000009536743,128.0,128.0,,-0.030133826851553993,-3.0850338939425708,0.009958920761451431,True,99.0796904076812,True,6,False,4,,games5425898691,bf81d8692db,24.0,280.9599914550781,4825.919921875,17.0,-14038.00048828125,-5393.499755859375,3.3000001311302185,1.0999999940395355,0.7000000029802322,540.8000183105469,255.0,128.0,-0.00961543275403225,-0.4147070225489444,-0.00018780909507161022,True,6,False,6,239.0,False,,
8,4874,152,False,1,5189.173495115981,-4.400000095367432,29.540000915527344,101.68000030517578,-1817.7999877929688,22354.89990234375,6315.9002685546875,4406.199951171875,1226.9999694824219,-181.70000076293945,1.0,0.020538245622339323,0.00226360900128965,-0.07341520945876777,76561198393981356,Annabelle,15.0,14.15999984741211,-191.89999389648438,17.010000228881836,-7386.199951171875,17886.099853515625,2.3000000417232513,-0.29999999329447746,0.9000000357627869,-1901.300048828125,255.0,0.0,,-0.00960016735258915,1.2407332313349442,-0.00010272124164947572,,False,False,False,0.0,False,,76561198262848101,khaledali0907,19.0,-0.0,-2419.550048828125,17.0,-0.0,13651.199951171875,7.699999809265137,2.3000000417232513,-0.0,0.0,255.0,,,-0.009712256921086888,1.5708185267154597,-1.0807070479903107e-07,True,4,False,4,146.0,False,,enpitsu,76561198039309853,27,-0.0,3109.3701171875,17.049999237060547,-0.0,-5717.8997802734375,2.5999999046325684,-0.5000000074505806,-0.0,0.0,255.0,,,-0.01689936891313742,-1.57074562674276,-4.880553534275816e-07,True,116.0,False,2,False,2,,games5425898691,bf81d8692db,24.0,-95.73999786376953,313.04998779296875,84.69999694824219,-986.1000061035156,-22484.49951171875,2305.0,4835.4998779296875,-2617.9000854492188,118.99999618530273,128.0,128.0,-0.7141009499958588,-1.6934833201058095,0.4584892568839022,True,3,False,4,0.0,False,,
9,5074,160,True,0,1429.8899630421213,-1542.6800537109375,3864.699951171875,438.1600036621094,20519.3994140625,21851.0009765625,-9215.30029296875,-5552.19970703125,-1034.1000366210938,2025.3999328613281,0.0,1.2309208310751778,1.0915119874553423,-3.0839813632331325,bf81d8692db,games5425898691,24.0,-1639.989990234375,3699.0,461.67999267578125,17723.599853515625,11731.500244140625,-429.90001678466797,860.4000091552734,5032.699890136719,2044.7999572753906,255.0,128.0,,-0.010154384226325036,1.7587957896696063,2.6120225913144415,True,7,False,8,101.80625401261032,True,,76561198039309853,enpitsu,27.0,-843.4299926757812,-530.280029296875,17.049999237060547,2637.2000122070312,4782.60009765625,2.5999999046325684,-0.09999999776482582,0.5000000074505806,0.0,128.0,128.0,,0.01682793176431159,1.0668545907722626,-3.069423802307241e-05,True,2,False,2,255.0,False,,khaledali0907,76561198262848101,19,-1395.9300537109375,4159.39013671875,308.5,11511.99951171875,5319.000244140625,-9069.600219726562,-740.5000305175781,753.0000305175781,932.2000122070312,255.0,133.0,False,0.053024162950306965,-0.9360962858875275,0.3172459448785583,True,0.0,False,8,False,4,,Annabelle,76561198393981356,15.0,-347.1600036621094,4338.490234375,17.010000228881836,-12620.999755859375,5258.2000732421875,2.0999999344348907,-0.29999999329447746,0.09999999776482582,-262.99999237060547,167.0,128.0,0.0095963903896084,2.7208521991065924,0.00011884708819235604,True,4,False,4,255.0,False,,False
