,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,169,0.0,False,False,0,5206.5899157261165,-39.75,4.300000190734863,135.38999938964844,-8139.89990234375,11628.1005859375,6347.5,5460.10009765625,174.79999542236328,2126.4999389648438,0.0,-0.03981796812197311,-0.10502983400008001,0.3650299354080087,bf81d8692db,games5425898691,19.0,-30.940000534057617,-130.05999755859375,89.62999725341797,-2675.2999877929688,4831.7999267578125,119.39999580383301,-1475.3999328613281,-777.5,5240.999755859375,128.0,128.0,,1.4048119069126075,1.7590829427279613,0.2230022862853956,True,4,3,31.0,False,False,,76561198039309853,enpitsu,25.0,76.58999633789062,-3590.989990234375,17.049999237060547,1071.2999725341797,11601.300048828125,3.700000047683716,0.09999999776482582,6.499999761581421,579.3999862670898,255.0,128.0,,0.01666186869149877,1.4656518709235267,0.0001240295914079778,True,107.0,False,False,False,False,,Disguised Koala on YT,76561198364567027,5,2830.330078125,4099.31982421875,174.0500030517578,14879.49951171875,-1012.6000213623047,-2420.2000427246094,675.5999755859375,2744.7000122070312,76.50000095367432,251.0,93.0,,-1.307578733141232,-0.34234860780635706,0.2740950774330645,True,13.0,False,4,False,False,,ruben_ess,639725539893080646,8.0,20.440000534057617,130.91000366210938,76.26000213623047,-2639.1000366210938,-6038.3001708984375,45.70000171661377,991.8000030517578,-1041.500015258789,1642.8999328613281,255.0,0.0,,0.1378201499038145,-0.9891459647622561,1.114890949168968,True,3,False,4,22.0,False,
1,171,0.0,False,False,1,5236.849171680165,121.43000030517578,-39.25,171.13999938964844,19825.999755859375,343.80001068115234,6627.5,2120.800018310547,-2014.6000671386719,-5154.4000244140625,1.0,-0.0729289438791231,0.20648961505000205,0.42047643395843204,639725539893080646,ruben_ess,8.0,-1.4800000190734863,-96.12000274658203,77.69999694824219,2414.2999267578125,3302.9000854492188,155.10000228881836,-2275.399932861328,5005.199890136719,-142.29999542236328,255.0,0.0,,0.0297191069159374,0.7344218543951292,1.4526191671863284,True,4,3,22.0,False,False,,76561198364567027,Disguised Koala on YT,5.0,-2954.389892578125,-4090.85009765625,151.6300048828125,-14896.99951171875,1018.1999969482422,-2911.400146484375,-769.4000244140625,-2141.199951171875,-29.40000057220459,250.0,86.0,,1.0987305842992796,0.3200160971863698,0.2526918749500475,True,255.0,False,False,4,False,300.0,enpitsu,76561198039309853,25,-80.62999725341797,3512.7900390625,17.049999237060547,-209.89999771118164,-11825.30029296875,3.799999952316284,0.29999999329447746,0.3999999910593033,1758.2000732421875,255.0,128.0,,-0.016688563621442276,-1.5559541658435379,0.00031862006595919707,True,107.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,58.209999084472656,102.22000122070312,90.93000030517578,3535.7000732421875,-2814.5001220703125,82.29999542236328,4832.900085449219,1986.6999816894531,1716.0000610351562,128.0,128.0,,-1.3738975200011145,1.0130424130205664,-2.923764534988487,True,3,False,4,31.0,False,
2,347,6.0,False,False,0,5417.687747024342,-1048.8900146484375,-275.5299987792969,122.9000015258789,8302.999877929688,468.80001068115234,-315.3000068664551,-244.40000534057617,544.5999908447266,-2811.7999267578125,0.0,-0.17246066004002641,-2.682258431465824,2.9941393257423554,76561198039309853,enpitsu,25.0,-1192.3900146484375,-321.739990234375,189.05999755859375,3939.7000122070312,3292.7999877929688,-1724.4000244140625,-424.70001220703125,-3888.699951171875,-1164.8999786376953,128.0,0.0,False,0.21249074048167121,1.322185616959704,0.444622629883467,True,2,2,157.18210768186918,True,False,,bf81d8692db,games5425898691,19.0,-1751.0400390625,-4896.41015625,16.670000076293945,12454.69970703125,4813.999938964844,59.80000019073486,-147.5,-16.59999966621399,1153.3999633789062,0.0,249.0,,0.006495508040723974,0.3735862870224487,0.011269486630472813,True,255.0,False,6,6,False,,Disguised Koala on YT,76561198364567027,6,-325.7300109863281,254.13999938964844,17.010000228881836,4361.7999267578125,1621.1000061035156,3.100000023841858,-1.7000000178813934,2.3000000417232513,-207.09999084472656,0.0,0.0,,0.009691898246353893,0.4203424143234492,-0.0003099951601777799,True,199.0,False,4,False,False,,ruben_ess,639725539893080646,8.0,529.22998046875,508.1300048828125,17.010000228881836,-10813.900146484375,-7169.6002197265625,2.800000011920929,-1.0000000149011612,0.09999999776482582,-1572.2000122070312,172.0,0.0,False,0.009635078799668757,-2.546408649724925,-0.0004137061894107593,True,6,False,6,204.0,False,
3,371,7.0,False,False,0,5403.237589267817,-415.04998779296875,-241.7899932861328,95.12000274658203,12536.099853515625,-8389.400024414062,2764.8001098632812,-4427.0001220703125,2105.800018310547,-1250.4000091552734,0.0,0.5573646145443611,0.06469310355912117,-1.3759351034693452,76561198039309853,enpitsu,25.0,-559.3800048828125,-102.37999725341797,17.030000686645508,11854.599609375,-4581.400146484375,2.3000000417232513,-2.0000000298023224,0.19999999552965164,-1848.699951171875,255.0,0.0,False,0.01676512583249927,-0.4013642771095234,-0.00010165557492565135,True,2,2,119.0,False,False,,bf81d8692db,games5425898691,19.0,-1570.4000244140625,-4791.330078125,17.020000457763672,868.6000061035156,1869.1000366210938,1.4000000059604645,0.0,0.7000000029802322,1204.800033569336,255.0,255.0,,0.009483304888019623,0.9627707260293392,0.00012721058739394191,True,255.0,False,6,6,False,,Disguised Koala on YT,76561198364567027,6,-336.32000732421875,208.77000427246094,17.010000228881836,3413.699951171875,-1222.2000122070312,2.5999999046325684,0.09999999776482582,0.0,-1855.0999450683594,255.0,0.0,,0.009493608005644898,-0.24019088669084435,-8.603137857825276e-05,True,199.0,False,4,False,False,,ruben_ess,639725539893080646,8.0,-288.9800109863281,830.2999877929688,17.010000228881836,2793.2998657226562,10201.799926757812,3.100000023841858,0.19999999552965164,0.0,-2438.800048828125,255.0,0.0,False,0.009563826830647706,1.2377902208909928,9.623817989135978e-06,True,6,False,6,204.0,False,
4,413,8.0,False,False,0,6913.071578328053,1461.0400390625,-1358.8399658203125,124.25,24896.0009765625,5037.60009765625,5066.199951171875,5468.699951171875,-1960.0,-1500.2000427246094,0.0,0.8090671267592998,3.0924724492195867,-3.1389645521126424,76561198039309853,enpitsu,25.0,1311.2900390625,-1452.6400146484375,16.260000228881836,20044.300537109375,4272.300109863281,53.400001525878906,48.60000133514404,113.10000419616699,1765.5999755859375,0.0,255.0,False,0.010687975286760298,0.2653282248977003,-0.003945647163267322,True,2,2,56.0,False,False,,bf81d8692db,games5425898691,20.0,-243.8699951171875,-4605.2998046875,17.020000457763672,11938.599853515625,-6043.599853515625,1.4000000059604645,-0.5999999865889549,0.09999999776482582,-131.40000343322754,255.0,128.0,,0.00958139842897444,-0.48465189491724814,0.00011570008660186418,True,216.0,False,6,6,False,,Disguised Koala on YT,76561198364567027,6,1333.8599853515625,-843.3400268554688,17.010000228881836,13821.8994140625,-15921.600341796875,0.0,0.9000000357627869,-1.0999999940395355,-402.79998779296875,255.0,128.0,,0.009593918920346042,-0.8905302150892204,0.00014983763686393233,True,93.0,False,4,False,False,,ruben_ess,639725539893080646,8.0,1714.72998046875,1627.8599853515625,17.010000228881836,18938.599853515625,3625.2999877929688,2.5,-0.5999999865889549,0.0,0.0,255.0,128.0,False,0.009581786361280419,0.18912967685551055,4.7185486947691204e-05,True,6,False,6,169.0,False,
5,463,10.0,False,False,0,6852.291633656275,2926.02001953125,-547.3599853515625,134.75,16217.099609375,15973.00048828125,3546.7999267578125,1176.9999694824219,-2794.4000244140625,5177.2998046875,0.0,-0.20544480912527618,-1.5138446102323293,-2.274404495280476,76561198039309853,enpitsu,25.0,2685.219970703125,-682.75,105.22000122070312,14408.299560546875,11499.89990234375,2144.2999267578125,-5109.4000244140625,1952.2999572753906,575.4999923706055,255.0,255.0,False,0.47070325576102146,0.3102614666477735,-0.4547505495026206,True,4,3,20.0,False,False,,bf81d8692db,games5425898691,20.0,2518.969970703125,-4098.83984375,17.020000457763672,15796.99951171875,11634.100341796875,1.5999999642372131,-0.3999999910593033,-0.3999999910593033,1966.0000610351562,255.0,255.0,,0.00959367226797995,0.7052592966830185,6.421324948184175e-05,True,150.0,False,6,6,False,,Disguised Koala on YT,76561198364567027,6,3993.3798828125,-3747.169921875,165.7899932861328,1931.4999389648438,-10765.699462890625,7660.10009765625,3782.39990234375,269.89999771118164,3983.699951171875,255.0,128.0,,0.24621048785841526,3.079898529761991,1.3617363945200895,True,93.0,False,6,False,4,,ruben_ess,639725539893080646,8.0,3070.31005859375,-0.41999998688697815,17.010000228881836,-18684.300537109375,-9610.999755859375,0.29999999329447746,1.7000000178813934,0.7000000029802322,-1716.3999938964844,255.0,0.0,False,0.00959046470227559,-2.7233225960652225,4.3527992064626247e-07,True,6,False,6,93.74646017115606,True,
6,520,12.0,False,False,1,7836.977086857271,-2819.2900390625,-1760.3499755859375,157.0399932861328,-6096.500244140625,15233.599853515625,4494.200134277344,1899.6000671386719,2613.2000732421875,-5055.899963378906,1.0,-0.46223657525428463,-1.0882594029144212,-2.900830476596967,639725539893080646,ruben_ess,8.0,-2748.56005859375,-1911.75,100.08999633789062,-15407.80029296875,1313.0000305175781,1518.3999633789062,-5142.39990234375,-414.3000030517578,1906.199951171875,255.0,0.0,False,0.10449812648308698,-0.016090823237050213,0.6025011429024995,True,8,7,69.0,False,False,,76561198364567027,Disguised Koala on YT,6.0,-2960.6298828125,2593.60009765625,99.22000122070312,-1350.8000183105469,-20152.39990234375,-154.7000026702881,630.6000137329102,-5387.0001220703125,-912.3999786376953,138.0,128.0,False,0.002225658734666835,-1.8869054244057357,-2.4315237180464395,True,217.0,False,5,8,False,,enpitsu,76561198039309853,25,-3251.6298828125,-1619.8299560546875,123.05999755859375,16942.2998046875,-9635.0,2572.9998779296875,2115.2999877929688,4594.89990234375,305.6999969482422,255.0,128.0,False,-0.5021327466790705,-2.7401997639099345,0.009482772453255158,True,0.0,False,6,False,5,,games5425898691,bf81d8692db,20.0,-2856.340087890625,-68.18000030517578,17.020000457763672,-2371.699981689453,-22869.3994140625,1.1999999731779099,-0.0,-0.09999999776482582,-0.09999999776482582,255.0,128.0,,-0.009587366772537728,-1.4674389197894886,-6.968908172582005e-06,True,6,False,6,63.0,False,
7,653,17.0,False,False,0,9646.0619150441,3686.56005859375,-3348.030029296875,97.52999877929688,1414.1999816894531,537.9999923706055,2950.8999633789062,3715.5999755859375,421.89998626708984,-11.000000238418579,0.0,1.0911981518226657,-3.0186642393020873,-2.9538010357740814,bf81d8692db,games5425898691,20.0,3654.909912109375,-3471.89990234375,17.020000457763672,1541.4999389648438,-772.3000335693359,1.899999976158142,-1.5000000596046448,0.19999999552965164,501.8000030517578,0.0,255.0,,0.009885042730246959,-0.43603552144700647,-0.00015096959112096618,True,8,8,31.0,False,False,,76561198039309853,enpitsu,25.0,-3684.889892578125,1982.1099853515625,17.059999465942383,26.30000114440918,-22431.10107421875,-3.1999999284744263,0.0,1.0000000149011612,-146.49999618530273,255.0,128.0,False,0.016793675966789087,-1.5826530768619893,0.00012933119010644054,True,191.0,False,8,8,False,,Disguised Koala on YT,76561198364567027,8,3252.659912109375,-2596.550048828125,17.010000228881836,12028.399658203125,-16487.900390625,2.7000001072883606,-1.5000000596046448,2.0999999344348907,-799.7000122070312,205.0,0.0,False,0.009599085973149372,-0.9427738012309168,-0.00013943548126377063,True,218.0,False,8,False,6,,ruben_ess,639725539893080646,8.0,2191.5400390625,2567.840087890625,17.010000228881836,-1081.6000366210938,-20582.80029296875,0.29999999329447746,0.0,-0.7999999821186066,0.5000000074505806,255.0,128.0,,0.009591690176616628,-1.6232244997230072,-6.832656192087926e-05,True,8,False,8,199.83401289806568,True,
8,683,18.0,False,False,1,5084.717833675345,-3829.699951171875,3263.27001953125,93.5,-909.8999786376953,-880.1999664306641,1378.800048828125,952.6000213623047,-1047.300033569336,-373.49998474121094,1.0,1.2725670453275757,-2.826813183476469,0.5576744960914473,76561198364567027,Disguised Koala on YT,7.0,-3772.18994140625,3394.320068359375,16.829999923706055,3233.5000610351562,-1811.1000061035156,-4.300000071525574,62.10000038146973,-11.90000057220459,1775.0,0.0,5.0,False,-0.013668838636702759,0.2665168091831395,-0.0016962951242951755,True,8,6,218.0,False,False,,639725539893080646,ruben_ess,8.0,-3049.739990234375,-624.9099731445312,17.010000228881836,-8458.200073242188,16922.099609375,2.800000011920929,-0.19999999552965164,-0.0,-1595.3999328613281,128.0,40.0,,-0.009626865778129715,1.14110057738813,-0.00017167480653940156,True,198.0,False,8,8,False,,enpitsu,76561198039309853,25,3473.449951171875,516.1699829101562,17.059999465942383,-4423.0999755859375,22379.69970703125,1.899999976158142,-0.0,-0.0,0.3999999910593033,255.0,255.0,False,-0.01677370880138912,1.3756131924002117,-5.992526849636732e-06,True,255.0,False,8,False,8,,games5425898691,bf81d8692db,20.0,-3846.2099609375,3619.239990234375,111.25,-3741.6000366210938,2494.9000549316406,-140.79999923706055,-2888.599853515625,-4642.200012207031,596.1000061035156,255.0,0.0,,1.2370049723056147,-2.904841738899477,2.860748777076124,True,10,False,10,31.0,False,
9,703,19.0,False,False,1,5163.219751928415,-3888.389892578125,3198.75,102.69999694824219,-3709.5999145507812,-5186.9000244140625,1330.8000183105469,253.1999969482422,1354.4000244140625,2177.5999450683594,1.0,0.6919866592480938,-1.0167274935062087,2.221167444346087,76561198364567027,Disguised Koala on YT,7.0,-3777.219970703125,3334.1298828125,17.010000228881836,-5082.60009765625,-1349.2999267578125,2.5,-0.19999999552965164,-0.19999999552965164,0.7999999821186066,255.0,128.0,False,-0.009466764657829035,-0.25967755282320215,-4.2436925322515684e-05,True,8,6,218.0,False,False,,639725539893080646,ruben_ess,9.0,-3229.2900390625,398.70001220703125,17.010000228881836,6661.300048828125,9752.19970703125,3.3000001311302185,0.29999999329447746,0.29999999329447746,-3072.2000122070312,255.0,0.0,False,-0.00956846999892768,2.3602928387095363,1.3908450129698155e-05,True,198.0,False,8,8,False,,enpitsu,76561198039309853,25,3011.169921875,2095.72998046875,17.059999465942383,-7664.7998046875,21374.89990234375,1.899999976158142,-0.0,0.09999999776482582,1.2999999523162842,255.0,255.0,False,-0.01678273429922973,1.2263225817548424,-7.724461099278833e-06,True,255.0,False,8,False,8,,games5425898691,bf81d8692db,20.0,-3949.489990234375,3907.080078125,92.52999877929688,3203.9999389648438,6201.099853515625,-693.7000274658203,-1356.9999694824219,141.40000343322754,-2144.2999267578125,255.0,0.0,,-0.07718332391402329,2.0280740542299296,0.8067709807161373,True,10,False,10,31.0,False,
