,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,169,0,False,False,1,5192.745727812949,-19.420000076293945,28.579999923706055,99.13999938964844,-13346.99951171875,20069.200439453125,3559.89990234375,4954.700012207031,3371.099853515625,292.7000045776367,1.0,0.07431227150831313,-0.010623792502159423,-0.11041488820778608,2389101314914475938,SORIANO268,14.0,106.26000213623047,-171.9600067138672,91.94999694824219,-12624.599609375,19115.2001953125,1961.6999816894531,-4293.999938964844,-3418.599853515625,351.1000061035156,255.0,212.0,,-0.7424461232165409,1.1860127726236198,-0.1806318504682417,,0.0,False,4,3,False,,4864972377327238000,RGTITO,12.0,-48.779998779296875,-2089.320068359375,17.010000228881836,-295.79999923706055,12482.80029296875,2.0999999344348907,-0.0,0.7000000029802322,0.0,255.0,128.0,,-0.009553448377015333,1.5470639787361586,-6.212110513526693e-05,True,85.0,False,False,False,False,,enpitsu,76561198039309853,26,22.809999465942383,3874.919921875,17.049999237060547,1275.6999969482422,-9036.500244140625,2.7000001072883606,0.19999999552965164,0.5000000074505806,0.0,255.0,0.0,,-0.016639597152452917,-1.711043625638918,4.43900061606161e-05,True,False,False,116.0,False,False,,games5425898691,bf81d8692db,17.0,-35.40999984741211,385.6499938964844,59.29999923706055,-4738.599853515625,-22300.0,3029.1000366210938,2113.6000061035156,-1485.2999877929688,-2123.5000610351562,255.0,56.0,,-0.058387805515659426,-1.3446816870138876,0.006765650695148904,True,22.0,False,3,False,4,
1,170,0,False,False,0,5328.709248272693,122.80000305175781,-90.41000366210938,139.05999755859375,19325.10009765625,21291.201171875,11707.19970703125,3564.8001098632812,-819.0000152587891,-4756.099853515625,0.0,-0.2599893063518181,-0.1593579739028113,-0.2204550915226926,bf81d8692db,games5425898691,17.0,35.40999984741211,-385.6499938964844,59.29999923706055,4738.599853515625,22300.0,3029.1000366210938,-2113.6000061035156,1485.2999877929688,-2123.5000610351562,255.0,56.0,,0.058387805515659426,1.3446816870138876,0.006765650695148904,True,22.0,False,4,3,False,,76561198039309853,enpitsu,26.0,-34.90999984741211,-3789.159912109375,17.049999237060547,-1356.7999267578125,9611.199951171875,2.7000001072883606,-0.29999999329447746,-0.5000000074505806,0.0,255.0,0.0,,0.016647743037197366,1.7110436338946071,3.7313339034108405e-05,True,116.0,False,False,False,False,,RGTITO,4864972377327238000,12,51.529998779296875,1973.5,17.010000228881836,302.39999771118164,-12759.599609375,2.0999999344348907,0.0,-0.7000000029802322,0.0,255.0,128.0,,0.009553448377015333,-1.5470639787361586,-6.212110513526693e-05,True,False,False,85.0,False,False,,SORIANO268,2389101314914475938,14.0,1.7100000381469727,7.889999866485596,101.20999908447266,11528.199462890625,-17541.500244140625,10.299999713897705,4435.899963378906,3232.2000122070312,353.3000183105469,255.0,240.0,,1.3676363811839465,-2.0028880568065963,-1.0845992977638013,,0.0,False,3,False,4,
2,171,0,False,False,1,5157.858006039888,-174.6199951171875,94.4800033569336,152.41000366210938,-35276.201171875,4459.599914550781,8381.599731445312,1157.699966430664,2355.500030517578,5395.3997802734375,1.0,0.340972136818059,-0.031604618061125175,-0.2555871264273925,2389101314914475938,SORIANO268,14.0,-1.7100000381469727,-7.889999866485596,101.20999908447266,-11528.199462890625,17541.500244140625,10.299999713897705,-4435.899963378906,-3232.2000122070312,353.3000183105469,255.0,240.0,,-1.3676363811839465,2.0028880568065963,-1.0845992977638013,,0.0,False,4,3,False,,4864972377327238000,RGTITO,12.0,-51.529998779296875,-1973.5,17.010000228881836,-302.39999771118164,12759.599609375,2.0999999344348907,-0.0,0.7000000029802322,0.0,255.0,128.0,,-0.009553448377015333,1.5470639787361586,-6.212110513526693e-05,True,85.0,False,False,False,False,,enpitsu,76561198039309853,26,34.90999984741211,3789.159912109375,17.049999237060547,1356.7999267578125,-9611.199951171875,2.7000001072883606,0.29999999329447746,0.5000000074505806,0.0,255.0,0.0,,-0.016647743037197366,-1.7110436338946071,3.7313339034108405e-05,True,False,False,116.0,False,False,,games5425898691,bf81d8692db,17.0,-71.68000030517578,217.3699951171875,78.33000183105469,-4074.8001098632812,-17720.899658203125,1711.9999694824219,4058.0999755859375,-3670.4000854492188,555.6999969482422,255.0,73.0,,-0.5483255834717684,-1.394017219819706,0.2716701590145085,True,22.0,False,3,False,4,
3,234,2,False,True,0,6715.798744895665,1621.02001953125,-1086.280029296875,231.41000366210938,-9893.300170898438,29124.49951171875,4218.900146484375,1551.1000061035156,-2413.6000061035156,5269.5001220703125,0.0,-0.5515411186302408,0.18045069299450092,-0.2516885358931028,76561198039309853,enpitsu,26.0,1582.260009765625,-1309.8800048828125,192.47999572753906,8481.699829101562,21314.29931640625,1660.7000732421875,-5393.2000732421875,1078.0000305175781,27.300000190734863,255.0,255.0,,0.762286601310233,1.3782243893827044,0.0033066296220668305,True,75.0,False,2,1,False,,bf81d8692db,games5425898691,17.0,2633.0400390625,477.3299865722656,17.010000228881836,13605.0,-3575.2999877929688,2.199999988079071,-2.800000011920929,1.0000000149011612,-1215.8000183105469,255.0,0.0,,0.009556741112411182,-0.25714350537943087,-0.00017479931224970936,True,0.0,False,False,4,4,,RGTITO,4864972377327238000,12,1548.8599853515625,-932.7999877929688,168.02000427246094,2900.1998901367188,-22667.60009765625,2411.999969482422,5370.9002685546875,-988.8999938964844,651.6000366210938,255.0,24.0,,0.1917296316656825,-0.8592381848070334,0.4498111613875041,True,3,False,0.0,False,4,,SORIANO268,2389101314914475938,14.0,1802.760009765625,2115.919921875,17.049999237060547,6105.9002685546875,12263.1005859375,2.5999999046325684,0.09999999776482582,0.5999999865889549,5.0,255.0,128.0,,0.016748917650713784,1.1094800398731048,-6.17818359731542e-05,,31.0,False,4,False,4,
4,235,2,False,False,1,4870.395797591032,-1654.989990234375,991.1199951171875,367.9200134277344,-5728.4002685546875,-21354.29931640625,21493.30078125,-5939.2999267578125,785.0,-328.80001068115234,1.0,0.7119654316421388,-0.03135468751753131,-0.06162318368935655,4864972377327238000,RGTITO,12.0,-1548.8599853515625,932.7999877929688,168.02000427246094,-2900.1998901367188,22667.60009765625,2411.999969482422,-5370.9002685546875,988.8999938964844,651.6000366210938,255.0,24.0,,-0.1917296316656825,0.8592381848070334,0.4498111613875041,True,0.0,False,4,3,False,,2389101314914475938,SORIANO268,14.0,-1869.469970703125,-2249.780029296875,17.049999237060547,-6262.39990234375,-12400.699462890625,2.5999999046325684,0.7999999821186066,1.5000000596046448,-214.20000076293945,255.0,87.0,,-0.016748812933264374,-1.1066251696348601,-8.569079447213209e-05,,31.0,False,False,4,4,24.0,enpitsu,76561198039309853,26,-1668.280029296875,1130.8800048828125,195.49000549316406,-10328.299560546875,-10086.799926757812,-793.0999755859375,3943.9999389648438,2264.7000122070312,3092.6998901367188,255.0,128.0,,-1.4669819023251118,-0.7651475449609872,-1.0565412264034832,True,1,False,75.0,False,2,,games5425898691,bf81d8692db,17.0,-2733.659912109375,-446.0199890136719,17.010000228881836,-13265.30029296875,4650.799865722656,2.199999988079071,-3.3000001311302185,0.9000000357627869,-1452.7999877929688,255.0,81.0,,-0.009576965124373607,0.37367852548568875,-0.00013590747978085835,True,0.0,False,4,False,4,
5,392,8,False,False,0,3154.0998775337885,2216.10009765625,4626.990234375,128.77000427246094,-13216.199951171875,-7867.60009765625,-3548.900146484375,5450.3997802734375,-2220.399932861328,1167.300033569336,0.0,-0.09357603340454428,-2.0561283212038513,3.0227579158990587,76561198039309853,enpitsu,26.0,2292.030029296875,4727.35986328125,63.29999923706055,-12466.800537109375,3549.89990234375,2314.7999572753906,1185.199966430664,-4843.299865722656,-2320.8999633789062,255.0,128.0,,0.1252635123617198,2.670981642951977,-0.094246315067384,True,0.0,False,8,3,False,,bf81d8692db,games5425898691,18.0,937.6799926757812,1107.1300048828125,17.030000686645508,-10677.60009765625,15741.800537109375,-0.3999999910593033,1.5000000596046448,-2.5999999046325684,-384.00001525878906,255.0,48.0,,0.009592370632961698,2.165224631129228,-3.0273467868904392e-05,True,159.0,False,False,4,4,,RGTITO,4864972377327238000,12,2008.77001953125,1099.9000244140625,86.88999938964844,-3736.099853515625,16755.699462890625,-151.5999984741211,-4646.099853515625,-2937.6998901367188,182.00000762939453,255.0,128.0,,-0.3651280589700253,-0.8935891591974348,3.069879429488984,True,7,False,31.0,False,6,,SORIANO268,2389101314914475938,14.0,1993.949951171875,4659.39990234375,17.059999465942383,-722.6999664306641,-374.59999084472656,1.4000000059604645,0.19999999552965164,0.0,255.59999465942383,0.0,154.0,False,0.017301774051101216,-2.599789410748496,-0.00018356293206328535,,255.0,False,4,False,4,
6,426,9,True,True,0,2255.830916117404,894.6699829101562,3768.0400390625,106.18000030517578,-2410.399932861328,29484.29931640625,7235.8001708984375,1746.199951171875,-3405.10009765625,4621.099853515625,0.0,1.0455749326621717,-1.3469248554956599,-2.4930504206023434,bf81d8692db,games5425898691,18.0,862.4600219726562,3437.659912109375,21.93000030517578,1483.0000305175781,22762.5,2943.699951171875,0.19999999552965164,3.1999999284744263,994.8000335693359,255.0,213.0,,0.00959654969260303,1.5272532300504171,0.00018786086878328786,True,120.32959984707574,True,5,4,False,,76561198039309853,enpitsu,26.0,829.27001953125,5088.31005859375,55.29999923706055,-8221.900024414062,-2.7000001072883606,-904.4999694824219,-109.70000267028809,-1595.8000183105469,-564.3000030517578,0.0,128.0,,0.13461761468439995,3.0997127691141744,-1.1188120197818208,True,0.0,False,False,8,4,,RGTITO,4864972377327238000,12,1210.3699951171875,3134.14990234375,19.450000762939453,-14541.199951171875,17234.89990234375,2959.5001220703125,4.300000071525574,-5.199999809265137,646.8000030517578,255.0,113.0,,0.009588757983343356,2.3160493382132454,-1.1804340476246047e-05,True,8,False,5.692309392395833,True,7,,SORIANO268,2389101314914475938,14.0,1641.8599853515625,4489.9501953125,17.059999465942383,-12011.400146484375,-4092.3001098632812,-3.8999998569488525,-8.399999737739563,-2.8999999165534973,-908.3999633789062,255.0,128.0,False,0.016739335281434016,-2.859463147321013,0.0001920802553176686,,186.02634818323196,True,4,False,4,
7,691,9,False,False,1,5144.957715178023,47.029998779296875,65.56999969482422,92.43000030517578,8489.400024414062,37948.9990234375,-2210.800018310547,-1370.7000732421875,413.1999969482422,-5826.5997314453125,1.0,0.056349122971444704,0.10859166460654007,0.209405264122887,4864972377327238000,RGTITO,12.0,59.36000061035156,-69.05000305175781,88.95999908447266,-7678.0999755859375,19478.299560546875,-1139.3000030517578,-1845.0999450683594,-83.80000114440918,-5180.4998779296875,255.0,98.0,,-1.2670996606791165,-1.3766947131754868,2.766676012616667,True,0.0,False,4,3,False,,2389101314914475938,SORIANO268,13.0,-99.05999755859375,-142.24000549316406,101.47000122070312,13565.899658203125,18493.00048828125,-163.60000610351562,-4047.0001220703125,3722.6998901367188,-112.89999961853027,255.0,124.0,,-1.227631019771945,-0.6040302279998829,2.9397874702474707,,0.0,False,False,4,3,,enpitsu,76561198039309853,26,-62.08000183105469,363.17999267578125,111.5,14436.199951171875,-17777.60009765625,1995.5000305175781,4587.799987792969,3011.400146484375,-364.00001525878906,255.0,0.0,,-0.8581256823630692,-2.074796592373929,-0.05206459741753848,True,1,False,0.0,False,2,,games5425898691,bf81d8692db,17.0,3454.199951171875,2367.56005859375,17.010000228881836,3303.3999633789062,14868.900146484375,2.199999988079071,-0.0,-0.0,1598.8999938964844,255.0,241.0,,-0.009586882793506477,1.7551013477723572,0.00010242603371391261,False,31.0,False,False,False,False,
8,695,10,False,False,0,5278.912018996531,-224.0399932861328,-95.97000122070312,93.9000015258789,-12036.600341796875,2526.7999267578125,269.7999954223633,4553.800048828125,-3351.300048828125,-343.80001068115234,0.0,-0.24094046837403293,-0.4393674638565392,0.6141834927036554,76561198039309853,enpitsu,26.0,-199.27999877929688,-241.67999267578125,122.5199966430664,-13511.99951171875,-3066.199951171875,205.0,-5297.19970703125,-612.2999954223633,1346.6999816894531,255.0,128.0,,0.6966443645142364,-1.463842342229054,3.128509497708196,True,0.0,False,2,1,False,,bf81d8692db,games5425898691,17.0,-3474.169921875,-2504.860107421875,17.010000228881836,-1174.4999694824219,-15024.599609375,2.199999988079071,0.0,0.5000000074505806,1762.5999450683594,255.0,241.0,,0.009584283194748362,-1.5986565139262436,5.723600673882264e-05,False,24.733118298233197,True,False,False,False,,RGTITO,4864972377327238000,12,-65.72000122070312,6.340000152587891,109.72000122070312,-1407.1000671386719,-3416.199951171875,2432.7999877929688,4440.199890136719,-1892.8999328613281,-2636.400146484375,255.0,71.0,,1.2989644341383602,0.6660929539176565,2.7705452743356336,True,3,False,0.0,False,4,,SORIANO268,2389101314914475938,13.0,27.530000686645508,-138.88999938964844,144.2100067138672,-942.6000213623047,-15761.99951171875,2608.3999633789062,4686.600036621094,-2803.900146484375,-650.5999755859375,255.0,124.0,,0.5553094365815865,1.004027235335595,-3.052247713028388,,0.0,False,3,False,4,
9,706,10,False,False,0,5146.364176112974,-700.25,-2.640000104904175,93.13999938964844,-11221.500244140625,1995.8000183105469,0.0,3134.5999145507812,-5104.800109863281,-338.49998474121094,0.0,-0.1426365022505904,-1.22300758462504,3.047151345657268,76561198039309853,enpitsu,26.0,-752.7999877929688,-372.94000244140625,117.97000122070312,-13545.2001953125,-3249.1000366210938,-394.70001220703125,-4767.900085449219,-997.7999877929688,44.40000057220459,128.0,255.0,,-0.9852106401168242,1.7632351476680952,0.0166517468132781,True,0.0,False,2,2,False,,bf81d8692db,games5425898691,17.0,-3396.159912109375,-3216.31005859375,17.010000228881836,2876.400146484375,-18295.50048828125,1.7000000178813934,0.09999999776482582,-0.5000000074505806,4.099999964237213,255.0,128.0,,0.009592441447699891,-1.414244516613442,-4.350318105079768e-05,True,0.0,False,False,False,False,,RGTITO,4864972377327238000,12,-136.39999389648438,-133.19000244140625,154.8000030517578,-1467.5,-2992.6998901367188,-398.3000183105469,2790.2999877929688,-2128.6000061035156,-448.69998931884766,255.0,128.0,,-1.3390199874816024,-0.5027059143372739,-1.719317868869085,True,4,False,0.0,False,4,,SORIANO268,2389101314914475938,13.0,-9.539999961853027,-805.260009765625,196.97000122070312,-831.3999938964844,-15665.799560546875,-0.9000000357627869,2894.2999267578125,-1083.1999969482422,-372.99999237060547,255.0,204.0,,-1.1604198116761377,-1.4787962897879277,-0.6386214074619234,,0.0,False,4,False,4,
