,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,174,0,False,False,1,5090.928971847729,-37.9900016784668,135.47999572753906,104.29000091552734,-8234.89990234375,27937.39990234375,2422.100067138672,664.1999816894531,453.3000183105469,-5878.4002685546875,1.0,0.027177196671605983,0.2935519686202285,-0.029432475618364144,2411202488257828954,Martuccidaniele_,11.0,30.829999923706055,-125.19999694824219,53.84000015258789,-8006.500244140625,18672.900390625,1945.3999328613281,3730.5999755859375,-2116.4999389648438,3000.1998901367188,255.0,239.0,,0.05385614031153835,1.4188470210103394,-0.032292144309566014,True,False,5,6,0.0,False,,1044040509235754335,Xx_nic0laturboXx,12.0,-2813.360107421875,-4107.2099609375,17.049999237060547,-20250.999755859375,5178.4002685546875,3.400000035762787,-1.5000000596046448,0.5000000074505806,-2422.100067138672,255.0,0.0,False,-0.0167799401590352,0.34648969780740224,-0.00022544209172287085,True,False,False,False,255.0,False,,enpitsu,76561198039309853,27.0,-0.0,3177.429931640625,17.049999237060547,-0.0,-7222.19970703125,2.5999999046325684,-0.3999999910593033,-0.0,0.0,255.0,0.0,,-0.01668573857248268,-1.570774350004591,-2.4280248305193925e-07,True,False,False,116.0,False,False,,games5425898691,bf81d8692db,24.0,-10.59000015258789,475.0799865722656,91.23999786376953,-2487.4000549316406,-22664.69970703125,2315.399932861328,4747.5,-2734.2001342773438,484.39998626708984,128.0,128.0,,-0.661027767931587,-1.7449563517961284,0.5482114378930466,True,31.0,False,4,False,3,
1,175,0,False,False,0,5402.084953863302,77.58000183105469,-173.6300048828125,115.79000091552734,16384.200439453125,10117.60009765625,5129.4000244140625,2653.800048828125,-457.5,-5361.6998291015625,0.0,0.011894131297117486,-0.6744225157471131,0.0942053551015637,bf81d8692db,games5425898691,24.0,29.700000762939453,-293.489990234375,102.22000122070312,1646.9999694824219,18545.799560546875,-22.699999809265137,-3983.5000610351562,1099.4000244140625,3629.4000244140625,128.0,128.0,,1.0312057360289775,2.5554918368269504,1.3219561706410785,True,False,3,4,31.0,False,,76561198039309853,enpitsu,27.0,0.0,-3177.429931640625,17.049999237060547,0.0,7222.19970703125,2.5999999046325684,0.3999999910593033,0.0,0.0,255.0,0.0,,0.01668573857248268,1.570774350004591,-2.4280248305193925e-07,True,False,False,False,116.0,False,,Martuccidaniele_,2411202488257828954,11.0,-30.829999923706055,125.19999694824219,53.84000015258789,8006.500244140625,-18672.900390625,1945.3999328613281,-3730.5999755859375,2116.4999389648438,3000.1998901367188,255.0,239.0,,-0.05385614031153835,-1.4188470210103394,-0.032292144309566014,True,6,False,0.0,False,5,,Xx_nic0laturboXx,1044040509235754335,12.0,2975.699951171875,4051.0400390625,17.049999237060547,18800.799560546875,-7873.900146484375,3.4999999403953552,0.09999999776482582,-0.09999999776482582,-2920.7998657226562,255.0,0.0,True,0.016777142727171106,-0.5704411885352583,-0.00016873473659556284,True,255.0,False,False,False,False,300.0
2,176,0,False,False,1,5090.634597342863,-157.4600067138672,159.55999755859375,129.77999877929688,-32172.2998046875,-8035.8001708984375,4349.4000244140625,-727.5,897.2000122070312,-5887.7001953125,1.0,-0.00798281110849029,1.1131238470047038,0.20980326770877009,2411202488257828954,Martuccidaniele_,11.0,-34.56999969482422,20.770000457763672,66.81999969482422,-6894.89990234375,8146.6998291015625,786.8000030517578,4362.900085449219,-1712.5999450683594,2877.6998901367188,255.0,239.0,True,0.12869576368391056,1.2018172657634159,-0.6673495491445283,True,False,5,6,0.0,False,,1044040509235754335,Xx_nic0laturboXx,12.0,-2975.699951171875,-4051.0400390625,17.049999237060547,-18800.799560546875,7873.900146484375,3.4999999403953552,-0.09999999776482582,0.09999999776482582,-2920.7998657226562,255.0,0.0,True,-0.016777142727171106,0.5704411885352583,-0.00016873473659556284,True,False,False,False,255.0,False,,enpitsu,76561198039309853,27.0,-0.0,3114.050048828125,17.049999237060547,-0.0,-7909.2999267578125,2.5999999046325684,-0.29999999329447746,-0.0,0.0,255.0,0.0,,-0.01668573857248268,-1.570774350004591,-2.4280248305193925e-07,True,False,False,116.0,False,False,,games5425898691,bf81d8692db,24.0,-29.700000762939453,293.489990234375,102.22000122070312,-1646.9999694824219,-18545.799560546875,-22.699999809265137,3983.5000610351562,-1099.4000244140625,3629.4000244140625,128.0,128.0,,-1.0312057360289775,-2.5554918368269504,1.3219561706410785,True,31.0,False,4,False,3,
3,322,5,False,False,1,8554.224568349327,997.6900024414062,-3413.6201171875,346.010009765625,24432.099609375,2653.599853515625,-6346.300048828125,-2457.2999572753906,5000.7000732421875,-2225.7000732421875,1.0,-0.32366855752743406,1.565049561063328,0.9102221019182584,1044040509235754335,Xx_nic0laturboXx,11.0,887.2999877929688,-3490.52001953125,289.4100036621094,16755.699462890625,-334.3000030517578,2913.2998657226562,650.4000091552734,-2911.400146484375,4620.5999755859375,255.0,128.0,,1.2518475324711624,2.7917938566490195,-0.09933847942592589,True,False,False,4,122.63177623800055,True,,2411202488257828954,Martuccidaniele_,10.0,-2094.10009765625,-2150.02001953125,17.010000228881836,10958.399658203125,-8872.999877929688,2.0000000298023224,-0.0,-0.09999999776482582,0.0,255.0,128.0,,-0.009606241397236566,-2.4609400965796513,-7.835132730011447e-06,True,6,False,6,255.0,False,,enpitsu,76561198039309853,27.0,1063.9200439453125,-3189.199951171875,333.1199951171875,5074.89990234375,-22362.2998046875,1486.4999389648438,2754.7000122070312,-3731.099853515625,2956.199951171875,255.0,0.0,,0.1544220741263432,-1.5416574361499091,0.7778602270862237,True,2,False,34.0,False,1,,games5425898691,bf81d8692db,24.0,-3147.639892578125,3377.860107421875,16.06999969482422,3196.4999389648438,22324.599609375,133.1999969482422,38.59999895095825,-13.300000429153442,48.400001525878906,255.0,128.0,,-0.012120652133660514,1.7144765664857538,-0.0010022987028114221,True,,False,6,False,6,
4,323,5,False,False,0,1723.9035782236788,-1075.9100341796875,3425.510009765625,326.7799987792969,-17492.19970703125,32161.79931640625,-4815.899963378906,-346.5999984741211,-2691.9000244140625,5350.9002685546875,0.0,0.37557401775391647,-1.4526291859350755,1.0980656393445392,76561198039309853,enpitsu,27.0,-1063.9200439453125,3189.199951171875,333.1199951171875,-5074.89990234375,22362.2998046875,1486.4999389648438,-2754.7000122070312,3731.099853515625,2956.199951171875,255.0,0.0,,-0.1544220741263432,1.5416574361499091,0.7778602270862237,True,False,1,2,34.0,False,,bf81d8692db,games5425898691,24.0,3120.389892578125,-3563.77001953125,16.799999237060547,-3495.4000854492188,-22266.4990234375,48.29999923706055,-12.200000286102295,-1.1999999731779099,-695.1000213623047,255.0,0.0,,0.010243514384328639,-1.7270502447787888,-0.0005340844620256869,True,6,False,6,,False,,Martuccidaniele_,2411202488257828954,10.0,2075.840087890625,2164.800048828125,17.010000228881836,-10958.399658203125,8872.999877929688,2.0000000298023224,0.0,0.09999999776482582,0.0,255.0,128.0,,0.009606241397236566,2.4609400965796513,-7.835132730011447e-06,True,6,False,255.0,False,6,,Xx_nic0laturboXx,1044040509235754335,11.0,-887.2999877929688,3490.52001953125,289.4100036621094,-16755.699462890625,334.3000030517578,2913.2998657226562,-650.4000091552734,2911.400146484375,4620.5999755859375,255.0,128.0,,-1.2518475324711624,-2.7917938566490195,-0.09933847942592589,True,119.44769034590776,True,4,False,False,
5,450,10,False,False,1,6304.5963800888085,2748.72998046875,-886.219970703125,136.52999877929688,-13401.199951171875,7437.19970703125,197.39999771118164,2192.899932861328,2979.7000122070312,-4723.500061035156,1.0,0.40781572534285426,-1.4248339022063539,0.8248205832288159,1044040509235754335,Xx_nic0laturboXx,11.0,2807.090087890625,-886.22998046875,15.930000305175781,-7911.5997314453125,11309.7998046875,-1335.0,1318.3999633789062,-5161.400146484375,1367.7999877929688,128.0,255.0,False,-0.04124552837872631,0.9096551584221447,-0.056878772891528116,True,False,False,4,240.0,False,,2411202488257828954,Martuccidaniele_,10.0,405.3599853515625,-871.280029296875,17.010000228881836,-3500.2999877929688,13659.100341796875,2.0999999344348907,0.09999999776482582,-0.0,0.09999999776482582,255.0,128.0,,-0.009605092737038166,1.3198985941891332,-3.687622368391165e-06,True,6,False,6,255.0,False,,enpitsu,76561198039309853,27.0,3746.0400390625,-4008.929931640625,22.959999084472656,3622.5,11087.60009765625,-842.6999664306641,708.1999969482422,1334.1000366210938,-111.49999618530273,255.0,128.0,False,-0.06982701047936057,1.8741347044875072,-0.17857835336189362,True,2,False,34.0,False,2,,games5425898691,bf81d8692db,24.0,2026.800048828125,1992.4300537109375,17.010000228881836,-17174.200439453125,5047.699890136719,2.3000000417232513,-0.29999999329447746,-0.0,-1980.2000427246094,255.0,0.0,,-0.009583491887386482,0.3585022151564116,-3.138175773958142e-05,True,228.0,False,6,False,6,
6,465,10,False,False,1,5731.701791940116,2012.1300048828125,-481.9800109863281,107.55999755859375,-14417.900390625,4948.800048828125,1045.999984741211,-450.6999969482422,2161.699981689453,-2399.499969482422,1.0,0.6976745114432871,0.6521905354714903,-0.6574593782385199,1044040509235754335,Xx_nic0laturboXx,11.0,2124.75,-403.7300109863281,16.969999313354492,-13690.899658203125,6030.4998779296875,-48.29999923706055,-322.09999084472656,209.20000076293945,1350.3999328613281,201.0,230.0,False,-0.01523069206683804,0.3707556144872503,0.008774960639765792,True,False,False,4,223.0,False,,2411202488257828954,Martuccidaniele_,10.0,221.7100067138672,-185.27999877929688,17.010000228881836,-3884.5001220703125,10469.300537109375,2.3999999463558197,-2.199999988079071,-0.7999999821186066,1513.3999633789062,0.0,250.0,,-0.00977180378541277,1.2000497737142282,0.00017131403187222902,True,6,False,6,255.0,False,,enpitsu,76561198039309853,27.0,3919.39990234375,-3318.889892578125,33.130001068115234,728.1999969482422,13195.10009765625,303.799991607666,-155.2999973297119,-385.09998321533203,385.40000915527344,255.0,128.0,False,-0.00010051689465713212,1.6154793111016001,-0.36542057299083497,True,2,False,15.198313736146499,True,2,,games5425898691,bf81d8692db,24.0,1234.5799560546875,2594.669921875,17.010000228881836,-13371.500244140625,9390.599975585938,2.3000000417232513,1.0000000149011612,-0.7000000029802322,1829.6000671386719,128.0,255.0,,-0.009640641035047581,0.5628397780093681,0.000149992441953209,True,228.0,False,6,False,6,
7,479,11,False,False,1,5417.962736340606,1237.6500244140625,-267.17999267578125,95.01000213623047,-13895.10009765625,3894.4000244140625,1011.8000030517578,-1076.3999938964844,-688.4999847412109,-2399.499969482422,1.0,0.391090239689865,2.6598524421053393,0.46853148990984655,1044040509235754335,Xx_nic0laturboXx,11.0,1525.8299560546875,-207.25999450683594,17.040000915527344,-8935.900268554688,2692.6998901367188,3.799999952316284,0.5000000074505806,0.19999999552965164,0.09999999776482582,128.0,128.0,False,-0.01689352683797811,0.2926485487265144,3.507470514711245e-05,True,False,False,4,223.0,False,,2411202488257828954,Martuccidaniele_,10.0,-68.75,70.44000244140625,17.010000228881836,-6692.1002197265625,853.6000061035156,2.5,0.29999999329447746,-0.0,2193.300018310547,128.0,246.0,,-0.009645708308781357,0.10829022273090254,3.370304879811546e-05,True,6,False,6,255.0,False,,enpitsu,76561198039309853,28.0,3934.760009765625,-2421.22998046875,40.09000015258789,277.99999237060547,17322.19970703125,115.9000015258789,3.100000023841858,-101.49999618530273,-13.700000047683716,255.0,128.0,False,-0.007288186275933551,1.602399711931799,-0.40982137329749435,True,2,False,0.0,False,2,,games5425898691,bf81d8692db,24.0,616.280029296875,2909.1201171875,17.010000228881836,-12602.60009765625,7710.2001953125,2.0999999344348907,1.5000000596046448,-0.7999999821186066,1162.300033569336,255.0,187.0,,-0.00959836861025076,0.5551269804251976,0.0003560967136320794,True,228.0,False,6,False,6,
8,519,12,False,False,1,5104.861948916157,-550.6900024414062,244.4199981689453,93.13999938964844,-10471.500244140625,3075.5999755859375,0.0,-1810.0,-5552.60009765625,-1375.5000305175781,1.0,0.08429929447898578,2.9617808065389597,-0.3669776607111525,2411202488257828954,Martuccidaniele_,10.0,-579.9199829101562,86.30999755859375,17.010000228881836,-4838.399963378906,5763.0999755859375,0.0,-0.0,-0.0,-2404.7000122070312,255.0,0.0,,-0.009512711041425663,0.874695783468128,-4.661806615209135e-05,True,False,6,6,236.2587611777808,True,,1044040509235754335,Xx_nic0laturboXx,11.0,917.0399780273438,-23.780000686645508,17.040000915527344,-3662.9998779296875,1103.3999633789062,3.799999952316284,0.5000000074505806,0.09999999776482582,0.0,255.0,128.0,False,-0.01662194208622341,0.2926481691406898,4.2384025335664853e-05,True,False,False,4,254.0,False,,enpitsu,76561198039309853,27.0,3615.389892578125,-62.29999923706055,17.059999465942383,-10126.300048828125,13087.19970703125,2.0999999344348907,0.9000000357627869,-1.8000000715255737,2024.2999267578125,255.0,128.0,False,-0.016758740919283133,0.8466024464178535,0.00014772390404075154,True,2,False,242.4806192613417,True,2,,games5425898691,bf81d8692db,24.0,-1120.8900146484375,3815.699951171875,17.010000228881836,-5711.500244140625,11258.199462890625,2.3999999463558197,-0.0,-0.0,-2323.800048828125,255.0,0.0,,-0.009550739938975478,1.1679855219097353,-2.0057650221003855e-05,True,228.0,False,6,False,6,
9,520,12,False,False,1,5082.190741579019,-582.75,277.70001220703125,100.08999633789062,-6854.5001220703125,9745.999755859375,1991.0000610351562,-1330.0999450683594,-5850.10009765625,83.29999923706055,1.0,0.316615981318998,2.949577794953349,-0.47309554083115135,2411202488257828954,Martuccidaniele_,10.0,-579.9199829101562,86.30999755859375,17.010000228881836,-4838.399963378906,5763.0999755859375,0.0,-0.0,-0.0,-2404.7000122070312,255.0,0.0,,-0.009512711041425663,0.874695783468128,-4.661806615209135e-05,True,False,6,6,233.12812911566866,True,,1044040509235754335,Xx_nic0laturboXx,11.0,917.0399780273438,-23.780000686645508,17.040000915527344,-3662.9998779296875,1103.3999633789062,3.799999952316284,0.5000000074505806,0.09999999776482582,0.0,255.0,128.0,False,-0.01662194208622341,0.2926481691406898,4.2384025335664853e-05,True,False,False,4,254.0,False,,enpitsu,76561198039309853,27.0,3512.56005859375,47.25,17.059999465942383,-11998.00048828125,11172.60009765625,0.0,4.300000071525574,-3.700000047683716,1192.2000122070312,255.0,128.0,False,-0.016780586957418023,0.6789651019527077,-0.00013037308647425607,True,2,False,239.34998719922956,True,2,,games5425898691,bf81d8692db,24.0,-1120.8900146484375,3815.699951171875,17.010000228881836,-5711.500244140625,11258.199462890625,2.3999999463558197,-0.0,-0.0,-2323.800048828125,255.0,0.0,,-0.009550739938975478,1.1679855219097353,-2.0057650221003855e-05,True,228.0,False,6,False,6,
