,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect
0,169,0,False,False,0,5219.744022114995,-20.8700008392334,-5.860000133514404,99.33999633789062,-23131.99951171875,18874.000244140625,4279.2999267578125,-3248.800048828125,2127.5,4573.599853515625,0.0,0.10525845151877285,0.1574034696207171,-0.16330005134895037,76561198019325819,Outer Heaven,7.0,15.479999542236328,-238.27000427246094,85.91999816894531,5930.9002685546875,21040.30029296875,3071.400146484375,-2429.4000244140625,-805.1000213623047,2651.6000366210938,255.0,240.0,,0.1111323506746989,1.2707352679704493,-0.00029426947116545463,True,3,False,0.0,False,4,,76561198015950686,Cool boi,7.0,2914.3798828125,-4023.679931640625,18.329999923706055,17312.19970703125,2489.600067138672,3.4999999403953552,-0.5999999865889549,0.0,1982.1000671386719,244.0,255.0,,0.017059320681029208,0.2154785782597304,5.984425507084073e-05,True,False,False,False,0.0,False,50.0,enpitsu,76561198039309853,25,40.369998931884766,3905.5400390625,17.049999237060547,-398.1999969482422,-9161.400146484375,2.7000001072883606,0.29999999329447746,-0.5000000074505806,0.0,255.0,128.0,,0.016643054273373276,-1.6142513790328001,-4.1156966944222666e-05,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,104.81999969482422,234.74000549316406,87.0999984741211,-10248.499755859375,-20388.900146484375,2223.3999633789062,5375.0,-1165.8000183105469,-11.699999570846558,128.0,152.0,,0.7058987329190212,-2.0295088778581776,-0.1706424643355576,True,0.0,False,False,3,4,
1,287,4,False,True,1,4101.431989106657,3794.72998046875,2238.429931640625,1112.3800048828125,-21639.7998046875,13514.69970703125,2135.5999755859375,1772.7000427246094,738.3000183105469,5684.2999267578125,1.0,0.22128542713373525,-0.3734482403570064,-1.6057144698199768,bf81d8692db,games5425898691,19.0,3914.39990234375,2206.18994140625,1076.3399658203125,-10608.399658203125,17949.100341796875,3397.3001098632812,-1218.6000061035156,-5362.0001220703125,114.49999809265137,255.0,255.0,,-0.27995599993366443,1.6682259390676968,-2.1232124052766888,True,7,False,169.0,False,8,,76561198039309853,enpitsu,24.0,1561.199951171875,1552.0899658203125,17.049999237060547,-11473.800048828125,8047.60009765625,3.100000023841858,1.0999999940395355,-0.7999999821186066,2003.0000305175781,255.0,128.0,,-0.01675016742010897,0.5717089798390893,0.0001884090510152953,True,False,False,False,88.0,False,,Outer Heaven,76561198019325819,7,-3909.1298828125,707.6500244140625,30.690000534057617,3632.39990234375,13423.599853515625,-1085.1000213623047,-225.40000915527344,-1613.3999633789062,-2019.1999816894531,255.0,1.0,,-0.1055956212202733,1.8933254249789728,0.3041288336171977,True,243.86533340843775,True,6,False,6,,Cool boi,76561198015950686,7.0,-472.2699890136719,5345.22998046875,18.549999237060547,11229.200439453125,7856.300048828125,92.89999961853027,392.40001678466797,15.099999904632568,-2909.5999145507812,251.0,0.0,False,-0.011724703509559163,2.7259195565885226,0.007594636046735212,True,255.0,False,False,False,False,
2,335,6,False,False,0,9683.19546729836,-112.30999755859375,-4511.43017578125,522.7899780273438,18646.800537109375,10593.699951171875,10629.300537109375,2234.7000122070312,5437.8997802734375,-1197.9000091552734,0.0,0.3151096538635837,-1.8179826406866422,-1.497252794690814,76561198015950686,Cool boi,7.0,-168.41000366210938,-4607.27978515625,340.70001220703125,1182.6000213623047,6625.3997802734375,5574.2999267578125,642.0999908447266,68.4000015258789,-498.3000183105469,251.0,128.0,False,-0.8960908549484939,0.3629798854120839,0.6116875171437716,True,False,4,201.74886042071927,True,4,,76561198019325819,Outer Heaven,7.0,2334.949951171875,-3372.06005859375,47.470001220703125,-8858.599853515625,-17701.099853515625,-2973.9999389648438,882.2000122070312,92.20000267028809,454.50000762939453,255.0,121.0,,0.07325204476782422,-2.0558006832109825,0.5211690871424768,True,False,8,8,221.0,False,,enpitsu,76561198039309853,24,814.8699951171875,-2208.3798828125,17.049999237060547,13587.60009765625,2909.1000366210938,2.7000001072883606,-6.600000262260437,-1.7000000178813934,1434.6000671386719,255.0,128.0,,0.01675885485722885,0.28227956500914786,-9.814335860517266e-05,True,88.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-2170.239990234375,-5069.240234375,679.5700073242188,7734.6002197265625,-236.00000381469727,-5842.39990234375,-3439.8001098632812,-1447.1000671386719,1339.1999816894531,255.0,128.0,,0.5226717249522084,1.4834303112807752,-0.10137063919395257,True,169.0,False,False,8,8,
3,436,9,False,False,0,7204.223871542115,2584.030029296875,-1167.949951171875,376.0899963378906,-12572.39990234375,5912.1002197265625,6059.89990234375,-3407.6998901367188,-3085.0,-3856.099853515625,0.0,0.5167322281461547,1.7433061242545644,3.0067251748349904,76561198019325819,Outer Heaven,7.0,2633.35009765625,-1192.3599853515625,194.8800048828125,-2425.7000732421875,4861.9000244140625,2230.2000427246094,5402.1002197265625,-956.2000274658203,-390.60001373291016,128.0,128.0,False,-1.22364554565965,1.197536737646045,0.20388610253620723,True,9,False,222.0,False,10,,76561198015950686,Cool boi,7.0,-219.35000610351562,-1872.6600341796875,18.34000015258789,-1137.9000091552734,15262.60009765625,-3.400000035762787,-0.19999999552965164,-0.5000000074505806,0.0,255.0,128.0,False,0.017047619118070137,1.6452113560899717,2.3751655919088605e-05,True,4,4,False,215.21110534155244,True,,enpitsu,76561198039309853,24,3419.989990234375,-904.4299926757812,17.030000686645508,-14100.999755859375,3761.9000244140625,2.0000000298023224,-4.799999892711639,-5.099999904632568,-2188.5000610351562,255.0,0.0,False,0.016492508190511925,2.815493573851403,-0.0001489877355813628,True,0.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-736.02001953125,-338.69000244140625,17.010000228881836,-2637.0001220703125,21349.09912109375,2.0999999344348907,0.29999999329447746,-2.8999999165534973,769.8000335693359,255.0,128.0,,0.00958663946313731,1.7507907039481505,-0.00012308844667206455,True,115.0,False,False,8,8,
4,539,13,False,False,1,5984.35099930609,1475.97998046875,-816.1799926757812,115.31999969482422,-4640.299987792969,1663.0999755859375,4910.899963378906,4240.10009765625,4199.100036621094,622.7000045776367,1.0,1.4935680059583414,-0.4000477462014142,0.25010393937016007,76561198039309853,enpitsu,25.0,1586.030029296875,-861.4299926757812,15.979999542236328,-2141.7999267578125,96.49999618530273,-1091.9000244140625,-3554.4000244140625,-901.6999816894531,-1003.6000061035156,0.0,128.0,False,-0.004674689985448022,-2.978376996009638,-0.028687034617395024,True,2,False,0.0,False,2,,bf81d8692db,games5425898691,20.0,1446.3800048828125,-1266.27001953125,17.010000228881836,13349.89990234375,17575.699462890625,0.0,-0.7999999821186066,-1.0000000149011612,1693.0000305175781,255.0,255.0,,-0.009592927067688049,2.1773723785771315,0.0002036749651406409,True,False,8,8,58.0,False,,Outer Heaven,76561198019325819,7,-34.77000045776367,818.4400024414062,17.059999465942383,10993.800048828125,8828.900146484375,1.1999999731779099,0.19999999552965164,0.7000000029802322,-8.100000023841858,255.0,128.0,False,-0.016745928336838124,2.4652146671206263,-5.227038134352129e-05,True,252.0,False,10,False,10,,Cool boi,76561198015950686,7.0,-1124.93994140625,-78.4800033569336,36.310001373291016,396.19998931884766,8732.5,3199.7000122070312,4.399999976158142,22.59999990463257,-912.9000091552734,255.0,128.0,False,-0.01687882423264827,1.6907166863935146,0.0011880635695486273,True,168.0,False,4,4,8,
5,623,16,True,True,0,4542.172547865854,-474.25,617.4500122070312,102.91000366210938,2793.2998657226562,31453.1005859375,4469.2999267578125,-13.799999952316284,2117.100067138672,1006.8000030517578,0.0,-0.797868701766547,-0.6461123469028,2.9550336064123535,76561198015950686,Cool boi,7.0,-487.510009765625,408.70001220703125,51.93000030517578,-1882.5,22704.89990234375,3152.6998901367188,-38.09999942779541,-10.099999904632568,-557.7000045776367,186.0,0.0,False,0.017610904307821508,1.6240190224881756,-0.00012661366702855205,True,6,4,28.0,False,10,,76561198019325819,Outer Heaven,7.0,-382.94000244140625,-287.5799865722656,17.059999465942383,6351.5997314453125,20090.999755859375,1.1999999731779099,0.0,-0.29999999329447746,0.0,255.0,128.0,False,0.01678691907283333,1.2645930882038876,2.6632005395902473e-05,True,False,10,10,139.0,False,,enpitsu,76561198039309853,24,-2095.340087890625,-1740.5699462890625,17.059999465942383,-273.6000061035156,8961.799926757812,1.1999999731779099,0.0,0.0,-314.50000762939453,255.0,128.0,False,0.01667004832175261,1.5766861062938373,0.0001711082037445609,True,,False,2,False,2,,games5425898691,bf81d8692db,20.0,-1725.280029296875,1321.8699951171875,17.010000228881836,9932.60009765625,15485.2001953125,2.0000000298023224,0.0,0.0,1193.7000274658203,255.0,197.0,,0.009603611871411035,1.0523095246645455,-6.853108320061188e-05,True,21.0,False,False,8,8,
6,912,18,False,False,0,5162.112006724574,76.38999938964844,70.30000305175781,96.48999786376953,22979.49951171875,20436.8994140625,245.40000915527344,2628.0999755859375,-2228.9999389648438,-2184.199981689453,0.0,-0.07094216650602468,-0.07608424896575093,0.09038946095715565,76561198015950686,Cool boi,7.0,-176.2100067138672,-150.9600067138672,80.62999725341797,14376.300048828125,17949.49951171875,-365.40000915527344,1501.9000244140625,4315.899963378906,1764.4000244140625,128.0,0.0,,-0.3445269185993494,0.6413231624844073,0.6305172641446838,True,4,False,0.0,False,4,,76561198019325819,Outer Heaven,7.0,2442.64990234375,-4234.27978515625,17.049999237060547,19947.19970703125,-1332.2000122070312,2.5,-0.29999999329447746,0.19999999552965164,-0.09999999776482582,255.0,128.0,,0.016761331499795133,-0.06671059045834052,2.9081069110074375e-05,True,False,False,False,20.0,False,,enpitsu,76561198039309853,24,224.67999267578125,336.0799865722656,80.5999984741211,-13961.8994140625,-18083.499755859375,2637.7999877929688,4094.2001342773438,-3160.4000854492188,0.0,255.0,128.0,,0.1919320921092829,-2.2282499875203636,-4.151610208410937e-05,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,-2019.739990234375,3621.590087890625,17.010000228881836,-18222.2998046875,10305.400390625,2.0999999344348907,-3.400000035762787,2.0999999344348907,-816.2999725341797,255.0,128.0,,0.009591317260579933,2.5791452572715334,2.012235655150711e-05,True,0.0,False,False,False,False,
7,913,18,False,True,1,5348.832385294551,-135.5500030517578,-108.41999816894531,98.26000213623047,25.799999237060547,27985.70068359375,4023.800048828125,1084.1000366210938,-280.9000015258789,5447.60009765625,1.0,0.11807007087069282,0.09104007971152969,0.15265910804647062,76561198039309853,enpitsu,24.0,-224.67999267578125,-336.0799865722656,80.5999984741211,13961.8994140625,18083.499755859375,2637.7999877929688,-4094.2001342773438,3160.4000854492188,0.0,255.0,128.0,,-0.1919320921092829,2.2282499875203636,-4.151610208410937e-05,True,1,False,0.0,False,2,,bf81d8692db,games5425898691,19.0,2019.739990234375,-3621.590087890625,17.010000228881836,18222.2998046875,-10305.400390625,2.0999999344348907,3.400000035762787,-2.0999999344348907,-816.2999725341797,255.0,128.0,,-0.009591317260579933,-2.5791452572715334,2.012235655150711e-05,True,False,False,False,0.0,False,,Outer Heaven,76561198019325819,7,-2442.64990234375,4234.27978515625,17.049999237060547,-19947.19970703125,1332.2000122070312,2.5,0.29999999329447746,-0.19999999552965164,-0.09999999776482582,255.0,128.0,,-0.016761331499795133,0.06671059045834052,2.9081069110074375e-05,True,20.0,False,False,False,False,,Cool boi,76561198015950686,7.0,47.599998474121094,-12.25,71.81999969482422,-12294.200439453125,-15706.500244140625,-1232.7999877929688,-2320.500030517578,-4287.099914550781,-2456.0000610351562,128.0,0.0,,0.08573774372531028,-0.4310057809905882,1.0161215398501706,True,0.0,False,False,4,4,
8,914,18,False,False,0,5214.930209390775,174.47000122070312,36.119998931884766,112.68000030517578,27398.00048828125,-15697.60009765625,4854.800109863281,1123.7999725341797,-1669.7000122070312,-5652.2998046875,0.0,-0.17439896200343194,-0.22814028877279,0.18607591864861894,76561198015950686,Cool boi,7.0,-47.599998474121094,12.25,71.81999969482422,12294.200439453125,15706.500244140625,-1232.7999877929688,2320.500030517578,4287.099914550781,-2456.0000610351562,128.0,0.0,,-0.08573774372531028,0.4310057809905882,1.0161215398501706,True,4,False,0.0,False,4,,76561198019325819,Outer Heaven,7.0,2642.110107421875,-4247.330078125,17.049999237060547,19951.199951171875,-1158.3999633789062,2.5999999046325684,3.4999999403953552,0.0,403.4000015258789,255.0,213.0,,0.016761472602125824,-0.060200408252263624,9.442684113050812e-05,True,False,False,False,20.0,False,,enpitsu,76561198039309853,24,224.67999267578125,336.0799865722656,80.5999984741211,-13961.8994140625,-18083.499755859375,2637.7999877929688,4094.2001342773438,-3160.4000854492188,0.0,255.0,128.0,,0.1919320921092829,-2.2282499875203636,-4.151610208410937e-05,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,-2182.7099609375,3722.31005859375,17.010000228881836,-17491.500244140625,11418.00048828125,2.0999999344348907,0.29999999329447746,-0.09999999776482582,-188.1999969482422,255.0,128.0,,0.00960460876806353,2.5429643220123817,0.00011314450451982316,True,0.0,False,False,False,False,
9,955,19,False,False,0,8752.304610847585,3923.449951171875,-2165.8701171875,239.8699951171875,-16691.400146484375,14303.900146484375,18880.699462890625,4423.399963378906,1438.3999633789062,3789.89990234375,0.0,0.15461205166902575,-2.1752305165768187,0.27448757272925123,76561198019325819,Outer Heaven,7.0,4007.800048828125,-2245.18994140625,145.69000244140625,-701.6000366210938,21022.099609375,2391.7999267578125,-1850.3999328613281,-3384.7000122070312,-3920.2999877929688,255.0,222.0,False,-0.07312135156038704,1.2815152499854234,-1.127969959538989,True,3,False,184.60738919883644,True,4,,76561198015950686,Cool boi,7.0,-16.309999465942383,-217.8699951171875,18.329999923706055,965.0,-5510.10009765625,3.100000023841858,0.0,-1.1999999731779099,-635.6999969482422,233.0,128.0,,0.016947985041353125,-1.4262083601881959,0.0002558996360016658,True,False,4,4,0.0,False,,enpitsu,76561198039309853,24,-846.969970703125,111.73999786376953,17.049999237060547,-8978.099975585938,-570.8000183105469,4.399999976158142,-0.19999999552965164,0.9000000357627869,-16.299999952316284,255.0,128.0,,0.016726939246821337,-3.080171717525294,-9.69474759132177e-06,True,0.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-3897.360107421875,2866.449951171875,25.739999771118164,6489.4000244140625,-18719.300537109375,-1953.800048828125,-212.80000686645508,-3161.7999267578125,1368.699951171875,255.0,154.0,,0.09687138174184025,-1.1564328843298695,-0.25108232607479797,True,214.27732477905926,True,False,False,False,
