,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,167,0,False,False,1,5181.268143386204,34.77000045776367,30.809999465942383,97.0199966430664,20380.2001953125,19318.800048828125,3445.5999755859375,-3640.1998901367188,4229.89990234375,-664.5999908447266,1.0,0.07017041830033499,0.013236771039076695,0.06120967912206872,7621819524963697921,Loufiacre,26.0,-62.4900016784668,-71.2300033569336,66.12000274658203,19420.30029296875,8624.500122070312,2640.4998779296875,5418.2000732421875,57.199997901916504,943.1999969482422,255.0,26.0,,0.10838872230429109,2.430403979722793,0.17314928652137446,False,6,5,0.0,False,False,,2665120328272868976,momogalexp,8.0,3.109999895095825,-2264.360107421875,16.979999542236328,222.99999237060547,13613.1005859375,11.100000143051147,-1.0999999940395355,-0.0,-10.700000524520874,255.0,128.0,,-0.009506766851286727,1.5884725921926428,1.5162299888836852e-05,True,116.0,False,4,4,False,,enpitsu,76561198039309853,27,-0.0,2503.110107421875,17.049999237060547,-0.0,-16603.800048828125,2.5,0.3999999910593033,-0.0,0.0,255.0,255.0,,-0.01674677600886567,-1.5707748601881248,-2.392834531677249e-07,True,False,False,False,102.0,False,,games5425898691,bf81d8692db,17.0,133.8699951171875,614.7100219726562,19.479999542236328,-2622.0001220703125,-18628.599853515625,2958.9999389648438,0.29999999329447746,3.6000001430511475,1247.5,255.0,154.0,-0.009588630637832008,-1.491335912973209,-3.756355119083318e-05,True,0.0,False,False,4,False,,
1,257,3,False,False,1,2673.8527875814766,3475.010009765625,4434.169921875,924.1799926757812,-15092.5,10866.600341796875,-2929.8001098632812,-2797.39990234375,389.50000762939453,-5293.599853515625,1.0,0.23972114609882283,0.7508617201612049,0.7983933817715463,7621819524963697921,Loufiacre,10.0,3605.199951171875,4332.31982421875,1038.719970703125,-8814.000244140625,16377.60009765625,511.6999816894531,-653.0000305175781,-2458.800048828125,-4876.199951171875,255.0,220.0,,0.7407871593914274,-2.6577515420024262,-2.2215036513976893,True,8,7,31.0,False,False,,2665120328272868976,momogalexp,8.0,298.5899963378906,599.1300048828125,17.010000228881836,-9982.100219726562,5372.9998779296875,2.3999999463558197,-0.3999999910593033,0.19999999552965164,-2362.100067138672,255.0,0.0,,-0.00955876355943307,0.5507434394628211,-3.796545005418234e-05,True,147.0,False,4,4,False,,enpitsu,76561198039309853,27,3320.60009765625,4719.509765625,656.4500122070312,-2329.9000549316406,2275.2000427246094,17568.599853515625,-20.799999237060547,29.700000286102295,5.5000001192092896,255.0,0.0,False,1.3900109959108877,0.8685069817681645,-1.4897786507677457,True,1,False,False,215.0,False,,games5425898691,bf81d8692db,17.0,-2839.530029296875,-861.760009765625,183.80999755859375,-10850.999755859375,13462.2998046875,2397.899932861328,-3743.800048828125,-3197.3001098632812,283.799991607666,255.0,128.0,-1.1487863802827776,0.7350003360072895,0.08870101402692317,False,0.0,False,4,6,False,,
2,330,5,True,True,1,1012.728848437394,443.6300048828125,4233.919921875,298.4200134277344,-3073.3999633789062,15737.2998046875,5839.89990234375,4307.5,-3937.5,-1393.0999755859375,1.0,0.31719933371865905,-2.37040902962902,0.6704119099235614,2665120328272868976,momogalexp,8.0,442.6499938964844,4055.080078125,187.27999877929688,-3156.6000366210938,13694.7998046875,-249.69999313354492,2503.5000610351562,-3582.9000854492188,-2581.300048828125,255.0,26.0,,0.4999626218759502,0.8982494191937064,1.0042346413762466,True,6,6,144.0,False,False,,7621819524963697921,Loufiacre,9.0,795.3599853515625,3980.199951171875,17.0,-11410.400390625,-8404.69970703125,3.6000001430511475,-0.7999999821186066,-0.5999999865889549,-1886.6999816894531,255.0,0.0,,-0.009599315230424652,-0.6004687304411703,-0.00019633561239872882,True,2.0,False,10,8,False,,enpitsu,76561198039309853,27,3267.610107421875,3500.610107421875,466.9599914550781,212.60000228881836,-5179.2999267578125,-11279.49951171875,-1.899999976158142,23.599998950958252,2.7000001072883606,128.0,128.0,,1.0604337144508122,-3.0653167738579494,0.5243036318088066,True,2,False,2,215.0,False,,games5425898691,bf81d8692db,17.0,-3446.85009765625,3353.360107421875,16.989999771118164,6314.69970703125,22116.10107421875,2.3000000417232513,-0.19999999552965164,-0.19999999552965164,-1430.0999450683594,255.0,0.0,-0.009578504223348962,1.875443472340235,-0.00020454119099047615,True,166.18617630773977,True,4,6,False,,
3,601,6,False,False,1,5209.6778167083,-50.90999984741211,17.100000381469727,123.19000244140625,-9913.300170898438,2026.4999389648438,2942.9000854492188,-3295.1998901367188,3695.4000854492188,-1547.2999572753906,1.0,0.29276290223988366,-0.0929301384788116,0.3267818832106563,2665120328272868976,momogalexp,7.0,-8.5600004196167,-158.75,114.05000305175781,4703.399963378906,1349.1999816894531,4816.9000244140625,-2022.8999328613281,-1323.6000061035156,4940.199890136719,255.0,155.0,,-0.3403641480953155,1.6185901775619556,-0.12484988673722419,True,4,3,0.0,False,False,,7621819524963697921,Loufiacre,8.0,-35.20000076293945,-1530.9200439453125,17.010000228881836,-11.000000238418579,13716.199951171875,2.0999999344348907,-0.0,0.5000000074505806,0.0,255.0,128.0,,-0.009574944068635505,1.569995509702403,-4.1942862500718814e-05,True,91.0,False,4,4,False,,enpitsu,76561198039309853,27,46.650001525878906,112.80999755859375,91.43000030517578,-8328.200073242188,-4716.400146484375,-1153.0999755859375,4403.2000732421875,-2439.600067138672,-2215.7000732421875,255.0,128.0,,-1.4452244169800452,-0.5357276902888489,-0.4696912275209813,True,2,False,1,0.0,False,,games5425898691,bf81d8692db,17.0,-2856.0400390625,4232.64013671875,17.010000228881836,-17580.799560546875,903.7000274658203,2.3000000417232513,0.29999999329447746,-0.09999999776482582,1943.0999755859375,255.0,255.0,-0.0095757104092464,-0.01596379135844874,4.945938028595856e-05,True,0.0,False,False,False,False,,
4,663,8,False,False,0,7064.796261753367,3828.68994140625,-112.48999786376953,121.27999877929688,-7924.4000244140625,19888.800048828125,13118.699951171875,3748.2000732421875,4685.10009765625,6.3999998569488525,0.0,-0.3473133670713715,-0.801658039309847,1.2776990844069929,bf81d8692db,games5425898691,17.0,3928.22998046875,-244.0,33.630001068115234,-9774.69970703125,20370.10009765625,-4302.300109863281,-1160.0,3844.89990234375,1395.8000183105469,255.0,255.0,,0.2167844765270771,2.09568020860266,-0.3594893004848564,True,False,False,149.75190534899318,True,False,,76561198039309853,enpitsu,27.0,1690.8199462890625,-379.989990234375,17.049999237060547,8536.199951171875,-8621.300048828125,3.1999999284744263,-1.4000000059604645,1.4000000059604645,1916.9999694824219,255.0,255.0,,0.016724526020616325,-0.7782366782440024,0.0003318461900314494,True,31.0,False,2,2,False,,momogalexp,2665120328272868976,7,-1584.8299560546875,0.8399999737739563,17.010000228881836,-14331.8994140625,-585.4999923706055,1.899999976158142,-0.7000000029802322,-0.29999999329447746,17.000000476837158,255.0,128.0,,0.009568492532131682,-3.0982740558878508,-5.712923503075681e-05,True,4,False,4,0.0,False,,Loufiacre,7621819524963697921,8.0,2942.14990234375,1241.780029296875,17.010000228881836,6741.7999267578125,20863.60107421875,2.0000000298023224,0.09999999776482582,1.0000000149011612,279.4000053405762,255.0,128.0,0.009591113879109197,1.2892400671216329,-0.00018024675359544045,False,0.0,False,4,4,False,,
5,742,11,False,False,1,10308.554234050105,-1682.280029296875,-4840.919921875,1122.6600341796875,13996.300048828125,11252.5,-3797.3001098632812,-4919.2999267578125,-249.69999313354492,3426.0000610351562,1.0,0.9510200995570399,-1.8823160100543783,-1.8342694307690814,7621819524963697921,Loufiacre,8.0,-1865.6099853515625,-4945.7900390625,1136.52001953125,11225.30029296875,5010.4998779296875,1824.1000366210938,2936.199951171875,499.59999084472656,-4623.699951171875,255.0,136.0,,0.3093719901873459,-1.5977627683209883,-0.9720817769712018,True,6,5,201.0,False,False,,2665120328272868976,momogalexp,8.0,3201.22998046875,-2014.510009765625,16.989999771118164,-8933.400268554688,-12464.3994140625,4.4999998807907104,-1.2999999523162842,-1.5999999642372131,-670.1000213623047,255.0,128.0,,-0.009600226565010509,-0.9160988936839112,3.552472460300527e-05,True,234.0,False,4,4,False,,enpitsu,76561198039309853,27,-1806.06005859375,-1137.8299560546875,17.049999237060547,12953.499755859375,-3474.4000244140625,3.1999999284744263,-0.0,-0.0,2269.499969482422,255.0,128.0,,-0.016746905115370556,-2.943352471022819,-1.021193591141371e-06,True,2,False,2,51.0,False,,games5425898691,bf81d8692db,18.0,10.279999732971191,-2481.840087890625,17.040000915527344,-9155.900268554688,-14551.500244140625,-2.3000000417232513,0.9000000357627869,1.8000000715255737,-169.89999771118164,255.0,128.0,-0.009599298564326458,-0.9884582800530655,0.00016572419249156293,True,244.0,False,False,False,False,,
6,831,15,False,False,1,6899.083045698163,1930.3800048828125,-1681.0999755859375,257.8599853515625,17148.699951171875,17598.399658203125,3091.9000244140625,-1790.7000732421875,1999.7999572753906,1284.4000244140625,1.0,1.0523849373035385,0.7193198407413434,1.1083005236551113,2665120328272868976,momogalexp,8.0,1803.6199951171875,-1815.6700439453125,130.86000061035156,13907.19970703125,12031.700439453125,2663.699951171875,-3378.3999633789062,3816.4999389648438,418.3000183105469,255.0,130.0,False,-0.5221984872616303,2.3771690912209635,0.018868282816343132,True,6,5,191.0,False,False,,7621819524963697921,Loufiacre,8.0,1920.22998046875,-2007.0999755859375,216.49000549316406,3281.9000244140625,19950.30029296875,417.00000762939453,-1055.1000213623047,-4803.900146484375,-2461.3999938964844,255.0,255.0,,0.25192637693101055,1.7173563805039354,-1.440598882726572,True,135.25108835261355,True,8,7,False,,enpitsu,76561198039309853,27,1839.47998046875,-748.3699951171875,58.36000061035156,4917.39990234375,-12784.3994140625,3737.39990234375,789.4000244140625,253.09999465942383,548.4999847412109,255.0,255.0,False,-0.04775463862299169,-1.9199264178491497,0.0015576961109022309,True,4,False,3,0.0,False,,games5425898691,bf81d8692db,18.0,1732.0699462890625,-1924.1400146484375,17.030000686645508,13572.5,18568.299560546875,-4.000000059604645,-0.0,0.09999999776482582,-65.39999961853027,255.0,103.0,-0.00959706579948186,2.1927844008259165,-0.0001356308128989665,True,126.45092474516994,True,False,False,False,,
7,983,20,False,False,0,10265.176845104403,-2641.239990234375,-4975.72998046875,370.739990234375,-14109.7998046875,9584.7998046875,-437.59998321533203,458.8999938964844,207.29999542236328,-3283.800048828125,0.0,0.5304344246153107,-0.974845920757892,-1.2089147933906006,bf81d8692db,games5425898691,17.0,-2457.070068359375,-5058.97998046875,386.9599914550781,-10440.400390625,2522.4000549316406,2663.900146484375,1794.4999694824219,-1913.2000732421875,-2084.9000549316406,128.0,113.0,,0.4581415816863291,0.013736825150463875,-1.5349037178296088,True,4,3,255.0,False,False,,76561198039309853,enpitsu,27.0,-1968.969970703125,1009.469970703125,17.040000915527344,-3679.8001098632812,-22509.89990234375,4.1999998688697815,0.0,0.5000000074505806,1490.5000305175781,255.0,,,0.016777793531567678,-1.7047285381762576,0.00024358562124567336,True,199.0,False,4,4,False,,momogalexp,2665120328272868976,8,-1107.7099609375,-5047.08984375,30.079999923706055,8826.300048828125,-808.4999847412109,294.89999771118164,-1533.8999938964844,-197.5,18.09999942779541,255.0,128.0,,-0.011783856276286801,3.025630120822929,0.4914509630971828,True,8,False,8,142.0,False,,Loufiacre,7621819524963697921,8.0,-2818.6201171875,-1447.8199462890625,84.2300033569336,-8121.300048828125,21517.80029296875,-154.20000076293945,-4662.0001220703125,2917.5,55.70000171661377,234.0,,-0.07687323881734914,2.8337109107576524,-2.888607610527537,True,28.0,False,9,10,False,,
8,1087,24,False,False,0,7320.078726621932,-3643.239990234375,-1645.0,92.69999694824219,1729.6000671386719,5042.300109863281,0.0,-5525.8001708984375,1895.5000305175781,1347.2999572753906,0.0,0.7686300987630761,1.7859714504246502,-2.3099792954544065,76561198039309853,enpitsu,27.0,-3580.31005859375,-1820.3299560546875,17.040000915527344,4356.300048828125,21087.2998046875,-0.3999999910593033,0.0,-0.7000000029802322,-0.5000000074505806,255.0,255.0,False,0.016784443980312792,1.3669983590592858,4.00006005139508e-05,True,4,4,115.8567486322054,True,False,,bf81d8692db,games5425898691,17.0,-3916.679931640625,-3178.0,30.6299991607666,6796.7999267578125,11768.1005859375,-2163.800048828125,-133.100004196167,-3149.8001098632812,248.99999618530273,255.0,128.0,,0.1728209893883697,1.0312791548093092,0.29583089315002115,True,255.0,False,4,4,False,,momogalexp,2665120328272868976,8,-2476.800048828125,-204.25,16.989999771118164,12642.7001953125,18696.199951171875,4.600000083446503,0.0,0.0,-35.19999980926514,255.0,128.0,,0.009597453819739638,0.9723505456600906,1.4658023976548055e-06,True,8,False,8,22.0,False,,Loufiacre,7621819524963697921,8.0,-3604.550048828125,530.2100219726562,17.010000228881836,7328.2000732421875,-9616.300048828125,2.199999988079071,-1.2999999523162842,1.8000000715255737,-1357.2000122070312,255.0,0.0,0.00954089430395607,-0.8913098446828429,-0.0003905534325068924,True,255.0,False,10,10,False,,False
9,1181,27,False,False,1,9374.032328280153,3119.8701171875,-3966.419921875,104.06999969482422,-6600.5999755859375,-25033.20068359375,3117.6998901367188,-254.3000030517578,-416.19998931884766,628.3000183105469,1.0,-0.9282512348264912,-2.8120523396086226,2.6736314201378777,7621819524963697921,Loufiacre,9.0,3184.9599609375,-3809.830078125,17.020000457763672,-4184.2999267578125,-20983.701171875,268.1999969482422,-599.0000152587891,-54.29999828338623,-1485.8999633789062,255.0,128.0,False,0.03550037682440923,-1.333424206098021,0.024375578792503294,True,10,10,125.0,False,False,,2665120328272868976,momogalexp,8.0,1563.550048828125,-4683.669921875,16.989999771118164,16288.499755859375,9528.900146484375,2.199999988079071,-1.7000000178813934,-1.0000000149011612,590.6999969482422,255.0,128.0,False,-0.009600289961745983,2.579561029046378,-5.321570617328096e-05,True,30.0,False,8,8,False,,enpitsu,76561198039309853,27,3357.919921875,-4036.969970703125,17.049999237060547,-15517.39990234375,-11910.30029296875,-0.5000000074505806,-1.0000000149011612,-0.5000000074505806,-2987.0999145507812,255.0,0.0,False,-0.016785908188059303,-0.4849303094242648,-7.752206112389271e-05,True,4,False,4,73.0,False,,games5425898691,bf81d8692db,17.0,748.780029296875,-1644.0699462890625,17.010000228881836,-17015.899658203125,-7340.10009765625,2.0999999344348907,0.5999999865889549,-0.0,-165.40000915527344,255.0,101.0,-0.00957707307642787,-0.3993611956813155,2.8232367730941008e-05,True,206.0,False,4,4,False,,
10,1248,30,False,False,1,9572.96972397542,-15.670000076293945,-4389.4599609375,533.77001953125,-20336.400146484375,12240.0,-2485.5999755859375,-2411.699981689453,-1366.6000366210938,-120.69999694824219,1.0,-0.6115191070781869,-2.3914218888676357,2.253104073061667,7621819524963697921,Loufiacre,9.0,118.18000030517578,-4591.91015625,519.2100219726562,-17965.899658203125,6302.39990234375,4488.900146484375,-1246.1000061035156,4427.0001220703125,3016.300048828125,255.0,188.0,False,0.5737733737017731,1.4359126671086004,-1.9317090786574542,True,12,10,176.67549235846403,True,4,,2665120328272868976,momogalexp,8.0,1362.949951171875,-4903.35986328125,16.950000762939453,-14010.50048828125,1578.3000183105469,13.09999942779541,-39.50000047683716,-6.899999976158142,68.60000133514404,255.0,128.0,False,-0.008969220066789622,0.10505830682396931,-0.0021300894065596006,True,30.0,False,8,8,False,,enpitsu,76561198039309853,27,,,,,,,,,,,,,,,,True,,,,,,,games5425898691,bf81d8692db,17.0,-177.6699981689453,-4148.9501953125,550.8099975585938,6139.89990234375,-17926.8994140625,5643.2000732421875,4428.399963378906,1665.3999328613281,2804.5001220703125,255.0,102.0,0.3135382761285707,-2.0795544523680496,0.5386102846661805,True,121.46299348595316,True,5,6,False,,
11,1249,30,False,True,0,1228.8793907185802,57.849998474121094,4365.2001953125,515.4500122070312,-5977.80029296875,13473.599853515625,-10089.000244140625,-3283.2000732421875,-4144.800109863281,2835.4998779296875,0.0,0.6880955867722437,2.445845055156734,2.2181863014024903,bf81d8692db,games5425898691,17.0,177.6699981689453,4148.9501953125,550.8099975585938,-6139.89990234375,17926.8994140625,5643.2000732421875,-4428.399963378906,-1665.3999328613281,2804.5001220703125,255.0,102.0,,-0.3135382761285707,2.0795544523680496,0.5386102846661805,True,6,5,118.31598296473098,True,False,,76561198039309853,enpitsu,27.0,,,,,,,,,,,,,,,,True,,,,,,,momogalexp,2665120328272868976,8,-1362.949951171875,4903.35986328125,16.950000762939453,14010.50048828125,-1578.3000183105469,13.09999942779541,39.50000047683716,6.899999976158142,68.60000133514404,255.0,128.0,False,0.008969220066789622,-0.10505830682396931,-0.0021300894065596006,True,8,False,8,30.0,False,,Loufiacre,7621819524963697921,9.0,-118.18000030517578,4591.91015625,519.2100219726562,17965.899658203125,-6302.39990234375,4488.900146484375,1246.1000061035156,-4427.0001220703125,3016.300048828125,255.0,188.0,-0.5737733737017731,-1.4359126671086004,-1.9317090786574542,True,173.52848183724183,True,10,12,4,,False
12,1250,30,False,False,1,9562.456804119403,-50.38999938964844,-4375.509765625,496.5,-4815.10009765625,14611.600341796875,-12583.299560546875,-3089.8001098632812,5.699999928474426,-5143.2000732421875,1.0,-0.6809409727480221,-2.2982507147937885,2.145995656616033,7621819524963697921,Loufiacre,9.0,-25.489999771118164,-4543.56005859375,551.0,-16268.699951171875,4056.400146484375,3528.699951171875,-5445.0,-775.6999969482422,4.300000071525574,255.0,174.0,False,0.22642272579533596,1.5018380727476803,-1.7292455174077304,True,12,10,170.45387525712286,True,4,,2665120328272868976,momogalexp,8.0,1246.1300048828125,-4890.77001953125,17.0,-14022.80029296875,1472.7000427246094,3.700000047683716,-9.700000286102295,-1.7000000178813934,16.299999952316284,255.0,128.0,False,-0.009445036997585948,0.10223117061964124,-0.0004778111615439018,True,30.0,False,8,8,False,,enpitsu,76561198039309853,27,,,,,,,,,,,,,,,,True,,,,,,,games5425898691,bf81d8692db,17.0,-135.0500030517578,-4294.10009765625,598.0499877929688,3054.2999267578125,-15899.000244140625,4064.2001342773438,3198.9999389648438,3990.0,-2023.699951171875,255.0,109.0,-0.16304217406768895,-2.1705380505230045,0.5583791923499938,True,115.241376384612,True,5,6,False,,
13,1330,33,False,False,1,6563.463412674285,-1042.3299560546875,-1130.719970703125,111.41999816894531,5204.7998046875,23158.20068359375,-491.6999816894531,-2228.9999389648438,-690.8999633789062,-5267.60009765625,1.0,-0.8526654683883593,0.29914182748530643,-1.2825388211828608,2665120328272868976,momogalexp,8.0,-1125.719970703125,-1231.75,15.569999694824219,-2280.800018310547,18863.699951171875,-96.80000305175781,47.800002098083496,270.10000228881836,-2052.899932861328,255.0,3.0,,-0.02904270552837867,1.5460685899752518,0.026594623143983996,True,8,8,0.0,False,False,,7621819524963697921,Loufiacre,9.0,-1223.0799560546875,-4419.56005859375,17.010000228881836,1102.300033569336,12305.6005859375,0.0,0.09999999776482582,2.800000011920929,-2007.5999450683594,255.0,98.0,,-0.009538603020296584,1.7273769114508954,3.993634471855301e-05,True,92.0137979215191,True,12,10,6,,enpitsu,76561198039309853,27,3069.840087890625,4446.0400390625,17.049999237060547,-5777.19970703125,9265.599975585938,-0.7999999821186066,-0.19999999552965164,-0.0,2390.0999450683594,255.0,255.0,False,-0.016696237379584568,0.964669930967832,8.894412924212008e-06,True,False,False,False,233.08356118458573,True,,games5425898691,bf81d8692db,17.0,-3039.68994140625,-3609.679931640625,17.010000228881836,-4267.5,20437.099609375,-0.29999999329447746,-0.09999999776482582,1.0000000149011612,36.09999895095825,255.0,128.0,-0.009595411727388786,1.3604835348976951,-5.362647970662068e-05,True,223.7068215621415,True,6,6,False,,
14,1344,33,False,True,1,5402.754635603332,-788.2899780273438,6.489999771118164,94.0199966430664,4730.299987792969,21369.09912109375,477.09999084472656,-4636.199951171875,328.69998931884766,-3794.2999267578125,1.0,-0.7653399959321169,-0.7938620788716442,2.5079733600476626,2665120328272868976,momogalexp,8.0,-975.780029296875,-303.3299865722656,17.0,4221.099853515625,18030.10009765625,3.400000035762787,-0.0,-0.29999999329447746,19.09999966621399,255.0,133.0,,-0.009605992581070215,1.8013041692588911,4.7680575873096765e-05,True,8,8,0.0,False,False,,7621819524963697921,Loufiacre,9.0,-1006.8099975585938,-3581.909912109375,102.47000122070312,6656.500244140625,19687.2998046875,-149.60000038146973,-3655.2999877929688,3953.0999755859375,1123.0000305175781,207.0,128.0,,-0.43336069736204896,0.46957051477344497,2.108434742794638,True,68.0,False,14,11,6,,enpitsu,76561198039309853,27,2497.090087890625,4696.02978515625,17.049999237060547,-15211.8994140625,-1333.8999938964844,-1.2999999523162842,4.799999892711639,0.5999999865889549,1844.7999572753906,255.0,128.0,False,-0.016775116231929496,-0.15891494119351599,-4.4323936911244275e-05,True,False,False,False,191.0,False,,games5425898691,bf81d8692db,17.0,-3233.830078125,-2484.030029296875,73.11000061035156,-2075.2000427246094,22794.09912109375,2215.2000427246094,-5476.9000244140625,413.4000015258789,-286.9000053405762,255.0,130.0,-0.4516358037580134,1.6712206195884083,-0.012054187571217833,True,208.0,False,7,8,False,,
15,1376,34,False,True,1,3035.557613701438,-275.5299987792969,2339.6201171875,93.13999938964844,3977.7999877929688,18216.800537109375,0.0,-5737.8997802734375,1091.500015258789,-1372.5999450683594,1.0,-0.03154725541643297,-0.3537808964254587,2.778941967101672,2665120328272868976,momogalexp,8.0,-497.4599914550781,2062.7099609375,17.0,3719.1000366210938,18896.199951171875,3.1999999284744263,-2.0000000298023224,0.29999999329447746,0.0,0.0,128.0,,-0.009812119224439456,1.7651375088374541,1.73622689725776e-06,True,8,8,0.0,False,False,,7621819524963697921,Loufiacre,9.0,-157.94000244140625,-1298.3699951171875,17.010000228881836,9921.500244140625,18140.2001953125,4.000000059604645,0.09999999776482582,0.29999999329447746,-779.7000122070312,204.0,49.0,,-0.009591023991604336,2.0806386871206395,-0.00019714108793551931,True,99.0,False,14,12,6,,enpitsu,76561198039309853,27,648.3699951171875,4206.169921875,17.049999237060547,-11137.5,-3108.3999633789062,2.5,-0.5000000074505806,2.3999999463558197,0.0,128.0,128.0,False,-0.017015596734751316,-0.2721815397572413,4.96445233942829e-06,True,False,False,False,191.0,False,,games5425898691,bf81d8692db,17.0,-3487.02001953125,191.60000610351562,16.530000686645508,-3740.7998657226562,22693.5009765625,84.60000038146973,37.5,-34.60000038146973,111.00000381469727,255.0,128.0,-0.011437325987981316,1.394890267940377,0.00231827063234686,True,244.62314821827798,True,8,8,False,,
16,1402,35,False,False,0,9109.94480617178,-67.13999938964844,-3932.159912109375,94.37000274658203,8634.89990234375,7860.0,2638.9999389648438,1605.0,912.6999664306641,1916.300048828125,0.0,0.2142899764889429,0.3492471605529009,2.2156269550015857,76561198039309853,enpitsu,27.0,-186.3800048828125,-4077.260009765625,73.69000244140625,4882.200012207031,1361.1000061035156,3047.2000122070312,-746.6999816894531,2675.8999633789062,0.0,255.0,128.0,False,0.0788855218528896,0.27217690769368214,-2.0134162266679454e-05,True,2,1,183.0,False,False,,bf81d8692db,games5425898691,17.0,3773.760009765625,-2277.39990234375,16.989999771118164,-363.6000061035156,-22887.2998046875,4.600000083446503,0.0,-0.29999999329447746,-1032.7999877929688,255.0,58.0,,0.009597792018037917,-1.612592433079372,-0.0001014005087770032,True,221.0,False,8,8,False,,momogalexp,2665120328272868976,8,215.50999450683594,-3216.860107421875,197.10000610351562,-7714.69970703125,-13525.2001953125,2032.7999877929688,2484.600067138672,-4531.9000244140625,-1880.8999633789062,255.0,128.0,,0.9276443058367757,-1.8020525127730112,0.5243004987996627,True,10,False,9,0.0,False,,Loufiacre,7621819524963697921,9.0,-1089.5,20.799999237060547,17.010000228881836,-18730.0,-4258.900146484375,2.199999988079071,0.0,-0.19999999552965164,-1771.4999389648438,255.0,14.0,0.009583598806389976,-2.982875967974145,9.892087409702946e-06,True,160.0,False,12,14,6,,
