,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,170,0.0,False,False,1,5205.029175263846,-10.239999771118164,14.470000267028809,100.0999984741211,-15189.49951171875,18929.89990234375,7865.3997802734375,4422.099914550781,3372.9000854492188,-477.90000915527344,1.0,0.028170948153976704,0.003458620877999579,-0.03679830788412405,76561198136533210,expert en brique,8.0,139.52000427246094,-178.86000061035156,17.010000228881836,-10753.00048828125,16140.999755859375,2.0999999344348907,0.19999999552965164,-0.19999999552965164,-5.899999737739563,255.0,128.0,,-0.009605114149786051,0.9839497140840536,4.885049830102912e-05,True,0.0,False,False,False,False,,76561198031537658,Nosix,15.0,-299.4599914550781,-2383.7900390625,17.049999237060547,-8946.300048828125,9087.80029296875,3.100000023841858,-2.0999999344348907,2.0999999344348907,-2109.1000366210938,255.0,0.0,False,-0.01673981122000793,0.8052568203238867,-0.0003333110580104858,True,106.0,False,False,False,False,,enpitsu,76561198039309853,26.0,-0.0,2932.7099609375,17.049999237060547,-0.0,-8660.900268554688,2.5999999046325684,-1.0999999940395355,-0.0,0.0,255.0,,,-0.01674677600886567,-1.5707748601881248,-2.392834531677249e-07,True,False,146.0,False,False,False,,games5425898691,bf81d8692db,18.0,-130.5500030517578,379.1600036621094,76.87000274658203,953.7999725341797,-22794.19921875,2321.6000366210938,5491.500244140625,-297.39999771118164,-65.79999923706055,128.0,128.0,-0.6250645186817549,-1.508131764560761,-0.0058878750431044,True,4,3,False,0.0,False,,
1,171,0.0,False,False,0,5311.685744387075,80.47000122070312,-81.16000366210938,143.8300018310547,2820.7000732421875,21124.69970703125,12865.10009765625,5430.30029296875,852.2000122070312,-2405.0999450683594,0.0,-0.13850527812909813,-0.0957973746923533,-0.06929908941948694,bf81d8692db,games5425898691,18.0,124.2300033569336,-227.16000366210938,90.1500015258789,-953.7999725341797,22794.19921875,1208.1999969482422,-5490.10009765625,326.6999816894531,-33.69999885559082,128.0,128.0,,1.1073484682141146,1.4990284433481278,-0.012897878437180125,True,0.0,False,4,3,False,,76561198039309853,enpitsu,26.0,0.0,-2857.889892578125,17.049999237060547,0.0,9229.500122070312,2.5999999046325684,0.5999999865889549,0.0,0.0,255.0,,,0.0167315166346791,1.570774732469808,-2.398246531218863e-07,True,146.0,False,False,False,False,,expert en brique,76561198136533210,8.0,-52.810001373291016,55.779998779296875,15.550000190734863,10401.300048828125,-13498.699951171875,134.60000038146973,267.90000915527344,34.50000047683716,2220.2000427246094,255.0,254.0,,-0.011241152949881887,-0.8638449499330018,-0.019038108299815875,True,False,0.0,False,False,False,,Nosix,76561198031537658,15.0,299.4599914550781,2383.7900390625,17.049999237060547,8946.300048828125,-9087.80029296875,3.100000023841858,2.0999999344348907,-2.0999999344348907,-2109.1000366210938,255.0,0.0,0.01673981122000793,-0.8052568203238867,-0.0003333110580104858,True,False,False,False,106.0,False,,False
2,274,3.0,False,False,1,8953.798445460936,-942.1400146484375,-3623.090087890625,286.07000732421875,-24424.7998046875,8628.099975585938,1674.9000549316406,-4239.700012207031,3980.7000732421875,-1475.8000183105469,1.0,-0.7809793787659793,0.45254060628660847,2.053582782141166,76561198031537658,Nosix,17.0,-806.8900146484375,-3651.8701171875,183.75999450683594,-17757.2998046875,616.5999984741211,1275.6999969482422,-1239.8999786376953,-5343.4002685546875,-399.59999084472656,255.0,193.0,False,-0.17838290000904547,0.6003399466716872,-0.012206067457829544,True,40.02707117090942,True,4,3,False,,76561198136533210,expert en brique,8.0,-3130.570068359375,-3791.93994140625,17.010000228881836,-10224.000244140625,-14489.3994140625,2.199999988079071,-0.0,-0.19999999552965164,1420.3999328613281,255.0,255.0,,-0.00958738120986697,-0.973560006492228,0.00023388699849068804,True,0.0,False,4,4,False,,enpitsu,76561198039309853,26.0,-615.010009765625,-801.2000122070312,17.049999237060547,-2571.7001342773438,-2312.899932861328,2.7000001072883606,-0.19999999552965164,-0.09999999776482582,-1717.1000671386719,255.0,0.0,,-0.016652701366075415,-0.8500001871363804,-0.00011997202753086982,True,False,146.0,False,False,False,,games5425898691,bf81d8692db,19.0,-3469.89990234375,-877.2000122070312,17.010000228881836,9799.500122070312,-3624.4000244140625,2.0999999344348907,0.5999999865889549,-0.0,31.700000762939453,255.0,110.0,-0.009522185676581698,-2.804495933925502,-0.00015920163555745544,True,4,4,False,255.0,False,,
3,366,7.0,False,False,0,5809.970191429474,3502.389892578125,1343.9599609375,1559.010009765625,-4677.799987792969,3756.7001342773438,2770.7000732421875,3098.3999633789062,3603.0999755859375,3055.0,0.0,1.035773641131911,1.2351695180650286,-1.9244680468054474,bf81d8692db,games5425898691,19.0,3539.77001953125,1221.3299560546875,1495.300048828125,-3672.0999145507812,2313.5000610351562,-165.20000457763672,-570.4999923706055,-5357.7001953125,-1103.7999725341797,255.0,236.0,,0.6609685118894444,-1.1942006403203862,-0.6364625448462266,True,177.87712711672629,True,6,5,False,,76561198039309853,enpitsu,26.0,824.0,-1715.5400390625,17.049999237060547,-12545.10009765625,2286.300048828125,3.400000035762787,0.5999999865889549,-0.09999999776482582,-2453.9999389648438,255.0,0.0,False,0.016730815600652264,2.887641927924755,-3.113814462015912e-05,True,146.0,False,False,False,False,,expert en brique,76561198136533210,8.0,1257.300048828125,3906.93994140625,17.010000228881836,7482.0001220703125,-7735.8001708984375,2.0999999344348907,0.29999999329447746,-0.7000000029802322,0.29999999329447746,255.0,128.0,False,0.009564793072411048,-0.8019867777729346,-6.472001800853306e-05,True,4,255.0,False,4,False,,Nosix,76561198031537658,16.0,3573.909912109375,1981.199951171875,17.049999237060547,754.4999694824219,-2492.5,2.5999999046325684,-3.3000001311302185,-1.5000000596046448,14.800000190734863,128.0,128.0,0.01715752997688854,-1.2720293249865924,-4.095335512136527e-05,True,4,4,False,65.0,False,,False
4,429,9.0,False,False,1,7994.042942458021,-2469.0,-2111.31005859375,529.6300048828125,4382.099914550781,25154.69970703125,1823.800048828125,-640.1000213623047,671.3999938964844,-4308.599853515625,1.0,-0.9103856363631799,-1.490129146990845,-1.6464630274629517,76561198136533210,expert en brique,8.0,-2510.25,-2279.64990234375,420.07000732421875,-4359.100036621094,11788.1005859375,930.1000213623047,-1959.4000244140625,3898.0999755859375,3348.800048828125,128.0,128.0,False,0.034671348651762586,1.7314192303948828,0.8603636361736414,True,186.59553556544807,True,6,5,False,,76561198031537658,Nosix,16.0,-2140.179931640625,-1124.199951171875,17.049999237060547,11889.000244140625,4646.400146484375,2.5999999046325684,-0.7000000029802322,-0.19999999552965164,-285.10000228881836,255.0,128.0,False,-0.016728937543260942,2.797107755064126,0.00018875908638924289,False,96.0,False,4,4,False,,enpitsu,76561198039309853,26.0,-1120.8900146484375,1995.4200439453125,17.049999237060547,5386.300048828125,11936.800537109375,2.5,-0.29999999329447746,-0.7000000029802322,-2.0000000298023224,255.0,128.0,False,-0.016738537113167692,1.994983028869445,6.377118831310876e-05,True,False,146.0,False,False,False,,games5425898691,bf81d8692db,19.0,-2933.280029296875,-1275.199951171875,160.47999572753906,2711.7999267578125,-475.40000915527344,-13101.600341796875,667.3000335693359,-101.5999984741211,3677.39990234375,255.0,128.0,-0.14074237686984017,2.6028416375034493,0.02789372149983819,True,6,6,False,167.0,False,,
5,489,11.0,False,False,0,8400.178374697663,1596.3800048828125,-2881.909912109375,273.3800048828125,3684.5001220703125,7986.400146484375,12517.2998046875,5756.500244140625,-1665.5999755859375,-295.10000228881836,0.0,0.6214424124602941,-1.4907654424005143,1.1949964572811003,76561198039309853,enpitsu,26.0,1522.489990234375,-3070.469970703125,165.6999969482422,6557.80029296875,14445.6005859375,2872.0999145507812,-2602.6998901367188,-8.100000023841858,860.4000091552734,255.0,255.0,False,0.06581069171752153,0.967097089390186,-0.014733667009461823,True,109.0,False,2,1,False,,bf81d8692db,games5425898691,19.0,4012.070068359375,1055.8499755859375,92.56999969482422,2867.2000122070312,11399.200439453125,3042.0001220703125,-519.900016784668,-1306.9999694824219,-201.29999160766602,255.0,132.0,,-0.25657991212882375,1.3062634290879502,-0.7638774316285635,True,167.0,False,6,6,False,,expert en brique,76561198136533210,8.0,3182.929931640625,-298.5899963378906,17.010000228881836,-9058.300170898438,-2221.6000366210938,2.5999999046325684,-0.3999999910593033,-0.29999999329447746,-2466.300048828125,255.0,0.0,False,0.009515892083130442,-2.9465014431437573,-2.8255027524342448e-05,True,6,166.0,False,6,False,,Nosix,76561198031537658,15.0,-1140.699951171875,2320.360107421875,17.049999237060547,-15523.1005859375,11974.300537109375,-2.0999999344348907,-4.699999988079071,3.700000047683716,-635.4000091552734,255.0,128.0,0.016785028916571392,2.447378087828242,0.00010671618997359735,False,6,6,False,64.64556561234177,True,,False
6,596,15.0,False,False,1,6461.116702027416,-2952.340087890625,-50.02000045776367,118.19999694824219,-15033.399658203125,-3909.8001098632812,-2418.5000610351562,-527.0000076293945,-3055.7000732421875,3590.1998901367188,1.0,0.9932342381754614,1.0530414614142574,0.3041698464161598,76561198136533210,expert en brique,8.0,-2814.35009765625,-57.310001373291016,15.729999542236328,-5681.199951171875,-1140.1000213623047,-1187.0999908447266,-2280.7000732421875,-4799.2999267578125,1419.1999816894531,255.0,128.0,,-0.05034204570070125,-0.17483449559290276,0.029240666128621442,True,135.0,False,6,8,False,,76561198031537658,Nosix,15.0,193.63999938964844,-4373.4501953125,17.049999237060547,-11230.899658203125,7632.8997802734375,2.5999999046325684,1.2999999523162842,-0.5999999865889549,468.4000015258789,255.0,130.0,,-0.016755357487873785,0.5675514637981931,-0.00010435456402671404,True,255.0,False,6,6,False,,enpitsu,76561198039309853,26.0,-1521.0400390625,1990.9100341796875,17.059999465942383,5184.0997314453125,-11485.6005859375,1.899999976158142,-0.0,-0.0,-2343.9999389648438,255.0,0.0,,-0.016735290655167406,-1.931531192011738,3.7755934098886413e-06,True,2,139.0,False,2,False,,games5425898691,bf81d8692db,19.0,-3227.85009765625,1187.0699462890625,17.010000228881836,12057.19970703125,621.1000061035156,2.5,0.19999999552965164,0.3999999910593033,-2240.5999755859375,128.0,0.0,-0.009608203226120207,-3.1279164456747224,-2.7938525456185076e-05,True,8,8,False,255.0,False,,
7,639,17.0,False,False,1,7383.09743965387,-3995.31005859375,-390.3900146484375,477.67999267578125,6557.0001220703125,7262.7001953125,8700.999755859375,1525.5000305175781,-1652.2000122070312,-4335.0,1.0,-1.3566893477879622,1.3442231379381082,-2.6233202026128013,76561198136533210,expert en brique,8.0,-4080.969970703125,-498.82000732421875,325.30999755859375,278.50000381469727,5417.39990234375,9245.2001953125,-2261.300048828125,-168.4000015258789,267.2999954223633,255.0,0.0,,1.02281202999959,1.5953813281592513,1.595832983593509,True,118.0,False,6,8,False,,76561198031537658,Nosix,15.0,-2326.5,-4172.85986328125,17.049999237060547,-17492.900390625,3173.699951171875,3.1999999284744263,-0.09999999776482582,-0.0,-2027.4000549316406,128.0,0.0,True,-0.01676255926797007,0.22904059403051377,-0.00029353683929378107,True,249.0,False,6,6,False,,enpitsu,76561198039309853,26.0,-1686.8399658203125,1367.77001953125,17.059999465942383,3828.3999633789062,5793.3001708984375,1.1999999731779099,-1.899999976158142,0.29999999329447746,8.899999856948853,255.0,128.0,,-0.016872122625663562,-0.989524810834888,-6.141880485665916e-05,True,2,139.0,False,2,False,,games5425898691,bf81d8692db,19.0,-3553.6298828125,320.5299987792969,17.010000228881836,-10770.699462890625,6024.0997314453125,2.3000000417232513,-0.19999999552965164,-0.0,-2343.5000610351562,255.0,0.0,-0.009552918018742026,0.5759153186896994,-2.1863379260188136e-05,True,8,8,False,232.0,False,,
8,681,18.0,False,False,1,5890.996161732552,-2987.47998046875,710.280029296875,1045.9000244140625,10578.800048828125,7603.3001708984375,4901.499938964844,210.49999237060547,-1999.1000366210938,-3715.10009765625,1.0,-0.820177431931646,2.8814708190768026,-3.0610587696712765,76561198136533210,expert en brique,8.0,-3023.199951171875,702.8200073242188,867.4500122070312,11120.10009765625,7463.900146484375,2036.300048828125,-226.20000839233398,-2775.2999877929688,-61.10000133514404,255.0,128.0,False,1.181354028694122,-1.9424390051932474,1.6479610635697837,True,36.61179342833899,True,8,8,False,,76561198031537658,Nosix,15.0,-2591.22998046875,-2236.219970703125,17.049999237060547,3770.1998901367188,18710.30029296875,2.3000000417232513,-0.5999999865889549,-3.1999999284744263,-396.19998931884766,255.0,58.0,False,-0.016777595774679084,1.7684784458259826,-5.362818023135277e-05,True,200.0,False,6,6,False,,enpitsu,76561198039309853,26.0,-1419.81005859375,1749.8299560546875,17.059999465942383,4490.7000732421875,7433.800048828125,1.2999999523162842,-0.29999999329447746,-0.5999999865889549,0.0,0.0,128.0,,-0.01689125335337632,-1.0273716339950483,-6.479771132385705e-05,True,2,139.0,False,2,False,,games5425898691,bf81d8692db,19.0,-3624.22998046875,2137.3701171875,17.0,5120.8001708984375,12953.00048828125,3.400000035762787,-0.09999999776482582,-0.29999999329447746,-1238.8999938964844,255.0,45.0,-0.009572294481285867,1.9856496987164949,2.8170927482394163e-05,True,8,8,False,232.0,False,,
9,732,20.0,False,False,1,3625.6413508522564,-1066.8800048828125,2091.659912109375,824.3200073242188,11809.7998046875,8724.69970703125,-3350.8999633789062,123.80000114440918,-1991.300048828125,-3696.0000610351562,1.0,-0.19397155706708463,-2.1179570439752395,-2.6945838082068962,76561198136533210,expert en brique,8.0,-1127.199951171875,2053.22998046875,685.8900146484375,9240.599975585938,8311.099853515625,-5859.2999267578125,-2084.199981689453,397.2999954223633,3839.1000366210938,128.0,0.0,True,0.8141138091835657,-0.8905786999483353,-2.104524022041788,True,0.0,False,8,8,False,,76561198031537658,Nosix,15.0,-984.3200073242188,607.2999877929688,17.049999237060547,11773.399658203125,19758.199462890625,-1.5000000596046448,-1.4000000059604645,-2.199999988079071,1753.2000732421875,255.0,243.0,False,-0.016787002290262414,2.059690818610524,0.0001847591168432837,True,143.78359578758165,True,6,6,False,,enpitsu,76561198039309853,26.0,-140.5800018310547,3263.409912109375,17.059999465942383,792.6999664306641,985.8000183105469,0.5999999865889549,-1.7000000178813934,-2.5999999046325684,-304.89999771118164,255.0,128.0,,-0.016379324175614045,-0.7447543578552874,4.4171701354904405e-05,True,2,135.8930495682583,True,3,False,,games5425898691,bf81d8692db,19.0,-1603.5,3410.9599609375,17.0,12293.800048828125,4286.300048828125,3.6000001430511475,0.09999999776482582,-0.0,-2285.2999877929688,255.0,0.0,-0.009558188143551668,2.8723799366329956,-2.8487356251530056e-05,True,8,8,False,232.0,False,,
10,759,21.0,False,False,0,8069.596338599284,-81.73999786376953,-2888.409912109375,230.4199981689453,-25182.7001953125,4715.199890136719,547.7000045776367,4401.600036621094,-3304.7000122070312,2388.300018310547,0.0,1.2879528922466708,-1.3573132713365086,-2.1960270290982535,76561198039309853,enpitsu,26.0,-23.15999984741211,-2885.590087890625,165.42999267578125,-13062.2998046875,9621.799926757812,-3317.5,3352.9998779296875,-659.4999694824219,4309.5001220703125,128.0,255.0,,-0.06650247075150591,1.4455268509821724,2.3922682178987444,True,108.0,False,4,4,False,,bf81d8692db,games5425898691,19.0,124.0,-2901.47998046875,120.41999816894531,-19192.39990234375,11233.900146484375,-68.49999904632568,-1591.1000061035156,-5093.599853515625,1331.6000366210938,255.0,128.0,,0.4686529183815142,2.7788574323715483,0.1648724007423288,True,226.9832342798992,True,10,9,False,,expert en brique,76561198136533210,8.0,264.1199951171875,-2802.260009765625,16.25,-4691.099853515625,-3486.7001342773438,108.29999923706055,0.3999999910593033,35.19999980926514,-795.1000213623047,255.0,226.0,False,0.011610853343502274,1.9989747228388954,-0.007149448537940891,True,8,0.0,False,8,False,,Nosix,76561198031537658,15.0,143.25,-2778.419921875,126.06999969482422,-12397.5,-19372.099609375,-149.20000076293945,-2722.6998901367188,-4417.799987792969,1821.9000244140625,255.0,0.0,-0.35495346513101667,-2.020972854125221,-2.9809204607505677,True,8,7,False,83.0,False,,False
11,895,26.0,False,False,1,4631.301882812876,3956.0,1663.5999755859375,306.8900146484375,-5462.80029296875,-2014.7999572753906,-11462.2998046875,153.4000015258789,5825.8001708984375,1426.6000366210938,1.0,-0.027988056844242094,2.906758680744704,-2.3353214226588457,76561198031537658,Nosix,15.0,4078.93994140625,1684.9100341796875,459.4599914550781,2.0999999344348907,608.8000106811523,-16154.300537109375,-56.99999809265137,1.0000000149011612,-8.399999737739563,255.0,255.0,,-1.4610155662048265,1.7244434970720581,-1.7230451500874335,True,242.34614188953114,True,8,8,False,,76561198136533210,expert en brique,8.0,-49.84000015258789,-3484.239990234375,17.010000228881836,1171.1000061035156,-15431.500244140625,2.0999999344348907,-0.0,-0.5000000074505806,0.09999999776482582,255.0,128.0,,-0.009599487433181383,-1.6465814587926262,-6.363213189314788e-05,True,92.0,False,10,10,False,,enpitsu,76561198039309853,26.0,3932.949951171875,1877.6600341796875,108.08000183105469,-4588.599853515625,-17919.300537109375,3506.6000366210938,4294.700012207031,-2795.4998779296875,830.2999877929688,255.0,0.0,False,-0.08825230802546637,-1.7376566111989387,0.545236442981182,True,5,23.0,False,6,False,,games5425898691,bf81d8692db,19.0,1911.4000244140625,3004.330078125,88.08000183105469,-4499.800109863281,-15364.300537109375,-153.4000015258789,5339.0997314453125,-1320.2000427246094,10.399999618530273,255.0,128.0,0.24826043720647198,1.8127314940794494,3.1396067643256607,True,4,3,False,85.0,False,,
12,897,26.0,False,False,0,7408.682044515026,-3921.409912109375,-1622.800048828125,250.8699951171875,835.4000091552734,20504.599609375,6255.5999755859375,5870.5999755859375,-1210.1000213623047,266.70000076293945,0.0,0.41685871566620386,-2.8424433585834508,-2.351189647155932,76561198039309853,enpitsu,26.0,-3890.22998046875,-1716.030029296875,132.8000030517578,4951.7999267578125,16535.999755859375,975.1000213623047,-4776.9000244140625,2393.000030517578,1305.2000427246094,255.0,0.0,False,0.4853694210485098,2.0545814987303057,1.1179017812777317,True,23.0,False,6,5,False,,bf81d8692db,games5425898691,19.0,-1877.699951171875,-2889.280029296875,86.97000122070312,4489.100036621094,15321.500244140625,-145.50000190734863,-5339.0997314453125,1320.2000427246094,10.399999618530273,255.0,128.0,,-0.7908729822631078,-1.8113288875559537,3.138913367508064,True,85.0,False,4,3,False,,expert en brique,76561198136533210,8.0,41.02000045776367,3599.97998046875,17.010000228881836,-1171.1000061035156,15431.500244140625,2.0999999344348907,0.0,0.5000000074505806,0.09999999776482582,255.0,128.0,,0.009599487433181383,1.6465814587926262,-6.363213189314788e-05,True,10,92.0,False,10,False,,Nosix,76561198031537658,15.0,-4079.159912109375,-1690.7900390625,304.8500061035156,14.299999475479126,-285.79999923706055,-17521.8994140625,1609.7999572753906,-99.49999809265137,-110.9000015258789,255.0,255.0,1.5481915802127584,3.137250331547477,3.131756790576357,True,8,8,False,236.19766032823955,True,,
