,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,169,0,False,False,0,5144.548249780234,55.400001525878906,84.19000244140625,108.12999725341797,15133.900146484375,25012.80029296875,4423.500061035156,2328.6000061035156,-2078.0999755859375,940.9999847412109,0.0,-0.070404017438927,0.02870366954027956,0.07663677780932894,502318469236824116,sebsebseb6066,52.0,-121.54000091552734,-203.27000427246094,53.599998474121094,15684.300537109375,16643.399658203125,2437.5,-1684.2999267578125,1945.8000183105469,-51.79999828338623,235.0,101.0,,0.05491224165734628,0.888401156959381,0.003733152586588723,True,0.0,False,4,3,False,,76561198051683691,Adam,9.0,0.0,-5228.830078125,17.010000228881836,0.0,-79.80000019073486,2.0999999344348907,-0.29999999329447746,0.0,0.0,255.0,,,0.009307895008490451,1.5707874726900763,7.588230171302808e-06,True,116.0,False,False,False,False,,enpitsu,76561198039309853,27,0.0,2848.02001953125,17.049999237060547,0.19999999552965164,-12085.899658203125,2.7000001072883606,-0.19999999552965164,0.0,0.0,255.0,,,0.016746716734262104,-1.5707443432215618,4.35547740862624e-07,True,2,2,146.0,False,False,,games5425898691,bf81d8692db,24.0,61.06999969482422,366.6000061035156,82.51000213623047,-1555.2000427246094,-22745.30029296875,2333.699951171875,5332.8997802734375,1340.2000427246094,114.30000305175781,128.0,180.0,0.712332331186386,-1.732082982836968,-0.2628851018537134,True,3,False,4,0.0,False,,
1,170,0,False,False,1,5378.713720672522,-105.19999694824219,-144.7100067138672,127.97000122070312,-18405.30029296875,12755.10009765625,12194.49951171875,4349.800109863281,-605.4999923706055,4087.9998779296875,1.0,0.08150734870328367,-0.2139368077085516,-0.023674072691644676,bf81d8692db,games5425898691,24.0,-61.06999969482422,-366.6000061035156,82.51000213623047,1555.2000427246094,22745.30029296875,2333.699951171875,-5332.8997802734375,-1340.2000427246094,114.30000305175781,128.0,180.0,,-0.712332331186386,1.732082982836968,-0.2628851018537134,True,0.0,False,4,3,False,,76561198039309853,enpitsu,27.0,-0.0,-2848.02001953125,17.049999237060547,-0.19999999552965164,12085.899658203125,2.7000001072883606,0.19999999552965164,-0.0,0.0,255.0,255.0,,-0.016746716734262104,1.5707443432215618,4.35547740862624e-07,True,146.0,False,2,2,False,,Adam,76561198051683691,9,-0.0,5228.830078125,17.010000228881836,-0.0,79.80000019073486,2.0999999344348907,0.29999999329447746,-0.0,0.0,255.0,,,-0.009307895008490451,-1.5707874726900763,7.588230171302808e-06,True,False,False,116.0,False,False,,sebsebseb6066,502318469236824116,14.0,1.3600000143051147,77.27999877929688,69.33999633789062,-13856.8994140625,-14455.400390625,1558.9999389648438,4199.2999267578125,-3474.1000366210938,738.7000274658203,233.0,66.0,-0.569401800307265,-1.0490752720590237,0.03554087551074835,True,3,False,4,0.0,False,,
2,271,3,False,False,1,3619.0323290892247,-2524.679931640625,3958.330078125,270.75,-10021.799926757812,12593.199462890625,9656.599731445312,-3280.4000854492188,1163.0000305175781,1983.9999389648438,1.0,-0.9656112847580818,-3.083164394005314,-0.5570453169511139,bf81d8692db,games5425898691,24.0,-2372.97998046875,3905.199951171875,92.66999816894531,-7706.9000244140625,2081.7999267578125,3510.10009765625,1265.5000305175781,2953.900146484375,2761.7999267578125,255.0,208.0,,0.11244379758479632,-0.07394438855790894,-0.02170965241014442,True,23.0,False,6,5,False,,76561198039309853,enpitsu,27.0,-2587.6201171875,-666.4199829101562,17.049999237060547,-8112.7001953125,6336.099853515625,2.5999999046325684,-0.19999999552965164,-0.5000000074505806,0.0,255.0,128.0,,-0.01663441367613538,0.6630568823021267,7.953802558322716e-06,True,165.0,False,2,2,False,,Adam,76561198051683691,9,-2294.85009765625,4051.929931640625,157.33999633789062,-17635.799560546875,-7554.69970703125,2826.400146484375,608.6000061035156,-4108.2000732421875,-1140.5999755859375,255.0,128.0,,0.1477214449673223,-0.1879014929714301,0.05022925766311083,True,4,3,87.0,False,False,,sebsebseb6066,502318469236824116,14.0,-4016.760009765625,1951.280029296875,95.9000015258789,6436.400146484375,15482.19970703125,-7635.0,-1446.3999938964844,-4372.799987792969,-863.0999755859375,255.0,0.0,-0.4657416550651603,2.035350508882608,0.7319019294057036,True,6,False,6,242.48243431891163,True,,
3,354,6,False,False,1,2759.4926399469696,-1403.25,3614.139892578125,165.3000030517578,7120.9002685546875,28299.19921875,1983.0999755859375,579.7000122070312,4958.2000732421875,3328.5000610351562,1.0,-0.7452157620582109,-2.7841816490743323,2.498155301600839,76561198039309853,enpitsu,27.0,-1438.469970703125,3416.72998046875,177.9600067138672,12887.5,18762.19970703125,1765.5999755859375,-0.0,0.3999999910593033,17.200000286102295,128.0,128.0,,-0.016815169873626752,2.1549594946226422,4.288162881921314e-05,True,31.0,False,4,2,False,,bf81d8692db,games5425898691,24.0,-3889.25,3634.18994140625,21.350000381469727,11336.800537109375,-3543.5000610351562,-3110.4000854492188,163.79999160766602,-5209.000244140625,-863.7999725341797,255.0,6.0,,-0.18543708198543152,-2.8588665233564834,-0.06576274048479094,True,23.0,False,6,6,False,,Adam,76561198051683691,9,-2721.68994140625,4043.219970703125,16.989999771118164,17490.30029296875,5744.7998046875,4.699999988079071,-2.5,-0.7000000029802322,1499.7000122070312,255.0,159.0,,-0.009587664200383858,2.75371798010495,-2.4692619312414184e-05,True,4,4,243.0,False,False,,sebsebseb6066,502318469236824116,10.0,-527.4600219726562,4699.3798828125,46.209999084472656,2876.6000366210938,-1715.5000305175781,3470.0,115.10000228881836,399.70001220703125,1281.9999694824219,128.0,125.0,-0.0009469526125304679,0.2479276773143303,-0.0002973979180786475,True,8,False,9,253.0,False,,
4,419,9,False,False,0,7580.48377291836,49.2400016784668,-2381.320068359375,94.36000061035156,2563.0999755859375,13063.00048828125,1981.9000244140625,-4853.299865722656,-3288.599853515625,89.0999984741211,0.0,-0.2913358685075516,-1.132090684420786,-0.4938776622783214,76561198051683691,Adam,9.0,-88.0999984741211,-2520.85009765625,16.989999771118164,-338.49998474121094,11674.69970703125,4.900000095367432,1.0999999940395355,0.29999999329447746,-2145.5999755859375,128.0,0.0,,0.009712161397944218,1.5484068847180368,-6.295051493154558e-05,True,255.0,False,4,4,False,,502318469236824116,sebsebseb6066,9.0,167.25999450683594,-4160.66015625,17.0,-702.6999664306641,5830.30029296875,3.6000001430511475,0.0,2.8999999165534973,1490.5999755859375,232.0,255.0,,0.009506669493159151,1.6396271900013646,0.00015172617385380882,True,253.0,False,10,10,False,,enpitsu,76561198039309853,28,-534.52001953125,-5959.43017578125,344.69000244140625,-11055.799560546875,-2045.5000305175781,-4074.89990234375,2084.600067138672,-2138.000030517578,897.7999877929688,255.0,0.0,False,0.41230739649838494,-2.960072595705988,2.079427682907417,True,4,2,31.0,False,False,,games5425898691,bf81d8692db,24.0,706.9299926757812,-1401.9100341796875,89.08999633789062,-15765.699462890625,14545.10009765625,-577.400016784668,-3048.2000732421875,-3201.7001342773438,-2.800000011920929,255.0,128.0,-1.1920701930208755,2.3825145695676904,-0.0018583167816519958,True,8,False,8,31.0,False,,
5,447,10,False,False,0,6372.837035663325,277.92999267578125,-1123.780029296875,95.1500015258789,1588.699951171875,11140.50048828125,524.3999862670898,-5987.0001220703125,-389.90001678466797,56.10000133514404,0.0,-0.09576534182982105,-1.7970940039745829,-0.7998233972480671,76561198051683691,Adam,9.0,408.9800109863281,-1459.530029296875,17.0,7993.499755859375,14707.900390625,0.7999999821186066,0.0,-0.19999999552965164,2.5999999046325684,255.0,128.0,,0.009600045652393162,1.0733238053743392,1.7588869898142955e-05,True,186.10992703386535,True,4,4,False,,502318469236824116,sebsebseb6066,9.0,266.7699890136719,-3257.260009765625,17.0,3809.2001342773438,10631.99951171875,3.1999999284744263,0.0,-0.29999999329447746,62.60000228881836,232.0,141.0,,0.009539607869840233,1.224772531215823,7.550392559038873e-05,True,253.0,False,10,10,False,,enpitsu,76561198039309853,27,-768.3099975585938,-5115.1201171875,16.920000076293945,-2831.7001342773438,14509.49951171875,26.500000953674316,-25.0,-11.200000047683716,2094.600067138672,255.0,255.0,False,0.015271798541254645,1.820491271961824,-6.729109954768207e-05,True,4,2,0.0,False,False,,games5425898691,bf81d8692db,24.0,-637.9400024414062,425.7099914550781,91.2300033569336,-8277.19970703125,21377.900390625,625.4999923706055,-5371.5997314453125,-1179.7000122070312,-59.49999809265137,255.0,128.0,1.1759205148120824,1.7610451994777285,-0.0271162785856574,True,9,False,10,31.0,False,,
6,474,11,False,False,0,5438.717047878815,406.94000244140625,-140.33999633789062,93.1500015258789,1079.1000366210938,8859.299926757812,0.0,-5969.69970703125,601.6999816894531,21.500000953674316,0.0,0.2893296386733333,-2.008650429063117,-0.8547475017906714,76561198051683691,Adam,9.0,600.5700073242188,-252.0,17.0,-2892.9998779296875,6590.5999755859375,3.400000035762787,0.3999999910593033,1.5999999642372131,1125.4000091552734,255.0,210.0,,0.009580561741555282,1.9648264031837457,0.00013849955541391816,True,176.0,False,4,4,False,,502318469236824116,sebsebseb6066,9.0,176.25,-2120.1201171875,17.0,-3724.8001098632812,12845.0,3.1999999284744263,0.0,0.29999999329447746,1.0999999940395355,233.0,128.0,,0.009536938405723968,1.853229070479753,-3.1308021930784085e-05,True,253.0,False,10,10,False,,enpitsu,76561198039309853,27,-1840.550048828125,-4351.06982421875,17.030000686645508,-13759.000244140625,4660.199890136719,5.0,-0.5000000074505806,0.0,0.5999999865889549,255.0,128.0,False,0.01676189905970422,2.8151113751686165,-4.3420067562217154e-05,True,4,2,0.0,False,False,,games5425898691,bf81d8692db,24.0,-1414.1700439453125,2430.830078125,19.469999313354492,-8463.599853515625,21215.70068359375,-1825.8999633789062,-3465.1998901367188,-565.099983215332,1281.9000244140625,255.0,255.0,-0.06962524350899588,1.9987369370867305,-0.016189773561414864,True,10,False,10,31.0,False,,
7,481,11,False,False,0,5244.713619575915,431.9200134277344,66.18000030517578,93.1500015258789,990.6999969482422,8251.099853515625,0.0,-5963.499755859375,659.8000335693359,15.700000524520874,0.0,-1.0577429722661855,-2.3529887323517324,-0.14438161271977434,76561198051683691,Adam,9.0,505.260009765625,-79.33999633789062,17.0,-4731.499938964844,7766.6998291015625,2.5999999046325684,-0.29999999329447746,0.3999999910593033,54.49999809265137,255.0,128.0,,0.009518725365237892,2.1250215679135076,-8.46581176745597e-05,True,172.7857205098675,True,4,4,False,,502318469236824116,sebsebseb6066,9.0,77.66999816894531,-1782.8199462890625,17.0,-3972.3001098632812,13218.599853515625,3.1999999284744263,0.0,-0.29999999329447746,153.90000343322754,233.0,131.0,,0.009541431920246701,1.8658030076865584,-1.5354478863906167e-06,True,253.0,False,10,10,False,,enpitsu,76561198039309853,27,-2275.080078125,-4261.58984375,17.030000686645508,-14260.10009765625,1832.1000671386719,5.099999904632568,-0.5999999865889549,0.0,60.0,255.0,128.0,False,0.01676679795905448,3.020837781561644,-6.7745909841807e-05,True,4,2,0.0,False,False,,games5425898691,bf81d8692db,24.0,-1721.0999755859375,2923.52001953125,17.010000228881836,-14113.599853515625,17417.2998046875,6.600000262260437,5.0,-0.09999999776482582,185.9000015258789,255.0,128.0,0.009818968627333252,2.2724674305832484,7.567745160134027e-05,True,10,False,10,31.0,False,,
8,499,12,False,False,0,4364.932985399099,301.6600036621094,942.5900268554688,95.33000183105469,-1682.7999877929688,17776.500244140625,566.3999938964844,-1760.3999328613281,647.3000335693359,243.99999618530273,0.0,0.6479770048425153,-0.5456992206355767,0.8929852410492597,76561198051683691,Adam,9.0,338.6099853515625,752.25,17.290000915527344,-305.9000015258789,15901.199951171875,195.6999969482422,886.9999694824219,-55.70000171661377,1268.3999633789062,255.0,128.0,,-0.02204254652304153,1.625672196857487,-0.008069865277830037,True,116.48224533757859,True,4,4,False,,502318469236824116,sebsebseb6066,9.0,-20.149999618530273,-925.3800048828125,17.0,2651.7999267578125,11589.599609375,3.1999999284744263,0.9000000357627869,3.100000023841858,-874.8999786376953,128.0,128.0,,0.009629562638666777,1.2911049325977484,0.0001006770361213977,True,255.0,False,10,10,False,,enpitsu,76561198039309853,27,-3074.1298828125,-4020.75,17.030000686645508,-10060.900268554688,9608.800048828125,4.300000071525574,-0.19999999552965164,0.29999999329447746,-2218.2000732421875,255.0,128.0,False,0.016746317970127503,2.316228570154739,-4.690345322139237e-05,True,4,2,233.10599592424208,True,False,,games5425898691,bf81d8692db,24.0,-2137.110107421875,4040.820068359375,17.010000228881836,4358.900146484375,13052.60009765625,2.3000000417232513,-0.19999999552965164,0.0,-2095.5999755859375,128.0,0.0,0.009622523239714215,1.1838054697569038,-1.184762447033855e-05,True,10,False,10,31.0,False,,
9,506,12,False,True,0,3944.847240836049,261.42999267578125,1368.77001953125,94.4800033569336,-1608.8999938964844,17220.799560546875,222.60000228881836,-2925.4000854492188,483.1999969482422,243.99999618530273,0.0,0.4682255130482859,-0.7879512187351603,0.34260967299732975,76561198051683691,Adam,9.0,278.8399963378906,1190.2099609375,16.920000076293945,-4043.699951171875,17875.50048828125,8.700000047683716,17.699999809265137,0.0,192.5,255.0,128.0,,0.011007549114088935,1.8119746031129098,0.000234874957960115,True,94.55660209091765,True,4,4,False,,502318469236824116,sebsebseb6066,9.0,82.72000122070312,-628.739990234375,17.0,5404.4000244140625,11225.10009765625,3.1999999284744263,1.7000000178813934,3.4999999403953552,-1320.8000183105469,241.0,128.0,,0.009537439203399502,1.088384831581447,-9.909710368353031e-05,True,255.0,False,10,10,False,,enpitsu,76561198039309853,28,-3271.360107421875,-3693.409912109375,17.030000686645508,-5843.4002685546875,14861.400146484375,0.7999999821186066,0.3999999910593033,-1.2999999523162842,-314.6999931335449,255.0,128.0,False,0.016777336352341528,1.9144540563571109,0.00023997268641838464,True,4,2,211.1803526775811,True,False,,games5425898691,bf81d8692db,24.0,-1944.6500244140625,4315.60986328125,17.010000228881836,10131.099853515625,8163.2000732421875,2.3000000417232513,0.0,0.0,-2286.0000610351562,255.0,0.0,0.00956507169866703,0.6117068583998582,4.901030348969249e-06,True,10,False,10,31.0,False,,
