,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_ball_cam,opp_2_boost_collect
0,172,0.0,False,False,1,5093.45418882003,83.61000061035156,111.75,93.44999694824219,16957.60009765625,22503.5009765625,-11.100000143051147,1259.4999694824219,-897.6999664306641,-5797.1002197265625,1.0,-0.03641669145377442,0.30617779695295066,-0.07235299548989257,bf81d8692db,games5425898691,17.0,-91.9000015258789,1.5399999618530273,87.56999969482422,991.3999938964844,20418.1005859375,-146.40000343322754,-5419.89990234375,478.4000015258789,-803.3999633789062,128.0,128.0,,-1.2901533964831957,-1.4672619594993461,-3.1068701713269675,True,0.0,False,3,False,4,,76561198039309853,enpitsu,26.0,39.56999969482422,-3976.159912109375,17.049999237060547,-11.200000047683716,7658.800048828125,2.5999999046325684,-0.0,1.2999999523162842,55.0,255.0,128.0,,-0.016655839837948546,1.5625064931974935,-0.0001293341353670857,True,116.0,False,False,False,False,,D4rk_Soul,76561198157210534,11.0,751.3400268554688,-101.52999877929688,17.010000228881836,10254.599609375,-14220.899658203125,2.3000000417232513,-0.0,-0.0,1969.2999267578125,255.0,255.0,,-0.009569452989850664,-2.266956391775043,-1.3973659152249424e-06,True,False,False,False,0.0,False,,kanté~,76561198322052847,5.0,-245.8699951171875,2796.3701171875,17.010000228881836,11702.2998046875,-1648.8999938964844,2.199999988079071,2.3000000417232513,-0.0,-1943.0000305175781,255.0,0.0,False,-0.009513256984499521,-2.9930036724857314,-0.00032399678257082743,False,False,116.0,False,False,True,
1,332,5.0,False,False,0,10193.68856373039,-2927.7900390625,-4849.14990234375,105.87000274658203,6707.2998046875,6685.999755859375,-9829.099731445312,982.6000213623047,-1734.1000366210938,-402.59998321533203,0.0,1.2845864010609989,1.0776220615319334,-1.552755090085557,76561198322052847,kanté~,5.0,-3026.72998046875,-4968.8798828125,211.89999389648438,2867.0001220703125,2522.7000427246094,-13814.3994140625,2025.2999877929688,-851.6000366210938,-30.0,255.0,128.0,False,1.4713209004281103,0.21526673869405002,-0.8049087573581992,True,243.0,False,False,False,3,,76561198157210534,D4rk_Soul,11.0,-2815.14990234375,-1632.5799560546875,92.38999938964844,9126.500244140625,-8492.899780273438,-150.9000015258789,5468.2000732421875,503.69998931884766,-307.99999237060547,255.0,0.0,,-0.24647287282975544,0.08735279141824595,-1.4230550770191437,True,255.0,False,4,False,3,,enpitsu,76561198039309853,26.0,-2711.820068359375,-2519.9599609375,17.049999237060547,-2154.7999572753906,-13935.6005859375,2.5999999046325684,0.0,-0.5000000074505806,9.900000095367432,255.0,128.0,,0.016784093569332196,-1.7229467841515549,-4.7354342100728795e-05,True,False,False,False,161.0,False,,games5425898691,bf81d8692db,17.0,-102.31999969482422,-161.07000732421875,17.0,-20761.59912109375,-3596.9000244140625,3.400000035762787,-0.09999999776482582,0.0,1608.2000732421875,255.0,240.0,,0.009588065374746093,-2.916881840146623,4.4879193536459e-05,False,4,239.0,False,4,True,
2,357,6.0,True,False,0,9227.760028992047,-2209.2099609375,-3993.840087890625,94.80000305175781,7497.0001220703125,17030.50048828125,646.1000061035156,-2518.000030517578,3743.9999389648438,-2431.7999267578125,0.0,0.45694393564087615,1.1319879406770783,-1.7082167650145283,76561198322052847,kanté~,5.0,-2222.989990234375,-4170.77001953125,47.52000045776367,6714.5001220703125,14266.800537109375,2497.5,1611.0000610351562,41.90000057220459,3470.0,128.0,236.0,False,-0.0314523222586579,1.3770620260894872,0.011129173361356466,True,196.1176516445734,True,False,False,6,,76561198157210534,D4rk_Soul,11.0,-1934.9000244140625,-2213.669921875,17.010000228881836,12926.8994140625,-2182.2000122070312,2.0999999344348907,0.3999999910593033,-0.5000000074505806,121.40000343322754,255.0,125.0,,0.009613064838750768,-0.14700863293998045,-0.000139888637483588,True,255.0,False,4,False,4,,enpitsu,76561198039309853,26.0,-2420.080078125,-3751.75,17.049999237060547,14491.700439453125,-9372.899780273438,-1.1999999731779099,0.19999999552965164,0.0,2035.0999450683594,255.0,255.0,,0.016783802306858126,-0.506401213467484,-2.4160188101929095e-05,True,1,False,False,111.0,False,,games5425898691,bf81d8692db,17.0,-1183.81005859375,-1292.239990234375,17.0,499.0999984741211,-18659.3994140625,3.4999999403953552,0.09999999776482582,0.09999999776482582,1996.7999267578125,255.0,255.0,,0.009585821801853984,-1.4693718956454893,2.8181232549732438e-05,False,4,239.0,False,4,True,
3,733,11.0,False,False,1,5189.027114208015,-3.8399999141693115,29.59000015258789,103.43000030517578,-3811.6000366210938,20868.798828125,6381.6998291015625,4079.5999145507812,-1583.699951171875,4104.599914550781,1.0,-0.03774595113005176,-0.08648644103035141,-0.08593649030152835,76561198039309853,enpitsu,26.0,-2.509999990463257,-213.42999267578125,17.049999237060547,9394.299926757812,16922.60009765625,3.0000001192092896,-0.19999999552965164,-0.29999999329447746,1709.4999694824219,255.0,255.0,,-0.016769767320007956,2.0361574240127154,0.00015818035324982168,True,0.0,False,False,False,False,,bf81d8692db,games5425898691,18.0,-14.100000381469727,-783.219970703125,17.010000228881836,-549.1999816894531,20079.7998046875,0.0,-0.0,-0.09999999776482582,14.40000057220459,255.0,109.0,,-0.009600871700272564,1.5326371371967595,-6.861395780304199e-05,True,18.408180711089926,True,False,False,False,,D4rk_Soul,76561198157210534,11.0,3052.7900390625,3498.699951171875,17.010000228881836,11745.799560546875,12405.999755859375,2.3000000417232513,-0.19999999552965164,-0.0,1978.0999755859375,255.0,255.0,,-0.009583196546106787,2.2588256408902305,1.103409043845305e-05,True,False,False,False,0.0,False,,kanté~,76561198322052847,6.0,2048.0,2560.0,16.56999969482422,-0.0,-0.0,72.8000020980835,5.0,-5.0,0.0,,,,-0.009087813290837554,-0.7854080396296991,9.66686319240511e-06,False,False,85.0,False,False,,
4,804,13.0,True,True,1,1696.989167506166,-799.6900024414062,5073.60986328125,177.74000549316406,20070.999755859375,17462.900390625,-3105.4000854492188,2304.2999267578125,680.0,-5497.8997802734375,1.0,0.5165009205984697,-1.5758529183990941,2.8702951769574607,bf81d8692db,games5425898691,17.0,-921.02001953125,4911.2998046875,172.14999389648438,-73.09999942779541,15414.69970703125,-276.9000053405762,-3977.9998779296875,561.1000061035156,-3756.300048828125,255.0,33.0,,-0.49258762176873183,-0.49213951687127777,-3.074965488671229,True,0.0,False,3,False,4,,76561198039309853,enpitsu,26.0,-1565.030029296875,4503.31982421875,17.059999465942383,1851.6000366210938,18340.899658203125,1.899999976158142,0.5000000074505806,-0.0,-2018.9999389648438,255.0,0.0,,-0.016823290606556216,1.7435312866971493,-1.6840080772643112e-05,True,31.0,False,2,False,2,,D4rk_Soul,76561198157210534,11.0,876.1500244140625,2845.760009765625,16.270000457763672,-9406.799926757812,-12071.500244140625,-1256.3999938964844,-757.0999908447266,-829.0000152587891,652.3999786376953,255.0,168.0,False,-0.017726245279511266,-1.1318397938435578,-0.016626156583448466,True,4,4,False,0.0,False,,kanté~,76561198322052847,6.0,2048.0,2560.0,16.56999969482422,-0.0,-0.0,72.8000020980835,5.0,-5.0,0.0,,,,-0.009087813290837554,-0.7854080396296991,9.66686319240511e-06,False,False,85.0,False,False,,
5,1058,13.0,False,False,0,5201.804284516821,-5.989999771118164,14.899999618530273,92.83000183105469,-10190.399780273438,29858.5009765625,1651.0000610351562,390.09998321533203,157.70000457763672,-138.59999656677246,0.0,0.0013235923332019241,-0.001146941079462801,0.0032523058233487013,76561198157210534,D4rk_Soul,11.0,93.11000061035156,-211.8300018310547,82.62999725341797,-9494.199829101562,20294.300537109375,2173.0999755859375,-4529.100036621094,3086.6000366210938,-457.20001220703125,255.0,0.0,,0.2366909705446686,2.3534182234025414,0.8324372962708706,,0.0,False,3,False,4,,76561198322052847,kanté~,6.0,,,,,,,,,,,,,,,,,,,,,,,enpitsu,76561198039309853,26.0,256.0,3840.0,16.510000228881836,0.0,0.0,78.49999904632568,-5.699999928474426,0.0,0.0,,,,0.017296052658104116,-1.5707795356874341,1.4581480985049473e-07,True,False,False,False,85.0,False,,games5425898691,bf81d8692db,17.0,-106.12999725341797,474.7099914550781,55.5,-3533.900146484375,-22272.7001953125,2887.6998901367188,3629.4000244140625,-2300.5999755859375,-2020.8999633789062,255.0,75.0,,0.08035587317845969,-1.7655794859563396,0.01925053998234359,False,4,0.0,False,3,True,
6,1060,13.0,False,False,1,5356.849519831783,32.59000015258789,-146.80999755859375,110.55000305175781,-9006.699829101562,223.09999465942383,5264.69970703125,2143.3999633789062,657.3000335693359,5565.30029296875,1.0,0.009572675343532941,-0.3672073354285611,-0.12898310422754256,bf81d8692db,games5425898691,17.0,135.6300048828125,-288.8699951171875,77.02999877929688,3544.89990234375,22323.1005859375,2328.3999633789062,-4222.699890136719,3503.9999389648438,-373.80001068115234,255.0,92.0,,-0.6142184571104425,1.7570638466111173,0.2888208441039287,True,0.0,False,3,False,4,,76561198039309853,enpitsu,26.0,-256.0,-3840.0,16.510000228881836,-0.0,-0.0,78.49999904632568,5.699999928474426,-0.0,0.0,,,,-0.017296052658104116,1.5707795356874341,1.4581480985049473e-07,True,85.0,False,False,False,False,,D4rk_Soul,76561198157210534,11.0,-20.790000915527344,59.93000030517578,94.44999694824219,8334.89990234375,-17348.800048828125,194.0999984741211,4559.700012207031,-3060.0,-307.00000762939453,255.0,0.0,,-0.3029059482466489,-2.5108579192839104,1.4896626552463024,,4,3,False,0.0,False,,kanté~,76561198322052847,6.0,,,,,,,,,,,,,,,,,,,,,,
7,1061,14.0,False,False,0,5056.689677659454,-20.43000030517578,159.69000244140625,117.63999938964844,5030.899963378906,24677.7001953125,4579.800109863281,2751.099853515625,-382.20001220703125,-5318.3001708984375,0.0,-0.03433653394170539,0.3065311600981886,-0.09888895011602973,76561198157210534,D4rk_Soul,11.0,20.790000915527344,-59.93000030517578,94.44999694824219,-8334.89990234375,17348.800048828125,194.0999984741211,-4559.700012207031,3060.0,-307.00000762939453,255.0,0.0,,0.3029059482466489,2.5108579192839104,1.4896626552463024,,0.0,False,3,False,4,,76561198322052847,kanté~,6.0,,,,,,,,,,,,,,,,,,,,,,,enpitsu,76561198039309853,26.0,256.0,3840.0,16.510000228881836,0.0,0.0,78.49999904632568,-5.699999928474426,0.0,0.0,,,,0.017296052658104116,-1.5707795356874341,1.4581480985049473e-07,True,False,False,False,85.0,False,,games5425898691,bf81d8692db,17.0,-135.6300048828125,288.8699951171875,77.02999877929688,-3544.89990234375,-22323.1005859375,2328.3999633789062,4222.699890136719,-3503.9999389648438,-373.80001068115234,255.0,92.0,,0.6142184571104425,-1.7570638466111173,0.2888208441039287,False,4,0.0,False,3,True,
8,1179,18.0,False,False,1,8263.28885004538,-1352.1099853515625,-2811.60009765625,105.19999694824219,-10916.8994140625,21469.599609375,4328.900146484375,-1247.699966430664,4944.200134277344,-3161.7999267578125,1.0,-0.04692928517228571,2.909249219027262,1.4306351419019996,76561198039309853,enpitsu,26.0,-1283.0899658203125,-2969.419921875,16.1200008392334,-14721.8994140625,11371.800537109375,-2.5,104.39999580383301,254.40000534057617,-2643.9999389648438,255.0,128.0,,-0.0014018638259920624,0.6908755541290685,0.020417404401069133,True,2.8098925646915234,True,False,False,False,,bf81d8692db,games5425898691,18.0,3699.780029296875,2621.06005859375,17.010000228881836,-6092.19970703125,-18916.700439453125,2.199999988079071,-0.19999999552965164,-6.700000166893005,175.9000015258789,255.0,171.0,,-0.009502967621655445,-1.24699753551853,-0.00017607887307002486,True,217.92479128478675,True,4,False,4,,D4rk_Soul,76561198157210534,11.0,2812.10009765625,-3864.659912109375,17.010000228881836,-6437.39990234375,12629.000244140625,-0.29999999329447746,-2.0999999344348907,4.900000095367432,-1301.1000061035156,255.0,133.0,,-0.009577402481428377,1.1741603355612196,0.00012703969733367836,True,4,4,False,214.2993547839503,True,,kanté~,76561198322052847,6.0,,,,,,,,,,,,,,,,,,,,,,
9,1258,21.0,False,False,1,5470.380355901054,-3986.340087890625,2672.64990234375,191.8300018310547,-1570.7000732421875,13325.30029296875,4485.0,-5161.400146484375,-2141.199951171875,2185.0,1.0,0.8687160747111882,0.37309403023823157,2.710960886178168,76561198039309853,enpitsu,26.0,-4079.469970703125,2395.909912109375,262.260009765625,-275.10000228881836,19450.6005859375,7167.7001953125,-17.999999523162842,1183.7999725341797,265.5999946594238,255.0,0.0,,0.3796750403755532,1.5379166117058076,1.5262674293118432,True,255.0,False,False,False,False,,bf81d8692db,games5425898691,18.0,1596.43994140625,1126.1300048828125,17.010000228881836,-49.60000038146973,18025.699462890625,2.0999999344348907,-0.0,0.5000000074505806,-259.20000076293945,255.0,128.0,,-0.009591747012777303,1.5919479277311532,9.693271521896397e-05,True,236.0,False,4,False,4,,D4rk_Soul,76561198157210534,11.0,1373.8299560546875,2073.080078125,20.700000762939453,-3432.0001220703125,22121.8994140625,-2299.1000366210938,-2365.0999450683594,977.3999786376953,-2769.89990234375,255.0,128.0,,0.08013874994946306,1.3045457094414674,-0.04941979710252541,True,8,8,False,213.0,False,,kanté~,76561198322052847,6.0,,,,,,,,,,,,,,,,,,,,,,
