,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,170,0.0,False,False,0,5194.399268293907,-51.79999923706055,14.65999984741211,92.6500015258789,-14488.599853515625,-5409.000244140625,-6498.900146484375,66.79999828338623,2728.2000732421875,5343.4002685546875,0.0,-0.01330599505851265,0.25068796160032497,0.0345125569228515,76561198367569986,DonTLkDWn,16.0,-37.380001068115234,-95.20999908447266,134.72000122070312,2669.2001342773438,8986.199951171875,587.5,-5464.7998046875,521.3999938964844,337.2999954223633,255.0,255.0,,1.0874877418547548,0.0060316604342586285,-1.7549013341267732,True,4,3,0.0,False,False,,76561198273900649,theTRICKSTER,20.0,34.439998626708984,-1390.4100341796875,17.010000228881836,-750.5000305175781,14080.6005859375,2.0999999344348907,0.0,0.5000000074505806,0.09999999776482582,255.0,128.0,,0.009587488466780224,1.6240865479740465,-5.739797455368662e-05,True,63.0,False,False,False,False,,enpitsu,76561198039309853,27.0,91.02999877929688,159.5399932861328,94.44999694824219,-14429.89990234375,-17832.7001953125,37.200000286102295,4376.9000244140625,-3329.8001098632812,-69.00000095367432,255.0,128.0,,1.386567427074395,-2.2886831265580114,-0.03604529275849349,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,2840.27001953125,4090.2900390625,17.010000228881836,16375.30029296875,1684.7999572753906,2.3000000417232513,0.3999999910593033,0.0,-1921.9000244140625,128.0,0.0,,0.009632654736852356,0.039109731610915875,-5.4424355099894137e-05,True,0.0,False,False,False,False,
1,249,2.0,False,False,0,6022.909323376028,-3982.1298828125,-32.15999984741211,609.27001953125,7021.6998291015625,6060.0,12999.49951171875,-4065.1998901367188,475.2000045776367,-792.0999908447266,0.0,1.2622656965459156,-3.136171117112084,1.8478428558562146,76561198273900649,theTRICKSTER,20.0,-4082.0400390625,-112.47000122070312,382.739990234375,528.6999893188477,-913.3999633789062,14849.69970703125,208.60000610351562,-177.80000686645508,-132.60000228881836,255.0,128.0,,-1.4936905575245882,-1.5401350517212353,-1.5942857244093818,True,False,False,248.7260041954697,True,False,,76561198367569986,DonTLkDWn,16.0,2335.64990234375,462.510009765625,98.37000274658203,15407.80029296875,-1714.1999816894531,-1561.300048828125,-655.5000305175781,2160.2000427246094,854.8999786376953,128.0,128.0,,-0.22571135860163904,-0.5259033703710477,0.6636214723298954,False,0.0,False,6,6,False,,enpitsu,76561198039309853,27.0,-2111.760009765625,1443.6600341796875,17.049999237060547,-4691.700134277344,14644.200439453125,-2.0000000298023224,-0.19999999552965164,-0.5000000074505806,-0.29999999329447746,255.0,128.0,,0.016760859280657014,1.8807963995381056,2.4268747173888592e-05,False,26.531801985156147,True,2,False,2,,games5425898691,bf81d8692db,24.0,758.1799926757812,4092.320068359375,46.709999084472656,-16747.39990234375,10269.3994140625,-2480.399932861328,-1386.6999816894531,-994.4000244140625,-327.5,255.0,128.0,,-0.19610474157053662,2.38131033540087,-0.22512817365586918,True,218.0,False,False,4,4,
2,331,5.0,False,False,0,3583.610451629505,-1958.4300537109375,1717.5,1491.550048828125,12588.699951171875,12651.199951171875,-5206.6998291015625,115.50000190734863,-3293.599853515625,-1549.1000366210938,0.0,1.3129524471916678,2.4944048185659944,1.171261883236123,76561198273900649,theTRICKSTER,20.0,-2120.72998046875,1545.27001953125,1455.8900146484375,11659.49951171875,10496.700439453125,-8546.699829101562,1288.5000610351562,-1491.6999816894531,299.4000053405762,128.0,128.0,,-0.25889308963356017,0.7525098425958409,-3.066927841721454,True,False,False,179.868275186067,True,False,,76561198367569986,DonTLkDWn,16.0,2286.280029296875,1043.47998046875,18.649999618530273,-8464.299926757812,21385.80078125,0.7000000029802322,0.0,-0.3999999910593033,0.0,255.0,128.0,False,0.00597537062548313,1.947664351198495,6.765125966446766e-05,True,127.0,False,6,6,False,,enpitsu,76561198039309853,27.0,-1673.0799560546875,4538.58984375,17.049999237060547,9579.000244140625,-403.8999938964844,2.5,-0.5000000074505806,0.5000000074505806,0.0,255.0,128.0,False,0.01682057116516768,-0.04217548810446238,4.9945154481319166e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,24.0,-970.780029296875,4190.8798828125,17.010000228881836,1190.6999969482422,-10543.299560546875,2.0999999344348907,0.0,-0.19999999552965164,246.49999618530273,255.0,128.0,,0.009539900298079645,-1.433098028521225,-0.00016043414656477647,True,218.0,False,False,4,4,
3,359,6.0,True,False,0,2164.725674139353,-707.8099975585938,2983.469970703125,670.5800170898438,12641.199951171875,16531.099853515625,-2732.0999145507812,-1800.8999633789062,-629.0999984741211,-1956.199951171875,0.0,-0.8861487351532021,-1.9383442906618966,0.6881598746286737,76561198273900649,theTRICKSTER,20.0,-731.1400146484375,2914.590087890625,506.1199951171875,14361.300048828125,16050.0,-3999.4000244140625,4400.199890136719,-3290.5999755859375,243.09999465942383,128.0,128.0,,-1.1230189206439833,-2.179185878664282,0.04342614050794079,True,False,3,112.0,False,False,,76561198367569986,DonTLkDWn,16.0,850.6900024414062,2959.39990234375,18.649999618530273,-19613.399658203125,10284.3994140625,2.0999999344348907,1.5999999642372131,-0.7999999821186066,-424.3000030517578,255.0,128.0,False,0.005973387294002578,2.6897875453495095,-0.00023807002578964283,True,158.0,False,6,6,False,,enpitsu,76561198039309853,27.0,-587.489990234375,4413.02001953125,17.049999237060547,10026.599731445312,-6318.3001708984375,3.1999999284744263,0.7000000029802322,-0.3999999910593033,-2342.5999450683594,255.0,128.0,False,0.016717964689453958,-0.6164197722157558,-7.389960247909064e-05,True,245.57094191992155,True,3,False,2,,games5425898691,bf81d8692db,24.0,-734.97998046875,3438.669921875,67.41999816894531,5192.80029296875,-3624.4000244140625,3577.0001220703125,-554.5999908447266,-1000.8999633789062,1698.9999389648438,255.0,211.0,,-0.047833284651585845,-0.4236080753521415,-0.0031971826719015507,True,214.87032257356952,True,False,6,4,
4,644,8.0,False,False,0,5204.593165047064,-8.930000305175781,11.5600004196167,96.75,-13481.600341796875,24739.29931640625,6866.500244140625,-430.99998474121094,-392.99999237060547,172.70000457763672,0.0,-0.0032720529988865027,0.0014462881821643919,-0.0035899135687276176,76561198273900649,theTRICKSTER,20.0,123.56999969482422,-226.50999450683594,18.920000076293945,-13185.50048828125,17773.299560546875,3061.300048828125,4.300000071525574,4.099999964237213,282.2999954223633,255.0,255.0,True,0.009681444815639166,2.2070637075468813,0.001188206714287869,True,5,4,8.527303116295936,True,False,,76561198367569986,DonTLkDWn,16.0,-2667.0,-4031.679931640625,18.649999618530273,-14930.2001953125,-9927.80029296875,2.3000000417232513,-0.3999999910593033,-0.29999999329447746,-1878.6000061035156,255.0,0.0,True,0.0059634854268551495,-2.58245134950256,-0.0003029146493913317,True,0.0,False,False,False,False,,enpitsu,76561198039309853,27.0,-37.119998931884766,3761.22998046875,17.049999237060547,1008.3999633789062,-9226.400146484375,2.5999999046325684,0.29999999329447746,-0.5000000074505806,4.300000071525574,255.0,128.0,False,0.016652337704113476,-1.4612714806897757,-4.992475666859708e-05,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,24.0,-76.95999908447266,547.4400024414062,48.849998474121094,1181.6999816894531,-16335.899658203125,3293.900146484375,512.9000091552734,-244.3000030517578,-1199.7000122070312,128.0,109.0,,0.02288233271487843,-1.6361695215387502,0.005962028278225391,True,31.0,False,False,4,False,
5,647,8.0,False,False,1,5458.693392223777,153.42999267578125,-267.95001220703125,170.2899932861328,19659.000244140625,-3088.2000732421875,12621.800537109375,5647.0001220703125,1271.9000244140625,-1578.800048828125,1.0,0.0990198285189995,0.03177941699243358,-0.29217217951284236,bf81d8692db,games5425898691,24.0,73.47000122070312,-475.3900146484375,61.88999938964844,515.4999923706055,21131.8994140625,3022.9000854492188,-2695.5999755859375,959.5999908447266,-1096.2999725341797,128.0,109.0,,-0.07247825491793095,1.6830638521271193,0.021128902530642424,True,4,3,31.0,False,False,,76561198039309853,enpitsu,27.0,27.520000457763672,-3673.800048828125,17.049999237060547,-1076.6000366210938,9788.800048828125,2.5999999046325684,-0.29999999329447746,0.5000000074505806,0.7999999821186066,255.0,128.0,False,-0.01665234257377985,1.4610832341936124,-4.8357106313718474e-05,True,116.0,False,False,False,False,,DonTLkDWn,76561198367569986,16.0,2806.489990234375,4116.6298828125,18.649999618530273,15380.899658203125,8808.400268554688,2.3000000417232513,1.4000000059604645,0.3999999910593033,-2514.9000549316406,255.0,0.0,True,-0.005975203397121984,2.7926732530906087,-0.00017940256214332188,True,0.0,False,False,False,False,,theTRICKSTER,76561198273900649,20.0,60.31999969482422,-7.880000114440918,56.86000061035156,16973.499755859375,-15395.0,1973.0000305175781,-518.8999938964844,1830.5000305175781,-3425.2999877929688,255.0,255.0,True,0.16682192169306265,-1.8806372410410435,0.12759275094023906,True,0.0,True,False,6,5,
6,756,12.0,False,False,1,6406.920658455111,1920.06005859375,-1184.550048828125,96.43000030517578,-7558.599853515625,-2582.3001098632812,7486.099853515625,1899.4000244140625,-5559.69970703125,1217.2000122070312,1.0,-0.09841249564569186,0.27744528803163465,1.0766315552306247,76561198039309853,enpitsu,27.0,2139.800048828125,-1185.4000244140625,326.3500061035156,6161.300048828125,18864.49951171875,-165.10000228881836,-4458.900146484375,2855.5999755859375,1487.7000427246094,255.0,255.0,,-1.1205903830484456,1.5200560818703504,0.6276260598603332,True,2,1,113.0,False,False,,bf81d8692db,games5425898691,24.0,-3652.64990234375,-840.260009765625,16.989999771118164,6905.3997802734375,-21938.798828125,2.5,0.29999999329447746,-0.0,1976.9000244140625,255.0,255.0,,-0.009559704246506665,-1.9541967595025425,-2.0770906711224163e-06,True,239.43186219020555,True,4,4,False,,DonTLkDWn,76561198367569986,17.0,1970.3199462890625,-1981.030029296875,661.72998046875,-3775.8999633789062,-16082.7001953125,784.3000030517578,-695.5999755859375,2259.499969482422,1525.0999450683594,,,,0.2422460894139205,0.007863219016256614,1.0206346519864455,True,90.0,False,4,4,False,,theTRICKSTER,76561198273900649,20.0,2030.8399658203125,-4117.0400390625,17.0,-3598.699951171875,14205.699462890625,0.9000000357627869,-0.0,-0.9000000357627869,-24.700000286102295,255.0,,,-0.009590141890036761,1.3262156772106788,8.713406996324589e-05,True,239.43186219020555,True,False,6,6,
7,808,14.0,False,False,0,3505.2546005276163,-542.4600219726562,1652.6199951171875,335.7699890136719,10253.399658203125,4632.60009765625,96.70000076293945,-5585.999755859375,1771.4999389648438,1287.4000549316406,0.0,-0.77736797063842,-0.9804827217456487,2.1583849584750157,76561198273900649,theTRICKSTER,20.0,-581.6099853515625,1599.1300048828125,179.57000732421875,6391.5997314453125,-4356.099853515625,-1076.9000244140625,5024.2999267578125,2203.3999633789062,-388.69998931884766,255.0,128.0,False,-1.3090203472491124,1.7812107075087777,-2.9331271747609473,True,8,7,183.0,False,False,,76561198367569986,DonTLkDWn,17.0,-1305.47998046875,4653.669921875,18.65999984741211,1174.4000244140625,922.2000122070312,5.199999809265137,21.600000858306885,-25.199999809265137,-2158.699951171875,255.0,0.0,,0.006072384452471011,-0.8874112487777239,-0.0018648839306046978,True,90.0,False,4,False,4,,enpitsu,76561198039309853,27.0,-3297.5,-1344.93994140625,17.059999465942383,-7032.80029296875,6398.900146484375,-4.000000059604645,2.199999988079071,-2.3000000417232513,-167.00000762939453,255.0,0.0,,0.01668453286612654,2.386507524107098,0.00020269949458029025,True,84.8361464879846,True,2,False,2,,games5425898691,bf81d8692db,24.0,-213.80999755859375,1702.31005859375,220.67999267578125,-22863.20068359375,-696.6000366210938,2405.5999755859375,588.3000183105469,-3007.5,4567.099914550781,255.0,29.0,,-0.4966219437602208,-2.617558654772067,0.9377698478638588,True,116.11847760856793,True,False,6,5,
8,810,14.0,False,False,1,6835.285585714568,490.7200012207031,-1683.260009765625,341.4800109863281,22822.900390625,-5485.0,10189.69970703125,3006.300048828125,-4852.60009765625,-1847.7000427246094,1.0,0.8660604946027104,0.44560045959403816,1.5055379207051975,bf81d8692db,games5425898691,24.0,397.17999267578125,-1694.469970703125,232.82000732421875,19940.2001953125,1167.3999786376953,-186.70000076293945,-2193.800048828125,520.0,5016.600036621094,255.0,0.0,,0.22828969818002826,2.093833518178481,0.9640151903761375,True,6,5,109.8602238393599,True,False,,76561198039309853,enpitsu,27.0,3297.5,1344.93994140625,17.059999465942383,7032.80029296875,-6398.900146484375,-4.000000059604645,-2.199999988079071,2.3000000417232513,-167.00000762939453,255.0,0.0,,-0.01668453286612654,-2.386507524107098,0.00020269949458029025,True,78.57789271877658,True,2,2,False,,DonTLkDWn,76561198367569986,17.0,1296.72998046875,-4654.14013671875,18.65999984741211,-931.9000244140625,627.5,0.5999999865889549,-4.399999976158142,9.800000190734863,-2035.8000183105469,255.0,0.0,,-0.006060003183117018,1.063425020430378,-0.00017854387877687275,True,90.0,False,4,4,False,,theTRICKSTER,76561198273900649,20.0,529.75,-1564.81005859375,165.8699951171875,-6207.5,4095.5999755859375,-1299.2999267578125,-4866.499938964844,-2550.0999450683594,-251.5999984741211,255.0,128.0,False,1.239210564808629,0.8580801800662182,-0.24310904211644901,True,183.0,False,False,8,7,
9,890,17.0,False,False,0,2578.483901298944,-2274.60009765625,2961.0,320.1499938964844,16007.7001953125,9837.5,-1410.7000732421875,-4165.799865722656,4287.0001220703125,516.8999862670898,0.0,0.02781142278350418,-1.169277612031377,-1.6839354520945158,76561198367569986,DonTLkDWn,16.0,-2324.760009765625,2878.139892578125,213.02999877929688,-1432.2999572753906,-8602.60009765625,1597.4000549316406,-515.8000183105469,-56.500000953674316,417.7000045776367,0.0,128.0,,-0.005618406762525009,-1.4542593336517984,0.00028364362645424165,True,6,False,14.145780701791086,True,4,,76561198273900649,theTRICKSTER,20.0,-67.12999725341797,1775.6800537109375,17.010000228881836,-1494.7000122070312,5594.2999267578125,2.0999999344348907,-0.5000000074505806,-0.19999999552965164,-8.399999737739563,128.0,128.0,False,0.009600416030156525,1.830257028148094,1.3752829126570508e-05,True,189.0,False,8,8,False,,enpitsu,76561198039309853,27.0,-4011.68994140625,1964.030029296875,96.0,3204.7000122070312,-3955.1998901367188,-3864.5001220703125,1813.5000610351562,-1984.7000122070312,1242.2000122070312,255.0,255.0,False,0.5825626715761387,-0.8737979875304823,-0.6269277578912328,True,187.76912683312608,True,2,False,2,,games5425898691,bf81d8692db,24.0,-3222.4599609375,3509.22998046875,16.989999771118164,14542.39990234375,17819.000244140625,2.199999988079071,0.09999999776482582,0.29999999329447746,-3.4999999403953552,255.0,128.0,,0.009586792912827786,0.8858467674263413,-3.2199873144191065e-05,True,0.0,True,False,6,6,
