,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,169,0,False,False,0,5175.352196152142,5.900000095367432,43.84000015258789,105.5199966430664,5979.2999267578125,18075.899658203125,7082.19970703125,5461.500244140625,1915.7000732421875,-1581.3999938964844,0.0,0.11230953022885967,0.07739754183113516,0.15708105517038243,ba55cb3f8fb,Carlagr27,11.0,41.2599983215332,-125.94999694824219,110.54000091552734,-7539.1998291015625,17934.000244140625,-2556.4999389648438,-3861.9000244140625,2106.3999938964844,-3301.199951171875,255.0,4.0,,0.4925063023779722,2.2321667100938005,0.6392134310824183,False,0.0,False,3,False,4,,250133438555295361,Xxguruguillo74xX,27.0,-3404.989990234375,-4293.2001953125,20.260000228881836,-7330.999755859375,-9689.600219726562,-1660.3999328613281,1627.2999572753906,-1169.800033569336,18.899999856948853,255.0,128.0,,0.06440462320393431,0.9220984965730424,0.000959878949172114,True,4,False,255.0,False,4,,enpitsu,76561198039309853,25,-63.220001220703125,195.13999938964844,72.41000366210938,10490.0,-20262.7001953125,2841.9000244140625,5211.7999267578125,-734.0000152587891,-1596.1000061035156,255.0,0.0,,0.19799319168602741,-0.9895339078803765,0.10304274901665868,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,25.0,3416.02001953125,2046.3699951171875,17.010000228881836,6699.7998046875,13771.300048828125,2.800000011920929,0.19999999552965164,0.5000000074505806,1664.2999267578125,255.0,255.0,,0.009592758026366202,1.1463484078918675,0.0001495475394713678,False,0.0,False,False,False,False,
1,170,0,False,False,1,5273.267441922878,-36.7400016784668,-50.119998931884766,129.77999877929688,-11747.2998046875,1944.9000549316406,7494.1998291015625,1472.7999877929688,-421.3999938964844,4149.599914550781,1.0,-0.14905437399910568,-0.08474683492833476,0.2729426169001737,76561198039309853,enpitsu,25.0,63.220001220703125,-195.13999938964844,72.41000366210938,-10490.0,20262.7001953125,2841.9000244140625,-5211.7999267578125,734.0000152587891,-1596.1000061035156,255.0,0.0,,-0.19799319168602741,0.9895339078803765,0.10304274901665868,True,0.0,False,1,False,2,,bf81d8692db,games5425898691,25.0,-3436.949951171875,-2092.81005859375,17.010000228881836,-6013.900146484375,-14026.300048828125,2.800000011920929,0.09999999776482582,0.3999999910593033,1815.7000732421875,255.0,255.0,,-0.009591522553493898,-1.2051931192559215,0.00013550001052018362,False,False,False,0.0,False,False,,Carlagr27,ba55cb3f8fb,11,-41.2599983215332,125.94999694824219,110.54000091552734,7539.1998291015625,-17934.000244140625,-2556.4999389648438,3861.9000244140625,-2106.3999938964844,-3301.199951171875,255.0,4.0,,-0.4925063023779722,-2.2321667100938005,0.6392134310824183,False,0.0,False,4,False,3,,Xxguruguillo74xX,250133438555295361,27.0,3427.22998046875,4323.009765625,20.020000457763672,6162.1002197265625,8376.099853515625,1238.1999969482422,1935.8000183105469,-2215.0999450683594,-19.299999475479126,255.0,128.0,,-0.08954109144883719,-0.9217308727360519,0.03217923836729379,True,255.0,False,4,False,4,
2,295,4,False,False,1,6664.021675371026,-3977.60009765625,594.97998046875,358.57000732421875,8526.300048828125,15763.199462890625,5805.2001953125,-86.99999809265137,-3620.7998657226562,-1435.2999877929688,1.0,-0.1489815923788326,1.7104029872741298,0.5115229756666226,76561198039309853,enpitsu,25.0,-4058.77001953125,455.3299865722656,296.6300048828125,944.3000030517578,11176.400146484375,6500.10009765625,17.000000476837158,3322.6998901367188,-2729.8001098632812,255.0,0.0,,0.3703928564984305,1.7362186033582452,1.7635301161616037,True,237.0,False,3,False,4,,bf81d8692db,games5425898691,25.0,-3866.1298828125,-241.5800018310547,20.010000228881836,-2064.199981689453,12498.00048828125,213.70000839233398,54.29999828338623,680.4000091552734,-2189.1000366210938,128.0,0.0,,0.008660777707747263,1.4531157740459462,0.10780960081542314,True,False,False,133.0,False,False,,Carlagr27,ba55cb3f8fb,11,3150.139892578125,824.97998046875,17.010000228881836,-11803.00048828125,10841.099853515625,0.29999999329447746,-1.8000000715255737,1.7000000178813934,-1254.4999694824219,255.0,66.0,,-0.009598351111153812,0.784299841327526,-4.0631884673547816e-05,True,189.14007752172407,True,4,False,4,,Xxguruguillo74xX,250133438555295361,25.0,-751.2100219726562,4184.990234375,17.059999465942383,-2444.499969482422,40.900001525878906,1.8000000715255737,0.5000000074505806,3.3000001311302185,0.0,128.0,,,-0.017064931869208714,0.016826879022767336,4.5249780020681794e-05,True,255.0,False,4,False,4,
3,348,6,False,False,0,9259.907100357814,2407.639892578125,-3510.5400390625,283.1199951171875,11250.50048828125,13026.600341796875,13102.80029296875,4976.499938964844,-2858.599853515625,1749.7000122070312,0.0,-0.12767937472358032,-2.1075408450145376,-0.518700983780728,250133438555295361,Xxguruguillo74xX,25.0,2372.199951171875,-3570.909912109375,162.72999572753906,11450.30029296875,7512.8997802734375,859.8999786376953,2859.5001220703125,586.1999893188477,-2568.3999633789062,255.0,184.0,,0.7211169777126542,0.3081483199541376,-0.4330990750869792,True,255.0,False,5,False,6,,ba55cb3f8fb,Carlagr27,11.0,-740.1300048828125,-3753.530029296875,17.010000228881836,9882.100219726562,-17114.000244140625,2.800000011920929,-1.0999999940395355,1.7000000178813934,1748.5000610351562,255.0,255.0,,0.009596452052805411,-1.0046336377155012,0.00022509640935834753,True,4,False,202.0,False,4,,enpitsu,76561198039309853,25,2939.010009765625,-2977.77001953125,16.690000534057617,592.2000122070312,-12139.000244140625,72.10000038146973,13.200000524520874,18.50000023841858,-1931.6000366210938,255.0,0.0,True,0.015805339055393153,-1.5189046989446224,0.0009062759135093761,True,237.0,False,4,False,4,,games5425898691,bf81d8692db,25.0,3496.89990234375,-3318.64990234375,16.989999771118164,-5630.9002685546875,-22218.9990234375,5.099999904632568,0.0,0.5999999865889549,-1181.6000366210938,255.0,26.0,,0.00959380752885713,-1.8448364616529034,-0.00012908471653868682,True,42.0,False,False,False,False,
4,443,9,True,True,0,6294.945253263063,2730.93994140625,-5.059999942779541,375.3299865722656,-8084.5001220703125,21628.798828125,-1863.6000061035156,-3800.4998779296875,-3266.7001342773438,-3299.1000366210938,0.0,0.9531447252504853,0.8500139163676474,1.3995271699631724,250133438555295361,Xxguruguillo74xX,21.0,2745.06005859375,-128.41000366210938,259.1700134277344,-9965.700073242188,9524.7998046875,2060.399932861328,-903.8999938964844,5210.30029296875,-1179.4999694824219,255.0,128.0,,-0.6610399553522034,2.013850463315174,0.16325772524537455,False,255.0,False,6,4,8,,ba55cb3f8fb,Carlagr27,12.0,2024.8699951171875,-432.04998779296875,17.010000228881836,-8624.400024414062,9807.60009765625,2.7000001072883606,2.5,-2.5,1536.6000366210938,255.0,154.0,,0.0095660806733592,2.3587403898505426,-5.53727294265924e-05,True,4,False,255.0,False,4,,enpitsu,76561198039309853,25,2946.6201171875,263.6300048828125,324.42999267578125,8058.3001708984375,21333.9990234375,-138.1999969482422,-2512.2999572753906,-1450.8999633789062,-4672.60009765625,128.0,255.0,False,-1.0067870278981281,0.595472901645961,-1.8176611707178105,True,152.0,False,6,False,5,,games5425898691,bf81d8692db,26.0,903.8599853515625,651.7899780273438,16.989999771118164,-2720.4998779296875,22745.0,5.099999904632568,0.0,0.19999999552965164,0.0,255.0,128.0,,0.009601440694133033,1.6898607870428464,-3.152300392258958e-05,True,214.0,False,False,False,False,
5,485,11,False,False,1,8445.826141675692,-1664.3199462890625,-2908.39990234375,180.22999572753906,-19677.60009765625,-3318.2998657226562,-1079.1000366210938,3119.1000366210938,-2961.099853515625,1803.0000305175781,1.0,0.8579485495368019,1.9437961799552526,0.382993741519014,bf81d8692db,games5425898691,26.0,-1481.5799560546875,-2987.7099609375,196.35000610351562,-10192.5,-9052.7001953125,1533.5000610351562,-3845.7998657226562,-3051.400146484375,-2479.499969482422,255.0,128.0,,-0.2887004383847901,0.2681484462461952,0.5649935603159963,True,214.0,False,3,False,4,,76561198039309853,enpitsu,25.0,-3954.10009765625,-3456.72998046875,49.11000061035156,3219.7000122070312,-20241.199951171875,-1739.7999572753906,577.7999877929688,-1600.7000732421875,1708.3999633789062,255.0,255.0,False,-0.12484077111241897,-1.7669934470282307,-0.5141427685484005,True,6,False,152.0,False,6,,Carlagr27,ba55cb3f8fb,12,-1452.2099609375,-1919.4599609375,17.010000228881836,1985.0999450683594,-22888.5009765625,1.2999999523162842,-0.0,1.0000000149011612,1853.8999938964844,255.0,255.0,,-0.00957854320903302,-1.7204978330000615,0.00010623619986130156,False,159.0,False,4,False,4,,Xxguruguillo74xX,250133438555295361,19.0,-1498.219970703125,-1324.52001953125,16.989999771118164,-1775.5999755859375,-4232.5,20.999999046325684,12.000000476837158,6.000000238418579,-1473.699951171875,0.0,45.0,,-0.01672682171216877,-1.1337477214140395,0.0008183866668959412,True,255.0,False,8,4,6,
6,626,16,False,False,1,9941.496653515023,-3501.27001953125,-3776.1298828125,103.4800033569336,-71.5999984741211,8457.19970703125,4876.7999267578125,3286.400146484375,4372.799987792969,-1564.9000549316406,1.0,-0.3741468173628516,0.30606153033329503,-0.26262396128291726,76561198039309853,enpitsu,25.0,-3456.75,-3921.320068359375,16.690000534057617,-1945.5999755859375,5191.199951171875,-191.5999984741211,151.99999809265137,166.20000839233398,-186.5999984741211,255.0,128.0,,-0.012617844245771268,1.217816846664975,0.0022968628137403843,True,160.89440009414508,True,6,False,6,,bf81d8692db,games5425898691,26.0,-3218.389892578125,-4808.919921875,191.41000366210938,10312.5,-6294.6002197265625,-13603.399658203125,3488.699951171875,-3991.7001342773438,1464.1999816894531,255.0,128.0,,-0.8350309101991379,-2.6635517309774324,-1.2056521462374403,True,4,False,122.0,False,4,,Carlagr27,ba55cb3f8fb,11,1446.75,930.489990234375,17.010000228881836,-15236.800537109375,-863.3999633789062,2.5999999046325684,0.9000000357627869,-0.0,-61.99999809265137,255.0,128.0,,-0.009587325961846306,-0.04797085877394267,8.429889712957699e-05,True,255.0,False,4,False,4,,Xxguruguillo74xX,250133438555295361,17.0,-3462.080078125,3363.330078125,17.049999237060547,5065.10009765625,16339.49951171875,3.3000001311302185,1.5999999642372131,3.799999952316284,-2174.499969482422,128.0,128.0,True,-0.01677522107129062,2.031858607252101,-8.143861253935858e-05,True,189.0,False,8,4,6,
7,666,18,False,False,1,8874.925998340841,-3502.929931640625,-2568.030029296875,119.55999755859375,6100.5999755859375,10477.7001953125,-530.4000091552734,2313.6000061035156,1968.5000610351562,-44.80000019073486,1.0,1.4792601770209983,1.4825344095251025,0.2127761000911163,76561198039309853,enpitsu,25.0,-3610.050048828125,-2657.409912109375,16.510000228881836,1768.3999633789062,11417.2998046875,-167.29999542236328,-734.1999816894531,463.3000183105469,-578.4999847412109,255.0,128.0,,-0.03971551547199929,1.7403198537906275,0.008066862334200627,True,101.08309680415735,True,6,False,6,,bf81d8692db,games5425898691,26.0,-1455.7900390625,-3570.5400390625,17.020000457763672,-1058.7000274658203,15621.099853515625,1.5000000596046448,-0.09999999776482582,-0.0,1795.8999633789062,255.0,240.0,,-0.009580103097688919,1.443523577609723,-1.6414263968017352e-05,True,4,False,153.0,False,4,,Carlagr27,ba55cb3f8fb,11,-794.739990234375,245.42999267578125,17.010000228881836,-13590.699462890625,-13943.399658203125,0.29999999329447746,-0.29999999329447746,-0.7000000029802322,0.29999999329447746,255.0,128.0,,-0.009577002897209837,-0.7982726014937586,-6.503851282296443e-05,True,234.28168604450843,True,4,False,4,,Xxguruguillo74xX,250133438555295361,17.0,-2596.340087890625,4572.25,17.049999237060547,2534.9000549316406,-3081.199951171875,3.799999952316284,0.9000000357627869,-0.7000000029802322,1266.2999725341797,255.0,255.0,False,-0.016601876441290277,-2.138080106930766,0.0003255073999245298,True,255.0,False,8,4,6,
8,688,18,False,False,1,7980.820940000814,-2856.22998046875,-1903.739990234375,113.61000061035156,13392.7001953125,125.79999923706055,2702.7999877929688,-107.20000267028809,198.50000381469727,-3281.0000610351562,1.0,0.4188023169107079,-1.6687058472964433,1.9644053544782678,76561198039309853,enpitsu,25.0,-2915.4599609375,-1793.4100341796875,25.84000015258789,14161.099853515625,3306.300048828125,2641.4999389648438,12.599999904632568,1297.5,-1197.0999908447266,128.0,0.0,,-0.04930212960526713,2.98408431269839,0.005726655362762992,True,99.0,False,7,False,8,,bf81d8692db,games5425898691,26.0,-1658.4000244140625,-2367.780029296875,17.020000457763672,2813.599853515625,14694.200439453125,1.5999999642372131,-0.0,0.3999999910593033,-1991.0000610351562,255.0,0.0,,-0.009595660663225496,1.818086225210783,-5.469721519088387e-05,True,4,False,183.0,False,4,24.0,Carlagr27,ba55cb3f8fb,12,-2267.239990234375,-253.1699981689453,17.010000228881836,-18595.10009765625,5242.7001953125,3.100000023841858,-0.0,-0.0,-3279.2001342773438,255.0,0.0,False,-0.009589963361210445,0.7047879025448927,-7.20785598385607e-05,True,238.0,False,4,False,4,,Xxguruguillo74xX,250133438555295361,17.0,-2076.159912109375,4268.2099609375,17.049999237060547,9505.800170898438,-3720.8999633789062,3.700000047683716,-2.0999999344348907,0.5000000074505806,-1199.3000030517578,255.0,52.0,False,-0.01668437522462322,-2.805940646614645,-0.0004464656527032223,True,255.0,False,8,4,6,
9,693,19,False,False,1,7877.879011333594,-2622.969970703125,-1908.25,151.80999755859375,13428.499755859375,-5394.1998291015625,2861.300048828125,-4241.7999267578125,1617.7999877929688,-1725.5000305175781,1.0,0.515734072696173,-1.1309019252293286,1.9385797466513974,76561198039309853,enpitsu,25.0,-2716.93994140625,-1774.760009765625,65.23999786376953,13453.900146484375,-4938.299865722656,2524.2999267578125,4471.300048828125,258.99999618530273,-3192.0999145507812,128.0,128.0,,-0.2210213696152803,-2.979141545975854,0.09805248960253811,True,99.0,False,7,False,8,,bf81d8692db,games5425898691,26.0,-1589.699951171875,-2171.2099609375,17.020000457763672,6613.4002685546875,12958.00048828125,1.5999999642372131,-0.0,0.19999999552965164,-2085.399932861328,255.0,0.0,,-0.0095707681181492,2.1079614645879623,-1.4944404912116431e-05,True,4,False,183.0,False,4,,Carlagr27,ba55cb3f8fb,12,-2494.179931640625,-153.2899932861328,17.010000228881836,-12867.099609375,8639.000244140625,3.799999952316284,0.09999999776482582,0.19999999552965164,-3627.2000122070312,255.0,0.0,False,-0.00959559437088155,1.1997233740889028,-4.6464491301557754e-05,True,238.0,False,4,False,4,,Xxguruguillo74xX,250133438555295361,17.0,-1943.43994140625,4201.1201171875,17.049999237060547,9002.80029296875,-5884.7998046875,3.700000047683716,1.7000000178813934,-1.0000000149011612,-2234.7000122070312,255.0,68.0,False,-0.016704357006003773,-2.5323468421058157,-0.00020188556097267156,True,255.0,False,8,4,6,
