,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,177,0,False,False,0,5213.730654481049,-28.420000076293945,-1.0399999618530273,106.68000030517578,1116.3999938964844,4497.39990234375,3500.10009765625,4523.399963378906,-1428.5000610351562,3673.900146484375,0.0,-0.0118723216827271,0.08098003215079706,0.135887723588452,4240629156042561904,Hem-Ger,13.0,9.460000038146973,-127.0199966430664,73.94000244140625,-2672.6998901367188,20102.19970703125,97.70000457763672,-2528.2000732421875,-2602.6998901367188,-4133.2000732421875,255.0,255.0,,0.3800379274664681,0.9450876368864964,-1.1998852090046892,True,18.0,False,4,False,3,,5901631034587982636,KawaNoKami_,20.0,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,,85.0,False,False,False,False,,enpitsu,76561198039309853,26.0,3009.330078125,4188.35986328125,17.049999237060547,14016.199951171875,2897.7999877929688,3.3000001311302185,0.09999999776482582,0.0,-2720.7998657226562,255.0,0.0,False,0.01677502957251338,-0.11771756913401749,-8.599712138810199e-05,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,19.0,-11.390000343322754,178.92999267578125,99.27999877929688,-1179.7000122070312,-22789.7998046875,210.79999923706055,5453.3001708984375,-714.4999694824219,-11.000000238418579,128.0,133.0,,1.3190957790473543,-1.7328177919049386,-0.030938381780995557,True,31.0,False,4,3,False,
1,291,4,False,False,1,4292.351696050125,3997.25,2172.419921875,333.07000732421875,-12202.099609375,25217.099609375,-6286.099853515625,-1321.300048828125,5717.0001220703125,1252.7999877929688,1.0,0.07252621913826376,-0.9284458917217357,-1.599813394551428,bf81d8692db,games5425898691,19.0,4079.72998046875,2024.8800048828125,385.67999267578125,861.6999816894531,18601.099853515625,-8725.999755859375,1724.1000366210938,4026.7001342773438,655.2999877929688,255.0,255.0,,-0.47745026886539316,1.5585626890820032,-1.538011897497626,True,190.82035266712148,True,6,False,6,,76561198039309853,enpitsu,26.0,517.739990234375,-4369.5498046875,17.049999237060547,7422.1002197265625,6521.7999267578125,2.0999999344348907,-0.0,-0.09999999776482582,1159.8999786376953,255.0,128.0,True,-0.016711205003344456,1.3186790750907427,-5.8593660883673924e-05,True,255.0,False,False,False,False,,Hem-Ger,4240629156042561904,11.0,-2950.889892578125,1782.6600341796875,16.989999771118164,-1950.2000427246094,17455.699462890625,4.600000083446503,-0.0,-0.0,-1236.9999694824219,255.0,64.0,,-0.009581790780469323,1.4839907336080538,-0.00012606234763931556,,6,0.0,False,6,False,,KawaNoKami_,5901631034587982636,16.0,-256.0,3840.0,17.010000228881836,-0.0,-0.09999999776482582,2.0999999344348907,0.5999999865889549,-0.0,0.0,,,,-0.009544408615608195,-1.570788551888575,-3.701008606201032e-08,,85.0,False,False,False,False,
2,355,6,True,True,1,1260.1476779234213,1646.75,4127.89990234375,151.4499969482422,-13451.600341796875,7272.8997802734375,3861.9000244140625,1679.1999816894531,-3082.3001098632812,4866.099853515625,1.0,0.6521298236461883,-2.946850231540148,-2.6086206197100026,bf81d8692db,games5425898691,19.0,1792.02001953125,3937.139892578125,81.66000366210938,2864.5999145507812,6403.499755859375,4203.900146484375,-227.60000228881836,148.4000015258789,1655.0999450683594,255.0,255.0,,-0.03838101756787694,1.8977252658430621,0.005029983612978551,True,111.0,False,8,False,6,,76561198039309853,enpitsu,26.0,-279.1000061035156,-2773.43994140625,17.049999237060547,-6801.099853515625,8242.2998046875,2.5999999046325684,-0.0,0.5000000074505806,-1044.800033569336,255.0,128.0,False,-0.016742602916235628,1.1272111736427133,4.4851376279799306e-05,True,255.0,False,False,False,False,,Hem-Ger,4240629156042561904,11.0,-1833.97998046875,4988.39990234375,22.219999313354492,17984.200439453125,-3638.2000732421875,-842.6000213623047,-2805.7000732421875,65.10000228881836,241.49999618530273,255.0,128.0,,-0.0506381658544903,-2.9369096982084284,0.22023025645839525,True,8,236.2004300214911,True,8,False,,KawaNoKami_,5901631034587982636,16.0,-256.0,3840.0,17.010000228881836,-0.0,-0.09999999776482582,2.0999999344348907,0.5999999865889549,-0.0,0.0,,,,-0.009544408615608195,-1.570788551888575,-3.701008606201032e-08,,85.0,False,False,False,False,
3,381,7,False,False,0,9922.73761979289,-443.3999938964844,-4772.41015625,236.58999633789062,-11279.599609375,12720.999755859375,7127.8997802734375,587.2000122070312,5392.7001953125,-2563.800048828125,0.0,-0.5380915414691135,2.3541701595233686,-2.8909503527865814,4240629156042561904,Hem-Ger,11.0,-228.75999450683594,-4914.1298828125,181.2899932861328,-22729.3994140625,3009.8001098632812,1820.2000427246094,-3434.89990234375,-4144.700012207031,1127.699966430664,255.0,128.0,,0.25228534488051074,2.5670845959543453,0.26053413184590557,True,159.70326004746138,True,10,False,9,,5901631034587982636,KawaNoKami_,16.0,256.0,-3840.0,17.010000228881836,0.0,0.09999999776482582,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,,85.0,False,False,False,False,,enpitsu,76561198039309853,26.0,535.5900268554688,1704.3499755859375,17.049999237060547,1374.4000244140625,-13228.00048828125,2.5999999046325684,0.0,0.5000000074505806,-0.29999999329447746,255.0,128.0,False,0.0167212027009164,-1.4673065915761219,4.0921457248737087e-05,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,19.0,-2048.679931640625,-4473.7001953125,184.35000610351562,-2551.0000610351562,-5254.5001220703125,-2200.5999755859375,-588.4999847412109,1389.1000366210938,5289.000244140625,255.0,255.0,,0.15454506665260292,2.965336489789324,0.2289423508270106,True,142.0,False,8,6,False,
4,458,10,False,False,1,4365.5622057643,3312.06005859375,1503.9599609375,248.41000366210938,6001.300048828125,20703.9990234375,8971.500244140625,3478.2998657226562,-465.9000015258789,4866.600036621094,1.0,0.0648698501136137,-0.7533104674549563,2.3664077775390657,76561198039309853,enpitsu,26.0,3244.8701171875,1282.5699462890625,176.82000732421875,17110.400390625,15055.2001953125,1887.5,-0.0,-0.0,97.39999771118164,128.0,255.0,False,-0.017009847101142492,2.33100158872194,-0.00036288237056221354,True,151.0,False,2,False,False,,bf81d8692db,games5425898691,19.0,3260.550048828125,2905.570068359375,36.119998931884766,-1198.6000061035156,-20204.000244140625,896.2999725341797,61.19999885559082,-184.69999313354492,-1807.8999328613281,255.0,21.0,,-0.018925859737156506,-1.4823810529480221,0.03208832332006251,True,186.09676562329773,True,6,False,8,,Hem-Ger,4240629156042561904,12.0,3459.830078125,2892.0400390625,71.0199966430664,1801.0000610351562,-12739.7998046875,3158.0999755859375,902.3000335693359,1324.2999267578125,-5261.300048828125,255.0,0.0,False,0.12909545768193273,1.014493000060639,0.028191882424393456,True,10,123.92505818284967,True,10,False,,KawaNoKami_,5901631034587982636,15.0,-256.0,3840.0,17.010000228881836,-0.0,-0.09999999776482582,2.0999999344348907,0.5999999865889549,-0.0,0.0,,,,-0.009544408615608195,-1.570788551888575,-3.701008606201032e-08,,85.0,False,False,False,False,
5,556,13,False,False,1,1123.5901631496104,1897.0799560546875,4629.81005859375,93.1500015258789,-5481.9000244140625,-4607.300109863281,0.0,3721.9000244140625,-4311.9000244140625,-1885.2000427246094,1.0,-0.96488633926628,2.3146702012584512,0.8972154753958227,76561198039309853,enpitsu,26.0,2006.6700439453125,4529.509765625,17.030000686645508,-7546.5997314453125,8370.900268554688,5.099999904632568,0.5999999865889549,-0.9000000357627869,-55.0,255.0,255.0,,-0.016698073755422177,0.8440824878620524,0.00011319655327581928,True,86.0,False,2,False,False,,bf81d8692db,games5425898691,19.0,457.0199890136719,3893.919921875,17.010000228881836,-12583.900146484375,-1891.199951171875,2.3999999463558197,-1.0999999940395355,0.5999999865889549,-2043.2000732421875,255.0,0.0,,-0.009633941388645064,-0.11274173416623343,-0.00018581085934990264,True,199.0,False,6,False,8,,Hem-Ger,4240629156042561904,12.0,2969.739990234375,2446.2900390625,98.19000244140625,-11993.599853515625,15483.299560546875,-154.399995803833,-1899.7000122070312,-5151.099853515625,326.30001068115234,255.0,255.0,,0.12135606742205998,2.5836944434390694,2.8329449448168673,True,11,,False,12,False,,KawaNoKami_,5901631034587982636,14.0,-256.0,3840.0,17.010000228881836,-0.0,-0.09999999776482582,2.0999999344348907,0.5999999865889549,-0.0,0.0,,,,-0.009544408615608195,-1.570788551888575,-3.701008606201032e-08,,85.0,False,False,False,False,
6,592,15,False,True,1,801.0915684622713,182.32000732421875,4776.1201171875,120.58999633789062,546.5000152587891,16928.599853515625,12007.19970703125,6.200000047683716,-5596.199951171875,-2163.800048828125,1.0,0.4870383672559506,2.6841685775376463,-2.52461997102767,76561198039309853,enpitsu,26.0,308.260009765625,4630.60009765625,49.08000183105469,-18135.50048828125,5840.8001708984375,3522.0999145507812,-200.0,-478.69998931884766,-2285.500030517578,255.0,128.0,,-0.029728618269503956,0.47812715303921643,-0.0009875221199228794,True,10.0,False,4,False,1,,bf81d8692db,games5425898691,19.0,6.789999961853027,4684.89013671875,17.010000228881836,6647.2998046875,6865.999755859375,2.3999999463558197,-0.0,0.7000000029802322,-2323.8999938964844,128.0,0.0,,-0.00958010740663741,2.38651283263678,-2.5413999566285634e-05,True,229.0,False,6,False,8,,Hem-Ger,4240629156042561904,12.0,1202.739990234375,4403.85009765625,17.010000228881836,-16110.799560546875,10917.19970703125,2.199999988079071,0.19999999552965164,-0.0,1609.9000549316406,255.0,255.0,,-0.009605188316471102,0.5630080371816703,0.00018190101512240083,True,12,,False,12,False,,KawaNoKami_,5901631034587982636,14.0,-256.0,3840.0,17.010000228881836,-0.0,-0.09999999776482582,2.0999999344348907,0.5999999865889549,-0.0,0.0,,,,-0.009544408615608195,-1.570788551888575,-3.701008606201032e-08,,85.0,False,False,False,False,
7,860,15,False,False,1,5249.290650116647,-8.710000038146973,-30.739999771118164,108.55999755859375,-5960.3997802734375,13704.89990234375,11774.100341796875,5907.80029296875,-714.8999786376953,765.5999755859375,1.0,-0.02883808721082908,0.028521208022761476,-0.25651606353452167,76561198039309853,enpitsu,26.0,19.110000610351562,-170.0,92.30000305175781,-690.6999969482422,17912.7001953125,1091.2000274658203,-4318.299865722656,-1689.7999572753906,2957.3001098632812,255.0,255.0,,-0.880796696373492,1.4790521209161285,-0.06729062705962022,True,31.0,False,2,False,1,,bf81d8692db,games5425898691,19.0,2736.449951171875,-4087.830078125,17.010000228881836,19585.10009765625,-6067.8997802734375,2.3000000417232513,-0.7000000029802322,0.3999999910593033,1909.1999816894531,255.0,255.0,,-0.009566404574670387,-2.905358130931607,8.710962468503065e-05,True,0.0,False,False,False,False,,Hem-Ger,4240629156042561904,11.0,32.900001525878906,145.86000061035156,51.75,-95.9000015258789,-19860.699462890625,3200.4000854492188,-4904.599914550781,175.9000015258789,-2482.5999450683594,255.0,0.0,,0.05427452815057971,-1.3511107046434976,0.009258230780642812,True,False,0.0,False,3,False,,KawaNoKami_,5901631034587982636,14.0,-0.0,4608.0,16.239999771118164,-0.0,-0.0,52.800002098083496,11.399999856948853,-0.0,0.0,,,,-0.008491541561363143,-1.570798977728596,1.1095009655162057e-08,,85.0,False,False,False,False,
8,861,15,False,False,0,5182.038603812854,46.91999816894531,44.470001220703125,146.92999267578125,19963.399658203125,-8257.899780273438,11092.80029296875,-3712.3001098632812,-80.50000190734863,4712.900085449219,0.0,-0.03360740640291084,-0.07554033706877183,-0.7816822236517135,4240629156042561904,Hem-Ger,11.0,-33.77000045776367,-69.31999969482422,77.97000122070312,-131.30000114440918,7511.9000244140625,4433.599853515625,4846.099853515625,-220.0,-1973.3999633789062,255.0,11.0,,-0.6500553270859606,0.9867500854182291,0.2568984235545898,True,0.0,False,4,False,False,,5901631034587982636,KawaNoKami_,14.0,0.0,-4608.0,16.239999771118164,0.0,0.0,52.800002098083496,-11.399999856948853,0.0,0.0,,,,0.008491541561363143,1.570798977728596,1.1095009655162057e-08,,85.0,False,False,False,False,,enpitsu,76561198039309853,26.0,-19.110000610351562,170.0,92.30000305175781,690.6999969482422,-17912.7001953125,1091.2000274658203,4318.299865722656,1689.7999572753906,2957.3001098632812,255.0,255.0,,0.880796696373492,-1.4790521209161285,-0.06729062705962022,True,1,31.0,False,2,False,,games5425898691,bf81d8692db,19.0,-2918.469970703125,4126.4501953125,17.010000228881836,-19929.200439453125,2615.1998901367188,2.3000000417232513,0.09999999776482582,-0.3999999910593033,1969.4999694824219,128.0,255.0,,0.009601942021078773,3.0842859633175923,2.1633871743852087e-05,True,255.0,False,False,False,False,310.0
9,962,19,False,False,1,4023.416830599386,-2259.14990234375,2643.419921875,212.9199981689453,10583.800048828125,16932.60009765625,9710.599975585938,3925.8999633789062,4535.400085449219,-127.70000457763672,1.0,-0.3852606521029491,-2.11835171014671,-2.627449083396613,76561198039309853,enpitsu,26.0,-2317.93994140625,2516.93994140625,102.16999816894531,22.59999990463257,16140.50048828125,2492.100067138672,798.3000183105469,2216.0000610351562,-2675.5999755859375,,,,-0.004635432707888431,1.6129262237390025,0.0385183236265671,True,,False,4,False,2,,bf81d8692db,games5425898691,19.0,3072.280029296875,2939.6201171875,17.010000228881836,-4130.7000732421875,22148.60107421875,2.0999999344348907,-0.09999999776482582,0.5999999865889549,102.20000267028809,255.0,151.0,,-0.009592247770783978,1.3867014747288013,4.330154557907239e-06,True,255.0,False,False,False,False,,Hem-Ger,4240629156042561904,11.0,518.5,806.5399780273438,116.88999938964844,292.1999931335449,17038.499755859375,-156.09999656677246,-5469.6002197265625,572.0000076293945,-79.0999984741211,255.0,,,-1.3023346888190614,-1.519116404125502,-3.0870714409683773,True,3,,False,6,False,,KawaNoKami_,5901631034587982636,17.0,-0.0,4608.0,17.010000228881836,-0.0,-0.09999999776482582,2.0999999344348907,0.5999999865889549,-0.0,0.0,,,,-0.009544408615608195,-1.570788551888575,-3.701008606201032e-08,,85.0,False,False,False,False,
