,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,shot_taker_handbrake
0,177,0.0,False,False,0,5230.2120903060595,10.59000015258789,-11.039999961853027,112.08000183105469,3095.1998901367188,6574.89990234375,4582.699890136719,5866.400146484375,144.49999809265137,1250.2999877929688,0.0,0.008911438481356563,-0.031499513766393074,0.29787240420894284,bf81d8692db,games5425898691,16.0,1.0199999809265137,-129.91000366210938,87.33000183105469,435.2000045776367,8663.800048828125,-1839.4000244140625,-5392.9998779296875,-167.99999237060547,1066.1000061035156,128.0,128.0,1.5481134701393804,1.219378109524326,-0.3863069079096394,True,31.0,False,4,False,3,,76561198039309853,enpitsu,25.0,0.0,-3470.110107421875,17.049999237060547,0.0,11162.19970703125,2.5999999046325684,-0.7999999821186066,0.0,0.0,255.0,,,0.016632330628017163,1.5707739685911055,7.384306930989258e-06,True,116.0,False,False,False,False,,milkay,1946625956288759256,11,-3123.719970703125,4082.2900390625,17.010000228881836,-19297.7001953125,-3769.8001098632812,2.5,0.19999999552965164,0.09999999776482582,3159.2999267578125,255.0,255.0,False,0.009598239433121195,-2.558335901985378,9.310864319199751e-05,True,255.0,False,False,False,False,,Hs_Ob1,6824888005443887466,10.0,-7.909999847412109,198.05999755859375,76.18000030517578,-514.0999984741211,-22846.0009765625,2591.6000366210938,4973.0999755859375,-111.5999984741211,0.0,255.0,128.0,,0.15630525374298898,-1.593289844801535,1.3967436630810841e-05,True,4,False,3,9.0,False,,
1,179,0.0,False,False,1,5216.000990577022,-33.52000045776367,7.489999771118164,129.8000030517578,-5871.7999267578125,2763.2998657226562,1903.0000305175781,-1002.6000213623047,1183.3999633789062,1990.5000305175781,1.0,0.0099799318718622,-0.006186943039489179,0.4764926550137249,6824888005443887466,Hs_Ob1,10.0,14.699999809265137,-150.5399932861328,110.55000305175781,830.0,-34.50000047683716,4661.000061035156,-1463.2000732421875,-853.0000305175781,3280.4998779296875,255.0,151.0,0.11649759429540703,1.3642911587068018,-0.038200967070073796,True,9.0,False,4,False,3,,1946625956288759256,milkay,11.0,3275.050048828125,-4040.760009765625,17.010000228881836,16926.8994140625,6082.0001220703125,2.8999999165534973,-0.0,-0.09999999776482582,3461.6000366210938,255.0,255.0,False,-0.009607160782549865,2.2807264565433916,5.977844968484039e-05,True,255.0,False,False,False,False,,enpitsu,76561198039309853,25,-0.0,3470.110107421875,17.049999237060547,-0.0,-11162.19970703125,2.5999999046325684,0.7999999821186066,-0.0,0.0,255.0,0.0,,-0.016632330628017163,-1.5707739685911055,7.384306930989258e-06,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,16.0,-8.170000076293945,145.9499969482422,82.91999816894531,-915.2999877929688,1101.2999725341797,-161.39999389648438,4936.099853515625,-1641.300048828125,-1786.0000610351562,128.0,128.0,,-1.38961922275227,2.01283183672378,3.0399922726551387,True,4,False,3,31.0,False,,
2,180,0.0,False,False,0,5234.428041546781,71.69999694824219,-4.199999809265137,137.25,5825.30029296875,2160.8999633789062,761.6000366210938,3554.2001342773438,-1553.3000183105469,-1718.3000183105469,0.0,-0.1061314542481683,-0.05935487512663342,0.6715781488150725,bf81d8692db,games5425898691,16.0,8.170000076293945,-145.9499969482422,82.91999816894531,915.2999877929688,-1101.2999725341797,-161.39999389648438,-4936.099853515625,1641.300048828125,-1786.0000610351562,128.0,128.0,1.38961922275227,-2.01283183672378,3.0399922726551387,True,31.0,False,4,False,3,,76561198039309853,enpitsu,25.0,0.0,-3375.39990234375,17.049999237060547,0.0,11524.200439453125,2.5999999046325684,-0.7999999821186066,0.0,0.0,255.0,0.0,,0.01663996057262259,1.5707739685896862,-2.458076657346404e-07,True,116.0,False,False,False,False,,milkay,1946625956288759256,11,-3397.669921875,3978.929931640625,17.010000228881836,-12665.6005859375,-8430.399780273438,3.1999999284744263,0.0,0.09999999776482582,3625.5999755859375,255.0,255.0,False,0.009590324913741535,-1.983665136186361,4.947704474225326e-05,True,255.0,False,False,False,False,,Hs_Ob1,6824888005443887466,10.0,-20.860000610351562,152.92999267578125,139.1300048828125,-722.0999908447266,295.6999969482422,677.0999908447266,5142.8997802734375,1913.9999389648438,370.09998321533203,255.0,180.0,,0.3985695111810475,-1.1860449297418085,-0.03400741084349329,True,4,False,3,9.0,False,,
3,229,1.0,False,False,0,5231.9719342634,876.0499877929688,217.25999450683594,94.2699966430664,4742.5,8932.899780273438,1945.3999328613281,1444.2999267578125,2496.0000610351562,1276.6999816894531,0.0,-0.6157202580729488,0.4889648114710988,-2.7828502247492137,bf81d8692db,games5425898691,16.0,829.77001953125,40.70000076293945,16.989999771118164,7547.9998779296875,5544.2999267578125,4.900000095367432,-0.7999999821186066,-0.3999999910593033,2168.300018310547,128.0,249.0,0.009631757157801915,0.6713434044348542,8.632189685280016e-05,True,2.0,False,4,False,4,,76561198039309853,enpitsu,25.0,980.969970703125,-380.7200012207031,17.049999237060547,5124.4000244140625,22421.79931640625,2.5,0.0,0.5000000074505806,0.0,255.0,255.0,,0.01677904698746375,1.346114427390761,-4.2575488167771185e-05,True,0.0,False,1,False,False,,milkay,1946625956288759256,9,-1709.239990234375,4209.75,17.010000228881836,17755.10009765625,5543.4002685546875,2.0999999344348907,-0.5000000074505806,0.0,-48.80000114440918,255.0,128.0,False,0.009594490534526715,0.2962525784037621,7.350104128345688e-05,True,179.0,False,False,False,False,,Hs_Ob1,6824888005443887466,10.0,187.82000732421875,96.8499984741211,17.010000228881836,7398.4002685546875,1682.5,2.3000000417232513,0.09999999776482582,0.09999999776482582,2388.2000732421875,255.0,250.0,,0.009507834696588016,0.2406793084831207,-2.947861470094018e-05,True,4,False,4,5.735819244897494,True,,
4,236,2.0,False,False,0,5048.44680505612,992.75,458.17999267578125,129.47000122070312,3028.5000610351562,23577.39990234375,5787.7001953125,5545.8001708984375,1848.9999389648438,1350.5999755859375,0.0,-0.27808812692065826,0.515346071315547,-2.039291265726378,bf81d8692db,games5425898691,17.0,988.0900268554688,263.9100036621094,41.369998931884766,5941.300048828125,20362.19970703125,5828.599853515625,-3374.5999145507812,-3789.5999145507812,1072.2000122070312,255.0,128.0,0.037687566275451154,0.9446327668051256,-0.36561782545794413,True,32.0,False,4,False,4,,76561198039309853,enpitsu,25.0,1051.3399658203125,89.88999938964844,46.099998474121094,1844.6000671386719,22664.89990234375,3449.1000366210938,-415.2000045776367,4.399999976158142,2131.1000061035156,255.0,255.0,,0.025401247501359255,1.6336092984025925,0.0008132771738014774,True,0.0,False,2,False,1,,milkay,1946625956288759256,9,-1130.0999755859375,4382.1298828125,17.010000228881836,18001.800537109375,4476.600036621094,2.199999988079071,-1.2999999523162842,-0.29999999329447746,-1372.7000427246094,255.0,0.0,False,0.009594675836705428,0.22702264492916008,-0.00019304858794101266,True,179.0,False,False,False,False,,Hs_Ob1,6824888005443887466,10.0,375.9700012207031,203.27000427246094,17.010000228881836,7046.7999267578125,6804.000244140625,2.3000000417232513,-0.29999999329447746,0.0,2333.699951171875,255.0,250.0,,0.009524769996806733,0.8141317597596177,2.3541613808956828e-05,True,4,False,4,0.0,False,,
5,274,3.0,False,False,1,9044.87511429096,-1410.219970703125,-3605.919921875,304.8599853515625,-31708.701171875,-8432.39990234375,966.9000244140625,146.19999885559082,-120.79999923706055,5996.9000244140625,1.0,0.382777655178238,-0.3739742782016194,-0.09218141509230265,1946625956288759256,milkay,9.0,-1206.489990234375,-3655.969970703125,218.33999633789062,-20503.30078125,7901.5997314453125,2733.800048828125,233.29999923706055,404.3000030517578,241.39999389648438,255.0,98.0,0.6903137990848769,0.08255380466597662,-0.10928355207821397,True,172.0,False,4,False,False,,6824888005443887466,Hs_Ob1,9.0,-947.3400268554688,-1815.2900390625,17.010000228881836,-6029.0997314453125,-12584.300537109375,2.199999988079071,1.0999999940395355,2.5,-1424.4000244140625,255.0,0.0,,-0.00957350556232838,-1.1191627530171175,-0.00017187595957449353,True,0.0,False,4,False,4,,enpitsu,76561198039309853,25,-1617.8199462890625,-2647.820068359375,15.930000305175781,-10569.100341796875,-10306.199951171875,163.4000015258789,75.19999980926514,52.89999961853027,-1997.2000122070312,255.0,0.0,,-0.016087580720486338,-0.6699558247318328,0.0057886455720034605,True,0.0,False,2,2,False,,games5425898691,bf81d8692db,17.0,-1374.699951171875,-2957.56005859375,47.04999923706055,-2527.7000427246094,-18909.300537109375,-797.9000091552734,-3016.400146484375,1475.0999450683594,-1625.5999755859375,255.0,128.0,,1.2887425063145355,2.638904364344954,0.03511636981055508,True,4,False,4,32.0,False,,False
6,362,6.0,False,False,1,6291.840962064964,-3369.860107421875,515.0999755859375,215.7100067138672,9192.5,24479.89990234375,2688.0999755859375,-197.5,-2074.499969482422,5626.400146484375,1.0,-0.10367260429076329,-0.8895374804970415,-0.2869332009577638,1946625956288759256,milkay,9.0,-3447.31005859375,444.9100036621094,80.7300033569336,5508.800048828125,21431.39892578125,615.9999847412109,-2034.9000549316406,4223.500061035156,-2875.7998657226562,255.0,93.0,-0.7584143271110136,1.9607866448073716,0.08677154776619897,True,37.0,False,6,False,3,,6824888005443887466,Hs_Ob1,9.0,-2253.68994140625,-4822.2099609375,17.010000228881836,13561.500244140625,2537.5999450683594,2.3000000417232513,0.19999999552965164,-0.0,2209.7000122070312,255.0,255.0,,-0.009568158975818766,2.8886817050163622,-1.8043684097526927e-05,True,0.0,False,4,False,4,,enpitsu,76561198039309853,25,-3679.669921875,659.8599853515625,17.049999237060547,2792.39990234375,17624.000244140625,-1.5000000596046448,0.29999999329447746,2.0999999344348907,-1841.4999389648438,255.0,128.0,,-0.016807607786018437,1.7764178544398412,-0.00012336441805729673,True,218.0,False,2,2,False,,games5425898691,bf81d8692db,17.0,-3797.780029296875,-2285.719970703125,16.940000534057617,1486.1000061035156,22951.8994140625,4.600000083446503,-1.5999999642372131,5.899999737739563,-34.90000009536743,255.0,128.0,,-0.009255634917037894,1.6400028818436476,-0.0014502444301359762,True,4,False,4,164.0729375039378,True,,
7,509,12.0,True,True,1,1071.5487016198026,58.150001525878906,4472.0,596.9199829101562,10320.799560546875,20026.700439453125,-13546.400146484375,-5869.0997314453125,-685.1000213623047,-1041.1000061035156,1.0,0.1912206703323725,-1.2377553387805822,0.14280191829674344,6824888005443887466,Hs_Ob1,9.0,-2.7799999713897705,4339.169921875,716.9400024414062,815.8000183105469,21123.40087890625,2351.0000610351562,-4474.700012207031,326.5999984741211,-3181.099853515625,255.0,101.0,-0.8855883363458723,1.4251543557422592,0.25117963263222887,True,0.0,False,8,False,6,,1946625956288759256,milkay,9.0,-2341.860107421875,3923.330078125,17.010000228881836,9075.2001953125,-8584.199829101562,2.3999999463558197,-0.7000000029802322,0.5000000074505806,2279.7000122070312,255.0,255.0,,-0.009570013464277933,-2.4410918069206944,8.217295627464003e-05,True,255.0,False,6,False,4,,enpitsu,76561198039309853,25,-119.55999755859375,4545.85009765625,530.989990234375,10678.199462890625,5149.1998291015625,-145.2999973297119,-2217.899932861328,1716.7999267578125,-4731.000061035156,255.0,128.0,,0.305507285428677,-2.5355182589070577,-1.5307414733662015,True,8.0,False,6,3,False,,games5425898691,bf81d8692db,17.0,-450.5899963378906,4868.31005859375,666.3300170898438,22493.798828125,821.2999725341797,-226.10000610351562,-3322.9000854492188,-475.49999237060547,4356.7999267578125,255.0,128.0,,-0.41145841463350175,1.1636750319455602,0.9168867468235163,True,8,False,7,17.54324283138398,True,,
8,773,12.0,False,False,1,5125.036953482637,51.31999969482422,85.05000305175781,95.3499984741211,15739.000244140625,26421.39892578125,1304.9000549316406,-3027.0999145507812,1352.4000549316406,2735.1998901367188,1.0,0.04951661242731879,-0.08881376777223501,0.09879620687265361,6824888005443887466,Hs_Ob1,9.0,-65.11000061035156,-128.39999389648438,78.69999694824219,11493.499755859375,15975.999755859375,3316.4999389648438,2294.600067138672,-1068.0999755859375,1458.8999938964844,255.0,101.0,-0.09105151712732873,2.0754285573340066,0.004232838246587502,True,0.0,False,4,False,3,,1946625956288759256,milkay,9.0,-2772.0400390625,-4095.2900390625,17.010000228881836,-16722.80029296875,-3060.10009765625,2.5,-0.0,0.09999999776482582,-2724.89990234375,255.0,0.0,True,-0.009601142023087511,-0.03561290855924691,-0.00012578260231034421,True,0.0,False,False,False,False,,enpitsu,76561198039309853,25,42.619998931884766,3403.320068359375,17.049999237060547,148.99999618530273,-14219.49951171875,2.3000000417232513,0.5999999865889549,-0.0,0.0,255.0,128.0,False,-0.01672409676892225,-1.581288946846803,3.755955673981476e-06,True,69.0,False,False,False,False,,games5425898691,bf81d8692db,17.0,99.58999633789062,240.32000732421875,79.9000015258789,-3956.7999267578125,-22501.8994140625,1996.6000366210938,5474.2999267578125,-529.3000030517578,39.20000076293945,128.0,128.0,,-0.7053114940639508,-1.4803884020285034,0.0047083449605356455,True,4,False,3,0.0,False,,
9,775,12.0,False,False,0,5261.535362154213,-182.5500030517578,-72.94000244140625,186.3699951171875,-21808.798828125,-1763.6000061035156,10177.60009765625,1.2999999523162842,-396.3999938964844,-5677.19970703125,0.0,-0.37619450200841037,-0.06081166539777946,0.6435903594804268,bf81d8692db,games5425898691,17.0,-104.0,-159.08999633789062,75.41999816894531,-2138.8999938964844,6681.9000244140625,-293.799991607666,-4605.199890136719,-1914.7999572753906,2318.3999633789062,128.0,128.0,1.2665139626048048,1.526852606343511,-0.29828171797106035,True,0.0,False,4,False,3,,76561198039309853,enpitsu,25.0,-44.18000030517578,-3249.27001953125,17.049999237060547,-148.99999618530273,14219.49951171875,2.5,-0.5999999865889549,0.0,0.0,255.0,128.0,False,0.01672409676892225,1.581288946846803,3.755955673981476e-06,True,69.0,False,False,False,False,,milkay,1946625956288759256,9,2951.340087890625,4115.990234375,17.010000228881836,16255.0,845.8999633789062,2.5999999046325684,0.09999999776482582,0.0,-3190.4998779296875,255.0,0.0,False,0.009599152879836606,-0.2891198477835456,-8.354579690320425e-05,True,255.0,False,False,False,False,,Hs_Ob1,6824888005443887466,9.0,-31.06999969482422,35.400001525878906,129.82000732421875,-7240.7000732421875,-2720.10009765625,6065.8001708984375,-741.2999725341797,-3869.2001342773438,-2043.699951171875,255.0,46.0,True,-0.21004259127948266,-2.3769534882993297,0.3107513578845709,True,4,False,3,0.0,False,,
10,859,15.0,False,False,1,4716.451178375082,2539.739990234375,719.25,324.6600036621094,544.7000122070312,15825.699462890625,3962.0999145507812,-2928.3999633789062,-4035.8999633789062,827.3000335693359,1.0,-0.5079923148666153,1.789668261761195,0.8348482423764254,6824888005443887466,Hs_Ob1,9.0,2478.72998046875,614.0700073242188,173.16000366210938,4720.7000732421875,3795.7998657226562,2262.7999877929688,980.2999877929688,-1195.1000213623047,41.10000133514404,255.0,128.0,0.7050936061661268,2.43181255860441,-0.007759382698571473,True,31.0,False,6,False,4,,1946625956288759256,milkay,9.0,-338.0199890136719,-2874.929931640625,17.010000228881836,10591.600341796875,9242.19970703125,2.3000000417232513,0.19999999552965164,0.29999999329447746,-1624.2999267578125,255.0,0.0,False,-0.009577891972833461,2.434035161564002,-0.00028712433931171613,True,255.0,False,False,False,False,,enpitsu,76561198039309853,25,2450.199951171875,851.4400024414062,292.92999267578125,2829.5001220703125,-22146.4990234375,2820.10009765625,4204.100036621094,-1893.9999389648438,2997.7999877929688,255.0,0.0,False,0.2602817074805536,-1.987138244685477,0.6487133559854089,True,44.0,False,2,1,False,,games5425898691,bf81d8692db,17.0,3364.0400390625,-115.73999786376953,46.2599983215332,16346.800537109375,-1226.9999694824219,-2137.100067138672,-1337.2000122070312,2083.800048828125,1868.8999938964844,255.0,255.0,,0.41506004534221885,2.910211807596662,-0.11589559797716124,True,6,False,6,0.0,False,,False
