,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,177,0,False,False,0,5183.4173878287675,-11.880000114440918,32.540000915527344,94.70999908447266,-9075.599975585938,23572.19970703125,2331.6000366210938,212.09999084472656,160.30000686645508,5994.0997314453125,0.0,0.0037975574595484774,0.1588353730848321,0.005935987062637333,76561198039309853,enpitsu,27.0,43.290000915527344,-268.2799987792969,89.54000091552734,6177.60009765625,22019.19921875,2312.5999450683594,-3596.199951171875,4100.7000732421875,-707.6000213623047,255.0,0.0,,0.49737858311455824,1.6091260337725215,0.45179303237242263,True,1,22.0,False,2,False,,bf81d8692db,games5425898691,21.0,-3250.340087890625,-4034.449951171875,17.010000228881836,-15122.19970703125,7535.7000732421875,2.3000000417232513,-0.3999999910593033,0.0,-1986.6000366210938,255.0,0.0,,0.009574812968223757,2.6095378743114606,-5.3682025665499584e-05,True,255.0,False,False,False,False,,AyseAmZocken09,b23e57418fb,4.0,1434.27001953125,1181.1800537109375,17.049999237060547,13775.699462890625,5906.9000244140625,3.3000001311302185,0.19999999552965164,0.0,2323.0999755859375,255.0,255.0,False,0.016781701265792922,0.5026896774809563,-8.55106745575526e-05,True,False,0.0,False,False,False,,TR James69,bbd5ccab85b,10.0,110.05999755859375,502.05999755859375,93.69000244140625,5093.599853515625,-18706.99951171875,2660.5999755859375,4363.2000732421875,-3320.7998657226562,-429.1999816894531,255.0,0.0,True,0.06323133741747522,-0.6802572868985098,0.8401837044452902,True,6,5,False,22.0,False,
1,298,4,False,False,1,10266.003151071292,2653.590087890625,-4974.43017578125,825.6500244140625,-12919.69970703125,12062.2998046875,1135.199966430664,-1747.2999572753906,-1071.6000366210938,-5639.000244140625,1.0,0.31738127163351665,-2.120563776643142,-1.787202478765413,b23e57418fb,AyseAmZocken09,4.0,2822.3701171875,-5068.91015625,782.5700073242188,-16335.0,-4720.299987792969,10101.400146484375,-157.39999771118164,-1933.5000610351562,-1602.7999877929688,255.0,0.0,,0.4889196968542624,-0.2874035591648248,1.5455430351197563,True,4,179.83300643582507,True,4,False,,bbd5ccab85b,TR James69,9.0,-3157.2099609375,-3950.969970703125,47.02000045776367,3551.6000366210938,-22301.69921875,-2571.9000244140625,1468.800048828125,131.30000114440918,-91.30000114440918,243.0,,False,0.1349230624679586,-2.01334465366264,-0.11515495522425427,True,255.0,False,8,8,False,,games5425898691,bf81d8692db,21.0,3839.330078125,-4139.10009765625,1130.2099609375,-7262.8997802734375,-8845.499877929688,-330.29998779296875,217.19999313354492,607.599983215332,-5462.0001220703125,255.0,9.0,,-0.6788176810500038,0.18762880376515997,1.3767353799596491,True,6,199.0,False,5,False,,enpitsu,76561198039309853,27.0,3193.820068359375,-3542.419921875,17.049999237060547,9350.399780273438,-10750.10009765625,3.6000001430511475,0.7000000029802322,-0.9000000357627869,-2848.9999389648438,255.0,0.0,False,-0.016768085495406978,-2.1425038073437803,-9.765042509704859e-05,True,4,4,False,,False,
2,363,6,False,False,1,7579.067518047188,-81.70999908447266,-2375.739990234375,344.2799987792969,-12051.500244140625,22194.49951171875,6639.4000244140625,3231.7001342773438,-4128.699951171875,2917.0999145507812,1.0,1.1139028444388335,2.334732879934904,1.3977497481979348,bbd5ccab85b,TR James69,9.0,-14.800000190734863,-2537.89990234375,177.5800018310547,6150.30029296875,21464.69970703125,-10.399999618530273,-1281.9000244140625,-4433.500061035156,-2991.6000366210938,217.0,255.0,False,0.4582952578481494,1.655252518113028,-0.8448596620804533,True,9,181.0,False,10,False,,b23e57418fb,AyseAmZocken09,4.0,259.30999755859375,-3035.139892578125,17.030000686645508,-12928.800048828125,17041.800537109375,5.199999809265137,-0.0,-0.0,1.899999976158142,255.0,128.0,False,-0.01678004802051457,0.921551130182897,1.2003647557840156e-05,True,24.0,False,6,4,False,,games5425898691,bf81d8692db,21.0,1691.27001953125,-5102.66015625,183.7100067138672,-11687.60009765625,205.40000915527344,-10155.700073242188,999.1999816894531,-346.1000061035156,-123.99999618530273,255.0,60.0,,-0.7091300392891008,0.0032010492374732152,1.5579965383838175,True,6,167.67275686674222,True,6,False,,enpitsu,76561198039309853,27.0,1725.7099609375,-2625.050048828125,87.23999786376953,-5626.199951171875,17586.099853515625,-144.20000076293945,-5322.8997802734375,-1384.1000366210938,-12.999999523162842,255.0,128.0,False,0.897645867981379,-1.8222605598771877,-3.137800791097186,True,6,6,False,,False,
3,482,11,False,False,1,3932.8948757818075,-2763.159912109375,3698.39990234375,179.5500030517578,13249.300537109375,900.5999755859375,6936.400146484375,5149.7998046875,-282.00000762939453,3065.7998657226562,1.0,0.7686053675896336,0.4359494713684132,-2.4692076319253893,b23e57418fb,AyseAmZocken09,4.0,-2790.2900390625,3683.010009765625,62.40999984741211,9604.69970703125,4361.600036621094,2180.8999633789062,-202.00000762939453,2565.10009765625,-1855.8000183105469,128.0,128.0,False,-0.07950060064621196,2.784561346934345,0.017912604682728792,True,6,95.0,False,10,False,,bbd5ccab85b,TR James69,10.0,740.7000122070312,735.8699951171875,17.010000228881836,-12905.400390625,2064.600067138672,2.0999999344348907,-3.700000047683716,0.5999999865889549,-674.3000030517578,248.0,128.0,False,-0.009579497319956772,0.20447087630311098,7.472110140766126e-05,True,212.0,False,10,10,False,,games5425898691,bf81d8692db,21.0,1346.72998046875,3708.5400390625,16.309999465942383,646.9000244140625,21831.69921875,7.599999904632568,228.50000381469727,191.29999160766602,1628.3000183105469,255.0,255.0,,-0.015787379196258965,1.5618020167614368,-0.002103467721841316,True,10,153.0,False,8,False,,enpitsu,76561198039309853,27.0,-1864.0999755859375,4264.97021484375,29.700000762939453,-16105.2001953125,-16122.900390625,3110.0,7.099999785423279,5.600000023841858,639.1999816894531,128.0,128.0,False,-0.01686868264541611,-0.841229818386634,-0.0005452497832509764,True,10,8,False,47.0,False,
4,533,12,False,False,0,9085.857438003775,363.1199951171875,-3858.18994140625,328.1300048828125,-8822.000122070312,6302.1002197265625,12290.799560546875,4190.7000732421875,-4290.10009765625,-179.3000030517578,0.0,0.2630910794084465,-1.48417727888809,-1.6831451924488354,bf81d8692db,games5425898691,21.0,378.010009765625,-3934.219970703125,142.94000244140625,616.8000030517578,10064.600219726562,6152.80029296875,1291.6000366210938,-785.9999847412109,3125.2999877929688,255.0,192.0,,-0.2625101398846498,2.2249061130600545,-0.3463605748177267,True,8,153.0,False,12,3,,76561198039309853,enpitsu,27.0,2910.860107421875,-1823.8599853515625,16.8700008392334,4606.700134277344,-468.3000183105469,46.79999828338623,-14.500000476837158,-3.3000001311302185,-2177.7999877929688,255.0,0.0,False,0.01685261380071098,-0.2419829187284977,0.0008041483630040145,True,34.4252648122849,True,10,10,False,,AyseAmZocken09,b23e57418fb,4.0,1118.56005859375,-4484.419921875,274.739990234375,-12492.7001953125,-1244.1999816894531,-4407.900085449219,-317.8000068664551,-23.299999237060547,730.8999633789062,255.0,128.0,False,0.3337801892577554,2.5550835261061096,0.024850982631437316,True,10,29.87651641650868,True,6,4,,TR James69,bbd5ccab85b,10.0,179.25,-3418.919921875,174.25999450683594,-2010.5000305175781,-22749.3994140625,2652.0001220703125,-1219.8999786376953,-61.79999828338623,2693.699951171875,213.0,165.0,False,-0.6807894953988324,-1.2881398402875608,0.44829994773750165,True,12,10,False,150.0,False,
5,635,16,False,False,0,7015.202727489623,-2762.320068359375,-1622.3900146484375,327.69000244140625,-24932.099609375,21619.49951171875,-3005.7000732421875,2550.0,-3508.599853515625,-3468.0999755859375,0.0,-0.3915369818958128,-0.2519457728454559,1.7275296307966241,bf81d8692db,games5425898691,21.0,-2543.77001953125,-1798.22998046875,256.2200012207031,-19833.599853515625,11206.700439453125,3167.60009765625,-4245.199890136719,-2349.600067138672,2589.8001098632812,255.0,10.0,,-0.2373343542913521,2.708825359732246,0.5034504734268769,True,9,23.273402408886977,True,14,4,,76561198039309853,enpitsu,27.0,150.50999450683594,-4221.27001953125,17.040000915527344,-17410.899658203125,-471.89998626708984,3.8999998569488525,-0.5000000074505806,0.0,54.000000953674316,255.0,0.0,,0.01677603487701421,-3.1083637464843483,-6.117421198581986e-05,True,216.0,False,10,10,False,,AyseAmZocken09,b23e57418fb,4.0,-3568.659912109375,20.950000762939453,17.049999237060547,-7853.2000732421875,7703.3001708984375,3.1999999284744263,0.3999999910593033,2.0000000298023224,-1848.2000732421875,128.0,0.0,,0.016951566823641087,2.355051519433957,-0.000263510759442887,True,12,255.0,False,8,4,,TR James69,bbd5ccab85b,10.0,-69.62999725341797,-2139.610107421875,85.0,981.6999816894531,22836.39892578125,1981.6999816894531,-3714.8001098632812,4047.39990234375,-260.9000015258789,179.0,8.0,True,0.2475403228197365,2.1179118376064263,0.9018506898001563,True,16,15,False,70.0,False,
6,758,21,False,False,1,9038.519218776783,2740.659912109375,-3708.280029296875,424.80999755859375,16078.699951171875,21040.80078125,-3749.5001220703125,2939.89990234375,4483.399963378906,1049.1999816894531,1.0,0.34386132923206425,-3.0807595300754604,3.0686336635887437,bbd5ccab85b,TR James69,10.0,2534.22998046875,-3955.989990234375,407.75,18220.699462890625,8792.80029296875,693.7000274658203,1518.8999938964844,3056.400146484375,-1294.9000549316406,252.0,111.0,False,0.026685733850811237,2.6612155285793997,-2.3765729490981458,True,16,107.40712246330837,True,18,4,,b23e57418fb,AyseAmZocken09,4.0,2910.510009765625,-5037.5400390625,449.45001220703125,-11708.499755859375,-4687.699890136719,-5257.1002197265625,1577.8999328613281,-2374.199981689453,-1444.1000366210938,255.0,0.0,True,-0.46892091884525805,-0.39627460089797895,1.5820682195715876,True,241.0,False,12,8,4,,games5425898691,bf81d8692db,21.0,2705.3798828125,-3817.6298828125,220.32000732421875,1977.7000427246094,-19764.49951171875,1977.2999572753906,1267.3999786376953,2436.7999267578125,-4765.0,255.0,255.0,,0.9403482598192554,-1.6401435013953631,-0.7908501428807536,True,18,13.0,False,13,4,,enpitsu,76561198039309853,27.0,926.8599853515625,-715.22998046875,17.040000915527344,5357.0001220703125,-12212.5,4.399999976158142,-0.0,-0.0,2285.0999450683594,255.0,255.0,,-0.016741155406207256,-2.0491781341482356,6.687261610600285e-06,True,10,10,False,255.0,False,
7,862,24,False,False,1,4831.395697036244,3968.409912109375,1411.3699951171875,343.8800048828125,-3174.2999267578125,15511.300048828125,-7808.800048828125,-5869.7998046875,1201.500015258789,-318.50000381469727,1.0,-0.310314606184602,0.3878863700415407,0.2143903320516545,bbd5ccab85b,TR James69,9.0,4078.97998046875,1201.3199462890625,382.6099853515625,-2.0000000298023224,14494.89990234375,-4421.300048828125,37.10000038146973,0.09999999776482582,0.0,255.0,128.0,,-0.2736717592092387,1.5807465106301815,-1.5735186513883617,True,16,,False,18,4,,b23e57418fb,AyseAmZocken09,4.0,1698.199951171875,409.260009765625,17.030000686645508,-14274.69970703125,6695.2001953125,5.5000001192092896,0.5000000074505806,-0.5000000074505806,1937.1000671386719,128.0,255.0,,-0.016837121860627736,0.3829473969623402,8.278153864969907e-05,True,208.0,False,12,8,4,,games5425898691,bf81d8692db,21.0,2078.840087890625,-2829.110107421875,65.44000244140625,1771.3999938964844,17011.600341796875,-1371.9000244140625,-2972.60009765625,385.60001373291016,103.50000381469727,255.0,177.0,,0.7136581230490734,1.7300813104478534,0.018563889632761916,True,20,43.0,False,16,4,,enpitsu,76561198039309853,27.0,1799.050048828125,3320.090087890625,17.049999237060547,-560.2999877929688,6383.800048828125,2.5999999046325684,0.5999999865889549,-0.0,0.0,128.0,,,-0.016907884597634353,1.4832296473432847,-1.3133727430576436e-08,True,12,12,False,255.0,False,
8,912,26,False,False,1,2732.9003482673443,3195.68994140625,3663.4599609375,133.6699981689453,-19591.099853515625,6628.3001708984375,3183.2000732421875,-4373.2000732421875,1640.8000183105469,-3765.8999633789062,1.0,-0.08277295842684093,-0.5111641897184419,-1.2759900287517814,bbd5ccab85b,TR James69,10.0,3348.14990234375,3673.580078125,90.3499984741211,-12918.800048828125,2423.6000061035156,2218.2000732421875,5314.000244140625,-1263.1999969482422,644.5999908447266,188.0,255.0,,-0.06422287417931799,0.18751694606506566,-0.6371293574841337,True,17,,False,20,4,,b23e57418fb,AyseAmZocken09,4.0,40.52000045776367,1481.3299560546875,17.040000915527344,2200.2000427246094,13425.899658203125,3.799999952316284,-0.7999999821186066,-0.29999999329447746,-16.49999976158142,128.0,128.0,False,-0.016798526207290044,1.735397719360907,3.0647741558854456e-05,True,224.0,False,12,8,4,,games5425898691,bf81d8692db,21.0,1834.260009765625,1024.699951171875,15.710000038146973,-3229.7000122070312,22392.2998046875,-206.20000839233398,-359.00001525878906,512.400016784668,1207.6000213623047,255.0,245.0,,-0.016276139911521933,1.3862429768602935,0.006770185047812654,True,22,43.86455886851075,True,18,4,,enpitsu,76561198039309853,27.0,1736.800048828125,4029.56005859375,17.049999237060547,-207.80000686645508,2367.899932861328,2.5999999046325684,-0.5999999865889549,-0.09999999776482582,0.0,128.0,,,-0.016808459803954203,1.483228855268107,3.2747464262021358e-06,True,12,12,False,255.0,False,
9,932,27,False,False,0,9288.314043448287,-1782.6300048828125,-4105.89990234375,191.89999389648438,2393.5000610351562,13571.099853515625,568.3000183105469,1138.3000183105469,-1095.8999633789062,-5788.0999755859375,0.0,1.4472251935174196,1.6915271513993921,-1.3493284742692844,76561198039309853,enpitsu,27.0,-1703.510009765625,-4241.169921875,181.74000549316406,1971.3999938964844,562.5,438.49998474121094,-5346.400146484375,-315.9000015258789,1251.2999725341797,0.0,128.0,,-1.487784631154674,1.9315812493756495,2.8499435693617587,True,13,244.0,False,14,False,,bf81d8692db,games5425898691,21.0,-1170.75,-2425.719970703125,17.010000228881836,11704.89990234375,-19510.50048828125,2.0999999344348907,1.5000000596046448,-3.0000001192092896,881.6999816894531,255.0,255.0,,0.009606461521947935,-1.0247810044719219,9.902632342568848e-05,True,32.92411192001835,True,22,18,4,,AyseAmZocken09,b23e57418fb,4.0,-166.61000061035156,-2373.2900390625,17.040000915527344,-1171.2000274658203,-12111.800537109375,3.799999952316284,0.7000000029802322,-0.19999999552965164,7.599999904632568,128.0,128.0,False,0.016795378046503752,-1.666222602600285,-2.287528704262509e-05,True,12,224.0,False,8,4,,TR James69,bbd5ccab85b,10.0,-2481.68994140625,-3836.6298828125,89.9800033569336,13135.799560546875,-2488.000030517578,-854.7000122070312,-3081.6000366210938,991.3999938964844,214.69999313354492,254.0,128.0,,-0.03367691134879476,-0.2560996873431368,1.0299361645604697,True,20,18,4,,False,
