,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_dodge_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_ball_cam,opp_2_boost_collect,opp_2_handbrake
0,169,0,False,False,1,5181.3689441998795,-8.329999923706055,38.15999984741211,98.36000061035156,-4590.799865722656,26510.50048828125,3824.2999267578125,5324.0997314453125,1875.0,-2034.1999816894531,1.0,0.03990820904064511,0.03891388607509495,-0.10658167762841346,76561198132107045,NiveyK,5.0,11.4399995803833,-131.49000549316406,88.08000183105469,-7845.0,18818.1005859375,2263.800048828125,-4999.200134277344,1714.1999816894531,-1522.7000427246094,255.0,0.0,,-0.571856968797773,0.9917330188424075,0.5873459355495055,True,0.0,False,4,False,3,,76561199007016674,Queu deter,10.0,26.190000534057617,-1898.8199462890625,17.010000228881836,1071.8000030517578,12710.10009765625,2.7000001072883606,-0.0,-0.3999999910593033,0.0,255.0,128.0,,-0.009569820375049862,1.654951434482706,3.9986332158951073e-05,4,4,False,True,116.0,False,,enpitsu,76561198039309853,118,-1327.300048828125,1887.8800048828125,17.049999237060547,13018.699951171875,-9707.100219726562,-1.4000000059604645,1.0999999940395355,-0.7000000029802322,86.30000114440918,128.0,0.0,,-0.016791331785978834,-2.50990107547811,-7.830631021690698e-05,True,0.0,False,2,False,False,,games5425898691,bf81d8692db,18.0,2587.7900390625,3979.419921875,17.010000228881836,14255.899658203125,3034.1000366210938,2.800000011920929,3.100000023841858,0.7000000029802322,895.4000091552734,255.0,251.0,-0.00957883953798548,2.9357323393610413,0.00014880350046483887,False,False,0.0,False,False,True,,
1,273,3,False,True,1,1825.1459466958079,-400.3699951171875,3855.25,141.6300048828125,554.900016784668,27788.701171875,-7883.900146484375,-5726.5997314453125,-452.7000045776367,1732.2000122070312,1.0,0.6944940121494945,2.9833074847049614,1.4977565913084847,76561199007016674,Queu deter,10.0,-403.3699951171875,3634.4599609375,147.42999267578125,4424.599914550781,20020.2001953125,3183.699951171875,-147.39999771118164,5405.9002685546875,-1001.8000030517578,128.0,0.0,True,-0.080934321870365,1.6211362275847003,0.6412705219568114,True,61.73750554361647,True,6,False,5,,76561198132107045,NiveyK,5.0,-389.7799987792969,4243.77001953125,17.059999465942383,-1651.199951171875,-32.10000038146973,1.8000000715255737,0.5999999865889549,-0.7999999821186066,6.1000001430511475,0.0,128.0,,-0.017054578171675085,3.122467524197417,-5.811037615130335e-05,4,4,False,True,31.0,False,,enpitsu,76561198039309853,117,3708.7900390625,-998.97998046875,17.059999465942383,4944.599914550781,16420.6005859375,2.3000000417232513,-0.0,-0.09999999776482582,1932.5999450683594,255.0,128.0,,-0.01677468969010286,1.8041560785931392,4.647093782325658e-05,True,0.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,-499.9200134277344,5914.81005859375,412.4599914550781,10075.10009765625,-2698.2998657226562,2631.400146484375,1670.8999633789062,1421.7999267578125,1913.2000732421875,255.0,0.0,0.23867916720260526,-2.8677408618168037,2.39446430370128,False,False,147.0,False,False,True,,
2,276,3,False,True,1,1646.236555729642,-395.92999267578125,4119.7001953125,106.69999694824219,352.59998321533203,23045.400390625,4812.60009765625,-5973.699951171875,30.899999141693115,559.3000030517578,1.0,0.4049057091546312,2.4259158748751455,0.7606127996335896,76561198132107045,NiveyK,5.0,-416.6199951171875,4243.25,48.88999938964844,-2533.6000061035156,-48.20000171661377,3293.3999633789062,10.0,-513.6999893188477,1.0000000149011612,0.0,,,-0.004462179541377079,3.1222088202707843,-4.8467577021147946e-05,True,31.0,False,6,False,4,,76561199007016674,Queu deter,10.0,-358.6400146484375,3810.2099609375,176.8300018310547,4481.700134277344,17372.60009765625,2609.89990234375,366.3999938964844,5485.7000732421875,-147.70000457763672,,0.0,True,-0.022697004265785043,1.6209516220340576,1.4156501358239821,5,6,False,True,56.0,False,,enpitsu,76561198039309853,117,3751.72998046875,-720.27001953125,17.059999465942383,992.6999664306641,16833.1005859375,1.8000000715255737,-0.0,0.9000000357627869,382.2999954223633,255.0,,,-0.016775789848541518,1.5931868500175372,-0.0002336035596788907,True,,False,2,False,2,,games5425898691,bf81d8692db,18.0,-412.3999938964844,5897.10986328125,427.010009765625,10806.500244140625,-1512.7999877929688,1110.6999969482422,1330.8999633789062,1399.7999572753906,1935.5000305175781,255.0,0.0,0.10411286227140927,-3.0171203801979076,2.4845030328252835,False,False,147.0,False,False,True,,
3,469,10,False,False,1,4459.513399232761,-3387.409912109375,3899.169921875,98.91000366210938,-2344.499969482422,-1192.9000091552734,4840.10009765625,1307.5999450683594,-2570.0,-4725.199890136719,1.0,1.0576386768952983,-1.1733894607278739,-0.21467334635639976,76561198132107045,NiveyK,5.0,-3583.110107421875,3710.260009765625,17.030000686645508,7822.5,17566.99951171875,2.3999999463558197,-3.4999999403953552,9.49999988079071,-1517.8999328613281,255.0,0.0,False,-0.01645427828161822,2.0097123468107254,-0.0005980182305414645,True,145.39404738333914,True,6,False,6,,76561199007016674,Queu deter,10.0,-3422.52001953125,1164.5999755859375,17.010000228881836,8667.19970703125,10864.49951171875,2.5999999046325684,-0.29999999329447746,-0.7999999821186066,-3.3000001311302185,255.0,128.0,False,-0.009597281641258778,2.24473224384124,7.351894646239184e-05,10,10,False,True,255.0,False,,enpitsu,76561198039309853,112,233.58999633789062,5376.72998046875,18.219999313354492,993.0999755859375,964.1000366210938,31.90000057220459,32.89999961853027,3.400000035762787,-4.300000071525574,128.0,128.0,,-0.03655894994518501,-0.7771582778179029,-0.01930906511806399,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,-3716.47998046875,3708.0,16.989999771118164,5055.400085449219,11706.300048828125,9.300000071525574,6.299999952316284,23.599998950958252,-13.300000429153442,255.0,128.0,-0.009368067523987273,1.98011199731079,-0.001266574121601758,4,False,145.0,False,4,True,,
4,535,13,False,False,0,9352.505818177848,1501.1099853515625,-3900.090087890625,609.6099853515625,3657.39990234375,8751.099853515625,9624.69970703125,1888.0000305175781,-2090.2000427246094,-5297.7001953125,0.0,-0.5649925029817398,0.3311696964305697,-0.21597512211719214,bf81d8692db,games5425898691,18.0,1482.199951171875,-4061.6298828125,589.8699951171875,-6728.499755859375,9619.89990234375,421.3999938964844,-1963.0999755859375,3661.400146484375,3604.1000366210938,255.0,0.0,,0.07510054226494634,2.4722213636303234,2.0648232465216405,True,54.16861064972416,True,6,False,5,,76561198039309853,enpitsu,115.0,-207.30999755859375,-5337.3798828125,17.420000076293945,1127.0999908447266,959.4000244140625,-11.499999761581421,40.10000228881836,15.499999523162842,-723.4999847412109,128.0,128.0,,0.023739994001359184,0.8692479745910368,-0.011611877939501282,2,2,False,True,255.0,False,,NiveyK,76561198132107045,5,972.7000122070312,-3169.010009765625,17.040000915527344,-11973.199462890625,7357.80029296875,4.399999976158142,0.29999999329447746,-0.09999999776482582,0.0,255.0,128.0,False,0.016755728571626095,2.590567328875818,3.4077978279212533e-05,True,183.0,False,6,False,6,7.0,Queu deter,76561199007016674,10.0,1486.1600341796875,-3806.25,436.45001220703125,-9307.19970703125,-14880.6005859375,-958.3999633789062,-5167.1002197265625,1130.199966430664,1507.7000427246094,0.0,255.0,-0.8631690235923808,-2.0957308449616256,0.4768162800943646,12,4,163.0,False,10,True,,False
5,629,16,False,False,1,5387.237391566234,-2689.31005859375,1119.0699462890625,112.68000030517578,-9802.2998046875,19745.0,2703.900146484375,5861.500244140625,1221.3999938964844,-388.1999969482422,1.0,0.8723540263619732,1.4388032085340474,0.5456927538232882,76561198132107045,NiveyK,5.0,-2584.969970703125,915.9600219726562,17.040000915527344,-12061.99951171875,12452.19970703125,0.29999999329447746,0.5999999865889549,-0.5000000074505806,-15.099999904632568,255.0,128.0,,-0.016784228282021644,0.8030844507532783,6.472172646971355e-05,True,115.80031832828317,True,6,False,6,,76561199007016674,Queu deter,10.0,536.6799926757812,2636.889892578125,63.15999984741211,677.7999877929688,-18502.7001953125,-2134.600067138672,3130.4000854492188,3694.8001098632812,-516.1000061035156,255.0,255.0,False,0.15398693445416842,-0.8195379172172479,0.18148092430406448,12,14,4,True,163.0,False,,enpitsu,76561198039309853,115,192.6199951171875,5519.52001953125,23.59000015258789,162.39999771118164,621.3000106811523,24.600000381469727,-0.5000000074505806,-0.0,-0.3999999910593033,128.0,128.0,,-0.05495688451035626,-1.3191224594986914,-0.009831265074677164,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,-1135.8699951171875,2233.719970703125,17.020000457763672,-12550.6005859375,-254.40000534057617,1.4000000059604645,0.5999999865889549,-0.5999999865889549,0.0,255.0,128.0,-0.00951095610508757,-0.020290685902399488,5.873000071865571e-05,6,False,41.0,False,6,True,,
6,677,18,False,False,1,4862.846618184365,-3847.570068359375,4069.570068359375,371.54998779296875,5886.099853515625,6726.6998291015625,4467.900085449219,-2442.2000122070312,-2146.3999938964844,5042.60009765625,1.0,-0.8905456932100866,-1.4030334274730545,1.1817552103036137,76561198132107045,NiveyK,5.0,-3994.219970703125,3986.590087890625,426.05999755859375,9795.800170898438,20696.69921875,-113.29999923706055,-1725.2000427246094,765.5999755859375,-3021.0000610351562,255.0,0.0,,-0.05342704244984835,2.0154113362683157,1.5668518107999014,True,27.0,False,6,False,6,,76561199007016674,Queu deter,10.0,-481.2900085449219,799.47998046875,17.010000228881836,-11057.5,3282.9000854492188,2.5,1.0999999940395355,-0.29999999329447746,-76.5999984741211,255.0,128.0,False,-0.009547089802221792,0.300441514974529,9.906640467489436e-05,12,14,4,True,194.0,False,,enpitsu,76561198039309853,116,193.4199981689453,5522.47021484375,23.709999084472656,-12.799999713897705,-60.999999046325684,-2.0999999344348907,-2.5,0.5000000074505806,-0.09999999776482582,128.0,128.0,,-0.05493321131441738,-1.319121984325091,-0.009835979016221706,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,-2602.64990234375,3906.179931640625,17.020000457763672,-9462.39990234375,10183.200073242188,1.5999999642372131,0.7000000029802322,-0.9000000357627869,2044.7000122070312,255.0,218.0,-0.0095560903594675,0.7572160076327111,1.3132320763628579e-05,6,False,71.0,False,6,True,,
7,710,19,False,False,1,2717.1862560009013,-1768.9000244140625,4609.52001953125,178.97000122070312,21384.7998046875,12730.400390625,5891.7999267578125,4941.600036621094,1796.1000061035156,-2890.2999877929688,1.0,0.05177290920265577,2.0384120625387827,-0.9622952005486635,76561198132107045,NiveyK,5.0,-1918.6700439453125,4457.35986328125,69.93000030517578,14840.6005859375,13159.300537109375,3403.9999389648438,-1721.4999389648438,-1267.2000122070312,3057.3001098632812,128.0,128.0,,-0.016835520447194573,2.483908075937285,-0.016310492527122238,True,0.0,False,8,False,7,,76561199007016674,Queu deter,10.0,-825.8699951171875,1999.8699951171875,17.010000228881836,9313.800048828125,8927.2998046875,2.8999999165534973,-0.19999999552965164,-0.0,-2294.4000244140625,255.0,0.0,False,-0.009543144385591631,2.443250746814126,1.2574476143801545e-05,12,14,4,True,194.0,False,,enpitsu,76561198039309853,118,193.4199981689453,5522.47021484375,23.709999084472656,-12.799999713897705,-60.999999046325684,-2.0999999344348907,-2.5,0.5000000074505806,-0.09999999776482582,255.0,0.0,,-0.05493321131441738,-1.319121984325091,-0.009835979016221706,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,-2209.7099609375,5088.1201171875,103.72000122070312,18006.500244140625,-652.6999664306641,-1552.2999572753906,-1242.699966430664,429.39998626708984,-332.00000762939453,255.0,128.0,-0.12037265518476166,-3.092923545916658,1.2075522922662916,6,False,14.59120854767421,True,6,True,,
8,753,21,False,True,1,1023.7051021419076,665.510009765625,4142.580078125,138.69000244140625,-6436.500244140625,20668.60107421875,6323.800048828125,3489.5001220703125,2537.7000427246094,4169.200134277344,1.0,-0.41731801568561017,2.3156402844829174,1.2984428304606501,76561199007016674,Queu deter,10.0,729.280029296875,3891.090087890625,92.83000183105469,2451.0000610351562,22697.900390625,2791.7001342773438,-2409.4000244140625,-4940.400085449219,190.20000457763672,128.0,255.0,True,-0.0131062597410114,2.015965531777955,-0.38229969679349957,True,147.0,False,16,4,13,,76561198132107045,NiveyK,5.0,862.9600219726562,5294.240234375,66.94999694824219,1629.2999267578125,-2713.699951171875,2222.100067138672,237.60000228881836,-5482.5,-367.09999084472656,255.0,128.0,,0.047921132793178466,-1.5886506806532878,0.8226645681036389,8,8,False,True,0.0,False,,enpitsu,76561198039309853,114,-152.72000122070312,4909.64990234375,17.059999465942383,1252.5,-7148.4002685546875,2.3999999463558197,-0.0,-0.0,2441.0000610351562,255.0,255.0,False,-0.01664622786340037,-1.7523402643788142,1.3554730895767831e-05,True,255.0,False,4,False,3,,games5425898691,bf81d8692db,18.0,538.719970703125,4382.9501953125,59.91999816894531,18199.599609375,-13710.10009765625,3117.2000122070312,1622.7000427246094,2129.4000244140625,-34.60000038146973,255.0,128.0,-0.06307116357551242,-2.4896908944341587,-2.2715295115571092e-05,8,False,0.0,False,7,True,,
9,754,21,False,False,0,9315.467397830162,-654.6300048828125,-4172.33984375,171.58999633789062,-891.3999938964844,8304.89990234375,13206.600341796875,4616.700134277344,2617.3001098632812,-2799.1000366210938,0.0,0.4723860236316212,-2.4692675472914347,1.1007613511573386,bf81d8692db,games5425898691,18.0,-538.719970703125,-4382.9501953125,59.91999816894531,-18199.599609375,13710.10009765625,3117.2000122070312,-1622.7000427246094,-2129.4000244140625,-34.60000038146973,255.0,128.0,,0.06307116357551242,2.4896908944341587,-2.2715295115571092e-05,True,0.0,False,8,False,7,,76561198039309853,enpitsu,114.0,130.10000610351562,-4837.169921875,17.059999465942383,-3142.0999145507812,7244.7998046875,2.5,0.0,0.0,2469.7999572753906,255.0,255.0,False,0.016656950757566433,1.998129171477513,1.510551011326186e-05,3,4,False,True,255.0,False,,NiveyK,76561198132107045,5,-862.9600219726562,-5294.240234375,66.94999694824219,-1629.2999267578125,2713.699951171875,2222.100067138672,-237.60000228881836,5482.5,-367.09999084472656,255.0,128.0,,-0.047921132793178466,1.5886506806532878,0.8226645681036389,True,0.0,False,8,False,8,,Queu deter,76561199007016674,10.0,-757.7100219726562,-4069.219970703125,110.97000122070312,-4068.800048828125,-20198.599853515625,1754.7999572753906,2935.5999755859375,4636.099853515625,-371.50001525878906,128.0,255.0,0.054670256466837555,-2.120892620376047,-1.048898484922457,16,4,147.0,False,13,True,,True
