,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_boost_collect,opp_2_handbrake
0,169,0.0,False,False,1,5186.461184119347,25.989999771118164,27.030000686645508,94.66999816894531,20657.60009765625,19937.60009765625,1741.3999938964844,4337.099914550781,-3734.1000366210938,1801.6000366210938,1.0,-0.07469090839783146,-0.03226104039597639,-0.08393995253487771,3833789190208251696,T_C70,125.0,-97.91000366210938,-108.83000183105469,92.68000030517578,14663.199462890625,13802.900390625,1960.0,-644.1999816894531,5414.89990234375,-716.3999938964844,128.0,0.0,,-0.29485738804829975,1.7667755888598848,0.9472271481593726,True,3,False,4,0.0,False,,76561198043613274,Lait,5.0,55.810001373291016,-1926.1600341796875,17.010000228881836,-98.69999885559082,13706.199951171875,2.5,-0.09999999776482582,-0.19999999552965164,30.999999046325684,255.0,128.0,,-0.009536851487781241,1.5608946659749028,9.068445247664349e-06,True,False,False,False,116.0,False,,enpitsu,76561198039309853,27,-37.970001220703125,3712.070068359375,17.049999237060547,738.3999633789062,-9514.299926757812,3.1999999284744263,0.09999999776482582,-1.0999999940395355,45.19999980926514,255.0,128.0,False,-0.016666507186737397,-1.654013533050533,-0.00010798084387083636,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,97.66999816894531,550.969970703125,66.77999877929688,-1073.499984741211,-22776.8994140625,2900.8999633789062,4679.100036621094,28.900001049041748,307.99999237060547,128.0,128.0,-0.12042865896777034,-1.5837929155622432,0.0001262096691116721,True,False,3,31.0,False,4,,
1,171,0.0,False,False,0,5367.011870239379,-197.47000122070312,-181.36000061035156,108.94999694824219,-26799.19921875,2157.5,4495.199890136719,2278.800048828125,-307.90000915527344,5541.7999267578125,0.0,0.34748892688253785,0.33954645232733005,-0.3094910493489734,bf81d8692db,games5425898691,19.0,-88.7699966430664,-361.1700134277344,88.4800033569336,1073.499984741211,22776.8994140625,2358.8999938964844,-5498.699951171875,-113.10000419616699,30.499999523162842,128.0,128.0,,0.7165388513067134,1.5961833844119695,0.003892599199228247,True,3,False,4,31.0,False,,76561198039309853,enpitsu,27.0,31.299999237060547,-3630.5,17.049999237060547,-837.5,10003.400268554688,3.1999999284744263,-0.09999999776482582,0.7999999821186066,11.59999966621399,255.0,128.0,False,0.016681199649992675,1.6559483675324451,-7.596241743687665e-05,True,False,False,False,116.0,False,,Lait,76561198043613274,5,-54.7599983215332,1811.239990234375,17.010000228881836,142.10000038146973,-13858.00048828125,2.5,0.09999999776482582,0.19999999552965164,7.799999713897705,255.0,128.0,,0.009536843136753414,-1.5596042958726672,1.5221006518835217e-05,True,116.0,False,False,False,False,,T_C70,3833789190208251696,33.0,-24.290000915527344,-6.170000076293945,104.41000366210938,-14663.199462890625,-13802.900390625,321.6999816894531,-8.00000011920929,-5498.800048828125,-111.19999885559082,128.0,0.0,0.37611893963647913,-1.5591571679888254,1.6219954166838766,False,False,3,0.0,False,4,,
2,263,3.0,False,False,1,6244.532170800934,3907.18994140625,-330.54998779296875,1334.1500244140625,-9151.900024414062,-1096.6000366210938,5459.7998046875,246.00000381469727,-2262.5999450683594,1355.5000305175781,1.0,0.877716783395816,-1.9829416928141321,0.4500326974541429,3833789190208251696,T_C70,33.0,4046.159912109375,-327.8399963378906,1206.5,-3808.5000610351562,1956.199951171875,7532.8997802734375,1722.2000122070312,-390.8000183105469,658.8999938964844,135.0,118.0,,1.4187946036224506,1.5518672287794577,-1.5709327186693303,True,4,False,6,255.0,False,,76561198043613274,Lait,5.0,2929.1298828125,-1983.300048828125,17.010000228881836,8833.800048828125,2210.0,3.1999999284744263,-0.3999999910593033,-0.19999999552965164,3051.9000244140625,255.0,255.0,False,-0.009524887723037943,2.725627789802166,-1.342901276236727e-05,True,False,False,False,177.0,False,,enpitsu,76561198039309853,27,2261.550048828125,4294.60009765625,17.049999237060547,17616.8994140625,-2194.7000122070312,-1.4000000059604645,-1.1999999731779099,-0.19999999552965164,-95.10000228881836,255.0,128.0,False,-0.01681562809669979,-3.0072807374960333,7.480323667708178e-05,True,122.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,2606.090087890625,3061.4599609375,86.0,5430.8001708984375,17266.500244140625,-1227.9000091552734,-2689.1000366210938,1631.4999389648438,-485.09998321533203,255.0,40.0,0.7065296293690743,1.749060365477763,-0.28886669346198485,False,False,6,61.0,False,6,,
3,345,6.0,False,False,1,5795.647302653171,1300.989990234375,-641.47998046875,97.22000122070312,-6549.0997314453125,-770.6999969482422,8095.9002685546875,689.1999816894531,-5856.6998291015625,1106.1000061035156,1.0,0.6472663274071343,-1.1780678836922172,2.5887112131100567,76561198043613274,Lait,5.0,1463.4100341796875,-914.8900146484375,79.05000305175781,-12969.7998046875,-479.90001678466797,-1403.3000183105469,2049.4000244140625,-558.6000061035156,521.6999816894531,255.0,128.0,,-0.0601278288416246,0.09768776547186069,0.836088646011708,True,4,False,4,128.0,False,,3833789190208251696,T_C70,24.0,1483.0799560546875,-1007.6599731445312,288.2799987792969,-15456.700439453125,-2596.400146484375,-14730.2001953125,-3409.1000366210938,3422.2000122070312,-2629.7000122070312,146.0,0.0,,-0.5587674477940906,1.01403882940824,-2.902017140397014,True,4,False,6,123.0,False,,enpitsu,76561198039309853,27,1206.6400146484375,17.790000915527344,220.32000732421875,-11457.2998046875,-19943.1005859375,4.699999988079071,5335.999755859375,863.1999969482422,-1015.5000305175781,255.0,128.0,,-0.8860034236620093,-1.4990394067940112,-0.2970477493819957,True,145.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,763.4400024414062,3112.300048828125,17.020000457763672,-11603.499755859375,-7978.0999755859375,1.4000000059604645,-1.899999976158142,-1.1999999731779099,885.5000305175781,255.0,231.0,-0.00960033076845212,-0.5997702075240547,0.0001620471853663038,True,False,6,92.0,False,6,,
4,411,8.0,False,False,1,6035.886013745724,-201.05999755859375,-795.3499755859375,160.0800018310547,747.6999664306641,18013.699951171875,5066.9000244140625,4216.600036621094,-4210.299987792969,701.9999694824219,1.0,-0.40444721278428986,-1.2737002033663956,-2.1888060844881987,76561198043613274,Lait,5.0,-251.44000244140625,-950.3200073242188,46.209999084472656,1010.1999664306641,14633.399658203125,3469.8001098632812,-0.0,2.3999999463558197,202.90000915527344,255.0,94.0,False,-0.009569879265009539,1.6326315240053426,0.00042917328237342253,True,4,False,6,90.0,False,,3833789190208251696,T_C70,23.0,-636.47998046875,-1078.4599609375,17.010000228881836,2191.199951171875,1643.8999938964844,2.800000011920929,2.3999999463558197,2.0999999344348907,-1774.2999267578125,255.0,0.0,,-0.009512488046919917,2.4098720149583115,-0.00017439814708460562,True,4,False,6,123.0,False,,enpitsu,76561198039309853,27,-1780.3800048828125,-2440.840087890625,17.059999465942383,-6107.80029296875,17364.49951171875,-2.5999999046325684,-0.0,-0.09999999776482582,-1605.0,255.0,0.0,False,-0.016774093456688222,1.265892653656431,-0.0002556442894835933,True,110.53477837193394,True,2,False,2,,games5425898691,bf81d8692db,19.0,-280.2799987792969,-543.75,172.5800018310547,6494.4000244140625,-22002.900390625,1640.5000305175781,4434.5001220703125,3252.2000122070312,88.10000419616699,255.0,198.0,-0.49639375390396356,-1.7471677231453597,-0.24576571701704428,True,False,7,0.0,False,8,,
5,412,8.0,False,False,0,4427.298151624522,150.86000061035156,838.25,189.92999267578125,-15250.2001953125,22912.5,6629.4000244140625,3528.2998657226562,3183.2998657226562,3662.9000854492188,0.0,0.3462172317929882,1.559451389295297,-1.9475485546500761,bf81d8692db,games5425898691,19.0,280.2799987792969,543.75,172.5800018310547,-6494.4000244140625,22002.900390625,1640.5000305175781,-4434.5001220703125,-3252.2000122070312,88.10000419616699,255.0,198.0,,0.49639375390396356,1.7471677231453597,-0.24576571701704428,True,7,False,8,0.0,False,,76561198039309853,enpitsu,27.0,1780.3800048828125,2440.840087890625,17.059999465942383,6107.80029296875,-17364.49951171875,-2.5999999046325684,0.0,0.09999999776482582,-1605.0,255.0,0.0,False,0.016774093456688222,-1.265892653656431,-0.0002556442894835933,True,2,False,2,107.45651604026874,True,,Lait,76561198043613274,5,251.44000244140625,950.3200073242188,46.209999084472656,-1010.1999664306641,-14633.399658203125,3469.8001098632812,0.0,-2.3999999463558197,202.90000915527344,255.0,94.0,False,0.009569879265009539,-1.6326315240053426,0.00042917328237342253,True,90.0,False,6,False,4,,T_C70,3833789190208251696,23.0,612.969970703125,1063.97998046875,17.010000228881836,-3328.800048828125,-1779.7999572753906,2.800000011920929,-0.3999999910593033,-0.29999999329447746,-1948.2000732421875,255.0,0.0,0.00949469032837687,-2.5651490386248077,-8.290574695184672e-05,True,False,4,123.0,False,6,,
6,527,13.0,False,False,0,3820.603408955435,-3786.330078125,2641.39990234375,101.18000030517578,5797.1002197265625,-10571.099853515625,1216.2000274658203,3204.4000244140625,-5059.200134277344,367.00000762939453,0.0,0.7661485067832844,-1.1942453093322627,-2.6729949168121414,bf81d8692db,games5425898691,19.0,-3952.699951171875,2718.7099609375,48.779998779296875,4056.4999389648438,-9531.500244140625,-2130.0999450683594,960.8000183105469,-2171.0000610351562,2040.5000305175781,128.0,249.0,,0.24961712592377527,-1.0697175059362793,-0.4669107845957777,True,8,False,8,255.0,False,,76561198039309853,enpitsu,27.0,-3433.360107421875,-1453.81005859375,17.059999465942383,-1301.9000244140625,-22643.00048828125,2.0999999344348907,0.0,2.3999999463558197,-1095.1000213623047,255.0,128.0,False,0.01677094417943868,-1.6365560743704195,-0.00023865289182442196,True,2,False,2,0.0,False,,Lait,76561198043613274,5,-123.86000061035156,4653.68017578125,17.010000228881836,-4378.299865722656,11498.499755859375,3.1999999284744263,0.09999999776482582,0.0,3291.7999267578125,255.0,255.0,False,0.00954133018754947,2.571729099724264,4.4172564758651225e-05,True,181.0,False,6,False,4,,T_C70,3833789190208251696,23.0,-4032.8798828125,2999.639892578125,116.95999908447266,3497.7999877929688,-17068.00048828125,-4978.900146484375,338.10001373291016,-2137.2999572753906,-718.0000305175781,255.0,128.0,0.28522075095671856,-1.3759777250296636,-0.9299236780419774,True,False,4,0.0,False,6,,
7,652,17.0,False,False,1,3949.3038120878578,-2186.719970703125,2671.429931640625,96.45999908447266,-3256.4999389648438,14746.800537109375,2505.2000427246094,-1342.7999877929688,-2716.300048828125,-5178.599853515625,1.0,-0.02422739800607365,-0.6087489042428809,-1.5641123582982195,3833789190208251696,T_C70,22.0,-2262.330078125,2539.969970703125,17.0,-10136.400146484375,16539.200439453125,8.00000011920929,5.099999904632568,-1.899999976158142,-1943.3000183105469,255.0,0.0,,-0.00977834481774463,1.0878807702363433,0.00020797775272222876,True,6,False,10,,False,,76561198043613274,Lait,5.0,-3389.070068359375,-1415.449951171875,17.010000228881836,-9022.2998046875,12548.199462890625,2.5999999046325684,-0.0,0.09999999776482582,-1943.8999938964844,255.0,0.0,,-0.009575001462835936,1.0011159302011834,-6.62781532360204e-05,True,4,False,6,133.0,False,,enpitsu,76561198039309853,27,-590.0800170898438,5062.990234375,17.059999465942383,-0.0,0.29999999329447746,1.8000000715255737,-0.9000000357627869,1.2999999523162842,0.0,128.0,128.0,False,-0.016902936063219815,-0.3961456191546321,-2.4525817522773947e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-1065.9300537109375,4107.93994140625,16.989999771118164,-22419.599609375,4541.199951171875,5.099999904632568,0.5999999865889549,-0.09999999776482582,1133.0000305175781,255.0,216.0,-0.009580338253097863,0.17174049011698386,0.0001445505476463572,True,False,8,195.0,False,8,,
8,761,21.0,False,False,0,10568.16487971751,2023.1199951171875,-5017.009765625,130.85000610351562,12486.199951171875,8648.400268554688,-3258.2998657226562,1126.1000061035156,2635.1998901367188,4547.5,0.0,-0.2918832855185811,2.704382457538556,2.88694639663253,76561198039309853,enpitsu,27.0,1853.8499755859375,-5096.009765625,129.91000366210938,10361.199951171875,381.1000061035156,-1187.0999908447266,764.4999694824219,908.7999725341797,507.99999237060547,255.0,255.0,False,0.14272061453886103,0.022153492249973532,-1.363391081895635,True,2,False,2,255.0,False,,bf81d8692db,games5425898691,19.0,3027.419921875,-4640.60009765625,17.200000762939453,-7230.999755859375,-18824.69970703125,146.49999618530273,-670.2999877929688,-264.20000076293945,-1480.2000427246094,255.0,0.0,,0.0022500341784796062,-1.9594899800149232,0.006493137392549575,True,10,False,10,255.0,False,,Lait,76561198043613274,5,2578.8798828125,-1047.010009765625,17.010000228881836,11598.800048828125,-2034.1999816894531,2.3999999463558197,-0.9000000357627869,0.0,-380.40000915527344,255.0,128.0,False,0.009545501092775232,-0.21225947752430363,0.00022552276344540168,True,255.0,False,6,False,4,,T_C70,3833789190208251696,28.0,753.2899780273438,-3972.1201171875,97.94000244140625,11469.89990234375,11812.5,-75.3000020980835,-4010.2999877929688,3763.900146484375,19.199999570846558,128.0,128.0,1.5528144307427836,1.0138254059974485,0.19674016247897705,True,False,7,,False,14,,
9,794,22.0,False,False,0,10200.386549954479,3315.93994140625,-4150.18017578125,107.48999786376953,12024.49951171875,15745.899658203125,1855.5000305175781,1792.5999450683594,2333.3999633789062,3721.099853515625,0.0,-0.7281197984527278,-3.133809229473927,-2.99217670426035,76561198039309853,enpitsu,27.0,3253.64990234375,-4332.4501953125,16.600000381469727,13421.300048828125,11550.799560546875,-212.60000228881836,115.60000419616699,-210.6999969482422,660.1000213623047,255.0,128.0,False,0.012140619061178227,0.7635456081095512,-0.0014683024443593168,True,2,False,3,182.87454621766202,True,,bf81d8692db,games5425898691,19.0,1278.719970703125,-4629.60986328125,17.030000686645508,-7829.0997314453125,14228.1005859375,-0.19999999552965164,-26.30000114440918,24.600000381469727,-1986.4999389648438,255.0,0.0,,0.009364087253331297,2.009437825773951,-0.0009455592057327354,True,10,False,10,255.0,False,,Lait,76561198043613274,5,3743.75,-2069.9599609375,17.010000228881836,10163.699951171875,-9283.800048828125,2.7000001072883606,-0.3999999910593033,0.5999999865889549,2166.3999938964844,234.0,255.0,False,0.00953643885357218,-0.6838922995542768,7.015618582040265e-05,True,255.0,False,6,False,4,,T_C70,3833789190208251696,28.0,2048.7900390625,-2551.530029296875,17.0,6769.0997314453125,14622.099609375,9.100000262260437,1.0999999940395355,-0.7999999821186066,1972.1000671386719,255.0,255.0,0.009679508842654297,1.1984561077666576,3.2348079305276995e-05,False,False,8,,False,15,,
