,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect,opp_2_handbrake
0,173,0,False,False,0,5148.135958129994,-22.790000915527344,66.45999908447266,94.62000274658203,-10315.6005859375,27603.20068359375,1037.300033569336,-492.90000915527344,-103.59999656677246,-5978.800048828125,0.0,-0.004096574100063332,-0.16921410044511603,-0.013637582125041658,2533274885331602,Squishyman2006,7.0,58.060001373291016,-167.97999572753906,66.5,-10959.000244140625,20015.10009765625,2771.099853515625,742.6999664306641,-5425.7000732421875,509.1999816894531,128.0,255.0,,0.006930223493623399,1.7110103857877161,-0.10524615721115467,,5,False,6,31.0,False,,2535439918989454,Viral x Wave,7.0,0.0,-4359.080078125,17.0,0.0,-1991.199951171875,3.1999999284744263,1.899999976158142,0.0,0.0,254.0,,,0.009353671739450762,1.5707876864325163,7.5888813774753405e-06,True,116.0,False,False,False,False,,enpitsu,76561198039309853,25,-86.37999725341797,628.8699951171875,112.81999969482422,-1080.5999755859375,-22866.59912109375,2220.399932861328,4799.800109863281,-226.39999389648438,-0.19999999552965164,255.0,128.0,,0.4331786882157686,-1.6180460989037948,-6.853735212036361e-05,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,-2450.7900390625,3835.969970703125,17.010000228881836,-16561.600341796875,12188.399658203125,2.0000000298023224,0.3999999910593033,-0.3999999910593033,-5.699999928474426,255.0,128.0,0.009587516473541667,2.5063635797122603,5.671488937444039e-05,True,0.0,False,False,False,False,,
1,175,0,False,False,1,5417.8879706487105,91.0,-217.75,103.47000122070312,7085.30029296875,13538.199462890625,2174.7999572753906,4538.0999755859375,320.0,-3911.7999267578125,1.0,0.09097610807843806,0.6159157558718366,-0.1353116373572407,76561198039309853,enpitsu,25.0,95.37999725341797,-438.1099853515625,128.6999969482422,1082.2000122070312,22908.1005859375,1643.0000305175781,-5493.800048828125,259.4000053405762,-0.19999999552965164,255.0,128.0,,-1.0304222003582835,1.6181493054936074,-0.00017403712013180927,True,1,False,2,31.0,False,,bf81d8692db,games5425898691,19.0,2617.06005859375,-3956.8701171875,17.010000228881836,16820.999755859375,-11784.69970703125,2.0999999344348907,2.3000000417232513,-1.5000000596046448,1013.0999755859375,255.0,255.0,,-0.009589508638251957,-2.5357678298897834,0.00017384578130650167,True,0.0,False,False,False,False,,Squishyman2006,2533274885331602,7,26.309999465942383,22.43000030517578,86.9800033569336,10057.19970703125,-17338.900146484375,2213.2000732421875,-1351.9999694824219,5313.4002685546875,-434.3000030517578,128.0,255.0,,0.11319105032701941,-1.7999488624184952,-0.7216377019834778,,31.0,False,6,False,5,,Viral x Wave,2535439918989454,7.0,-0.0,4359.080078125,17.0,-0.0,1991.199951171875,3.1999999284744263,-1.899999976158142,-0.0,0.0,254.0,,-0.009353671739450762,-1.5707876864325163,7.5888813774753405e-06,True,116.0,False,False,False,False,,
2,176,0,False,False,0,5015.379982039059,-125.94000244140625,184.08999633789062,102.0,-11515.10009765625,-12671.700439453125,-6196.300048828125,4681.400146484375,1938.6000061035156,-3213.2998657226562,0.0,-0.1246907499631983,-0.7782422520249782,-0.2038056855636386,2533274885331602,Squishyman2006,7.0,-26.309999465942383,-22.43000030517578,86.9800033569336,-10057.19970703125,17338.900146484375,2213.2000732421875,1351.9999694824219,-5313.4002685546875,-434.3000030517578,128.0,255.0,,-0.11319105032701941,1.7999488624184952,-0.7216377019834778,,5,False,6,31.0,False,,2535439918989454,Viral x Wave,7.0,0.0,-4363.6298828125,17.0,0.0,283.6000061035156,3.1999999284744263,-1.0999999940395355,0.0,0.0,254.0,,,0.009315524397494931,1.5707874726890154,-4.122673933116874e-08,True,116.0,False,False,False,False,,enpitsu,76561198039309853,25,-109.29000091552734,300.70001220703125,139.97000122070312,-3556.4999389648438,-2452.100067138672,1444.9000549316406,3139.1000366210938,1404.9000549316406,-4292.0001220703125,255.0,128.0,,1.1817569879231196,1.6977224363787602,-2.9771565284511925,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,-2617.06005859375,3956.8701171875,17.010000228881836,-16820.999755859375,11784.69970703125,2.0999999344348907,-2.3000000417232513,1.5000000596046448,1013.0999755859375,255.0,255.0,0.009589508638251957,2.5357678298897834,0.00017384578130650167,True,0.0,False,False,False,False,,
3,177,0,False,False,1,5356.590758939679,190.2899932861328,-169.89999389648438,98.97000122070312,13973.499755859375,10292.900390625,1949.1000366210938,-2862.9000854492188,4156.499938964844,-3244.5001220703125,1.0,0.11971889212662214,0.927004926628248,-0.08827249308933101,76561198039309853,enpitsu,26.0,109.29000091552734,-300.70001220703125,139.97000122070312,3556.4999389648438,2452.100067138672,1444.9000549316406,-3139.1000366210938,-1404.9000549316406,-4292.0001220703125,255.0,128.0,,-1.1817569879231196,-1.6977224363787602,-2.9771565284511925,True,1,False,2,31.0,False,,bf81d8692db,games5425898691,19.0,2731.489990234375,-4031.610107421875,17.010000228881836,17478.499755859375,-10650.899658203125,2.3000000417232513,-0.7000000029802322,0.29999999329447746,1645.7000732421875,255.0,255.0,,-0.009605261408925776,-2.631069091872856,0.0002087246652112438,True,0.0,False,False,False,False,,Squishyman2006,2533274885331602,7,96.94000244140625,-28.040000915527344,95.19999694824219,7788.800048828125,603.6999893188477,-60.39999961853027,-2391.6000366210938,4810.5999755859375,1178.0999755859375,128.0,255.0,,0.11932890493256544,-2.144178428851409,-1.312289089075466,,31.0,False,6,False,5,,Viral x Wave,2535439918989454,7.0,-0.0,4363.6298828125,17.0,-0.0,-283.6000061035156,3.1999999284744263,1.0999999940395355,-0.0,0.0,254.0,,-0.009315524397494931,-1.5707874726890154,-4.122673933116874e-08,True,116.0,False,False,False,False,,
4,178,0,False,False,0,5012.291079403896,-243.36000061035156,170.3800048828125,104.0,-16670.10009765625,1614.1000366210938,1335.2999877929688,3612.7999877929688,-3547.5,3218.9999389648438,0.0,-0.10131584526320771,-0.8340626892318662,0.08818477591965905,2533274885331602,Squishyman2006,7.0,-96.94000244140625,28.040000915527344,95.19999694824219,-7788.800048828125,-603.6999893188477,-60.39999961853027,2391.6000366210938,-4810.5999755859375,1178.0999755859375,128.0,255.0,,-0.11932890493256544,2.144178428851409,-1.312289089075466,,5,False,6,31.0,False,,2535439918989454,Viral x Wave,7.0,0.0,-4352.580078125,17.0,0.0,1774.6000671386719,3.1999999284744263,-0.7000000029802322,0.0,0.0,254.0,,,0.009368930651551319,1.570787757914935,7.5895400665532635e-06,True,116.0,False,False,False,False,,enpitsu,76561198039309853,26,-141.74000549316406,285.1099853515625,141.19000244140625,-3981.6000366210938,-1786.9000244140625,-145.50000190734863,5303.699951171875,-855.1000213623047,-1178.6000061035156,255.0,128.0,,0.648288343997115,1.4722519181525933,-2.942357366131654,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,-2731.489990234375,4031.610107421875,17.010000228881836,-17478.499755859375,10650.899658203125,2.3000000417232513,0.7000000029802322,-0.29999999329447746,1645.7000732421875,255.0,255.0,0.009605261408925776,2.631069091872856,0.0002087246652112438,True,0.0,False,False,False,False,,
5,240,2,False,False,1,6057.1116847478515,3381.27001953125,-383.7699890136719,103.08000183105469,-10169.299926757812,27135.6005859375,12487.19970703125,1813.0000305175781,5534.1998291015625,-1443.8999938964844,1.0,-0.2806203501091273,1.2319833203505703,1.4248629655898413,bf81d8692db,games5425898691,19.0,3441.89990234375,-484.3399963378906,14.680000305175781,-11251.500244140625,16086.199951171875,-112.20000267028809,-154.20000076293945,534.3999862670898,-470.29998779296875,255.0,255.0,,0.01706305037623767,0.9285730713000551,0.048267688364938464,True,False,False,False,105.15047750165384,True,,76561198039309853,enpitsu,25.0,1462.5,-450.6600036621094,17.049999237060547,8623.699951171875,-7913.800048828125,2.5999999046325684,-0.5000000074505806,0.7999999821186066,-18.300000429153442,255.0,128.0,,-0.016696937794310893,-2.3966530545664493,8.50700230265644e-05,True,31.0,False,2,2,False,,Squishyman2006,2533274885331602,7,2851.320068359375,136.0399932861328,217.42999267578125,16965.799560546875,-83.99999618530273,4670.0,233.09999465942383,-522.9999923706055,-1291.0000610351562,255.0,0.0,,0.19939522791955647,-3.089235322597454,0.014778525507818876,,0.0,False,8,4,6,,Viral x Wave,2535439918989454,7.0,918.5999755859375,3444.02001953125,17.0,3650.8999633789062,-2946.7001342773438,3.3000001311302185,-4.600000083446503,3.1999999284744263,787.6000213623047,254.0,63.0,-0.00948131700813846,-2.480981239410885,-0.00010841376284362499,True,146.0,False,False,False,False,6.0,
6,244,2,False,False,0,5676.205448008284,-3240.75,-29.280000686645508,286.6700134277344,-20142.2998046875,1452.2000122070312,4022.9000854492188,-396.6999816894531,-1505.0,5028.500061035156,0.0,-0.20627296963537467,-1.3924670758781297,2.1713745393093116,2533274885331602,Squishyman2006,7.0,-3139.909912109375,-141.8800048828125,291.55999755859375,-13546.600341796875,-2733.800048828125,4555.4998779296875,3714.5001220703125,2212.100067138672,-2976.099853515625,255.0,0.0,,-0.3931333781178749,2.6879482011150357,-0.0364671483125236,,6,4,8,0.0,False,,2535439918989454,Viral x Wave,7.0,-984.5900268554688,-3374.580078125,17.0,-3749.2001342773438,4981.000061035156,3.6000001430511475,-1.4000000059604645,1.4000000059604645,-2175.2999877929688,254.0,0.0,,0.009484497867222042,2.2500206002474616,-0.00020941965711608786,True,146.0,False,False,False,False,,enpitsu,76561198039309853,26,-1617.47998046875,593.5999755859375,17.049999237060547,-9064.69970703125,8373.699951171875,2.5999999046325684,0.29999999329447746,-0.7000000029802322,-1.0000000149011612,255.0,128.0,,0.016693047917181274,2.395621840506681,6.641215899993694e-05,True,31.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-3340.159912109375,352.07000732421875,16.350000381469727,12947.099609375,-15715.0,150.10000228881836,-74.49999809265137,337.5,1405.8999633789062,255.0,255.0,9.798080086399342e-05,-0.8613166873271138,0.01743934090642342,True,92.6399913141804,True,False,False,False,,
7,282,3,False,False,1,5700.10921254942,2835.800048828125,-219.88999938964844,278.1099853515625,-7925.4998779296875,9864.89990234375,17851.700439453125,4242.39990234375,-3988.9999389648438,1445.2000427246094,1.0,0.13188416343423207,2.5078777348805836,1.5379517579554303,76561198039309853,enpitsu,26.0,2903.550048828125,-204.6300048828125,93.87999725341797,8942.899780273438,16494.300537109375,865.4000091552734,-5129.4000244140625,-1288.699951171875,1509.1999816894531,255.0,,,-0.5267018585586174,2.2094153151736537,-0.18812300326971668,True,3,False,4,35.0,False,,bf81d8692db,games5425898691,19.0,833.0399780273438,342.239990234375,17.020000457763672,-14169.300537109375,-8585.800170898438,1.0999999940395355,0.3999999910593033,-0.0,2003.699951171875,255.0,255.0,,-0.009575834036076357,-0.6145251293233378,5.575987841867603e-05,True,95.0,False,False,False,False,,Squishyman2006,2533274885331602,7,4044.219970703125,196.02999877929688,134.69000244140625,-4236.000061035156,-1983.3000183105469,-8112.9998779296875,-206.5999984741211,4402.699890136719,-781.6999816894531,254.0,128.0,,-0.9723720414872777,-0.3396692800743157,0.29654335646060176,True,,False,8,4,6,,Viral x Wave,2535439918989454,7.0,1848.72998046875,2493.169921875,17.0,4891.499938964844,-13500.6005859375,3.1999999284744263,-0.3999999910593033,1.7000000178813934,-1472.8999328613281,195.0,0.0,-0.009554002988900481,-1.9044111777781378,-0.00013215731702679537,True,118.0,False,False,False,False,,
8,358,6,False,False,0,7297.877246514988,-1182.280029296875,-2152.260009765625,406.04998779296875,20771.0009765625,1883.0000305175781,-9035.599975585938,-4934.599914550781,3205.7000732421875,1171.3999938964844,0.0,0.8169318829119617,3.1230312697268,-1.6725851237198182,2533274885331602,Squishyman2006,7.0,-1337.0999755859375,-2232.1201171875,351.489990234375,13544.49951171875,-8360.700073242188,1211.3999938964844,-692.6000213623047,1983.8999938964844,313.99999618530273,255.0,78.0,,-0.5052166042568532,0.2818456719784002,0.2513830702603732,True,6,4,10,215.0,False,,2535439918989454,Viral x Wave,7.0,-430.1499938964844,-2826.300048828125,132.39999389648438,348.69998931884766,-4530.299987792969,1833.2000732421875,-2177.7000427246094,-87.60000228881836,-314.4000053405762,172.0,88.0,,-0.28633503965675106,-1.5732533241002182,0.005549685790736974,True,148.0,False,4,False,False,,enpitsu,76561198039309853,26,-1709.510009765625,-2495.530029296875,17.030000686645508,21217.39990234375,7695.8001708984375,5.0,0.5000000074505806,0.0,3.6000001430511475,255.0,128.0,False,0.016796458165786756,0.34836072659125594,-4.076372721754193e-05,True,0.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,1093.3900146484375,-27.8799991607666,17.020000457763672,-940.4000091552734,-13991.600341796875,0.7999999821186066,-0.3999999910593033,-4.099999964237213,-921.9000244140625,255.0,128.0,0.009578733445907501,-1.6970046393033815,0.00012098020083469027,True,126.0,False,False,False,False,,
9,392,7,False,False,1,3649.3723941075295,-818.1500244140625,1918.260009765625,474.44000244140625,3461.7001342773438,14006.300048828125,14082.900390625,3172.0999145507812,-5049.800109863281,-660.6999969482422,1.0,0.17548568908466905,2.7686267123253554,-0.23228785115569262,bf81d8692db,games5425898691,19.0,-906.4000244140625,1750.18994140625,270.3399963378906,898.0999755859375,16984.300537109375,3931.099853515625,821.3999938964844,-69.20000076293945,164.40000534057617,255.0,169.0,,0.9857213679069831,1.365295272061182,-0.10601182315410003,True,False,False,4,90.0,False,,76561198039309853,enpitsu,25.0,-450.1499938964844,949.239990234375,17.030000686645508,-9604.099731445312,-18525.0,5.5000001192092896,-0.9000000357627869,-1.5000000596046448,-1817.5999450683594,255.0,128.0,False,-0.01679548546993621,-1.0427286912347438,-0.00020163537528678646,True,0.0,False,4,4,False,,Squishyman2006,2533274885331602,7,-144.4499969482422,3344.159912109375,16.68000030517578,-7415.4998779296875,12343.699951171875,73.89999866485596,-28.69999885559082,-27.699999809265137,-1885.8000183105469,255.0,0.0,,-0.007308538095962204,1.0748618329955753,0.00019763213907472547,True,215.0,False,10,4,6,,Viral x Wave,2535439918989454,7.0,232.25,3442.919921875,16.979999542236328,-9081.500244140625,4792.9998779296875,8.100000023841858,-6.800000071525574,-3.100000023841858,2428.699951171875,255.0,255.0,-0.009161392015889298,0.4398928419170326,-0.00024049882803913258,True,107.24738081552645,True,False,False,4,,
