,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,shot_taker_handbrake
0,173,0,False,False,0,5134.223867855553,-22.600000381469727,80.61000061035156,107.08999633789062,-7737.9998779296875,25934.69970703125,4539.2999267578125,4817.300109863281,351.6999816894531,3559.2999267578125,0.0,0.0009382501151061251,0.13554654067888938,0.18317571984708111,bf81d8692db,games5425898691,22.0,56.2599983215332,-133.7100067138672,74.37999725341797,1413.6000061035156,19996.700439453125,2062.2000122070312,-5382.0001220703125,-376.3999938964844,1068.3000183105469,128.0,128.0,0.6912942854068054,1.417683004432227,-0.0555394594088435,True,0.0,False,False,3,4,,76561198039309853,enpitsu,24.0,31.010000228881836,-2995.610107421875,17.049999237060547,981.9999694824219,17029.49951171875,2.3000000417232513,-0.3999999910593033,0.0,0.0,255.0,128.0,False,0.016746044432325177,1.5131837610805852,-1.7280790341765875e-06,True,60.0,False,False,False,False,,Larry_Cotta,7753545550751426444,9.0,-663.97998046875,3072.3701171875,17.010000228881836,-2822.7999877929688,10481.500244140625,2.5,-0.19999999552965164,0.0,-2383.699951171875,255.0,0.0,False,0.009535092019080857,1.7770535927841806,-1.0281035719244428e-05,True,False,116.0,False,False,False,,nortap_666,1417744652047383668,9.0,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,True,85.0,False,False,False,False,,
1,215,1,False,False,1,8949.5545887994,1176.75,-3805.14990234375,137.2899932861328,7639.1998291015625,15661.600341796875,7346.7999267578125,1583.2000732421875,1380.5000305175781,4503.699951171875,1.0,0.7689203081297492,-1.616147190599876,1.4574906338516647,7753545550751426444,Larry_Cotta,9.0,1118.8399658203125,-4011.330078125,66.80999755859375,5764.7998046875,8499.299926757812,2914.5999145507812,-2109.1000366210938,-369.1999816894531,3453.0999755859375,255.0,255.0,-0.022994961734858706,2.458403866851971,-0.014413660972507831,True,116.0,False,False,3,4,,1417744652047383668,nortap_666,9.0,2048.0,-2560.0,17.010000228881836,-0.0,-0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,-0.009552613894084325,0.7854089554748602,-1.534134422157188e-05,True,85.0,False,False,False,False,,enpitsu,76561198039309853,25.0,594.8499755859375,456.29998779296875,17.049999237060547,16428.699951171875,-13388.1005859375,-2.199999988079071,1.8000000715255737,-1.2999999523162842,173.79999160766602,255.0,128.0,False,-0.016783093332497594,-2.4748468467189033,-0.0001541510518471287,True,False,38.0,False,False,False,,games5425898691,bf81d8692db,22.0,-67.68000030517578,-2828.389892578125,17.010000228881836,7410.30029296875,-17729.200439453125,2.3999999463558197,-0.29999999329447746,0.7000000029802322,1921.6000366210938,255.0,255.0,,-0.009591358185286666,-2.0309229513868097,9.936185713166637e-05,True,31.0,False,4,4,False,,False
2,282,3,False,False,0,5323.774596692655,-2931.5,220.72000122070312,160.5399932861328,6266.6998291015625,15164.89990234375,9005.999755859375,1713.699951171875,-2120.5999755859375,5344.6002197265625,0.0,-1.0115433595827614,-0.6756981320476254,-2.6934919008391907,76561198039309853,enpitsu,25.0,-2946.169921875,80.4000015258789,92.88999938964844,15397.60009765625,614.3999862670898,1970.7000732421875,3710.5999755859375,3967.0999145507812,861.9000244140625,255.0,255.0,0.6892716170888593,-0.0676787554791996,0.07084404991843943,True,218.0,False,False,1,2,,bf81d8692db,games5425898691,22.0,-3796.010009765625,3100.580078125,17.010000228881836,-3550.7000732421875,-17539.200439453125,2.3000000417232513,0.09999999776482582,0.5000000074505806,1870.7000732421875,128.0,255.0,,0.009647265107844045,-1.7091528759704486,5.043798079268136e-05,True,255.0,False,4,False,4,,Larry_Cotta,7753545550751426444,6.0,-2871.449951171875,3919.2900390625,17.020000457763672,-8458.300170898438,5467.19970703125,1.0000000149011612,-0.5999999865889549,0.5000000074505806,-2732.9000854492188,255.0,0.0,True,0.009556807135724921,2.3056244285559324,-0.00010670975343953328,True,4,116.0,False,4,False,,nortap_666,1417744652047383668,6.0,-2034.97998046875,2550.050048828125,17.010000228881836,2164.7000122070312,-1481.9999694824219,0.0,1.1999999731779099,-1.0999999940395355,1161.3999938964844,255.0,249.0,,0.009494522658538812,-0.7296413287219629,0.00016797842735407706,True,72.39178494740558,True,False,False,False,,
3,345,6,False,False,1,8703.892239321975,1563.22998046875,-3538.280029296875,497.4100036621094,3651.400146484375,-12289.599609375,3449.89990234375,2788.599853515625,-2751.7999267578125,4544.2999267578125,1.0,1.1259146985466544,0.48165166862717795,-1.8704531749058193,1417744652047383668,nortap_666,6.0,1479.0400390625,-3514.72998046875,347.3699951171875,3718.900146484375,-6956.5997314453125,-931.9999694824219,629.900016784668,25.399999618530273,-1789.4000244140625,255.0,0.0,0.33745075248875617,-3.086983297589954,-0.24050577931301448,True,0.0,False,4,False,4,,7753545550751426444,Larry_Cotta,6.0,1709.4200439453125,-3844.239990234375,273.1199951171875,-12858.599853515625,12767.39990234375,3568.599853515625,-475.09998321533203,-3933.5000610351562,-1819.4000244140625,255.0,255.0,False,0.7686585204668123,1.5092003998354029,0.04425288836405289,True,56.639905286091626,True,6,False,5,,enpitsu,76561198039309853,24.0,-95.9000015258789,-619.5700073242188,17.049999237060547,1453.0000305175781,-12379.200439453125,3.400000035762787,-0.0,-0.0,2369.7999572753906,255.0,128.0,False,-0.0167263692486292,-1.753111823455643,-1.8665929825654767e-05,True,2,218.0,False,2,False,,games5425898691,bf81d8692db,22.0,1806.43994140625,-3410.840087890625,392.8699951171875,-9361.099853515625,-17398.800048828125,-371.3999938964844,5033.2000732421875,-975.8000183105469,-1991.1000061035156,255.0,128.0,,-1.0707642556866626,0.26609533600886454,-1.6527128091720196,True,173.48201296662768,True,6,5,False,,False
4,430,9,False,True,0,1742.0751147924425,-2113.010009765625,3893.52001953125,135.0800018310547,18446.600341796875,7936.199951171875,3918.599853515625,5412.7001953125,-528.4000015258789,-2534.2999267578125,0.0,0.6540072756051114,0.7941405994339901,1.0744081834905435,76561198039309853,enpitsu,25.0,-2252.2900390625,3769.989990234375,66.37000274658203,7424.000244140625,9797.999877929688,3316.9000244140625,494.70001220703125,4148.500061035156,-2312.7000427246094,128.0,0.0,0.03287714538098144,1.3881029270742442,0.04717432979239471,True,147.0,False,False,3,4,,bf81d8692db,games5425898691,22.0,780.969970703125,5217.52978515625,17.700000762939453,-29.500000476837158,-33.399999141693115,5.699999928474426,-38.59999895095825,-3.799999952316284,33.59999895095825,128.0,128.0,,0.025098194681831557,-1.932267495805124,0.022530602386572916,True,152.0,False,6,False,6,,Larry_Cotta,7753545550751426444,7.0,39.599998474121094,4205.33984375,17.010000228881836,-3160.7000732421875,11377.80029296875,2.0999999344348907,0.0,-0.5999999865889549,-11.699999570846558,255.0,128.0,False,0.009552826360031255,1.8399314746337037,6.917224585132838e-05,True,6,67.0,False,6,False,,nortap_666,1417744652047383668,6.0,-56.369998931884766,2227.090087890625,17.010000228881836,-3581.4999389648438,8694.89990234375,2.0999999344348907,0.09999999776482582,-0.7000000029802322,-0.5999999865889549,255.0,128.0,False,0.009520829384236491,1.9613739635645489,7.12141327593017e-05,True,0.0,False,4,False,4,,False
5,466,10,False,True,0,1191.5632597502984,274.8800048828125,4918.9501953125,101.1500015258789,15638.499755859375,6187.8997802734375,2513.9999389648438,1492.8999328613281,5152.19970703125,-2534.2999267578125,0.0,-0.07575515075252195,0.2298988847186936,2.196666677593352,bf81d8692db,games5425898691,22.0,159.99000549316406,4682.31982421875,84.63999938964844,-11312.2998046875,-1055.8000183105469,2481.0000610351562,-4946.7999267578125,-2360.8999633789062,-451.5999984741211,255.0,0.0,0.0386008914123728,-2.734156326768811,0.7129437629893953,True,152.0,False,False,7,8,,76561198039309853,enpitsu,25.0,-1463.1500244140625,4821.02978515625,16.850000381469727,9155.30029296875,6298.699951171875,44.49999809265137,0.5999999865889549,-18.899999856948853,-2286.6000366210938,255.0,128.0,False,0.017479112266589863,0.5663216625343397,0.0006192824295898654,True,178.0,False,4,False,4,,Larry_Cotta,7753545550751426444,7.0,-803.6300048828125,4682.83984375,142.64999389648438,-6085.5999755859375,-2767.9998779296875,-157.2000026702881,3046.7001342773438,4575.299987792969,-182.70000457763672,128.0,249.0,False,0.3527999940567743,-1.785232395133297,2.4735000757526597,True,8,22.0,False,7,False,,nortap_666,1417744652047383668,6.0,-129.77999877929688,3669.360107421875,17.010000228881836,7950.0,10279.599609375,2.0999999344348907,1.899999976158142,2.5,-933.0000305175781,255.0,128.0,False,0.009558272517509101,0.8443827398898173,0.00019512847315897918,True,0.0,False,4,False,4,,
6,498,11,True,True,0,1011.1071329947601,78.51000213623047,4870.43017578125,114.23999786376953,13256.199951171875,13231.199951171875,3814.89990234375,235.40000915527344,-817.6000213623047,5939.2999267578125,0.0,-0.9785710312673708,2.9071051305943145,-1.537163363516759,76561198039309853,enpitsu,25.0,-22.110000610351562,4781.77978515625,77.66000366210938,14769.200439453125,-552.2000122070312,2938.3999633789062,1760.2000427246094,-2208.8999938964844,-2757.7999877929688,128.0,255.0,0.010092999186279098,-0.59575088104845,0.01068821373123959,True,153.0,False,False,5,6,,bf81d8692db,games5425898691,22.0,-1106.760009765625,4455.06982421875,16.68000030517578,-4019.1000366210938,-8041.6998291015625,79.40000057220459,37.200000286102295,34.60000038146973,2567.60009765625,255.0,255.0,,0.008394227554961716,-1.9423296923320976,0.0029870960671915603,True,152.0,False,8,False,8,,Larry_Cotta,7753545550751426444,7.0,-1205.050048828125,4347.10986328125,17.010000228881836,3902.60009765625,-3934.89990234375,2.3000000417232513,0.0,0.0,2232.7000427246094,255.0,255.0,False,0.00949543296358332,-0.8220223107907778,3.3983515768819584e-05,True,8,22.0,False,8,False,,nortap_666,1417744652047383668,6.0,494.3999938964844,4824.830078125,17.010000228881836,-2734.2999267578125,9489.099731445312,2.5,-0.09999999776482582,0.0,2412.4000549316406,255.0,255.0,False,0.009522412540534389,1.900820396853804,-7.572537426389524e-06,True,0.0,False,4,False,4,,False
7,760,12,False,False,1,5111.707335336683,-42.849998474121094,115.25,90.19999694824219,196.39999389648438,9896.699829101562,-2713.5000610351562,-2862.9998779296875,-4700.0,-2389.9000549316406,1.0,-0.009197112422148655,0.026042698243586435,-0.14890376320283763,7753545550751426444,Larry_Cotta,6.0,-47.900001525878906,-0.30000001192092896,152.60000610351562,-6585.5999755859375,1670.5000305175781,3443.800048828125,-2097.5,-2294.600067138672,-4537.0001220703125,255.0,120.0,-1.027832501836112,-1.941069761914274,-2.7684063779747,True,0.0,False,False,3,4,,1417744652047383668,nortap_666,5.0,-65.76000213623047,-2088.5400390625,17.010000228881836,-2213.3999633789062,10666.8994140625,2.3999999463558197,0.3999999910593033,-1.8000000715255737,1975.5999755859375,255.0,255.0,False,-0.00955523673844243,1.3596627057298205,0.0003296620619217327,True,116.0,False,False,False,False,,enpitsu,76561198039309853,25.0,-100.18000030517578,300.95001220703125,66.9000015258789,2902.60009765625,-17054.000244140625,2617.2000122070312,2437.7000427246094,-3457.60009765625,-982.5,128.0,0.0,,-0.01745621780986766,-2.173188125338345,0.05262024691567224,True,2,19.0,False,1,False,,games5425898691,bf81d8692db,22.0,-2904.39990234375,4040.85009765625,17.010000228881836,-16806.600341796875,2995.7000732421875,2.3000000417232513,0.7000000029802322,-0.29999999329447746,1856.3999938964844,128.0,255.0,,-0.009629956869137852,0.11832975028585681,8.349680465482598e-05,True,0.0,False,False,False,False,50.0,
8,761,12,False,False,0,5347.660600667726,44.709999084472656,-124.2699966430664,94.9800033569336,-784.0000152587891,-77.8000020980835,1757.2999572753906,-804.4000244140625,2482.899932861328,3060.8999633789062,0.0,0.11051596747669425,0.0017602504443211219,-0.1523464277316334,76561198039309853,enpitsu,25.0,119.16999816894531,-271.79998779296875,81.44000244140625,3511.6000366210938,-1620.5999755859375,868.8999938964844,-1321.1000061035156,5191.099853515625,1247.300033569336,128.0,0.0,-0.20163745651796686,1.7922433385815677,0.5118648108393632,True,19.0,False,False,1,2,,bf81d8692db,games5425898691,22.0,2904.39990234375,-4040.85009765625,17.010000228881836,16806.600341796875,-2995.7000732421875,2.3000000417232513,-0.7000000029802322,0.29999999329447746,1856.3999938964844,128.0,255.0,,0.009629956869137852,-0.11832975028585681,8.349680465482598e-05,True,255.0,False,False,False,False,,Larry_Cotta,7753545550751426444,6.0,47.900001525878906,0.30000001192092896,152.60000610351562,6585.5999755859375,-1670.5000305175781,3443.800048828125,2097.5,2294.600067138672,-4537.0001220703125,255.0,120.0,,1.027832501836112,1.941069761914274,-2.7684063779747,True,4,0.0,False,3,False,,nortap_666,1417744652047383668,5.0,91.05000305175781,2000.1400146484375,17.010000228881836,3627.60009765625,-10563.199462890625,2.199999988079071,-2.199999988079071,6.1000001430511475,1614.4999694824219,255.0,128.0,False,0.009551208833430058,-1.1875127740011073,8.120559440964877e-05,True,116.0,False,False,False,False,,
9,762,12,False,False,1,5097.33248230744,-42.560001373291016,129.82000732421875,96.7699966430664,1277.6000213623047,5284.5001220703125,-1356.6999816894531,1435.8000183105469,-5521.400146484375,153.00000190734863,1.0,-0.24535432820154676,-0.049830884552425146,-0.1844005860660891,7753545550751426444,Larry_Cotta,6.0,-47.900001525878906,-0.30000001192092896,152.60000610351562,-6585.5999755859375,1670.5000305175781,3443.800048828125,-2097.5,-2294.600067138672,-4537.0001220703125,255.0,120.0,-1.027832501836112,-1.941069761914274,-2.7684063779747,True,0.0,False,False,3,4,,1417744652047383668,nortap_666,5.0,-91.05000305175781,-2000.1400146484375,17.010000228881836,-3627.60009765625,10563.199462890625,2.199999988079071,2.199999988079071,-6.1000001430511475,1614.4999694824219,255.0,128.0,False,-0.009551208833430058,1.1875127740011073,8.120559440964877e-05,True,116.0,False,False,False,False,,enpitsu,76561198039309853,25.0,-119.16999816894531,271.79998779296875,81.44000244140625,-3511.6000366210938,1620.5999755859375,868.8999938964844,1321.1000061035156,-5191.099853515625,1247.300033569336,128.0,0.0,,0.20163745651796686,-1.7922433385815677,0.5118648108393632,True,2,19.0,False,1,False,,games5425898691,bf81d8692db,22.0,-3042.85009765625,4053.93994140625,17.010000228881836,-16394.300537109375,398.6000061035156,2.3000000417232513,0.29999999329447746,-0.09999999776482582,1931.300048828125,128.0,255.0,,-0.00963073295222121,-0.040135450201137526,4.7603797329821557e-05,True,255.0,False,False,False,False,,
