,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,team_mate_handbrake
0,169,0,False,False,1,5210.67502599552,2.0,6.590000152587891,93.30999755859375,1387.2999572753906,20238.299560546875,1628.8999938964844,2954.5999145507812,-1333.0999755859375,5048.999938964844,1.0,-0.022185442109760083,-0.07697077468665652,-0.04448624167202568,76561198039309853,enpitsu,25.0,18.280000686645508,-146.00999450683594,112.43000030517578,14261.800537109375,16392.7001953125,1106.2999725341797,-4669.200134277344,2370.800018310547,1681.300048828125,255.0,255.0,,-1.1834093919710282,2.272363283942787,-0.04668906435841598,True,1,False,0.0,False,2,,bf81d8692db,games5425898691,18.0,-2797.820068359375,-4110.8798828125,17.010000228881836,-16988.399658203125,2450.7000732421875,2.3000000417232513,-0.19999999552965164,-0.0,-1969.4000244140625,255.0,0.0,-0.009582436975621172,0.21261886171848898,-4.055288680133572e-05,True,False,0.0,False,False,False,,Dangr_Uchiha,87219e30c0c64e26bf86bf39341c3bdf,22,358.5299987792969,410.1600036621094,92.11000061035156,-1030.8000183105469,-12263.199462890625,1350.2000427246094,-567.7999877929688,4857.200012207031,2516.7999267578125,217.0,132.0,,-0.9847098399962678,-0.257980315720979,2.9747373269376784,True,0.0,False,4,3,False,,Mozacrack,2535462342741635,10.0,-111.70999908447266,2039.1300048828125,17.010000228881836,-439.90001678466797,-11900.699462890625,2.0999999344348907,-0.0,-0.09999999776482582,146.99999809265137,254.0,128.0,,-0.009559289113619794,-1.5495231418391886,-8.642291867972011e-05,True,4,False,4,116.0,False,,
1,507,3,False,False,0,5171.3498533032935,-27.510000228881836,42.099998474121094,99.75,-16700.699462890625,24888.00048828125,4368.2000732421875,746.6999816894531,999.5999908447266,-3254.2001342773438,0.0,0.016996036500162858,-0.05413085720135712,0.012001550609366037,2535462342741635,Mozacrack,12.0,58.02000045776367,-107.12999725341797,47.61000061035156,-14120.30029296875,14043.299560546875,1988.3000183105469,4186.499938964844,-1324.9000549316406,796.2999725341797,255.0,229.0,False,-0.04714691271860686,2.092572517684502,-0.16678969218034562,True,5,False,0.0,False,6,,87219e30c0c64e26bf86bf39341c3bdf,Dangr_Uchiha,22.0,-2761.679931640625,-3792.169921875,17.010000228881836,-15695.699462890625,-9848.900146484375,2.3000000417232513,0.7999999821186066,0.3999999910593033,1845.2999877929688,240.0,255.0,0.009587094104751226,-2.5268635210941586,0.00012823397575722584,True,False,0.0,False,False,False,,enpitsu,76561198039309853,25,-61.06999969482422,4178.10009765625,17.049999237060547,990.6999969482422,-6618.900146484375,2.5999999046325684,0.09999999776482582,0.7000000029802322,-6.1000001430511475,255.0,128.0,,0.01661219338141274,-1.4230568725035382,5.887365990089541e-05,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,18.0,-116.77999877929688,568.2000122070312,48.849998474121094,3026.400146484375,-18378.499755859375,3293.800048828125,518.6999893188477,22.5,-1405.2999877929688,255.0,128.0,,0.02255350757539609,-1.5598294514825084,-3.655276145715813e-05,True,4,False,False,0.0,False,,
2,509,3,False,False,1,5431.235707849359,200.72999572753906,-246.5500030517578,154.33999633789062,23658.60107421875,5346.199951171875,13119.100341796875,4243.900146484375,878.4999847412109,-4149.2999267578125,1.0,0.016636907831789432,0.536470555536245,-0.11482401490147767,bf81d8692db,games5425898691,18.0,106.87999725341797,-503.3699951171875,59.290000915527344,-2813.699951171875,22631.0009765625,2973.5000610351562,-2676.300048828125,20.69999933242798,-1318.8999938964844,255.0,128.0,,-0.06300258114385744,1.604895169944382,-0.001219665645203914,True,3,False,0.0,False,4,,76561198039309853,enpitsu,25.0,52.349998474121094,-4119.60009765625,17.049999237060547,-1092.300033569336,7342.5,2.5999999046325684,-0.09999999776482582,-0.5999999865889549,-1.1999999731779099,255.0,128.0,-0.016620372631494823,1.4232992752037836,4.981359084037219e-05,True,False,116.0,False,False,False,,Dangr_Uchiha,87219e30c0c64e26bf86bf39341c3bdf,22,2884.820068359375,3883.31005859375,17.010000228881836,13956.500244140625,11791.099853515625,2.3999999463558197,-0.0,-0.0,2228.699951171875,239.0,255.0,,-0.009589493471763112,2.3584482755882026,0.00011313342633842892,True,0.0,False,False,False,False,,Mozacrack,2535462342741635,11.0,59.779998779296875,-10.109999656677246,61.709999084472656,14147.39990234375,-14090.899658203125,1446.3999938964844,437.20001220703125,5332.7001953125,-1273.0999755859375,255.0,243.0,False,-0.1369468975736996,-2.026966301887212,-0.6838788779603132,True,6,False,5,0.0,False,,
3,614,7,False,False,1,3536.857886604621,1201.260009765625,1616.3399658203125,263.6099853515625,488.80001068115234,32388.20068359375,-3243.900146484375,-510.99998474121094,2161.999969482422,-18.899999856948853,1.0,0.32137881322704653,-1.2340848710139976,1.2855524758930148,76561198039309853,enpitsu,25.0,1155.780029296875,1472.3199462890625,201.25999450683594,-1303.800048828125,19644.599609375,420.40000915527344,-1012.6999664306641,-1403.6000061035156,4741.9000244140625,255.0,0.0,,0.32683293587469336,2.0350623730659754,0.1410152013115619,True,1,False,0.0,False,2,,bf81d8692db,games5425898691,18.0,-3554.14990234375,10.510000228881836,16.989999771118164,-5739.6002197265625,-19587.80029296875,4.799999892711639,0.29999999329447746,0.5000000074505806,1967.5,255.0,255.0,-0.00956675951910961,-1.3575427393293469,5.793713298407795e-05,True,4,255.0,False,4,False,,Dangr_Uchiha,87219e30c0c64e26bf86bf39341c3bdf,23,1037.3499755859375,2388.199951171875,68.41999816894531,-2276.1000061035156,-18089.100341796875,3160.10009765625,-786.8000030517578,68.09999942779541,706.2000274658203,214.0,142.0,False,0.0467337717792718,-1.5280880392629947,-0.0008947443406387525,True,211.53409022156913,True,4,False,False,,Mozacrack,2535462342741635,11.0,3891.340087890625,1525.77001953125,23.040000915527344,-9139.89990234375,17432.19970703125,-2679.5001220703125,-280.2000045776367,4383.999938964844,1698.0000305175781,255.0,255.0,False,-0.11620931506763496,1.0005627284377232,-0.20203544305834206,True,8,False,8,217.80926465988162,True,,
4,688,9,False,False,0,7726.090447378964,-1242.199951171875,-2578.330078125,168.89999389648438,-10769.300537109375,23381.4990234375,3508.5000610351562,-957.3000335693359,4548.900146484375,-3793.3999633789062,0.0,0.8352554047966263,-2.46706761971128,3.1300744497484527,2535462342741635,Mozacrack,11.0,-1108.0699462890625,-2722.2900390625,59.2400016784668,-15969.599609375,10524.89990234375,3052.0001220703125,-221.49999618530273,-4381.499938964844,2725.4998779296875,254.0,210.0,False,0.08310729566705852,2.536106282999374,-0.028149250381052423,True,9,False,128.94733778122932,True,10,,87219e30c0c64e26bf86bf39341c3bdf,Dangr_Uchiha,23.0,-323.19000244140625,222.0500030517578,17.020000457763672,897.3000335693359,-16201.8994140625,-1.2999999523162842,0.0,0.0,-136.49999618530273,230.0,123.0,0.00959217365681188,-1.5221944632415227,3.4721307424368285e-05,True,4,167.0,False,4,False,,enpitsu,76561198039309853,25,-2578.64990234375,-3690.9599609375,17.059999465942383,-15525.6005859375,10071.099853515625,1.1999999731779099,0.29999999329447746,-0.19999999552965164,-0.09999999776482582,255.0,128.0,,0.01678203113153381,2.5661250140793674,3.50691551036948e-05,True,0.0,False,2,2,False,,games5425898691,bf81d8692db,18.0,-421.20001220703125,-1294.1199951171875,16.989999771118164,-16146.800537109375,-16263.800048828125,4.4999998807907104,0.9000000357627869,0.5999999865889549,-449.90001678466797,255.0,72.0,,0.009573183236221654,-2.359733007916078,-5.1489979815520814e-05,True,4,False,4,255.0,False,,False
5,842,15,False,False,1,10160.69512912173,2315.929931640625,-4920.990234375,97.33999633789062,7090.5999755859375,420.49999237060547,4084.2999267578125,2348.800048828125,-3894.4000244140625,-3913.599853515625,1.0,-0.08155757248449091,-1.786576625315141,0.9105272359564902,bf81d8692db,games5425898691,19.0,2156.199951171875,-4957.02978515625,16.030000686645508,3323.2000732421875,8809.199829101562,-1041.6999816894531,2801.400146484375,-250.49999237060547,-1990.2000427246094,255.0,0.0,,-0.0430792652382095,1.9048327332251138,-0.027408268878874247,True,4,False,247.0,False,4,,76561198039309853,enpitsu,25.0,1516.47998046875,-4753.5400390625,17.040000915527344,-472.90000915527344,5386.300048828125,3.8999998569488525,-0.7999999821186066,-0.0,0.0,128.0,128.0,-0.01700737128583778,-1.658406025186161,-2.985291075526174e-06,True,4,0.0,False,4,False,,Dangr_Uchiha,87219e30c0c64e26bf86bf39341c3bdf,22,1217.3499755859375,-3329.550048828125,17.020000457763672,11509.69970703125,-451.5999984741211,0.7000000029802322,-2.5,-0.29999999329447746,1218.6000061035156,238.0,125.0,False,-0.009576011757277306,3.050405044127399,-0.00025974778182302164,True,228.0,False,4,4,False,,Mozacrack,2535462342741635,11.0,3974.85009765625,-4013.0,1005.77001953125,1674.7999572753906,3322.2000122070312,-1445.3999328613281,1125.2999877929688,-406.30001068115234,471.50001525878906,254.0,71.0,False,-0.3062068168252208,2.0684220055336158,-1.5765293703612269,True,14,4,12,141.0,False,,
6,877,16,False,False,1,10176.817449470704,3136.469970703125,-4787.1298828125,301.5799865722656,3101.4999389648438,5558.699951171875,4955.199890136719,782.5,-771.1000061035156,-4967.699890136719,1.0,0.07759142317222363,-0.7931166714558381,1.549899914538529,bf81d8692db,games5425898691,18.0,3128.409912109375,-4826.31982421875,100.05000305175781,8740.2001953125,1179.5999908447266,6146.5997314453125,-1579.4999694824219,-2952.0001220703125,-591.8000030517578,255.0,11.0,,0.6220909105714275,3.018965639462294,-0.6235790029255849,True,4,False,225.03939798826815,True,4,,76561198039309853,enpitsu,25.0,1861.72998046875,-4852.91015625,17.040000915527344,8558.900146484375,-495.0,3.799999952316284,1.7000000178813934,1.7000000178813934,286.299991607666,255.0,255.0,-0.016684378202507896,-3.1136487823815107,-0.00026011119458866126,True,4,0.0,False,4,False,,Dangr_Uchiha,87219e30c0c64e26bf86bf39341c3bdf,22,2672.669921875,-3901.02001953125,17.020000457763672,10929.100341796875,-9565.499877929688,0.7000000029802322,-0.19999999552965164,0.5999999865889549,32.30000019073486,219.0,130.0,False,-0.009562810664278993,-2.4234534230333424,6.975422063212029e-05,True,210.0,False,4,4,False,,Mozacrack,2535462342741635,11.0,4078.97998046875,-3535.070068359375,322.4100036621094,-14.40000057220459,-5075.299987792969,-5112.200012207031,-2183.9999389648438,2.0999999344348907,-56.599998474121094,254.0,244.0,False,-0.7333394863005895,-1.5834391570357804,1.5795476579362309,True,14,4,12,141.0,False,,
7,883,16,False,False,1,10070.397447619684,3206.5,-4661.759765625,396.9200134277344,1567.1000671386719,9075.999755859375,5828.599853515625,-1270.6999969482422,-3641.199951171875,-2460.2999877929688,1.0,-0.14897595700468577,0.3106698982480496,1.4344422405230284,bf81d8692db,games5425898691,18.0,3251.760009765625,-4785.77001953125,233.3300018310547,5265.3997802734375,3841.6000366210938,8415.0,-2270.500030517578,-1273.0999755859375,-617.400016784668,255.0,156.0,,0.9685491101397464,2.4992538332938388,-1.3814346547199408,True,4,False,225.0,False,4,,76561198039309853,enpitsu,25.0,2055.6201171875,-4830.77978515625,17.040000915527344,8162.19970703125,2322.899932861328,3.8999998569488525,-7.099999785423279,-2.7000001072883606,1249.1000366210938,0.0,128.0,-0.01670119312989708,2.8205572211651577,-9.9504258801208e-05,True,4,0.0,False,4,False,,Dangr_Uchiha,87219e30c0c64e26bf86bf39341c3bdf,22,2864.340087890625,-4066.669921875,17.020000457763672,10998.00048828125,-9029.7998046875,1.0000000149011612,3.0000001192092896,-1.7000000178813934,914.5999908447266,128.0,255.0,False,-0.009610971963456628,-2.4500679279027775,0.00014460620072937407,True,210.0,False,4,4,False,,Mozacrack,2535462342741635,11.0,4061.280029296875,-3713.7099609375,200.22000122070312,-1824.6000671386719,-8271.599731445312,-3662.0001220703125,-1964.4000244140625,941.8000030517578,17.300000190734863,186.0,250.0,False,-0.38753259268014784,-1.3479250005677468,1.3383470771832353,True,14,4,12,141.0,False,,
8,938,18,False,False,0,3434.6963418289624,-3497.489990234375,2897.3701171875,246.35000610351562,9785.399780273438,-6421.9000244140625,-3731.4999389648438,878.6000061035156,1775.5999755859375,-76.70000076293945,0.0,0.19108166819622383,2.8262899908671066,-0.5915802604793737,87219e30c0c64e26bf86bf39341c3bdf,Dangr_Uchiha,22.0,-3681.10009765625,2942.989990234375,174.77000427246094,4233.900146484375,-5849.7998046875,736.6000366210938,-3365.5999755859375,4274.100036621094,-808.7000274658203,128.0,253.0,False,0.05198768928719543,-0.5375926293768956,-0.6686680772515918,True,5,False,210.0,False,6,,2535462342741635,Mozacrack,11.0,-3980.64990234375,4002.590087890625,878.739990234375,-947.6999664306641,-1856.4999389648438,4463.699951171875,2078.5000610351562,-1238.7000274658203,344.70001220703125,255.0,255.0,-1.0790121001316064,-2.0652493053336,-1.562526357295104,True,12,115.0,False,14,4,,enpitsu,76561198039309853,25,-2419.7900390625,3673.39990234375,17.040000915527344,-504.00001525878906,-12129.300537109375,3.8999998569488525,0.09999999776482582,-0.7000000029802322,0.0,255.0,128.0,,0.01670347690465454,-1.6123383745630901,-5.701605850669457e-05,True,,False,4,4,False,,games5425898691,bf81d8692db,18.0,-3737.889892578125,3401.949951171875,15.15999984741211,11535.799560546875,-13447.5,336.50001525878906,183.89999389648438,383.8999938964844,-1601.3999938964844,255.0,0.0,,-0.019663087526434288,-0.8855129148276641,0.02523569859113943,True,4,False,4,165.46037011249095,True,,False
9,964,19,False,False,1,7745.243093528416,2757.1298828125,-2378.31005859375,203.38999938964844,6471.500244140625,13981.400146484375,9934.7998046875,2504.499969482422,-5451.9000244140625,-59.699997901916504,1.0,-0.8799401774574599,1.1950516545896177,1.9401922897106323,76561198039309853,enpitsu,25.0,2628.31005859375,-2531.27001953125,70.26000213623047,8939.199829101562,16431.600341796875,2981.4999389648438,-3755.8999633789062,2930.7000732421875,-2050.800018310547,255.0,128.0,,-0.13761767989721235,2.2899974866274464,-0.009268377608321368,True,5,False,,False,6,,bf81d8692db,games5425898691,18.0,2778.949951171875,-1739.4200439453125,94.43000030517578,-12576.500244140625,17175.400390625,-156.00000381469727,1832.4000549316406,-5161.7999267578125,497.5,255.0,128.0,-0.09061127549484586,1.2296956242908978,2.5254819165663687,True,5,152.0,False,6,False,,Dangr_Uchiha,87219e30c0c64e26bf86bf39341c3bdf,22,3236.169921875,-2161.570068359375,141.39999389648438,-7226.9000244140625,10953.800048828125,-1539.7999572753906,253.1999969482422,-850.9999847412109,-701.6000366210938,166.0,22.0,False,0.14723066434502116,0.7248821324824267,0.029977512998283856,True,153.57198284518333,True,6,6,False,,Mozacrack,2535462342741635,11.0,3965.3798828125,-3255.860107421875,783.2999877929688,-5055.799865722656,13758.299560546875,-6874.5001220703125,-162.00000762939453,4531.7999267578125,-1420.3999328613281,254.0,69.0,True,-0.20133998935847328,1.4377262178792523,-0.9125889345161853,True,16,4,12,55.49868372178849,True,,
