,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_ball_cam,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,team_mate_handbrake
0,170,0.0,False,False,1,5139.276121899884,-38.65999984741211,86.43000030517578,177.67999267578125,-2391.999969482422,13671.099853515625,22828.1005859375,5342.9998779296875,2621.7001342773438,-760.1999664306641,1.0,0.046665586530561805,0.09284869051831084,-0.015664224644489144,76561198046515681,blablaxx,4.0,-8.069999694824219,-45.650001525878906,44.34000015258789,-8886.199951171875,13381.8994140625,-309.89999771118164,3032.39990234375,3856.7001342773438,-2485.8999633789062,255.0,255.0,True,-0.08638811051509304,1.0417816241621467,-0.1995589185504998,5.097212850406602,True,4,6,False,True,,4146498097048798442,YM3159,21.0,-17.260000228881836,-1452.8900146484375,17.010000228881836,293.0999946594238,13876.700439453125,2.199999988079071,0.09999999776482582,4.900000095367432,-1501.300048828125,247.0,114.0,-0.009582821559566461,1.6341737225083077,-0.00014347137331340145,True,59.0,False,False,False,False,,enpitsu,76561198039309853,27,-99.37999725341797,176.77999877929688,111.1500015258789,7825.8001708984375,-15208.1005859375,1276.9999694824219,5374.89990234375,1115.5000305175781,339.50000762939453,255.0,0.0,False,-0.8640613173389318,-2.524306594237394,0.546700196110266,True,2,False,1,0.0,False,,games5425898691,bf81d8692db,24.0,2811.800048828125,4082.6298828125,17.010000228881836,16450.999755859375,2048.9999389648438,2.3000000417232513,0.5000000074505806,0.09999999776482582,-1906.4999389648438,128.0,0.0,,-0.00963632565086806,3.0795796513608558,-6.274253009958588e-05,True,False,False,False,0.0,False,,
1,171,0.0,False,False,0,5277.208674507263,14.380000114440918,-58.09000015258789,254.30999755859375,-9024.000244140625,11221.700439453125,24016.298828125,5783.900146484375,1536.7999267578125,-428.49998474121094,0.0,0.07655050175120724,-0.11289232822454187,0.3061710465173407,76561198039309853,enpitsu,27.0,99.37999725341797,-176.77999877929688,111.1500015258789,-7825.8001708984375,15208.1005859375,1276.9999694824219,-5374.89990234375,-1115.5000305175781,339.50000762939453,255.0,0.0,False,0.8640613173389318,2.524306594237394,0.546700196110266,0.0,False,1,2,False,True,,bf81d8692db,games5425898691,24.0,-2920.050048828125,-4088.489990234375,17.010000228881836,-16032.5,27.699999809265137,2.3000000417232513,-0.19999999552965164,-0.09999999776482582,-1952.4000549316406,128.0,0.0,0.009633923709018352,3.074667214680404,-3.641247291194275e-05,True,255.0,False,False,False,False,40.0,blablaxx,76561198046515681,4,8.069999694824219,45.650001525878906,44.34000015258789,8886.199951171875,-13381.8994140625,-309.89999771118164,-3032.39990234375,-3856.7001342773438,-2485.8999633789062,255.0,255.0,True,0.08638811051509304,-1.0417816241621467,-0.1995589185504998,True,6,False,4,2.005040845563331,True,,YM3159,4146498097048798442,21.0,17.260000228881836,1452.8900146484375,17.010000228881836,-293.0999946594238,-13876.700439453125,2.199999988079071,-0.09999999776482582,-4.900000095367432,-1501.300048828125,247.0,114.0,,0.009582821559566461,-1.6341737225083077,-0.00014347137331340145,True,False,False,False,59.0,False,,
2,288,4.0,False,False,0,2484.724533378354,-2286.27001953125,3080.6298828125,954.4199829101562,12083.1005859375,6971.5997314453125,9600.900268554688,-235.30000686645508,-3133.2998657226562,-4713.999938964844,0.0,0.12335246215574758,0.0026654256739552912,-0.2286836296384078,bf81d8692db,games5425898691,24.0,-2356.860107421875,3083.820068359375,801.1799926757812,9056.300048828125,17627.19970703125,7391.099853515625,1342.5999450683594,1327.2000122070312,283.4000015258789,255.0,13.0,,-0.8829886269651641,-0.9753537202841385,1.8975479780218008,144.0,False,False,4,False,True,,76561198039309853,enpitsu,27.0,-2577.820068359375,75.12000274658203,17.049999237060547,1594.7999572753906,13045.2001953125,3.3000001311302185,-0.09999999776482582,0.0,-2303.800048828125,255.0,128.0,0.01673603418886739,1.3843147910608395,5.8489399008909714e-06,True,,False,4,4,False,,blablaxx,76561198046515681,4,2243.030029296875,1966.4599609375,117.88999938964844,-16144.300537109375,15965.400390625,-144.0999984741211,-3182.9000854492188,-4477.0001220703125,273.8999938964844,255.0,128.0,False,-0.9008847756368479,-0.775649598381279,-3.0486355501434983,True,8,False,7,214.0,False,,YM3159,4146498097048798442,15.0,-2862.679931640625,4926.22021484375,33.7400016784668,11377.7001953125,6986.6998291015625,-107.39999771118164,33.19999933242798,253.1999969482422,-2332.100067138672,251.0,37.0,,0.0345329196309013,0.509795850598897,0.4090828549105302,True,4,False,4,255.0,False,,
3,495,11.0,False,False,1,9572.854359425586,-3470.639892578125,-3378.919921875,116.61000061035156,-6620.3997802734375,10621.500244140625,3372.60009765625,1377.4000549316406,-1039.4999694824219,-715.9999847412109,1.0,-0.20154338681931583,0.8294005593850191,-0.3586869477112651,76561198046515681,blablaxx,5.0,-3371.550048828125,-3575.6298828125,18.780000686645508,-8689.199829101562,6407.2998046875,4.000000059604645,0.29999999329447746,0.19999999552965164,-1940.5999755859375,255.0,48.0,False,0.004745762834902192,0.6629325104866767,5.2934199819789484e-05,201.75052903031795,True,8,8,False,False,,4146498097048798442,YM3159,15.0,,,,,,,,,,,,,,,True,,,,,,,enpitsu,76561198039309853,27,-2087.449951171875,3242.280029296875,17.049999237060547,-958.0000305175781,-13382.7001953125,2.5,0.7000000029802322,0.29999999329447746,-43.499999046325684,128.0,128.0,False,-0.01679920852214675,-1.4937316645393184,4.710706438770633e-05,True,6,False,6,255.0,False,,games5425898691,bf81d8692db,24.0,-2008.72998046875,-3102.969970703125,16.84000015258789,-11243.800048828125,-7761.300048828125,-79.00000095367432,108.99999618530273,-112.39999771118164,337.2999954223633,255.0,128.0,,-0.009417172815216743,-0.6510414019867535,0.0008953366514716077,True,False,False,4,49.70481696949208,True,,
4,517,12.0,False,False,1,9100.52632757585,-3978.27001953125,-2545.1201171875,182.61000061035156,2786.400146484375,7066.300048828125,2992.0999145507812,-2218.9999389648438,-1116.6000366210938,5461.500244140625,1.0,0.38661560213573165,1.2166399781473423,-1.567003919978156,76561198046515681,blablaxx,5.0,-3819.179931640625,-2832.68994140625,19.200000762939453,323.3000183105469,7718.0999755859375,-16.00000023841858,-22.000000476837158,-61.99999809265137,-328.49998474121094,218.0,128.0,False,-0.0017787314932686791,1.641811789033132,0.014609956748935168,199.0,False,8,8,False,False,,4146498097048798442,YM3159,15.0,,,,,,,,,,,,,,,True,,,,,,,enpitsu,76561198039309853,27,-2159.919921875,2326.550048828125,17.049999237060547,-725.8999633789062,-9092.999877929688,2.5,0.5999999865889549,0.09999999776482582,-0.09999999776482582,128.0,128.0,False,-0.016806575697793712,-1.4910865223505747,1.696080512434155e-05,True,6,False,6,255.0,False,,games5425898691,bf81d8692db,24.0,-3300.510009765625,-3240.64990234375,16.989999771118164,-14922.60009765625,10725.0,4.799999892711639,-0.3999999910593033,0.19999999552965164,-1987.5999450683594,255.0,0.0,,-0.00959295577086755,0.696539776517647,-5.64945838458645e-05,True,False,False,4,0.0,False,,
5,570,14.0,False,False,0,5826.70665975357,3525.590087890625,1345.260009765625,118.19000244140625,-6038.3001708984375,110.60000419616699,1651.9999694824219,2414.199981689453,743.1999969482422,798.3000183105469,0.0,-0.9745438164536747,-1.2330201190786727,-2.7145013466481154,bf81d8692db,games5425898691,24.0,3631.75,1241.6099853515625,16.3700008392334,-3951.400146484375,-841.6999816894531,-5.699999928474426,-101.70000076293945,196.5999984741211,642.6000213623047,255.0,230.0,,0.02448496399686442,-3.045829901795112,0.011246964709723693,,False,False,4,False,True,,76561198039309853,enpitsu,27.0,2202.550048828125,-1626.25,17.049999237060547,-2090.500030517578,13292.099609375,-2.199999988079071,-0.5000000074505806,2.8999999165534973,233.29999923706055,255.0,128.0,0.016744023525344733,1.7496251556564193,-0.0002454046673075712,True,189.27205149845406,True,6,6,False,,blablaxx,76561198046515681,5,3427.5400390625,-312.2799987792969,18.780000686645508,-9477.999877929688,-14010.999755859375,2.7000001072883606,0.0,0.29999999329447746,-2636.400146484375,243.0,0.0,False,-0.004787170658281544,-2.3230953973478337,-1.2356616479911043e-05,True,8,False,8,255.0,False,,YM3159,4146498097048798442,15.0,,,,,,,,,,,,,,,,True,,,,,,,
6,588,15.0,False,False,0,5512.960530659757,3126.81005859375,1370.4200439453125,102.86000061035156,-6531.500244140625,6357.19970703125,2753.900146484375,3006.7999267578125,-1701.0000610351562,-733.3999633789062,0.0,0.5491388978495019,-0.6610389579083429,-2.1370177926514304,bf81d8692db,games5425898691,24.0,3185.510009765625,1212.1199951171875,16.850000381469727,-7747.1002197265625,3754.7000122070312,24.600000381469727,92.39999771118164,-76.39999866485596,-2074.7999572753906,255.0,0.0,,0.003390784201643878,2.6302838277691936,-0.021055213600906196,,False,False,4,False,True,,76561198039309853,enpitsu,27.0,2072.949951171875,-579.2899780273438,17.049999237060547,28.80000114440918,19668.900146484375,-1.5000000596046448,0.09999999776482582,1.5000000596046448,-1588.5000610351562,255.0,128.0,0.016782386011496175,1.5402720427038583,-0.00029437285145146434,True,159.44388801820818,True,6,6,False,,blablaxx,76561198046515681,5,2492.199951171875,-331.5199890136719,18.780000686645508,-11543.199462890625,12664.49951171875,3.8999998569488525,0.19999999552965164,0.0,-2001.3999938964844,255.0,5.0,False,-0.004784460378875161,2.231729064446277,4.14004296952522e-06,True,8,False,8,201.67889033594443,True,,YM3159,4146498097048798442,15.0,-2215.89990234375,4494.39990234375,17.010000228881836,4185.199890136719,-3573.900146484375,2.0999999344348907,-3.700000047683716,3.400000035762787,1291.199951171875,253.0,128.0,,0.009479674172761837,-0.6942903375545418,-7.354381735142214e-05,True,False,False,False,85.0,False,,
7,601,15.0,False,False,0,5094.574121836634,2828.080078125,1663.52001953125,162.92999267578125,-7554.7998046875,9755.599975585938,2570.7000732421875,2444.1000366210938,-2001.199951171875,-781.6000366210938,0.0,0.2980789157404717,-0.15315642329987186,-0.37843666164759077,bf81d8692db,games5425898691,24.0,2895.929931640625,1502.030029296875,46.209999084472656,-6769.5001220703125,8241.599731445312,3469.4000244140625,-307.00000762939453,-263.99999618530273,-846.9000244140625,255.0,59.0,,0.017821849317387117,2.2359483225669075,-0.0007456999275548212,,False,False,6,False,True,,76561198039309853,enpitsu,27.0,2237.39990234375,424.1700134277344,17.020000457763672,1339.2999267578125,18001.600341796875,-51.90000057220459,-66.10000133514404,224.3000030517578,-1353.5000610351562,0.0,128.0,0.014307552228044503,1.4918147992794824,-0.005444495588777015,True,148.0,False,6,6,False,,blablaxx,76561198046515681,5,2297.6201171875,461.6099853515625,52.029998779296875,-110.60000419616699,22965.2001953125,1258.0999755859375,77.8000020980835,-342.5,1115.8999633789062,255.0,128.0,False,-0.0049003591817033685,1.9034532116724285,-0.0904534251186398,False,8,False,8,161.06395691953682,True,,YM3159,4146498097048798442,15.0,-1922.199951171875,4285.39013671875,17.010000228881836,8240.30029296875,-4120.10009765625,2.3999999463558197,-1.0000000149011612,0.3999999910593033,2133.0999755859375,254.0,255.0,,0.009537042936827176,-0.45854020181987193,0.00025058934616903995,True,False,False,False,85.0,False,,
8,657,17.0,False,False,1,9875.67169917726,-1076.989990234375,-4536.580078125,175.2100067138672,-28688.798828125,-15793.699951171875,3646.9000244140625,4017.9000854492188,4314.5001220703125,-1074.4999694824219,1.0,1.026034019521068,-1.6021986089423765,2.626472980586673,76561198046515681,blablaxx,5.0,-1210.06005859375,-4728.60009765625,18.780000686645508,14561.99951171875,-12345.799560546875,2.800000011920929,-1.899999976158142,-0.19999999552965164,928.7000274658203,58.0,233.0,False,0.004872229768602214,-2.4453580627093747,-6.264228370136961e-05,127.0,False,8,8,False,False,,4146498097048798442,YM3159,15.0,-793.47998046875,-4473.14013671875,141.6199951171875,-22756.10107421875,-1811.199951171875,2806.7001342773438,1058.6000061035156,-2894.8001098632812,975.8000183105469,255.0,229.0,-0.02395522012205734,0.0945037969489979,-0.013680007289183014,True,42.00010327369934,True,4,3,False,,enpitsu,76561198039309853,27,-1742.199951171875,-2392.1201171875,17.049999237060547,685.2999877929688,-5341.5997314453125,2.5999999046325684,0.7000000029802322,-0.0,0.0,255.0,0.0,,-0.01727816068714934,-1.6984117889353747,-4.61306868933527e-06,True,6,False,6,178.0,False,,games5425898691,bf81d8692db,24.0,,,,,,,,,,,,,,,,True,,,,,,,
9,719,20.0,False,False,0,5265.145900994074,3851.280029296875,2862.919921875,219.22999572753906,7975.0,13985.50048828125,11939.599609375,5093.299865722656,-1470.0999450683594,2810.0,0.0,0.5067352944832739,1.1805489109619176,1.803760926539137,76561198039309853,enpitsu,27.0,3731.60009765625,2682.7900390625,79.4800033569336,12298.900146484375,7091.500244140625,6020.9002685546875,198.1999969482422,-247.00000762939453,2688.800048828125,128.0,128.0,,-0.02430599195371162,0.9502527679220265,-0.004513820674297762,155.0,False,6,8,2,True,,bf81d8692db,games5425898691,24.0,2688.330078125,-4609.7001953125,17.010000228881836,177.09999084472656,1631.6999816894531,3.100000023841858,-1.0999999940395355,-2.3999999463558197,-480.49999237060547,255.0,0.0,0.00940683830415709,1.5615922616599562,-7.380958382870483e-05,True,85.0,False,False,False,False,,blablaxx,76561198046515681,4,848.5499877929688,3389.679931640625,18.780000686645508,12060.999755859375,-6121.300048828125,2.800000011920929,-0.5000000074505806,0.0,-20.69999933242798,227.0,132.0,False,-0.004788179605089556,-0.47153271486490095,4.61742460905491e-05,True,8,False,8,188.0,False,29.0,YM3159,4146498097048798442,15.0,3775.050048828125,3111.610107421875,105.13999938964844,4141.499938964844,-16788.900146484375,3419.1000366210938,-927.7999877929688,-442.2999954223633,677.3000335693359,251.0,0.0,,-0.16425638378609234,-1.0107148325410698,-0.013213154057866295,True,4,False,6,0.0,False,,
