,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost_collect
0,165,0.0,False,False,0,5203.860123553875,9.859999656677246,15.59000015258789,92.55000305175781,14763.00048828125,25008.20068359375,1523.800048828125,-1403.8999938964844,897.6000213623047,5704.4000244140625,0.0,0.0077582158230686095,0.04749469424074811,-0.011509787512615064,bb2c31153ab,JJazz12,5.0,-57.81999969482422,-132.75999450683594,65.58000183105469,15265.799560546875,13129.100341796875,2666.099853515625,4843.699951171875,241.39999389648438,2594.2001342773438,255.0,128.0,True,0.0008753046471904788,1.128494765899946,0.15373293277668773,True,0.0,False,6,5,False,,b2a7513b51b,TarnishedToad,9.0,-2627.669921875,-3895.7099609375,17.010000228881836,-16489.000244140625,-8236.900024414062,2.7000001072883606,-4.000000059604645,-1.7000000178813934,503.80001068115234,242.0,239.0,,0.009601127575334841,-2.681378009245212,5.07754130153564e-06,True,0.0,False,False,False,False,,enpitsu,76561198039309853,28,287.69000244140625,485.7900085449219,68.91999816894531,-9667.5,-20726.79931640625,2431.699981689453,2968.900146484375,-523.1000137329102,753.6000061035156,255.0,128.0,,0.11743816100094451,-2.2489297378412862,-0.010986905131700794,True,0.0,False,2,1,False,,games5425898691,bf81d8692db,19.0,2506.739990234375,4170.27001953125,17.010000228881836,17373.599853515625,3798.599853515625,2.800000011920929,0.3999999910593033,0.19999999552965164,-1921.0000610351562,255.0,0.0,,0.009586016165940922,0.15130304230936922,-5.790934722398506e-05,True,0.0,False,False,False,False,
1,168,0.0,False,False,1,5386.0150828335,-58.349998474121094,-160.7899932861328,173.02999877929688,13640.50048828125,-11934.000244140625,12724.89990234375,-1441.300048828125,278.29999923706055,5817.60009765625,1.0,-0.5016381126053638,-0.7705399701969773,-0.45219256219490533,76561198039309853,enpitsu,28.0,-150.6300048828125,-207.99000549316406,90.22000122070312,5663.800048828125,8519.7998046875,-130.20000457763672,-3146.7001342773438,3366.7001342773438,-3002.2000122070312,255.0,128.0,,-0.9801179366410698,3.0854893641601726,-0.6665562169832343,True,0.0,False,2,1,False,,bf81d8692db,games5425898691,19.0,-2623.219970703125,-4187.31982421875,17.010000228881836,-17508.499755859375,-1578.0000305175781,2.800000011920929,-0.29999999329447746,-0.0,-1945.5999755859375,255.0,0.0,,-0.00957682651330276,-0.022167907071706308,-3.9515863014398704e-05,True,0.0,False,False,False,False,,JJazz12,bb2c31153ab,5,-69.38999938964844,23.34000015258789,85.33000183105469,-15284.300537109375,-13180.799560546875,2123.8999938964844,1160.8000183105469,-5184.7998046875,1421.300048828125,255.0,0.0,True,-0.11242749297964459,-1.331534429088024,0.6731830822588939,True,0.0,False,6,5,False,,TarnishedToad,b2a7513b51b,9.0,2762.360107421875,3968.81005859375,17.010000228881836,15809.3994140625,9327.80029296875,2.800000011920929,0.19999999552965164,-0.0,1665.5999755859375,244.0,255.0,True,-0.009599422077609752,2.5771449143376506,0.0001940311410125938,True,0.0,False,False,False,False,
2,285,4.0,False,False,0,4759.613553277859,-2794.469970703125,775.4000244140625,972.9199829101562,11833.199462890625,17649.69970703125,10819.89990234375,4924.100036621094,3426.6000366210938,-103.59999656677246,0.0,-1.0792585447722935,3.1170223290238095,1.8438980004496153,b2a7513b51b,TarnishedToad,8.0,-2852.669921875,726.0,838.6900024414062,-1311.9000244140625,20340.6005859375,4254.800109863281,3376.7999267578125,3660.4000854492188,-2334.1000366210938,218.0,207.0,,-1.0891013910764171,-0.11883889517872173,2.2697700367516984,True,176.4028559884718,True,4,False,4,,bb2c31153ab,JJazz12,5.0,3434.1298828125,-1733.8299560546875,17.020000457763672,-13994.89990234375,1872.7999877929688,5.400000214576721,-13.899999856948853,-8.899999856948853,-2126.4999389648438,255.0,0.0,,0.009016352751391954,2.9444821598546826,-0.0006475511150663871,True,232.0,False,8,8,False,,enpitsu,76561198039309853,28,-3649.510009765625,167.9499969482422,17.059999465942383,-7950.8001708984375,9574.400024414062,2.800000011920929,0.0,0.29999999329447746,-2687.9000854492188,255.0,0.0,,0.01674298616305319,2.1493700974740855,7.178534528107762e-05,True,255.0,False,2,2,False,,games5425898691,bf81d8692db,19.0,852.1099853515625,5015.93017578125,17.190000534057617,-7309.6002197265625,4620.7000732421875,-36.30000114440918,-170.20000457763672,-51.599998474121094,1723.3999633789062,255.0,255.0,,0.004632902450035385,2.5602063090576808,-0.005952809749873888,True,243.0,False,False,False,False,
3,392,8.0,False,False,1,9205.396438610178,-1116.1199951171875,-3842.800048828125,160.0399932861328,-25315.400390625,10915.899658203125,11198.199462890625,-3218.9999389648438,4879.599914550781,-1351.300048828125,1.0,-0.8630171232384373,-1.501392314750812,1.0043655350296725,76561198039309853,enpitsu,28.0,-957.239990234375,-3909.5400390625,95.9800033569336,-21090.90087890625,1291.7999267578125,2730.2999877929688,-1824.2999267578125,-3156.7001342773438,-4117.799987792969,255.0,128.0,,-0.225658995148298,0.12164447512340544,0.029776998857142543,True,192.0,False,6,5,False,,bf81d8692db,games5425898691,19.0,-588.6099853515625,-4825.7001953125,172.0500030517578,-785.1000213623047,8348.300170898438,3047.9998779296875,1351.9000244140625,-923.3999633789062,2693.599853515625,255.0,193.0,,0.544859678371407,0.5604224680864736,-0.3193273673360709,True,217.87679155923988,True,4,False,False,,JJazz12,bb2c31153ab,5,-2040.06005859375,173.25999450683594,17.010000228881836,-10109.199829101562,-1971.9999694824219,2.5,2.800000011920929,1.0999999940395355,1506.7999267578125,255.0,118.0,False,-0.009545399823291757,-0.3758728697633986,-0.00026593328873715435,True,254.0,False,10,10,False,,TarnishedToad,b2a7513b51b,9.0,3631.469970703125,-3102.610107421875,124.83999633789062,1885.2000427246094,20369.7998046875,1598.2000732421875,-5273.599853515625,-1288.3000183105469,882.5,201.0,128.0,False,-0.5045467289707363,-2.5234303272726915,-2.9156927688193126,True,5.0,False,3,6,4,
4,472,11.0,False,False,0,4435.686923005838,1528.93994140625,1425.8399658203125,254.8000030517578,-16614.7998046875,24425.10009765625,5387.60009765625,4819.200134277344,293.6000061035156,3562.0999145507812,0.0,0.08686038371228344,-1.147291662239081,-0.14359042003536138,bb2c31153ab,JJazz12,5.0,1633.5699462890625,1183.5400390625,144.8699951171875,-13631.8994140625,18304.200439453125,2850.1998901367188,-5009.700012207031,1181.6000366210938,-738.8999938964844,255.0,128.0,True,-0.08193604372640662,2.2820527059407674,-0.30135705080834446,True,203.77407305727726,True,12,11,False,,b2a7513b51b,TarnishedToad,9.0,-3109.7099609375,-2636.860107421875,17.010000228881836,12548.1005859375,-14973.599853515625,2.5999999046325684,1.2999999523162842,-1.5999999642372131,-484.59999084472656,255.0,128.0,False,0.009589742206451429,-0.9133683006464743,0.00010297000166910039,True,36.0,False,8,6,4,,enpitsu,76561198039309853,28,2717.050048828125,3682.64990234375,17.059999465942383,-11356.099853515625,1998.3000183105469,1.8000000715255737,0.5999999865889549,-0.09999999776482582,0.0,255.0,128.0,,0.016700319161915014,2.967378527104767,5.248919296064872e-05,True,192.0,False,6,6,False,,games5425898691,bf81d8692db,19.0,1393.8900146484375,1731.1199951171875,132.75,-497.09999084472656,-22869.7998046875,2392.2000122070312,2625.4000854492188,1159.4000244140625,962.3999786376953,255.0,128.0,,-0.336174974149842,-1.2737108314644674,-0.06484733188698567,True,113.05588796574584,True,5,6,False,
5,474,11.0,False,False,1,7135.477040160573,-1430.4100341796875,-1605.5799560546875,341.989990234375,1610.5999755859375,-14136.700439453125,16320.30029296875,5379.5001220703125,2159.1000366210938,1548.699951171875,1.0,0.09410908369322955,0.8473704306933246,-0.1530936066434951,bf81d8692db,games5425898691,19.0,-1384.780029296875,-1495.780029296875,155.66000366210938,17011.199951171875,-1726.9000244140625,2859.4000244140625,55.0,-215.40000915527344,5495.4998779296875,255.0,184.0,,-0.259453083160691,0.9687720871692703,-0.13760112723694198,True,106.8072343898076,True,6,5,False,,76561198039309853,enpitsu,28.0,-2611.1298828125,-3701.280029296875,17.059999465942383,11713.900146484375,-2061.300048828125,1.8000000715255737,-0.5000000074505806,0.19999999552965164,0.0,255.0,128.0,,-0.016700319161915014,-2.967378527104767,5.248919296064872e-05,True,192.0,False,6,6,False,,JJazz12,bb2c31153ab,5,-1543.3599853515625,-1296.030029296875,155.5800018310547,13467.60009765625,-15586.800537109375,489.00001525878906,5370.3997802734375,-1024.3000030517578,-599.3000030517578,255.0,0.0,True,-0.25201275794913985,-2.2650793683993724,0.10568254924680051,True,197.52541948133904,True,12,11,False,,TarnishedToad,b2a7513b51b,9.0,2999.02001953125,2777.39990234375,17.010000228881836,-11796.199951171875,15540.799560546875,2.5999999046325684,0.19999999552965164,-0.3999999910593033,-114.79999542236328,255.0,128.0,False,-0.009590677037871018,0.9352108577632396,9.473860890613646e-05,True,36.0,False,6,8,4,
6,568,14.0,False,False,1,10091.67841046968,-1073.2900390625,-4757.669921875,118.56999969482422,155.600004196167,5554.7998046875,7910.7000732421875,-5996.7999267578125,168.1999969482422,-95.0,1.0,-1.309804451739516,1.887054159744452,0.5754040270078975,76561198039309853,enpitsu,28.0,-994.9000244140625,-5093.7900390625,84.31999969482422,-596.1999893188477,491.50001525878906,-1279.5999908447266,1202.3999786376953,-967.2000122070312,-688.1999969482422,0.0,128.0,,1.2929484292110827,-2.4444439572492027,-0.8166111224320614,True,192.0,False,6,6,False,,bf81d8692db,games5425898691,19.0,488.510009765625,-3008.860107421875,69.75,-3254.5999145507812,-13114.100341796875,-1170.8999633789062,3198.800048828125,-824.0000152587891,-56.500000953674316,255.0,128.0,,0.8172855714311316,-1.3371451080263832,-0.02538463857230589,True,92.0,False,8,8,False,,JJazz12,bb2c31153ab,5,3665.050048828125,-718.97998046875,16.979999542236328,-10495.999755859375,-14267.60009765625,11.000000238418579,-2.5,-10.800000429153442,-2006.199951171875,255.0,0.0,False,-0.009314655423026844,-0.8597821526607519,-0.0006018218525400607,True,234.0,False,14,14,False,,TarnishedToad,b2a7513b51b,8.0,-2241.31005859375,727.4099731445312,17.010000228881836,-6518.599853515625,-17078.499755859375,2.800000011920929,0.19999999552965164,0.09999999776482582,1983.0000305175781,255.0,255.0,,-0.009582487809090838,-1.2789212249166229,3.3573432285206964e-05,True,102.0,False,6,8,4,
7,629,16.0,False,False,0,2450.5680923408804,1035.97998046875,3632.43994140625,320.82000732421875,-2850.4998779296875,8668.099975585938,13907.39990234375,-2093.0999755859375,-1693.0999755859375,-5362.0001220703125,0.0,1.3397974627716096,0.9281508356443054,-2.5804255587302647,b2a7513b51b,TarnishedToad,8.0,1018.6599731445312,3485.219970703125,263.6499938964844,-12923.499755859375,14162.2998046875,222.5,1828.9999389648438,-5168.599853515625,-434.7999954223633,255.0,212.0,True,-0.3635678586125913,2.0472358082335935,-1.4223161908042121,True,71.25368576921444,True,10,7,4,,bb2c31153ab,JJazz12,5.0,-394.30999755859375,-87.30000305175781,17.010000228881836,12625.899658203125,-10666.199951171875,2.5999999046325684,-1.5999999642372131,1.2999999523162842,616.1999893188477,255.0,148.0,False,0.009589268008032817,-0.6978589470132563,0.0001796196708395816,True,255.0,False,14,14,False,,enpitsu,76561198039309853,28,1037.02001953125,3669.860107421875,163.02000427246094,5791.9000244140625,-11948.00048828125,4666.499938964844,4424.100036621094,-2525.0,-1436.7999267578125,128.0,128.0,False,0.07715181204236299,-1.146395592544631,0.08005773931363067,True,118.0,False,8,6,2,,games5425898691,bf81d8692db,19.0,-483.1300048828125,5386.85009765625,18.299999237060547,6187.1002197265625,1875.3999328613281,55.0,139.399995803833,79.00000095367432,-2146.3999938964844,128.0,0.0,,-0.0005785749733009909,0.2916948908698841,0.03634660298776668,True,88.81314409420054,True,8,8,False,
8,718,20.0,True,True,0,1352.2673121014395,117.91000366210938,4245.22998046875,710.0800170898438,5147.1002197265625,13192.19970703125,-12160.699462890625,-3177.0999145507812,520.9999847412109,-5062.9998779296875,0.0,0.9751246489097507,2.6678528486352073,-2.0355574374973857,bb2c31153ab,JJazz12,5.0,69.06999969482422,4023.219970703125,857.7999877929688,-10488.1005859375,20296.199951171875,-2657.0001220703125,4744.2999267578125,-1329.4000244140625,1946.3999938964844,255.0,109.0,False,0.41767460561362907,2.3639156994269026,3.128439772765229,True,54.0265207162468,True,16,14,4,,b2a7513b51b,TarnishedToad,8.0,-225.50999450683594,4347.64990234375,19.489999771118164,2721.4999389648438,-18115.899658203125,-1932.2000122070312,3104.8001098632812,4531.400146484375,274.89999771118164,230.0,128.0,True,-0.04138325796681209,-1.3455079264792398,0.18581690918199625,True,49.0,False,12,10,4,,enpitsu,76561198039309853,28,2559.610107421875,850.3300170898438,17.059999465942383,-1007.3999786376953,5230.7000732421875,2.199999988079071,-0.19999999552965164,-0.29999999329447746,2145.7000732421875,255.0,255.0,False,0.016610102125901017,1.7160840588331325,6.889262022137982e-05,True,118.0,False,8,6,2,,games5425898691,bf81d8692db,19.0,167.4199981689453,4335.919921875,355.67999267578125,-1119.3000030517578,-10280.400390625,4606.199951171875,-71.10000133514404,-1436.9999694824219,-670.1999664306641,255.0,14.0,,-1.0380033127139754,-2.279151763667396,0.5037370691755361,True,16.834357025802795,True,8,10,False,
9,999,21.0,False,False,0,5127.736454197427,46.310001373291016,99.58999633789062,95.51000213623047,10257.80029296875,21649.3994140625,545.9000015258789,1013.1999969482422,-571.3999938964844,-5886.099853515625,0.0,-0.023326200695921912,-0.36767395490044386,0.06820783807414056,bb2c31153ab,JJazz12,5.0,-57.34000015258789,-191.1199951171875,67.19000244140625,-1988.8999938964844,22748.798828125,2709.2001342773438,-4119.4000244140625,3595.4000854492188,594.0000152587891,255.0,0.0,True,0.06911834153516432,2.241779405095868,0.2349687575704974,True,0.0,False,6,5,False,,b2a7513b51b,TarnishedToad,8.0,2938.889892578125,-4130.509765625,17.010000228881836,21218.60107421875,1652.2000122070312,2.800000011920929,0.3999999910593033,0.0,1503.0000305175781,255.0,255.0,,0.009590509531491143,0.10658392535838354,0.00018203109875710398,True,255.0,False,False,False,False,,enpitsu,76561198039309853,28,-1.9900000095367432,457.239990234375,103.9800033569336,-2672.2000122070312,-22694.89990234375,2587.39990234375,5446.6998291015625,-759.5999908447266,-75.79999923706055,255.0,128.0,,0.34027397512476576,-1.7141401143268737,-0.0015790411522606193,True,31.0,False,2,1,False,,games5425898691,bf81d8692db,19.0,-2536.85009765625,3895.949951171875,17.010000228881836,-18979.300537109375,8003.499755859375,2.800000011920929,0.9000000357627869,-0.3999999910593033,1693.0999755859375,255.0,255.0,,0.009570745948319758,2.7836837022502046,0.00020402939521605822,True,0.0,False,False,False,False,
