,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,team_mate_handbrake,opp_1_ping,opp_1_ball_cam,opp_2_ping,opp_2_ball_cam
0,171,0,False,False,0,5161.748800854592,-101.70999908447266,39.72999954223633,127.87000274658203,-19026.700439453125,3987.5,3505.7998657226562,2337.5,3691.0000610351562,4112.300109863281,0.0,0.32100865785591615,0.047713467170796574,0.2909603003930366,76561198039309853,enpitsu,24.0,-68.20999908447266,-77.02999877929688,112.7300033569336,-9071.599731445312,-1039.800033569336,760.5000305175781,-4229.700012207031,-2070.0999450683594,2841.400146484375,255.0,128.0,,1.373223289838258,-1.1039999356409742,3.0877796633876184,True,1,0.0,False,2,False,,bf81d8692db,games5425898691,22.0,31.65999984741211,-2626.840087890625,17.010000228881836,143.69999885559082,4219.100036621094,2.0000000298023224,-0.7999999821186066,0.0,0.0,255.0,128.0,0.009400813224190722,1.536698159687504,-4.9171284363010444e-08,True,37.0,False,False,False,False,,Casper,b6b,-39.290000915527344,202.36000061035156,83.27999877929688,-481.19998931884766,-2261.4999389648438,1270.4000091552734,-131.8000030517578,-4510.899963378906,-3143.800048828125,255.0,0.0,True,0.05650914894845897,-1.6383729665383588,0.5263160486390644,0.0,False,False,3,4,,Foamer,b13b,-33.70000076293945,5396.0,18.809999465942383,9.800000190734863,-561.8000030517578,-14.800000190734863,-11.90000057220459,1.5999999642372131,267.90000915527344,128.0,0.0,,0.053116107969552025,-1.702071737584773,-0.0024214564754653635,False,False,False,85.0,False,,,,,,
1,299,4,False,False,1,7084.427869073886,3875.14990234375,-1287.5799560546875,250.05999755859375,5238.699951171875,13068.900146484375,5330.999755859375,4665.400085449219,-2297.100067138672,2992.7999877929688,1.0,1.0838943065138287,-1.6541626794996278,-0.13822211924540873,b13b,Foamer,,3843.22998046875,-1401.8699951171875,146.9499969482422,7652.80029296875,13173.699951171875,3152.0999145507812,-628.8000106811523,-70.9000015258789,864.3000030517578,128.0,0.0,,-0.28585775425337684,1.6892943001430916,-0.1512302708354246,,False,22.0,False,4,False,,b6b,Casper,,581.27001953125,-3277.14990234375,17.010000228881836,-276.00000381469727,-14097.7001953125,2.0999999344348907,0.3999999910593033,-0.0,27.100000381469727,255.0,130.0,-0.009552696248490136,-1.5516385587716135,2.2939870932318165e-05,,,False,4,False,4,,enpitsu,76561198039309853,3881.429931640625,-1305.0799560546875,83.2300033569336,9099.099731445312,13573.599853515625,2781.4999389648438,-4668.599853515625,-155.50000190734863,-2699.2001342773438,128.0,128.0,,-1.1612639476129407,2.814447451146514,-0.3656066375136649,,False,False,2,2,,games5425898691,bf81d8692db,2029.8800048828125,-570.9199829101562,17.010000228881836,10315.30029296875,6520.0,2.3999999463558197,-0.19999999552965164,-0.0,2350.8999633789062,255.0,255.0,,-0.009550578056978449,2.5125387498846043,2.6547351378445297e-05,False,False,False,68.0,False,,,24.0,True,22.0,True
2,341,6,False,False,0,6079.816378297378,-3622.429931640625,-294.2200012207031,186.0800018310547,-2879.7000122070312,18207.60009765625,7842.60009765625,2091.9000244140625,2890.5999755859375,-4823.599853515625,0.0,0.8500064728517008,0.890237897358179,0.6439269697722059,bf81d8692db,games5425898691,22.0,-3596.97998046875,-405.1700134277344,98.0199966430664,-14076.199951171875,8382.5,2804.8001098632812,-5381.199951171875,-1123.3000183105469,175.49999237060547,128.0,26.0,,0.4889603177151491,2.7594016212981924,0.6678928209635027,True,3,54.0,False,4,False,,76561198039309853,enpitsu,24.0,-4049.919921875,-449.1300048828125,282.2300109863281,33.69999885559082,-10885.899658203125,-3685.4000854492188,62.199997901916504,0.0,-0.7000000029802322,128.0,128.0,0.4723774750604955,1.6212636832021134,-1.4969912238891352,True,,False,2,False,2,,Casper,b6b,-1979.760009765625,4189.5400390625,17.010000228881836,-14041.99951171875,-1211.8000030517578,2.0999999344348907,0.19999999552965164,-0.09999999776482582,-17.100000381469727,255.0,127.0,,0.00957309753420207,-3.0554906700989783,1.8199403242057353e-05,,False,False,4,4,,Foamer,b13b,-3817.070068359375,-257.6000061035156,17.1299991607666,5802.0001220703125,-11630.0,-153.80000114440918,153.99999618530273,-592.599983215332,2189.2999267578125,255.0,255.0,,0.02952995135596605,-1.0480231093756878,-0.019303250442923008,False,False,4,2.0,False,,,,,,
3,467,10,False,False,0,1715.8935237415994,-2591.31005859375,4875.02001953125,173.9600067138672,10835.10009765625,24175.30029296875,3056.099853515625,-1848.2000732421875,4037.6998901367188,-1588.2000732421875,0.0,0.6142101770036602,-1.3543293858274839,-0.6729350109296318,bf81d8692db,games5425898691,22.0,-2659.280029296875,4691.419921875,112.80999755859375,4209.100036621094,20872.2998046875,3945.0,749.8000335693359,2134.199981689453,-1081.9000244140625,128.0,128.0,,0.02992673850241369,1.0629131672357897,0.45445020114331636,True,4,154.0,False,6,False,,76561198039309853,enpitsu,24.0,-1896.6600341796875,1401.5899658203125,17.049999237060547,7931.9000244140625,14325.0,-2.0000000298023224,-0.29999999329447746,-0.5999999865889549,-13.40000033378601,255.0,128.0,0.016782447390338944,1.0635108891023417,3.964216210764127e-05,True,3.0,False,2,False,2,,Casper,b6b,-2690.81005859375,3959.419921875,17.010000228881836,3606.7001342773438,11925.999755859375,2.199999988079071,1.5000000596046448,5.099999904632568,-910.0,255.0,117.0,False,0.00957260648228506,1.2411963873315854,-6.0630087086839605e-05,223.0,False,False,4,4,,Foamer,b13b,-1025.719970703125,3986.050048828125,17.059999465942383,6626.7999267578125,16415.0,1.1999999731779099,0.19999999552965164,0.5000000074505806,221.00000381469727,255.0,145.0,,0.016781406233371685,1.1922222808179053,-3.00156145295346e-05,False,False,4,0.0,False,,,,,,
4,543,13,True,False,0,3659.125534259802,2498.530029296875,3773.85009765625,213.1199951171875,9932.2998046875,6609.2999267578125,10782.900390625,5038.2000732421875,2136.0000610351562,2460.2999877929688,0.0,0.8292690153977063,0.027854817408015434,2.8457267273265927,76561198039309853,enpitsu,24.0,2450.610107421875,3681.14990234375,71.58000183105469,12294.200439453125,12571.800537109375,2806.7999267578125,-1225.8000183105469,-2361.699981689453,2326.3999938964844,128.0,255.0,,-0.07158340389855476,0.6014519595494178,-0.022983130820701102,True,5,31.0,False,6,False,,bf81d8692db,games5425898691,22.0,-716.02001953125,2729.1201171875,17.010000228881836,2189.2999267578125,-15614.200439453125,3.3000001311302185,-0.19999999552965164,-3.1999999284744263,-839.8999786376953,255.0,128.0,0.009630140779061607,-1.4914970508042207,0.00014533463238389596,True,184.0,False,8,False,6,,Casper,b6b,1341.1700439453125,4832.1298828125,16.989999771118164,22979.599609375,-966.9999694824219,2.199999988079071,0.3999999910593033,0.29999999329447746,-263.6000061035156,255.0,115.0,False,0.00956807894465669,-0.05397155973547622,-1.540967191289394e-05,123.0,False,False,4,4,,Foamer,b13b,-404.69000244140625,4745.009765625,17.059999465942383,-1677.8999328613281,-2707.9998779296875,1.899999976158142,5.0,0.0,1301.9999694824219,0.0,255.0,False,0.016949729522122058,-2.144016376838493,-0.00013558379233369455,False,False,4,0.0,False,,,,,,
5,623,16,False,False,1,9207.135235547154,-2900.639892578125,-3247.89990234375,230.99000549316406,12588.699951171875,18660.899658203125,343.8999938964844,-3717.7999877929688,-3820.0,2753.900146484375,1.0,0.2758984645291717,0.6485565835914454,2.762379828506139,b6b,Casper,,-3059.889892578125,-3391.469970703125,119.47000122070312,11467.80029296875,6754.0997314453125,3858.2998657226562,-5.299999713897705,-1.8000000715255737,-923.0999755859375,128.0,0.0,,-0.009696105232922372,2.884316822812516,-0.001743111597248377,,4,93.0,False,6,False,,b13b,Foamer,,-47.650001525878906,-4779.77978515625,17.059999465942383,-3.8999998569488525,-9.300000071525574,1.2999999523162842,1.0000000149011612,0.5999999865889549,-3.4999999403953552,128.0,0.0,-0.01675285792562283,0.21464193165140322,2.3721184550390722e-05,,,False,4,False,False,,enpitsu,76561198039309853,-2972.1201171875,-2821.260009765625,56.16999816894531,16206.400146484375,10839.000244140625,1442.5999450683594,-727.7999877929688,2197.100067138672,-4989.200134277344,128.0,128.0,,-0.8137178384466371,3.0016243083879317,-0.0018506989113670476,255.0,False,False,7,6,,games5425898691,bf81d8692db,-2061.72998046875,-103.44999694824219,17.010000228881836,-11751.600341796875,-5411.5997314453125,2.3999999463558197,0.19999999552965164,-0.0,2299.7000122070312,255.0,255.0,,-0.009560666533310861,-0.49910330298022576,3.7178940689158156e-05,6,False,8,184.0,False,,,24.0,True,22.0,True
6,687,18,False,False,0,5885.039976048192,441.9599914550781,-590.9299926757812,97.16000366210938,-6998.699951171875,-24002.39990234375,1911.6999816894531,588.8000106811523,-2949.2001342773438,-188.70000839233398,0.0,1.2928679066559523,2.232369510419066,0.8570517145833096,bf81d8692db,games5425898691,22.0,441.6199951171875,-387.9800109863281,17.010000228881836,-5427.2998046875,-20846.59912109375,2.0999999344348907,-1.1999999731779099,-4.000000059604645,-1196.1000061035156,255.0,128.0,,0.009603929420765342,-1.8934770781362347,2.1523677107828347e-05,True,6,90.0,False,8,False,,76561198039309853,enpitsu,24.0,281.2799987792969,1918.0400390625,17.049999237060547,-8103.800048828125,3743.900146484375,3.3000001311302185,0.0,0.0,2471.7999267578125,255.0,255.0,0.016670248838593915,2.7426734466387352,-6.916090953830796e-06,True,255.0,False,6,False,8,,Casper,b6b,1246.0,2536.739990234375,17.0,-1085.2999877929688,5017.39990234375,3.400000035762787,-0.09999999776482582,-0.29999999329447746,2170.399932861328,255.0,255.0,False,0.009480984436733269,1.7385488093189851,6.209087196124076e-05,93.0,False,False,4,6,,Foamer,b13b,84.37999725341797,3641.6201171875,17.059999465942383,-2829.5001220703125,-11865.6005859375,1.2999999523162842,0.0,-0.3999999910593033,-134.89999771118164,255.0,122.0,,0.016732350177608,-1.8083752015988082,-2.2275522195997113e-05,False,False,4,,False,,,,,,
7,735,20,False,False,0,9548.74048522645,-692.8900146484375,-4406.580078125,93.13999938964844,-6010.4998779296875,-19639.3994140625,0.0,5451.7999267578125,-2503.800048828125,-91.49999618530273,0.0,-0.3144125217306128,0.8007928062197456,-1.1661733033937043,bf81d8692db,games5425898691,22.0,-640.9099731445312,-4194.33984375,116.13999938964844,-9094.500122070312,-20825.10009765625,3249.2001342773438,444.0999984741211,-250.59999465942383,835.5999755859375,255.0,255.0,,0.07245104622186731,-1.965616036568926,0.0020546612230444715,True,6,18.0,False,10,False,,76561198039309853,enpitsu,24.0,-688.0999755859375,882.6900024414062,29.479999542236328,-6827.0001220703125,-21518.798828125,2807.9998779296875,309.4000053405762,-576.8000030517578,-2388.5000610351562,128.0,128.0,0.04065802255739417,-1.9523580108470606,0.02168119041354559,True,255.0,False,6,False,8,,Casper,b6b,428.010009765625,1819.68994140625,17.0,-1318.800048828125,-12590.50048828125,3.400000035762787,0.0,0.29999999329447746,165.40000915527344,255.0,136.0,False,0.009565691176029638,-1.6741972857315077,1.6863744845901087e-05,93.0,False,False,4,6,,Foamer,b13b,-593.0999755859375,1058.550048828125,16.889999389648438,-3383.5000610351562,-11411.099853515625,-21.80000066757202,53.499999046325684,26.90000057220459,-2240.7000732421875,255.0,167.0,,0.024472134922322343,-1.9669752117842063,0.004683134099168134,False,False,4,0.0,False,,False,,,,
8,743,20,False,False,0,10138.513009914102,-874.510009765625,-4998.490234375,93.13999938964844,-5775.10009765625,-18779.100341796875,0.0,5563.900146484375,-2244.4000244140625,-65.59999942779541,0.0,-0.8490536970715167,-1.4170854653770195,1.3858274004393498,bf81d8692db,games5425898691,22.0,-693.280029296875,-4852.18017578125,166.89999389648438,-302.09999084472656,-22982.80029296875,-140.0,1304.7000122070312,5276.300048828125,840.9999847412109,255.0,128.0,,0.1538247724710489,-1.8110008423606123,-1.6968010483848561,True,7,18.0,False,10,False,,76561198039309853,enpitsu,24.0,-866.9500122070312,328.7099914550781,77.5199966430664,-6921.099853515625,-21439.89990234375,1043.8999938964844,251.49999618530273,-202.19999313354492,-1540.5999755859375,128.0,128.0,0.1526318289028689,-2.4634843429013764,0.05609440382657988,True,255.0,False,6,False,8,,Casper,b6b,381.6499938964844,1375.02001953125,17.0,-1313.2000732421875,-13407.099609375,3.400000035762787,0.0,0.29999999329447746,26.400001049041748,255.0,126.0,False,0.009578600967186202,-1.6653029709782439,1.2957022527551925e-05,93.0,False,False,4,6,,Foamer,b13b,-696.75,759.4500122070312,17.049999237060547,-3804.5001220703125,-12054.49951171875,2.5999999046325684,-1.0999999940395355,2.199999988079071,-16.49999976158142,255.0,103.0,,0.016820045896532427,-1.8570775692077428,-0.00010394991278249049,False,False,4,0.0,False,,False,,,,
9,836,24,False,False,0,10009.428917806945,-915.3800048828125,-4869.41015625,203.02999877929688,-10361.400146484375,18363.699951171875,4496.300048828125,5736.199951171875,-1654.7999572753906,597.7999877929688,0.0,0.7674410043157498,-1.466925420773541,1.9952551269645316,bf81d8692db,games5425898691,22.0,-862.5999755859375,-4979.5400390625,105.41000366210938,-6828.800048828125,12591.800537109375,2650.1998901367188,-4270.799865722656,-3462.6998901367188,137.5,255.0,128.0,,0.8176675316697429,2.2663490244548687,0.018465514850120133,True,9,18.0,False,12,False,,76561198039309853,enpitsu,24.0,-1279.9200439453125,-1305.2099609375,17.049999237060547,0.0,0.0,2.7000001072883606,-0.3999999910593033,-0.29999999329447746,0.0,,,0.016731024106316515,1.9909867787366564,1.0430950728599e-05,True,255.0,False,6,False,8,,Casper,b6b,4078.989990234375,-842.27001953125,506.4700012207031,-3.0000001192092896,-7859.7998046875,-5297.2998046875,2126.9000244140625,-2.3000000417232513,1.5999999642372131,125.0,0.0,,0.6106071110747836,-1.5590483220798206,1.5775552591631796,247.0,False,False,4,6,,Foamer,b13b,-1251.530029296875,-3927.169921875,17.049999237060547,795.4000091552734,-14072.5,2.5999999046325684,0.0,0.19999999552965164,520.2000045776367,255.0,161.0,,0.016769951634440446,-1.5039594439561315,4.154116526069887e-05,False,False,4,31.0,False,,,,,,
