,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,team_mate_handbrake
0,171,0,False,1,5151.219507900629,-2.240000009536743,67.69999694824219,115.61000061035156,-1288.9999389648438,21785.90087890625,6682.9998779296875,4345.199890136719,-1971.9000244140625,3637.3001098632812,1.0,-0.08328996823350324,-0.12850161207760696,-0.1558061333048447,76561198039309853,enpitsu,26.0,24.350000381469727,-132.85000610351562,15.75,8691.199951171875,15325.400390625,-351.5999984741211,-46.500000953674316,-253.50000381469727,3220.4998779296875,255.0,128.0,,-0.01659255131962193,1.9747307801052123,-0.017096709904262698,True,False,False,0.0,False,False,,bf81d8692db,games5425898691,24.0,-2968.14990234375,-3970.8798828125,17.010000228881836,-8458.400268554688,-13763.599853515625,2.3000000417232513,-0.0,0.09999999776482582,2002.5999450683594,255.0,255.0,-0.009594304706000109,-1.0876291041489468,3.257346506961715e-05,True,False,False,255.0,False,False,300.0,FAZE Tina<3,76561197968336272,11.0,2048.0,2560.0,17.010000228881836,-0.0,-0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,-0.009538515963756761,-0.7854089679307134,2.1180273775665797e-05,True,False,False,False,85.0,False,,Salt,76561198353253129,13.0,1874.3599853515625,4338.3701171875,17.010000228881836,-853.1999969482422,13421.400146484375,2.5,-0.0,-0.09999999776482582,2876.7999267578125,255.0,255.0,True,-0.009588312937556224,1.3378795515590323,0.00011544526443731681,True,False,False,False,85.0,False,,
1,730,20,False,0,3095.6429918334275,726.8900146484375,2503.860107421875,142.8699951171875,-5118.900146484375,30733.60107421875,-4550.5999755859375,-2171.699981689453,2698.5000610351562,-1156.3999938964844,0.0,-0.20218276288708947,2.0361170228319763,-1.1861806272646493,76561197968336272,FAZE Tina<3,12.0,718.030029296875,2301.260009765625,98.44999694824219,-4948.399963378906,22360.50048828125,2003.699951171875,-3013.599853515625,-4508.900146484375,914.8999786376953,255.0,255.0,False,0.6344578261061217,1.609860563703562,-0.6026975476114127,True,9,False,84.0,False,10,,76561198353253129,Salt,13.0,191.47999572753906,2074.43994140625,119.86000061035156,-12774.300537109375,14357.900390625,-12635.799560546875,-877.2000122070312,-199.79999542236328,3196.6000366210938,255.0,255.0,-0.34226461799464153,1.5751164063993324,0.1652659054060413,True,12,False,4.0,False,8,,enpitsu,76561198039309853,26.0,226.60000610351562,4581.990234375,17.049999237060547,2191.4999389648438,10628.499755859375,3.0000001192092896,1.4000000059604645,5.299999713897705,-2048.699951171875,128.0,128.0,False,0.016721287215525973,1.307454644155092,4.0440715255288576e-05,True,4,False,4,255.0,False,,games5425898691,bf81d8692db,24.0,3580.489990234375,32.93000030517578,16.989999771118164,4994.800109863281,22055.90087890625,4.600000083446503,0.0,0.5000000074505806,176.20000839233398,255.0,128.0,,0.009598556848802687,1.3670562446709802,-0.00010691616997444549,True,6,6,False,255.0,False,,False
2,914,27,False,0,4420.596827930034,-3541.300048828125,1598.239990234375,159.11000061035156,16778.199462890625,19908.699951171875,6042.39990234375,-295.9000015258789,-3413.2998657226562,-4925.4998779296875,0.0,-0.5270858759899785,1.042504182590334,1.4992926697049946,76561198353253129,Salt,13.0,-3632.449951171875,1423.18994140625,190.3000030517578,1506.199951171875,16946.99951171875,-112.70000457763672,-1269.1999816894531,5338.699951171875,369.90001678466797,128.0,0.0,True,-0.06084932302312796,1.7948963826590654,2.557742986303267,True,11,False,198.61479564379624,True,16,,76561197968336272,FAZE Tina<3,12.0,-3493.669921875,1723.1400146484375,15.09000015258789,4067.5,-11553.699951171875,-531.5000152587891,-254.89999771118164,208.1999969482422,2238.8999938964844,255.0,255.0,0.006832688456821838,-1.2728186480389136,-0.006612177589839206,True,10,False,252.0,False,10,,enpitsu,76561198039309853,26.0,4.869999885559082,5052.27978515625,17.049999237060547,0.0,0.29999999329447746,2.5,-0.5999999865889549,0.0,0.0,255.0,0.0,,0.01685848993157947,-1.9722690444179363,-2.7845943544786304e-05,True,6,False,6,255.0,False,,games5425898691,bf81d8692db,24.0,-3916.889892578125,2343.6201171875,31.940000534057617,4329.4000244140625,-22533.701171875,-1577.2000122070312,56.99999809265137,-1946.9000244140625,546.6999816894531,255.0,128.0,,0.09666914164656694,-1.338509566216821,-0.3454036921588249,True,8,8,False,31.706769822746182,True,,False
3,2977,102,False,0,1597.2942633237274,-1557.5,3686.1201171875,97.05000305175781,13673.399658203125,9440.999755859375,2792.0001220703125,-3078.0999755859375,169.20000076293945,-5122.80029296875,0.0,0.7447424224249856,1.3782671802642341,0.9169091695007084,76561197968336272,FAZE Tina<3,11.0,-1700.4100341796875,3754.239990234375,16.989999771118164,15405.6005859375,15125.2001953125,4.900000095367432,0.3999999910593033,0.09999999776482582,-3141.7999267578125,255.0,0.0,True,0.009588288128147696,0.32988504616883785,-7.20427028546307e-05,True,4,False,85.0,False,4,,76561198353253129,Salt,13.0,-962.4099731445312,1607.8499755859375,16.989999771118164,13900.400390625,-1566.3999938964844,4.799999892711639,1.0000000149011612,0.0,-2085.0999450683594,255.0,0.0,0.009578222317013725,-0.16428115077370142,-0.0001010761681623121,True,42,False,112.0,False,30,,enpitsu,76561198039309853,26.0,-4078.9599609375,1895.9100341796875,356.7799987792969,5.0,12280.50048828125,-10109.600219726562,-889.7000122070312,3.8999998569488525,-3.1999999284744263,255.0,128.0,False,0.725317864576804,1.5932197165441173,1.5857824652243306,True,20,False,20,0.0,False,,games5425898691,bf81d8692db,24.0,-375.6600036621094,4827.6298828125,16.989999771118164,-11876.600341796875,-7146.6998291015625,2.5999999046325684,0.29999999329447746,0.0,2261.7999267578125,255.0,255.0,,0.009565651641348923,-2.532125714571724,2.8303619285209105e-05,True,30,24,False,171.81569889027585,True,,False
4,4980,175,False,1,3854.3786534631067,-970.1400146484375,1767.5,192.2100067138672,5460.30029296875,12618.299560546875,8336.099853515625,-1491.1000061035156,-4291.400146484375,-3919.1000366210938,1.0,-0.755142454270276,1.2303419323896305,1.3107285138830103,bf81d8692db,games5425898691,24.0,-989.75,1761.56005859375,55.22999954223633,10679.300537109375,13380.799560546875,3673.2000732421875,1815.2000427246094,742.0999908447266,-1799.4999694824219,128.0,16.0,,0.010773207677220608,2.45121213960775,0.0656534810506585,True,44,False,114.0,False,56,,76561198039309853,enpitsu,26.0,78.56999969482422,1285.2900390625,17.049999237060547,2627.2000122070312,19421.199951171875,2.5999999046325684,1.0000000149011612,3.700000047683716,-221.00000381469727,128.0,255.0,-0.016816658466783575,1.7003560737309964,-0.00017344961672635724,True,36,False,190.0,False,34,,FAZE Tina<3,76561197968336272,11.0,-2121.8701171875,2762.0,18.309999465942383,-12609.599609375,96.80000305175781,-564.900016784668,641.9000244140625,1353.9999389648438,-5100.799865722656,255.0,0.0,False,-0.046766251476474674,0.8689956631058259,-0.018059653138672867,True,28,8,36,242.0,False,,Salt,76561198353253129,13.0,2899.56005859375,-1518.1400146484375,114.08000183105469,-9252.80029296875,21013.5009765625,-161.70000076293945,-2443.9999389648438,-4913.299865722656,368.69998931884766,255.0,255.0,True,-0.5292162690433435,2.4957383601660506,-2.419577578065065,True,74,55,8,193.0,False,,
5,5216,183,False,0,1921.2872113619494,-2625.7099609375,4303.669921875,114.1500015258789,18797.80029296875,4394.599914550781,4582.900085449219,-4218.0999755859375,-2184.499969482422,-3665.2999877929688,0.0,-0.5660157796508317,-3.051643450104407,2.6642790435189605,76561198353253129,Salt,13.0,-2791.169921875,4383.47998046875,16.079999923706055,18142.19970703125,8257.999877929688,-104.70000267028809,-1793.5000610351562,72.8000020980835,1170.6999969482422,255.0,128.0,False,0.02938110846700503,0.3280373121436889,-0.04020895310163545,False,56,8,103.85498495255747,True,76,,76561197968336272,FAZE Tina<3,11.0,-1924.3699951171875,984.8200073242188,17.010000228881836,13427.7001953125,11303.599853515625,2.0999999344348907,-0.5999999865889549,-0.3999999910593033,-239.79999542236328,255.0,128.0,0.009586404132829334,0.6726351719315825,0.00015671826954178998,True,38,10,62.0,False,28,,enpitsu,76561198039309853,26.0,105.33000183105469,2732.760009765625,17.030000686645508,1000.0,22953.701171875,5.0,0.0,0.0,-0.09999999776482582,255.0,128.0,,0.01678875134669293,1.5272379386525206,-7.0922202838761e-06,True,34,False,38,92.0,False,27.0,games5425898691,bf81d8692db,24.0,-2264.25,5069.22998046875,73.20999908447266,12710.2001953125,1631.9000244140625,2178.800048828125,1381.0000610351562,-1429.2999267578125,951.9999694824219,255.0,240.0,,-0.21962753319727613,0.1726214245605395,0.8369298451842204,True,56,46,False,220.0,False,,False
6,5245,184,False,0,410.85924393745984,-685.6699829101562,4787.06005859375,247.0399932861328,13847.5,11120.699462890625,2668.5000610351562,-2624.2001342773438,-732.9000091552734,-3752.0001220703125,0.0,-0.5962749496308072,-3.080948854414923,2.6341293057875474,76561198353253129,Salt,14.0,-672.2999877929688,4699.1201171875,101.81999969482422,13109.100341796875,4223.999938964844,306.49999618530273,-4513.500061035156,-3140.0,-136.00000381469727,0.0,255.0,,-0.6337738572104461,0.2968535582977069,-0.9709618194411279,,57,8,86.0,False,78,,76561197968336272,FAZE Tina<3,11.0,-491.3599853515625,2136.550048828125,17.010000228881836,13824.100341796875,10005.399780273438,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,-5.199999809265137,255.0,128.0,0.009591976401522177,0.6257305636714072,5.807984888019961e-05,True,38,10,62.0,False,28,,enpitsu,76561198039309853,26.0,-37.66999816894531,4710.10986328125,78.12000274658203,-7051.7999267578125,14169.49951171875,4145.400085449219,525.0,319.89999771118164,2797.3001098632812,128.0,255.0,,-0.045326567944356806,2.3421490032046224,-0.004074802645629947,True,35,False,40,96.7544689383558,True,,games5425898691,bf81d8692db,24.0,-678.7999877929688,5043.18017578125,320.5400085449219,18382.099609375,-8160.4998779296875,2245.0999450683594,5392.8997802734375,785.5000305175781,740.5999755859375,255.0,0.0,,-0.0662387219806034,0.11148764036212128,2.042749424618083,True,56,47,False,167.0,False,,
7,5249,184,False,0,443.59009509959225,-554.6099853515625,4856.759765625,246.4499969482422,3285.4998779296875,5457.0001220703125,536.5999984741211,5480.999755859375,-1972.1000671386719,-1438.2000732421875,0.0,-0.6523951354543855,2.6298796061249616,2.6126318925269842,76561198353253129,Salt,14.0,-563.239990234375,4734.22998046875,101.16999816894531,13071.500244140625,4202.699890136719,-158.50000381469727,-4416.199951171875,-3275.4000854492188,134.399995803833,0.0,255.0,,-0.6900907851218794,0.7994626131191048,-1.7510380485645596,,57,8,86.0,False,78,,76561197968336272,FAZE Tina<3,11.0,-261.3599853515625,2303.739990234375,17.010000228881836,13588.00048828125,10274.69970703125,2.199999988079071,2.5999999046325684,2.0000000298023224,897.3000335693359,255.0,255.0,0.009587495992947618,0.6456883735370409,0.00016402587220366483,True,38,10,62.0,False,28,,enpitsu,76561198039309853,26.0,-129.32000732421875,4867.33984375,125.95999908447266,-10888.299560546875,7698.2000732421875,3781.199951171875,4078.900146484375,-1650.0,3299.89990234375,128.0,255.0,,-0.09653984951903087,2.7371289522448916,-0.08831915136434339,True,35,False,40,95.0,False,,games5425898691,bf81d8692db,24.0,-368.7900085449219,4914.7099609375,338.5400085449219,18878.900146484375,-7045.0,-101.19999885559082,5437.60009765625,759.8000335693359,323.8999938964844,255.0,0.0,,-0.02985864717006852,0.14603142912923794,-3.015936674658019,True,56,47,False,167.0,False,,
8,5776,204,False,0,1535.743876871099,-530.22998046875,3648.449951171875,97.9000015258789,5761.300048828125,16730.799560546875,1885.2999877929688,-2037.2000122070312,5375.8001708984375,1402.2999572753906,0.0,-0.2213427446389143,1.6817392844786245,0.3708817684055878,76561198353253129,Salt,13.0,-474.57000732421875,3490.68994140625,16.709999084472656,7341.199951171875,14675.799560546875,31.30000114440918,211.29999160766602,375.29998779296875,919.4000244140625,255.0,255.0,,0.007740608887189075,1.1738739122640887,0.027845521322245596,,62,10,,False,84,,76561197968336272,FAZE Tina<3,11.0,-3996.75,-930.02001953125,78.70999908447266,2103.3999633789062,21128.798828125,-2060.800018310547,-1243.0999755859375,-952.2000122070312,-1161.9000244140625,255.0,0.0,0.1347257394421263,1.4484250106972703,0.7399182278661389,True,44,12,222.0,False,32,,enpitsu,76561198039309853,26.0,-2507.3798828125,-1587.239990234375,17.059999465942383,-13811.700439453125,9762.7001953125,1.1999999731779099,-0.19999999552965164,0.3999999910593033,13.899999856948853,255.0,0.0,,0.016799909278432525,2.527969182324181,-4.250367956188028e-05,True,38,False,44,,False,,games5425898691,bf81d8692db,24.0,32.38999938964844,4602.580078125,16.989999771118164,-14827.900390625,-10702.7001953125,2.3000000417232513,-0.9000000357627869,-0.7999999821186066,1556.6999816894531,255.0,255.0,,0.009594150984456522,-2.4804678927294486,8.11326931189748e-05,True,60,52,False,88.0,False,,
9,5934,209,True,1,5550.884183341522,2915.6201171875,-30.440000534057617,782.4600219726562,-14309.200439453125,25349.49951171875,-261.5999984741211,-2574.7000122070312,-2593.900146484375,860.1999664306641,1.0,1.3116005737100145,-1.278343854666414,-1.6045029162025073,bf81d8692db,games5425898691,24.0,3019.300048828125,-173.9600067138672,749.6799926757812,-3449.4000244140625,20444.49951171875,2462.899932861328,-2705.7000732421875,-3123.5000610351562,3629.2999267578125,255.0,234.0,,-0.4757410904067137,1.230460042332836,0.046688095543868074,True,54,False,132.81878729020391,True,64,,76561198039309853,enpitsu,26.0,893.5800170898438,-3175.72998046875,17.059999465942383,3215.8999633789062,13096.99951171875,1.899999976158142,-0.0,0.09999999776482582,-2269.9000549316406,255.0,0.0,-0.01673476433900339,1.876732609649786,-9.346080060737087e-06,True,44,False,31.0,False,38,,FAZE Tina<3,76561197968336272,12.0,704.7999877929688,3512.070068359375,17.0,-8016.7999267578125,17999.69970703125,3.6000001430511475,-0.09999999776482582,0.7999999821186066,-3035.0,255.0,0.0,True,-0.00958600736024507,1.4943788989805602,-0.00010692366518673236,True,34,12,46,255.0,False,,Salt,76561198353253129,13.0,-3311.68994140625,-1259.4000244140625,109.58999633789062,6332.2998046875,21939.3994140625,-154.7000026702881,-5140.2001953125,1956.199951171875,-27.40000009536743,128.0,128.0,False,0.8989836958729297,-1.200866647074118,-3.133552238847742,True,90,67,10,237.0,False,,False
