,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,180,0.0,False,False,0,5182.498035521551,38.380001068115234,42.43000030517578,92.86000061035156,2518.3999633789062,-824.0000152587891,584.0000152587891,-2282.7999877929688,3759.2999267578125,-213.89999389648438,0.0,0.356170435612704,0.31466730447871916,-0.38923239854346287,76561198333055279,Bandit,10.0,14.510000228881836,-115.26000213623047,91.94999694824219,4919.2999267578125,-390.2000045776367,1837.5,2430.399932861328,4877.60009765625,742.3999786376953,242.0,20.0,True,-0.2249537687282108,1.3515405588140614,0.7164515535760657,False,0.0,False,4,3,False,,babb6fd42fb,SaBR_Vain,12.0,2908.72998046875,-4059.780029296875,17.049999237060547,15415.2001953125,515.099983215332,3.799999952316284,-0.29999999329447746,0.0,1935.5000305175781,255.0,255.0,False,0.016772549548899073,0.06866745481800052,0.0002900011820093008,True,255.0,False,False,False,False,50.0,enpitsu,76561198039309853,28,74.37000274658203,180.10000610351562,110.11000061035156,4517.300109863281,2404.1000366210938,652.7999877929688,5344.1998291015625,-1215.1000213623047,-460.8000183105469,255.0,0.0,,0.9046087410477069,1.3704398239420574,-3.066578257278774,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,20.0,-2386.0400390625,3867.47998046875,17.010000228881836,-16133.699951171875,12637.099609375,2.7000001072883606,-2.0999999344348907,1.8000000715255737,912.6999664306641,255.0,255.0,,0.00959313844808829,2.4795336762211733,0.00017713048910667853,True,False,0.0,False,False,False,
1,189,0.0,False,False,0,5145.268540352524,106.1500015258789,93.2699966430664,93.13999938964844,2309.499969482422,1671.9999694824219,0.0,-1832.4000549316406,2531.0000610351562,522.9000091552734,0.0,1.3880921438078822,0.44797203437073474,-0.38498638995411216,76561198333055279,Bandit,10.0,182.6999969482422,-144.72999572753906,98.83999633789062,4913.299865722656,-849.4000244140625,-150.39999961853027,437.09999084472656,4862.900085449219,2531.9000244140625,187.0,44.0,True,-0.49685745298621675,1.7885558312476457,3.1364611794318016,True,0.0,False,4,3,False,,babb6fd42fb,SaBR_Vain,12.0,3271.6298828125,-3954.64990234375,17.049999237060547,11508.900146484375,7983.3001708984375,4.099999964237213,-0.5000000074505806,-0.7999999821186066,2790.7000732421875,255.0,255.0,False,0.016782181570175116,0.7418719652032498,2.6728326767853382e-05,True,255.0,False,False,False,False,,enpitsu,76561198039309853,27,183.00999450683594,242.55999755859375,114.70999908447266,4509.4000244140625,2654.89990234375,-144.20000076293945,5342.8997802734375,-1285.5000305175781,-225.30000686645508,255.0,128.0,,-0.8316540061689907,1.2896176705970641,-3.056249704932787,True,31.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,-3004.0,4146.93017578125,17.010000228881836,-19437.7001953125,2351.1000061035156,2.800000011920929,0.09999999776482582,0.0,1996.0000610351562,255.0,255.0,,0.009578845636816982,3.0960290835420663,2.4569013172557884e-05,True,False,255.0,False,False,False,
2,217,1.0,False,False,1,5535.408780481879,-336.6400146484375,-256.4200134277344,98.20999908447266,2350.399932861328,4891.300048828125,2988.800048828125,2809.89990234375,-2204.199981689453,-1089.5999908447266,1.0,1.217551384047458,1.1369022889820262,1.5004773189688116,76561198039309853,enpitsu,28.0,-436.04998779296875,-382.1099853515625,16.5,2784.2999267578125,2144.9000549316406,-157.60000228881836,-331.89998626708984,47.10000038146973,2207.100067138672,255.0,128.0,,-0.02254727903496803,2.547732859944077,-0.012379938085667846,True,21.639544302417388,True,2,2,False,,bf81d8692db,games5425898691,20.0,3912.969970703125,-3063.10009765625,31.06999969482422,-4882.300109863281,14565.699462890625,-1548.0999755859375,-315.2000045776367,2425.8999633789062,1769.2999267578125,255.0,255.0,,-0.1276954310382916,1.1806566417794437,-0.32023549440994903,True,255.0,False,False,False,False,,SaBR_Vain,babb6fd42fb,12,-2899.22998046875,2620.080078125,17.049999237060547,11854.100341796875,-11259.7998046875,3.100000023841858,1.5000000596046448,-1.5000000596046448,129.0999984741211,255.0,156.0,False,-0.016797273079247745,-2.3798500639041835,2.0888661599159694e-05,True,215.0,False,False,False,False,,Bandit,76561198333055279,10.0,-528.3099975585938,164.61000061035156,17.010000228881836,1733.9999389648438,-1307.1000671386719,2.8999999165534973,-1.8000000715255737,3.4999999403953552,1412.7000427246094,219.0,255.0,False,-0.009466937473600726,-2.3723680417698,0.00022460466492184818,True,4,0.0,False,4,False,
3,232,1.0,False,False,0,5247.409044003917,209.02000427246094,10.260000228881836,165.66000366210938,-6482.7001953125,3012.60009765625,1942.2000122070312,706.9000244140625,4759.2999267578125,-3584.4000244140625,0.0,0.02646855580591144,0.2196453964483276,-0.9093075714862104,76561198333055279,Bandit,10.0,304.1099853515625,-103.95999908447266,63.45000076293945,-10682.900390625,-478.8999938964844,2846.400146484375,215.49999237060547,-2792.9998779296875,16.90000057220459,251.0,177.0,True,0.07794554063139503,2.9948354901797978,0.023398219832742685,False,0.0,False,6,5,False,,babb6fd42fb,SaBR_Vain,12.0,2189.330078125,-2238.330078125,17.049999237060547,-15502.80029296875,2616.099853515625,3.6000001430511475,2.0000000298023224,-0.29999999329447746,1833.9999389648438,226.0,174.0,False,0.016769296176601382,3.031474112527368,6.451986794502568e-05,True,215.0,False,False,False,False,,enpitsu,76561198039309853,28,140.86000061035156,117.88999938964844,17.030000686645508,-8112.1002197265625,-7442.1002197265625,5.699999928474426,-0.09999999776482582,-0.5999999865889549,0.19999999552965164,128.0,128.0,,0.016673333024047252,-2.3991774443094336,-4.581495507763125e-05,True,2.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,-3282.4599609375,2516.590087890625,17.020000457763672,12998.599853515625,-5905.30029296875,1.4000000059604645,-1.899999976158142,0.9000000357627869,-775.0,255.0,38.0,,0.009586751806798952,-0.4210947864871922,-0.00013455660347329136,True,False,255.0,False,False,False,
4,278,3.0,False,False,1,5532.224036174635,678.5800170898438,-387.95001220703125,127.62999725341797,2777.3001098632812,25642.19970703125,10238.300170898438,4058.9999389648438,2934.5001220703125,-3303.2998657226562,1.0,1.2060952817345154,2.600403451571969,-1.0727942926788971,bf81d8692db,games5425898691,20.0,649.8699951171875,-557.27001953125,15.449999809265137,-9720.700073242188,18347.7001953125,-181.20000839233398,-70.39999961853027,282.2999954223633,-3789.5001220703125,255.0,0.0,,-0.0005226032328823076,1.2095861949774622,0.033880332017221376,True,242.43609459169448,True,False,False,False,,76561198039309853,enpitsu,28.0,1653.0,336.57000732421875,17.059999465942383,13702.19970703125,-3157.5,1.5999999642372131,-0.29999999329447746,0.19999999552965164,0.0,255.0,,,-0.01674353998821412,-2.915085281613434,3.3966744466632777e-05,,0.0,False,False,2,2,,SaBR_Vain,babb6fd42fb,12,268.3599853515625,1457.5,17.049999237060547,15078.699951171875,3627.3001098632812,4.099999964237213,-1.0000000149011612,-0.29999999329447746,2724.5999145507812,249.0,255.0,,-0.01679103120672708,2.760458184098831,-2.999718103565628e-05,True,204.0,False,False,False,False,,Bandit,76561198333055279,10.0,668.2100219726562,412.20001220703125,81.69000244140625,-617.0000076293945,-2797.7999877929688,4199.100036621094,-443.3000183105469,-1846.7999267578125,-1416.9999694824219,215.0,128.0,False,-0.01322719250905881,-1.2699527627376088,0.21283272475086937,True,8,,False,6,False,
5,363,6.0,False,False,1,1418.0820804552216,1338.7900390625,3792.820068359375,158.74000549316406,-27281.201171875,11420.0,-5754.89990234375,-2331.999969482422,-3294.2999267578125,4439.4000244140625,1.0,0.6799563470863106,1.267486315617216,-3.0702469730310513,bf81d8692db,games5425898691,20.0,1565.8299560546875,3607.949951171875,152.5500030517578,-15734.200439453125,13343.900146484375,2924.1000366210938,542.7000045776367,-5377.80029296875,-1016.8000030517578,255.0,230.0,,-0.1933399549328697,0.6576078092806072,-0.48835500961428635,True,110.0,False,4,3,False,,76561198039309853,enpitsu,27.0,2183.8798828125,-364.260009765625,17.059999465942383,-15025.6005859375,9666.699829101562,-3.100000023841858,0.3999999910593033,-0.29999999329447746,-2.3999999463558197,255.0,0.0,False,-0.01678308546686134,0.5719915308175695,3.016260016878673e-05,True,195.48286445679207,True,False,2,2,,SaBR_Vain,babb6fd42fb,12,-129.57000732421875,4915.93994140625,17.049999237060547,8393.099975585938,7071.7999267578125,3.799999952316284,-0.0,0.5000000074505806,-1848.2000732421875,143.0,0.0,False,-0.016720169946627828,2.4481825432745494,-0.00025161106266713147,True,204.0,False,False,False,False,,Bandit,76561198333055279,10.0,1130.6300048828125,164.30999755859375,17.010000228881836,6548.4002685546875,8911.300048828125,0.7000000029802322,-0.19999999552965164,-0.0,2388.2000732421875,255.0,255.0,False,-0.009532117942183147,2.1517501166645534,1.3022552259798252e-06,True,8,5.969643098051835,True,6,False,
6,458,10.0,False,False,1,4965.122488826711,-3722.139892578125,3316.47998046875,176.11000061035156,-2957.3001098632812,27349.89990234375,7905.2001953125,2763.5000610351562,-545.2999877929688,-5297.60009765625,1.0,0.14074773497758683,0.9996564572252307,1.4024377670094503,76561198039309853,enpitsu,27.0,-3701.1298828125,3120.81005859375,121.0999984741211,-13433.299560546875,18220.799560546875,3471.6000366210938,6.299999952316284,-9.900000095367432,-816.6000366210938,128.0,0.0,False,-0.01686402279003202,1.0164266468078946,-0.0002231634233326257,True,110.0,False,4,2,False,,bf81d8692db,games5425898691,20.0,-2677.239990234375,2584.89990234375,16.989999771118164,-5514.6002197265625,-20948.5009765625,5.0,-0.09999999776482582,-0.5999999865889549,8.799999952316284,255.0,128.0,,-0.009599217907942954,-1.314536442665381,-6.746568921062254e-05,False,0.0,False,False,4,4,,SaBR_Vain,babb6fd42fb,11,19.209999084472656,4935.330078125,17.049999237060547,-508.49998474121094,1467.7999877929688,3.4999999403953552,0.3999999910593033,-0.7999999821186066,764.4999694824219,128.0,255.0,False,-0.016868501605677984,1.3840629536444222,5.4640430600166586e-05,True,204.0,False,4,False,4,,Bandit,76561198333055279,10.0,2659.580078125,5002.259765625,29.899999618530273,-13387.099609375,3857.9000854492188,493.69998931884766,1059.4000244140625,262.09999084472656,2684.5999145507812,232.0,255.0,False,0.010408096883004042,0.23450201568331647,-0.40032466277276196,True,10,244.0,False,8,False,
7,515,12.0,False,False,0,9352.453765566353,950.5999755859375,-4028.340087890625,123.47000122070312,-7977.2998046875,26950.50048828125,9477.5,3952.39990234375,-3661.7999267578125,2639.8001098632812,0.0,-0.2781308915043217,1.8221370879542056,0.7903395721426889,babb6fd42fb,SaBR_Vain,11.0,933.780029296875,-4214.64990234375,61.93000030517578,-2459.7999572753906,19276.700439453125,3022.3001098632812,-2142.7000427246094,-1512.1000671386719,1501.6999816894531,189.0,233.0,False,0.07241720365817203,1.4899758223349884,-0.013076126262291331,True,121.0,False,6,5,False,,76561198333055279,Bandit,10.0,383.510009765625,-4563.240234375,17.010000228881836,9039.000244140625,4476.400146484375,2.800000011920929,-0.5999999865889549,-1.899999976158142,1522.5999450683594,136.0,205.0,False,0.009702952065123957,0.4784092809053505,0.00012846777657948578,True,187.0,False,False,8,10,,enpitsu,76561198039309853,28,2418.820068359375,-3116.840087890625,58.279998779296875,-14043.1005859375,15686.400146484375,3724.2999267578125,-0.29999999329447746,-0.3999999910593033,-7.599999904632568,128.0,128.0,False,0.016926577526286277,2.2993649033674206,-2.1008643823535665e-05,True,9.005385055336905,True,6,False,2,,games5425898691,bf81d8692db,20.0,2812.0,1026.6400146484375,16.989999771118164,-17841.500244140625,2956.199951171875,5.299999713897705,0.19999999552965164,0.0,1984.6000671386719,255.0,255.0,,0.009586256984062073,3.050501060710906,1.131887376299454e-05,True,4,255.0,False,4,False,
8,594,15.0,False,False,1,8517.152180338762,1275.3499755859375,-3368.699951171875,134.14999389648438,16795.400390625,3929.89990234375,5883.800048828125,5945.999755859375,801.9000244140625,37.99999952316284,1.0,-1.0525105788591274,-1.1903223105474838,1.618681490680293,bf81d8692db,games5425898691,20.0,1108.550048828125,-3501.090087890625,16.989999771118164,12090.10009765625,3023.800048828125,5.099999904632568,-2.7000001072883606,-2.0999999344348907,935.8999633789062,255.0,128.0,,-0.009647472658756772,2.835137068947478,-0.00015315256455354236,True,195.0,False,4,4,False,,76561198039309853,enpitsu,28.0,755.5499877929688,-2225.64990234375,49.5099983215332,7538.4002685546875,-21611.59912109375,-2260.7000732421875,1289.1000366210938,853.0999755859375,579.3000030517578,255.0,0.0,,0.15038704028875513,-1.508591491304962,0.498947375795471,,,False,False,4,8,,SaBR_Vain,babb6fd42fb,12,985.6400146484375,88.80999755859375,17.059999465942383,13815.400390625,-7541.9000244140625,2.3000000417232513,-0.5000000074505806,0.3999999910593033,2008.9999389648438,254.0,255.0,,-0.016763165823686903,-2.7007506609634255,7.535660824378886e-05,True,182.0,False,6,False,6,,Bandit,76561198333055279,10.0,975.2000122070312,2097.2900390625,17.010000228881836,12591.8994140625,-10315.10009765625,2.5999999046325684,-0.5000000074505806,0.29999999329447746,-71.70000076293945,187.0,128.0,,-0.009600221132989603,-2.4458456398309103,9.388534778207769e-05,True,10,202.0,False,8,False,
9,687,18.0,False,False,0,3137.12468936254,-2503.5400390625,2446.050048828125,141.55999755859375,9161.400146484375,4821.7999267578125,6406.500244140625,4624.5001220703125,1163.8999938964844,-3259.8001098632812,0.0,0.5665546724536707,-2.415218166947137,1.0988704285200952,babb6fd42fb,SaBR_Vain,11.0,-2582.6201171875,2362.320068359375,17.059999465942383,12213.800048828125,10208.200073242188,2.0000000298023224,2.3999999463558197,1.5000000596046448,751.8000030517578,128.0,255.0,False,0.0168553605943478,0.663871473540954,0.00041736813177742246,True,192.0,False,6,6,False,,76561198333055279,Bandit,10.0,-853.760009765625,-109.72000122070312,17.010000228881836,7768.3001708984375,8731.699829101562,2.8999999165534973,-0.5000000074505806,-0.3999999910593033,2309.499969482422,186.0,255.0,,0.009562957296801297,0.9008975207400606,6.438745575726678e-05,True,222.0,False,False,8,10,,enpitsu,76561198039309853,28,-273.20001220703125,5216.56982421875,17.040000915527344,-2501.0000610351562,-1251.2999725341797,4.399999976158142,-0.5999999865889549,-0.19999999552965164,0.9000000357627869,128.0,255.0,False,0.016857600716469988,-2.67732123944698,-4.507362494816884e-05,True,31.0,False,8,False,4,,games5425898691,bf81d8692db,20.0,-3133.06005859375,2380.949951171875,17.010000228881836,18566.099853515625,5964.000244140625,0.5999999865889549,-1.7000000178813934,0.19999999552965164,1984.1999816894531,255.0,255.0,,0.009567055384756485,0.38243357619218227,5.515443902001261e-05,True,4,219.08435270863197,True,4,False,
