,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,166,0,False,False,1,5187.999466168337,26.8700008392334,25.31999969482422,104.75,19628.900146484375,18091.199951171875,8161.9000244140625,3493.599853515625,-3651.9000244140625,136.70000076293945,1.0,-0.06089844714570559,-0.0005208972053299869,-0.05822407388899665,1687849446689880086,SeaVen__,39.0,-184.1699981689453,-182.6999969482422,16.579999923706055,13249.599609375,16405.699462890625,76.5999984741211,-31.90000057220459,-57.39999771118164,-1532.4000549316406,255.0,39.0,,-0.010234964432791451,2.289706905812751,0.0037255886269149194,True,0.0,False,False,4,4,,4901663167694855774,raDaMElFALcAo190,21.0,113.45999908447266,-2015.6800537109375,17.010000228881836,211.39999389648438,13603.399658203125,2.0999999344348907,-0.0,-0.3999999910593033,0.0,255.0,128.0,,-0.009560327794029162,1.586353212066191,4.77084576576525e-05,True,False,False,116.0,False,False,,enpitsu,76561198039309853,26.0,14.619999885559082,3984.25,17.049999237060547,-340.2000045776367,-6993.2000732421875,2.5999999046325684,0.09999999776482582,-0.7999999821186066,156.70000076293945,255.0,128.0,False,-0.01663233588131398,-1.5360223704037261,-0.00014429606086793545,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,24.0,83.75,671.2899780273438,48.13999938964844,-853.8999938964844,-17755.30029296875,3050.5999755859375,515.8000183105469,147.29999542236328,912.3000335693359,128.0,132.0,,-0.022832544253336452,-1.638350981403416,-0.004274752081755789,True,31.0,False,4,False,False,
1,258,3,False,False,0,10154.099800701964,-2998.85009765625,-4793.97021484375,333.80999755859375,11070.0,12012.39990234375,2688.900146484375,5386.099853515625,1491.6999816894531,-1386.3999938964844,0.0,0.1716736195228286,-2.5914016397876507,1.951057447101748,76561198039309853,enpitsu,26.0,-3040.340087890625,-4529.72998046875,216.77000427246094,-14438.599853515625,-4997.5,-38.19999933242798,462.00000762939453,1581.6000366210938,2826.6000366210938,128.0,128.0,False,-0.1577804238313943,-1.7770428206797908,-0.48334230881859575,True,139.0,False,False,2,False,,bf81d8692db,games5425898691,24.0,2999.610107421875,955.3099975585938,16.989999771118164,11368.1005859375,-17066.300048828125,4.600000083446503,0.0,0.09999999776482582,28.80000114440918,255.0,128.0,,0.009593571592361634,-0.9800467359262772,3.1803823867279263e-07,True,4,False,0.0,False,4,,SeaVen__,1687849446689880086,11.0,-2880.72998046875,-4650.56005859375,127.75,-9942.60009765625,-17968.00048828125,-154.0999984741211,-1177.2000122070312,-5365.4998779296875,-273.99999618530273,244.0,128.0,,0.09438588216420764,-1.7686360828998307,1.9612218788956608,True,0.0,False,6,5,False,,raDaMElFALcAo190,4901663167694855774,17.0,-3674.9599609375,-273.8699951171875,17.010000228881836,-117.89999961853027,-12107.5,2.5,0.0,-0.09999999776482582,2454.7999572753906,255.0,255.0,False,0.009560468283714598,-1.4964092566802225,-4.888798654169472e-05,True,255.0,False,False,False,False,
2,314,5,True,True,1,2496.1118965894952,914.9400024414062,2643.9599609375,193.35000610351562,-13404.7998046875,24124.3994140625,2859.89990234375,1928.2000732421875,-5513.599853515625,-703.8999938964844,1.0,-0.9206170874768519,-1.1420587160349245,-2.459389538015779,4901663167694855774,raDaMElFALcAo190,17.0,1030.6300048828125,2406.070068359375,150.66000366210938,-18398.499755859375,13660.0,1973.800048828125,-3076.4999389648438,-1903.8999938964844,-918.3999633789062,255.0,128.0,,0.17663676196829645,0.9711157842621051,0.05063018521042291,True,139.0,False,False,4,3,,1687849446689880086,SeaVen__,11.0,2997.85009765625,4890.14990234375,728.0900268554688,230.30000686645508,-73.09999942779541,-2779.1000366210938,-374.1999816894531,180.0,-405.40000915527344,239.0,128.0,,-0.6935168546601941,-2.054576811464526,0.6635755877550531,True,6,False,,False,6,,enpitsu,76561198039309853,26.0,2953.199951171875,4090.14990234375,17.030000686645508,-1282.5999450683594,-10846.8994140625,5.899999737739563,-0.19999999552965164,-1.8000000715255737,-2568.699951171875,255.0,0.0,False,-0.01672588217928887,-1.3844391779499852,-0.00018373341851854724,True,255.0,False,2,False,False,,games5425898691,bf81d8692db,24.0,-2312.60009765625,2948.8798828125,16.989999771118164,11680.799560546875,19808.1005859375,4.399999976158142,-0.19999999552965164,-0.3999999910593033,0.0,255.0,128.0,,-0.009592198144753681,2.103614428492599,5.5371711497810805e-05,True,202.0,False,4,False,4,
3,596,6,False,False,1,5135.076906855498,85.80999755859375,69.23999786376953,154.22999572753906,9587.899780273438,-5265.2001953125,5315.5999755859375,-4142.5,1995.2999877929688,-2981.7999267578125,1.0,0.23582360922413148,0.06903909499919551,0.5274385634014115,1687849446689880086,SeaVen__,10.0,-43.31999969482422,-4.139999866485596,83.47000122070312,3383.699951171875,4821.300048828125,1886.3999938964844,3391.0000610351562,-1134.5999908447266,-4178.900146484375,255.0,87.0,,0.5447762570239095,2.5849843492075,0.20824687956860993,True,0.0,False,False,6,5,,4901663167694855774,raDaMElFALcAo190,16.0,-0.0,-2555.89990234375,17.010000228881836,-0.9000000357627869,13266.700439453125,2.3999999463558197,1.0999999940395355,-0.09999999776482582,0.0,255.0,,,-0.009628332374915408,1.5706973737336525,8.105860684340351e-06,True,4,False,146.0,False,4,,enpitsu,76561198039309853,26.0,114.12000274658203,200.72000122070312,106.72000122070312,-10337.7001953125,-13967.099609375,-587.599983215332,3775.7998657226562,-1754.9000549316406,3593.3999633789062,255.0,128.0,,-1.448318918550589,-0.9020258650571596,-0.16556993096581268,True,0.0,False,2,1,False,,games5425898691,bf81d8692db,24.0,-2289.669921875,3788.590087890625,17.010000228881836,-18404.49951171875,10050.599975585938,1.899999976158142,0.5999999865889549,-0.29999999329447746,-4.900000095367432,255.0,128.0,,-0.009597813842771568,0.5005393860643933,5.7819171406822516e-05,True,0.0,False,False,False,False,
4,598,6,False,False,0,5209.168088472823,-185.6699981689453,-20.510000228881836,190.85000610351562,-17736.099853515625,13360.2001953125,6025.4998779296875,4740.5999755859375,-2437.7999877929688,1633.9999389648438,0.0,-0.32987912091495625,-0.20711706600425295,0.8580668568772155,76561198039309853,enpitsu,26.0,-88.87000274658203,-177.24000549316406,111.33000183105469,1890.3999328613281,1726.7999267578125,619.0000152587891,-4834.200134277344,-405.0,2591.400146484375,255.0,128.0,,1.4688242302146535,-0.3210745401167415,-1.908710234745695,True,0.0,False,False,2,1,,bf81d8692db,games5425898691,24.0,2289.669921875,-3788.590087890625,17.010000228881836,18404.49951171875,-10050.599975585938,1.899999976158142,-0.5999999865889549,0.29999999329447746,-4.900000095367432,255.0,128.0,,0.009597813842771568,-0.5005393860643933,5.7819171406822516e-05,True,False,False,0.0,False,False,,SeaVen__,1687849446689880086,10.0,43.31999969482422,4.139999866485596,83.47000122070312,-3383.699951171875,-4821.300048828125,1886.3999938964844,-3391.0000610351562,1134.5999908447266,-4178.900146484375,255.0,87.0,,-0.5447762570239095,-2.5849843492075,0.20824687956860993,True,0.0,False,6,5,False,,raDaMElFALcAo190,4901663167694855774,16.0,0.0,2444.469970703125,17.010000228881836,0.9000000357627869,-13455.2001953125,2.0999999344348907,-0.5000000074505806,0.0,0.0,255.0,,,0.00962070332540976,-1.5706973737456251,4.760564435632675e-07,True,146.0,False,4,False,4,
5,740,11,False,False,1,10192.755042487403,3049.800048828125,-4822.60009765625,168.24000549316406,9075.700073242188,2795.5999755859375,2532.4000549316406,5948.3001708984375,708.6000061035156,338.49998474121094,1.0,0.6637745564788888,0.817563670525419,-0.850285669319818,4901663167694855774,raDaMElFALcAo190,16.0,2962.89990234375,-4923.7099609375,79.48999786376953,2347.7000427246094,7591.300048828125,-5874.69970703125,3650.5999755859375,2278.699951171875,1147.300033569336,255.0,128.0,False,-0.4808373177934738,1.6697566268395239,-0.4290738955358862,True,255.0,False,False,6,4,,1687849446689880086,SeaVen__,11.0,2861.81005859375,-1749.02001953125,102.38999938964844,-10303.00048828125,-14385.6005859375,-148.4000015258789,2237.899932861328,-5004.5001220703125,-442.79998779296875,255.0,2.0,,0.41050979763038076,-1.9710871780543338,-1.4440657333800127,True,7,False,255.0,False,8,,enpitsu,76561198039309853,26.0,2754.02001953125,-4097.52978515625,88.94000244140625,9414.7998046875,-14474.000244140625,4344.5001220703125,0.3999999910593033,0.29999999329447746,0.0,128.0,,,-0.017089316403452137,-2.147515017802971,1.5719570246320683e-05,True,,False,6,4,False,,games5425898691,bf81d8692db,24.0,-1701.02001953125,-2602.68994140625,17.0,11089.599609375,5494.000244140625,3.3000001311302185,-2.199999988079071,-0.9000000357627869,-465.8000183105469,255.0,83.0,,-0.009555825107993474,2.6993889081127835,0.00011862925516475145,True,255.0,False,False,False,False,
6,786,13,False,False,1,9589.21271710334,3783.919921875,-4004.010009765625,130.10000610351562,10344.200439453125,7919.000244140625,3366.7999267578125,-3078.699951171875,-2043.8999938964844,-3033.800048828125,1.0,0.5755601012476222,-0.009899210932431369,1.7992436446609466,4901663167694855774,raDaMElFALcAo190,16.0,3655.25,-4066.610107421875,19.100000381469727,9939.299926757812,895.5000305175781,474.7999954223633,-3093.699951171875,-789.8999786376953,3507.60009765625,255.0,254.0,False,0.052616296116340874,3.050979410278569,-0.0973333662391187,True,223.68569459966437,True,False,6,4,,1687849446689880086,SeaVen__,11.0,1941.449951171875,-4349.10986328125,17.010000228881836,5549.89990234375,-15223.299560546875,2.3999999463558197,0.29999999329447746,-0.5000000074505806,2314.7000122070312,252.0,255.0,True,-0.009572076714369883,-2.006257275286716,7.046037798808224e-05,True,8,False,255.0,False,8,,enpitsu,76561198039309853,26.0,2839.8701171875,-4986.93994140625,76.02999877929688,-2607.6998901367188,-140.6999969482422,-2268.0999755859375,4486.9000244140625,860.6999969482422,-2444.9000549316406,255.0,128.0,,-0.7774822155898419,1.941559213839066,-0.3984800438143106,True,,False,6,4,False,,games5425898691,bf81d8692db,24.0,21.760000228881836,-1366.1600341796875,17.0,6542.39990234375,12469.69970703125,3.400000035762787,-0.7000000029802322,-1.7000000178813934,138.100004196167,255.0,91.0,,-0.009600953802426013,2.0222261255868323,-0.00015371476537814452,True,255.0,False,False,False,False,
7,799,13,False,False,1,9262.930540847938,3996.43994140625,-3588.639892578125,281.7099914550781,-1287.2999572753906,14059.300537109375,6510.3997802734375,1203.499984741211,-2718.5000610351562,-1063.1999969482422,1.0,-0.2746001635054681,2.3966714844062555,2.8438173666887727,4901663167694855774,raDaMElFALcAo190,16.0,4022.77001953125,-3717.9599609375,116.20999908447266,5051.400146484375,12870.400390625,3888.9999389648438,1214.4000244140625,-2292.4000549316406,292.7000045776367,255.0,23.0,False,0.3071503029446141,1.9266187777882229,-0.9040654845961096,True,182.9358967017102,True,False,6,4,,1687849446689880086,SeaVen__,11.0,2514.6298828125,-4734.0498046875,17.010000228881836,14834.100341796875,248.60000610351562,-0.29999999329447746,-1.8000000715255737,-0.0,614.5000076293945,255.0,115.0,False,-0.009592204230974616,3.0675323137428467,-0.0002654682060852837,True,8,False,242.53948365488358,True,8,,enpitsu,76561198039309853,26.0,2887.929931640625,-4888.2099609375,28.850000381469727,3912.7999877929688,3743.599853515625,-206.39999389648438,563.1999969482422,222.99999237060547,-195.40000915527344,255.0,128.0,,-0.04876924112903939,2.396709428921231,-0.3011006555463632,True,,False,6,4,False,,games5425898691,bf81d8692db,24.0,412.6400146484375,-768.1900024414062,17.0,8635.499877929688,11125.6005859375,3.400000035762787,1.5999999642372131,2.0999999344348907,783.0000305175781,255.0,240.0,,-0.009592918844722612,2.2389564651379783,0.00015919357812775868,True,255.0,False,False,False,False,
8,861,16,False,False,1,6326.618849729031,3711.909912109375,-525.4000244140625,99.62999725341797,-15454.200439453125,15520.30029296875,8151.199951171875,-1462.8999328613281,5720.8001708984375,-1048.7999725341797,1.0,0.3841984991334794,2.648336423656037,2.6272449633341224,4901663167694855774,raDaMElFALcAo190,16.0,3897.340087890625,-633.0599975585938,21.200000762939453,-13363.00048828125,12187.60009765625,-3584.8001098632812,65.50000190734863,5499.5001220703125,-12.699999809265137,255.0,128.0,False,-0.15918894093392283,0.6976047189045806,-0.18495877226705007,True,127.72047314079859,True,False,6,4,,1687849446689880086,SeaVen__,11.0,3705.419921875,-2882.489990234375,16.989999771118164,-6497.8997802734375,12599.3994140625,9.100000262260437,5.099999904632568,-22.59999990463257,128.1999969482422,255.0,118.0,False,-0.009245045281914029,1.0713598720394741,0.0011059703793340483,True,8,False,208.0,False,8,,enpitsu,76561198039309853,26.0,3893.580078125,-2414.68994140625,107.19999694824219,-366.50001525878906,17970.899658203125,-166.8000030517578,-5066.600036621094,243.09999465942383,-2126.0000610351562,0.0,128.0,,0.7615342622539684,1.2076825269303089,2.578130087188676,True,,False,8,5,False,,games5425898691,bf81d8692db,24.0,-74.19000244140625,2203.919921875,17.0,-4252.900085449219,13443.499755859375,3.3000001311302185,-0.0,0.19999999552965164,0.0,255.0,128.0,,-0.009598169650537954,1.2644110421424164,-1.5666743884556142e-05,True,255.0,False,False,False,False,
9,922,18,False,False,1,2385.462241705174,403.1300048828125,2806.010009765625,294.1199951171875,-17864.000244140625,20764.89990234375,-2911.6000366210938,-1148.6000061035156,4042.39990234375,1225.5999755859375,1.0,-0.21642744473796557,2.703882681607723,2.7373922759504605,4901663167694855774,raDaMElFALcAo190,17.0,544.5900268554688,2660.31005859375,223.5399932861328,-14211.700439453125,17525.400390625,-253.09999465942383,-4487.39990234375,-2086.999969482422,2399.2999267578125,255.0,101.0,False,-0.13611513907646017,0.3566007915331912,0.6498132650578209,True,15.0,False,False,8,5,,1687849446689880086,SeaVen__,11.0,1315.1500244140625,-2023.6099853515625,17.010000228881836,-13447.900390625,3398.3999633789062,2.199999988079071,-0.29999999329447746,-0.0,-1959.4999694824219,255.0,25.0,False,-0.00956286766469877,0.30638001564937456,-4.085450688830676e-05,True,8,False,239.0,False,8,,enpitsu,76561198039309853,26.0,3591.239990234375,1894.949951171875,64.87999725341797,-2226.999969482422,22287.7001953125,-1988.6000061035156,-2398.5000610351562,-229.3000030517578,23.19999933242798,0.0,128.0,,-0.4769906618486066,-1.661127072808204,-0.01142771173452359,True,,False,10,8,False,,games5425898691,bf81d8692db,24.0,-1231.75,4441.89990234375,17.0,4886.499938964844,6252.1002197265625,3.6000001430511475,0.09999999776482582,-0.0,-2301.199951171875,255.0,0.0,,-0.009531871470750587,2.2414150179267387,-9.788222135519463e-05,True,255.0,False,False,False,False,
