,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,170,0,False,False,1,5234.1322840647335,2.700000047683716,-17.34000015258789,113.5,-54.000000953674316,4526.199951171875,4093.800048828125,-1107.699966430664,-1906.1000061035156,-5580.2001953125,1.0,-0.2973113190346048,0.4689327421166237,0.28613566911995547,76561198302260434,Cactus Jack sent me,10.0,64.52999877929688,-171.50999450683594,114.4800033569336,-8917.19970703125,-493.6000061035156,5036.099853515625,4077.9998779296875,-1970.8999633789062,3120.0,0.0,255.0,,-0.3607113828243534,0.5001777050048738,-0.5978108577458432,True,3,False,0.0,False,4,,76561198073897166,BIO,5.0,418.1499938964844,-2317.199951171875,94.44000244140625,3742.9000854492188,8518.200073242188,-3869.8001098632812,-413.10001373291016,-762.3000335693359,1157.0999908447266,128.0,164.0,False,0.01737959552620343,1.5889251268900868,0.40803413331489596,True,85.0,False,4,False,False,,enpitsu,76561198039309853,26.0,-100.83000183105469,134.9199981689453,105.5,9785.0,-20725.2001953125,1833.2000732421875,5308.800048828125,-761.3999938964844,-1219.1000366210938,255.0,0.0,,-0.6880952137892947,-2.346176787591212,0.5627011314490916,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,20.0,-128.80999755859375,4421.14990234375,17.010000228881836,2145.8999633789062,-5899.89990234375,2.0999999344348907,0.19999999552965164,0.5000000074505806,0.0,255.0,128.0,-0.009452221267670933,-1.9196544670009559,3.8804350299386954e-05,True,4,4,116.0,False,False,,
1,171,0,False,False,0,5186.2010026476155,-11.619999885559082,29.760000228881836,119.9000015258789,-6479.7998046875,8812.100219726562,3815.0,4438.500061035156,3289.5001220703125,-817.6999664306641,0.0,0.37965339272233695,-0.4680366952514952,0.3298583218051779,76561198039309853,enpitsu,26.0,64.7699966430664,-73.8499984741211,113.38999938964844,-3260.1998901367188,4298.599853515625,45.900001525878906,-4815.400085449219,-2632.9000854492188,359.3000030517578,255.0,0.0,,1.0991705495104171,-2.5643367845374527,1.5985996454348526,True,1,False,0.0,False,2,,bf81d8692db,games5425898691,20.0,110.44999694824219,-4368.490234375,17.010000228881836,-2091.1000061035156,6683.4002685546875,2.3999999463558197,1.0000000149011612,-3.700000047683716,-820.6999969482422,255.0,23.0,,0.009496033614687132,1.900117275673656,-8.490992503466713e-05,True,116.0,False,4,False,4,,BIO,76561198073897166,5.0,-418.1499938964844,2317.199951171875,94.44000244140625,-3742.9000854492188,-8518.200073242188,-3869.8001098632812,413.10001373291016,762.3000335693359,1157.0999908447266,128.0,164.0,False,-0.01737959552620343,-1.5889251268900868,0.40803413331489596,True,85.0,False,4,False,False,,Cactus Jack sent me,76561198302260434,10.0,-64.52999877929688,171.50999450683594,114.4800033569336,8917.19970703125,493.6000061035156,5036.099853515625,-4077.9998779296875,1970.8999633789062,3120.0,0.0,255.0,0.3607113828243534,-0.5001777050048738,-0.5978108577458432,True,4,3,0.0,False,False,,
2,204,1,False,False,1,6194.305015953678,803.2100219726562,-1053.6099853515625,99.19000244140625,21671.0009765625,17220.699462890625,838.4999847412109,-4678.599853515625,-1738.6000061035156,-3329.7000122070312,1.0,-0.8183551428473465,0.38324997109364495,0.6472188298746371,76561198073897166,BIO,5.0,668.3200073242188,-1231.4200439453125,49.2400016784668,13346.400146484375,11312.80029296875,2739.89990234375,1067.7999877929688,3727.5,-1551.300048828125,255.0,3.0,True,-0.025579693359740276,2.098000175481143,0.06789169039193794,True,3,False,38.02357853099864,True,6,,76561198302260434,Cactus Jack sent me,10.0,-997.7999877929688,-353.92999267578125,16.420000076293945,-8454.7998046875,-3152.39990234375,-201.20000839233398,199.3000030517578,-444.50000762939453,1651.300048828125,255.0,255.0,,-0.02246602331645848,-0.354228738050636,0.004344726234567899,True,0.0,False,4,False,4,,enpitsu,76561198039309853,26.0,380.1499938964844,-391.010009765625,49.65999984741211,6229.2999267578125,-2634.5999145507812,3670.1998901367188,197.09999084472656,497.20001220703125,1802.4000549316406,255.0,128.0,,-0.029043689593455622,-2.8148575531029283,0.0014185778856656327,True,0.0,False,4,False,3,,games5425898691,bf81d8692db,20.0,304.94000244140625,3212.949951171875,17.010000228881836,10551.8994140625,-6096.6998291015625,2.3999999463558197,-0.09999999776482582,-0.0,2339.600067138672,255.0,255.0,-0.009551066095982703,-2.680868441488404,1.5299064280267118e-05,True,4,4,89.0,False,False,,
3,282,4,False,False,0,8346.654869958196,-3937.699951171875,-2632.68994140625,1021.3699951171875,19161.500244140625,8100.9002685546875,7749.6002197265625,623.6999893188477,728.0999755859375,-5922.80029296875,0.0,-0.8570841991038957,-1.3049835637007976,-1.2360210343184195,bf81d8692db,games5425898691,20.0,-4079.0,-2806.050048828125,917.8400268554688,2.199999988079071,20150.0,11089.300537109375,-1087.7999877929688,3.3000001311302185,2.7000001072883606,255.0,118.0,,-0.45811490651456094,1.5814332705574388,1.5660889495553367,True,4,False,229.9785376492367,True,4,,76561198039309853,enpitsu,26.0,-3002.43994140625,-466.3599853515625,88.41999816894531,-660.9999847412109,-18420.999755859375,-85.0,5494.2999267578125,248.99999618530273,21.19999885559082,255.0,,,1.4957122769881357,-1.473775636635464,0.051743740529790035,True,,False,6,False,5,,BIO,76561198073897166,5.0,-3890.9599609375,1065.5899658203125,24.59000015258789,3023.2000732421875,13811.199951171875,-564.7999954223633,-215.40000915527344,-1120.199966430664,124.20000076293945,196.0,,,0.04971686378985832,1.3517472652269351,0.2137636013287875,True,255.0,False,6,False,4,,Cactus Jack sent me,76561198302260434,11.0,3079.89990234375,3798.179931640625,17.010000228881836,1993.3999633789062,14865.899658203125,2.199999988079071,0.0,-0.09999999776482582,2206.1000061035156,255.0,255.0,0.009570977941731413,1.499754095826793,0.00014847802485516026,True,6,6,,False,False,,True
4,373,7,False,False,1,5846.523969381476,-2076.330078125,105.41000366210938,151.97999572753906,264.50000762939453,21580.90087890625,13569.200439453125,5019.89990234375,-3245.4998779296875,-515.9000015258789,1.0,1.1612334327684086,1.3075885701232515,-2.2605436025369054,76561198302260434,Cactus Jack sent me,10.0,-2120.590087890625,-156.6300048828125,77.55000305175781,-1056.9000244140625,22841.201171875,2271.7999267578125,-3684.4000244140625,2083.000030517578,-895.0,0.0,0.0,False,-0.05777067098346109,1.311208318481911,0.037032048310298916,True,9,False,169.0,False,10,,76561198073897166,BIO,5.0,-812.989990234375,-1548.1500244140625,17.010000228881836,-13873.299560546875,-7315.999755859375,2.0000000298023224,0.3999999910593033,0.29999999329447746,-1325.5999755859375,255.0,3.0,False,-0.009565051918913261,-0.48178424218815,-0.00024451611019011784,True,215.0,False,8,False,6,,enpitsu,76561198039309853,26.0,1096.3299560546875,4272.52001953125,17.049999237060547,-14676.199951171875,1796.6000366210938,2.5999999046325684,0.7999999821186066,0.09999999776482582,-24.700000286102295,255.0,128.0,,-0.016809619694016516,0.12490493341064526,6.774977239455896e-05,True,31.0,False,6,False,6,,games5425898691,bf81d8692db,21.0,-456.6400146484375,1870.0799560546875,17.010000228881836,-9112.19970703125,18793.00048828125,2.0000000298023224,-0.7000000029802322,1.5000000596046448,-764.7000122070312,255.0,128.0,-0.009590076558317838,1.1819198991704924,0.00018560551730356731,True,6,6,164.0,False,False,,
5,478,11,False,False,0,8943.742673139754,2048.739990234375,-3305.06005859375,378.6400146484375,27013.5009765625,16441.700439453125,-6153.699951171875,-3707.9000854492188,2348.800048828125,4090.5999755859375,0.0,0.13860155768136448,0.7064904652979982,1.5787274193637737,76561198039309853,enpitsu,26.0,1829.9000244140625,-3388.64990234375,332.2099914550781,17395.30029296875,7157.60009765625,2704.1000366210938,1826.9000244140625,3677.9998779296875,3658.2998657226562,255.0,0.0,False,-0.21134637846195997,0.5133526213193397,0.9584240200974531,True,7,False,0.0,False,8,,bf81d8692db,games5425898691,21.0,2785.97998046875,-3115.31005859375,17.020000457763672,-6412.2998046875,-10336.099853515625,1.2999999523162842,0.0,0.09999999776482582,2352.899932861328,255.0,255.0,,0.009574006708493954,-2.0608661031282267,1.241493084481037e-05,True,255.0,False,6,False,6,,BIO,76561198073897166,5.0,2503.56005859375,-1000.9299926757812,17.010000228881836,3753.9999389648438,10574.000244140625,2.3999999463558197,-0.09999999776482582,0.0,2402.7000427246094,255.0,255.0,False,0.009504581185021994,1.2878507706440778,1.8059648835077443e-05,True,246.0,False,8,False,6,,Cactus Jack sent me,76561198302260434,11.0,2193.469970703125,-3127.4599609375,275.29998779296875,-16414.89990234375,-955.8000183105469,350.6999969482422,-24.90000009536743,-5495.2001953125,227.09999084472656,0.0,128.0,0.5358586142517967,-3.121598445356384,0.048218996721042955,True,12,11,112.59059776029278,True,False,,False
6,480,11,False,False,1,3590.6505581222964,-2164.3798828125,3262.010009765625,358.4200134277344,-15432.900390625,11155.2001953125,1152.5,-4.799999892711639,-1604.2999267578125,5781.500244140625,1.0,-0.32527905164612825,-1.1544927380540864,1.6162331340383365,76561198302260434,Cactus Jack sent me,11.0,-2088.2099609375,3125.389892578125,272.45001220703125,15096.099853515625,-1343.6000061035156,-528.1999969482422,3024.7000122070312,3769.89990234375,2624.5999145507812,0.0,128.0,False,-0.8137454033684703,2.820461442253178,0.30709901684847274,True,11,False,106.36359541134166,True,12,,76561198073897166,BIO,5.0,-2522.239990234375,928.2100219726562,17.010000228881836,-2043.0000305175781,-11126.500244140625,2.3999999463558197,0.09999999776482582,-0.0,2401.1000061035156,255.0,255.0,False,-0.0095091651231527,-1.4479835218262966,3.916229941449971e-06,True,246.0,False,8,False,6,,enpitsu,76561198039309853,26.0,-1958.1300048828125,3332.489990234375,333.3699951171875,-14946.800537109375,-6665.30029296875,-153.4000015258789,-1747.2000122070312,-3626.6000366210938,3747.60009765625,255.0,128.0,False,0.041801252468914515,-0.8891722336639867,1.3587975238945478,True,0.0,False,8,False,7,,games5425898691,bf81d8692db,21.0,-2741.81005859375,3206.590087890625,17.020000457763672,4494.800109863281,11373.199462890625,0.9000000357627869,-1.2999999523162842,-3.4999999403953552,1799.1999816894531,255.0,146.0,-0.009554144211187528,1.8737559957314966,-5.379307329077328e-05,True,6,6,255.0,False,False,,
7,578,14,False,False,0,8705.974272897454,2410.27001953125,-2913.72998046875,317.0799865722656,-16269.89990234375,583.4000015258789,2316.1000061035156,5853.2000732421875,1037.2000122070312,814.5999908447266,0.0,-0.6931079714657663,2.699955857266711,-2.5494915654222683,76561198039309853,enpitsu,26.0,2434.64990234375,-3020.719970703125,257.82000732421875,-15334.49951171875,-1045.999984741211,-713.7000274658203,-4738.800048828125,-2640.5999755859375,905.2999877929688,255.0,128.0,,0.7394949552629908,2.849043396201652,0.6748850602999928,True,9,False,0.0,False,10,,bf81d8692db,games5425898691,21.0,1416.4100341796875,-3707.5400390625,17.0,-11736.8994140625,4638.900146484375,3.6000001430511475,0.09999999776482582,0.0,2324.2999267578125,255.0,255.0,,0.00956211041527363,2.8319262608332814,9.0594862473861e-06,True,255.0,False,6,False,6,,BIO,76561198073897166,5.0,2515.909912109375,-2817.889892578125,392.3399963378906,-4691.099853515625,-9564.69970703125,3227.7999877929688,-1748.2000732421875,-158.90000343322754,-4941.7999267578125,237.0,128.0,,0.2162850791560209,-2.8919750187977873,1.0561053876748125,True,192.0,False,10,4,6,,Cactus Jack sent me,76561198302260434,11.0,950.1500244140625,-1364.6700439453125,17.010000228881836,13699.3994140625,1880.8999633789062,2.199999988079071,-0.5999999865889549,0.0,2179.7000122070312,255.0,255.0,0.009538637042575118,0.19543853583143922,7.31997090018635e-05,True,12,12,133.0,False,False,,
8,625,16,False,False,0,7767.114672500661,-338.07000732421875,-2607.050048828125,171.8000030517578,-19402.39990234375,20290.50048828125,4965.10009765625,4601.7999267578125,-2885.7998657226562,2548.3999633789062,0.0,1.0115614450293053,-2.7524685952356114,2.6347752879863378,bf81d8692db,games5425898691,21.0,-305.4200134277344,-2749.010009765625,132.8699951171875,-12245.2001953125,14914.000244140625,2483.3999633789062,-2085.399932861328,-4964.599914550781,-1119.4999694824219,255.0,241.0,,0.4624237973824282,1.867321587440367,-0.4048414634195001,True,7,False,203.0,False,8,,76561198039309853,enpitsu,26.0,8.460000038146973,-3214.639892578125,17.059999465942383,-12815.0,-5669.69970703125,2.3999999463558197,6.499999761581421,3.799999952316284,1644.1999816894531,255.0,128.0,,0.016788742191264645,-2.653126389290748,-1.3805145906780218e-05,True,31.0,False,10,False,10,,BIO,76561198073897166,5.0,1678.1400146484375,-4370.91015625,19.0,-5383.499755859375,-8151.5997314453125,-5553.900146484375,-1055.999984741211,690.5000305175781,-1108.0000305175781,208.0,0.0,False,0.037143747748359726,-3.1122719285837057,-0.053193017531103615,True,192.0,False,10,4,6,,Cactus Jack sent me,76561198302260434,11.0,524.6900024414062,198.0399932861328,17.010000228881836,-10947.099609375,9204.500122070312,1.899999976158142,0.19999999552965164,0.0,-9.300000071525574,255.0,128.0,0.009575471437363644,2.441206501761243,3.477880650065885e-05,True,12,12,151.0,False,False,,
9,766,21,False,False,1,10254.616939643254,2933.659912109375,-4910.1298828125,289.1499938964844,3850.7000732421875,6712.80029296875,-4150.400085449219,-3302.39990234375,4775.5999755859375,1512.2999572753906,1.0,-1.387772857434116,1.1126482563608437,0.10407462993423056,76561198302260434,Cactus Jack sent me,11.0,2856.330078125,-5057.14013671875,216.82000732421875,310.9000015258789,143.29999923706055,1377.2999572753906,-112.39999771118164,631.3999938964844,-1126.9999694824219,255.0,255.0,False,1.3334412907659965,-3.114928300172286,-1.2594785353764772,True,12,False,245.63319576683867,True,12,,76561198073897166,BIO,5.0,310.2900085449219,-3906.1298828125,17.010000228881836,7789.7998046875,-18402.80029296875,2.5999999046325684,-0.29999999329447746,0.7000000029802322,3064.5001220703125,128.0,255.0,False,-0.009602644498481628,-2.1878326008620808,0.00014557923005257807,True,133.0,False,16,4,12,,enpitsu,76561198039309853,26.0,1998.530029296875,-84.72000122070312,17.059999465942383,1041.6000366210938,-13176.600341796875,1.1999999731779099,0.3999999910593033,-0.5999999865889549,30.199999809265137,128.0,128.0,,-0.016824991232021712,-1.653602122617691,-6.666209339430652e-05,True,255.0,False,10,False,10,,games5425898691,bf81d8692db,21.0,3118.080078125,-4851.41015625,116.36000061035156,-928.4999847412109,-391.5999984741211,-468.1999969482422,38.19999933242798,219.69999313354492,2.3000000417232513,128.0,76.0,-0.0021168000561650026,-0.763922861078311,0.949347645812565,True,8,8,147.0,False,False,,
