,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,163,0.0,False,False,0,5213.944686213675,10.600000381469727,5.480000019073486,92.73999786376953,25252.099609375,8168.800048828125,-524.5999908447266,-391.6999816894531,-853.0000305175781,-5926.099853515625,0.0,-0.014913743925184552,-0.10139803350028208,-0.005946979659003924,76561198309971569,purp.,5.0,-176.13999938964844,-73.0199966430664,87.44000244140625,12894.100341796875,18958.1005859375,-1824.7000122070312,-2078.8999938964844,-97.70000457763672,-10.700000524520874,128.0,128.0,,-0.19300026250000932,1.0175802096322846,0.12431969586740545,True,4,0.0,False,4,False,,b0cda7b930b,ⁿᵉʸᶻᵒˣ.ᵒᵍ,6.0,0.0,-1902.02001953125,16.809999465942383,2.5,17334.100341796875,46.19999885559082,-6.9999998807907104,-0.09999999776482582,0.0,252.0,,,0.00916293608209772,1.5706494400754896,1.4585417839256405e-05,True,86.0,False,False,4,4,,enpitsu,76561198039309853,25,316.3599853515625,577.780029296875,86.76000213623047,-10998.699951171875,-20016.199951171875,2694.1000366210938,5073.800048828125,-739.1999816894531,1382.7000427246094,255.0,255.0,,0.21024836115537465,-2.2881149129822376,-0.03175138470834488,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,20.0,-1861.1600341796875,3633.60009765625,17.010000228881836,-17641.99951171875,10633.699951171875,1.899999976158142,0.7000000029802322,-0.5000000074505806,-43.29999923706055,255.0,128.0,0.009590924007719784,2.593540200162496,8.915499722730787e-05,True,False,False,False,0.0,False,,
1,266,3.0,False,False,0,5745.603472924735,3937.6298828125,2033.8800048828125,1110.9300537109375,-12004.599609375,10042.19970703125,8394.299926757812,-2272.7999877929688,-3617.0999145507812,1111.6999816894531,0.0,-1.1415940893464576,2.721233236253129,-0.49091525906523686,76561198309971569,purp.,2.0,4044.489990234375,1976.43994140625,989.4299926757812,-3174.2999267578125,5755.30029296875,9607.899780273438,-660.0,764.8000335693359,69.00000095367432,128.0,128.0,,-1.0893022072901344,1.5083217700767324,-1.5076303892870089,True,5,235.0,False,4,False,,b0cda7b930b,ⁿᵉʸᶻᵒˣ.ᵒᵍ,6.0,2359.409912109375,-4790.77978515625,17.010000228881836,-13094.100341796875,4142.60009765625,2.5,0.09999999776482582,0.0,-2253.3999633789062,255.0,3.0,False,0.009579352009066696,2.7604561507101693,1.4616683174995493e-05,True,255.0,False,False,6,6,,enpitsu,76561198039309853,25,-3564.989990234375,-220.7100067138672,78.0999984741211,2024.1999816894531,22823.30078125,1994.9000549316406,-5477.80029296875,493.1999969482422,-1.2999999523162842,255.0,128.0,,0.49437249482074513,1.4808403724174588,-0.00010185221226041636,True,255.0,False,4,False,3,,games5425898691,bf81d8692db,20.0,-2108.889892578125,4072.010009765625,17.020000457763672,6984.4000244140625,12173.699951171875,0.9000000357627869,0.29999999329447746,0.7000000029802322,-1684.1999816894531,255.0,21.0,0.009570075457718864,1.0124966264310309,-0.00011607977650432903,True,False,False,False,255.0,False,,
2,346,6.0,False,False,1,10088.633106622825,-608.239990234375,-4835.85986328125,771.0999755859375,-21304.7998046875,-9099.69970703125,2706.7001342773438,3806.199951171875,133.50000381469727,4636.199951171875,1.0,0.8554080141062536,-2.73822555804747,-0.3352347645240069,bf81d8692db,games5425898691,20.0,-448.17999267578125,-4817.81982421875,671.8400268554688,-14000.50048828125,-1888.0000305175781,2293.000030517578,547.7999877929688,1408.9999389648438,2226.199951171875,255.0,234.0,,0.43510394862860974,-0.38266239886557,-0.2702606697571587,True,4,150.12785391397367,True,False,False,,76561198039309853,enpitsu,25.0,576.8800048828125,-4874.9599609375,17.049999237060547,-17226.99951171875,-6976.199951171875,2.800000011920929,2.3000000417232513,-3.1999999284744263,-1191.2000274658203,0.0,0.0,,-0.01704530088403222,-0.37248833807871085,-0.00023029943333036418,True,255.0,False,False,4,4,,ⁿᵉʸᶻᵒˣ.ᵒᵍ,b0cda7b930b,6,-2089.320068359375,168.57000732421875,17.010000228881836,3618.699951171875,-16191.700439453125,2.0999999344348907,0.7000000029802322,-2.7000001072883606,923.0000305175781,255.0,195.0,,-0.009586137884419683,-1.8116908489780839,-2.326543560180345e-05,True,255.0,False,6,False,6,,purp.,76561198309971569,2.0,-2167.679931640625,-3618.72998046875,885.219970703125,8846.300048828125,-5380.2001953125,-10305.50048828125,-2104.9000549316406,-2450.2000427246094,891.9999694824219,128.0,128.0,0.05348546770212735,-1.4974488940878827,-0.3843146808876535,True,4,False,6,193.0,False,,
3,428,9.0,False,False,1,9289.100935965813,-3881.39990234375,-2826.419921875,123.86000061035156,7531.400146484375,16182.099609375,-421.1000061035156,-1171.6000366210938,-2393.6000061035156,-251.5999984741211,1.0,0.16259263078231082,-1.1987157187379418,1.2018153239611213,76561198039309853,enpitsu,25.0,-4004.820068359375,-2950.10009765625,112.41000366210938,1627.1000671386719,19805.999755859375,163.4000015258789,-4590.299987792969,-294.50000762939453,-3015.2999877929688,255.0,0.0,,-0.7333447978086557,1.7036169124145777,0.8526434071420739,True,6,71.0,False,5,False,,bf81d8692db,games5425898691,20.0,-2501.25,-3941.56005859375,17.010000228881836,12603.499755859375,4005.2999877929688,2.5,-0.0,-0.0,-2273.6000061035156,255.0,0.0,,-0.009558800427459945,2.9018586035043987,-6.096696103387434e-06,True,137.0,False,False,4,False,,ⁿᵉʸᶻᵒˣ.ᵒᵍ,b0cda7b930b,6,-3821.030029296875,-903.1900024414062,35.20000076293945,4771.9000244140625,14982.099609375,2604.1000366210938,219.69999313354492,-1661.4999389648438,-49.40000057220459,255.0,144.0,False,0.021722628149328158,1.8947081160819954,-0.01735580183859113,True,205.17736765646166,True,7,False,6,,purp.,76561198309971569,2.0,-2836.909912109375,-2872.02001953125,17.030000686645508,4620.7000732421875,14439.200439453125,5.0,-0.29999999329447746,-0.5999999865889549,-2.3999999463558197,255.0,128.0,-0.01676628039505376,1.8808625060899897,5.9275139276749805e-05,True,4,False,6,251.84445576001238,True,,
4,470,11.0,False,False,1,6901.492623506477,-2897.43994140625,-625.4500122070312,93.13999938964844,5314.89990234375,12392.2998046875,0.0,-5705.5999755859375,1851.9000244140625,-126.80000305175781,1.0,0.43883693057818657,-0.31821544935709223,2.4233739289934024,76561198039309853,enpitsu,25.0,-3178.860107421875,-678.1199951171875,16.959999084472656,12593.800048828125,13881.400146484375,17.40000009536743,-3.1999999284744263,1.4000000059604645,-944.3000030517578,255.0,0.0,,-0.016579211402038704,2.3303096519944355,-0.00028364612306955794,True,6,11.216602176748282,True,6,False,,bf81d8692db,games5425898691,20.0,-1751.4200439453125,-2589.389892578125,99.66000366210938,-2201.699981689453,17181.600341796875,673.7999725341797,-5366.199951171875,1129.4000244140625,-422.00000762939453,255.0,60.0,,-1.0796909360856515,0.9989509100972823,0.7119249722198322,True,137.0,False,False,6,3,,ⁿᵉʸᶻᵒˣ.ᵒᵍ,b0cda7b930b,6,-3070.010009765625,2344.929931640625,16.969999313354492,3674.4000244140625,22494.69970703125,13.40000033378601,6.200000047683716,0.19999999552965164,1289.1000366210938,255.0,193.0,False,-0.009944450545797873,1.7024901268843882,7.061085569800206e-05,True,181.0,False,8,False,8,,purp.,76561198309971569,3.0,-2716.169921875,-570.8900146484375,17.040000915527344,-8863.499755859375,7781.400146484375,0.0,-3.700000047683716,2.800000011920929,-1910.3999328613281,255.0,0.0,-0.01669686717802222,0.7223808779616425,-0.0004539944992768694,True,4,False,6,199.14033557009955,True,,
5,472,11.0,False,False,0,5944.064655796894,2894.919921875,561.7000122070312,108.91000366210938,8788.800048828125,-4255.0,5945.9002685546875,2793.0999755859375,-3559.2999267578125,3940.7000732421875,0.0,-0.6916164041973499,0.26593502689550924,2.731894990165739,76561198309971569,purp.,3.0,2786.85009765625,496.92999267578125,16.1299991607666,7093.2000732421875,-10172.39990234375,-705.0,567.400016784668,-1533.699951171875,-1789.1000366210938,255.0,0.0,,0.012453432896896452,-0.894256913242512,0.013156414929640542,True,6,192.94787090824497,True,4,False,,b0cda7b930b,ⁿᵉʸᶻᵒˣ.ᵒᵍ,6.0,3045.570068359375,-2533.06005859375,17.010000228881836,-2358.0999755859375,-22626.8994140625,2.3999999463558197,-1.4000000059604645,1.0999999940395355,321.19998931884766,255.0,128.0,False,0.009692528056002243,-1.646611149145066,-0.00010037357712902986,True,181.0,False,False,8,8,,enpitsu,76561198039309853,25,3089.4599609375,587.8499755859375,17.020000457763672,-14070.400390625,-13224.3994140625,4.4999998807907104,-0.19999999552965164,-1.5999999642372131,-1625.5999755859375,255.0,0.0,,0.016713292654061712,-2.4229765522505944,-0.0002631372362984046,True,5.024137514893713,True,6,False,6,,games5425898691,bf81d8692db,20.0,1766.1500244140625,2474.800048828125,99.79000091552734,2214.2999267578125,-17190.799560546875,-142.60000228881836,5346.6998291015625,-1221.9999694824219,-411.50001525878906,255.0,128.0,1.2175633152351342,0.08806475098033453,1.9179929299833818,True,3,False,6,137.0,False,,
6,473,11.0,False,False,1,6835.544685035223,-2904.06005859375,-541.9199829101562,141.0399932861328,13897.80029296875,4365.400085449219,12699.599609375,1221.500015258789,-5795.30029296875,-960.1000213623047,1.0,0.6185377096745083,-0.2828547587377449,2.810180911966344,76561198039309853,enpitsu,25.0,-3065.510009765625,-566.1099853515625,17.020000457763672,14473.1005859375,12986.400146484375,3.4999999403953552,0.5000000074505806,1.5999999642372131,-1707.8999328613281,255.0,0.0,,-0.016729133600437412,2.451130183403279,-0.00023849078310134012,True,6,1.9134794178829266,True,6,False,,bf81d8692db,games5425898691,20.0,-1769.8499755859375,-2446.139892578125,99.52999877929688,-2218.0999755859375,17190.10009765625,-158.100004196167,-5343.499755859375,1235.1000213623047,-413.4000015258789,255.0,128.0,,-1.164785721122259,-0.3530805047301387,2.212738508057955,True,167.0,False,False,6,3,24.0,ⁿᵉʸᶻᵒˣ.ᵒᵍ,b0cda7b930b,6,-3045.570068359375,2533.06005859375,17.010000228881836,2358.0999755859375,22626.8994140625,2.3999999463558197,1.4000000059604645,-1.0999999940395355,321.19998931884766,255.0,128.0,False,-0.009692528056002243,1.646611149145066,-0.00010037357712902986,True,181.0,False,8,False,8,,purp.,76561198309971569,3.0,-2786.85009765625,-496.92999267578125,16.1299991607666,-7093.2000732421875,10172.39990234375,-705.0,-567.400016784668,1533.699951171875,-1789.1000366210938,255.0,0.0,-0.012453432896896452,0.894256913242512,0.013156414929640542,True,4,False,6,189.83721281123417,True,,
7,579,15.0,False,False,1,4268.385931163123,2156.860107421875,1062.0899658203125,90.58000183105469,3100.10009765625,29464.3994140625,-5638.800048828125,-3575.8999633789062,-4017.2000122070312,-2659.5999145507812,1.0,0.586299678987564,2.992763549025359,-0.06239388343771796,76561198039309853,enpitsu,25.0,2214.97998046875,900.8099975585938,81.33999633789062,3162.2000122070312,16257.80029296875,2011.6000366210938,-5235.5999755859375,232.09999084472656,1668.5000610351562,255.0,0.0,,-0.4086394548514694,1.1804983951841979,0.33352931657692925,True,10,,False,9,False,,bf81d8692db,games5425898691,20.0,1578.6600341796875,-2042.760009765625,17.010000228881836,8729.500122070312,-14111.99951171875,2.0999999344348907,-0.3999999910593033,0.7999999821186066,104.0999984741211,255.0,128.0,,-0.009600553280022635,-2.1280344968799905,3.240985592046257e-05,False,198.0,False,False,8,6,,ⁿᵉʸᶻᵒˣ.ᵒᵍ,b0cda7b930b,6,2445.719970703125,-144.64999389648438,651.8400268554688,14475.6005859375,-17778.900146484375,-1833.9999389648438,-275.3000068664551,1268.7999725341797,2748.2000732421875,210.0,211.0,False,0.033342872790837384,-1.9790378399925834,-0.1784636958171844,False,107.0,False,10,4,8,,purp.,76561198309971569,2.0,1128.1500244140625,2206.8701171875,17.030000686645508,13382.80029296875,-11064.100341796875,5.5000001192092896,0.09999999776482582,-0.09999999776482582,-2012.1000671386719,255.0,0.0,-0.016763210344483404,-2.3811050019585998,-2.4683086988001194e-05,True,4,False,6,69.0,False,,
8,737,20.0,False,False,0,9321.507497054707,-2882.35009765625,-3967.409912109375,122.58999633789062,-8432.2998046875,18899.100341796875,8128.699951171875,4801.600036621094,2282.4000549316406,2781.099853515625,0.0,0.35500094718222514,3.098512730964905,-3.0796239732053037,76561198309971569,purp.,2.0,-2801.860107421875,-4150.35009765625,88.4800033569336,-4619.2999267578125,15079.7998046875,3016.300048828125,-5382.2998046875,430.9000015258789,-1046.2999725341797,255.0,0.0,,0.2656685406270585,2.2006681588583366,0.10767951719658374,True,8,0.0,False,5,False,,b0cda7b930b,ⁿᵉʸᶻᵒˣ.ᵒᵍ,6.0,-297.5299987792969,-3501.889892578125,17.010000228881836,14212.80029296875,-12105.2001953125,2.199999988079071,-0.9000000357627869,0.7000000029802322,-1363.9999389648438,255.0,32.0,False,0.009598886700075394,-0.7243790326651091,-0.00016983643479217498,True,255.0,False,4,12,10,,enpitsu,76561198039309853,25,-2566.360107421875,-4338.41015625,16.59000015258789,-1386.0000610351562,-836.3999938964844,49.099998474121094,-10.199999809265137,60.59999942779541,-521.5999984741211,128.0,128.0,False,0.01778698037178813,0.8404581675540214,-0.0013113350475086319,True,255.0,False,10,False,10,,games5425898691,bf81d8692db,20.0,-871.0599975585938,2460.1201171875,82.62000274658203,-11474.000244140625,-11238.599853515625,-1221.6999816894531,2379.7999572753906,-2175.500030517578,8.999999761581421,255.0,128.0,-0.7670571896564908,-2.314363764597985,0.0041485777159902,True,10,False,12,255.0,False,,
9,802,23.0,False,False,1,5658.44885934934,3559.06005859375,147.38999938964844,179.7100067138672,17555.0,15771.700439453125,1335.3999328613281,2593.5000610351562,-3238.800048828125,4333.999938964844,1.0,0.0684533261197507,2.611243977882461,1.6943346869721085,bf81d8692db,games5425898691,20.0,3496.7099609375,60.310001373291016,151.57000732421875,17210.0,8906.199951171875,919.5999908447266,-1216.1000061035156,3575.7998657226562,-3927.39990234375,255.0,65.0,,-0.7905045643868025,-2.6141168984280694,-0.34860638647502096,True,14,141.0,False,10,False,,76561198039309853,enpitsu,25.0,3109.679931640625,1495.2099609375,17.049999237060547,10418.599853515625,-20504.89990234375,-2.0999999344348907,0.29999999329447746,-1.0000000149011612,45.70000171661377,255.0,255.0,False,-0.01679077799591168,-2.0455638931543776,-6.65054237741626e-05,True,77.47814183594079,True,False,10,10,,ⁿᵉʸᶻᵒˣ.ᵒᵍ,b0cda7b930b,6,-34.36000061035156,5706.5,30.690000534057617,567.9000091552734,-3835.7998657226562,-160.10000228881836,12.000000476837158,66.50000095367432,1.2999999523162842,255.0,128.0,False,-0.04448570925600182,-1.7146999983245528,0.0039031959998872758,True,255.0,False,12,4,10,,purp.,76561198309971569,2.0,3629.97998046875,1119.300048828125,17.059999465942383,-4289.89990234375,-15337.7001953125,-3.6000001430511475,-0.9000000357627869,-2.5999999046325684,1256.9000244140625,255.0,255.0,-0.016787892893283172,-1.3002499185020888,0.0003561418656390371,True,6,False,8,8.585470804604148,True,,
