,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,170,0.0,False,False,0,5207.255417051847,-4.650000095367432,9.600000381469727,96.16000366210938,-6304.0997314453125,20661.201171875,6157.7001953125,4058.2000732421875,1892.8999328613281,202.5,0.0,0.01574912442072769,0.001955357699734578,0.03383822371883086,6207901611651106654,KaareKnallhard,83.0,30.100000381469727,-143.9199981689453,16.440000534057617,-7950.10009765625,14121.800537109375,-597.2999954223633,652.3000335693359,2981.6000366210938,-4575.299987792969,255.0,100.0,,-0.00877680736899211,1.9823033225273141,0.02438749866670804,True,0.0,False,False,False,False,,5352510735272825531,kinghelgix,12.0,-3065.639892578125,-4258.0400390625,17.020000457763672,1624.7999572753906,-9915.700073242188,2.3000000417232513,-0.7999999821186066,1.0999999940395355,3356.7001342773438,255.0,255.0,False,0.009572985245130346,-1.0948991191212452,8.443799435546565e-05,True,255.0,False,4,4,False,,enpitsu,76561198039309853,26,2083.56005859375,2607.969970703125,17.049999237060547,-3487.7999877929688,-1950.0999450683594,3.4999999403953552,-0.7000000029802322,-0.7000000029802322,-1781.1000061035156,255.0,0.0,,0.016625837575866907,-2.532746375660819,-0.00019936414483260947,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-11.550000190734863,374.6300048828125,59.34000015258789,-5679.6002197265625,-21754.89990234375,3074.2999267578125,1705.8999633789062,-1750.3999328613281,-2612.0001220703125,255.0,33.0,0.050254529251810925,-1.8202258923841765,0.009081732085851774,True,22.0,False,4,False,3,,
1,171,0.0,False,False,1,5260.465256214014,29.920000076293945,-48.68000030517578,151.1300048828125,-275.10000228881836,24531.4990234375,15255.10009765625,5526.300048828125,-414.00001525878906,2299.4000244140625,1.0,-0.111968692281668,-0.06957920847794717,0.04518289236673307,bf81d8692db,games5425898691,19.0,11.550000190734863,-374.6300048828125,59.34000015258789,5679.6002197265625,21754.89990234375,3074.2999267578125,-1705.8999633789062,1750.3999328613281,-2612.0001220703125,255.0,33.0,,-0.050254529251810925,1.8202258923841765,0.009081732085851774,True,22.0,False,4,3,False,,76561198039309853,enpitsu,26.0,-2083.56005859375,-2607.969970703125,17.049999237060547,3487.7999877929688,1950.0999450683594,3.4999999403953552,0.7000000029802322,0.7000000029802322,-1781.1000061035156,255.0,0.0,,-0.016625837575866907,2.532746375660819,-0.00019936414483260947,True,116.0,False,False,False,False,,kinghelgix,5352510735272825531,12,3065.639892578125,4258.0400390625,17.020000457763672,-1624.7999572753906,9915.700073242188,2.3000000417232513,0.7999999821186066,-1.0999999940395355,3356.7001342773438,255.0,255.0,False,-0.009572985245130346,1.0948991191212452,8.443799435546565e-05,True,255.0,False,4,False,4,,KaareKnallhard,6207901611651106654,83.0,-30.100000381469727,143.9199981689453,16.440000534057617,7950.10009765625,-14121.800537109375,-597.2999954223633,-652.3000335693359,-2981.6000366210938,-4575.299987792969,255.0,100.0,0.00877680736899211,-1.9823033225273141,0.02438749866670804,True,0.0,False,False,False,False,,
2,255,3.0,False,False,0,10216.320137930526,8.630000114440918,-5036.18994140625,112.45999908447266,13755.50048828125,7960.0,15021.700439453125,-1626.9000244140625,-4870.199890136719,-2286.3999938964844,0.0,0.02036865456414843,0.02050977293797426,0.6956564591498136,5352510735272825531,kinghelgix,12.0,-165.30999755859375,-5094.33984375,17.020000457763672,12797.5,-7000.3997802734375,-0.9000000357627869,-2.8999999165534973,1.5999999642372131,2018.3999633789062,255.0,255.0,False,0.009601957337449769,-0.454508741771227,0.00012178694622502298,True,223.2213936441688,True,4,4,False,,6207901611651106654,KaareKnallhard,20.0,-1988.1500244140625,-605.530029296875,121.45999908447266,-4066.400146484375,-17218.599853515625,-159.49999809265137,5442.60009765625,773.3000183105469,-173.4000015258789,255.0,178.0,False,0.14733234806909673,1.8172611294476877,-3.108272444464676,False,0.0,False,3,4,False,,enpitsu,76561198039309853,26,3501.830078125,290.9599914550781,17.049999237060547,7484.89990234375,-14430.6005859375,3.100000023841858,0.0,-0.7999999821186066,-2214.499969482422,255.0,128.0,False,0.016783666628616748,-1.4759819125588853,0.00010120197996262729,True,36.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-3738.449951171875,-157.47999572753906,17.010000228881836,-5151.300048828125,-11404.49951171875,2.8999999165534973,0.0,0.29999999329447746,2303.300018310547,255.0,255.0,0.009554268255692139,-1.9322193226985958,3.820567908947797e-05,True,255.0,False,4,False,4,,
3,371,7.0,False,False,0,8275.212637347096,3260.0400390625,-2015.8699951171875,324.9200134277344,18000.999755859375,28370.70068359375,840.8000183105469,-1920.5999755859375,-4133.999938964844,-2929.1000366210938,0.0,0.5600534782659659,0.45789273739153974,1.3968931137046785,5352510735272825531,kinghelgix,12.0,3125.010009765625,-2204.489990234375,232.6999969482422,10317.60009765625,19834.89990234375,2924.7000122070312,-752.0999908447266,4897.0001220703125,2388.000030517578,255.0,35.0,,-0.1811250975426714,1.191863408904396,0.64064127319231,True,171.0,False,6,5,False,,6207901611651106654,KaareKnallhard,14.0,-777.52001953125,-3187.81005859375,17.010000228881836,9811.699829101562,10077.60009765625,2.800000011920929,-2.0000000298023224,-1.8000000715255737,-1119.1999816894531,254.0,25.0,False,0.009573608185960642,0.800251445069627,-0.00018588953049798184,True,92.0,False,4,4,False,,enpitsu,76561198039309853,26,3457.389892578125,-1653.4100341796875,82.72000122070312,-14844.3994140625,628.4000015258789,3571.099853515625,-106.19999885559082,-216.70000076293945,2353.800048828125,128.0,255.0,False,0.04511894965048583,-2.9515349839088927,0.013435042901546831,True,240.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,1083.4200439453125,2604.360107421875,17.010000228881836,7039.89990234375,12880.0,2.5999999046325684,0.5000000074505806,0.7000000029802322,48.89999866485596,255.0,128.0,0.009599780099504001,1.077544406852107,-8.798025395289136e-05,True,208.0,False,6,False,6,,
4,432,9.0,False,False,1,8081.277871331676,-2313.43994140625,-2276.639892578125,154.1199951171875,14250.799560546875,22394.29931640625,10370.0,5522.19970703125,703.3000183105469,-2238.2000732421875,1.0,-0.329533753389008,-1.287703965042379,0.8636315448458509,bf81d8692db,games5425898691,19.0,-2393.169921875,-2534.8701171875,53.689998626708984,9210.999755859375,18474.3994140625,3063.5000610351562,-1696.6999816894531,1791.0000610351562,-580.099983215332,255.0,42.0,,-0.04544665983473767,1.848140955302846,0.0109855104709028,True,149.0,False,8,7,False,,76561198039309853,enpitsu,26.0,-1538.050048828125,675.2999877929688,17.030000686645508,12776.99951171875,-8459.299926757812,1.4000000059604645,-0.7000000029802322,0.3999999910593033,-464.70001220703125,255.0,0.0,False,-0.01677870709999469,-2.514329407931316,0.0002692805873896834,True,136.6606019004699,True,2,2,False,,kinghelgix,5352510735272825531,12,-2745.22998046875,-1193.9100341796875,17.059999465942383,21117.39990234375,2800.5999755859375,-5.199999809265137,-0.0,-0.0,2009.1999816894531,255.0,255.0,False,-0.009572869668303933,2.9302651350790847,2.2498332882610474e-05,False,84.0,False,6,False,6,,KaareKnallhard,6207901611651106654,14.0,-2080.360107421875,2262.77001953125,17.010000228881836,-13189.000244140625,3045.2999877929688,3.0000001192092896,-0.0,-0.0,-3045.2999877929688,248.0,0.0,-0.00959186612196484,0.46186647828909777,-9.950292111626495e-05,True,153.0,False,4,False,4,,False
5,514,12.0,False,False,0,9255.806277718686,-1810.6800537109375,-4070.5,312.0799865722656,-34876.0009765625,226.00000381469727,-205.10000228881836,-1877.8999328613281,-2178.0999755859375,5265.8001708984375,0.0,-0.558820051045196,1.8519404627638434,1.0063977037150784,6207901611651106654,KaareKnallhard,14.0,-1541.699951171875,-4167.72021484375,215.3000030517578,-17587.7001953125,4515.799865722656,2485.7000732421875,-4574.89990234375,2586.199951171875,1622.2000122070312,128.0,13.0,True,-0.47898719615262825,2.24357274759426,0.4358255501711675,True,60.0,False,6,5,False,,5352510735272825531,kinghelgix,12.0,50.9900016784668,-3673.080078125,17.010000228881836,8189.69970703125,-18316.500244140625,2.800000011920929,0.5000000074505806,-1.0000000149011612,-1820.5999755859375,255.0,0.0,False,0.009582222190000095,-1.2032816793359675,-0.00015912487031987632,True,84.0,False,8,8,False,,enpitsu,76561198039309853,26,313.8800048828125,4266.740234375,17.040000915527344,6750.9002685546875,16226.99951171875,4.900000095367432,0.09999999776482582,0.09999999776482582,-1803.699951171875,255.0,0.0,True,0.016773221142301512,1.107499131458015,-0.00024090096851037588,True,169.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,-1519.1400146484375,197.9199981689453,15.739999771118164,-19007.39990234375,-536.5999984741211,-158.1999969482422,-52.10000038146973,-411.5999984741211,615.6999969482422,255.0,128.0,0.014311071701751285,-3.0876452655319784,0.001049941164843696,True,149.0,False,10,False,10,,
6,697,19.0,False,False,1,10278.648987297804,2457.419921875,-5019.35986328125,222.24000549316406,-2236.999969482422,5624.1998291015625,-4010.5999755859375,2536.7999267578125,-5009.700012207031,2113.6000061035156,1.0,-0.3094197360859995,2.368898821859386,1.9073589534761781,bf81d8692db,games5425898691,19.0,2373.25,-5103.009765625,330.9200134277344,-7621.500244140625,9.49999988079071,-8761.699829101562,-1.1999999731779099,-2016.3999938964844,12.000000476837158,128.0,0.0,,-1.2040080367977377,-0.02571934186625962,1.5953481935100315,True,95.0,False,10,10,False,,76561198039309853,enpitsu,26.0,1384.8399658203125,-4992.580078125,25.420000076293945,-8625.700073242188,4703.299865722656,-1490.0999450683594,3023.0999755859375,-202.99999237060547,-559.3000030517578,128.0,0.0,,-0.09721966195212334,0.6243728154251795,0.25822845040913045,True,255.0,False,2,2,False,,kinghelgix,5352510735272825531,13,3098.4599609375,-2634.860107421875,17.010000228881836,-5864.89990234375,-15329.69970703125,2.5999999046325684,0.5999999865889549,2.199999988079071,660.8000183105469,255.0,128.0,False,-0.009594114307973639,-1.2563838732470873,-0.00014581149422581913,True,255.0,False,8,False,8,,KaareKnallhard,6207901611651106654,14.0,1152.7099609375,1302.4300537109375,17.020000457763672,-6768.0999755859375,-12366.500244140625,1.4000000059604645,-0.19999999552965164,-0.19999999552965164,306.49999618530273,255.0,148.0,-0.009607564166018618,-1.0730728700566055,4.596295492918198e-05,True,255.0,False,6,False,6,,False
7,708,19.0,False,False,1,10067.349759174738,2357.570068359375,-4820.68994140625,134.74000549316406,959.8000335693359,9212.80029296875,4993.999938964844,2423.3999633789062,-3644.2001342773438,-115.9000015258789,1.0,0.1890895819162242,0.9340638525426187,0.605705621940424,bf81d8692db,games5425898691,19.0,2278.60009765625,-4987.1201171875,21.219999313354492,440.8000183105469,8772.999877929688,-2407.7000427246094,5487.39990234375,-362.99999237060547,81.00000381469727,255.0,128.0,,-0.19326019700306668,1.6178741280994566,-0.00408881185579455,True,95.0,False,10,10,False,,76561198039309853,enpitsu,26.0,1131.5799560546875,-4751.580078125,17.059999465942383,-3369.4000244140625,7249.7998046875,3.0000001192092896,-4.900000095367432,4.600000083446503,-2393.6000061035156,0.0,0.0,False,-0.016615207608715103,1.1566466222470695,-0.0004541754313948677,True,255.0,False,2,2,False,,kinghelgix,5352510735272825531,13,2870.169921875,-3285.6201171875,17.010000228881836,-6119.000244140625,-14963.299560546875,2.5999999046325684,-0.0,-0.0,-37.799999713897705,247.0,128.0,False,-0.00959843709733707,-1.1777660286606149,3.3886931243548604e-05,True,255.0,False,8,False,8,,KaareKnallhard,6207901611651106654,14.0,912.3200073242188,805.5499877929688,17.020000457763672,-5456.300048828125,-12980.2001953125,1.5000000596046448,-1.1999999731779099,-2.3000000417232513,870.0,255.0,200.0,-0.009607675355913408,-1.1726587416730616,0.0001320544305728324,True,255.0,False,6,False,6,,False
8,760,21.0,False,False,0,2516.52963528654,-2504.6298828125,3204.739990234375,163.13999938964844,-9535.999755859375,6024.6002197265625,6597.5,3616.199951171875,3412.9000854492188,-3357.6998901367188,0.0,1.0385312213160864,-0.004122990618450411,1.4684570478952774,5352510735272825531,kinghelgix,12.0,-2408.860107421875,3102.35009765625,70.69999694824219,-12883.00048828125,-684.8000335693359,2599.89990234375,-1280.5999755859375,-4572.0001220703125,-899.3000030517578,255.0,31.0,False,0.11162388798592866,-3.0328951386305714,0.022945724268915446,True,255.0,False,10,9,False,,6207901611651106654,KaareKnallhard,14.0,-1858.010009765625,831.6799926757812,17.020000457763672,-5674.4000244140625,15857.7001953125,-1.0999999940395355,-1.5999999642372131,5.199999809265137,-950.1000213623047,255.0,130.0,False,0.009587116174674573,1.8717325438751915,-2.0331663899304566e-05,True,204.94289035438217,True,6,6,False,,enpitsu,76561198039309853,26,-1736.4599609375,3748.179931640625,17.059999465942383,-12087.39990234375,-10091.099853515625,-3.100000023841858,0.3999999910593033,0.0,-6.899999976158142,0.0,128.0,False,0.016764941807409492,-2.4468033581250523,1.7054247806259348e-05,True,195.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-3096.550048828125,2274.18994140625,28.209999084472656,-7085.30029296875,-13536.400146484375,-714.5999908447266,-2262.7999877929688,-2951.400146484375,-262.8000068664551,255.0,0.0,-0.138262461063652,-2.0338059318463313,-0.13933917988319675,True,87.0,False,12,False,12,,
9,814,23.0,False,False,0,3041.6258616107507,-3645.570068359375,3839.47998046875,174.1999969482422,-23202.60009765625,-1474.1999816894531,-6642.39990234375,331.3999938964844,-735.0,5945.4998779296875,0.0,-0.3707503685916608,0.6478911335186444,0.28488763407439754,6207901611651106654,KaareKnallhard,14.0,-3424.4599609375,3788.590087890625,188.42999267578125,-17056.99951171875,15175.999755859375,2186.699981689453,-871.8000030517578,-5229.0997314453125,-1465.0,128.0,224.0,True,0.034048968040165384,2.1606253262368385,-0.42337120254739086,True,206.0,False,8,7,False,,5352510735272825531,kinghelgix,12.0,-3985.780029296875,3513.7099609375,68.80999755859375,6449.6002197265625,7153.499755859375,-5193.499755859375,-1981.9000244140625,-3438.0999755859375,-1410.0999450683594,255.0,0.0,False,0.5011856636069314,0.7474482485362092,0.44993396004181874,True,230.0,False,10,10,False,,enpitsu,76561198039309853,26,-3220.929931640625,3914.340087890625,55.16999816894531,-11404.69970703125,2187.7999877929688,3550.0,-85.60000419616699,-718.1999969482422,2585.5999755859375,255.0,128.0,False,0.04058684554382747,-3.140741826657579,0.002839329307731064,True,185.0,False,4,False,3,,games5425898691,bf81d8692db,19.0,-2075.830078125,1388.239990234375,101.41999816894531,10922.900390625,14049.300537109375,-100.69999694824219,-5255.0,1597.1000671386719,289.20000076293945,255.0,194.0,1.3893759585678247,-0.12126471124452891,-1.41138903615897,True,87.0,False,14,False,13,,
