,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,shot_taker_handbrake
0,178,0,False,False,1,5221.888522472979,-15.84000015258789,-1.659999966621399,122.20999908447266,-4370.5999755859375,-3657.7999877929688,5540.7000732421875,-333.3000183105469,1080.199966430664,876.2999725341797,1.0,0.018555494231831123,-0.04920066758699829,-0.14434292598486043,bf81d8692db,games5425898691,17.0,-13.319999694824219,-133.14999389648438,99.05999755859375,-1852.2999572753906,249.40000534057617,1424.6000671386719,1916.3999938964844,-383.10001373291016,339.70001220703125,128.0,128.0,-1.5489095089029208,-2.3078685486600548,-2.3031395499851928,True,31.0,False,3,False,4,,76561198039309853,enpitsu,27.0,-0.0,-3359.8701171875,17.049999237060547,-0.0,10324.599609375,2.5999999046325684,0.3999999910593033,-0.0,0.0,255.0,,,-0.016731457360090674,1.5707747324698187,1.805487853338757e-07,True,116.0,False,False,False,False,,BlxxmOw,bf6efbc0d1b,29.0,21.309999465942383,147.41000366210938,52.7400016784668,-3338.9999389648438,600.8000183105469,204.0999984741211,-4975.899963378906,-2160.0,907.6999664306641,255.0,0.0,,0.5839076398110512,-1.3181776620961312,0.16835933772881345,False,False,9.0,False,3,4,,Pouka.,b2d05d5f14b,5.0,-0.0,1734.469970703125,17.010000228881836,0.5000000074505806,-14100.0,2.0999999344348907,-0.5000000074505806,-0.0,0.0,255.0,128.0,,-0.009635962178758306,-1.5708645218423591,3.289756193298297e-07,True,4,False,4,87.0,False,,
1,180,0,False,False,0,5243.601682516521,44.869998931884766,-18.5,150.24000549316406,4497.60009765625,557.599983215332,3019.7000122070312,831.6000366210938,-928.0999755859375,503.80001068115234,0.0,-0.06954197713175099,0.1424147241320273,-0.2799287728971422,bf6efbc0d1b,BlxxmOw,29.0,-21.309999465942383,-147.41000366210938,52.7400016784668,3338.9999389648438,-600.8000183105469,204.0999984741211,4975.899963378906,2160.0,907.6999664306641,255.0,0.0,-0.5839076398110512,1.3181776620961312,0.16835933772881345,False,9.0,False,3,False,4,,b2d05d5f14b,Pouka.,5.0,0.0,-1605.219970703125,17.010000228881836,-0.5000000074505806,14100.0,2.0999999344348907,0.5000000074505806,0.0,0.0,255.0,128.0,,0.009635962178758306,1.5708645218423591,3.289756193298297e-07,True,87.0,False,False,4,4,,enpitsu,76561198039309853,27.0,0.0,3262.840087890625,17.049999237060547,0.0,-10796.8994140625,2.5999999046325684,-0.29999999329447746,0.0,0.0,255.0,,,0.016731457360090674,-1.5707747324698187,1.805487853338757e-07,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,17.0,31.09000015258789,135.88999938964844,110.81999969482422,1954.1999816894531,385.9000015258789,1051.2999725341797,5494.000244140625,-230.40000915527344,112.5,128.0,128.0,,1.0903509171916153,1.5696972405194762,-3.1117326406016756,True,3,False,4,31.0,False,,
2,208,1,False,False,0,5267.316443525018,497.54998779296875,60.369998931884766,129.80999755859375,5747.5,19334.000244140625,5758.4002685546875,5844.4000244140625,-1284.9000549316406,-437.5,0.0,-1.2011612108825311,-0.15712123712101272,0.8503381059887722,b2d05d5f14b,Pouka.,5.0,456.67999267578125,-136.4499969482422,17.010000228881836,9685.2001953125,16546.400146484375,0.0,-1.0999999940395355,-1.8000000715255737,1514.4999694824219,255.0,255.0,0.009591351899487677,1.0601187477628562,0.0003743618467981421,True,36.909505344206295,True,4,False,4,,bf6efbc0d1b,BlxxmOw,29.0,256.95001220703125,-207.63999938964844,36.150001525878906,2375.7000732421875,-450.29998779296875,-1640.2999877929688,-540.6999969482422,5329.69970703125,31.099998950958252,255.0,46.0,,-0.7425944518804616,0.7597826010341502,0.019667714818932223,False,9.0,False,False,4,4,,enpitsu,76561198039309853,27.0,466.239990234375,2243.10009765625,17.049999237060547,12167.7001953125,-3704.5999145507812,3.1999999284744263,0.0,0.0,2323.800048828125,255.0,255.0,,0.01672455172400976,-0.23379603312880046,-3.094285418054669e-06,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,17.0,258.67999267578125,136.7100067138672,16.579999923706055,5181.500244140625,-1816.9000244140625,46.79999828338623,-128.29999923706055,104.60000038146973,2142.2000122070312,255.0,255.0,,0.00598388485192635,-0.34703113189488516,0.01648345862697522,True,4,False,4,9.068868639648603,True,,
3,253,2,False,True,0,3013.6472886161714,1372.2900390625,3155.830078125,230.8000030517578,-7298.2000732421875,23890.30029296875,7799.7998046875,3974.5999145507812,3530.4998779296875,-2781.6000366210938,0.0,1.315338205559338,0.9504257062422881,-0.9182571825719694,b2d05d5f14b,Pouka.,6.0,1436.6700439453125,3047.080078125,95.08999633789062,-6202.60009765625,19101.600341796875,1090.8000183105469,-4469.4000244140625,-477.20001220703125,-2745.2999877929688,128.0,255.0,0.3707572315863661,1.669411650413625,-0.5343717336933719,False,0.0,False,5,False,6,,bf6efbc0d1b,BlxxmOw,32.0,1321.8499755859375,-1348.489990234375,88.87999725341797,8559.89990234375,-13250.799560546875,-142.70000457763672,4690.7000732421875,2871.4999389648438,-33.59999895095825,255.0,128.0,,-1.0320259559161933,2.109915326402217,-3.1296532200383944,True,0.0,False,False,5,6,,enpitsu,76561198039309853,27.0,1211.3499755859375,3607.780029296875,27.1200008392334,1491.0000610351562,7975.30029296875,3079.7000122070312,-1.1999999731779099,-0.3999999910593033,-0.7000000029802322,0.0,128.0,,0.01689078443276701,1.3858302316731455,3.482684653269628e-05,True,False,105.0,False,False,2,,games5425898691,bf81d8692db,17.0,1675.27001953125,1365.239990234375,88.30000305175781,11273.599853515625,11697.900390625,-237.70000457763672,-2894.8001098632812,4344.100036621094,-223.29999923706055,255.0,128.0,,-1.221194214033471,1.8251679627379027,-1.2228402379976062,True,6,False,6,0.0,False,,
4,365,6,False,False,1,7683.347029774506,576.469970703125,-2536.699951171875,209.2100067138672,15934.89990234375,24417.099609375,4264.100036621094,-174.20000076293945,-1901.6999816894531,-1716.1000061035156,1.0,-0.3148468007357847,2.148131522503114,2.9590617038669427,bf81d8692db,games5425898691,18.0,492.3699951171875,-2654.080078125,152.83999633789062,11909.69970703125,17481.500244140625,900.1000213623047,-5090.4998779296875,1373.3999633789062,1565.2000427246094,255.0,224.0,-0.0783429306682333,2.522445925509746,-0.1546821226176286,True,88.59132891060204,True,7,False,8,,76561198039309853,enpitsu,27.0,593.3400268554688,-3185.159912109375,17.059999465942383,8648.400268554688,20799.69970703125,-1.0000000149011612,-0.9000000357627869,-2.0000000298023224,1607.5,255.0,255.0,False,-0.01676923115291695,1.929231862340081,0.00028845393271378195,True,20.0,False,False,2,2,,BlxxmOw,bf6efbc0d1b,31.0,-345.1499938964844,5014.35009765625,16.860000610351562,15059.599609375,-3730.1998901367188,36.30000114440918,60.50000190734863,-5.099999904632568,-339.00001525878906,255.0,111.0,,-0.009010461455172345,-2.884173969931137,-0.0033040454565307397,True,False,255.0,False,6,6,,Pouka.,b2d05d5f14b,5.0,436.9200134277344,-3090.139892578125,106.66999816894531,3320.2999877929688,13726.400146484375,2762.7999877929688,1277.0999908447266,-308.99999618530273,0.29999999329447746,128.0,128.0,False,0.2242681871238161,1.8083718364785404,7.176103815011612e-05,True,6,False,8,,False,,
5,507,11,False,False,0,10228.21159437927,-2089.159912109375,-5018.3798828125,124.05000305175781,-10221.099853515625,-5587.1002197265625,6835.4998779296875,3340.4000854492188,-3368.2998657226562,3673.599853515625,0.0,1.4024426386545816,-1.3043813027575244,-0.7420959379464251,b2d05d5f14b,Pouka.,6.0,-2029.22998046875,-4865.5400390625,121.33000183105469,-17893.199462890625,1641.199951171875,100.79999923706055,-5344.69970703125,-1215.5000305175781,453.8999938964844,128.0,21.0,0.18663187926571054,-2.9407754074784704,1.4055860779731515,True,0.0,True,11,False,12,,bf6efbc0d1b,BlxxmOw,33.0,-3958.469970703125,-3575.64990234375,51.06999969482422,601.5000152587891,-13140.0,-291.70000076293945,-307.90000915527344,-285.49999237060547,148.80000114440918,255.0,128.0,False,0.028010490314345014,-1.5429884494497907,-0.5314584806132401,True,192.0,False,False,6,6,,enpitsu,76561198039309853,27.0,-1959.8299560546875,-1235.780029296875,17.059999465942383,-8935.800170898438,1642.4000549316406,2.0999999344348907,0.0,0.0,-2461.7999267578125,255.0,0.0,False,0.01667904393248235,2.924291711781009,2.035515128189942e-05,True,False,27.0,False,2,2,,games5425898691,bf81d8692db,18.0,-1711.489990234375,-3214.6298828125,17.020000457763672,-13636.8994140625,-5165.8001708984375,1.0000000149011612,0.19999999552965164,0.0,-2091.0000610351562,255.0,0.0,,0.009570446138562545,-2.846453132382261,1.0039634077504092e-05,True,8,False,8,186.0,False,,False
6,552,13,False,False,0,10097.183476796692,-3254.3798828125,-4677.89990234375,481.55999755859375,-4579.700012207031,4644.200134277344,-2582.9998779296875,419.50000762939453,-286.3999938964844,5978.4002685546875,0.0,0.6118598816971296,2.9139154436951666,-0.2681556480510882,b2d05d5f14b,Pouka.,6.0,-3399.510009765625,-4619.25,187.0,-891.3999938964844,-123.69999885559082,2111.199951171875,426.5999984741211,1859.9000549316406,546.8999862670898,255.0,255.0,-1.1638888267007241,2.9607369101743655,0.8689413526492135,True,,False,12,False,12,,bf6efbc0d1b,BlxxmOw,33.0,-2186.989990234375,-4150.22998046875,17.010000228881836,14085.30029296875,568.4999847412109,2.0999999344348907,-0.3999999910593033,0.5000000074505806,-54.20000076293945,255.0,,,0.009543633536688191,0.033336860335960644,6.736801597538972e-05,True,255.0,False,False,6,6,,enpitsu,76561198039309853,27.0,-3279.97998046875,248.8000030517578,17.059999465942383,-11559.49951171875,7699.7998046875,2.0000000298023224,0.29999999329447746,-0.5999999865889549,2226.699981689453,255.0,255.0,False,0.01672475350936602,2.6061153991486243,0.00021737857672404526,True,False,27.0,False,2,2,,games5425898691,bf81d8692db,18.0,-3358.780029296875,-4563.6298828125,321.95001220703125,-7100.8001708984375,-16200.0,2824.89990234375,1572.4000549316406,539.7999954223633,647.5,255.0,240.0,,-0.2985351142447323,-1.3603087900506403,-0.24655874598429825,True,8,False,10,176.62547952898086,True,,
7,554,13,False,False,1,2425.110144628428,3270.800048828125,4648.58984375,474.2200012207031,-6422.60009765625,-3412.9998779296875,4163.399963378906,1442.8999328613281,1675.2000427246094,5577.7001953125,1.0,-0.6542146812636991,2.9487852470031637,-0.25396741590652033,bf81d8692db,games5425898691,18.0,3377.070068359375,4626.169921875,335.8800048828125,-45.999999046325684,5022.699890136719,1436.9000244140625,3182.9998779296875,-3273.599853515625,2810.7998657226562,255.0,252.0,0.4385605762498226,1.0119961794180987,-0.7171085767519434,True,170.36363858561361,True,8,False,10,,76561198039309853,enpitsu,27.0,3379.989990234375,-305.44000244140625,17.059999465942383,12289.7998046875,-6075.5999755859375,2.0999999344348907,-0.3999999910593033,0.3999999910593033,2763.900146484375,255.0,255.0,False,-0.01674003116094453,-2.8174968950694654,0.0001769526269814803,True,27.0,False,False,2,2,,BlxxmOw,bf6efbc0d1b,33.0,2093.070068359375,4146.81982421875,17.010000228881836,-14090.899658203125,-477.99999237060547,2.0999999344348907,0.3999999910593033,-0.5000000074505806,-17.899999618530273,255.0,,,-0.009543697595000816,-0.03129729036321727,5.763544594517014e-05,True,False,255.0,False,6,6,,Pouka.,b2d05d5f14b,6.0,3406.699951171875,4620.8701171875,207.67999267578125,701.2999725341797,201.70000076293945,2799.5999145507812,-836.9000244140625,-1681.9999694824219,590.099983215332,255.0,254.0,,1.3185125711703363,-3.114863645313685,0.7865993281429833,True,12,False,12,,False,,
8,605,15,False,False,1,1655.1092909491917,2122.340087890625,4028.47998046875,146.75999450683594,-5027.699890136719,-11863.00048828125,2265.0,-4731.9000244140625,946.6999816894531,3565.4000854492188,1.0,-0.02497097110089512,-1.8370156804889939,-0.36456466909431157,bf81d8692db,games5425898691,18.0,2160.929931640625,4150.6298828125,16.989999771118164,-8655.399780273438,-12196.99951171875,4.699999988079071,-0.29999999329447746,-0.29999999329447746,1363.2000732421875,255.0,238.0,-0.009598810351064552,-0.9708383488700535,0.00015351153967075738,True,64.0,False,8,False,10,,76561198039309853,enpitsu,27.0,2807.3701171875,303.4800109863281,17.059999465942383,-12545.10009765625,-3895.0,1.1999999731779099,-0.5000000074505806,-0.19999999552965164,1.7000000178813934,255.0,128.0,False,-0.016732552485616933,-0.3013108498433861,-5.182164515620783e-05,True,27.0,False,False,2,2,,BlxxmOw,bf6efbc0d1b,34.0,1563.3599853515625,4428.2001953125,21.969999313354492,9286.799926757812,-10165.499877929688,2995.4998779296875,1.0000000149011612,-0.5999999865889549,-1986.199951171875,255.0,46.0,False,-0.009571332193583042,-2.244301610678271,4.46717069613026e-05,True,False,208.01232703270443,True,6,7,,Pouka.,b2d05d5f14b,6.0,2247.780029296875,4952.740234375,17.579999923706055,-10889.89990234375,-7687.5,-1286.6999816894531,-2438.0999755859375,1591.300048828125,1701.199951171875,255.0,128.0,,-0.047710457300254916,-0.7742450756074349,-0.0734023992163555,True,14,False,14,,False,,
9,671,17,False,False,0,6807.042363284176,-1102.47998046875,-1663.9100341796875,94.70999908447266,-1350.5999755859375,11177.80029296875,1213.0000305175781,-2801.7999267578125,2501.999969482422,4678.500061035156,0.0,1.4704636459728122,2.1955150346540275,-1.0193678682849319,b2d05d5f14b,Pouka.,6.0,-995.5,-1780.050048828125,16.850000381469727,2308.5000610351562,11837.2998046875,-76.70000076293945,404.59999084472656,732.6000213623047,-197.5,128.0,166.0,0.004198971440393224,1.401473964176845,0.01546284320575632,False,,False,14,False,14,,bf6efbc0d1b,BlxxmOw,34.0,-3546.330078125,-2594.010009765625,16.899999618530273,-65.9000015258789,123.69999885559082,30.69999933242798,-0.09999999776482582,10.099999904632568,276.8000030517578,255.0,255.0,False,0.009034692312861596,-0.9096155742764308,0.000656513992606856,True,179.0,False,False,8,8,,enpitsu,76561198039309853,27.0,-284.75,1476.3800048828125,17.059999465942383,3423.2998657226562,11711.300048828125,1.2999999523162842,-0.19999999552965164,0.5000000074505806,1.2999999523162842,255.0,128.0,False,0.016826561410041414,1.2866185857893953,-4.099274105930227e-05,True,False,27.0,False,2,2,,games5425898691,bf81d8692db,18.0,325.1199951171875,-216.38999938964844,99.16000366210938,5717.19970703125,22115.10009765625,-154.49999809265137,-5155.2001953125,-1863.3999633789062,447.90000915527344,255.0,128.0,,-0.16429113912028018,-0.8135404124602955,2.9837452618943945,True,11,False,14,95.0,False,,
