,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,169,0.0,False,True,0,5229.946873836795,20.200000762939453,-9.069999694824219,92.87999725341797,2364.600067138672,26071.69921875,-3489.7000122070312,-736.3999938964844,-1891.7999267578125,-5645.999755859375,0.0,-0.09726242625581175,-0.15643814085075988,-0.0912031411720266,76561198867559925,Kraker,11.0,55.34000015258789,-189.6199951171875,95.87999725341797,-13114.69970703125,18798.1005859375,66.5999984741211,-5471.199951171875,-433.10001373291016,357.59998321533203,255.0,0.0,True,0.5706887516396567,-3.0876783206973655,1.5284020656789474,True,4,3,False,0.0,False,,b35329e12cb,MRBLAAAA,18.0,-122.93000030517578,-1841.77001953125,17.010000228881836,953.0000305175781,13743.599853515625,2.7000001072883606,0.0,-0.5999999865889549,-33.69999885559082,255.0,128.0,,0.009576838830484179,1.4967185441491735,8.02985218509732e-05,True,False,107.0,False,False,False,,enpitsu,76561198039309853,27,-21.829999923706055,118.44999694824219,92.97000122070312,13286.8994140625,-15631.8994140625,1733.0000305175781,4695.400085449219,2336.1000061035156,-1656.7999267578125,255.0,128.0,,0.7926468155281294,-0.9472259384048605,0.07198372577316371,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,-2672.840087890625,3976.14990234375,17.010000228881836,-15793.499755859375,8621.199951171875,2.7000001072883606,-2.0999999344348907,1.0999999940395355,1066.8000030517578,255.0,255.0,,0.009587352898006848,2.646898373513951,0.00017748526994147007,True,False,0.0,False,False,False,
1,170,0.0,False,False,1,5222.698702699615,-58.79999923706055,5.320000171661377,126.83000183105469,-12991.099853515625,-9177.899780273438,4432.39990234375,-211.39999389648438,1119.1000366210938,-5890.8001708984375,1.0,0.34438447166856023,0.45665484608087215,-0.47011114199485005,76561198039309853,enpitsu,27.0,21.829999923706055,-118.44999694824219,92.97000122070312,-13286.8994140625,15631.8994140625,1733.0000305175781,-4695.400085449219,-2336.1000061035156,-1656.7999267578125,255.0,128.0,,-0.7926468155281294,0.9472259384048605,0.07198372577316371,True,2,1,False,0.0,False,,bf81d8692db,games5425898691,24.0,2672.840087890625,-3976.14990234375,17.010000228881836,15793.499755859375,-8621.199951171875,2.7000001072883606,2.0999999344348907,-1.0999999940395355,1066.8000030517578,255.0,255.0,,-0.009587352898006848,-2.646898373513951,0.00017748526994147007,True,False,0.0,False,False,False,,Kraker,76561198867559925,11,-55.34000015258789,189.6199951171875,95.87999725341797,13114.69970703125,-18798.1005859375,66.5999984741211,5471.199951171875,433.10001373291016,357.59998321533203,255.0,0.0,True,-0.5706887516396567,3.0876783206973655,1.5284020656789474,True,0.0,False,4,False,3,,MRBLAAAA,b35329e12cb,18.0,122.93000030517578,1841.77001953125,17.010000228881836,-953.0000305175781,-13743.599853515625,2.7000001072883606,-0.0,0.5999999865889549,-33.69999885559082,255.0,128.0,,-0.009576838830484179,-1.4967185441491735,8.02985218509732e-05,True,False,107.0,False,False,False,
2,301,4.0,False,False,1,4420.844597414003,-2818.110107421875,2742.239990234375,99.16999816894531,2336.4999389648438,3099.7000122070312,4637.900085449219,-3397.7999877929688,2561.300048828125,3925.4000854492188,1.0,0.004674035834004489,0.7077889048097309,1.8475025872892392,76561198039309853,enpitsu,27.0,-2943.830078125,2561.47998046875,24.530000686645508,7602.39990234375,15749.3994140625,3029.5999145507812,0.09999999776482582,-0.29999999329447746,0.0,255.0,0.0,,-0.016799426926572894,2.020526853853291,1.5943592868840965e-05,True,3,2,False,173.8796904369067,True,,bf81d8692db,games5425898691,25.0,-2278.449951171875,-894.8800048828125,17.0,-13778.800048828125,12518.800048828125,4.000000059604645,-0.19999999552965164,0.29999999329447746,-1677.5999450683594,255.0,0.0,,-0.009601227204247258,0.775819346051509,-0.00016425237986667486,True,False,239.0,False,False,False,,Kraker,76561198867559925,11,3268.27001953125,1829.18994140625,97.36000061035156,-15846.8994140625,16472.19970703125,2267.899932861328,-5303.499755859375,-1434.9000549316406,251.00000381469727,255.0,0.0,True,-0.5007269681253601,0.07393298030640395,0.9754938732142977,True,195.0,False,8,False,7,,MRBLAAAA,b35329e12cb,18.0,-2123.409912109375,4008.340087890625,17.010000228881836,10936.400146484375,1431.6000366210938,3.0000001192092896,0.19999999552965164,-0.0,2383.300018310547,255.0,255.0,,-0.009534181900486664,2.9532869412664504,-2.6285568742134812e-05,True,False,255.0,False,False,False,
3,366,7.0,False,False,0,9296.748328819345,513.489990234375,-4049.280029296875,216.24000549316406,27763.00048828125,18262.900390625,-3336.400146484375,-1140.199966430664,3901.7999267578125,4412.9998779296875,0.0,0.5123484111929449,-1.2227056156842,2.3348063627755584,76561198867559925,Kraker,11.0,360.3299865722656,-4102.8798828125,191.72000122070312,17389.69970703125,6960.7000732421875,1808.8999938964844,-4296.499938964844,-2253.9999389648438,2590.10009765625,255.0,255.0,True,-0.02139925231031723,0.19404043376722127,-0.5935734635069225,True,10,9,False,186.03965595460704,True,,b35329e12cb,MRBLAAAA,18.0,312.30999755859375,-5018.990234375,131.8300018310547,-9478.699951171875,2190.0999450683594,-4396.099853515625,1122.699966430664,542.599983215332,-2247.2000122070312,128.0,255.0,False,0.35322423916379936,2.749424663176876,1.3515610643777338,True,False,239.0,False,False,4,,enpitsu,76561198039309853,27,225.25999450683594,-4603.7099609375,17.059999465942383,-11487.80029296875,-5149.1998291015625,2.5,1.5999999642372131,0.5000000074505806,2129.4000244140625,255.0,128.0,,0.016720913464064322,-2.6842573233704075,0.00019706069145289748,True,169.0,False,4,False,4,,games5425898691,bf81d8692db,25.0,711.469970703125,-3338.6201171875,154.2899932861328,-8768.699951171875,-21182.5,1846.6999816894531,191.00000381469727,-382.5,-584.5999908447266,255.0,93.0,,-0.2985448182012874,-2.2436261381510207,0.05762201575175723,True,False,121.52888616438834,True,False,4,
4,458,10.0,False,False,0,7058.11755460744,3851.280029296875,-83.05999755859375,1477.56005859375,-10787.099609375,21949.7998046875,5099.89990234375,327.79998779296875,1000.2999877929688,5906.9000244140625,0.0,0.5059443141148353,-0.5411318568728998,0.9037209764474696,76561198867559925,Kraker,11.0,3944.169921875,-242.94000244140625,1406.5,-9100.800170898438,19983.800048828125,5685.0,-803.3000183105469,-3750.0,-3942.3001098632812,255.0,255.0,False,-0.1088286729718992,1.0584289641553621,-1.9850483789109667,True,12,11,False,167.0,False,,b35329e12cb,MRBLAAAA,18.0,2804.969970703125,-1661.9000244140625,17.020000457763672,3529.2999267578125,20715.70068359375,1.5999999642372131,-0.19999999552965164,-0.9000000357627869,1936.4999389648438,255.0,255.0,False,0.00958393795520122,1.470812378555934,9.340375661167498e-05,True,4,173.0,False,4,4,,enpitsu,76561198039309853,27,-1042.5400390625,-3986.719970703125,17.030000686645508,5339.4000244140625,14419.69970703125,1.8000000715255737,1.4000000059604645,4.399999976158142,880.8999633789062,255.0,128.0,False,0.016761365364439892,1.2091979441161034,0.00021685332036110565,True,21.841505440332604,True,4,False,4,,games5425898691,bf81d8692db,25.0,177.07000732421875,-3375.39990234375,102.9800033569336,3264.5999145507812,21897.60009765625,-161.8000030517578,-5434.89990234375,-780.8000183105469,318.700008392334,255.0,128.0,,0.30990542315691527,-1.1852427427459011,-3.1239158721824256,True,3,0.0,False,False,6,
5,530,13.0,True,True,0,2103.6955411742856,1179.9300537109375,4799.33984375,617.7100219726562,-29840.30029296875,7639.69970703125,-10801.300048828125,-3442.5,-1601.9999694824219,4645.7000732421875,0.0,-0.11205396311939625,1.0087908516468136,1.5298991217177793,76561198867559925,Kraker,11.0,1316.18994140625,4757.85986328125,616.8300170898438,-9954.400024414062,14500.10009765625,-5894.6002197265625,3540.4998779296875,2239.4000244140625,3563.5000610351562,255.0,255.0,False,-0.9051182409537767,-2.691379555196478,-1.2568890997663744,True,12,12,False,74.0,False,,b35329e12cb,MRBLAAAA,18.0,918.5399780273438,498.2799987792969,17.020000457763672,-4118.399963378906,4504.100036621094,1.4000000059604645,0.5000000074505806,0.0,0.0,255.0,128.0,False,0.009532643356268026,2.3114771788915727,2.6351781142248117e-05,True,4,161.0,False,4,4,,enpitsu,76561198039309853,28,86.6500015258789,1547.8199462890625,17.059999465942383,-60.0,22361.10107421875,1.899999976158142,0.0,0.7999999821186066,248.29999923706055,255.0,128.0,False,0.016780886966011897,1.5974199738939454,-0.0001581744495401652,True,64.0,False,6,False,6,,games5425898691,bf81d8692db,25.0,876.5700073242188,2456.14990234375,17.010000228881836,-1128.0999755859375,22694.7998046875,2.7000001072883606,0.5999999865889549,0.09999999776482582,4.1999998688697815,255.0,128.0,,0.00964687306833875,1.6210213438445151,-9.542290881253332e-06,True,6,0.0,False,False,8,
6,802,13.0,False,False,0,5175.734657899371,23.68000030517578,46.630001068115234,92.33000183105469,13818.900146484375,27287.19970703125,1565.7000732421875,-3557.0999145507812,1147.7999877929688,2981.300048828125,0.0,0.0205940251014778,0.04911535190231494,-0.058785931382074254,76561198867559925,Kraker,11.0,-62.880001068115234,-140.86000061035156,78.25,10743.699951171875,20144.89990234375,2762.7999877929688,-2479.4000244140625,4203.399963378906,-1531.3999938964844,255.0,0.0,False,0.15267484067882167,1.144564581469425,0.03051067957635687,True,6,5,False,60.0,False,,b35329e12cb,MRBLAAAA,17.0,0.0,-2066.840087890625,17.010000228881836,-0.29999999329447746,13940.30029296875,2.7000001072883606,0.5000000074505806,0.0,0.0,255.0,,,0.00962070332540976,1.5708496117069495,2.562757004531526e-07,True,4,89.0,False,4,False,,enpitsu,76561198039309853,28,-1.2100000381469727,497.42999267578125,80.72000122070312,250.10000228881836,-22905.6005859375,2065.5999755859375,3791.400146484375,41.39999866485596,0.0,255.0,128.0,,0.2127537535967582,-1.559788917367323,2.4442189885974895e-05,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,-2436.010009765625,4084.5400390625,17.010000228881836,-16766.500244140625,11191.400146484375,2.800000011920929,0.9000000357627869,-0.9000000357627869,1850.8999633789062,255.0,255.0,,0.009576670844733653,2.6093710689435707,0.0001574957209463131,True,False,0.0,False,False,False,
7,804,13.0,False,False,1,5399.81016479353,-139.2100067138672,-159.64999389648438,118.55000305175781,-23853.5009765625,1072.2000122070312,7047.0001220703125,3812.3001098632812,-713.7999725341797,4577.799987792969,1.0,-0.18518857915749368,-0.4035440424479075,-0.4011429739676125,76561198039309853,enpitsu,28.0,-0.8899999856948853,-306.3299865722656,95.37000274658203,-250.10000228881836,22949.69970703125,1498.3000183105469,-5499.6002197265625,-60.19999980926514,0.0,255.0,128.0,,-0.801749996609257,1.5597550955901758,5.5673778423615226e-05,True,2,1,False,31.0,False,,bf81d8692db,games5425898691,24.0,2581.530029296875,-4165.83984375,17.010000228881836,17994.3994140625,-8505.700073242188,2.8999999165534973,-0.5000000074505806,0.29999999329447746,1952.5999450683594,255.0,255.0,,-0.00958980559944272,-2.7690131350421656,5.360335778219947e-05,True,False,0.0,False,False,False,,Kraker,76561198867559925,11,-13.800000190734863,-2.4000000953674316,102.12999725341797,-9308.200073242188,-17427.2998046875,2584.1000366210938,606.3000106811523,-5462.0001220703125,220.49999237060547,255.0,0.0,True,-0.27359651115632816,-1.1898554854823278,0.5498152915646595,True,60.0,False,6,False,5,,MRBLAAAA,b35329e12cb,17.0,-0.0,1950.0999755859375,17.010000228881836,0.29999999329447746,-14055.2001953125,2.7000001072883606,-0.3999999910593033,-0.0,0.0,255.0,,,-0.00962070332540976,-1.5708496117069495,2.562757004531526e-07,True,4,89.0,False,False,4,
8,877,16.0,False,False,0,6409.435320839988,2736.080078125,-140.99000549316406,151.52000427246094,-9411.099853515625,19033.299560546875,3076.0000610351562,1921.3999938964844,-2269.7999572753906,5211.099853515625,0.0,0.4864472906111722,1.9640821271703437,-2.3598564789335597,b35329e12cb,MRBLAAAA,18.0,2730.719970703125,-343.2900085449219,96.31999969482422,8593.099975585938,13129.89990234375,2682.9998779296875,-3717.0999145507812,-2046.7999267578125,401.1000061035156,128.0,255.0,,0.009935719595879659,0.5079696487047396,-0.05340459526325937,True,6,5,False,71.0,False,,76561198867559925,Kraker,11.0,3513.06005859375,17.739999771118164,16.989999771118164,11519.3994140625,-13763.699951171875,5.899999737739563,0.0,-0.3999999910593033,-3375.7998657226562,255.0,0.0,False,0.009607004945608028,-1.1966795802053818,-9.18318714628998e-05,True,6,255.0,False,6,False,190.0,enpitsu,76561198039309853,28,749.4000244140625,-116.72000122070312,17.059999465942383,9830.30029296875,7846.400146484375,2.0000000298023224,5.600000023841858,4.699999988079071,-976.6999816894531,255.0,0.0,,0.016712411851347423,0.6489458508098023,-0.00012169451663333521,True,31.0,False,2,False,2,,games5425898691,bf81d8692db,25.0,-2134.340087890625,3252.969970703125,17.030000686645508,7521.300048828125,12441.600341796875,0.0,0.19999999552965164,0.7999999821186066,45.999999046325684,255.0,128.0,,0.009578662934321514,1.0336062377236215,-7.262942152320126e-05,True,False,242.0,False,False,False,
9,929,18.0,False,False,1,8521.8489634254,-1099.2900390625,-3144.969970703125,102.0199966430664,-21420.2001953125,12536.099853515625,13906.800537109375,4002.7999877929688,4419.4000244140625,667.6999664306641,1.0,0.34927250989513114,-0.9970441772725344,-1.809397954233339,bf81d8692db,games5425898691,25.0,-953.6300048828125,-3270.669921875,17.030000686645508,-21034.29931640625,9209.89990234375,0.0,-2.800000011920929,1.5000000596046448,1012.6999664306641,255.0,240.0,True,-0.009604380528287527,0.40982365509453006,0.00021348203998793882,True,False,False,False,174.0,False,,76561198039309853,enpitsu,27.0,-1886.1300048828125,-2055.780029296875,17.059999465942383,-3445.1998901367188,-17818.00048828125,2.199999988079071,-0.0,-0.7999999821186066,-1520.0,255.0,128.0,,-0.016768405600957426,-1.356940806616038,-0.0002652173051669498,False,2,17.92011167926173,True,2,False,,Kraker,76561198867559925,11,-2144.8701171875,1317.7099609375,17.0,-2347.7999877929688,12424.300537109375,4.300000071525574,-0.09999999776482582,0.5000000074505806,2804.2999267578125,255.0,255.0,True,-0.009571917538591707,1.2543444902728076,5.163927682395227e-05,True,255.0,False,6,False,6,,MRBLAAAA,b35329e12cb,18.0,-3718.22998046875,-2010.6800537109375,16.950000762939453,7535.0,-11740.699462890625,15.299999713897705,-12.699999809265137,41.70000076293945,1401.1000061035156,255.0,128.0,,-0.00891322794336624,-2.2156642416547414,0.002141287484269191,True,6,61.597806310140946,True,False,6,
