,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,166,0,False,False,1,5204.868552089908,9.279999732971191,11.220000267028809,94.70999908447266,20743.30078125,21033.60107421875,3998.9999389648438,4035.7000732421875,-3353.2000732421875,94.79999542236328,1.0,-0.027960901658398103,-0.0003230390454063913,-0.033626288323327716,bcab7761f6b,Azoor Ahai,9.0,-125.97000122070312,-136.0,45.130001068115234,13796.199951171875,17298.499755859375,-2467.2000122070312,1686.9000244140625,5141.199951171875,985.5999755859375,255.0,0.0,True,0.04316394784040425,2.022810327999265,0.8031448605011681,True,0.0,False,4,False,4,,b0ec9132e2b,V4ste,9.0,-0.0,-4934.14013671875,17.010000228881836,-0.0,-8347.2998046875,2.0999999344348907,0.7000000029802322,-0.0,0.0,128.0,,,-0.009605445130296007,1.5707888441012139,3.643707061766433e-08,True,False,False,False,116.0,False,,enpitsu,76561198039309853,26.0,261.2200012207031,401.07000732421875,98.68000030517578,-4286.499938964844,-18715.6005859375,3101.300048828125,3340.4998779296875,4338.2000732421875,519.3999862670898,128.0,255.0,,-0.019560682920620093,-0.9321963998852407,-0.2285055398294322,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,1981.6500244140625,3824.179931640625,17.010000228881836,17846.8994140625,10552.900390625,1.899999976158142,0.5000000074505806,0.3999999910593033,11.59999966621399,255.0,128.0,,-0.009588152477415818,2.6060260167343388,-6.00770343876632e-05,True,False,False,False,7.0,False,
1,168,0,False,False,0,5318.057588220883,-126.08000183105469,-122.02999877929688,116.8499984741211,11372.099609375,21767.7001953125,473.10001373291016,-3170.5999755859375,2481.699981689453,-2359.499969482422,0.0,0.24135504698361276,-0.05023740684398412,-0.30076366938978716,76561198039309853,enpitsu,26.0,-232.66000366210938,-276.2699890136719,117.72000122070312,4286.499938964844,18715.6005859375,2667.6998901367188,-3296.099853515625,-4389.5001220703125,342.2999954223633,128.0,255.0,,0.030605363099518782,0.9547796689281136,-0.7238621920835141,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,-1981.6500244140625,-3824.179931640625,17.010000228881836,-17846.8994140625,-10552.900390625,1.899999976158142,-0.5000000074505806,-0.3999999910593033,11.59999966621399,255.0,128.0,,0.009588152477415818,-2.6060260167343388,-6.00770343876632e-05,True,False,False,False,7.0,False,,V4ste,b0ec9132e2b,9.0,0.0,4988.47021484375,17.010000228881836,0.0,7996.9000244140625,2.0999999344348907,-0.7000000029802322,0.0,0.0,128.0,,,0.009605445130296007,-1.5707888441012139,3.643707061766433e-08,True,116.0,False,False,False,False,,Azoor Ahai,bcab7761f6b,9.0,46.09000015258789,35.369998931884766,34.54999923706055,-11536.800537109375,-14584.300537109375,-416.19998931884766,2944.89990234375,3838.2998657226562,-2309.499969482422,255.0,0.0,True,0.04951980291603319,-2.1251986513199537,0.8049790613562134,True,4,False,4,0.0,False,
2,169,0,False,False,1,5121.372561821105,131.8300018310547,75.95999908447266,141.5800018310547,17722.19970703125,-4004.7000122070312,13753.00048828125,3922.0001220703125,-2458.800048828125,-3817.2000122070312,1.0,-0.3498101864449913,0.35265876031161514,-0.5755313193773697,bcab7761f6b,Azoor Ahai,9.0,-46.09000015258789,-35.369998931884766,34.54999923706055,11536.800537109375,14584.300537109375,-416.19998931884766,-2944.89990234375,-3838.2998657226562,-2309.499969482422,255.0,0.0,True,-0.04951980291603319,2.1251986513199537,0.8049790613562134,True,0.0,False,4,False,4,,b0ec9132e2b,V4ste,9.0,-0.0,-4988.47021484375,17.010000228881836,-0.0,-7996.9000244140625,2.0999999344348907,0.7000000029802322,-0.0,0.0,128.0,,,-0.009605445130296007,1.5707888441012139,3.643707061766433e-08,True,False,False,False,116.0,False,,enpitsu,76561198039309853,26.0,232.66000366210938,276.2699890136719,117.72000122070312,-4286.499938964844,-18715.6005859375,2667.6998901367188,3296.099853515625,4389.5001220703125,342.2999954223633,128.0,255.0,,-0.030605363099518782,-0.9547796689281136,-0.7238621920835141,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,2130.280029296875,3912.27001953125,17.010000228881836,17833.1005859375,10575.30029296875,1.899999976158142,0.29999999329447746,0.29999999329447746,-17.5,255.0,119.0,,-0.009588163002681057,2.6056679943913132,-5.8360671738484556e-05,True,False,False,False,7.0,False,
3,170,0,False,False,0,5154.604442886876,-130.05999755859375,42.619998931884766,192.92999267578125,1274.8999786376953,24891.298828125,10140.900268554688,3812.39990234375,-3322.39990234375,3228.900146484375,0.0,0.22796874051756055,-0.11561414696767913,-0.33432765698070566,76561198039309853,enpitsu,26.0,-233.0399932861328,-167.2899932861328,134.66000366210938,-1474.6000671386719,11584.89990234375,361.89998626708984,-2358.699951171875,-4961.400146484375,264.4000053405762,128.0,255.0,,-0.10124468815027413,1.0076916086907848,-1.3389746242430112,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,-2130.280029296875,-3912.27001953125,17.010000228881836,-17833.1005859375,-10575.30029296875,1.899999976158142,-0.29999999329447746,-0.29999999329447746,-17.5,255.0,119.0,,0.009588163002681057,-2.6056679943913132,-5.8360671738484556e-05,True,False,False,False,7.0,False,,V4ste,b0ec9132e2b,9.0,0.0,5048.77001953125,17.010000228881836,0.0,6071.500244140625,2.0999999344348907,-2.8999999165534973,0.0,0.0,255.0,,,0.009437596099305234,-1.5707880450025669,3.8982555224187095e-08,True,116.0,False,False,False,False,,Azoor Ahai,bcab7761f6b,9.0,-35.20000076293945,-75.4800033569336,23.020000457763672,-8769.600219726562,-12490.899658203125,-1326.300048828125,3055.1998901367188,4572.9998779296875,-54.29999828338623,255.0,0.0,True,0.02748453110164402,-2.2232189299548697,0.3074355726621338,True,4,False,4,0.0,False,
4,258,3,False,False,0,1998.1386756919915,323.54998779296875,3557.199951171875,102.3499984741211,11915.699462890625,23939.69970703125,7430.9002685546875,-1725.3999328613281,-5407.8997802734375,1943.5000610351562,0.0,0.2863373419950469,-0.3691801105427258,-0.7090661350914105,76561198039309853,enpitsu,26.0,267.3800048828125,3344.159912109375,139.02000427246094,-17.000000476837158,15485.0,2047.2999572753906,-4637.699890136719,-2875.1998901367188,688.4999847412109,255.0,128.0,,0.5618218178676594,1.1959271090384864,-0.5054172125608979,True,31.0,False,4,False,3,,bf81d8692db,games5425898691,25.0,-2447.969970703125,664.77001953125,17.020000457763672,22428.20068359375,5096.600036621094,-1.7000000178813934,-4.399999976158142,-0.9000000357627869,1561.1000061035156,255.0,255.0,,0.009586114057567296,0.2529128390173514,0.00035405121397030483,True,False,False,False,208.11360878329123,True,,V4ste,b0ec9132e2b,9.0,41.060001373291016,4382.330078125,1271.1300048828125,351.89998626708984,-2032.7000427246094,289.6999931335449,1259.000015258789,1560.5999755859375,-447.99999237060547,128.0,,,-0.7277762070375919,-0.6175056037176305,-0.20526098426452527,True,31.0,False,4,4,False,,Azoor Ahai,bcab7761f6b,9.0,-2722.510009765625,1042.8399658203125,111.30000305175781,-2271.7999267578125,16894.3994140625,934.7000122070312,-5496.9000244140625,170.6999969482422,63.29999923706055,255.0,128.0,False,-0.0114415317445451,-1.6017674640646553,3.130041744971442,True,5,False,6,0.0,False,
5,354,6,False,False,0,5421.600938783954,3186.18994140625,1572.1600341796875,101.22000122070312,4754.800109863281,-8183.699951171875,2343.6000061035156,4962.200012207031,2882.9998779296875,1750.2999877929688,0.0,0.08940073902159891,0.9841152977476614,-0.5764937223866443,bf81d8692db,games5425898691,24.0,3166.64990234375,1348.9200439453125,17.020000457763672,4006.300048828125,11977.39990234375,0.7000000029802322,-1.0000000149011612,-6.000000238418579,282.99999237060547,255.0,22.0,,0.009573992187836979,1.3154624458359976,-0.0002597733188659704,True,203.0,False,False,False,False,,76561198039309853,enpitsu,26.0,296.9700012207031,5857.97021484375,59.959999084472656,-3035.0,3929.4000244140625,2007.2000122070312,1783.6000061035156,-415.0,2321.4999389648438,255.0,255.0,False,-0.40459318446656456,2.278287044726358,-0.2646603390168279,True,4,4,False,31.0,False,,V4ste,b0ec9132e2b,9.0,1417.77001953125,3773.330078125,81.0999984741211,13358.499755859375,-793.3999633789062,-236.39999389648438,197.00000762939453,5235.7000732421875,3.6000001430511475,255.0,128.0,,-1.5118320023213123,-0.0493730585110313,0.011718596750071749,True,31.0,False,6,4,4,,Azoor Ahai,bcab7761f6b,9.0,-182.3800048828125,4225.7900390625,17.010000228881836,18817.5,1257.2000122070312,2.3000000417232513,1.5999999642372131,0.19999999552965164,-1631.1000061035156,255.0,0.0,False,0.009571481969824486,0.03718782808424627,-0.0002590658829511729,True,6,False,6,198.0,False,
6,455,10,False,False,1,10565.945235400053,-2679.179931640625,-4802.7001953125,117.25,-7791.199951171875,4067.9998779296875,5970.3997802734375,1997.5,5602.0001220703125,791.8000030517578,1.0,0.5028224958746127,2.722394551772775,1.9358356569722068,b0ec9132e2b,V4ste,9.0,-2529.580078125,-4839.919921875,15.470000267028809,-3278.5000610351562,6324.89990234375,-248.50000381469727,-319.4000053405762,-18.50000023841858,1509.7000122070312,255.0,255.0,False,-0.017453418347947332,0.9780076038249874,0.0015967446876842242,True,255.0,False,6,4,4,,bcab7761f6b,Azoor Ahai,9.0,-153.1199951171875,-5088.10986328125,17.010000228881836,10590.10009765625,-5473.499755859375,2.0000000298023224,-0.3999999910593033,0.09999999776482582,-1837.7999877929688,0.0,255.0,False,-0.009616336583045785,0.5976140246902533,-0.00024689483426990966,True,6,6,False,229.0,False,,enpitsu,76561198039309853,26.0,-65.87000274658203,-2077.81005859375,17.049999237060547,2695.4998779296875,13803.599853515625,2.800000011920929,1.4000000059604645,6.9999998807907104,-1128.7000274658203,255.0,128.0,False,-0.01676603331830599,1.7883763488789248,-0.00017338179972054728,True,61.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-2639.219970703125,-4192.10986328125,17.010000228881836,1573.9999389648438,-11863.599853515625,2.3000000417232513,-0.0,1.1999999731779099,1903.5000610351562,255.0,245.0,,-0.009540753991200607,-1.7254328649620898,0.0002187938397631153,True,False,False,False,194.0,False,
7,490,11,False,False,1,10466.038168943416,-3630.760009765625,-4296.43994140625,342.3399963378906,-3622.5,5771.6998291015625,-2311.199951171875,1634.1999816894531,4412.39990234375,3722.7999877929688,1.0,-0.38656282830487826,2.505855333646715,2.8211573272464587,b0ec9132e2b,V4ste,9.0,-3578.429931640625,-4449.39013671875,200.8300018310547,-8380.999755859375,7491.300048828125,2639.4000244140625,-889.7000122070312,750.8999633789062,147.10000038146973,255.0,128.0,False,0.2683486860309351,0.7260733342343441,1.327067131823498,True,255.0,False,6,4,4,,bcab7761f6b,Azoor Ahai,9.0,169.72999572753906,-5612.580078125,27.219999313354492,1399.6000671386719,-4599.700012207031,181.5999984741211,1.2999999523162842,26.500000953674316,756.2999725341797,0.0,128.0,False,-0.04589227793682084,1.160971226365552,0.015541059879815753,True,6,6,False,229.0,False,,enpitsu,76561198039309853,26.0,137.1199951171875,-314.92999267578125,17.049999237060547,-2506.699981689453,13874.200439453125,2.5999999046325684,-0.0,0.5999999865889549,35.49999952316284,255.0,128.0,False,-0.01676918216857589,1.3876675038898816,-6.150551716396134e-05,True,61.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-1593.31005859375,-4935.47021484375,16.200000762939453,10821.400146484375,7173.900146484375,-257.39999771118164,1280.2000427246094,693.3000183105469,2081.0000610351562,255.0,255.0,,-0.018318085911969758,2.46974499058898,-0.012284666521592446,True,False,False,False,194.0,False,
8,526,13,False,False,1,9229.458260250736,-3848.590087890625,-2776.550048828125,111.47000122070312,3967.7999877929688,15661.8994140625,2270.0999450683594,1643.6000061035156,3330.4000854492188,1261.9000244140625,1.0,0.42285428333781,0.7131005310816044,-2.3982277098656706,b0ec9132e2b,V4ste,9.0,-3852.68994140625,-2952.580078125,18.520000457763672,3357.9998779296875,13788.699951171875,-404.00001525878906,235.30000686645508,-1335.3999328613281,55.0,255.0,128.0,False,-0.024050895570038106,1.8170866226760973,0.07166193230453753,True,255.0,False,6,4,4,,bcab7761f6b,Azoor Ahai,9.0,98.16000366210938,-5727.77978515625,31.649999618530273,-6955.8001708984375,4606.9000244140625,-208.70000839233398,252.09999084472656,-49.89999771118164,-2021.199951171875,255.0,0.0,False,-0.03565626514922351,0.5669274878459906,0.03436685392985774,True,6,6,False,229.0,False,,enpitsu,76561198039309853,26.0,109.56999969482422,1594.9200439453125,17.049999237060547,-957.2000122070312,14053.800048828125,2.5999999046325684,0.09999999776482582,-1.5000000596046448,331.1000061035156,255.0,128.0,False,-0.016782845788013038,1.4785225378479927,-6.528028198319297e-05,True,92.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-2091.639892578125,-3082.739990234375,17.010000228881836,-13681.300048828125,17935.2001953125,-0.19999999552965164,-2.0000000298023224,2.8999999165534973,891.1000061035156,255.0,242.0,,-0.009599204595814384,0.9125027800818396,0.00012649238004250188,True,False,False,False,90.62351819776708,True,
9,544,13,False,False,1,8224.770440980476,-3588.2900390625,-1754.780029296875,118.80999755859375,8383.599853515625,17893.599853515625,164.89999771118164,2998.2000732421875,1789.4999694824219,756.2999725341797,1.0,0.31864082532717275,-2.957284518066984,1.2117270345739948,b0ec9132e2b,V4ste,9.0,-3714.570068359375,-1876.6300048828125,16.989999771118164,4147.200012207031,19136.400146484375,2.3000000417232513,-0.3999999910593033,-1.5000000596046448,-1371.199951171875,255.0,0.0,False,-0.00957959978921885,1.8020899538380821,-0.0001834491238210433,True,198.6267268273138,True,6,4,4,,bcab7761f6b,Azoor Ahai,9.0,-272.510009765625,-5300.31005859375,16.75,-4222.099914550781,5621.300048828125,-18.200000524520874,128.1999969482422,-123.90000343322754,810.0,255.0,0.0,False,-0.006658074144508755,0.9105580089521331,0.0015636734283814284,True,6,6,False,229.0,False,,enpitsu,76561198039309853,26.0,117.18000030517578,2542.469970703125,17.049999237060547,1431.1000061035156,14028.699951171875,2.5999999046325684,-0.0,-0.3999999910593033,-3.700000047683716,255.0,128.0,False,-0.01677818968746431,1.6729626553028196,3.598656779837947e-05,True,92.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-3344.919921875,-2120.780029296875,17.010000228881836,-18760.999755859375,13304.89990234375,0.0,-1.1999999731779099,0.7999999821186066,-1756.6999816894531,255.0,0.0,,-0.009599971297527113,0.6690015675087547,-0.00016676915935897536,True,False,False,False,34.250245025080915,True,
